"Subject" "BoutLength" "TimeFactor" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "TimePoint"
"1" 1 1 1 0 0 0 0 0 1 0 0 1
"2" 1 1 1 0 1 0 0 0 0 0 0 2
"3" 1 2 1 0.5 0 0 0 0 0 0 0.5 3
"4" 1 1 1 0 0 0 0 0 0 0 1 4
"5" 1 1 1 0 0 0 0 0 0 0 1 5
"6" 1 1 1 0 0 0 0 0 0 0 1 6
"7" 1 3 1 0.666666666666667 0.333333333333333 0 0 0 0 0 0 7
"8" 1 1 1 0 0 0 0 0 0 1 0 8
"9" 1 2 1 0.5 0 0 0 0 0 0.5 0 9
"10" 1 1 1 1 0 0 0 0 0 0 0 10
"11" 1 1 1 0 0 0 0 0 1 0 0 11
"12" 1 1 1 0 0 0 0 0 1 0 0 12
"13" 1 1 1 0 1 0 0 0 0 0 0 13
"14" 1 1 1 0 0 1 0 0 0 0 0 14
"15" 1 4 1 0.75 0 0 0.25 0 0 0 0 15
"16" 1 1 1 0 0 1 0 0 0 0 0 16
"17" 1 1 1 0 0 0 0 0 0 0 1 17
"18" 1 2 1 0.5 0 0 0.5 0 0 0 0 18
"19" 1 1 1 0 0 0 0 0 0 1 0 19
"20" 1 1 1 0 0 0 0 1 0 0 0 20
"21" 1 1 1 0 0 1 0 0 0 0 0 21
"22" 1 2 2 0.5 0 0.5 0 0 0 0 0 1
"23" 1 1 2 0 0 1 0 0 0 0 0 2
"24" 1 1 2 0 1 0 0 0 0 0 0 3
"25" 1 1 2 0 0 1 0 0 0 0 0 4
"26" 1 1 2 0 0 0 1 0 0 0 0 5
"27" 1 1 2 0 0 0 0 0 0 1 0 6
"28" 1 2 2 0.5 0 0 0 0 0 0 0.5 7
"29" 1 1 2 0 0 1 0 0 0 0 0 8
"30" 1 1 2 0 0 0 0 0 0 1 0 9
"31" 1 1 2 0 0 0 1 0 0 0 0 10
"32" 1 2 2 0.5 0 0 0 0 0 0 0.5 11
"33" 1 1 2 1 0 0 0 0 0 0 0 12
"34" 1 1 2 0 1 0 0 0 0 0 0 13
"35" 1 1 2 0 0 0 1 0 0 0 0 14
"36" 1 1 2 0 1 0 0 0 0 0 0 15
"37" 1 1 2 0 0 0 0 0 0 0 1 16
"38" 1 1 2 0 0 1 0 0 0 0 0 17
"39" 1 1 2 0 0 0 0 0 0 0 1 18
"40" 1 1 2 0 0 1 0 0 0 0 0 19
"41" 1 1 2 0 0 0 0 0 0 1 0 20
"42" 1 1 3 0 1 0 0 0 0 0 0 1
"43" 1 1 3 0 1 0 0 0 0 0 0 2
"44" 1 1 3 0 0 0 1 0 0 0 0 3
"45" 1 1 4 0 1 0 0 0 0 0 0 1
"46" 1 1 4 0 0 0 0 0 0 1 0 2
"47" 1 3 4 1 0 0 0 0 0 0 0 3
"48" 1 1 4 0 0 0 0 1 0 0 0 4
"49" 1 1 4 0 0 0 1 0 0 0 0 5
"50" 1 1 4 0 0 1 0 0 0 0 0 6
"51" 1 1 4 0 0 1 0 0 0 0 0 7
"52" 1 1 4 0 1 0 0 0 0 0 0 8
"53" 1 1 5 1 0 0 0 0 0 0 0 1
"54" 1 1 5 1 0 0 0 0 0 0 0 2
"55" 1 1 5 1 0 0 0 0 0 0 0 3
"56" 1 1 5 1 0 0 0 0 0 0 0 4
"57" 1 1 5 0 0 0 0 1 0 0 0 5
"58" 1 1 5 1 0 0 0 0 0 0 0 6
"59" 1 1 5 1 0 0 0 0 0 0 0 7
"60" 1 2 5 0.5 0 0 0 0 0.5 0 0 8
"61" 1 1 5 0 0 0 0 0 0 0 1 9
"62" 1 1 6 0 0 0 0 1 0 0 0 1
"63" 1 1 6 0 0 1 0 0 0 0 0 2
"64" 1 1 6 0 0 0 1 0 0 0 0 3
"65" 1 1 6 1 0 0 0 0 0 0 0 4
"66" 1 1 6 0 0 1 0 0 0 0 0 5
"67" 1 4 7 0.75 0 0 0 0 0 0 0.25 1
"68" 1 1 7 0 0 0 0 0 0 1 0 2
"69" 1 1 7 0 0 1 0 0 0 0 0 3
"70" 1 2 7 0.5 0 0 0 0 0.5 0 0 4
"71" 1 1 8 0 0 0 0 0 0 0 1 1
"72" 1 1 8 1 0 0 0 0 0 0 0 2
"73" 1 1 9 0 1 0 0 0 0 0 0 1
"74" 1 1 9 1 0 0 0 0 0 0 0 2
"75" 1 1 9 1 0 0 0 0 0 0 0 3
"76" 1 1 9 0 0 0 0 0 1 0 0 4
"77" 1 2 10 0.5 0 0 0 0 0 0 0.5 1
"78" 1 1 10 0 1 0 0 0 0 0 0 2
"79" 1 1 10 0 0 0 0 0 0 1 0 3
"80" 1 2 10 1 0 0 0 0 0 0 0 4
"81" 1 3 11 1 0 0 0 0 0 0 0 1
"82" 1 1 11 1 0 0 0 0 0 0 0 2
"83" 1 1 11 1 0 0 0 0 0 0 0 3
"84" 1 1 11 1 0 0 0 0 0 0 0 4
"85" 1 1 11 1 0 0 0 0 0 0 0 5
"86" 1 1 11 1 0 0 0 0 0 0 0 6
"87" 1 3 11 1 0 0 0 0 0 0 0 7
"88" 1 1 11 1 0 0 0 0 0 0 0 8
"89" 1 1 11 1 0 0 0 0 0 0 0 9
"90" 1 1 11 1 0 0 0 0 0 0 0 10
"91" 1 1 11 1 0 0 0 0 0 0 0 11
"92" 1 1 11 1 0 0 0 0 0 0 0 12
"93" 1 1 11 1 0 0 0 0 0 0 0 13
"94" 1 1 11 1 0 0 0 0 0 0 0 14
"95" 1 1 11 1 0 0 0 0 0 0 0 15
"96" 1 1 11 1 0 0 0 0 0 0 0 16
"97" 1 1 11 1 0 0 0 0 0 0 0 17
"98" 1 1 11 1 0 0 0 0 0 0 0 18
"99" 1 1 11 1 0 0 0 0 0 0 0 19
"100" 1 1 11 1 0 0 0 0 0 0 0 20
"101" 1 1 11 1 0 0 0 0 0 0 0 21
"102" 1 1 11 1 0 0 0 0 0 0 0 22
"103" 1 1 11 0 1 0 0 0 0 0 0 23
"104" 1 1 11 1 0 0 0 0 0 0 0 24
"105" 1 1 11 0 1 0 0 0 0 0 0 25
"106" 1 1 11 0 1 0 0 0 0 0 0 26
"107" 1 3 12 0.666666666666667 0.333333333333333 0 0 0 0 0 0 1
"108" 1 1 12 0 0 0 0 0 0 0 1 2
"109" 1 1 12 0 0 0 0 0 0 0 1 3
"110" 1 1 12 0 0 0 0 0 1 0 0 4
"111" 1 3 12 0.666666666666667 0.333333333333333 0 0 0 0 0 0 5
"112" 1 3 12 0.666666666666667 0.333333333333333 0 0 0 0 0 0 6
"113" 1 1 12 0 0 0 0 0 0 0 1 7
"114" 1 1 12 1 0 0 0 0 0 0 0 8
"115" 1 1 13 1 0 0 0 0 0 0 0 1
"116" 1 1 13 0 1 0 0 0 0 0 0 2
"117" 1 1 13 1 0 0 0 0 0 0 0 3
"118" 1 3 13 1 0 0 0 0 0 0 0 4
"119" 2 1 1 0 0 0 0 0 1 0 0 1
"120" 2 1 1 0 0 0 0 0 1 0 0 2
"121" 2 1 1 0 0 0 0 0 1 0 0 3
"122" 2 3 1 0.666666666666667 0 0 0 0 0.333333333333333 0 0 4
"123" 2 1 1 0 0 0 0 0 0 0 1 5
"124" 2 1 1 0 0 0 0 0 0 0 1 6
"125" 2 1 1 1 0 0 0 0 0 0 0 7
"126" 2 1 1 0 0 0 0 0 0 0 1 8
"127" 2 1 1 0 0 0 0 0 1 0 0 9
"128" 2 1 1 1 0 0 0 0 0 0 0 10
"129" 2 1 1 1 0 0 0 0 0 0 0 11
"130" 2 2 1 0.5 0 0 0 0 0.5 0 0 12
"131" 2 1 1 0 0 0 0 0 0 0 1 13
"132" 2 1 1 0 0 0 0 0 0 0 1 14
"133" 2 2 1 0.5 0 0 0 0 0 0 0.5 15
"134" 2 1 1 1 0 0 0 0 0 0 0 16
"135" 2 1 1 1 0 0 0 0 0 0 0 17
"136" 2 1 1 0 0 0 0 0 1 0 0 18
"137" 2 1 1 0 0 0 0 0 0 0 1 19
"138" 2 1 1 0 0 0 0 0 1 0 0 20
"139" 2 1 1 0 0 0 0 0 1 0 0 21
"140" 2 1 1 0 0 0 0 0 0 0 1 22
"141" 2 1 1 0 0 0 0 0 1 0 0 23
"142" 2 1 1 1 0 0 0 0 0 0 0 24
"143" 2 1 1 1 0 0 0 0 0 0 0 25
"144" 2 1 1 0 0 0 0 0 1 0 0 26
"145" 2 2 1 0.5 0 0 0 0 0 0 0.5 27
"146" 2 1 1 0 0 0 0 0 1 0 0 28
"147" 2 1 1 0 0 0 0 0 1 0 0 29
"148" 2 1 1 0 0 0 0 0 0 0 1 30
"149" 2 1 1 1 0 0 0 0 0 0 0 31
"150" 2 1 1 0 0 0 0 0 0 0 1 32
"151" 2 1 1 0 0 0 0 0 0 0 1 33
"152" 2 1 1 0 0 0 0 0 0 0 1 34
"153" 2 1 1 0 0 0 0 0 0 0 1 35
"154" 2 1 1 0 1 0 0 0 0 0 0 36
"155" 2 1 1 0 0 0 0 0 0 0 1 37
"156" 2 3 1 0.666666666666667 0.333333333333333 0 0 0 0 0 0 38
"157" 2 2 1 0 0.5 0 0 0 0.5 0 0 39
"158" 2 1 1 0 0 0 0 0 0 0 1 40
"159" 2 1 1 0 0 0 0 0 0 0 1 41
"160" 2 1 1 1 0 0 0 0 0 0 0 42
"161" 2 1 1 0 0 0 0 0 0 0 1 43
"162" 2 3 1 0.666666666666667 0 0 0 0 0 0 0.333333333333333 44
"163" 2 1 1 0 1 0 0 0 0 0 0 45
"164" 2 1 1 0 0 0 0 1 0 0 0 46
"165" 2 1 1 0 0 1 0 0 0 0 0 47
"166" 2 1 1 0 0 0 0 1 0 0 0 48
"167" 2 1 1 0 0 0 0 0 0 1 0 49
"168" 2 1 1 0 1 0 0 0 0 0 0 50
"169" 2 1 1 1 0 0 0 0 0 0 0 51
"170" 2 1 1 0 0 1 0 0 0 0 0 52
"171" 2 3 1 0.666666666666667 0 0 0 0 0 0.333333333333333 0 53
"172" 2 1 1 0 0 0 0 1 0 0 0 54
"173" 2 1 1 0 0 1 0 0 0 0 0 55
"174" 2 1 1 0 0 1 0 0 0 0 0 56
"175" 2 1 1 0 0 1 0 0 0 0 0 57
