"Subject" "BoutLength" "TimeFactor" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "TimePoint"
"1" 1 3 1 0.666666666666667 0 0.333333333333333 0 0 0 0 0 1
"2" 1 1 1 0 0 1 0 0 0 0 0 2
"3" 1 1 1 0 0 1 0 0 0 0 0 3
"4" 1 1 1 0 0 1 0 0 0 0 0 4
"5" 1 1 1 0 0 0 0 1 0 0 0 5
"6" 1 1 1 0 0 1 0 0 0 0 0 6
"7" 1 1 1 0 0 1 0 0 0 0 0 7
"8" 1 1 1 0 0 1 0 0 0 0 0 8
"9" 1 1 1 0 0 1 0 0 0 0 0 9
"10" 1 1 1 0 0 1 0 0 0 0 0 10
"11" 1 1 1 0 0 1 0 0 0 0 0 11
"12" 1 1 1 0 0 0 0 0 0 0 1 12
"13" 1 1 1 0 0 0 0 1 0 0 0 13
"14" 1 1 1 0 0 1 0 0 0 0 0 14
"15" 1 1 1 0 0 1 0 0 0 0 0 15
"16" 1 1 1 0 0 0 1 0 0 0 0 16
"17" 1 1 1 0 1 0 0 0 0 0 0 17
"18" 1 1 1 0 0 1 0 0 0 0 0 18
"19" 1 1 1 0 0 1 0 0 0 0 0 19
"20" 1 1 1 0 0 0 0 0 0 1 0 20
"21" 1 1 1 1 0 0 0 0 0 0 0 21
"22" 1 1 1 1 0 0 0 0 0 0 0 22
"23" 1 1 1 0 0 1 0 0 0 0 0 23
"24" 1 1 1 0 0 0 0 0 0 1 0 24
"25" 1 1 1 1 0 0 0 0 0 0 0 25
"26" 1 1 1 0 0 1 0 0 0 0 0 26
"27" 1 3 1 0.666666666666667 0 0 0 0.333333333333333 0 0 0 27
"28" 1 5 1 0.8 0.2 0 0 0 0 0 0 28
"29" 1 1 1 0 0 0 0 0 0 1 0 29
"30" 1 1 1 0 0 1 0 0 0 0 0 30
"31" 1 1 1 0 0 0 0 0 0 1 0 31
"32" 1 1 1 0 0 0 0 0 0 1 0 32
"33" 1 1 1 0 0 1 0 0 0 0 0 33
"34" 1 1 1 0 0 1 0 0 0 0 0 34
"35" 1 1 1 1 0 0 0 0 0 0 0 35
"36" 1 1 1 0 0 0 1 0 0 0 0 36
"37" 1 1 1 1 0 0 0 0 0 0 0 37
"38" 1 1 1 0 1 0 0 0 0 0 0 38
"39" 1 2 1 0.5 0.5 0 0 0 0 0 0 39
"40" 1 1 1 0 0 1 0 0 0 0 0 40
"41" 1 1 1 1 0 0 0 0 0 0 0 41
"42" 1 1 1 0 0 0 1 0 0 0 0 42
"43" 1 1 1 0 0 0 0 0 0 1 0 43
"44" 1 1 1 0 0 1 0 0 0 0 0 44
"45" 1 1 1 0 0 0 0 1 0 0 0 45
"46" 1 1 1 0 0 0 0 1 0 0 0 46
"47" 1 1 1 0 1 0 0 0 0 0 0 47
"48" 1 1 1 1 0 0 0 0 0 0 0 48
"49" 1 1 1 0 0 1 0 0 0 0 0 49
"50" 1 1 1 0 0 0 1 0 0 0 0 50
"51" 1 1 2 1 0 0 0 0 0 0 0 1
"52" 1 1 2 0 0 0 0 0 0 1 0 2
"53" 1 1 2 0 1 0 0 0 0 0 0 3
"54" 1 2 2 0.5 0 0 0 0 0 0 0.5 4
"55" 1 3 2 0.666666666666667 0.333333333333333 0 0 0 0 0 0 5
"56" 1 1 2 0 0 0 0 0 0 0 1 6
"57" 1 1 2 1 0 0 0 0 0 0 0 7
"58" 1 1 2 0 0 0 0 0 0 0 1 8
"59" 1 1 2 0 0 0 0 0 1 0 0 9
"60" 1 2 2 1 0 0 0 0 0 0 0 10
"61" 1 1 2 0 0 0 0 0 1 0 0 11
"62" 1 1 2 1 0 0 0 0 0 0 0 12
"63" 1 1 2 0 0 0 0 0 0 1 0 13
"64" 1 1 2 0 0 0 0 0 1 0 0 14
"65" 1 1 2 0 0 1 0 0 0 0 0 15
"66" 1 1 2 0 0 0 0 0 0 0 1 16
"67" 1 1 2 0 0 0 0 0 0 0 1 17
"68" 1 1 2 0 0 0 0 0 0 0 1 18
"69" 1 3 2 0.666666666666667 0 0 0 0 0 0 0.333333333333333 19
"70" 1 1 2 1 0 0 0 0 0 0 0 20
"71" 1 1 2 1 0 0 0 0 0 0 0 21
"72" 1 1 2 0 0 1 0 0 0 0 0 22
"73" 1 1 2 1 0 0 0 0 0 0 0 23
"74" 1 1 2 1 0 0 0 0 0 0 0 24
"75" 1 1 2 0 1 0 0 0 0 0 0 25
"76" 1 1 2 0 0 1 0 0 0 0 0 26
"77" 1 1 2 0 1 0 0 0 0 0 0 27
"78" 1 1 3 0 0 0 0 0 0 0 1 1
"79" 1 1 3 0 0 0 0 0 0 1 0 2
"80" 1 1 3 1 0 0 0 0 0 0 0 3
"81" 1 1 3 1 0 0 0 0 0 0 0 4
"82" 1 1 3 0 0 0 0 0 0 0 1 5
"83" 1 1 3 1 0 0 0 0 0 0 0 6
"84" 1 1 3 1 0 0 0 0 0 0 0 7
"85" 1 1 4 1 0 0 0 0 0 0 0 1
"86" 1 1 4 1 0 0 0 0 0 0 0 2
"87" 1 1 4 1 0 0 0 0 0 0 0 3
"88" 1 1 4 0 0 0 0 0 1 0 0 4
"89" 1 1 4 0 0 0 1 0 0 0 0 5
"90" 1 1 4 1 0 0 0 0 0 0 0 6
"91" 1 5 4 0.8 0 0 0 0 0.2 0 0 7
"92" 1 1 4 0 0 1 0 0 0 0 0 8
"93" 1 1 4 0 0 0 1 0 0 0 0 9
"94" 1 3 5 1 0 0 0 0 0 0 0 1
"95" 1 1 5 0 0 0 0 1 0 0 0 2
"96" 1 1 5 1 0 0 0 0 0 0 0 3
"97" 1 1 5 1 0 0 0 0 0 0 0 4
"98" 1 1 5 0 0 0 0 1 0 0 0 5
"99" 1 1 5 1 0 0 0 0 0 0 0 6
"100" 1 1 5 0 0 0 0 0 1 0 0 7
"101" 1 1 5 0 0 0 0 0 1 0 0 8
"102" 1 1 5 0 0 0 0 0 0 0 1 9
"103" 1 1 6 1 0 0 0 0 0 0 0 1
"104" 1 1 6 1 0 0 0 0 0 0 0 2
"105" 1 2 6 1 0 0 0 0 0 0 0 3
"106" 1 3 6 1 0 0 0 0 0 0 0 4
"107" 1 1 6 1 0 0 0 0 0 0 0 5
"108" 1 1 6 1 0 0 0 0 0 0 0 6
"109" 1 1 6 1 0 0 0 0 0 0 0 7
"110" 1 1 6 1 0 0 0 0 0 0 0 8
"111" 1 1 6 1 0 0 0 0 0 0 0 9
"112" 1 1 6 1 0 0 0 0 0 0 0 10
"113" 1 2 7 1 0 0 0 0 0 0 0 1
"114" 1 1 7 0 0 0 0 0 0 0 1 2
"115" 1 1 7 0 0 0 0 0 0 1 0 3
"116" 1 1 7 1 0 0 0 0 0 0 0 4
"117" 1 1 7 1 0 0 0 0 0 0 0 5
"118" 1 1 7 1 0 0 0 0 0 0 0 6
"119" 1 1 7 1 0 0 0 0 0 0 0 7
"120" 1 1 7 1 0 0 0 0 0 0 0 8
"121" 1 1 7 1 0 0 0 0 0 0 0 9
"122" 1 1 8 0 0 0 0 0 1 0 0 1
"123" 1 1 8 1 0 0 0 0 0 0 0 2
"124" 1 1 8 1 0 0 0 0 0 0 0 3
"125" 1 1 8 1 0 0 0 0 0 0 0 4
"126" 1 4 8 0.75 0 0 0 0 0 0 0.25 5
"127" 1 1 8 0 0 0 0 0 1 0 0 6
"128" 1 1 8 1 0 0 0 0 0 0 0 7
"129" 1 1 8 1 0 0 0 0 0 0 0 8
"130" 1 1 9 0 0 1 0 0 0 0 0 1
"131" 1 1 9 0 0 0 1 0 0 0 0 2
"132" 1 1 9 0 0 0 1 0 0 0 0 3
"133" 1 1 9 0 0 1 0 0 0 0 0 4
"134" 1 1 9 0 0 1 0 0 0 0 0 5
"135" 1 1 9 0 0 1 0 0 0 0 0 6
"136" 1 3 9 0.666666666666667 0 0 0.333333333333333 0 0 0 0 7
"137" 1 1 9 1 0 0 0 0 0 0 0 8
"138" 1 3 9 0.666666666666667 0 0.333333333333333 0 0 0 0 0 9
"139" 1 1 9 0 0 0 0 0 0 0 1 10
"140" 1 1 9 1 0 0 0 0 0 0 0 11
"141" 1 1 9 1 0 0 0 0 0 0 0 12
"142" 1 1 10 0 0 1 0 0 0 0 0 1
"143" 1 2 10 0.5 0 0 0.5 0 0 0 0 2
"144" 1 1 10 0 0 1 0 0 0 0 0 3
"145" 1 1 10 1 0 0 0 0 0 0 0 4
"146" 1 1 10 1 0 0 0 0 0 0 0 5
"147" 1 2 10 0.5 0 0.5 0 0 0 0 0 6
"148" 1 1 10 0 0 1 0 0 0 0 0 7
"149" 1 3 11 1 0 0 0 0 0 0 0 1
"150" 1 1 11 1 0 0 0 0 0 0 0 2
"151" 1 1 11 0 0 0 0 0 0 0 1 3
"152" 1 1 11 1 0 0 0 0 0 0 0 4
"153" 1 1 11 1 0 0 0 0 0 0 0 5
"154" 1 1 11 1 0 0 0 0 0 0 0 6
"155" 1 1 11 1 0 0 0 0 0 0 0 7
"156" 1 1 11 1 0 0 0 0 0 0 0 8
"157" 1 1 12 0 0 0 1 0 0 0 0 1
"158" 1 5 13 1 0 0 0 0 0 0 0 1
"159" 1 3 13 0.666666666666667 0.333333333333333 0 0 0 0 0 0 2
"160" 1 1 13 1 0 0 0 0 0 0 0 3
"161" 1 1 13 1 0 0 0 0 0 0 0 4
"162" 1 1 13 1 0 0 0 0 0 0 0 5
"163" 2 1 1 0 0 0 0 0 0 0 1 1
"164" 2 1 1 1 0 0 0 0 0 0 0 2
"165" 2 1 1 0 0 0 1 0 0 0 0 3
"166" 2 1 1 0 0 0 0 0 1 0 0 4
"167" 2 1 1 0 0 0 0 0 0 1 0 5
"168" 2 1 1 0 0 0 0 0 1 0 0 6
"169" 2 1 1 0 0 0 0 0 1 0 0 7
"170" 2 1 1 0 0 0 0 0 0 0 1 8
"171" 2 1 1 1 0 0 0 0 0 0 0 9
"172" 2 1 1 0 0 0 0 0 1 0 0 10
"173" 2 1 1 1 0 0 0 0 0 0 0 11
"174" 2 1 1 0 0 1 0 0 0 0 0 12
"175" 2 2 1 1 0 0 0 0 0 0 0 13
"176" 2 1 1 0 0 1 0 0 0 0 0 14
"177" 2 1 1 1 0 0 0 0 0 0 0 15
"178" 2 1 1 0 0 0 0 0 1 0 0 16
"179" 2 1 1 0 0 0 0 0 0 1 0 17
"180" 2 1 1 0 0 0 0 0 0 0 1 18
"181" 2 1 1 1 0 0 0 0 0 0 0 19
"182" 2 1 1 0 0 0 1 0 0 0 0 20
"183" 2 1 1 1 0 0 0 0 0 0 0 21
"184" 2 1 1 0 0 0 0 0 1 0 0 22
"185" 2 1 1 1 0 0 0 0 0 0 0 23
"186" 2 1 1 0 0 0 0 0 1 0 0 24
"187" 2 1 1 0 0 0 0 0 0 0 1 25
"188" 2 1 1 0 0 0 0 0 1 0 0 26
"189" 2 1 1 0 0 0 0 0 0 1 0 27
"190" 2 1 1 0 0 0 0 0 0 0 1 28
"191" 2 1 1 0 0 0 0 0 1 0 0 29
"192" 2 1 1 0 1 0 0 0 0 0 0 30
