"Length4Transition_cs_Proportion" "Length6PlusTransition_es_Proportion" "Length2Transition_ig_Proportion" "Length4Transition_is_Proportion" "Length6PlusBoutCBendsProportion" "Length5BoutEBendsProportion" "Length5Transition_iss_Proportion" "Length4BoutCBendsProportion" "Length2Transition_se_Proportion" "Length5Transition_sg_Proportion" "Length2Transition_gi_Proportion" "Length4Transition_sgs_Proportion" "Length3Transition_hs_Proportion" "Length5Transition_css_Proportion" "Length2Transition_si_Proportion" "Length2Transition_js_Proportion" "Length6PlusTransition_sgg_Proportion" "Length2Transition_jg_Proportion" "Length6PlusTransition_ggg_Proportion" "Length6PlusTransition_is_Proportion" "Length5Transition_cs_Proportion" "Length6PlusTransition_iss_Proportion" "Length6PlusBoutEBendsProportion" "Length3Transition_hss_Proportion" "Length4Transition_iss_Proportion" "Length3BoutJBendsProportion" "Length3Transition_js_Proportion" "Length6PlusBoutIBendsProportion" "Length6PlusTransition_sgs_Proportion" "Length3BoutHBendsProportion" "Length6PlusBoutGBendsProportion" "Length4BoutIBendsProportion" "Length3Transition_jss_Proportion" "Length5BoutCBendsProportion" "Length2Transition_hs_Proportion" "Length4BoutEBendsProportion" "Length3Transition_ess_Proportion" "Length4Transition_sgg_Proportion" "Length5BoutGBendsProportion" "Length4Transition_gg_Proportion" "Length6PlusTransition_gg_Proportion" "Length4Transition_sg_Proportion" "Length6PlusBoutScootsProportion" "Length2Transition_os_Proportion" "Length4BoutScootsProportion" "Length2Transition_cs_Proportion" "Length2BoutHBendsProportion" "Length3Transition_sg_Proportion" "Length4Transition_gss_Proportion" "Length5Transition_gss_Proportion" "Length5Transition_gs_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_es_Proportion" "Length5BoutScootsProportion" "Length3Transition_os_Proportion" "Length2Transition_sg_Proportion" "Length6PlusTransition_sg_Proportion" "Length4Transition_gs_Proportion" "Length2BoutJBendsProportion" "Length6PlusTransition_gss_Proportion" "Length3BoutOBendsProportion" "Length3BoutIBendsProportion" "Length6PlusTransition_gs_Proportion" "Length2BoutCount" "Length4Transition_sss_Proportion" "Length2BoutOBendsProportion" "Length2Transition_es_Proportion" "Length6PlusTransition_ssg_Proportion" "Length4Transition_ss_Proportion" "Length3Transition_is_Proportion" "Length3Transition_iss_Proportion" "Length4BoutGBendsProportion" "Length2Transition_is_Proportion" "Length2BoutCBendsProportion" "Length3BoutEBendsProportion" "Length2Transition_gg_Proportion" "Length2BoutIBendsProportion" "Length6PlusTransition_sss_Proportion" "Length1BoutJBendsProportion" "Length6PlusTransition_ss_Proportion" "Length3BoutGBendsProportion" "Length5Transition_ss_Proportion" "Length2BoutEBendsProportion" "Length5Transition_sss_Proportion" "Length4BoutCount" "Length3BoutScootsProportion" "Length3Transition_gs_Proportion" "Length2BoutScootsProportion" "Length3BoutCount" "Length2Transition_gs_Proportion" "Length5BoutCount" "Length2BoutGBendsProportion" "Length3Transition_gss_Proportion" "Length1BoutHBendsProportion" "TotalBoutCount" "Length3Transition_cs_Proportion" "Length1BoutOBendsProportion" "Length3Transition_css_Proportion" "Length3Transition_ss_Proportion" "Length6PlusBoutCount" "Length3BoutCBendsProportion" "Length1BoutIBendsProportion" "Length3Transition_sss_Proportion" "Length1BoutCount" "Length2Transition_ss_Proportion" "Length1BoutScootsProportion" "Length1BoutCBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "TimeFactor" "Group"
0 0.00757575757575758 0 0.0509259259259259 0 0.003125 0.0208333333333333 0 0 0 0 0.0243055555555556 0.00173611111111111 0.0138888888888889 0 0 0.00490196078431373 0 0.00490196078431373 0.0200757575757576 0.0104166666666667 0.0190631808278867 0.0142857142857143 0.00347222222222222 0.0625 0.0446313549574419 0.0557891936968024 0.046031746031746 0.00490196078431373 0.00138888888888889 0.0796825396825398 0.0572916666666667 0.111578387393605 0.0125 0.00260416666666667 0 0.0211352657004831 0.0138888888888889 0.0770833333333333 0.0162037037037037 0.00833333333333333 0.025462962962963 0.86 0 0.8046875 0.00855654761904762 0.0127678571428571 0.00416666666666667 0.114583333333333 0.0856481481481481 0.0642361111111111 0.00347222222222222 0.0105676328502415 0.879166666666667 0.00173611111111111 0.0297205687830688 0.00833333333333333 0.0763888888888889 0.0220386904761905 0.0306372549019608 0.00138888888888889 0.0446313549574419 0.025 9.16666666666667 0.385416666666667 0.06 0.0133680555555556 0.00980392156862745 0.469907407407407 0.0419003048079135 0.083800609615827 0.114583333333333 0.100248015873016 0.00513392857142857 0.00845410628019323 0.00855654761904762 0.0626488095238095 0.323393246187364 0.0213094737422309 0.343181818181818 0.0640568207959512 0.565972222222222 0.0901636904761905 0.532407407407407 1.91666666666667 0.826994478951001 0.0759043593282724 0.612276785714286 10.3333333333333 0.137640542328042 2 0.134970238095238 0.115697607545434 0.0146600958039394 93.75 0.0105676328502415 0.0288497217068646 0.0176630434782609 0.615340320910973 0.916666666666667 0.00845410628019323 0.0684260100106768 0.436930641821946 69.3333333333333 0.357217261904762 0.675560290753649 0.0153984564592516 0.025555304361874 0.150240647161513 1 "Aripiprazole_10microM"
0 0.0166666666666667 0.00297619047619048 0.0342592592592593 0 0 0.037037037037037 0 0 0.0416666666666667 0 0.0208333333333333 0.00403225806451613 0.0138888888888889 0.0138888888888889 0.00333333333333333 0.00595238095238095 0.00333333333333333 0.0119047619047619 0 0.0104166666666667 0 0.0238095238095239 0.0053763440860215 0.0513888888888889 0.00796495420151333 0.01194743130227 0.0714285714285714 0 0.00268817204301075 0.0713203463203463 0.0385416666666667 0.02389486260454 0.01 0.0126190476190476 0.0104166666666667 0.0162186379928315 0.05 0.0758333333333333 0.0333333333333333 0.0147058823529412 0.0472222222222222 0.799427952999381 0 0.7484375 0.00333333333333333 0.0196904761904762 0.0138888888888889 0.111805555555556 0.105324074074074 0.0789930555555556 0.00268817204301075 0.00984543010752688 0.874166666666667 0.00134408602150538 0.0370634920634921 0.00490196078431373 0.102314814814815 0.0165 0.0376254333150885 0.00089605734767025 0.0728201681830714 0.0320261437908497 8.08333333333333 0.352083333333333 0.00378571428571429 0.0394291819291819 0.00595238095238095 0.429166666666667 0.0469973462917011 0.0662169148056245 0.190104166666667 0.0729609279609279 0.01025 0.00656362007168458 0 0.0635879120879121 0.409398376208721 0.0283203262318468 0.441421568627451 0.126827344300462 0.660590277777778 0.0276575091575092 0.575231481481481 2.16666666666667 0.776572121128573 0.146838238672916 0.72476282051282 12.9166666666667 0.176593406593407 2.25 0.133765567765568 0.259488443157798 0.025062815301009 93.5833333333333 0.00676523297491039 0.0203116384776021 0.0135304659498208 0.651361317893576 1.16666666666667 0.00566756272401433 0.0756043394640818 0.457654397573752 67 0.396967338217338 0.618681899670606 0.0157642303975854 0.0358950366291379 0.180359713828131 2 "Aripiprazole_10microM"
0 0.0166666666666667 0.00416666666666667 0.0324074074074074 0.00255102040816327 0.00571428571428571 0.0277777777777778 0 0.00231481481481481 0 0.00462962962962963 0.0173611111111111 0.012682956636761 0 0.0180555555555556 0 0 0 0 0.0016025641025641 0 0.00189393939393939 0.0238095238095239 0.00883152173913043 0.0208333333333333 0.0141093474426808 0.0112433862433862 0.00223214285714286 0.0170781086729363 0.0133313524014007 0.0422831632653062 0.113095238095238 0.00595238095238095 0 0.0342592592592593 0.0892857142857143 0.0186694847020934 0.0243055555555556 0.00857142857142857 0.0347222222222222 0 0.0277777777777778 0.893409863945578 0.0231481481481482 0.604166666666667 0.00648148148148148 0.0243827160493827 0.0131861772486772 0.0798611111111111 0.00833333333333333 0.00625 0.0111607142857143 0.0093347423510467 0.897142857142857 0.00558035714285714 0.0406695156695157 0.0139894419306184 0.0532407407407407 0.0224358974358974 0.0320844943689771 0.00817533803644914 0.0412864159704619 0.0264671602906897 8.41666666666667 0.229166666666667 0.0169753086419753 0.0544871794871795 0.00189393939393939 0.291666666666667 0.0355758555329073 0.0685475443991479 0.181547619047619 0.100320512820513 0.0367283950617284 0.0173914641004013 0 0.0965099715099715 0.454835713456403 0.0680622843690602 0.480493281228575 0.0621566630296495 0.508333333333333 0.0495963912630579 0.483333333333333 1.75 0.832728578337005 0.0663093477602076 0.668328584995252 11.8333333333333 0.0665242165242165 1.83333333333333 0.085042735042735 0.0936388674780871 0.00892765301344341 90.3333333333333 0.0121734457671958 0.0264948173362172 0.0243468915343915 0.55123764004712 1.83333333333333 0.0108208406819518 0.0937376682726761 0.434361854168314 64.5833333333333 0.32232905982906 0.543751103635464 0.0179887003896185 0.0790772561224158 0.161960516861105 3 "Aripiprazole_10microM"
0.00427350427350427 0.00757575757575758 0.00785291943828529 0.020477207977208 0 0 0.0234126984126984 0.00549450549450549 0.0188675371602201 0.0238095238095238 0 0.00833333333333333 0.0469228927203065 0 0.0261907694834524 0.00203252032520325 0.00193798449612403 0.00203252032520325 0 0.00681089743589744 0 0.00834824090638044 0.0142857142857143 0.0909722222222222 0.0275106837606838 0.00590676883780331 0.00664511494252874 0.0433862433862434 0.0205724508050089 0.0479672200936568 0.0604056437389771 0.0445283882783883 0.0132902298850575 0 0.0229475530049418 0.012706043956044 0.0285680076628353 0.0170940170940171 0.0380952380952381 0.016951566951567 0.0016025641025641 0.016951566951567 0.881922398589065 0.013047138047138 0.84757326007326 0.00960827790096083 0.02405257742417 0.00639367816091954 0.0505074786324786 0.0396825396825397 0.0327380952380952 0.0028735632183908 0.0142840038314176 0.900846560846561 0.0014367816091954 0.121813544338652 0.0184294871794872 0.0336716524216524 0.0212663861635645 0.0337076790565163 0.00255427841634738 0.0309919114516815 0.0276078088578089 11.4545454545455 0.406784188034188 0.021324354657688 0 0.0122242098986285 0.457086894586895 0.0271312260536398 0.0333333333333333 0.079739010989011 0.0679784453816018 0.0102857846760286 0.0126968922945934 0.0477693602693603 0.084278541834735 0.309448088517856 0.0256373399083097 0.339015151515152 0.0536753228324109 0.633234126984127 0.0201623278859051 0.566534391534392 3.18181818181818 0.844355754221655 0.0519077266922094 0.550813732736258 11.2727272727273 0.159058060277572 2.36363636363636 0.267816294621651 0.0939016602809706 0.0132740943267259 103.363636363636 0.00208333333333333 0.00782291697623505 0.00416666666666667 0.571380108556833 1.54545454545455 0.00185185185185185 0.0631483055464749 0.433516922094508 73.5454545454545 0.184798547406151 0.709452791034421 0.00803788126442589 0.0528906059615442 0.119736064981863 4 "Aripiprazole_10microM"
0.0138888888888889 0 0.00354609929078014 0.0231481481481482 0.00793650793650793 0.005 0.0111111111111111 0.0178571428571429 0.00177304964539007 0.0145833333333333 0 0.0208333333333333 0.00752010481612 0.0138888888888889 0.0128053585500394 0.00177304964539007 0.0145658891547049 0.00177304964539007 0.019363038277512 0.036965811965812 0.0104166666666667 0.0242424242424242 0.0850340136054423 0.0102783048703352 0.0347222222222222 0.00647370059134764 0.00728291316526611 0.0759637188208616 0.00855654761904762 0.00774273867252994 0.160997732426304 0.0467687074829932 0.0145658263305322 0.0125 0.00354609929078014 0.0586734693877551 0.00879120879120879 0 0.0695833333333333 0 0.0290469665469665 0.0138888888888889 0.662131519274377 0.0150462962962963 0.722789115646258 0.0202205882352941 0.00971893879695298 0.0176139272913466 0.104166666666667 0.049537037037037 0.0371527777777778 0.0138888888888889 0.00558608058608059 0.897916666666667 0.00694444444444444 0.0639170325340538 0.0337998619248619 0.0694444444444444 0.024630380126834 0.0111607142857143 0.00723104056437389 0.0190314136866951 0.00971283783783784 13 0.224206349206349 0.0157627865961199 0.0915090622537431 0.0338367224880383 0.326058201058201 0.0154035559633283 0.0259051511423428 0.107142857142857 0.0695522594380542 0.0261567589998963 0.00616014809563196 0.0139627659574468 0.0669880836495355 0.315547391205286 0.0647370722441412 0.346243752493752 0.0583812350415766 0.573263888888889 0.0726293669556081 0.531018518518518 2.09090909090909 0.88664092601474 0.0571375427755883 0.579201046060662 11.1818181818182 0.188758269265153 2.18181818181818 0.204912638814391 0.0697218341430865 0.0101265086870355 115.545454545455 0.00558608058608059 0.0387903735405227 0.0111721611721612 0.61086389890944 1.63636363636364 0.00833879733310472 0.0497928721705122 0.531014039197151 85.4545454545455 0.195981998000146 0.657027222787273 0.0170305994723678 0.0351785928947157 0.127316758203432 5 "Aripiprazole_10microM"
0.00694444444444444 0 0.0144675925925926 0.016468253968254 0.0104166666666667 0 0.0462962962962963 0.0104166666666667 0.0124251089324619 0.046875 0.00347222222222222 0.0138888888888889 0.00434491978609626 0.0169753086419753 0.0241898148148148 0 0.00462962962962963 0 0.00193798449612403 0.00833333333333333 0.0127314814814815 0.0104166666666667 0 0.00490196078431373 0.024702380952381 0.00505050505050504 0.00378787878787879 0.0619047619047619 0.0100059737156511 0.00386215092097445 0.0848124098124098 0.0378720238095238 0.00757575757575758 0.0152777777777778 0.00462962962962963 0.0305059523809524 0.0343434343434343 0 0.09375 0.0277777777777778 0.00763888888888889 0.015542328042328 0.810128066378066 0.0166666666666667 0.6875 0.00868055555555555 0.0078125 0.0183600713012478 0.0753968253968254 0.0671296296296296 0.0503472222222222 0.0111111111111111 0.0190656565656566 0.808333333333333 0.00555555555555556 0.0371936274509804 0.0181712962962963 0.056547619047619 0.0106209150326797 0.0407148395004734 0.0234567901234568 0.0397804164688696 0.0439814814814815 11.1818181818182 0.26984126984127 0.0423611111111111 0.0438316993464052 0.00731780167264038 0.37962962962963 0.019304152637486 0.0279461279461279 0.133184523809524 0.0674019607843137 0.022686887254902 0.0186307519640853 0.0109953703703704 0.112877859477124 0.4701781080954 0.0472818051124695 0.509027777777778 0.0967715331549754 0.475694444444444 0.0554176879084967 0.384259259259259 3.18181818181818 0.808020866408666 0.0455064180554377 0.592401960784314 10.7272727272727 0.118790849673203 2.81818181818182 0.155821078431373 0.0300141942298805 0.0162808169452921 94.6363636363636 0.00308641975308642 0.0354930613404633 0.00617283950617284 0.547252992105933 1.90909090909091 0.00442698590846739 0.0581988351767963 0.486220279357534 64.8181818181818 0.204377723311547 0.511145802768743 0.0438314316592267 0.0332742785193771 0.254493968477632 6 "Aripiprazole_10microM"
0.00555555555555556 0.00462962962962963 0.0119047619047619 0.00347222222222222 0 0.00833333333333333 0.0208333333333333 0.03 0 0.015625 0 0.0104166666666667 0.00189393939393939 0 0 0 0 0 0 0.0425925925925926 0 0.0472222222222222 0.0407407407407408 0.00378787878787879 0 0 0 0.144444444444444 0.0215277777777778 0.00168350168350168 0.0470899470899471 0.0429166666666667 0 0 0.0119047619047619 0.0433333333333333 0.00520833333333333 0 0.0566666666666667 0.00925925925925926 0 0.00694444444444444 0.734391534391534 0.00462962962962963 0.6525 0.00595238095238095 0.00793650793650794 0.0291087962962963 0.102430555555556 0.0333333333333333 0.025 0 0.00260416666666667 0.885 0 0.0178571428571429 0.0181878306878307 0.0810185185185185 0 0.025 0.00231481481481481 0.0254115226337448 0.0211640211640212 5.63636363636364 0.174305555555556 0.0110229276895944 0.0166666666666667 0.0125 0.227777777777778 0.028587962962963 0.0260416666666667 0.1925 0.0604497354497354 0.00793650793650794 0.00231481481481481 0 0.0720458553791887 0.214583333333333 0.0666227944434309 0.261574074074074 0.0361859334081556 0.4125 0.0150793650793651 0.383333333333333 1.81818181818182 0.929774597830153 0.0334753787878788 0.705555555555556 7.54545454545455 0.228968253968254 1.90909090909091 0.18042328042328 0.0179924242424242 0.00424116424116424 71 0.00260416666666667 0.00350679174208586 0.00520833333333333 0.640788089225589 1.36363636363636 0.00231481481481481 0.0224555067949475 0.611668771043771 52.6363636363636 0.355952380952381 0.75824865257845 0.00735735735735736 0.0136813753978653 0.123886357444699 7 "Aripiprazole_10microM"
0 0 0 0.0300925925925926 0 0 0 0 0 0.0104166666666667 0 0.0104166666666667 0 0 0 0 0 0 0 0.0200617283950617 0 0.0166666666666667 0 0 0.0451388888888889 0 0 0.0820105820105821 0.00757575757575758 0 0.0448082010582011 0.0659722222222222 0 0 0 0 0.0138888888888889 0 0.0638888888888889 0 0 0.00694444444444444 0.873181216931217 0.0166666666666667 0.878472222222222 0.0166666666666667 0.0111111111111111 0.0142857142857143 0.0243055555555556 0.0625 0.0520833333333333 0.0166666666666667 0.00694444444444444 0.911111111111111 0.00833333333333333 0.0272435897435897 0.00949667616334283 0.0231481481481482 0.0296296296296296 0.0148358585858586 0.0148148148148148 0.0126984126984127 0.012701804368471 4.09090909090909 0.368055555555556 0.0222222222222222 0.00641025641025641 0.00378787878787879 0.412037037037037 0.0142857142857143 0 0.0347222222222222 0.0550213675213675 0.0222222222222222 0.00617283950617283 0.09375 0.0366809116809117 0.266161616161616 0.0181328320802005 0.275641025641026 0.170723104056437 0.658854166666667 0.00427350427350427 0.631944444444444 1.09090909090909 0.777409010742344 0.169444444444444 0.648326210826211 4.09090909090909 0.090224358974359 2 0.225534188034188 0.288888888888889 0.00357142857142857 41.7272727272727 0.00378787878787879 0.0573703867511917 0.00757575757575758 0.491251803751804 0.818181818181818 0.0181818181818182 0.0285139318885449 0.327741702741703 29.5454545454545 0.34957264957265 0.685237603813455 0.0151805985552116 0.0399894343702393 0.152003783969728 8 "Aripiprazole_10microM"
0 0 0 0 0 0.05 0 0 0 0 0 0.0208333333333333 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0.0168269230769231 0 0 0 0 0.0175925925925926 0.025 0.0272435897435897 0.0208333333333333 0 0.0138888888888889 0 0.0277777777777778 0.972222222222222 0.0416666666666667 0.7 0.00925925925925926 0.0175925925925926 0.00320512820512821 0.0208333333333333 0 0 0.0138888888888889 0.0136217948717949 0.95 0.00694444444444444 0.00833333333333333 0 0.0277777777777778 0.0138888888888889 0 0.0101495726495726 0.0371642246642246 0 4 0.229166666666667 0.0416666666666667 0.0175925925925926 0 0.236111111111111 0.0339590964590965 0.0679181929181929 0.1 0.0280092592592593 0.00925925925925926 0.0136217948717949 0.0104166666666667 0.0418981481481481 0.153846153846154 0.035687152353819 0.15625 0.0163308913308913 0.3125 0.0592592592592593 0.305555555555556 0.7 0.881868131868132 0.0131257631257631 0.717592592592593 4.9 0.0280092592592593 0.6 0.0988425925925926 0.00595238095238095 0.0109211775878443 46.3 0.0170940170940171 0.0191086691086691 0.0341880341880342 0.548534798534799 0.4 0.0240384615384615 0.0139636724336178 0.463522588522588 35.6 0.283564814814815 0.81514653126675 0 0.0115216699916153 0.0936511272576846 9 "Aripiprazole_10microM"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0.0307239057239057 0 0.0277777777777778 0 0 0 0 0 0.0803571428571429 0 0.0192307692307692 0.0138888888888889 0.00714285714285714 0 0 0 0.0119047619047619 0.0520833333333333 0 0 0 0 0 0.881944444444444 0 0.926190476190476 0 0 0.00520833333333333 0.0638888888888889 0 0 0 0.0260416666666667 1 0 0.0479166666666667 0 0.0425925925925926 0.00793650793650794 0 0 0.0333333333333333 0.00757575757575758 5.5 0.497222222222222 0.0333333333333333 0.0270833333333333 0 0.525925925925926 0.0416666666666667 0 0.0547619047619048 0.0342261904761905 0.0111111111111111 0.0208333333333333 0 0.0283730158730159 0.385185185185185 0.0165649165649166 0.411195286195286 0.0930555555555555 0.5 0.0513888888888889 0.5 1.5 0.830769230769231 0.0954861111111111 0.724801587301587 6.2 0.166666666666667 1 0.143055555555556 0.138888888888889 0 58.3 0.00347222222222222 0.027191971573994 0.00694444444444444 0.574919871794872 1.1 0.00277777777777777 0.0693218327435396 0.451923076923077 43 0.395535714285714 0.773004236950926 0.0166666666666667 0.0223280514741189 0.0749223240258382 10 "Aripiprazole_10microM"
