"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "Length1BoutScootsProportion" "Length1BoutJBendsProportion" "Length1BoutCBendsProportion" "Length1BoutOBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "Length1BoutHBendsProportion" "Length1BoutIBendsProportion" "Length2BoutScootsProportion" "Length2BoutJBendsProportion" "Length2BoutCBendsProportion" "Length2BoutOBendsProportion" "Length2BoutEBendsProportion" "Length2BoutGBendsProportion" "Length2BoutHBendsProportion" "Length2BoutIBendsProportion" "Length3BoutScootsProportion" "Length3BoutJBendsProportion" "Length3BoutCBendsProportion" "Length3BoutOBendsProportion" "Length3BoutEBendsProportion" "Length3BoutGBendsProportion" "Length3BoutHBendsProportion" "Length3BoutIBendsProportion" "Length4BoutScootsProportion" "Length4BoutJBendsProportion" "Length4BoutCBendsProportion" "Length4BoutOBendsProportion" "Length4BoutEBendsProportion" "Length4BoutGBendsProportion" "Length4BoutHBendsProportion" "Length4BoutIBendsProportion" "Length5BoutScootsProportion" "Length5BoutJBendsProportion" "Length5BoutCBendsProportion" "Length5BoutOBendsProportion" "Length5BoutEBendsProportion" "Length5BoutGBendsProportion" "Length5BoutHBendsProportion" "Length5BoutIBendsProportion" "Length6PlusBoutScootsProportion" "Length6PlusBoutJBendsProportion" "Length6PlusBoutCBendsProportion" "Length6PlusBoutOBendsProportion" "Length6PlusBoutEBendsProportion" "Length6PlusBoutGBendsProportion" "Length6PlusBoutHBendsProportion" "Length6PlusBoutIBendsProportion" "Length2Transition_ii_Proportion" "Length2Transition_cj_Proportion" "Length2Transition_cg_Proportion" "Length2Transition_gc_Proportion" "Length2Transition_gi_Proportion" "Length2Transition_cc_Proportion" "Length2Transition_sh_Proportion" "Length2Transition_ei_Proportion" "Length2Transition_jh_Proportion" "Length2Transition_oc_Proportion" "Length2Transition_sc_Proportion" "Length2Transition_og_Proportion" "Length2Transition_jg_Proportion" "Length2Transition_os_Proportion" "Length2Transition_ic_Proportion" "Length2Transition_jj_Proportion" "Length2Transition_sj_Proportion" "Length2Transition_ji_Proportion" "Length2Transition_es_Proportion" "Length2Transition_sg_Proportion" "Length2Transition_si_Proportion" "Length2Transition_cs_Proportion" "Length2Transition_hs_Proportion" "Length2Transition_js_Proportion" "Length2Transition_ss_Proportion" "Length2Transition_gs_Proportion" "Length2Transition_is_Proportion" "Length3Transition_sj_Proportion" "Length3Transition_ii_Proportion" "Length3Transition_jg_Proportion" "Length3Transition_jo_Proportion" "Length3Transition_sg_Proportion" "Length3Transition_os_Proportion" "Length3Transition_hs_Proportion" "Length3Transition_es_Proportion" "Length3Transition_se_Proportion" "Length3Transition_is_Proportion" "Length3Transition_gs_Proportion" "Length3Transition_cs_Proportion" "Length3Transition_js_Proportion" "Length3Transition_ss_Proportion" "Length4Transition_si_Proportion" "Length4Transition_jj_Proportion" "Length4Transition_os_Proportion" "Length4Transition_es_Proportion" "Length4Transition_js_Proportion" "Length4Transition_gs_Proportion" "Length4Transition_cs_Proportion" "Length4Transition_is_Proportion" "Length4Transition_ss_Proportion" "Length5Transition_cs_Proportion" "Length5Transition_os_Proportion" "Length5Transition_js_Proportion" "Length5Transition_ss_Proportion" "Length6PlusTransition_gs_Proportion" "Length6PlusTransition_si_Proportion" "Length6PlusTransition_sg_Proportion" "Length6PlusTransition_is_Proportion" "Length6PlusTransition_js_Proportion" "Length6PlusTransition_ss_Proportion" "Length3Transition_csj_Proportion" "Length3Transition_iis_Proportion" "Length3Transition_jgs_Proportion" "Length3Transition_jos_Proportion" "Length3Transition_sgs_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_hss_Proportion" "Length3Transition_ess_Proportion" "Length3Transition_jse_Proportion" "Length3Transition_iss_Proportion" "Length3Transition_gss_Proportion" "Length3Transition_sss_Proportion" "Length3Transition_jss_Proportion" "Length3Transition_css_Proportion" "Length4Transition_sis_Proportion" "Length4Transition_jjs_Proportion" "Length4Transition_oss_Proportion" "Length4Transition_ess_Proportion" "Length4Transition_jss_Proportion" "Length4Transition_gss_Proportion" "Length4Transition_css_Proportion" "Length4Transition_iss_Proportion" "Length4Transition_sss_Proportion" "Length5Transition_css_Proportion" "Length5Transition_oss_Proportion" "Length5Transition_jss_Proportion" "Length5Transition_sss_Proportion" "Length6PlusTransition_sis_Proportion" "Length6PlusTransition_isg_Proportion" "Length6PlusTransition_gss_Proportion" "Length6PlusTransition_sgs_Proportion" "Length6PlusTransition_jss_Proportion" "Length6PlusTransition_sss_Proportion"
1 63.1666666666667 53.25 6.16666666666667 3.16666666666667 0.416666666666667 0.166666666666667 0 0.214880953885867 0.0855156339142237 0.150626126943594 0.0642366017704342 0.021172471559919 0.193589241808451 0.0634856093345186 0.206493360782992 0.560346889952153 0.0547846889952153 0.027511961722488 0 0.0147727272727273 0.142639743297638 0.0391281233386497 0.160815865421129 0.712121212121212 0.0854256854256853 0.0735930735930735 0 0.0252525252525252 0.0535353535353535 0.00432900432900432 0.0457431457431457 0.875 0 0.03125 0 0 0.03125 0 0.0625 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0.00462962962962963 0.00462962962962963 0.0138888888888889 0.0270833333333333 0.03109335839599 0.0404761904761905 0.0460526315789474 0.0717348927875244 0.0726608187134503 0.13354044834308 0.23041283764968 0.236078042328042 0 0 0 0 0 0 0.00595238095238095 0.0138888888888889 0.0208333333333333 0.0628968253968254 0.0736111111111111 0.101190476190476 0.117460317460317 0.520833333333333 0 0 0 0 0 0.0138888888888889 0.0138888888888889 0.0277777777777778 0.277777777777778 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0.0277777777777778 0.0416666666666667 0.125793650793651 0.147222222222222 0.166666666666667 0.193253968253968 0.202380952380952 0 0 0 0 0 0.0208333333333333 0.0208333333333333 0.0416666666666667 0.25 0 0 0 0.166666666666667 0 0 0 0 0 0
2 31.75 26.5 3.41666666666667 1.33333333333333 0.333333333333333 0.166666666666667 0 0.113648440405973 0.167253376074215 0.134017827581314 0.104550221850258 0.0387466931216931 0.221362579480406 0.0511970410428086 0.169223820443333 0.490740740740741 0.0773809523809524 0.0403439153439153 0.100529100529101 0.00925925925925926 0.12037037037037 0.0343915343915344 0.126984126984127 0.684027777777778 0.0694444444444444 0.0486111111111111 0 0.0138888888888889 0.0590277777777777 0 0.125 0.75 0.0625 0.0625 0 0.0625 0.0625 0 0 0.8 0.1 0 0.1 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.0277777777777778 0.0277777777777778 0.0416666666666667 0.117063492063492 0 0 0.0208333333333333 0 0.0138888888888889 0 0.0277777777777778 0.0267857142857143 0.0515873015873016 0.0535714285714286 0.0615079365079365 0.111111111111111 0.162698412698413 0 0 0 0 0 0 0 0.0138888888888889 0 0.125 0.0590277777777778 0.0486111111111111 0.0694444444444444 0.350694444444444 0 0 0 0.0277777777777778 0.0277777777777778 0.0277777777777778 0.0277777777777778 0 0.222222222222222 0 0.0208333333333333 0.0208333333333333 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0.25 0.118055555555556 0.0347222222222222 0.138888888888889 0.0972222222222222 0 0 0 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0 0.166666666666667 0 0.0277777777777778 0.0277777777777778 0.111111111111111 0 0 0 0 0 0
3 30.1666666666667 25 3 1.66666666666667 0.416666666666667 0.0833333333333333 0 0.202002134563504 0.0917791693502288 0.111956559272451 0.132821502057613 0.0320581046162441 0.096791279328424 0.0525142552112836 0.280076995600251 0.482142857142857 0.099025974025974 0.00649350649350649 0.0378787878787879 0.0113636363636364 0.188311688311688 0.0725108225108225 0.102272727272727 0.718253968253968 0.11031746031746 0.0849206349206348 0.0357142857142857 0 0.0317460317460317 0.00952380952380951 0.00952380952380951 0.7 0.1 0.05 0.1 0 0 0 0.05 0.8 0.2 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0.0119047619047619 0.0208333333333333 0.0396825396825397 0 0 0.0277777777777778 0.0119047619047619 0.0416666666666667 0 0 0.0327380952380952 0 0 0 0.0625 0.0119047619047619 0.0813492063492064 0.0972222222222222 0.0674603174603175 0.305555555555556 0.104166666666667 0 0 0 0.0104166666666667 0.0138888888888889 0.03125 0.00833333333333333 0 0 0.00833333333333333 0.0277777777777778 0.0743055555555556 0.0861111111111111 0.322916666666667 0.0277777777777778 0.0277777777777778 0.0555555555555556 0 0.0277777777777778 0 0.0277777777777778 0.0277777777777778 0.222222222222222 0 0 0.0208333333333333 0.0625 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.0277777777777778 0.0416666666666667 0.0166666666666667 0 0 0.0166666666666667 0.0277777777777778 0.111111111111111 0.172222222222222 0.148611111111111 0.0416666666666667 0.0416666666666667 0.0833333333333333 0 0.0416666666666667 0 0.0416666666666667 0.0416666666666667 0.125 0 0 0.0277777777777778 0.0555555555555556 0 0 0 0 0 0
4 30 25.3333333333333 2.91666666666667 1.33333333333333 0.25 0.0833333333333333 0.0833333333333333 0.0983681176704432 0.100416370881487 0.0703231867185355 0.137340252340252 0.0678717191507889 0.208363006502541 0.0545739746902538 0.262743372045698 0.569444444444444 0.0180555555555556 0.0905555555555556 0.08 0 0.0991666666666667 0.0761111111111111 0.0666666666666667 0.820370370370371 0.0814814814814814 0.0907407407407406 0 0 0.0074074074074074 0 0 0.75 0.125 0 0 0 0.0625 0 0.0625 0.8 0.2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.0166666666666667 0 0 0 0 0 0 0 0.133333333333333 0 0 0 0 0 0 0.0300925925925926 0.117592592592593 0.126851851851852 0.0300925925925926 0.141666666666667 0.156018518518519 0.0717592592592593 0 0 0.00462962962962963 0 0 0 0 0 0 0 0.00462962962962963 0.056712962962963 0.0462962962962963 0.304398148148148 0 0 0 0 0.0277777777777778 0.0138888888888889 0 0.0138888888888889 0.111111111111111 0 0 0.0208333333333333 0.0625 0 0 0 0 0 0.0833333333333333 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0.201388888888889 0.0925925925925926 0.113425925925926 0 0 0 0 0.0416666666666667 0.0208333333333333 0 0.0208333333333333 0.0833333333333333 0 0 0.0277777777777778 0.0555555555555556 0 0 0 0 0 0.0833333333333333
5 16.8333333333333 13.8333333333333 2.08333333333333 0.75 0.166666666666667 0 0 0.251699800290487 0.0281740545220937 0.181687999273784 0.0944852941176471 0.0269319800569801 0.192045835428188 0.0281339031339031 0.196841133176917 0.522727272727273 0.0740740740740741 0.0101010101010101 0.0277777777777778 0.0555555555555556 0.187710437710438 0.0286195286195286 0.0934343434343434 0.811111111111111 0.0222222222222222 0.0999999999999999 0.0333333333333333 0 0 0.0333333333333333 0 0.75 0.125 0 0 0 0 0 0.125 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0.0416666666666667 0 0.0833333333333333 0.0277777777777778 0.0416666666666667 0.00757575757575758 0.0429292929292929 0.0277777777777778 0.0833333333333333 0.204545454545455 0.0984848484848485 0 0 0 0 0 0.0208333333333333 0.0208333333333333 0 0 0 0 0.0625 0.0138888888888889 0.298611111111111 0 0 0 0 0.0277777777777778 0 0 0.0277777777777778 0.111111111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0 0.180555555555556 0.0277777777777778 0.125 0 0 0 0 0.0416666666666667 0 0 0.0416666666666667 0.0833333333333333 0 0 0 0 0 0 0 0 0 0
6 19.6666666666667 16.3333333333333 1.66666666666667 1.33333333333333 0.0833333333333333 0.166666666666667 0.0833333333333333 0.238869741369741 0.1627775002775 0.0769744144744145 0.0587132312132312 0.0539224664224664 0.139459429459429 0.066504329004329 0.202778887778888 0.613636363636364 0.0227272727272727 0.113636363636364 0.0151515151515152 0 0.124242424242424 0.00909090909090909 0.101515151515152 0.740740740740741 0.074074074074074 0 0.0324074074074074 0.0277777777777777 0.0555555555555555 0 0.0694444444444444 0.75 0 0 0.25 0 0 0 0 0.9 0 0.1 0 0 0 0 0 0.833333333333333 0.166666666666667 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0.0416666666666667 0 0 0.0277777777777778 0 0 0 0 0 0 0 0.0833333333333333 0.0166666666666667 0.0416666666666667 0.291666666666667 0.144444444444444 0.186111111111111 0 0 0 0 0 0.0243055555555556 0 0.0208333333333333 0 0.0520833333333333 0.0416666666666667 0 0.0555555555555556 0.305555555555556 0 0 0.0277777777777778 0 0 0 0 0 0.0555555555555556 0.0208333333333333 0 0 0.145833333333333 0 0 0 0 0.0166666666666667 0.0666666666666667 0 0 0 0 0 0.0486111111111111 0 0.0416666666666667 0 0.104166666666667 0.0833333333333333 0.111111111111111 0.111111111111111 0 0 0 0.0416666666666667 0 0 0 0 0 0.0416666666666667 0.0277777777777778 0 0 0.138888888888889 0 0 0 0 0.0208333333333333 0.0625
7 12.4166666666667 10.25 1.33333333333333 0.666666666666667 0.0833333333333333 0.0833333333333333 0 0.193518193518194 0.113406617952072 0.0890159935614481 0.0914246005155096 0.00826446280991736 0.167120130756494 0.0631417722326813 0.274108228653683 0.59375 0 0.078125 0.015625 0 0.15625 0.03125 0.125 0.777777777777778 0.0277777777777777 0 0 0.0555555555555555 0.0833333333333332 0 0.0555555555555555 0.75 0 0.25 0 0 0 0 0 0.8 0.2 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0.0833333333333333 0 0.104166666666667 0.0416666666666667 0 0.125 0.125 0.166666666666667 0 0 0 0 0 0 0 0.0416666666666667 0 0.0416666666666667 0.0625 0 0.0208333333333333 0.333333333333333 0 0 0 0 0 0 0.0277777777777778 0 0.0555555555555556 0 0 0.0208333333333333 0.0625 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0.0833333333333333 0.125 0.166666666666667 0.0416666666666667 0 0 0 0 0 0 0 0.0416666666666667 0 0.0416666666666667 0 0 0.0277777777777778 0.0555555555555556 0 0 0 0 0 0
8 11.75 9.5 1.41666666666667 0.666666666666667 0.0833333333333333 0.0833333333333333 0 0.298408535908536 0.10231573981574 0.10499222999223 0.0973554223554224 0.0183760683760684 0.189606227106227 0.0521173271173271 0.136828449328449 0.569444444444444 0 0.0833333333333333 0.0555555555555556 0.0555555555555556 0.111111111111111 0.0555555555555556 0.0694444444444444 0.75 0 0.138888888888889 0 0 0.0277777777777777 0.0833333333333332 0 0.75 0 0 0 0.25 0 0 0 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0.0833333333333333 0.0208333333333333 0 0.125 0.0833333333333333 0 0.104166666666667 0.145833333333333 0.104166666666667 0 0 0 0 0 0 0.0625 0 0 0 0.0208333333333333 0.104166666666667 0 0.3125 0 0 0 0.0277777777777778 0 0 0 0 0.0555555555555556 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.125 0 0 0 0.0416666666666667 0.125 0 0.208333333333333 0 0 0 0.0416666666666667 0 0 0 0 0.0416666666666667 0 0 0 0.0833333333333333 0 0 0 0 0 0
9 8.5 7 0.5 0.833333333333333 0.0833333333333333 0 0 0.212083333333333 0.116273291925466 0.0902484472049689 0.0433333333333333 0.0478571428571429 0.0859549689440994 0.013695652173913 0.390553830227743 0.6 0 0 0.05 0 0.1 0 0.25 0.711111111111111 0.133333333333333 0.0888888888888888 0.0333333333333333 0 0 0 0.0333333333333333 0.75 0 0 0 0.25 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0833333333333333 0.208333333333333 0 0 0 0 0 0.0208333333333333 0 0 0 0.0208333333333333 0 0.0555555555555556 0.0833333333333333 0.236111111111111 0 0 0 0.0277777777777778 0 0 0 0 0.0555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0.0416666666666667 0 0.0555555555555556 0.166666666666667 0.111111111111111 0 0 0 0.0416666666666667 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0
10 10.25 8.33333333333333 0.75 0.833333333333333 0 0.166666666666667 0.0833333333333333 0.254138286893705 0.238417612659099 0.0667354661162711 0.0707361541107671 0.016374269005848 0.104385964912281 0.0229102167182663 0.226302029583763 0.625 0.0416666666666667 0.166666666666667 0.0416666666666667 0 0 0 0.125 0.819444444444445 0 0 0.0277777777777777 0 0 0.0138888888888889 0.138888888888889 NA NA NA NA NA NA NA NA 0.9 0 0 0.1 0 0 0 0 0.666666666666667 0 0 0 0 0.166666666666667 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0.166666666666667 0 0.0416666666666667 0.125 0 0.125 0 0 0 0 0 0.0208333333333333 0.0104166666666667 0 0 0.104166666666667 0 0 0 0.364583333333333 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0.145833333333333 0.0166666666666667 0.0166666666666667 0.0166666666666667 0.0166666666666667 0 0.0166666666666667 0 0 0 0 0 0.0416666666666667 0.0208333333333333 0 0 0.208333333333333 0 0.229166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0.138888888888889 0.0208333333333333 0.0208333333333333 0.0208333333333333 0.0208333333333333 0 0
11 33.75 27.3333333333333 3.91666666666667 2.16666666666667 0.25 0.0833333333333333 0 0.214787375648031 0.0995498809023399 0.141381182569707 0.0508739666526552 0.00709331651954603 0.164765482695811 0.0720278128065013 0.249520982205408 0.610625 0.010625 0.0275 0.003125 0 0.193125 0.053125 0.101875 0.777777777777778 0.0185185185185185 0.0231481481481481 0 0 0.0648148148148147 0.0555555555555555 0.0601851851851851 0.75 0 0 0 0 0.166666666666667 0 0.0833333333333333 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0.00416666666666667 0.00520833333333333 0 0 0.00416666666666667 0.00520833333333333 0 0.108333333333333 0.0885416666666667 0.0458333333333333 0.0885416666666667 0.00416666666666667 0.235416666666667 0.167708333333333 0.034375 0 0.00347222222222222 0 0 0 0 0.0416666666666667 0 0 0.0416666666666667 0.0486111111111111 0.0173611111111111 0.0138888888888889 0.333333333333333 0 0 0 0 0 0.0555555555555556 0 0.0277777777777778 0.166666666666667 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0.0833333333333333 0 0 0.0763888888888889 0.0972222222222222 0.173611111111111 0.0277777777777778 0.0347222222222222 0 0 0 0 0 0.0833333333333333 0 0.0416666666666667 0.125 0 0 0 0.0833333333333333 0 0 0 0 0 0
12 16 13.3333333333333 0.75 1.5 0.0833333333333333 0.25 0.0833333333333333 0.212298654980032 0.125978522270654 0.0908402426401433 0.134023375432044 0.0345072239422085 0.193693673541357 0.0285383269494491 0.180119980244111 0.541666666666667 0.03125 0.03125 0 0 0.1875 0 0.208333333333333 0.793650793650794 0.0555555555555555 0.0674603174603174 0.0158730158730159 0 0.00793650793650793 0.0238095238095238 0.0357142857142857 0.75 0 0 0.25 0 0 0 0 0.933333333333333 0 0 0.0666666666666667 0 0 0 0 0.857142857142857 0.142857142857143 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.0277777777777778 0 0 0 0.0486111111111111 0.104166666666667 0.111111111111111 0.00694444444444444 0 0 0 0 0.0138888888888889 0.0208333333333333 0 0 0.03125 0.00694444444444444 0.0590277777777778 0.0416666666666667 0.402777777777778 0 0 0.0277777777777778 0 0 0 0 0 0.0555555555555556 0 0.0208333333333333 0 0.229166666666667 0 0 0 0 0.0138888888888889 0.0694444444444444 0.0138888888888889 0 0 0 0 0.0277777777777778 0.0416666666666667 0 0 0.0625 0.0138888888888889 0.236111111111111 0.0833333333333333 0.104166666666667 0 0 0.0416666666666667 0 0 0 0 0 0.0416666666666667 0 0.0277777777777778 0 0.222222222222222 0 0 0 0 0.0166666666666667 0.0666666666666667
13 25 21.7272727272727 2.18181818181818 0.909090909090909 0.0909090909090909 0.0909090909090909 0 0.2670674231782 0.15750346633098 0.124383662026648 0.0680555555555555 0.0117424242424242 0.126537120147897 0.0581192721921199 0.186591076326176 0.513157894736842 0.0888157894736842 0.131578947368421 0 0 0.0197368421052632 0 0.246710526315789 0.736111111111111 0.0138888888888889 0.0416666666666666 0.0833333333333332 0 0.0138888888888889 0.0138888888888889 0.0972222222222221 0.75 0 0 0 0 0 0 0.25 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0.0043859649122807 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.0043859649122807 0 0 0 0 0 0.0460526315789474 0 0.0504385964912281 0.0175438596491228 0.0131578947368421 0.155701754385965 0 0 0 0 0 0.0416666666666667 0.00694444444444444 0 0 0.0486111111111111 0.00694444444444444 0.0208333333333333 0.00694444444444444 0.201388888888889 0 0 0 0 0 0 0 0.0277777777777778 0.0555555555555556 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0138888888888889 0 0 0.0972222222222222 0.0138888888888889 0.0694444444444444 0.0138888888888889 0.0416666666666667 0 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0.0833333333333333 0 0 0 0 0 0
