"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "Length1BoutScootsProportion" "Length1BoutJBendsProportion" "Length1BoutCBendsProportion" "Length1BoutOBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "Length1BoutHBendsProportion" "Length1BoutIBendsProportion" "Length2BoutScootsProportion" "Length2BoutJBendsProportion" "Length2BoutCBendsProportion" "Length2BoutOBendsProportion" "Length2BoutEBendsProportion" "Length2BoutGBendsProportion" "Length2BoutHBendsProportion" "Length2BoutIBendsProportion" "Length3BoutScootsProportion" "Length3BoutJBendsProportion" "Length3BoutCBendsProportion" "Length3BoutOBendsProportion" "Length3BoutEBendsProportion" "Length3BoutGBendsProportion" "Length3BoutHBendsProportion" "Length3BoutIBendsProportion" "Length4BoutScootsProportion" "Length4BoutJBendsProportion" "Length4BoutCBendsProportion" "Length4BoutOBendsProportion" "Length4BoutEBendsProportion" "Length4BoutGBendsProportion" "Length4BoutHBendsProportion" "Length4BoutIBendsProportion" "Length5BoutScootsProportion" "Length5BoutJBendsProportion" "Length5BoutCBendsProportion" "Length5BoutOBendsProportion" "Length5BoutEBendsProportion" "Length5BoutGBendsProportion" "Length5BoutHBendsProportion" "Length5BoutIBendsProportion" "Length6PlusBoutScootsProportion" "Length6PlusBoutJBendsProportion" "Length6PlusBoutCBendsProportion" "Length6PlusBoutOBendsProportion" "Length6PlusBoutEBendsProportion" "Length6PlusBoutGBendsProportion" "Length6PlusBoutHBendsProportion" "Length6PlusBoutIBendsProportion" "Length2Transition_ce_Proportion" "Length2Transition_ig_Proportion" "Length2Transition_cg_Proportion" "Length2Transition_gj_Proportion" "Length2Transition_eg_Proportion" "Length2Transition_gi_Proportion" "Length2Transition_og_Proportion" "Length2Transition_se_Proportion" "Length2Transition_sc_Proportion" "Length2Transition_ei_Proportion" "Length2Transition_os_Proportion" "Length2Transition_gg_Proportion" "Length2Transition_ji_Proportion" "Length2Transition_js_Proportion" "Length2Transition_es_Proportion" "Length2Transition_hs_Proportion" "Length2Transition_si_Proportion" "Length2Transition_so_Proportion" "Length2Transition_cs_Proportion" "Length2Transition_sg_Proportion" "Length2Transition_is_Proportion" "Length2Transition_sj_Proportion" "Length2Transition_gs_Proportion" "Length2Transition_ss_Proportion" "Length3Transition_gg_Proportion" "Length3Transition_se_Proportion" "Length3Transition_sc_Proportion" "Length3Transition_si_Proportion" "Length3Transition_hs_Proportion" "Length3Transition_cs_Proportion" "Length3Transition_sg_Proportion" "Length3Transition_eg_Proportion" "Length3Transition_is_Proportion" "Length3Transition_gs_Proportion" "Length3Transition_so_Proportion" "Length3Transition_os_Proportion" "Length3Transition_es_Proportion" "Length3Transition_sj_Proportion" "Length3Transition_js_Proportion" "Length3Transition_ss_Proportion" "Length4Transition_hg_Proportion" "Length4Transition_jj_Proportion" "Length4Transition_sc_Proportion" "Length4Transition_cs_Proportion" "Length4Transition_ig_Proportion" "Length4Transition_os_Proportion" "Length4Transition_gg_Proportion" "Length4Transition_js_Proportion" "Length4Transition_is_Proportion" "Length4Transition_sj_Proportion" "Length4Transition_hs_Proportion" "Length4Transition_sg_Proportion" "Length4Transition_gs_Proportion" "Length4Transition_ss_Proportion" "Length5Transition_hs_Proportion" "Length5Transition_sg_Proportion" "Length5Transition_os_Proportion" "Length5Transition_js_Proportion" "Length5Transition_is_Proportion" "Length5Transition_cs_Proportion" "Length5Transition_gs_Proportion" "Length5Transition_ss_Proportion" "Length6PlusTransition_gg_Proportion" "Length6PlusTransition_os_Proportion" "Length6PlusTransition_oi_Proportion" "Length6PlusTransition_is_Proportion" "Length6PlusTransition_gs_Proportion" "Length6PlusTransition_sg_Proportion" "Length6PlusTransition_ss_Proportion" "Length3Transition_ggs_Proportion" "Length3Transition_ses_Proportion" "Length3Transition_sis_Proportion" "Length3Transition_isc_Proportion" "Length3Transition_ssg_Proportion" "Length3Transition_hss_Proportion" "Length3Transition_css_Proportion" "Length3Transition_sgs_Proportion" "Length3Transition_jss_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_iss_Proportion" "Length3Transition_egs_Proportion" "Length3Transition_gss_Proportion" "Length3Transition_sos_Proportion" "Length3Transition_ess_Proportion" "Length3Transition_sjs_Proportion" "Length3Transition_sss_Proportion" "Length4Transition_hgs_Proportion" "Length4Transition_sjj_Proportion" "Length4Transition_ssj_Proportion" "Length4Transition_scs_Proportion" "Length4Transition_ssg_Proportion" "Length4Transition_css_Proportion" "Length4Transition_igs_Proportion" "Length4Transition_oss_Proportion" "Length4Transition_gsg_Proportion" "Length4Transition_sgg_Proportion" "Length4Transition_jss_Proportion" "Length4Transition_sjs_Proportion" "Length4Transition_iss_Proportion" "Length4Transition_sgs_Proportion" "Length4Transition_hss_Proportion" "Length4Transition_gss_Proportion" "Length4Transition_sss_Proportion" "Length5Transition_ssg_Proportion" "Length5Transition_hss_Proportion" "Length5Transition_sgs_Proportion" "Length5Transition_oss_Proportion" "Length5Transition_jss_Proportion" "Length5Transition_iss_Proportion" "Length5Transition_css_Proportion" "Length5Transition_gss_Proportion" "Length5Transition_sss_Proportion" "Length6PlusTransition_ssg_Proportion" "Length6PlusTransition_sgg_Proportion" "Length6PlusTransition_ggg_Proportion" "Length6PlusTransition_ois_Proportion" "Length6PlusTransition_osg_Proportion" "Length6PlusTransition_iss_Proportion" "Length6PlusTransition_gss_Proportion" "Length6PlusTransition_sgs_Proportion" "Length6PlusTransition_sss_Proportion"
1 95.0833333333333 86.4166666666667 3.83333333333333 4.08333333333333 0.25 0.333333333333333 0.166666666666667 0.880837128616249 0.0320212179398344 0.00526432691066837 0.0104385002385361 0.00955115627371725 0.0504741816518387 0.00216450216450216 0.00924898620465398 0.872359307359307 0.00714285714285714 0 0 0 0.115952380952381 0 0.00454545454545455 0.981378600823045 0.0074074074074074 0 0.00411522633744856 0.00462962962962963 0.00246913580246913 0 0 0.875 0 0 0 0 0.125 0 0 1 0 0 0 0 0 0 0 0.916666666666667 0 0 0 0 0.0833333333333335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0.0119047619047619 0.193253968253968 0.620598845598846 0 0 0 0 0 0 0 0 0 0.00277777777777778 0.00462962962962963 0.00462962962962963 0.00520833333333333 0.00833333333333333 0.00833333333333333 0.716087962962963 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.138888888888889 0 0 0 0 0 0 0 0.25 0 0 0 0 0.0166666666666667 0.0166666666666667 0.133333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0.00925925925925926 0.0104166666666667 0.0166666666666667 0.708101851851852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.125 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0.0208333333333333 0.0208333333333333 0.125
2 81.9166666666667 66.9166666666667 6.66666666666667 6.25 1.25 0.5 0.333333333333333 0.746383245509121 0.0383241001865367 0.0218502697118276 0.00603093662731658 0.0273711012704018 0.123542580326373 0.00407781162731658 0.032419954741107 0.798667998667999 0.00757575757575758 0.0147727272727273 0.0095959595959596 0.00378787878787879 0.125613275613276 0.00643939393939394 0.0335470085470085 0.911544011544012 0.00606060606060605 0.00606060606060605 0.00811688311688311 0.0101010101010101 0.0426767676767676 0.00303030303030303 0.0124098124098124 0.902777777777778 0.0208333333333333 0 0 0 0.0347222222222222 0.0208333333333333 0.0208333333333333 0.98 0 0 0 0 0.02 0 0 0.944444444444444 0 0 0 0 0.0555555555555557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0.00694444444444444 0.00694444444444444 0.0118055555555556 0.0162037037037037 0.0175925925925926 0.0270833333333333 0.0833333333333333 0.0418269230769231 0.00347222222222222 0.146957671957672 0.55103021978022 0 0 0.00277777777777778 0.00277777777777778 0.00416666666666667 0.00555555555555556 0.0118055555555556 0.0138888888888889 0.0170634920634921 0.0552083333333333 0 0.0111607142857143 0 0 0.00833333333333333 0.783928571428571 0 0 0 0 0 0 0 0.0138888888888889 0.0138888888888889 0.0138888888888889 0.0138888888888889 0.0138888888888889 0.0231481481481482 0.407407407407407 0 0 0 0 0 0 0.0104166666666667 0.40625 0 0 0 0 0.0166666666666667 0.0166666666666667 0.216666666666667 0 0 0.00555555555555556 0.00555555555555556 0.00694444444444444 0.00833333333333333 0.0111111111111111 0.0166666666666667 0.0166666666666667 0.0223214285714286 0.023015873015873 0.0277777777777778 0.0659722222222222 0 0 0 0.706746031746032 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.0208333333333333 0.0208333333333333 0.0208333333333333 0.0208333333333333 0.0347222222222222 0.361111111111111 0 0 0 0 0 0 0 0.0138888888888889 0.402777777777778 0 0 0 0 0 0 0.0208333333333333 0.0208333333333333 0.208333333333333
3 61.9166666666667 45.4166666666667 5.66666666666667 7.58333333333333 1.66666666666667 1.25 0.333333333333333 0.649395184822684 0.0359688297155507 0.0742394767412995 0.0251425335838662 0.0336984279555699 0.106090012286196 0.0156971319160803 0.0597684029787532 0.68827380952381 0.00857142857142857 0.00357142857142857 0.00714285714285714 0.0219642857142857 0.204285714285714 0 0.0661904761904762 0.829158249158249 0.0403703703703703 0.0226851851851852 0.00469696969696969 0.0272390572390572 0.0519612794612794 0.00537037037037036 0.0185185185185185 0.815104166666667 0 0.0078125 0.0208333333333333 0 0.114583333333333 0.03125 0.0104166666666667 0.95 0.00714285714285714 0.00714285714285714 0 0 0.0285714285714286 0 0.00714285714285714 0.896825396825397 0 0 0.0515873015873017 0 0.0277777777777778 0 0.0238095238095238 0 0 0 0 0 0 0 0.00595238095238095 0.00595238095238095 0.00833333333333333 0.0119047619047619 0.0520833333333333 0 0.0142857142857143 0.0223214285714286 0 0.0119047619047619 0 0 0.0441468253968254 0.0900793650793651 0 0.192162698412698 0.374206349206349 0.00833333333333333 0.0138888888888889 0 0 0.00671296296296296 0.0283564814814815 0.00462962962962963 0 0.0231481481481482 0.056618265993266 0 0.00587121212121212 0.0340488215488215 0 0.050462962962963 0.601262626262626 0 0 0 0.00694444444444444 0.00925925925925926 0.0185185185185185 0.0277777777777778 0 0 0 0.0277777777777778 0.0277777777777778 0.0462962962962963 0.502314814814815 0 0 0 0.00520833333333333 0.00520833333333333 0.00520833333333333 0.0208333333333333 0.546875 0 0.00757575757575758 0.00757575757575758 0.00757575757575758 0.00757575757575758 0.00757575757575758 0.212121212121212 0.0166666666666667 0.0277777777777778 0 0 0 0.0134259259259259 0.056712962962963 0.00925925925925926 0.100925925925926 0.0117424242424242 0.0462962962962963 0 0.0873106060606061 0 0.0403198653198653 0 0.422895622895623 0 0 0 0 0 0.0104166666666667 0.0138888888888889 0.0277777777777778 0.0416666666666667 0.0416666666666667 0 0 0 0 0.0416666666666667 0.0277777777777778 0.461805555555556 0 0 0 0 0.00694444444444444 0.00694444444444444 0.00694444444444444 0.0277777777777778 0.534722222222222 0 0 0 0.00925925925925926 0.00925925925925926 0.00925925925925926 0.00925925925925926 0.00925925925925926 0.203703703703704
4 98.5833333333333 89.0833333333333 4.33333333333333 4.5 0.166666666666667 0.416666666666667 0.0833333333333333 0.868803570048063 0.0410964002398627 0.00676587955116287 0.0144958921027519 0.00476044795490785 0.049278533398986 0.00502469006539341 0.0097745866388722 0.902008547008547 0.0094017094017094 0 0.0163461538461538 0 0.0545512820512821 0 0.0176923076923077 0.9625 0.00972222222222221 0.00208333333333333 0.00833333333333332 0.00208333333333333 0.0131944444444444 0 0.00208333333333333 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0.0208333333333333 0 0 0.00925925925925926 0 0 0 0 0 0.0208333333333333 0.0294871794871795 0.00641025641025641 0.0636752136752137 0.676424501424501 0 0 0 0 0 0.00260416666666667 0 0 0.00260416666666667 0.0164930555555556 0 0.0104166666666667 0.00260416666666667 0 0.0121527777777778 0.786458333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0.416666666666667 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0.00520833333333333 0 0.0243055555555556 0.0208333333333333 0.00520833333333333 0 0.0329861111111111 0 0.00520833333333333 0 0.739583333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0.416666666666667 0 0 0 0 0 0 0 0 0.0833333333333333
5 112.25 101.166666666667 5.25 4.5 1 0.25 0 0.855082858505294 0.0363002332493616 0.0189239495423345 0.00916525666397439 0.00817478187447228 0.0484561948866414 0.0032945758724474 0.0206021494054744 0.841533466533467 0.00757575757575758 0.0110722610722611 0.00909090909090909 0.0186480186480186 0.0964951714951715 0 0.0155844155844156 0.961952861952862 0 0.00336700336700336 0.0109427609427609 0.00606060606060605 0.0176767676767677 0 0 0.902777777777778 0 0 0 0 0.0972222222222222 0 0 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0.0166666666666667 0.0166666666666667 0 0.00641025641025641 0 0 0 0 0 0.0341880341880342 0 0 0 0.0138888888888889 0.0433760683760684 0.0119047619047619 0.0138888888888889 0.100198412698413 0.659478021978022 0.00462962962962963 0 0 0 0 0.00462962962962963 0 0 0 0.0196759259259259 0 0.0150462962962963 0.00833333333333333 0 0 0.864351851851852 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.0416666666666667 0.0138888888888889 0.652777777777778 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0.00925925925925926 0 0 0.0300925925925926 0 0 0.0300925925925926 0 0.0166666666666667 0 0.821296296296296 0 0 0 0 0.0625 0 0 0 0 0.0625 0 0 0 0 0 0.0208333333333333 0.604166666666667 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0
6 100.916666666667 91.5 4.16666666666667 4.16666666666667 0.583333333333333 0.5 0 0.809820428097795 0.0244685075168804 0.00968246056925443 0.00794835231639058 0.032860305958132 0.0638487325280809 0.0226083700388368 0.0287628429746304 0.791325341325341 0.0603146853146853 0.00649350649350649 0 0.0186480186480186 0.123218448218448 0 0 0.95 0.0166666666666666 0.0222222222222222 0 0 0 0 0.0111111111111111 0.975 0 0 0 0 0.025 0 0 0.966666666666667 0 0 0 0 0.0333333333333333 0 0 NA NA NA NA NA NA NA NA 0 0 0 0.0208333333333333 0.0277777777777778 0 0 0.00641025641025641 0.0119047619047619 0 0 0 0 0.00641025641025641 0 0 0 0 0 0.00641025641025641 0 0.0833333333333333 0.170879120879121 0.58270757020757 0 0 0 0 0 0.0277777777777778 0 0 0.0138888888888889 0 0 0 0 0 0.0208333333333333 0.770833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.402777777777778 0 0 0 0 0 0 0.0104166666666667 0.239583333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0555555555555556 0 0.0416666666666667 0 0.0277777777777778 0 0 0 0 0 0.708333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.395833333333333 0 0 0 0 0 0 0 0.0138888888888889 0.236111111111111 0 0 0 0 0 0 0 0 0
7 92 83.0833333333333 3.66666666666667 4.25 0.25 0.333333333333333 0.333333333333333 0.839706732330179 0.0254970601423415 0.00267261068970953 0.0231869463161674 0.0254969471880792 0.0555267845299617 0.00166809034817262 0.0262448284553889 0.831734006734007 0.0185185185185185 0.0138888888888889 0.0111111111111111 0 0.0753367003367003 0.00505050505050505 0.0443602693602694 0.977777777777778 0 0 0 0 0.0222222222222222 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0.0166666666666667 0 0 0 0 0.00757575757575758 0.0284090909090909 0 0.0208333333333333 0.00757575757575758 0.0311868686868687 0.0277777777777778 0.0984848484848485 0.504545454545455 0 0 0 0 0 0 0.00416666666666667 0 0 0.0236111111111111 0 0 0 0 0 0.805555555555555 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0.0472222222222222 0 0 0 0.777777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0.333333333333333
8 105.166666666667 97.1666666666667 4 3.25 0.416666666666667 0.25 0.0833333333333333 0.887652592501815 0.0232794826203421 0.011058827625152 0.00314873433720129 0.00852641283476065 0.0467592192213061 0.00344999997798152 0.0161247308814409 0.89 0.0155555555555556 0.01 0.0166666666666667 0 0.0255555555555556 0.01 0.0322222222222222 0.969135802469136 0.00617283950617283 0.0123456790123457 0 0 0 0 0.0123456790123457 0.9375 0 0 0 0 0.0625 0 0 0.933333333333333 0 0 0 0 0.0666666666666667 0 0 0.5 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0.0277777777777778 0 0.0166666666666667 0.00925925925925926 0 0.0166666666666667 0 0 0 0.0166666666666667 0.037037037037037 0 0.0259259259259259 0.666666666666667 0 0 0 0 0 0.0138888888888889 0 0 0.0138888888888889 0 0 0 0 0 0.00694444444444444 0.715277777777778 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.305555555555556 0 0 0 0 0 0 0.0208333333333333 0.229166666666667 0.0333333333333333 0 0 0 0 0.0166666666666667 0.0333333333333333 0 0 0 0 0 0 0.0277777777777778 0 0.0138888888888889 0 0.0277777777777778 0 0 0 0 0 0.680555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.291666666666667 0 0 0 0 0 0 0 0.0277777777777778 0.222222222222222 0.0208333333333333 0.0208333333333333 0.0208333333333333 0 0 0 0 0 0.0208333333333333
9 90.1666666666667 81 3.91666666666667 4 0.5 0.5 0.166666666666667 0.8360970945399 0.0278802708256815 0.0100361497506987 0.0109980127489872 0.0122126555292595 0.0856412845352869 0.00502028010745032 0.0121142519627358 0.82034632034632 0.0242424242424242 0 0 0.00649350649350649 0.079978354978355 0.0318181818181818 0.0371212121212121 0.977142857142857 0 0.00238095238095238 0 0 0.0114285714285714 0.00238095238095238 0.00666666666666666 0.775 0 0.025 0.05 0 0.15 0 0 0.98 0 0 0.02 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0.0444444444444444 0.0119047619047619 0.0583333333333333 0.0104166666666667 0 0 0 0.0576388888888889 0 0.125793650793651 0.597718253968254 0 0 0 0 0.00297619047619048 0.00297619047619048 0.00833333333333333 0 0.00833333333333333 0.0142857142857143 0 0 0 0 0 0.796428571428571 0 0 0.0138888888888889 0.0138888888888889 0 0.0277777777777778 0.0277777777777778 0 0 0 0 0.0277777777777778 0.0277777777777778 0.277777777777778 0 0 0.0104166666666667 0 0 0 0 0.40625 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0.00595238095238095 0.00595238095238095 0.0166666666666667 0 0 0.0166666666666667 0 0.0119047619047619 0 0 0 0.776190476190476 0 0 0 0.0208333333333333 0 0.0208333333333333 0 0.0416666666666667 0.0416666666666667 0.0416666666666667 0 0 0 0 0 0 0.25 0 0 0 0.0138888888888889 0 0 0 0 0.402777777777778 0 0 0 0 0 0 0 0 0.166666666666667
10 78.5833333333333 69.75 3.75 3.41666666666667 1.08333333333333 0.416666666666667 0.0833333333333333 0.916283282853642 0.0195830488543468 0.00614822472679985 0.00667708873431045 0.00772202081372529 0.029335027137993 0.00382633007266438 0.0104249768065178 0.834104938271605 0.00793650793650794 0.00793650793650794 0.00793650793650794 0 0.113095238095238 0 0.0289902998236332 0.956068376068376 0 0.00256410256410256 0 0 0.0254700854700854 0.00256410256410256 0.0133333333333333 0.908333333333333 0.05 0 0.0166666666666667 0 0.025 0 0 0.925 0 0 0.05 0 0.025 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0 0 0 0 0.0119047619047619 0.0659722222222222 0.0434854497354497 0.0119047619047619 0.103670634920635 0.501157407407407 0 0 0 0 0.00320512820512821 0.00320512820512821 0 0 0.0166666666666667 0.0318376068376068 0 0 0 0 0 0.778418803418803 0 0.0138888888888889 0 0 0 0.00925925925925926 0 0 0 0.0138888888888889 0 0 0.0138888888888889 0.365740740740741 0 0.0104166666666667 0.0208333333333333 0 0 0 0.0104166666666667 0.291666666666667 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0.00641025641025641 0.00641025641025641 0 0 0 0.0333333333333333 0 0.0636752136752137 0 0 0 0.723504273504273 0 0.0208333333333333 0.0208333333333333 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0.0208333333333333 0.340277777777778 0 0 0.0138888888888889 0.0277777777777778 0 0 0 0.0138888888888889 0.277777777777778 0 0 0 0 0 0 0 0 0.0833333333333333
