"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "Length1BoutScootsProportion" "Length1BoutJBendsProportion" "Length1BoutCBendsProportion" "Length1BoutOBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "Length1BoutHBendsProportion" "Length1BoutIBendsProportion" "Length2BoutScootsProportion" "Length2BoutJBendsProportion" "Length2BoutCBendsProportion" "Length2BoutOBendsProportion" "Length2BoutEBendsProportion" "Length2BoutGBendsProportion" "Length2BoutHBendsProportion" "Length2BoutIBendsProportion" "Length3BoutScootsProportion" "Length3BoutJBendsProportion" "Length3BoutCBendsProportion" "Length3BoutOBendsProportion" "Length3BoutEBendsProportion" "Length3BoutGBendsProportion" "Length3BoutHBendsProportion" "Length3BoutIBendsProportion" "Length4BoutScootsProportion" "Length4BoutJBendsProportion" "Length4BoutCBendsProportion" "Length4BoutOBendsProportion" "Length4BoutEBendsProportion" "Length4BoutGBendsProportion" "Length4BoutHBendsProportion" "Length4BoutIBendsProportion" "Length5BoutScootsProportion" "Length5BoutJBendsProportion" "Length5BoutCBendsProportion" "Length5BoutOBendsProportion" "Length5BoutEBendsProportion" "Length5BoutGBendsProportion" "Length5BoutHBendsProportion" "Length5BoutIBendsProportion" "Length6PlusBoutScootsProportion" "Length6PlusBoutJBendsProportion" "Length6PlusBoutCBendsProportion" "Length6PlusBoutOBendsProportion" "Length6PlusBoutEBendsProportion" "Length6PlusBoutGBendsProportion" "Length6PlusBoutHBendsProportion" "Length6PlusBoutIBendsProportion" "Length2Transition_oj_Proportion" "Length2Transition_gj_Proportion" "Length2Transition_gh_Proportion" "Length2Transition_oc_Proportion" "Length2Transition_si_Proportion" "Length2Transition_sc_Proportion" "Length2Transition_ji_Proportion" "Length2Transition_sh_Proportion" "Length2Transition_jg_Proportion" "Length2Transition_so_Proportion" "Length2Transition_hs_Proportion" "Length2Transition_ej_Proportion" "Length2Transition_se_Proportion" "Length2Transition_es_Proportion" "Length2Transition_sj_Proportion" "Length2Transition_sg_Proportion" "Length2Transition_cs_Proportion" "Length2Transition_jj_Proportion" "Length2Transition_gg_Proportion" "Length2Transition_js_Proportion" "Length2Transition_os_Proportion" "Length2Transition_is_Proportion" "Length2Transition_gs_Proportion" "Length2Transition_ss_Proportion" "Length3Transition_es_Proportion" "Length3Transition_hs_Proportion" "Length3Transition_cs_Proportion" "Length3Transition_is_Proportion" "Length3Transition_os_Proportion" "Length3Transition_gs_Proportion" "Length3Transition_js_Proportion" "Length3Transition_ss_Proportion" "Length4Transition_cc_Proportion" "Length4Transition_cs_Proportion" "Length4Transition_sc_Proportion" "Length4Transition_ji_Proportion" "Length4Transition_is_Proportion" "Length4Transition_so_Proportion" "Length4Transition_os_Proportion" "Length4Transition_gg_Proportion" "Length4Transition_sg_Proportion" "Length4Transition_ss_Proportion" "Length5Transition_js_Proportion" "Length5Transition_os_Proportion" "Length5Transition_gs_Proportion" "Length5Transition_ss_Proportion" "Length6PlusTransition_gs_Proportion" "Length6PlusTransition_ss_Proportion" "Length3Transition_ess_Proportion" "Length3Transition_hss_Proportion" "Length3Transition_css_Proportion" "Length3Transition_iss_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_gss_Proportion" "Length3Transition_jss_Proportion" "Length3Transition_sss_Proportion" "Length4Transition_scc_Proportion" "Length4Transition_csc_Proportion" "Length4Transition_jis_Proportion" "Length4Transition_iss_Proportion" "Length4Transition_sos_Proportion" "Length4Transition_oss_Proportion" "Length4Transition_ssg_Proportion" "Length4Transition_sgg_Proportion" "Length4Transition_sss_Proportion" "Length5Transition_jss_Proportion" "Length5Transition_oss_Proportion" "Length5Transition_gss_Proportion" "Length5Transition_sss_Proportion" "Length6PlusTransition_gss_Proportion" "Length6PlusTransition_sss_Proportion"
1 151.416666666667 139.416666666667 5.58333333333333 5.66666666666667 0.25 0.416666666666667 0.0833333333333333 0.692872208589654 0.0700410039481123 0.0371502147590703 0.0198544384568715 0.0173439317347553 0.104835902808867 0.0135746430129404 0.044327656689729 0.781394993894994 0.0339590964590965 0.00618131868131868 0.0375 0.00595238095238095 0.0880876068376068 0 0.0469246031746032 0.907676767676768 0.0263636363636363 0.0124747474747475 0.0161111111111111 0 0.021010101010101 0.00303030303030303 0.0133333333333333 0.833333333333333 0 0 0 0 0.166666666666667 0 0 0.966666666666667 0 0 0 0 0.0333333333333333 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.00595238095238095 0.00595238095238095 0.00641025641025641 0.0123626373626374 0.0138888888888889 0.0138888888888889 0.0341880341880342 0.075 0.0938492063492063 0.14198717948718 0.590567765567766 0 0.00378787878787879 0.0155934343434343 0.0166666666666667 0.0201388888888889 0.0262626262626263 0.0329545454545455 0.717929292929293 0 0 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0.194444444444444 0 0 0.00694444444444444 0.159722222222222 0 0.0833333333333333 0 0.00757575757575758 0.0311868686868687 0.0333333333333333 0.0402777777777778 0.0525252525252525 0.0659090909090909 0.602525252525253 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0.166666666666667 0 0 0.00925925925925926 0.157407407407407 0 0.0833333333333333
2 44.5833333333333 38.8333333333333 2.83333333333333 2.58333333333333 0.166666666666667 0.166666666666667 0 0.759955281637839 0.0455030662939133 0.0280767336485422 0.00451536643026005 0.00705918684642089 0.108164280205504 0.0060058538781943 0.0407202310593268 0.586111111111111 0.0321428571428571 0 0.00833333333333333 0.025 0.228571428571429 0.0182539682539683 0.101587301587302 0.947222222222222 0.00555555555555555 0 0.0277777777777777 0 0.0138888888888889 0 0.00555555555555555 0.875 0 0 0.125 0 0 0 0 0.9 0 0 0.1 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0.00925925925925926 0.0119047619047619 0.0138888888888889 0.0211640211640212 0.0416666666666667 0 0 0 0.0767195767195767 0 0 0.0119047619047619 0 0 0.169312169312169 0.268518518518519 0.208994708994709 0 0 0 0.00694444444444444 0.0347222222222222 0.0173611111111111 0.00694444444444444 0.767361111111111 0 0 0 0 0 0.0138888888888889 0.0138888888888889 0 0 0.0555555555555556 0 0.0208333333333333 0 0.145833333333333 0 0 0 0 0 0.0138888888888889 0.0694444444444444 0.0347222222222222 0.0138888888888889 0.701388888888889 0 0 0 0 0.0208333333333333 0.0208333333333333 0 0 0.0416666666666667 0 0.0277777777777778 0 0.138888888888889 0 0
3 23.1666666666667 20.4166666666667 0.916666666666667 1.41666666666667 0.166666666666667 0.166666666666667 0.0833333333333333 0.436031518986064 0.0626748251748252 0.0416322314049587 0.151498501498501 0.0300699300699301 0.192331784377239 0.00462416371507281 0.0811370447734084 0.642857142857143 0.0357142857142857 0.0178571428571429 0.0357142857142857 0 0.0892857142857143 0 0.178571428571429 0.837301587301587 0.0634920634920634 0.0436507936507936 0 0 0 0 0.0555555555555555 0.75 0 0 0.25 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.0416666666666667 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0.0416666666666667 0.166666666666667 0.0833333333333333 0.208333333333333 0 0 0.0381944444444444 0.0486111111111111 0 0 0.0555555555555556 0.440972222222222 0 0 0 0 0 0 0.0555555555555556 0 0 0.111111111111111 0 0 0 0.166666666666667 0 0.0833333333333333 0 0 0.0763888888888889 0.0972222222222222 0 0 0.111111111111111 0.298611111111111 0 0 0 0 0 0.0833333333333333 0 0 0.0833333333333333 0 0 0 0.166666666666667 0 0.0833333333333333
4 72.0833333333333 65.1666666666667 3.91666666666667 2.75 0.0833333333333333 0.0833333333333333 0 0.916481992583463 0.0267536965352316 0.00749548021320951 0.0105648319934034 0.00373235081484578 0.0228081886325816 0.00468975468975469 0.0074737045375103 0.817099567099567 0.0995670995670996 0.00216450216450216 0.00865800865800866 0.00649350649350649 0.0616883116883117 0 0.00432900432900433 0.979779411764706 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.0104166666666667 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0.00252525252525253 0.00505050505050505 0 0 0 0 0.00505050505050505 0 0 0.00252525252525253 0.00505050505050505 0.0303030303030303 0.00252525252525253 0 0 0 0.0858585858585859 0.00252525252525253 0 0.0694444444444444 0.372474747474747 0.00245098039215686 0 0.00245098039215686 0 0.00245098039215686 0.0104166666666667 0.00245098039215686 0.646446078431373 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0.0833333333333333 0 0 0.00490196078431373 0 0.00490196078431373 0 0.00490196078431373 0.0208333333333333 0.00490196078431373 0.626225490196078 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0.0833333333333333 0 0
5 76.75 73.6666666666667 1.41666666666667 1.41666666666667 0.166666666666667 0 0.0833333333333333 0.899034331153922 0.0227639185085994 0.0191341607565012 0.0114227207977208 0.00278980278980279 0.0348930987841459 0.00262775050009093 0.00733421670921671 0.933333333333333 0 0 0 0 0.0333333333333333 0.0333333333333333 0 0.958333333333333 0 0.0416666666666666 0 0 0 0 0 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.388888888888889 0 0 0.0416666666666667 0 0 0 0 0.625 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0.0833333333333333 0 0 0.0833333333333333 0 0 0 0 0.583333333333333 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0.0833333333333333
6 74.1666666666667 68.5833333333333 2.66666666666667 2.08333333333333 0.25 0.333333333333333 0.166666666666667 0.928442690306959 0.0181216928863409 0.0075683808788971 0.0129893471014966 0.00254885301614274 0.0258278448335626 0.00301087801087801 0.0014903129657228 0.87962962962963 0.0833333333333333 0 0 0 0.0231481481481481 0 0.0138888888888889 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0.933333333333333 0 0 0 0 0.0666666666666667 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0.0138888888888889 0 0.0833333333333333 0 0.0208333333333333 0.0208333333333333 0.597222222222222 0 0 0 0 0 0 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0.25 0 0 0.0208333333333333 0.229166666666667 0 0.166666666666667 0 0 0 0 0 0 0 0.666666666666667 0 0 0 0 0 0 0 0 0.25 0 0 0.0277777777777778 0.222222222222222 0 0.166666666666667
7 90.3333333333333 85.25 1.91666666666667 2.75 0.166666666666667 0.166666666666667 0.0833333333333333 0.835688106345742 0.0180983897680115 0.0124830969748227 0.00964918826029937 0.00294871794871795 0.114274836742114 0.00128205128205128 0.00557561267824096 0.979166666666667 0 0 0 0 0.0208333333333333 0 0 0.958333333333333 0 0 0 0 0.025 0.00833333333333332 0.00833333333333332 0.75 0.125 0 0 0 0 0 0.125 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.638888888888889 0 0.0104166666666667 0 0.0104166666666667 0 0.03125 0 0.78125 0 0 0 0.0277777777777778 0.0277777777777778 0 0 0 0 0.111111111111111 0 0 0 0.166666666666667 0 0.0833333333333333 0 0.0208333333333333 0 0.0208333333333333 0 0.0625 0 0.729166666666667 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0 0.0833333333333333 0 0 0 0.166666666666667 0 0.0833333333333333
8 89.0833333333333 84.1666666666667 2.58333333333333 2.16666666666667 0.0833333333333333 0.0833333333333333 0 0.859177726650086 0.0387726366646044 0.0166158100667167 0.0243483162087741 0.0166666666666667 0.0352444033900349 0.00354265140565387 0.00563178894746304 0.804761904761905 0.0238095238095238 0 0.0198412698412698 0.0119047619047619 0.125396825396825 0 0.0142857142857143 0.987179487179487 0.00256410256410256 0 0.00769230769230768 0.00256410256410256 0 0 0 1 0 0 0 0 0 0 0 0.8 0.2 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0.00462962962962963 0.00462962962962963 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0.0138888888888889 0 0 0 0.00462962962962963 0 0.00925925925925926 0.0138888888888889 0.0166666666666667 0.141666666666667 0.369444444444444 0.00320512820512821 0 0 0 0.00961538461538462 0 0.00320512820512821 0.817307692307692 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0208333333333333 0 0 0.0625 0 0 0.00641025641025641 0 0 0 0.0192307692307692 0 0.00641025641025641 0.801282051282051 0 0 0 0 0 0 0 0 0.0833333333333333 0.0277777777777778 0 0 0.0555555555555556 0 0
9 41.0833333333333 36.9166666666667 1.25 2.58333333333333 0.0833333333333333 0.0833333333333333 0 0.809191999605457 0.0196429096139311 0.017550002521024 0.00983625285605484 0.00099009900990099 0.0315695048141728 0.00425531914893617 0.106963912430523 0.833333333333333 0.0833333333333333 0.0138888888888889 0.0277777777777778 0 0.0416666666666667 0 0 0.951499118165785 0 0.00617283950617283 0 0 0.0423280423280423 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0277777777777778 0 0.0416666666666667 0.333333333333333 0 0 0.00694444444444444 0 0 0.0476190476190476 0 0.695436507936508 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0.0833333333333333 0 0 0 0 0.0138888888888889 0 0 0.0952380952380952 0 0.640873015873016 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0.0833333333333333 0 0
10 96.5 87.4166666666667 3.58333333333333 4.58333333333333 0.416666666666667 0.333333333333333 0.166666666666667 0.909623715976843 0.0171214724555089 0.0134315819815292 0.0080790045907055 0.00546885420835001 0.0281273268406035 0.00108772675736961 0.0170603171890905 0.856060606060606 0.0227272727272727 0 0 0 0.0757575757575758 0 0.0454545454545455 0.911616161616162 0.00757575757575757 0 0.0303030303030303 0.00505050505050504 0.0303030303030303 0.00757575757575757 0.00757575757575757 0.75 0 0.25 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0.0416666666666667 0 0.0833333333333333 0.111111111111111 0.652777777777778 0.00694444444444444 0.0104166666666667 0 0.0104166666666667 0.0416666666666667 0.0416666666666667 0.0104166666666667 0.795138888888889 0.0277777777777778 0.0277777777777778 0.0277777777777778 0 0 0 0 0 0 0.166666666666667 0 0 0 0.166666666666667 0 0.0833333333333333 0.0138888888888889 0.0208333333333333 0 0.0208333333333333 0.0833333333333333 0.0833333333333333 0.0208333333333333 0.673611111111111 0.0416666666666667 0.0416666666666667 0 0 0 0 0 0 0.166666666666667 0 0 0 0.166666666666667 0 0.0833333333333333
