"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "Length1BoutScootsProportion" "Length1BoutJBendsProportion" "Length1BoutCBendsProportion" "Length1BoutOBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "Length1BoutHBendsProportion" "Length1BoutIBendsProportion" "Length2BoutScootsProportion" "Length2BoutJBendsProportion" "Length2BoutCBendsProportion" "Length2BoutOBendsProportion" "Length2BoutEBendsProportion" "Length2BoutGBendsProportion" "Length2BoutHBendsProportion" "Length2BoutIBendsProportion" "Length3BoutScootsProportion" "Length3BoutJBendsProportion" "Length3BoutCBendsProportion" "Length3BoutOBendsProportion" "Length3BoutEBendsProportion" "Length3BoutGBendsProportion" "Length3BoutHBendsProportion" "Length3BoutIBendsProportion" "Length4BoutScootsProportion" "Length4BoutJBendsProportion" "Length4BoutCBendsProportion" "Length4BoutOBendsProportion" "Length4BoutEBendsProportion" "Length4BoutGBendsProportion" "Length4BoutHBendsProportion" "Length4BoutIBendsProportion" "Length5BoutScootsProportion" "Length5BoutJBendsProportion" "Length5BoutCBendsProportion" "Length5BoutOBendsProportion" "Length5BoutEBendsProportion" "Length5BoutGBendsProportion" "Length5BoutHBendsProportion" "Length5BoutIBendsProportion" "Length6PlusBoutScootsProportion" "Length6PlusBoutJBendsProportion" "Length6PlusBoutCBendsProportion" "Length6PlusBoutOBendsProportion" "Length6PlusBoutEBendsProportion" "Length6PlusBoutGBendsProportion" "Length6PlusBoutHBendsProportion" "Length6PlusBoutIBendsProportion" "Length2Transition_oj_Proportion" "Length2Transition_jg_Proportion" "Length2Transition_es_Proportion" "Length2Transition_ec_Proportion" "Length2Transition_oc_Proportion" "Length2Transition_se_Proportion" "Length2Transition_jj_Proportion" "Length2Transition_so_Proportion" "Length2Transition_sh_Proportion" "Length2Transition_ci_Proportion" "Length2Transition_eg_Proportion" "Length2Transition_si_Proportion" "Length2Transition_sg_Proportion" "Length2Transition_sj_Proportion" "Length2Transition_oi_Proportion" "Length2Transition_ji_Proportion" "Length2Transition_sc_Proportion" "Length2Transition_js_Proportion" "Length2Transition_cs_Proportion" "Length2Transition_is_Proportion" "Length2Transition_ss_Proportion" "Length2Transition_os_Proportion" "Length2Transition_gs_Proportion" "Length2Transition_hs_Proportion" "Length3Transition_gj_Proportion" "Length3Transition_cg_Proportion" "Length3Transition_es_Proportion" "Length3Transition_jh_Proportion" "Length3Transition_sc_Proportion" "Length3Transition_js_Proportion" "Length3Transition_cs_Proportion" "Length3Transition_gs_Proportion" "Length3Transition_hs_Proportion" "Length3Transition_os_Proportion" "Length3Transition_is_Proportion" "Length3Transition_ss_Proportion" "Length4Transition_si_Proportion" "Length4Transition_ii_Proportion" "Length4Transition_gc_Proportion" "Length4Transition_es_Proportion" "Length4Transition_sc_Proportion" "Length4Transition_cs_Proportion" "Length4Transition_js_Proportion" "Length4Transition_os_Proportion" "Length4Transition_sg_Proportion" "Length4Transition_is_Proportion" "Length4Transition_gs_Proportion" "Length4Transition_ss_Proportion" "Length5Transition_is_Proportion" "Length5Transition_sg_Proportion" "Length5Transition_gg_Proportion" "Length5Transition_cc_Proportion" "Length5Transition_cs_Proportion" "Length5Transition_js_Proportion" "Length5Transition_gs_Proportion" "Length5Transition_ss_Proportion" "Length6PlusTransition_sg_Proportion" "Length6PlusTransition_gs_Proportion" "Length6PlusTransition_gg_Proportion" "Length6PlusTransition_js_Proportion" "Length6PlusTransition_os_Proportion" "Length6PlusTransition_ss_Proportion" "Length3Transition_cgj_Proportion" "Length3Transition_ess_Proportion" "Length3Transition_jhs_Proportion" "Length3Transition_scs_Proportion" "Length3Transition_jss_Proportion" "Length3Transition_css_Proportion" "Length3Transition_gss_Proportion" "Length3Transition_hss_Proportion" "Length3Transition_sss_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_iss_Proportion" "Length4Transition_sii_Proportion" "Length4Transition_jsi_Proportion" "Length4Transition_gcs_Proportion" "Length4Transition_ess_Proportion" "Length4Transition_scs_Proportion" "Length4Transition_css_Proportion" "Length4Transition_jss_Proportion" "Length4Transition_oss_Proportion" "Length4Transition_gsg_Proportion" "Length4Transition_sgs_Proportion" "Length4Transition_iss_Proportion" "Length4Transition_gss_Proportion" "Length4Transition_sss_Proportion" "Length5Transition_iss_Proportion" "Length5Transition_ssg_Proportion" "Length5Transition_sgg_Proportion" "Length5Transition_ccs_Proportion" "Length5Transition_css_Proportion" "Length5Transition_jss_Proportion" "Length5Transition_gss_Proportion" "Length5Transition_sss_Proportion" "Length6PlusTransition_ssg_Proportion" "Length6PlusTransition_gss_Proportion" "Length6PlusTransition_sgg_Proportion" "Length6PlusTransition_ggg_Proportion" "Length6PlusTransition_jss_Proportion" "Length6PlusTransition_oss_Proportion" "Length6PlusTransition_sss_Proportion"
1 63.3333333333333 52.25 7.08333333333333 3.33333333333333 0.333333333333333 0.25 0.0833333333333333 0.0976566885643051 0.108867712440478 0.145170620329375 0.0381171501500863 0.0184933438258246 0.20590445977259 0.094407418421828 0.291382606495513 0.551041666666667 0.0333333333333333 0.0497519841269841 0.0803075396825397 0.00173611111111111 0.096031746031746 0.0965277777777778 0.0912698412698413 0.712654320987655 0.0231481481481481 0.0351851851851851 0.0462962962962962 0 0.0407407407407407 0.0416666666666666 0.100308641975309 0.6875 0 0 0 0 0.25 0 0.0625 0.933333333333333 0 0 0 0 0.0666666666666667 0 0 0.833333333333333 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0.00347222222222222 0.00347222222222222 0.00416666666666667 0.0119047619047619 0.0277777777777778 0.0277777777777778 0.0347222222222222 0.0717261904761905 0.139384920634921 0.145238095238095 0.148710317460317 0.185119047619048 0.193055555555556 0 0 0 0 0.00347222222222222 0.0260416666666667 0.0395833333333333 0.0458333333333333 0.046875 0.0520833333333333 0.112847222222222 0.423263888888889 0 0 0 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0.111111111111111 0.166666666666667 0 0 0 0 0 0 0.0208333333333333 0.229166666666667 0 0 0 0 0.0166666666666667 0.0666666666666667 0 0 0 0.00694444444444444 0.0520833333333333 0.0722222222222222 0.0916666666666667 0.09375 0.103472222222222 0.104166666666667 0.225694444444444 0 0 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0833333333333333 0.125 0 0 0 0 0 0 0.0277777777777778 0.222222222222222 0 0 0 0 0 0.0208333333333333 0.0625
2 27.0833333333333 21.8333333333333 3.33333333333333 1.5 0.25 0.0833333333333333 0 0.2378490979514 0.117093070683224 0.123385635984741 0.0853779463881766 0.0436262561678163 0.142357195471006 0.0383217188939695 0.211989078459667 0.516666666666667 0.0277777777777778 0.0920940170940171 0.105769230769231 0 0.077991452991453 0.0224358974358974 0.157264957264957 0.722222222222222 0.0158730158730159 0.0952380952380951 0.0476190476190476 0 0 0.0158730158730159 0.103174603174603 0.75 0.0833333333333333 0 0.0833333333333333 0 0.0833333333333333 0 0 0.8 0.2 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0.00641025641025641 0.0166666666666667 0 0 0.00641025641025641 0 0 0 0.0230769230769231 0.0416666666666667 0.0983974358974359 0.219230769230769 0.0416666666666667 0.158653846153846 0.110576923076923 0.0272435897435897 0 0 0 0.0138888888888889 0 0 0.0833333333333333 0 0.0138888888888889 0.0416666666666667 0.0902777777777778 0.340277777777778 0 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0 0 0.0277777777777778 0.166666666666667 0 0 0 0 0 0.0208333333333333 0 0.0625 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0.166666666666667 0 0 0.125 0.0833333333333333 0.180555555555556 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0.0416666666666667 0.125 0 0 0 0 0 0.0277777777777778 0 0.0555555555555556 0 0 0 0 0 0 0
3 23.25 18.5 2.66666666666667 1.91666666666667 0.0833333333333333 0 0.0833333333333333 0.265109981621618 0.0648939989408446 0.128750699990029 0.0830213454438301 0.0366387893269614 0.137975378477862 0.0749079386912908 0.208701867507565 0.526455026455027 0.0648148148148148 0.0992063492063492 0.0621693121693122 0.00925925925925926 0.0740740740740741 0.0555555555555556 0.108465608465608 0.73859126984127 0.060515873015873 0.0555555555555555 0.0520833333333333 0.0138888888888889 0.0317460317460317 0 0.0476190476190476 0.75 0 0 0 0 0 0 0.25 NA NA NA NA NA NA NA NA 0.857142857142857 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.0138888888888889 0.0277777777777778 0 0 0 0.0138888888888889 0 0.0138888888888889 0 0.0416666666666667 0.0119047619047619 0.0138888888888889 0.136904761904762 0.107142857142857 0.0952380952380952 0.0654761904761905 0.111111111111111 0.0833333333333333 0 0 0.0138888888888889 0 0 0.060515873015873 0.0555555555555556 0.0317460317460317 0 0.0520833333333333 0.0476190476190476 0.405257936507937 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0.0555555555555556 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0.0694444444444444 0 0.0277777777777778 0 0 0.121031746031746 0.111111111111111 0.0634920634920635 0 0.143849206349206 0.104166666666667 0.0952380952380952 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0.0666666666666667
4 16.25 13.75 1.5 0.583333333333333 0.0833333333333333 0.166666666666667 0 0.372220391467637 0.055166127901746 0.0719993932356233 0.0418306499701849 0.00384615384615385 0.0681903775539026 0.109819906056136 0.276926999968616 0.569047619047619 0.0285714285714286 0.142857142857143 0.1 0 0.05 0 0.10952380952381 0.666666666666667 0.0833333333333332 0.0833333333333332 0.0833333333333332 0 0 0 0.0833333333333332 0.75 0 0 0.25 0 0 0 0 0.8 0 0.2 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0.0166666666666667 0.0833333333333333 0 0 0 0.0138888888888889 0 0 0 0 0 0 0.166666666666667 0.113888888888889 0.0972222222222222 0.0333333333333333 0.0583333333333333 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0.0416666666666667 0.0416666666666667 0.166666666666667 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0.0555555555555556 0 0 0 0.0104166666666667 0.0104166666666667 0 0 0.0625 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0833333333333333 0 0 0 0.0833333333333333 0.0833333333333333 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.0416666666666667 0 0 0 0.0138888888888889 0.0138888888888889 0 0 0.0555555555555556 0 0 0 0 0 0 0
5 17.6666666666667 15 1.75 0.75 0.0833333333333333 0 0 0.330934854619065 0.0524087024087024 0.0826679752995542 0.121334805545332 0.0120946305156831 0.257407680039259 0.0235275835275835 0.119623768044821 0.607142857142857 0.0238095238095238 0.0702380952380952 0.0892857142857143 0 0.0321428571428571 0.05 0.127380952380952 0.763888888888889 0.0833333333333332 0.0416666666666666 0.0416666666666666 0 0.0694444444444444 0 0 0.75 0 0.25 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0166666666666667 0 0.0652777777777778 0.120833333333333 0.152777777777778 0.104166666666667 0.0375 0.0583333333333333 0.0208333333333333 0.0208333333333333 0 0 0 0.0208333333333333 0 0.0138888888888889 0 0.0208333333333333 0 0.236111111111111 0 0 0 0 0.0277777777777778 0.0277777777777778 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0.0416666666666667 0 0.0277777777777778 0 0.180555555555556 0.0416666666666667 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 9.83333333333333 8.16666666666667 0.583333333333333 0.583333333333333 0.166666666666667 0.0833333333333333 0 0.299648268398268 0.146130952380952 0.113095238095238 0.13379329004329 0.0401785714285714 0.0655844155844156 0.0401785714285714 0.161390692640693 0.625 0 0.0416666666666667 0.208333333333333 0 0 0.0625 0.0625 0.666666666666667 0 0.236111111111111 0.0277777777777777 0 0 0.0694444444444444 0 0.75 0 0 0 0.125 0.125 0 0 0.8 0 0.2 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.111111111111111 0.111111111111111 0 0.0416666666666667 0 0 0 0 0 0 0.118055555555556 0 0.0347222222222222 0.0138888888888889 0 0.166666666666667 0 0 0 0.0277777777777778 0 0 0 0 0 0 0.0277777777777778 0.111111111111111 0 0 0 0 0.0208333333333333 0 0 0.0625 0 0 0 0 0 0 0 0 0 0 0 0.236111111111111 0 0.0694444444444444 0 0.0277777777777778 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0.0416666666666667 0.0833333333333333 0 0 0 0 0.0277777777777778 0 0 0.0555555555555556 0 0 0 0 0 0 0
7 19.25 15.5 2.08333333333333 1 0.25 0.25 0.0833333333333333 0.307015972533214 0.138841618151963 0.14841394237946 0.0471786833855799 0.0446409911927153 0.203332586953277 0.00676220331392745 0.103814002089864 0.472222222222222 0.0555555555555556 0.0912698412698413 0.0634920634920635 0.0357142857142857 0.156746031746032 0.0714285714285714 0.0535714285714286 0.777777777777778 0.0694444444444444 0.0416666666666666 0 0 0.0555555555555555 0 0.0555555555555555 0.875 0 0.0625 0 0 0.0625 0 0 0.8 0.0666666666666667 0 0 0 0.133333333333333 0 0 0.333333333333333 0 0 0 0 0.666666666666667 0 0 0 0 0.0119047619047619 0.0416666666666667 0 0 0 0 0 0 0 0 0.0952380952380952 0 0 0 0 0.0833333333333333 0.0952380952380952 0.0803571428571428 0 0.0952380952380952 0.139880952380952 0.107142857142857 0 0 0 0 0.0104166666666667 0.0520833333333333 0.03125 0.0416666666666667 0 0 0.0416666666666667 0.322916666666667 0 0 0.0138888888888889 0 0 0.0138888888888889 0 0 0 0 0 0.138888888888889 0 0.0208333333333333 0.0208333333333333 0 0 0.0208333333333333 0 0.1875 0.0166666666666667 0.0166666666666667 0.0333333333333333 0 0 0.0166666666666667 0 0 0 0.0208333333333333 0.104166666666667 0.0416666666666667 0.0833333333333333 0 0.166666666666667 0 0.0833333333333333 0 0 0.0208333333333333 0 0 0.0208333333333333 0 0 0 0 0 0 0.125 0 0.0277777777777778 0.0277777777777778 0 0 0.0277777777777778 0 0.166666666666667 0.0208333333333333 0.0208333333333333 0.0208333333333333 0.0208333333333333 0 0 0
8 5.72727272727273 4.72727272727273 0.363636363636364 0.454545454545455 0 0.0909090909090909 0 0.287460317460317 0.256507936507937 0.15 0.0467857142857143 0 0.176904761904762 0.0125 0.0698412698412698 0.75 0 0 0 0 0.0833333333333333 0 0.166666666666667 0.703703703703704 0.037037037037037 0.111111111111111 0.148148148148148 0 0 0 0 NA NA NA NA NA NA NA NA 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0555555555555556 0.0833333333333333 0 0.0277777777777778 0 0 0 0 0 0 0.0138888888888889 0.0416666666666667 0 0 0.0555555555555556 0 0.138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0833333333333333 0 0 0.0277777777777778 0.111111111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0
9 11 9.27272727272727 0.545454545454545 0.909090909090909 0.181818181818182 0.0909090909090909 0 0.192099567099567 0.0681818181818182 0.144300144300144 0.142027417027417 0.0883838383838384 0.184271284271284 0.0348124098124098 0.145923520923521 0.722222222222222 0 0 0 0 0.0833333333333333 0.0555555555555556 0.138888888888889 0.866666666666667 0 0.0499999999999999 0 0 0 0.0333333333333333 0.0499999999999999 0.875 0 0.125 0 0 0 0 0 0.8 0 0 0 0 0 0 0.2 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0.0694444444444444 0.111111111111111 0 0.0416666666666667 0 0 0 0 0 0 0 0.03125 0 0.0208333333333333 0 0.03125 0.333333333333333 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0.138888888888889 0.0208333333333333 0 0 0 0 0 0 0.0625 0 0 0 0 0 0 0 0 0 0 0 0.0625 0 0.0416666666666667 0.25 0 0.0625 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0.125 0.0277777777777778 0 0 0 0 0 0 0.0555555555555556 0 0 0 0 0 0 0
10 17 13.0909090909091 1.54545454545455 1.90909090909091 0.181818181818182 0 0 0.433171726921727 0.0904454779454779 0.0232069732069732 0.210923423423423 0.00675675675675676 0.0683628027378027 0.00649350649350649 0.160639332514333 0.538888888888889 0.0875 0.0138888888888889 0 0 0.0916666666666667 0.0138888888888889 0.254166666666667 0.778900112233446 0.0101010101010101 0.0695847362514029 0.0202020202020202 0 0 0 0.121212121212121 0.875 0 0 0 0 0 0 0.125 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0.0166666666666667 0 0 0 0 0 0 0.00925925925925926 0 0 0.0833333333333333 0 0 0 0 0 0.0416666666666667 0.00925925925925926 0.0861111111111111 0.0425925925925926 0 0.0444444444444444 0 0 0 0 0 0 0.00378787878787879 0.0260942760942761 0 0 0.00757575757575758 0.0454545454545454 0.167087542087542 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0.138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0.0521885521885522 0 0 0.0841750841750842 0.0151515151515152 0.0909090909090909 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
