"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "Length1BoutScootsProportion" "Length1BoutJBendsProportion" "Length1BoutCBendsProportion" "Length1BoutOBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "Length1BoutHBendsProportion" "Length1BoutIBendsProportion" "Length2BoutScootsProportion" "Length2BoutJBendsProportion" "Length2BoutCBendsProportion" "Length2BoutOBendsProportion" "Length2BoutEBendsProportion" "Length2BoutGBendsProportion" "Length2BoutHBendsProportion" "Length2BoutIBendsProportion" "Length3BoutScootsProportion" "Length3BoutJBendsProportion" "Length3BoutCBendsProportion" "Length3BoutOBendsProportion" "Length3BoutEBendsProportion" "Length3BoutGBendsProportion" "Length3BoutHBendsProportion" "Length3BoutIBendsProportion" "Length4BoutScootsProportion" "Length4BoutJBendsProportion" "Length4BoutCBendsProportion" "Length4BoutOBendsProportion" "Length4BoutEBendsProportion" "Length4BoutGBendsProportion" "Length4BoutHBendsProportion" "Length4BoutIBendsProportion" "Length5BoutScootsProportion" "Length5BoutJBendsProportion" "Length5BoutCBendsProportion" "Length5BoutOBendsProportion" "Length5BoutEBendsProportion" "Length5BoutGBendsProportion" "Length5BoutHBendsProportion" "Length5BoutIBendsProportion" "Length6PlusBoutScootsProportion" "Length6PlusBoutJBendsProportion" "Length6PlusBoutCBendsProportion" "Length6PlusBoutOBendsProportion" "Length6PlusBoutEBendsProportion" "Length6PlusBoutGBendsProportion" "Length6PlusBoutHBendsProportion" "Length6PlusBoutIBendsProportion" "Length2Transition_ih_Proportion" "Length2Transition_cc_Proportion" "Length2Transition_cg_Proportion" "Length2Transition_og_Proportion" "Length2Transition_ge_Proportion" "Length2Transition_io_Proportion" "Length2Transition_eo_Proportion" "Length2Transition_sc_Proportion" "Length2Transition_gg_Proportion" "Length2Transition_es_Proportion" "Length2Transition_so_Proportion" "Length2Transition_ji_Proportion" "Length2Transition_sh_Proportion" "Length2Transition_ci_Proportion" "Length2Transition_sj_Proportion" "Length2Transition_jj_Proportion" "Length2Transition_si_Proportion" "Length2Transition_jg_Proportion" "Length2Transition_sg_Proportion" "Length2Transition_jc_Proportion" "Length2Transition_js_Proportion" "Length2Transition_ss_Proportion" "Length2Transition_hs_Proportion" "Length2Transition_os_Proportion" "Length2Transition_cs_Proportion" "Length2Transition_is_Proportion" "Length2Transition_gs_Proportion" "Length3Transition_gg_Proportion" "Length3Transition_es_Proportion" "Length3Transition_go_Proportion" "Length3Transition_sg_Proportion" "Length3Transition_hs_Proportion" "Length3Transition_si_Proportion" "Length3Transition_ji_Proportion" "Length3Transition_so_Proportion" "Length3Transition_cs_Proportion" "Length3Transition_os_Proportion" "Length3Transition_is_Proportion" "Length3Transition_gs_Proportion" "Length3Transition_js_Proportion" "Length3Transition_ss_Proportion" "Length4Transition_hs_Proportion" "Length4Transition_es_Proportion" "Length4Transition_oc_Proportion" "Length4Transition_so_Proportion" "Length4Transition_cs_Proportion" "Length4Transition_si_Proportion" "Length4Transition_is_Proportion" "Length4Transition_js_Proportion" "Length4Transition_os_Proportion" "Length4Transition_gs_Proportion" "Length4Transition_ss_Proportion" "Length5Transition_os_Proportion" "Length5Transition_is_Proportion" "Length5Transition_sc_Proportion" "Length5Transition_js_Proportion" "Length5Transition_cs_Proportion" "Length5Transition_gs_Proportion" "Length5Transition_ss_Proportion" "Length6PlusTransition_os_Proportion" "Length6PlusTransition_ss_Proportion" "Length3Transition_ssi_Proportion" "Length3Transition_osi_Proportion" "Length3Transition_ggs_Proportion" "Length3Transition_ess_Proportion" "Length3Transition_gos_Proportion" "Length3Transition_sgs_Proportion" "Length3Transition_hss_Proportion" "Length3Transition_sis_Proportion" "Length3Transition_jis_Proportion" "Length3Transition_sos_Proportion" "Length3Transition_css_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_iss_Proportion" "Length3Transition_gss_Proportion" "Length3Transition_jss_Proportion" "Length3Transition_sss_Proportion" "Length4Transition_hss_Proportion" "Length4Transition_ess_Proportion" "Length4Transition_ocs_Proportion" "Length4Transition_sos_Proportion" "Length4Transition_css_Proportion" "Length4Transition_sis_Proportion" "Length4Transition_iss_Proportion" "Length4Transition_jss_Proportion" "Length4Transition_oss_Proportion" "Length4Transition_gss_Proportion" "Length4Transition_sss_Proportion" "Length5Transition_oss_Proportion" "Length5Transition_iss_Proportion" "Length5Transition_scs_Proportion" "Length5Transition_jss_Proportion" "Length5Transition_css_Proportion" "Length5Transition_gss_Proportion" "Length5Transition_sss_Proportion" "Length6PlusTransition_oss_Proportion" "Length6PlusTransition_sss_Proportion"
1 93.5 76.75 9.25 6.5 0.5 0.5 0 0.187915834582384 0.0980169103436189 0.146576823933625 0.0411479634249934 0.0183861108868235 0.193646433469815 0.06480045296616 0.24950947039258 0.492724867724868 0.0701058201058201 0.0959520803270803 0.0332671957671958 0 0.148053451178451 0.0335595538720539 0.126337031024531 0.778328461661795 0.0785970202636869 0.0259259259259259 0.0332010582010582 0 0.0460320543653877 0 0.0379154795821462 0.770833333333333 0.0625 0 0.0625 0 0.0625 0 0.0416666666666667 0.96 0 0 0 0 0.04 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0.00396825396825397 0.00462962962962963 0.00520833333333333 0.0119047619047619 0.0119047619047619 0.0119047619047619 0.0138888888888889 0.0178571428571429 0.0416666666666667 0.044973544973545 0.0620866402116402 0.0624894781144781 0.0625661375661376 0.145029160654161 0.231592712842713 0.264360870610871 0 0 0 0 0 0.00231481481481481 0.00320512820512821 0.00416666666666667 0.0388888888888889 0.0498015873015873 0.0568732193732194 0.0690480815480815 0.114690402190402 0.661011211011211 0 0 0 0 0 0.00925925925925926 0.0185185185185185 0.0277777777777778 0.0277777777777778 0.0277777777777778 0.222222222222222 0 0 0 0 0 0.0208333333333333 0.395833333333333 0 0 0 0 0 0 0 0 0 0.00462962962962963 0.00641025641025641 0.00833333333333333 0.0777777777777778 0.0912698412698413 0.102706552706553 0.138096163096163 0.229380804380804 0.341395641395641 0 0 0 0 0 0.0138888888888889 0.0277777777777778 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.166666666666667 0 0 0 0 0 0.0277777777777778 0.388888888888889 0 0
2 49.5833333333333 41.1666666666667 5.33333333333333 2.91666666666667 0.0833333333333333 0.0833333333333333 0 0.22208412920465 0.0812975902155434 0.121255630150254 0.0871935862364325 0.0294198823797401 0.151541940992509 0.0706391464018821 0.236568094418989 0.501936026936027 0.0458333333333333 0.0342592592592593 0.0497895622895623 0.0159090909090909 0.0909090909090909 0.0163720538720539 0.244991582491582 0.730639730639731 0.0601250601250601 0.0497835497835497 0.0518518518518518 0 0.0476671476671476 0.0353535353535353 0.0245791245791246 0.75 0 0 0 0 0.25 0 0 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0.00833333333333333 0.0277777777777778 0.0318181818181818 0 0.0555555555555556 0.00925925925925926 0.0277777777777778 0 0.00925925925925926 0.00925925925925926 0 0.00925925925925926 0 0.0175925925925926 0.124242424242424 0.0234848484848485 0.0995791245791246 0.0324074074074074 0.397390572390572 0.117003367003367 0 0 0.00462962962962963 0.0138888888888889 0.0486111111111111 0 0 0 0.0684523809523809 0.0712962962962963 0.0337962962962963 0.0609126984126984 0.0826719576719577 0.532407407407407 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0555555555555556 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0.00925925925925926 0.0277777777777778 0.0972222222222222 0 0 0 0.136904761904762 0.133333333333333 0.0675925925925926 0.094047619047619 0.165343915343915 0.185185185185185 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0 0 0 0.0833333333333333 0 0
3 37 31.4166666666667 3.25 1.58333333333333 0.583333333333333 0.0833333333333333 0.0833333333333333 0.184393315692526 0.125231229844816 0.138773730166399 0.0811087667098849 0.0285346557276382 0.213156477294313 0.0612507386136718 0.167551085950751 0.53030303030303 0.0295454545454545 0.0962121212121212 0.00909090909090909 0 0.14280303030303 0.0458333333333333 0.146212121212121 0.75462962962963 0.0185185185185185 0.0787037037037036 0.00462962962962963 0 0.00925925925925925 0.037037037037037 0.0972222222222221 0.75 0 0.0416666666666667 0.145833333333333 0.0208333333333333 0 0 0.0416666666666667 0.8 0 0 0 0 0.2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0.052020202020202 0 0.029040404040404 0 0.0492424242424242 0.0505050505050505 0.0555555555555556 0.0151515151515152 0.160353535353535 0.191666666666667 0.208964646464646 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0.0885416666666667 0.00520833333333333 0.109375 0.0104166666666667 0.0208333333333333 0.432291666666667 0 0.0138888888888889 0.0277777777777778 0.0277777777777778 0.0277777777777778 0 0.0277777777777778 0 0.0694444444444444 0 0.305555555555556 0 0 0 0 0 0.0208333333333333 0.0625 0 0.0833333333333333 0 0 0 0 0 0 0.0833333333333333 0.0833333333333333 0 0 0.177083333333333 0.0104166666666667 0.135416666666667 0.0208333333333333 0.0416666666666667 0.197916666666667 0 0.0208333333333333 0.0416666666666667 0.0416666666666667 0.0416666666666667 0 0.0416666666666667 0 0.104166666666667 0 0.208333333333333 0 0 0 0 0 0.0277777777777778 0.0555555555555556 0 0.0833333333333333
4 34.5 30.5 2.25 1.41666666666667 0.166666666666667 0 0.0833333333333333 0.368823919302388 0.0625260637820446 0.0889034742503642 0.0706021251475797 0.00901875901875902 0.203273766371852 0.0497555010114819 0.14709639111553 0.568333333333333 0.0416666666666667 0.1 0 0 0.125 0.0166666666666667 0.148333333333333 0.78125 0.0416666666666666 0.0416666666666666 0.0729166666666666 0 0 0 0.0624999999999999 0.875 0 0.125 0 0 0 0 0 NA NA NA NA NA NA NA NA 0.833333333333333 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0.0416666666666667 0.169444444444444 0.0277777777777778 0 0.166666666666667 0.219444444444444 0.152777777777778 0 0 0 0 0 0.0416666666666667 0 0 0.0416666666666667 0.0729166666666667 0.0625 0 0.0416666666666667 0.40625 0 0 0 0 0.0277777777777778 0 0 0 0 0 0.138888888888889 0 0 0 0 0 0 0 0.0166666666666667 0.0666666666666667 0 0 0 0 0 0 0 0.0833333333333333 0 0 0.0833333333333333 0.145833333333333 0.0416666666666667 0 0.0833333333333333 0.229166666666667 0 0 0 0 0.0416666666666667 0 0 0 0 0 0.125 0 0 0 0 0 0 0 0.0208333333333333 0.0625
5 31.1666666666667 25.9166666666667 3.08333333333333 1.66666666666667 0.25 0.25 0 0.363411317223772 0.0622717217808743 0.0723244724246288 0.107867910299348 0.00401549508692366 0.211044503002682 0.0159285936596861 0.163135986522085 0.432900432900433 0.00649350649350649 0.0522727272727273 0.117532467532468 0.033008658008658 0.25465367965368 0.00909090909090909 0.094047619047619 0.787037037037037 0.00925925925925925 0.074074074074074 0.00925925925925925 0.037037037037037 0.00925925925925925 0 0.074074074074074 1 0 0 0 0 0 0 0 0.9 0 0.1 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0.0119047619047619 0.0166666666666667 0.0277777777777778 0.0166666666666667 0.0833333333333333 0.0208333333333333 0 0 0 0 0 0 0 0 0.0277777777777778 0 0.0119047619047619 0.0166666666666667 0.0166666666666667 0.171031746031746 0.0791666666666667 0.155753968253968 0.260515873015873 0 0.0416666666666667 0 0 0 0 0 0 0.0833333333333333 0.0104166666666667 0.0833333333333333 0.0104166666666667 0.0104166666666667 0.510416666666667 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0.0208333333333333 0 0.145833333333333 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0.166666666666667 0.0208333333333333 0.166666666666667 0.0208333333333333 0.0208333333333333 0.270833333333333 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0.0277777777777778 0 0.138888888888889 0 0
6 27.4166666666667 21.3333333333333 3.58333333333333 1.66666666666667 0.5 0.25 0 0.254837002494424 0.0850327677070556 0.0686127895648136 0.10186713100881 0.0342795773830257 0.17521242535298 0.0394718991514344 0.240686407337457 0.503333333333333 0.05625 0.05625 0.0218055555555556 0.0666666666666667 0.177638888888889 0.0534722222222222 0.0645833333333333 0.689814814814815 0.0833333333333332 0.0941358024691357 0.0200617283950617 0 0.074074074074074 0.0185185185185185 0.0200617283950617 0.75 0 0.075 0 0 0.05 0.075 0.05 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0.0208333333333333 0.111111111111111 0 0 0.0208333333333333 0 0 0 0.0277777777777778 0.09375 0.0208333333333333 0 0 0.120138888888889 0.068287037037037 0.0363425925925926 0.09375 0.0798611111111111 0.139814814814815 0.0104166666666667 0 0 0 0.0138888888888889 0.00462962962962963 0 0 0.0706018518518518 0.0150462962962963 0.0104166666666667 0.0451388888888889 0.0625 0.267361111111111 0.0416666666666667 0 0 0 0.0416666666666667 0 0.0277777777777778 0 0 0.0277777777777778 0.277777777777778 0 0 0 0 0 0 0.0833333333333333 0 0 0 0.00925925925925926 0.0208333333333333 0 0 0 0.0277777777777778 0 0 0 0.141203703703704 0.0208333333333333 0.0208333333333333 0.0694444444444444 0.125 0.0648148148148148 0.0625 0 0 0 0.0625 0 0.0416666666666667 0 0 0.0416666666666667 0.208333333333333 0 0 0 0 0 0 0.0833333333333333 0 0
7 16.6666666666667 12.75 1.83333333333333 1.58333333333333 0.166666666666667 0.25 0 0.392910478676029 0.0678913192071087 0.0704887218045113 0.119548872180451 0.00956937799043062 0.157784440439943 0.0387901572112098 0.143016632490317 0.638392857142857 0 0.0208333333333333 0.09375 0 0.144345238095238 0.0104166666666667 0.0922619047619048 0.796296296296297 0 0.0185185185185185 0.0895061728395061 0.0123456790123457 0.037037037037037 0.0185185185185185 0.0277777777777777 0.75 0 0 0 0 0 0 0.25 0.8 0.133333333333333 0.0666666666666667 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.226190476190476 0.0138888888888889 0.0833333333333333 0.0277777777777778 0.123015873015873 0.150793650793651 0 0.0138888888888889 0 0.0208333333333333 0.0208333333333333 0.0104166666666667 0 0 0.0208333333333333 0.100694444444444 0.0208333333333333 0.0416666666666667 0 0.5 0 0 0 0 0 0 0.0277777777777778 0 0 0 0.0555555555555556 0 0 0.0208333333333333 0.0416666666666667 0.0208333333333333 0 0.166666666666667 0 0 0.0208333333333333 0 0 0.0277777777777778 0 0.0416666666666667 0.0416666666666667 0 0 0 0.0416666666666667 0.201388888888889 0.0416666666666667 0.0416666666666667 0 0.291666666666667 0 0 0 0 0 0 0.0416666666666667 0 0 0 0.0416666666666667 0 0 0.0277777777777778 0.0555555555555556 0.0277777777777778 0 0.138888888888889 0 0
8 33.75 27.4166666666667 3.25 2 0.25 0.75 0 0.325437537446278 0.0680663192472698 0.109148555146177 0.0944060688107733 0.0114137183612424 0.131081001529923 0.0675524344022689 0.192894365056067 0.539148351648352 0.00641025641025641 0.0433760683760684 0.0505189255189255 0 0.103037240537241 0.0530372405372405 0.204471916971917 0.822751322751323 0.0476190476190476 0.0119047619047619 0 0 0.0767195767195766 0 0.041005291005291 0.75 0 0.0625 0.125 0 0.0625 0 0 0.9 0.05 0 0 0 0.0375 0 0.0125 NA NA NA NA NA NA NA NA 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0.00641025641025641 0 0 0 0 0.0558150183150183 0.0530372405372405 0.0505189255189255 0.0267094017094017 0.198061660561661 0.0863705738705739 0 0 0 0.00694444444444444 0 0 0 0 0.0104166666666667 0 0.0358796296296296 0.0671296296296296 0.0416666666666667 0.421296296296296 0 0 0 0 0.0138888888888889 0 0 0 0.0277777777777778 0.0138888888888889 0.111111111111111 0 0.00520833333333333 0 0.0208333333333333 0 0.015625 0.291666666666667 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0.0208333333333333 0 0.0717592592592593 0.12037037037037 0.0833333333333333 0.273148148148148 0 0 0 0 0.0208333333333333 0 0 0 0.0416666666666667 0.0208333333333333 0.0833333333333333 0 0.00694444444444444 0 0.0277777777777778 0 0.0208333333333333 0.277777777777778 0 0
9 19.8333333333333 16.1666666666667 1.75 1.5 0.25 0.166666666666667 0 0.342392217043402 0.105733379402406 0.0541118399438153 0.0347846168587538 0.00219298245614035 0.291141739299602 0.012966476913346 0.156676748082534 0.554166666666667 0.0625 0.075 0.10625 0 0.125 0 0.0770833333333333 0.830498866213152 0 0.0277777777777777 0.0952380952380951 0 0.0306122448979592 0 0.0158730158730159 0.75 0 0 0.125 0 0.125 0 0 0.9 0.1 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0.0444444444444444 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0722222222222222 0 0.113888888888889 0.0555555555555556 0.102777777777778 0.166666666666667 0 0 0 0 0 0 0 0 0.0243055555555556 0.0833333333333333 0.0138888888888889 0.0267857142857143 0 0.435019841269841 0 0 0 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0.111111111111111 0 0 0 0.0208333333333333 0 0 0.145833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.0486111111111111 0.166666666666667 0.0277777777777778 0.0535714285714286 0 0.286706349206349 0 0 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0.0833333333333333 0 0 0 0.0277777777777778 0 0 0.138888888888889 0 0
10 18 13.8333333333333 1.91666666666667 1.91666666666667 0.25 0.0833333333333333 0 0.479813011063011 0.0562169312169312 0.00925925925925926 0.0882335257335257 0 0.178315897065897 0.00264550264550265 0.185515873015873 0.601851851851852 0 0.108333333333333 0.110185185185185 0 0.062037037037037 0.00925925925925926 0.108333333333333 0.9 0.02 0.00666666666666666 0.0666666666666666 0 0.00666666666666666 0 0 0.833333333333333 0.0833333333333333 0 0 0 0 0 0.0833333333333333 0.8 0.2 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0.00833333333333333 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.118518518518519 0.00925925925925926 0.110185185185185 0.0916666666666667 0.108333333333333 0.0453703703703704 0 0 0 0 0 0 0 0 0.00416666666666667 0.0416666666666667 0 0.00416666666666667 0.0125 0.354166666666667 0 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0 0 0.194444444444444 0 0 0 0.0208333333333333 0 0 0.0625 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.0833333333333333 0 0.00833333333333333 0.025 0.291666666666667 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0.166666666666667 0 0 0 0.0277777777777778 0 0 0.0555555555555556 0 0
