"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "Length1BoutScootsProportion" "Length1BoutJBendsProportion" "Length1BoutCBendsProportion" "Length1BoutOBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "Length1BoutHBendsProportion" "Length1BoutIBendsProportion" "Length2BoutScootsProportion" "Length2BoutJBendsProportion" "Length2BoutCBendsProportion" "Length2BoutOBendsProportion" "Length2BoutEBendsProportion" "Length2BoutGBendsProportion" "Length2BoutHBendsProportion" "Length2BoutIBendsProportion" "Length3BoutScootsProportion" "Length3BoutJBendsProportion" "Length3BoutCBendsProportion" "Length3BoutOBendsProportion" "Length3BoutEBendsProportion" "Length3BoutGBendsProportion" "Length3BoutHBendsProportion" "Length3BoutIBendsProportion" "Length4BoutScootsProportion" "Length4BoutJBendsProportion" "Length4BoutCBendsProportion" "Length4BoutOBendsProportion" "Length4BoutEBendsProportion" "Length4BoutGBendsProportion" "Length4BoutHBendsProportion" "Length4BoutIBendsProportion" "Length5BoutScootsProportion" "Length5BoutJBendsProportion" "Length5BoutCBendsProportion" "Length5BoutOBendsProportion" "Length5BoutEBendsProportion" "Length5BoutGBendsProportion" "Length5BoutHBendsProportion" "Length5BoutIBendsProportion" "Length6PlusBoutScootsProportion" "Length6PlusBoutJBendsProportion" "Length6PlusBoutCBendsProportion" "Length6PlusBoutOBendsProportion" "Length6PlusBoutEBendsProportion" "Length6PlusBoutGBendsProportion" "Length6PlusBoutHBendsProportion" "Length6PlusBoutIBendsProportion" "Length2Transition_og_Proportion" "Length2Transition_jc_Proportion" "Length2Transition_sh_Proportion" "Length2Transition_ji_Proportion" "Length2Transition_so_Proportion" "Length2Transition_sj_Proportion" "Length2Transition_hs_Proportion" "Length2Transition_oi_Proportion" "Length2Transition_ge_Proportion" "Length2Transition_ei_Proportion" "Length2Transition_js_Proportion" "Length2Transition_eg_Proportion" "Length2Transition_gj_Proportion" "Length2Transition_gh_Proportion" "Length2Transition_jg_Proportion" "Length2Transition_es_Proportion" "Length2Transition_sc_Proportion" "Length2Transition_ii_Proportion" "Length2Transition_se_Proportion" "Length2Transition_si_Proportion" "Length2Transition_gg_Proportion" "Length2Transition_sg_Proportion" "Length2Transition_cs_Proportion" "Length2Transition_os_Proportion" "Length2Transition_is_Proportion" "Length2Transition_gs_Proportion" "Length2Transition_ss_Proportion" "Length3Transition_gg_Proportion" "Length3Transition_jg_Proportion" "Length3Transition_so_Proportion" "Length3Transition_es_Proportion" "Length3Transition_ic_Proportion" "Length3Transition_se_Proportion" "Length3Transition_si_Proportion" "Length3Transition_sg_Proportion" "Length3Transition_ij_Proportion" "Length3Transition_gi_Proportion" "Length3Transition_hs_Proportion" "Length3Transition_os_Proportion" "Length3Transition_cs_Proportion" "Length3Transition_js_Proportion" "Length3Transition_is_Proportion" "Length3Transition_gs_Proportion" "Length3Transition_ss_Proportion" "Length4Transition_si_Proportion" "Length4Transition_cs_Proportion" "Length4Transition_gg_Proportion" "Length4Transition_is_Proportion" "Length4Transition_es_Proportion" "Length4Transition_js_Proportion" "Length4Transition_sg_Proportion" "Length4Transition_hs_Proportion" "Length4Transition_os_Proportion" "Length4Transition_gs_Proportion" "Length4Transition_ss_Proportion" "Length5Transition_gg_Proportion" "Length5Transition_sg_Proportion" "Length5Transition_js_Proportion" "Length5Transition_gs_Proportion" "Length5Transition_os_Proportion" "Length5Transition_ss_Proportion" "Length6PlusTransition_os_Proportion" "Length6PlusTransition_sg_Proportion" "Length6PlusTransition_gs_Proportion" "Length6PlusTransition_ss_Proportion" "Length3Transition_ggs_Proportion" "Length3Transition_jgs_Proportion" "Length3Transition_sos_Proportion" "Length3Transition_ess_Proportion" "Length3Transition_ics_Proportion" "Length3Transition_gse_Proportion" "Length3Transition_sis_Proportion" "Length3Transition_sgs_Proportion" "Length3Transition_gij_Proportion" "Length3Transition_hss_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_css_Proportion" "Length3Transition_jss_Proportion" "Length3Transition_iss_Proportion" "Length3Transition_gss_Proportion" "Length3Transition_sss_Proportion" "Length4Transition_csi_Proportion" "Length4Transition_sis_Proportion" "Length4Transition_ssg_Proportion" "Length4Transition_sgg_Proportion" "Length4Transition_iss_Proportion" "Length4Transition_ess_Proportion" "Length4Transition_jss_Proportion" "Length4Transition_sgs_Proportion" "Length4Transition_hss_Proportion" "Length4Transition_oss_Proportion" "Length4Transition_gss_Proportion" "Length4Transition_sss_Proportion" "Length5Transition_sgg_Proportion" "Length5Transition_ssg_Proportion" "Length5Transition_jss_Proportion" "Length5Transition_gss_Proportion" "Length5Transition_oss_Proportion" "Length5Transition_sss_Proportion" "Length6PlusTransition_osg_Proportion" "Length6PlusTransition_ssg_Proportion" "Length6PlusTransition_sgs_Proportion" "Length6PlusTransition_gss_Proportion" "Length6PlusTransition_sss_Proportion"
1 101.416666666667 82.5833333333333 9.83333333333333 7 1.16666666666667 0.416666666666667 0.333333333333333 0.39517932755126 0.0460241908688742 0.0406704530656614 0.0487712824315626 0.0311603344937199 0.280703600312702 0.019241890394733 0.138248920881487 0.644558553448928 0.00854500891265597 0.0208333333333333 0.0498271484902501 0.0142268270944742 0.164877045859666 0.00284090909090909 0.0942911737697834 0.873042929292929 0.0175 0.0122222222222222 0.00763888888888888 0.00208333333333333 0.0618181818181818 0.00416666666666666 0.0215277777777778 0.866666666666667 0 0 0.0291666666666667 0 0.0791666666666667 0.025 0 0.975 0 0 0.025 0 0 0 0 0.958333333333333 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0.00490196078431373 0.00520833333333333 0.00520833333333333 0.00520833333333333 0.00555555555555556 0.00555555555555556 0.00833333333333333 0.00925925925925926 0.0104166666666667 0.0111111111111111 0.0135416666666667 0.0222816399286988 0.0298611111111111 0.0913497722321252 0.138335561497326 0.231729055258467 0.313907456922163 0 0 0 0 0 0.00260416666666667 0.00260416666666667 0.00260416666666667 0.00520833333333333 0.00520833333333333 0.00520833333333333 0.00954861111111111 0.0152777777777778 0.0166666666666667 0.0217013888888889 0.0720643939393939 0.674636994949495 0 0 0 0 0 0 0.00694444444444444 0.0138888888888889 0.0162037037037037 0.0439814814814815 0.335648148148148 0 0 0 0 0.0104166666666667 0.322916666666667 0 0.0166666666666667 0.0166666666666667 0.3 0 0 0 0 0 0.00520833333333333 0.00520833333333333 0.00520833333333333 0.0104166666666667 0.0104166666666667 0.0190972222222222 0.0305555555555556 0.0333333333333333 0.0381944444444444 0.133712121212121 0.541982323232323 0 0 0 0 0 0 0 0.0104166666666667 0.0208333333333333 0.0243055555555556 0.0659722222222222 0.295138888888889 0 0 0 0 0.0138888888888889 0.319444444444444 0 0.0208333333333333 0.0208333333333333 0.0208333333333333 0.270833333333333
2 36.4545454545455 27.1818181818182 3.63636363636364 4.27272727272727 0.636363636363636 0.636363636363636 0 0.629446121471781 0.0555272941203091 0.0274462659380692 0.0328378870673953 0.0185573770491803 0.180199445284264 0.00327868852459016 0.0527069205444116 0.652777777777778 0.0194444444444444 0.0162037037037037 0.0472222222222222 0.00694444444444444 0.151388888888889 0 0.106018518518519 0.901360544217687 0.00680272108843537 0 0 0 0.0850340136054421 0 0.00680272108843537 0.85 0.05 0 0.05 0 0.05 0 0 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0.0104166666666667 0.0104166666666667 0 0.0291666666666667 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.0243055555555556 0.0604166666666667 0.148611111111111 0.202777777777778 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.00595238095238095 0.0744047619047619 0.49702380952381 0 0 0 0 0 0.0277777777777778 0 0 0.0277777777777778 0.0277777777777778 0.333333333333333 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0.0119047619047619 0.148809523809524 0.410714285714286 0 0 0 0 0 0 0.0416666666666667 0 0 0.0416666666666667 0.0416666666666667 0.291666666666667 0 0 0 0 0 0.166666666666667 0 0 0 0 0
3 42.9090909090909 32.2727272727273 3.90909090909091 5.54545454545455 0.272727272727273 0.727272727272727 0.181818181818182 0.573284222147188 0.0399187290696725 0.0284330516265482 0.055774368066266 0.0394581966942465 0.203209363742577 0.00853344768439108 0.0513886209691107 0.761695075757576 0 0.0369318181818182 0.0234375 0 0.121827651515152 0.0134943181818182 0.0426136363636364 0.933670033670034 0 0 0 0 0.0663299663299663 0 0 0.875 0 0 0 0 0.125 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0179924242424242 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.00757575757575758 0.00757575757575758 0.03125 0.0568181818181818 0.154861111111111 0.348926767676768 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0746212121212121 0.675378787878788 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.138888888888889 0 0 0 0 0 0.25 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.149242424242424 0.600757575757576 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.125 0 0 0 0 0 0.25 0 0 0 0 0.166666666666667
4 38.0909090909091 29.1818181818182 1.90909090909091 5.63636363636364 0.272727272727273 0.909090909090909 0.181818181818182 0.67835394270801 0.0236541767642246 0.0140692640692641 0.0433884297520661 0.00555106775202469 0.162548934319269 0.00295159386068477 0.0694825907744568 0.786666666666667 0.0166666666666667 0 0.02 0 0.156666666666667 0 0.02 0.899651788540678 0.00284900284900285 0.0137701804368471 0 0.00205761316872428 0.0251661918328585 0 0.0565052231718898 0.875 0 0 0 0.0625 0.0625 0 0 0.966666666666667 0 0 0 0 0.0333333333333333 0 0 0.833333333333333 0 0 0.0833333333333335 0 0.0833333333333335 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0.0166666666666667 0.0166666666666667 0.113888888888889 0.247222222222222 0 0 0 0.00231481481481481 0.0138888888888889 0 0 0 0 0 0 0 0.015491452991453 0.00320512820512821 0.0496794871794872 0.0283119658119658 0.637108262108262 0 0 0 0 0.0138888888888889 0 0 0 0 0.0138888888888889 0.138888888888889 0 0 0 0.0208333333333333 0 0.479166666666667 0.0166666666666667 0.0166666666666667 0.0166666666666667 0.116666666666667 0 0 0 0.00462962962962963 0.0277777777777778 0 0 0 0 0 0 0.00320512820512821 0.00641025641025641 0.0993589743589744 0.0566239316239316 0.551994301994302 0 0 0 0 0 0.0208333333333333 0 0 0 0 0.0208333333333333 0.125 0 0 0 0.0277777777777778 0 0.472222222222222 0.0208333333333333 0 0.0208333333333333 0.0208333333333333 0.104166666666667
5 36.7272727272727 30 3 2.72727272727273 0.272727272727273 0.636363636363636 0 0.660292533886284 0.0341602093164593 0.00703125 0.0348834325396825 0.0268091244653745 0.140414106195356 0.0249768518518519 0.0714324917449917 0.676190476190476 0.019047619047619 0.00714285714285714 0.0666666666666667 0 0.147619047619048 0.0119047619047619 0.0714285714285714 0.962962962962963 0.0123456790123457 0.00617283950617283 0.0185185185185185 0 0 0 0 0.8125 0 0 0 0 0.125 0 0.0625 0.95 0 0 0 0 0.05 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0.0138888888888889 0 0 0 0 0.00833333333333333 0 0 0.0138888888888889 0 0 0 0 0 0.0277777777777778 0.0222222222222222 0 0.00833333333333333 0.0777777777777778 0.0555555555555556 0.113888888888889 0.241666666666667 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.00694444444444444 0.0138888888888889 0 0 0.708333333333333 0 0 0.0138888888888889 0.0138888888888889 0 0 0.0138888888888889 0 0 0 0.125 0 0 0 0.0208333333333333 0 0.3125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.0138888888888889 0.0277777777777778 0 0 0.666666666666667 0 0 0.0208333333333333 0.0208333333333333 0.0208333333333333 0 0 0 0 0 0 0.104166666666667 0 0 0 0.0277777777777778 0 0.305555555555556 0 0 0 0 0
6 28.8181818181818 22.1818181818182 2.09090909090909 3.54545454545455 0.636363636363636 0.181818181818182 0.0909090909090909 0.763400177872822 0.0190858750907771 0.0128903413217139 0.0190631808278867 0.0259038800705467 0.124071940604199 0.00490196078431373 0.0306826434277415 0.772619047619048 0 0 0.0119047619047619 0.0178571428571429 0.183333333333333 0 0.0142857142857143 0.944047619047619 0 0 0 0 0.042063492063492 0 0.0138888888888889 0.875 0 0.0416666666666667 0.0416666666666667 0 0 0 0.0416666666666667 0.9 0 0 0 0 0.1 0 0 0.857142857142857 0 0 0 0 0.142857142857143 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0.0166666666666667 0.213888888888889 0.318055555555556 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0.0138888888888889 0.0420634920634921 0.607242063492064 0.0138888888888889 0.0138888888888889 0 0.0138888888888889 0 0 0 0 0.0138888888888889 0 0.194444444444444 0 0 0 0.0208333333333333 0 0.145833333333333 0 0 0.0138888888888889 0.0694444444444444 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0.0277777777777778 0.0771825396825397 0.554761904761905 0.0208333333333333 0.0208333333333333 0 0 0 0 0 0 0 0.0208333333333333 0 0.1875 0 0 0 0.0277777777777778 0 0.138888888888889 0 0 0 0.0166666666666667 0.0666666666666667
7 46.1818181818182 33.8181818181818 3.63636363636364 7.09090909090909 0.272727272727273 1.18181818181818 0.181818181818182 0.696451546181775 0.0307276453802692 0.0034965034965035 0.0319624659646833 0.114800603436967 0.098824914102076 0.00737510607429307 0.0163612153634327 0.836458333333333 0.0229166666666667 0 0.0125 0 0.0625 0 0.065625 0.972425105758439 0.00336700336700336 0 0.00336700336700336 0 0.0171371838038505 0 0.0037037037037037 0.916666666666667 0.0833333333333333 0 0 0 0 0 0 0.966666666666667 0 0 0 0 0.0333333333333333 0 0 1 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0.0166666666666667 0.0541666666666667 0.0833333333333333 0.465277777777778 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0.00378787878787879 0 0.00378787878787879 0.00416666666666667 0.0192793317793318 0.715190365190365 0 0 0 0 0 0.0277777777777778 0 0 0 0 0.222222222222222 0 0 0 0.0208333333333333 0 0.479166666666667 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0.00757575757575758 0 0 0.00757575757575758 0 0.00757575757575758 0.00833333333333333 0.030982905982906 0.687956487956488 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.208333333333333 0 0 0 0.0277777777777778 0 0.472222222222222 0 0 0 0 0.0833333333333333
8 46 32.8181818181818 3.72727272727273 7.63636363636364 0.454545454545455 1.27272727272727 0.0909090909090909 0.767263938131461 0.00286187976157581 0.0123989485691613 0.0506715506715507 0.0415323190531331 0.101615908216338 0.0042652383077915 0.0193902172889883 0.778937728937729 0 0 0 0 0.160164835164835 0.00641025641025641 0.0544871794871795 0.976430976430976 0 0.0109427609427609 0 0 0.0126262626262626 0 0 0.958333333333333 0 0 0 0 0.0416666666666667 0 0 0.94 0 0 0 0 0.06 0 0 1 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.0119047619047619 0.0166666666666667 0 0 0.0480769230769231 0.119688644688645 0.290842490842491 0 0 0 0 0 0 0 0 0 0 0 0 0.0123106060606061 0 0 0.0142045454545455 0.723484848484849 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.236111111111111 0 0 0 0.03125 0 0.385416666666667 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0.0246212121212121 0 0 0.0284090909090909 0.696969696969697 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.229166666666667 0 0 0 0.0416666666666667 0 0.375 0 0 0 0 0.0833333333333333
9 40.7272727272727 30.5454545454545 2.81818181818182 5.54545454545455 0.727272727272727 1 0.0909090909090909 0.757355271831984 0.0243726767650213 0.0168024714077346 0.0249253670306302 0.00418105101649405 0.131931529390042 0.00151515151515152 0.0389164810429422 0.92473544973545 0 0.00793650793650794 0.0138888888888889 0 0.0455026455026455 0 0.00793650793650794 0.958756613756614 0.00666666666666666 0 0.0074074074074074 0.0037037037037037 0.0155952380952381 0.00416666666666666 0.0037037037037037 0.95 0 0 0 0.025 0 0 0.025 0.983333333333333 0.0166666666666667 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0238095238095238 0.0119047619047619 0.0208333333333333 0.0119047619047619 0.0444444444444444 0.637103174603175 0 0 0.00462962962962963 0.00462962962962963 0 0 0.00462962962962963 0 0 0 0.00520833333333333 0.00925925925925926 0 0.00833333333333333 0.00462962962962963 0.0194940476190476 0.772519841269841 0 0 0 0.0138888888888889 0.0138888888888889 0 0 0 0 0 0.388888888888889 0 0 0.0104166666666667 0 0 0.489583333333333 0 0 0 0.0833333333333333 0 0 0.00925925925925926 0.00925925925925926 0 0 0.00925925925925926 0 0 0.0104166666666667 0.00925925925925926 0 0.0166666666666667 0 0.0389880952380952 0.730224867724868 0 0 0 0 0.0208333333333333 0.0208333333333333 0 0 0 0 0 0.375 0 0 0.0138888888888889 0 0 0.486111111111111 0 0 0 0 0.0833333333333333
10 37.0909090909091 26.0909090909091 3.36363636363636 6.18181818181818 0.181818181818182 1.18181818181818 0.0909090909090909 0.818303890821345 0.00743482083101403 0.0128803515026425 0.0284108348410838 0.0202020202020202 0.0826194392047186 0.0017825311942959 0.0283661114028801 0.71780303030303 0.0380952380952381 0.0416666666666667 0.00892857142857143 0.0232142857142857 0.104383116883117 0.0386363636363636 0.0272727272727273 0.967714424951267 0.00833333333333332 0 0 0 0.0216374269005848 0 0.00231481481481481 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0.0450757575757576 0 0 0 0.0166666666666667 0 0 0 0 0.0270833333333333 0 0 0 0 0 0.0375 0.0208333333333333 0.0104166666666667 0.0318181818181818 0.084280303030303 0.281881313131313 0 0.00833333333333333 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0.00231481481481481 0.0216374269005848 0.6260477582846 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0.416666666666667 0 0 0 0.0833333333333333 0 0.0166666666666667 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0.00462962962962963 0.00994152046783626 0.618762183235867 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0.416666666666667 0 0 0 0 0.0833333333333333
