"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oc_Proportion" "Transition_je_Proportion" "Transition_oe_Proportion" "Transition_hc_Proportion" "Transition_eo_Proportion" "Transition_io_Proportion" "Transition_oj_Proportion" "Transition_eh_Proportion" "Transition_co_Proportion" "Transition_ho_Proportion" "Transition_oh_Proportion" "Transition_oi_Proportion" "Transition_og_Proportion" "Transition_oo_Proportion" "Transition_ci_Proportion" "Transition_so_Proportion" "Transition_ch_Proportion" "Transition_cc_Proportion" "Transition_gh_Proportion" "Transition_ec_Proportion" "Transition_jo_Proportion" "Transition_go_Proportion" "Transition_jh_Proportion" "Transition_ce_Proportion" "Transition_gj_Proportion" "Transition_jc_Proportion" "Transition_gc_Proportion" "Transition_cg_Proportion" "Transition_eg_Proportion" "Transition_jg_Proportion" "Transition_ij_Proportion" "Transition_sc_Proportion" "Transition_hg_Proportion" "Transition_hh_Proportion" "Transition_ji_Proportion" "Transition_ge_Proportion" "Transition_ih_Proportion" "Transition_hi_Proportion" "Transition_sj_Proportion" "Transition_sh_Proportion" "Transition_ei_Proportion" "Transition_jj_Proportion" "Transition_se_Proportion" "Transition_ie_Proportion" "Transition_ee_Proportion" "Transition_ig_Proportion" "Transition_gi_Proportion" "Transition_ii_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jis_Proportion" "Transition_cge_Proportion" "Transition_sso_Proportion" "Transition_soo_Proportion" "Transition_egs_Proportion" "Transition_sjc_Proportion" "Transition_ghs_Proportion" "Transition_eso_Proportion" "Transition_isc_Proportion" "Transition_ehs_Proportion" "Transition_eeh_Proportion" "Transition_ohs_Proportion" "Transition_scc_Proportion" "Transition_esc_Proportion" "Transition_oes_Proportion" "Transition_jsg_Proportion" "Transition_chs_Proportion" "Transition_hcs_Proportion" "Transition_jsi_Proportion" "Transition_eos_Proportion" "Transition_ogi_Proportion" "Transition_jog_Proportion" "Transition_ccs_Proportion" "Transition_ios_Proportion" "Transition_jcs_Proportion" "Transition_ois_Proportion" "Transition_hsi_Proportion" "Transition_cei_Proportion" "Transition_sho_Proportion" "Transition_hoo_Proportion" "Transition_cis_Proportion" "Transition_ooo_Proportion" "Transition_ghg_Proportion" "Transition_ghi_Proportion" "Transition_osg_Proportion" "Transition_sos_Proportion" "Transition_gsc_Proportion" "Transition_gge_Proportion" "Transition_shg_Proportion" "Transition_egg_Proportion" "Transition_esg_Proportion" "Transition_geg_Proportion" "Transition_gei_Proportion" "Transition_hgs_Proportion" "Transition_gig_Proportion" "Transition_isj_Proportion" "Transition_ssc_Proportion" "Transition_scs_Proportion" "Transition_igi_Proportion" "Transition_iig_Proportion" "Transition_gsj_Proportion" "Transition_jhs_Proportion" "Transition_osi_Proportion" "Transition_jos_Proportion" "Transition_ihg_Proportion" "Transition_gee_Proportion" "Transition_eih_Proportion" "Transition_ige_Proportion" "Transition_ihh_Proportion" "Transition_hii_Proportion" "Transition_iie_Proportion" "Transition_seg_Proportion" "Transition_ish_Proportion" "Transition_cgs_Proportion" "Transition_csg_Proportion" "Transition_shi_Proportion" "Transition_ges_Proportion" "Transition_eii_Proportion" "Transition_gsh_Proportion" "Transition_iii_Proportion" "Transition_jjj_Proportion" "Transition_ssj_Proportion" "Transition_sjj_Proportion" "Transition_csi_Proportion" "Transition_iih_Proportion" "Transition_ese_Proportion" "Transition_sse_Proportion" "Transition_gse_Proportion" "Transition_sei_Proportion" "Transition_ses_Proportion" "Transition_ggi_Proportion" "Transition_gie_Proportion" "Transition_shs_Proportion" "Transition_ssh_Proportion" "Transition_hsg_Proportion" "Transition_ihs_Proportion" "Transition_ise_Proportion" "Transition_hhi_Proportion" "Transition_igg_Proportion" "Transition_ihi_Proportion" "Transition_jgs_Proportion" "Transition_ees_Proportion" "Transition_iee_Proportion" "Transition_eie_Proportion" "Transition_sig_Proportion" "Transition_his_Proportion" "Transition_eis_Proportion" "Transition_sie_Proportion" "Transition_iei_Proportion" "Transition_eee_Proportion" "Transition_esi_Proportion" "Transition_jse_Proportion" "Transition_ies_Proportion" "Transition_sgi_Proportion" "Transition_see_Proportion" "Transition_iis_Proportion" "Transition_gis_Proportion" "Transition_sii_Proportion" "Transition_ssi_Proportion" "Transition_igs_Proportion" "Transition_gii_Proportion" "Transition_ggg_Proportion" "Transition_gsi_Proportion" "Transition_isg_Proportion" "Transition_sis_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_isi_Proportion" "Transition_jss_Proportion" "Transition_ess_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_sgs_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 407.666666666667 300.666666666667 51.5 39.25 7 5.33333333333333 3.91666666666667 0.328911127989678 0.0383193511293082 0.060463186882352 0.0111523488449505 0.0182576342199182 0.317213411810382 0.0349248863347396 0.190758052788671 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000169033130493577 0.000169033130493577 0.000393081761006289 0.000493096646942801 0.000493096646942801 0.000505054635869921 0.000513385747573467 0.000706214689265537 0.00085145200856062 0.00117914240223342 0.00118747351393696 0.00151809249785741 0.00160834480399297 0.00226852561918893 0.0022780220618244 0.0022929031127138 0.00280106294586365 0.00356638152804252 0.00456890293632716 0.00535053434740697 0.00595431403780358 0.00856263798099344 0.0101243268728752 0.0116952799867956 0.0144623723244002 0.0167465582566214 0.0221444064060813 0.0263574122625686 0.0282517054490014 0.121258829187312 0.207129446067611 0.494399877001399 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000310945273631841 0.000310945273631841 0.000310945273631841 0.000310945273631841 0.000310945273631841 0.000310945273631841 0.000310945273631841 0.000310945273631841 0.000310945273631841 0.000310945273631841 0.000310945273631841 0.000310945273631841 0.000310945273631841 0.000310945273631841 0.000310945273631841 0.000310945273631841 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000621890547263682 0.000621890547263682 0.000621890547263682 0.000621890547263682 0.000621890547263682 0.000621890547263682 0.000621890547263682 0.000778816199376947 0.000778816199376947 0.000778816199376947 0.000801282051282051 0.000801282051282051 0.000932835820895522 0.00108976147300879 0.00108976147300879 0.00111222732491389 0.00117370892018779 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00140070674664063 0.00142317259854573 0.00148465419381963 0.00165503129513722 0.00165503129513722 0.00165503129513722 0.00196597656876906 0.00203252032520325 0.00212290222088232 0.00222445464982778 0.00265441087246693 0.00303938056197884 0.00333668197474168 0.00337229723814943 0.00342499461619054 0.00359025224413473 0.00421308948216663 0.00440543798602296 0.00646291601449421 0.00667306191178168 0.00770254234995699 0.00806422122764229 0.00863386640498671 0.00920404847294199 0.0105028442909898 0.0114827961455959 0.0115919695709078 0.0116562070602967 0.0140857480174994 0.0168404373800843 0.0171188309482795 0.044931187522144 0.109037445351353 0.192459174006732 0.443304813779241
2 284.916666666667 203 38 28.4166666666667 7.58333333333333 4.16666666666667 3.75 0.275075856403465 0.0448520200760605 0.0888868367673157 0.0188653345569697 0.0217000508633108 0.247223004794515 0.0513768799100741 0.252020016628289 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000125125125125125 0.000375375375375375 0.000534188034188034 0.000534188034188034 0.000534188034188034 0.000559284116331096 0.000570776255707763 0.000636132315521628 0.00213675213675214 0.00595238095238095 0.000232126276694522 0.000684409241456221 0.000766314310882556 0.000232126276694522 0.000232126276694522 0.000125125125125125 0 0 0.000375375375375375 0 0.000125125125125125 0.00125566294641466 0.00175464115798803 0.0179218521638307 0.000559284116331096 0.00165275626685023 0 0 0.00518426904316769 0.00567279995504084 0.00786900375360142 0.014818573520778 0.0154477635898604 0.0114549320775559 0.0335422500340537 0.0171779270069999 0.00711825300285067 0.0141407054578937 0.0549606230688328 0.168872055418286 0.170110752214278 0.43575477681758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000219298245614035 0.000219298245614035 0.000219298245614035 0.000219298245614035 0.000219298245614035 0.000219298245614035 0.000219298245614035 0.00043859649122807 0.000452898550724638 0.000452898550724638 0.000452898550724638 0.000657894736842105 0.000672196796338673 0.00102880658436214 0.00102880658436214 0.00102880658436214 0.00126262626262626 0 0 0 0 0 0 0 0 0 0 0 0.000219298245614035 0.000219298245614035 0.00102880658436214 0.00173444976076555 0.00337340264240849 0 0.000452898550724638 0.00102880658436214 0.00141242937853107 0 0 0 0 0.00102880658436214 0.00102880658436214 0.00124810482997617 0 0 0.000672196796338673 0 0 0.00102880658436214 0 0.00102880658436214 0 0 0 0 0 0.00257819636315695 0.000219298245614035 0.000219298245614035 0 0 0 0 0 0 0.000657894736842105 0 0.00212529781243232 0.00733701537795105 0.00463421841903356 0.0045375785141867 0.00131578947368421 0.000219298245614035 0.00043859649122807 0.00763888888888889 0.00704433681248454 0.0111964820465011 0.00175438596491228 0.00381199913363656 0.00654021798585184 0.0268492247245743 0.0469483034168206 0.00414064823074636 0.00546418128654971 0.0108248505480262 0.0271327906435099 0.0127571407947528 0.130311117182823 0.190550442601253 0.149482651357972 0.308753421087601
3 245.666666666667 176.583333333333 33.1666666666667 25.5 5 3.25 2.16666666666667 0.312559546464524 0.0340013098583276 0.0933805003249023 0.0314344504972474 0.0253080752586008 0.237828370972912 0.0514240793690506 0.214063667254435 0 0 0 0 0 0 0 0.000261233019853709 0.000357653791130186 0.000357653791130186 0.000357653791130186 0.000560905823650511 0.000618886810983896 0.000715307582260372 0.000715307582260372 0.00185094542786636 0.00378787878787879 0.000261233019853709 0.000868055555555556 0 0.000261233019853709 0.000357653791130186 0.000203252032520325 0 0.000203252032520325 0.00040650406504065 0 0.00184459615766964 0 0.00245098039215686 0.000261233019853709 0.00723000758355041 0.000434027777777778 0 0.000718390804597701 0.000434027777777778 0.000434027777777778 0.000434027777777778 0.00107130758807588 0.000618886810983896 0 0.000203252032520325 0.00131414760861538 0.000434027777777778 0.000357653791130186 0.00458188200269752 0.00175909145759913 0.00306756558389914 0.0288578283058948 0.00969637220585312 0.0102224270491365 0.0146853799198234 0.00675785730841554 0.012002863811075 0.0137037000624821 0.0567762606530797 0.14767154390894 0.206799582737439 0.453032440391003 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000778816199376947 0.000778816199376947 0.000778816199376947 0.000778816199376947 0.000825082508250825 0.000825082508250825 0.00124962599222064 0.00260416666666667 0.00925925925925926 0 0 0 0 0 0 0.000825082508250825 0 0 0.00338298286604361 0.00675599873905949 0 0.00155763239875389 0 0 0.000470809792843691 0 0 0 0 0 0 0 0 0 0.000595238095238095 0.000778816199376947 0.000778816199376947 0 0 0 0 0 0 0.000470809792843691 0.000470809792843691 0.00124962599222064 0 0 0.000778816199376947 0.000825082508250825 0 0.000825082508250825 0 0 0 0.000778816199376947 0 0 0.000595238095238095 0 0 0 0 0 0 0 0.000595238095238095 0 0 0 0 0 0 0 0 0 0.000778816199376947 0 0.00301632808615885 0.00372533748701973 0.00249925198444128 0.00293168669336894 0 0.00985449735449735 0.00358013446679691 0.00327806818381822 0.0068166532149583 0.00361156618139694 0.00207470850047146 0.00106604788808179 0.0238311575928398 0.0127329054950708 0.00219124557790802 0.0022375118867819 0.0488783640297078 0.00917083536440811 0.0145912612257205 0.111408623436803 0.126045616155935 0.156706859398951 0.409359145880748
4 210.5 155 28.5 20 3.66666666666667 2.16666666666667 1.16666666666667 0.344519138564139 0.0470500420088051 0.0710888162686734 0.0314200099016186 0.0217609943824279 0.257234125218819 0.0330606200260377 0.193866253629479 0 0 0 0 0 0.000452898550724638 0.000487329434697856 0 0 0 0 0.000595238095238095 0.000243664717348928 0 0.000243664717348928 0.00191798941798942 0 0.000932369951508707 0 0 0.00156641604010025 0 0.00132275132275132 0.000786163522012579 0.000243664717348928 0.00653232732576276 0 0.000452898550724638 0 0.00416666666666667 0 0.00104813664596273 0 0 0.0028735632183908 0 0.00132275132275132 0.0028735632183908 0.0028735632183908 0.00242953826321341 0.00197663971248877 0.000452898550724638 0.000786163522012579 0 0 0.00271150074951822 0.00142755742012035 0.00227304372041214 0.0284648430424306 0.00712626333603665 0.00958709463654331 0.0231044701223356 0.00996179522346711 0.00616031270079246 0.0230946045107586 0.034913714515973 0.147894810169161 0.15227274386115 0.514426385288751 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000595238095238095 0.000595238095238095 0.00104166666666667 0.00104166666666667 0.00157232704402516 0.00157232704402516 0.00189393939393939 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0.00119047619047619 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0 0 0 0 0 0 0 0 0.00104166666666667 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0 0 0 0.00157232704402516 0 0 0 0 0 0.00119047619047619 0.0043351302785265 0.00276280323450135 0.00223214285714286 0 0.00157232704402516 0.00178571428571429 0.00157232704402516 0.00320923180592992 0.00373989218328841 0.00418632075471698 0.00157232704402516 0.0172500499151443 0.0123136690353671 0.00104166666666667 0.00580357142857143 0.0357944051929901 0.0306821585123472 0.00813492063492063 0.0744819885739697 0.185385951836424 0.131450936816503 0.445585515986459
5 180.333333333333 137.666666666667 22 15.4166666666667 2.58333333333333 2.08333333333333 0.583333333333333 0.315939357548531 0.0471612629940201 0.0844585002996733 0.0265271648361901 0.0210057007718723 0.252350087242601 0.0372911995495802 0.215266726757531 0 0 0 0.0006265664160401 0.000809061488673139 0 0 0 0 0 0 0 0.00122549019607843 0 0 0.0016025641025641 0.00122549019607843 0.0006265664160401 0.0006265664160401 0 0 0.000284414106939704 0.0006265664160401 0 0 0.00925925925925926 0 0.0006265664160401 0 0.000809061488673139 0 0.00131287583292703 0 0 0 0 0 0 0 0.0110300281420274 0.000744047619047619 0 0.0018796992481203 0 0.0012531328320802 0.00259610423116615 0.00245098039215686 0.00148809523809524 0.0289089754396897 0.0238692784582777 0.0105106516290727 0.0274689243141882 0.0195967881793757 0.00614056021893586 0.0124339869445104 0.0545058057532395 0.118173950478165 0.182239534219584 0.475048407910874 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0.00173611111111111 0.00189393939393939 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000757575757575758 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0 0 0 0 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0 0.000757575757575758 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0.00128205128205128 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0.00128205128205128 0 0 0 0.00245098039215686 0.00128205128205128 0 0.00245098039215686 0.00347222222222222 0 0 0 0.00245098039215686 0 0.00128205128205128 0 0.00418709150326797 0.00249368686868687 0 0.0714458743870508 0.00950854700854701 0.00373303167420814 0.000757575757575758 0.0342569399554694 0.0145736208236208 0.0027972027972028 0.115249946132299 0.128053808936162 0.134340414487473 0.435915636650931
6 132.083333333333 98.9166666666667 18.75 10.9166666666667 2.75 0.416666666666667 0.333333333333333 0.379656744780734 0.0311287717947584 0.0900211134761038 0.03988723259693 0.0183514005694404 0.213485165437821 0.0359827614718417 0.191486809872371 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0.00555555555555556 0.00555555555555556 0.00284391534391534 0 0 0 0 0.00276497695852535 0 0 0 0 0 0 0 0 0.00752078609221466 0 0 0.00355466130114017 0 0 0 0 0.00833333333333333 0 0 0.00396825396825397 0 0 0 0 0.000992063492063492 0.027181007190094 0.0272640472464416 0.0121168811812675 0.030463354886101 0.00137608806963646 0.00216577241225129 0.0183460079473255 0.0387139014321464 0.150798806321458 0.18488876379973 0.458188860505583 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0.00378787878787879 0.00378787878787879 0.00631313131313131 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0.00114155251141553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0.00252525252525253 0 0 0 0 0 0.0527777777777778 0.0146464646464646 0.00277777777777778 0 0.0316835371629892 0.0201739820701609 0.00228310502283105 0.079271613590287 0.0788803542047954 0.140569720274118 0.53479198843294
7 131.916666666667 96.8333333333333 18.1666666666667 12.4166666666667 2.58333333333333 1.58333333333333 0.333333333333333 0.406212221490829 0.0361792449693803 0.0818779863040371 0.0305682244181119 0.0155152092512662 0.220185634497378 0.0493317803929388 0.160129698676059 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00112471228290437 0 0 0 0 0 0 0 0.00260416666666667 0 0 0.00134408602150538 0 0 0 0 0 0.00247175141242938 0 0 0 0 0 0 0.00141242937853107 0 0 0.00308641975308642 0.00141242937853107 0 0 0.00141242937853107 0 0.00287835986988529 0.0129631710228462 0.0160485960664373 0.00825767999044084 0.0265591524076083 0.00564676440610466 0.000353107344632768 0.0111022552268488 0.0544915900559373 0.12189737781865 0.160762952256997 0.564170569261426 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0.00384424603174603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0.00679563492063492 0.00384424603174603 0.000868055555555556 0 0.0127728174603175 0.00295138888888889 0 0.000868055555555556 0.0229580026455026 0.0157490079365079 0.0140376984126984 0.0963217338217338 0.103166971916972 0.154373982498982 0.555638863451363
8 115.166666666667 88.1666666666667 12.6666666666667 10.9166666666667 1.75 1 0.666666666666667 0.471911434340848 0.0393340695755047 0.0497018486904825 0.0399153408516153 0.0155393130363102 0.217462773114078 0.024462433292743 0.141672787098418 0 0 0 0 0 0 0 0.000465549348230912 0 0.000465549348230912 0.00141242937853107 0 0.00472541507024266 0.00193798449612403 0 0.00187797872676199 0 0.00101626016260163 0 0 0 0 0 0 0 0.00181159420289855 0 0 0 0 0 0 0 0 0.00193798449612403 0 0 0 0.000465549348230912 0 0.000465549348230912 0 0 0.000465549348230912 0.000465549348230912 0 0 0.000465549348230912 0.0164792013023433 0.00822952450351041 0.0102865879721638 0.0441661059810932 0.0138187191320541 0.0070202386839069 0.0349464536825688 0.0471251545736031 0.105960454491616 0.13365705543856 0.56033201226768 0 0 0 0 0 0 0 0 0 0.00105485232067511 0.00105485232067511 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0 0 0 0 0 0 0 0 0.00105485232067511 0 0 0 0.00680197875745671 0.00105485232067511 0 0.0149069812044496 0.00603812018041612 0.00831438045134661 0 0.0218881856540084 0.00833333333333333 0 0 0.0171721816909508 0.0645643804513466 0.0114789374133719 0.101336391696985 0.0972795604166357 0.118670682966325 0.498280302398534
9 128.25 98.25 14.9166666666667 11.1666666666667 2.16666666666667 1.16666666666667 0.583333333333333 0.487913673151099 0.0403777622419146 0.0415169992115585 0.0395122710430519 0.0141546570764101 0.207507926614733 0.0262158245032454 0.142800886157988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00493827160493827 0 0 0.000385802469135802 0 0 0 0 0 0 0.000385802469135802 0 0 0 0.00385395537525355 0 0.0064884960718294 0 0 0.000385802469135802 0 0 0 0.0031733746130031 0.00136619462599855 0 0.00231481481481481 0.00219298245614035 0 0 0 0.000771604938271605 0 0.0357480847612427 0.024414931055709 0.0101336642284918 0.0249390136580539 0.00252255460588794 0.00213779956427015 0.0203120821782079 0.0342624863689506 0.122509291565331 0.134743158115992 0.562019831990207 0 0 0 0 0 0 0.000833333333333333 0.000833333333333333 0.00546296296296296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0 0 0 0 0 0 0 0 0 0 0.0100925925925926 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0.000833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0 0 0 0 0.00166666666666667 0 0 0 0.00678571428571428 0.000833333333333333 0 0.0507964257964258 0.0168269230769231 0 0 0.0524122174122174 0.0224298540965208 0.011039886039886 0.0814235723665548 0.0855752077681902 0.133659896795862 0.510531783843187
10 97.5 73.1666666666667 13.0833333333333 8.41666666666667 1.41666666666667 1 0.416666666666667 0.507897013800553 0.0364352109448109 0.0534584308743265 0.0341800558895094 0.0193146143372516 0.194781179883519 0.0314481385078106 0.12248535576222 0 0.00166666666666667 0 0 0 0 0 0 0 0.00166666666666667 0 0 0 0.000661375661375661 0 0.00428456406717276 0 0 0 0 0.0104166666666667 0 0 0 0 0.00694444444444444 0 0 0.00271739130434783 0.00413359788359788 0 0.0168269230769231 0 0 0.00166666666666667 0 0 0 0.00347222222222222 0.00247296986427421 0 0.0034310496267018 0.00285435811751601 0 0 0 0.00347222222222222 0 0.03249286657316 0.00652982918429143 0.0177769151138716 0.02239022415493 0.0077639751552795 0.00156717276282494 0.00452898550724638 0.0328307763090372 0.0832817398534521 0.170711639668767 0.553438090559675 0 0 0.0014367816091954 0.0014367816091954 0.00396825396825397 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0014367816091954 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0.0014367816091954 0 0.0178571428571429 0 0 0 0.0109126984126984 0.0125 0.0014367816091954 0 0.0503603357051633 0.011555829228243 0.00308641975308642 0.0842045247217661 0.0817619959861339 0.11424350072085 0.571809835045129
