"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oe_Proportion" "Transition_ic_Proportion" "Transition_gc_Proportion" "Transition_eg_Proportion" "Transition_oi_Proportion" "Transition_so_Proportion" "Transition_hj_Proportion" "Transition_og_Proportion" "Transition_gi_Proportion" "Transition_go_Proportion" "Transition_cc_Proportion" "Transition_gj_Proportion" "Transition_ig_Proportion" "Transition_hi_Proportion" "Transition_sj_Proportion" "Transition_jj_Proportion" "Transition_gg_Proportion" "Transition_jh_Proportion" "Transition_jg_Proportion" "Transition_ii_Proportion" "Transition_io_Proportion" "Transition_sh_Proportion" "Transition_cg_Proportion" "Transition_gh_Proportion" "Transition_je_Proportion" "Transition_sc_Proportion" "Transition_jc_Proportion" "Transition_ji_Proportion" "Transition_os_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jgs_Proportion" "Transition_igc_Proportion" "Transition_osi_Proportion" "Transition_iis_Proportion" "Transition_egs_Proportion" "Transition_gsi_Proportion" "Transition_ios_Proportion" "Transition_osg_Proportion" "Transition_ssc_Proportion" "Transition_gos_Proportion" "Transition_shs_Proportion" "Transition_jsc_Proportion" "Transition_scc_Proportion" "Transition_ggs_Proportion" "Transition_sii_Proportion" "Transition_sjj_Proportion" "Transition_his_Proportion" "Transition_ssj_Proportion" "Transition_iii_Proportion" "Transition_ssi_Proportion" "Transition_scs_Proportion" "Transition_cgs_Proportion" "Transition_jcs_Proportion" "Transition_sis_Proportion" "Transition_jis_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_ess_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 395 331.5 33.0833333333333 27.4166666666667 2.33333333333333 0.666666666666667 0 0.43829599296743 0.0269394912046038 0.0364544288126008 0.00252709016796341 0.00544053497698707 0.336350377387358 0.0204510906350965 0.13354099384796 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000505050505050505 0.000505050505050505 0.00051440329218107 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.00133333333333333 0.00258613829871887 0.00365229500200974 0.00457307771593486 0.00525530349566184 0.00754288838309457 0.0120225857159181 0.0145800267084747 0.0244870445937401 0.103029049506482 0.223907173030151 0.5935065799142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0.00177304964539007 0.00396825396825397 0.00396825396825397 0.00767288267288267 0.00849358974358974 0.00950659981457083 0.0113690092413497 0.0291991318474369 0.0468590052370568 0.0960990583068056 0.138127897733985 0.641550838441893
2 226 186.5 20.1666666666667 17 1.58333333333333 0.583333333333333 0.166666666666667 0.337966173210382 0.0369486296463438 0.0465943380587734 0.00617629035078524 0.0234317700660765 0.279357299814744 0.0490923108629455 0.22043318798995 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000555555555555556 0.000555555555555556 0.000555555555555556 0.00102880658436214 0.0011550759392486 0.00170068027210884 0.00179856115107914 0 0 0 0 0 0.00570006957397045 0.00254396482813749 0.00102880658436214 0.00385054919027741 0.00985104927807908 0.00367191095608362 0.0110251491901108 0.0341212397735348 0.036549372553464 0.0241229596630502 0.162656377560972 0.196744182083535 0.500784578150957 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136612021857923 0.00146198830409357 0.00146198830409357 0.00146198830409357 0.00273224043715847 0.00374707259953162 0.00498930862437634 0 0 0.00238095238095238 0.0036231884057971 0.00146198830409357 0.00292397660818713 0.0430290742736679 0.00347222222222222 0.0721994442114585 0.0586173307151573 0.174652150836284 0.146770108926391 0.473648856323863
3 143.583333333333 114.083333333333 15.0833333333333 12.75 0.75 0.916666666666667 0 0.412882476074486 0.0324208844410036 0.0482649061991692 0.00212611291235654 0.0156269177323956 0.227648287729676 0.0356595797137278 0.225370835197186 0 0 0 0 0 0 0 0 0 0 0 0.000757575757575758 0.00126262626262626 0 0 0 0.00126262626262626 0.00128205128205128 0.00314465408805031 0 0 0.00254467754467754 0 0 0 0 0 0.00128205128205128 0.0027972027972028 0.00680517663171345 0.00225225225225225 0.00413618948101707 0.0219762869679181 0.0233978294220693 0.0388694703654083 0.139996030238793 0.203074470818575 0.545158828545392 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.00634920634920635 0.0304578754578755 0.0073015873015873 0.0508485958485959 0.0853325901151988 0.087596751075012 0.155884164145034 0.566195784891437
4 107.333333333333 85.5833333333333 11.0833333333333 8.91666666666667 0.75 0.916666666666667 0.0833333333333333 0.366342806016325 0.0353370674784812 0.0536656627061535 0.00450921509643634 0.0157497595572218 0.221516861289444 0.0453297612203693 0.257548866635569 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0.00913742690058479 0 0.00455882352941176 0 0 0 0.00432973459289249 0 0 0 0.00333333333333333 0.00333333333333333 0.00122549019607843 0.00319699852039738 0.00958624708624708 0.00794846050870147 0.00854700854700855 0.042453958430605 0.0150903207973595 0.045683293874977 0.152448847976174 0.167132906416682 0.51866048262288 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.00757575757575758 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0.0105820105820106 0.00396825396825397 0.101720971680649 0.0643540673782609 0.119787410916443 0.201462791986986 0.470076152939056
5 73.8333333333333 58.9166666666667 6.5 7.25 0.5 0.5 0.166666666666667 0.389385243881033 0.037339985112089 0.0617906990301106 0.00885459601093768 0.010459511320441 0.20396245798343 0.0458834374117289 0.24232406925023 0 0 0 0 0 0 0 0 0 0.00198412698412698 0.00333333333333333 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0.00933706816059757 0.00387596899224806 0.010500075999392 0.0207749766573296 0.0428246298519408 0.0288546858137194 0.0275607335957639 0.156925952551563 0.121538093567237 0.569712576714971 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0163690476190476 0.0327380952380952 0.00520833333333333 0.0908628408628409 0.0518353174603175 0.153769841269841 0.126087454212454 0.519160816035816
6 74.0833333333333 57.75 7.5 7.08333333333333 0.75 0.833333333333333 0.166666666666667 0.41865830387548 0.0280243375368096 0.0599850068457401 0.0104300822438783 0.011390250879374 0.206161145188966 0.0439348829690162 0.221415990460736 0 0 0 0 0 0 0 0 0.00181159420289855 0 0.00245098039215686 0 0 0 0 0 0 0.00185185185185185 0.00563973063973064 0 0 0 0 0 0 0.00245098039215686 0 0 0.0137733166909368 0.00378787878787879 0 0.0126770773509904 0.0148902979066023 0.0244853629292989 0.0385638361989486 0.133373771434772 0.182336493684235 0.561906827537543 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0.0177884615384615 0.034277950310559 0.0276098901098901 0 0.0516390614216701 0.0996473031799119 0.0985042735042735 0.204712799278017 0.452999747836704
7 63.0833333333333 48.75 6.08333333333333 7 0.666666666666667 0.583333333333333 0 0.42156127775192 0.0282513949693596 0.067744406462637 0.00867331439055023 0.0123923611565115 0.203700419651787 0.0474304235280796 0.210246402089156 0 0 0 0 0 0 0.00193798449612403 0.00595238095238095 0 0 0 0 0 0 0.00170068027210884 0 0.00378787878787879 0.00193798449612403 0.00555555555555556 0 0 0 0 0 0 0 0 0.00378787878787879 0.00427350427350427 0.0162240537240537 0 0.0209613142025933 0.0278705421562564 0.0231403931985327 0.0551985712699998 0.118035965741531 0.106114884561728 0.60352042752375 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00813492063492064 0.00396825396825397 0.00813492063492064 0.0317460317460317 0.0661549707602339 0.120655806182122 0.0907581453634085 0.109346282372598 0.557132414369256
8 65.25 50.5833333333333 7.58333333333333 5.75 0.583333333333333 0.75 0 0.44303264121732 0.0277049543932844 0.0487810103852494 0.0171929348672803 0.0193924757046355 0.222917290567628 0.0354707351377721 0.18550795772683 0 0 0 0 0 0.00995670995670996 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0.00297619047619048 0 0.00268817204301075 0.00277777777777778 0 0 0 0 0.00823070607553366 0 0 0.0340930860327412 0.00198412698412698 0.0102639296187683 0 0.00873015873015873 0.0280911771456822 0.0239475639920579 0.122622552307384 0.153367061806597 0.586647598647464 0 0 0 0 0 0.00490196078431373 0.00641025641025641 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0.074002849002849 0.017379679144385 0 0.0215617715617716 0.0272233893557423 0.107230568995275 0.0919082279376397 0.644479336023454
9 67.3333333333333 51.75 7.08333333333333 7.16666666666667 0.5 0.666666666666667 0.166666666666667 0.449950352559102 0.0319892301047385 0.0573660204410872 0.0168357878553013 0.0138983273888934 0.207143768843535 0.0383139016671819 0.184502611140162 0 0 0 0.0043859649122807 0.00694444444444444 0 0 0 0 0.00154320987654321 0 0 0 0 0 0 0.00928381962864721 0 0.00592917478882391 0.00320512820512821 0 0 0 0 0 0 0.00154320987654321 0 0.0050705467372134 0.0133547008547009 0.00474833808167141 0.0142347807577693 0.0201533130004378 0.0406016667458315 0.0232153779150442 0.118686075806285 0.137521104213543 0.589579144155092 0 0 0.00378787878787879 0.00833333333333333 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0.0384259259259259 0.0444444444444444 0.046875 0.0157903439153439 0.141653138528139 0.159361471861472 0.528281325156325
10 75.25 58.9166666666667 8.25 7.25 0.416666666666667 0.25 0.166666666666667 0.504602391223488 0.0352579243890406 0.0503127711130448 0.00759928014954488 0.0132303731173095 0.179920589742297 0.0331011061781002 0.175975564087175 0 0.0028735632183908 0.00396825396825397 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0.00838401483781919 0 0.0216374269005848 0 0 0 0.00555555555555556 0 0.00219298245614035 0 0.00189393939393939 0.00297619047619048 0.0186766735679779 0.00558035714285714 0.00771011025587685 0.0162418562876229 0.0218309946758223 0.0329927872914192 0.0357643841983087 0.109696011209194 0.126539921078137 0.568540533041465 0 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0.00694444444444444 0.0545634920634921 0.0416666666666667 0 0.0605769230769231 0.0916110033757093 0.0742012617012617 0.155937118437118 0.488433108286049
