"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oc_Proportion" "Transition_jo_Proportion" "Transition_hi_Proportion" "Transition_je_Proportion" "Transition_ii_Proportion" "Transition_ic_Proportion" "Transition_gj_Proportion" "Transition_hh_Proportion" "Transition_eh_Proportion" "Transition_oi_Proportion" "Transition_ig_Proportion" "Transition_ch_Proportion" "Transition_ji_Proportion" "Transition_ge_Proportion" "Transition_eo_Proportion" "Transition_gg_Proportion" "Transition_sj_Proportion" "Transition_gi_Proportion" "Transition_so_Proportion" "Transition_hg_Proportion" "Transition_sh_Proportion" "Transition_cc_Proportion" "Transition_ci_Proportion" "Transition_jg_Proportion" "Transition_jh_Proportion" "Transition_os_Proportion" "Transition_jj_Proportion" "Transition_jc_Proportion" "Transition_se_Proportion" "Transition_sc_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_es_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ocs_Proportion" "Transition_sjc_Proportion" "Transition_cis_Proportion" "Transition_sgg_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_isg_Proportion" "Transition_gsg_Proportion" "Transition_his_Proportion" "Transition_sjs_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_ggs_Proportion" "Transition_ehs_Proportion" "Transition_jsi_Proportion" "Transition_sii_Proportion" "Transition_gjs_Proportion" "Transition_jjs_Proportion" "Transition_isi_Proportion" "Transition_ssi_Proportion" "Transition_sch_Proportion" "Transition_gsc_Proportion" "Transition_ssg_Proportion" "Transition_sis_Proportion" "Transition_eos_Proportion" "Transition_geo_Proportion" "Transition_jsh_Proportion" "Transition_jis_Proportion" "Transition_gsh_Proportion" "Transition_sso_Proportion" "Transition_jcs_Proportion" "Transition_sos_Proportion" "Transition_hgs_Proportion" "Transition_scs_Proportion" "Transition_oss_Proportion" "Transition_ses_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_ess_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 380.5 310.083333333333 40.25 25.5 2.91666666666667 1.58333333333333 0.166666666666667 0.42462989480342 0.0264060918903819 0.0310890198949502 0.0045107228755769 0.00631677646092779 0.34444708503795 0.0258239659630782 0.136776443073715 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000570776255707763 0.000612745098039216 0.00112612612612613 0.00118352135374698 0.00134954978582044 0.00252760737525235 0.00576255812132657 0.00622919560485239 0.0157812487905772 0.0184722979331377 0.0345242386138579 0.0858760268290588 0.243801061843074 0.582183046269423 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0.00157232704402516 0.00667270531400966 0.00793650793650794 0.0290484166048153 0.07571105549964 0.0760787096718188 0.140816894841533 0.660591056043625
2 270 219.916666666667 29.5 17.75 1.58333333333333 1.08333333333333 0.166666666666667 0.332215300552541 0.0372027906351345 0.0657492911977279 0.00730327304417269 0.0185260149954464 0.276915099286149 0.0437378104428161 0.218350419846012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000718390804597701 0.000859106529209622 0.000946969696969697 0.00160985727996037 0.00210727969348659 0.0029040404040404 0.00534060660368424 0.00449134199134199 0.00138888888888889 0 0.00360448669746124 0.0023837513061651 0.00421455938697318 0.0100644499051137 0.023352822197296 0.029783121560755 0.0426033893797155 0.160353686708518 0.21251841025856 0.490754840707262 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0.00238095238095238 0.0141534391534392 0 0.00476190476190476 0.0480070683244058 0.0225232198142415 0.0535591941454944 0.0923805377414124 0.147665553794617 0.142770017363671 0.469417160138909
3 193.833333333333 157.833333333333 21.5 12.8333333333333 0.916666666666667 0.583333333333333 0.166666666666667 0.32890304446866 0.0347300382539808 0.0676875527663859 0.00462345479744894 0.0233864604175081 0.233167560611629 0.04962896447962 0.257872924204767 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000694444444444444 0.00134408602150538 0.00297619047619048 0.00496727442730248 0 0.0029320987654321 0 0 0.0072702834799609 0 0.0137807677838066 0 0.00378086419753086 0 0.00134408602150538 0.00820529984274725 0.0058005490129146 0.0151151672297584 0.0336208734846632 0.0418736370251326 0.0528010790436354 0.159003859557657 0.174085975294624 0.47040346389119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0.00833333333333333 0.0107843137254902 0.0132352941176471 0 0 0.0262443438914027 0 0.0036231884057971 0.052802278473634 0.0181204960616725 0.0699456005615426 0.113969039864181 0.158623880618766 0.0991739895512274 0.42269326100315
4 134.666666666667 109.666666666667 13 10 1.33333333333333 0.583333333333333 0.0833333333333333 0.353088531627938 0.036860679031313 0.0606394110877395 0.00959480672558165 0.0341686533127318 0.196985778550484 0.0479569262960453 0.260705213368167 0 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0.00231481481481481 0.00231481481481481 0 0 0 0 0 0.00832219251336898 0 0 0.00333333333333333 0 0.00401549508692366 0.00185185185185185 0.00812346437346437 0.00185185185185185 0.00105485232067511 0.00779060529028747 0.00734041091183948 0.0217758219326164 0.0343094770482031 0.0299761904164239 0.0430833012287405 0.172382597888375 0.129065148903135 0.519010442085947 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00694444444444444 0.00694444444444444 0.00757575757575758 0.00757575757575758 0 0 0 0 0 0.00320512820512821 0.00555555555555556 0.00462962962962963 0.00462962962962963 0.0363899172722702 0.0260942760942761 0.0762990005637065 0.116172090436796 0.115524589789296 0.106812087694441 0.472442562883739
5 109.083333333333 84.8333333333333 12.5 9.41666666666667 1.16666666666667 0.916666666666667 0.25 0.416744178719923 0.0292879834045059 0.0659601352350655 0.0101465687143883 0.0228886536738589 0.175519980744831 0.0448393474620981 0.234613152045329 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0.00333333333333333 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0.0060307987032125 0.00225225225225225 0.00911435150565585 0.0014367816091954 0 0 0.00585858585858586 0.00737806772289531 0.00788254755996692 0.00881484933209071 0.0305140935950531 0.0222725388457845 0.0517874304043719 0.136232736129119 0.129226482073365 0.573360646570614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0.00520833333333333 0.00520833333333333 0.00555555555555556 0.00555555555555556 0.00555555555555556 0.0121527777777778 0 0 0 0 0 0 0 0 0 0.00694444444444444 0.0224140380789997 0 0.00555555555555556 0.0251155969634231 0.00694444444444444 0.0838765910489056 0.0931133325682558 0.089594022949202 0.0912554804530508 0.532617049049274
6 92.4166666666667 71.0833333333333 10.75 8.58333333333333 0.583333333333333 1.25 0.166666666666667 0.41694375005728 0.0370544214004772 0.0653274911850158 0.00787249546366003 0.0325061150243307 0.171752040754184 0.0407238608076064 0.227819825307446 0 0 0 0 0 0.00193798449612403 0.00193798449612403 0.00308641975308642 0.00308641975308642 0.00333333333333333 0 0 0.00208333333333333 0 0 0.00564814814814815 0 0 0.00388714185883997 0 0.00252525252525253 0 0 0 0.00308641975308642 0.0108762748255502 0 0.00308641975308642 0 0 0.00170068027210884 0.00654816190041908 0.00886665218961652 0.0344576977767674 0.0161312375549233 0.048841594579523 0.162524450603826 0.115113087718028 0.561241305375737 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0.0275742775742776 0 0 0.00714285714285714 0.00925925925925926 0.0893136955636956 0.121919515669516 0.134166412291412 0.0865588115588116 0.511912393162393
7 92.5 72 10 8.83333333333333 1.16666666666667 0.5 0 0.407969260310655 0.0336891618606118 0.0855718920124001 0.0130970270681359 0.0285071991743256 0.169350353229314 0.0507576002179478 0.21105750612661 0 0 0 0.00213675213675214 0.00277777777777778 0 0 0 0.00277777777777778 0 0 0 0.00277777777777778 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0.0254443473193473 0 0.00709541062801932 0.00252525252525253 0.00426136363636364 0.00277777777777778 0.0129471977298064 0.00946969696969697 0.0415791262830737 0.0448969795441393 0.056241017491734 0.125715856666862 0.101096947728334 0.552953687704255 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0.00757575757575758 0.00757575757575758 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0.0591880341880342 0 0.00694444444444444 0.04755291005291 0 0.0911334036334037 0.120668601550954 0.117185592185592 0.0560606060606061 0.468353949971597
8 86.0833333333333 66.0833333333333 9.5 8.91666666666667 0.833333333333333 0.583333333333333 0.166666666666667 0.440098805062842 0.0307814986869381 0.0541284295837315 0.0141737528597187 0.0307814721972291 0.165451361132726 0.0531354719906936 0.211449208486121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00213675213675214 0 0.00120772946859903 0.00426257459505541 0 0 0 0.0175894958503654 0.00320512820512821 0.00426257459505541 0 0.00426257459505541 0.00163398692810458 0.0102157102157102 0.00941966530201824 0.0180431815981688 0.0257122767352946 0.036489147870222 0.108851113838326 0.161650438696475 0.59105764936967 0 0 0 0 0 0 0 0 0 0 0.0107323232323232 0.0107323232323232 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0.0430555555555555 0 0 0.0281523215346745 0.00595238095238095 0.031687675070028 0.0781300398947458 0.103017570664629 0.185634708428826 0.499117222646634
9 84.4166666666667 66.5833333333333 8.5 7.91666666666667 0.75 0.5 0.166666666666667 0.415916415029325 0.0256036141610437 0.0647187484033503 0.0200396328398227 0.0174241537271429 0.176823947874746 0.0449749450390166 0.234498542925553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.00277777777777778 0 0 0 0.0043859649122807 0.00520833333333333 0 0.00706018518518519 0 0.0224961180124224 0 0.00277777777777778 0.0058641975308642 0 0.0149587048990289 0.0043859649122807 0.0206998600567441 0.0233129119094031 0.0386927456167652 0.0551535206420902 0.12324061743945 0.113248364277061 0.553543973261395 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0230769230769231 0 0 0 0 0 0 0 0 0 0 0.0519372171945701 0 0.00925925925925926 0.0439814814814815 0.0215686274509804 0.0548040263113793 0.133809912854031 0.0838512862409921 0.0721473311546841 0.499153678565443
10 88.3333333333333 69.9166666666667 8.33333333333333 8.66666666666667 0.916666666666667 0.416666666666667 0.0833333333333333 0.512186308353929 0.026894739310466 0.0451811103861048 0.00818509183721275 0.0141200757011956 0.177061033178064 0.0361752012032545 0.180196440029773 0 0.00277777777777778 0.00520833333333333 0 0 0 0 0 0 0 0 0.00308641975308642 0.00503003003003003 0 0 0 0 0 0.00520833333333333 0 0 0 0 0.00225225225225225 0 0.00539881574364333 0 0.00450755014649538 0 0.00694444444444444 0.00953049230444866 0.0163817408730738 0.0140214688025748 0.019140500022853 0.0206747983796303 0.0227236892414295 0.0971985993254665 0.162628936592051 0.597285817644076 0 0 0 0 0 0 0 0.00641025641025641 0.0138888888888889 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0144675925925926 0 0.013986013986014 0.0275297619047619 0.0359848484848485 0.0471590909090909 0.05809132996633 0.115052655677656 0.139168007918008 0.517844886594887
