"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_eo_Proportion" "Transition_ee_Proportion" "Transition_ch_Proportion" "Transition_ie_Proportion" "Transition_ec_Proportion" "Transition_hh_Proportion" "Transition_ei_Proportion" "Transition_ji_Proportion" "Transition_jo_Proportion" "Transition_gh_Proportion" "Transition_hg_Proportion" "Transition_je_Proportion" "Transition_oo_Proportion" "Transition_ih_Proportion" "Transition_ge_Proportion" "Transition_gj_Proportion" "Transition_jh_Proportion" "Transition_jj_Proportion" "Transition_jg_Proportion" "Transition_ij_Proportion" "Transition_og_Proportion" "Transition_cc_Proportion" "Transition_cg_Proportion" "Transition_oi_Proportion" "Transition_so_Proportion" "Transition_ci_Proportion" "Transition_se_Proportion" "Transition_eg_Proportion" "Transition_jc_Proportion" "Transition_sh_Proportion" "Transition_sj_Proportion" "Transition_sc_Proportion" "Transition_gi_Proportion" "Transition_gg_Proportion" "Transition_ig_Proportion" "Transition_ii_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_seo_Proportion" "Transition_ise_Proportion" "Transition_eoo_Proportion" "Transition_csh_Proportion" "Transition_ssj_Proportion" "Transition_csg_Proportion" "Transition_jes_Proportion" "Transition_jgj_Proportion" "Transition_gig_Proportion" "Transition_igi_Proportion" "Transition_eii_Proportion" "Transition_jcs_Proportion" "Transition_esi_Proportion" "Transition_jjg_Proportion" "Transition_chs_Proportion" "Transition_gie_Proportion" "Transition_ish_Proportion" "Transition_csj_Proportion" "Transition_sjj_Proportion" "Transition_ggg_Proportion" "Transition_scs_Proportion" "Transition_ssh_Proportion" "Transition_shh_Proportion" "Transition_osi_Proportion" "Transition_jos_Proportion" "Transition_jjo_Proportion" "Transition_ssc_Proportion" "Transition_scc_Proportion" "Transition_ogs_Proportion" "Transition_igg_Proportion" "Transition_ses_Proportion" "Transition_hgs_Proportion" "Transition_oos_Proportion" "Transition_cgs_Proportion" "Transition_sjs_Proportion" "Transition_shs_Proportion" "Transition_ige_Proportion" "Transition_hsi_Proportion" "Transition_sso_Proportion" "Transition_ois_Proportion" "Transition_jgs_Proportion" "Transition_igs_Proportion" "Transition_sig_Proportion" "Transition_cis_Proportion" "Transition_sos_Proportion" "Transition_gii_Proportion" "Transition_iis_Proportion" "Transition_esh_Proportion" "Transition_iig_Proportion" "Transition_iii_Proportion" "Transition_gsi_Proportion" "Transition_sgi_Proportion" "Transition_gis_Proportion" "Transition_ssg_Proportion" "Transition_ggs_Proportion" "Transition_sis_Proportion" "Transition_isi_Proportion" "Transition_egs_Proportion" "Transition_osg_Proportion" "Transition_isg_Proportion" "Transition_ssi_Proportion" "Transition_sgg_Proportion" "Transition_sii_Proportion" "Transition_gsg_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 415 330 36.3333333333333 40.9166666666667 3.75 2.91666666666667 1.08333333333333 0.348480641595499 0.0271119473925257 0.0731658741903716 0.0208329715813568 0.0125838897640512 0.269462940273711 0.0415092366762902 0.206852498526195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000300842358604091 0.000334672021419009 0.000334672021419009 0.000334672021419009 0.000334672021419009 0.000334672021419009 0.000636863863980436 0.000672043010752688 0.000712250712250712 0.000712250712250712 0.000786163522012579 0.000929910116657105 0.00109649122807018 0.00206136528848186 0.0031585652415747 0.00345640664826334 0.00409875499234441 0.00511337059620339 0.0054489938326672 0.0085694681822936 0.00950311674268623 0.0162437942866703 0.0195094650998649 0.0207732207799204 0.0477948347001617 0.126077693549076 0.185635688315382 0.535035086112736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000750750750750751 0.000750750750750751 0.000750750750750751 0.000750750750750751 0.000750750750750751 0.000750750750750751 0.000886524822695035 0.000886524822695035 0.000886524822695035 0.00163727557344579 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00197624094682918 0.00203252032520325 0.00207350207350207 0.00252380039614082 0.00265957446808511 0.00275953293194672 0.00374929059221925 0.00524235157978873 0.00751634761754118 0.00763846228146431 0.0234346438770935 0.023671011200014 0.0336203101213243 0.0948703002864476 0.142658537502449 0.235833879332123 0.390073091694842
2 234.5 176.583333333333 25.75 26.25 2.58333333333333 2.66666666666667 0.666666666666667 0.283917173767049 0.0502777991823302 0.129725826447196 0.0203463390043751 0.0338355537737153 0.186789291302189 0.0583150575605759 0.23679295896257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000289351851851852 0.000289351851851852 0.00231481481481481 0.00318287037037037 0.00258931497869551 0 0 0 0 0.000402576489533011 0.000834014161220044 0 0 0.000544662309368192 0 0.000896057347670251 0 0.000289351851851852 0.00173611111111111 0.00144675925925926 0.000289351851851852 0.00144675925925926 0.0246302797923411 0.0162037037037037 0.00621220737236795 0.0312113917843026 0.021209337596798 0.0411110087076934 0.0816639804266034 0.171981309115171 0.124037163456729 0.46518827053558 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000656167979002625 0.000656167979002625 0.000656167979002625 0.000968992248062015 0.00148809523809524 0 0 0 0.000656167979002625 0.000656167979002625 0.00196850393700787 0 0 0 0.00196850393700787 0 0.000656167979002625 0.00131233595800525 0.00196850393700787 0.005249343832021 0 0.00151515151515152 0.00148809523809524 0.00328083989501312 0.000656167979002625 0.00196850393700787 0 0.00196850393700787 0.00562791866925725 0.0354343730367855 0.0189542386289777 0.0473525418097929 0.067435602080533 0.236858908342793 0.159265765294642 0.111159419082626 0.288172683592092
3 164.916666666667 123.833333333333 20.4166666666667 16.5 2.16666666666667 1.83333333333333 0.166666666666667 0.29295486826272 0.0477065948757617 0.113782791647396 0.0149277469452842 0.0287336938077828 0.174922242685023 0.0601804941261576 0.266791567649875 0 0 0 0 0 0 0 0 0 0 0 0 0.000396825396825397 0.000833333333333333 0 0 0 0 0 0 0 0.000582750582750583 0.00123379224941725 0 0.00763888888888889 0.00123379224941725 0.00250289351851852 0.000651041666666667 0 0.00185185185185185 0.000833333333333333 0 0.000396825396825397 0 0 0.00116550116550117 0.022802906006031 0.0345260295260295 0.0311036706349206 0.0330638598686606 0.00326123529248529 0.0442649393430644 0.0811161798480639 0.170872327903578 0.117434449021858 0.442233572921979 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104166666666667 0.00122549019607843 0.00203252032520325 0.00520833333333333 0 0 0 0 0 0 0 0.00122549019607843 0 0 0 0 0 0.00122549019607843 0 0 0 0 0 0.00325801052128168 0 0 0 0 0.00122549019607843 0 0.00122549019607843 0 0 0.0255747520453403 0.00422008547008547 0.0493705172955532 0.0584017110738775 0.165697803013979 0.147053231719659 0.122007791049219 0.326672793172076
4 113.5 84.6666666666667 12.75 11.9166666666667 2.08333333333333 1.83333333333333 0.25 0.349622682642286 0.0455072371900427 0.10372514625316 0.0178747826596868 0.0270330781266195 0.223945987383256 0.0398180952843062 0.192472990460642 0 0 0 0 0 0 0 0 0 0.00141242937853107 0.00213675213675214 0.00213675213675214 0 0 0 0 0 0.000357653791130186 0 0 0 0 0 0 0 0 0.0066750104297038 0 0 0 0.00120799392718461 0.000357653791130186 0.00170068027210884 0.00432407005355334 0.000850340136054422 0.000850340136054422 0.00640420771002453 0.000850340136054422 0.00411666812647806 0.0153145579065255 0.0143360906419075 0.0597429050737294 0.0595796601897132 0.119508463909666 0.134254056883048 0.563883373233898 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0.00378787878787879 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0.00225225225225225 0 0.00902418383621391 0.0167594310451453 0.0946097694217995 0.0376692410174553 0.131150386789485 0.135965004374309 0.146799742112242 0.408806434687544
5 129.166666666667 98.4166666666667 14 13.8333333333333 1.91666666666667 0.75 0.166666666666667 0.360545507714275 0.026720462407783 0.0532885254505201 0.0189791129197119 0.0171228159602708 0.220996319811779 0.0324234632327165 0.18659045916961 0 0 0 0 0 0 0 0 0 0 0 0.00102880658436214 0 0 0 0 0 0.00102880658436214 0.000537634408602151 0 0.000786163522012579 0.000537634408602151 0 0 0.000786163522012579 0.00245098039215686 0.00520833333333333 0.00102880658436214 0 0.00245098039215686 0 0.00149548881473242 0 0 0.003479786976519 0.00157232704402516 0.0200816799165433 0.0132285598353766 0.00149548881473242 0.0294448550870526 0.0236111035175293 0.0142233889984637 0.0278885277956582 0.140600836518279 0.154870084349096 0.468830229266696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0.00138888888888889 0.00213675213675214 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0.00595238095238095 0 0 0 0 0 0.00213675213675214 0 0 0 0 0 0.0277777777777778 0 0 0 0 0.00213675213675214 0 0.00213675213675214 0 0.00138888888888889 0.0476851851851852 0.00872507122507122 0.00740740740740741 0.0628703422181683 0.0667429792429792 0.153083792214227 0.160791281986934 0.336131058957146
6 141 108.333333333333 16.75 11.5833333333333 2.58333333333333 1.5 0.25 0.433217670768149 0.0399437490870356 0.0582703369440211 0.0200893726533779 0.0214577818452683 0.216952725205366 0.0265068182417353 0.183561545255047 0 0 0 0 0 0 0 0.00129301868239921 0.00347222222222222 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0.000737463126843658 0 0.00295008354218881 0 0 0.00233843537414966 0.00625 0.00420968534906588 0 0.0017662697112058 0.0017662697112058 0.00232526638974174 0.00944151492300072 0.00288082194529729 0.00800262684128273 0.0264741704153471 0.0283310005418096 0.0335717202864976 0.0454533853108368 0.149647418349403 0.178957919484981 0.486658485570299 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0.00694444444444444 0.00694444444444444 0 0 0 0 0.00333333333333333 0 0 0 0 0.00185185185185185 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0.00203252032520325 0 0.00203252032520325 0.00401664730933024 0.00185185185185185 0.00198412698412698 0 0.00771433850702144 0.0221509971509972 0.0225962158888988 0.0713988021914851 0.10491823217433 0.133153269494733 0.15196065000943 0.365865527877723
7 160 120.25 18.9166666666667 16.5 2.5 1.08333333333333 0.666666666666667 0.368268821071706 0.035024152677502 0.0362352942987694 0.0202890774233836 0.0215901345356154 0.211374079599649 0.0341981573481289 0.189686949711913 0 0 0 0 0 0.000841750841750842 0.00297619047619048 0.000599520383693046 0 0 0 0 0 0 0 0 0 0 0.000599520383693046 0 0 0 0 0 0.00111856823266219 0.000559284116331096 0.000750750750750751 0 0 0.000841750841750842 0.00423281358533157 0.00297042008451404 0.00072463768115942 0.00426011227368099 0.0030156638852291 0.00426011227368099 0.0199436222057052 0.0125640983754085 0.00748805519763192 0.0219544209852958 0.0225406075093439 0.0233185637232156 0.0295608240470125 0.140776525785617 0.139117242560658 0.471651610466359 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0.00193798449612403 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0 0 0 0 0 0 0.00157232704402516 0.00157232704402516 0 0 0.00157232704402516 0.00141242937853107 0 0.00157232704402516 0 0.00314465408805031 0 0 0 0.0104166666666667 0.00458732052512033 0 0 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.0104166666666667 0 0.00301499348109518 0.0104849930431326 0.0332252885218987 0.0225398363479759 0.0444474870211469 0.0578377372437779 0.183581579146929 0.144333243036654 0.368058362941893
8 127.166666666667 97 11.9166666666667 14.75 1.75 1.16666666666667 0.583333333333333 0.473069866631609 0.0368649664474337 0.0406581973329815 0.0230683845566238 0.0218333823597885 0.214679475067521 0.0323453550863328 0.157480372517709 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0.00154320987654321 0 0.00138888888888889 0 0 0 0.000968992248062015 0.00264202172096909 0.0006265664160401 0.0121931524547804 0.000968992248062015 0 0.0107567970052846 0.00161862990810359 0.0319744370616464 0.00971700083542189 0.0098399935022742 0.0123659941754949 0.0431818039708556 0.100831955851195 0.155832707306596 0.599382189863116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00543478260869565 0.00452320136228182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0.00308641975308642 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0 0.00181159420289855 0.00181159420289855 0.0014367816091954 0 0 0.00925925925925926 0.00925925925925926 0 0.00181159420289855 0 0 0 0.00839330334832584 0.00839330334832584 0.0138524653017407 0.019734426918335 0.0756916718212814 0.149206092691487 0.171930243077562 0.507697340365803
9 127.75 93.25 14.3333333333333 15.5833333333333 2.16666666666667 1.58333333333333 0.833333333333333 0.505376667101284 0.0372373345419444 0.0376055656533812 0.014509663369222 0.0262127706724582 0.181798368971782 0.0266919588338279 0.1705676708561 0 0 0.000408496732026144 0.000694444444444444 0.00132275132275132 0.000694444444444444 0 0.000896057347670251 0 0 0.00239262371615313 0 0 0 0 0 0 0.00179738562091503 0.000408496732026144 0 0 0 0.000408496732026144 0 0.00130455407969639 0 0 0.000694444444444444 0.000408496732026144 0.000694444444444444 0.000694444444444444 0.00199899852414084 0.00138888888888889 0.00421780719456241 0.00110294117647059 0.00208333333333333 0.011068316215375 0.010286211258697 0.0104349423461141 0.00440649378030782 0.0328473100709818 0.0259604065640593 0.0340802517243457 0.138826296647691 0.108082901619429 0.60039531941809 0 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0 0.00130208333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0 0 0 0 0 0 0 0 0 0.00130208333333333 0.00260416666666667 0 0 0 0.000809061488673139 0 0 0.00401418969380134 0.00320512820512821 0.00412786473812826 0.00130208333333333 0 0 0 0.00161812297734628 0.00800444507014543 0.00130208333333333 0.00529233870967742 0.00470344387755102 0.0187778114886731 0.0508006860459981 0.0241502316989711 0.00542994807146159 0.0800614589317066 0.20564986183719 0.0903219927643122 0.47628331326855
10 142.75 106.75 16.3333333333333 14.5833333333333 2 2.25 0.833333333333333 0.467616522976736 0.0367192777482359 0.0346916463168491 0.0181724488909221 0.0337032825406915 0.220628163253261 0.0301510740835484 0.158317584189756 0 0.00166666666666667 0 0 0 0 0.00284037558685446 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0 0.00166666666666667 0.00117370892018779 0 0.00124378109452736 0.00486585183807698 0.00166666666666667 0.0089045231302694 0.00404558404558405 0.00166666666666667 0.0182055104338831 0.00231215716290343 0.0181998155549966 0.0137328096375075 0.0166687589060381 0.0267156740772086 0.0214475050878238 0.12185576712017 0.211004080992406 0.518873648650369 0 0 0 0 0 0 0 0 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00347222222222222 0 0 0 0 0 0 0 0.00428599259692188 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0.00761932593025521 0.00634578544061303 0.00403954802259887 0 0.00308641975308642 0 0.000706214689265537 0 0.011797762841743 0 0 0.00314465408805031 0.0159836912549659 0.021424813723082 0.0142118817275413 0.0312165849576872 0.0277518866557882 0.123353939340165 0.200805665195261 0.421494352301494
