"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_jo_Proportion" "Transition_eh_Proportion" "Transition_io_Proportion" "Transition_oe_Proportion" "Transition_jj_Proportion" "Transition_go_Proportion" "Transition_co_Proportion" "Transition_ic_Proportion" "Transition_ji_Proportion" "Transition_hg_Proportion" "Transition_ei_Proportion" "Transition_og_Proportion" "Transition_oi_Proportion" "Transition_ci_Proportion" "Transition_gc_Proportion" "Transition_hj_Proportion" "Transition_jc_Proportion" "Transition_ee_Proportion" "Transition_oo_Proportion" "Transition_se_Proportion" "Transition_eg_Proportion" "Transition_hh_Proportion" "Transition_sh_Proportion" "Transition_gj_Proportion" "Transition_ge_Proportion" "Transition_jh_Proportion" "Transition_ii_Proportion" "Transition_sc_Proportion" "Transition_cg_Proportion" "Transition_so_Proportion" "Transition_sj_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_jg_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ssh_Proportion" "Transition_jos_Proportion" "Transition_sjs_Proportion" "Transition_jic_Proportion" "Transition_igi_Proportion" "Transition_ehs_Proportion" "Transition_ssj_Proportion" "Transition_sjj_Proportion" "Transition_oes_Proportion" "Transition_ogs_Proportion" "Transition_gos_Proportion" "Transition_csc_Proportion" "Transition_scs_Proportion" "Transition_hsi_Proportion" "Transition_egs_Proportion" "Transition_cos_Proportion" "Transition_ico_Proportion" "Transition_gsi_Proportion" "Transition_csg_Proportion" "Transition_hgs_Proportion" "Transition_jis_Proportion" "Transition_eis_Proportion" "Transition_jgs_Proportion" "Transition_jhs_Proportion" "Transition_esg_Proportion" "Transition_ges_Proportion" "Transition_gcs_Proportion" "Transition_jcs_Proportion" "Transition_sos_Proportion" "Transition_igs_Proportion" "Transition_scg_Proportion" "Transition_sso_Proportion" "Transition_ees_Proportion" "Transition_soo_Proportion" "Transition_jsh_Proportion" "Transition_shh_Proportion" "Transition_sii_Proportion" "Transition_isi_Proportion" "Transition_sgi_Proportion" "Transition_gii_Proportion" "Transition_gsg_Proportion" "Transition_ggg_Proportion" "Transition_isg_Proportion" "Transition_gis_Proportion" "Transition_ggs_Proportion" "Transition_sis_Proportion" "Transition_sgg_Proportion" "Transition_ssi_Proportion" "Transition_ssg_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 462.75 354.916666666667 54.25 42.3333333333333 6.41666666666667 4.08333333333333 0.75 0.389454971055115 0.0369596210379794 0.0402897053961824 0.0160120158612991 0.0105594450018775 0.339747544082278 0.0244307526547396 0.142545944910529 0 0 0 0 0 0 0 0 0 0 0 0 0.000332005312084993 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.00037037037037037 0.00037037037037037 0.00037037037037037 0.00037037037037037 0.000414593698175788 0.000414593698175788 0.000706391875746715 0.000706391875746715 0.000740740740740741 0.000933433433433434 0.00106481481481481 0.00111111111111111 0.00141414416244637 0.00181679042931989 0.00227803890847369 0.00237275799504976 0.00373031938821413 0.00551559764653631 0.00661046173410534 0.00716157602202483 0.0134385895922351 0.0152509066017013 0.0164462952969097 0.021909525350837 0.0346569589471303 0.07313477046772 0.239334709275126 0.545678914119153 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000825082508250825 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.00134408602150538 0.00166666666666667 0.00166666666666667 0.00166666666666667 0.00184576690600787 0.00212716584158416 0.0021691685297562 0.00365018541909574 0.00427083333333333 0.00483994121714647 0.00497678212851406 0.00499361714534907 0.00730023192072528 0.010342443080236 0.0157004844612513 0.0243181006697625 0.0378778893081821 0.0587871855401604 0.0813673928591864 0.185328895466285 0.530856130143363
2 293.333333333333 217.666666666667 30.75 36.1666666666667 4.58333333333333 4.08333333333333 0.0833333333333333 0.580432788755886 0.0307807886604495 0.0227287239592226 0.0180406797318895 0.00231081529713102 0.208760982466701 0.0201974551474441 0.116747765981276 0 0 0 0 0 0 0 0 0.000394944707740916 0.000394944707740916 0.000586854460093897 0.00064978670570218 0 0 0 0 0 0 0 0 0 0 0.000394944707740916 0 0 0.000534188034188034 0.000394944707740916 0.000254841997961264 0 0 0 0 0.00118397473989021 0.00156865362792871 0.00367065660155468 0.00174632516171861 0.000394944707740916 0.00805637097609496 0.012778955064245 0.00938501784328768 0.0298853069058502 0.0281749010809532 0.0503465191660143 0.125575786021028 0.723627138074785 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000566893424036281 0.000566893424036281 0.000915750915750916 0.000915750915750916 0.00134408602150538 0.00268817204301075 0.0016025641025641 0 0 0 0 0 0.000915750915750916 0 0 0 0 0 0 0.000915750915750916 0 0 0 0.000566893424036281 0 0.00134408602150538 0 0.00204953776382348 0.00258776350046191 0 0.00247470783185069 0 0.000915750915750916 0.00226757369614512 0.00792560613989186 0.00797641606653383 0.072042057333916 0.0459656053396453 0.0532158346290451 0.124036223027355 0.666200331631883
3 201.083333333333 142.916666666667 21.6666666666667 26.25 3.5 5.16666666666667 1.5 0.578757626140645 0.0244431257864143 0.0244273678693185 0.00787406045334633 0.00972409923538643 0.177756467012183 0.0121244722753937 0.0815594478939797 0 0 0 0 0 0.000325520833333333 0.000905797101449275 0.000905797101449275 0.000325520833333333 0.000905797101449275 0 0 0 0 0 0 0.000325520833333333 0 0 0 0.000448028673835126 0 0 0 0 0.000368731563421829 0 0.000651041666666667 0 0 0 0.000325520833333333 0.000773549507168459 0.00213711503623188 0.0017066140776699 0.0017066140776699 0.000773549507168459 0.0130555331668735 0.00393051994552179 0.016355526540533 0.0212683521697855 0.00376247317032623 0.0427370591368391 0.103597914279066 0.699374569510208 0 0 0 0 0 0 0 0 0 0 0.000672043010752688 0.000672043010752688 0.000672043010752688 0.000672043010752688 0.000896057347670251 0.00181159420289855 0.00181159420289855 0 0 0 0.000672043010752688 0 0 0 0 0 0 0 0 0.000672043010752688 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000672043010752688 0 0 0 0.000672043010752688 0.0162635620753115 0.0209297770256025 0.00285684166139574 0.0484220914141659 0.0462261385037324 0.00621468537056011 0.0810876659064819 0.684770314869928
4 154.666666666667 109.333333333333 15.5833333333333 23 2.16666666666667 4.08333333333333 0.5 0.630920836925413 0.0334517271747871 0.0223408597405506 0.013161281103112 0.00698565123676371 0.159438108569758 0.0224353426385399 0.111266192611076 0 0 0 0 0.00588697017268446 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00089126559714795 0 0 0 0 0 0 0 0.000445632798573975 0 0 0.00303328868997072 0.000563063063063063 0.00205164327555219 0.00490991851285969 0.00809525786484312 0.0158799006284775 0.00637305232893468 0.0284049205064385 0.00833730388996044 0.0400412597535802 0.0991476003793027 0.775938922538611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00193824656299301 0.00446349908824554 0.0210972850678733 0.00958433610563428 0.0527633561984034 0.0581541036155641 0.0124062371780425 0.0717644263426519 0.766603019644514
5 100.416666666667 71.4166666666667 9.75 15.0833333333333 1.25 2 0.916666666666667 0.626866314989149 0.0409685390103388 0.0299814494936869 0.00973148495164688 0.0113453630899609 0.163163733329706 0.0145889552529077 0.103354159882604 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0.0110249391727494 0 0.000608272506082725 0 0.00232648615001556 0.00674951688262122 0.00545985628639128 0.0656523687407574 0.00693006671267541 0.074934916199024 0.0710077415397588 0.713639169143257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0 0 0 0 0 0.00115740740740741 0.0016025641025641 0.00415400202634245 0.127732208361641 0.0275695607255891 0.0118740597464002 0.0634481341484888 0.677971322740826
6 88 62.5833333333333 8.5 11.3333333333333 2.33333333333333 2.75 0.5 0.634588217961013 0.0548164694758856 0.0224074581438523 0.0228766560061343 0.00388703080721153 0.151739673874526 0.0150860021951057 0.0945984915362722 0 0 0.000809061488673139 0.00146198830409357 0 0 0 0 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0.00166666666666667 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.000809061488673139 0 0 0.00283621374518319 0 0.0225581457377574 0.00750109103604783 0.0283664732107279 0.00482254212336298 0.010373471808757 0.0195471665568823 0.0118128219323177 0.0451585344507575 0.158229649895482 0.598442728428518 0 0 0 0 0 0 0 0 0.00320512820512821 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0432098765432099 0 0.0014367816091954 0 0.0014367816091954 0.00573038073038073 0.00522466039707419 0.00786387500223978 0.00300910865322056 0.036969703587235 0.0116884542985172 0.0175506399464733 0.122233844158996 0.570568970387339
7 78.8333333333333 52.6666666666667 9.5 11.75 1.5 2.5 0.916666666666667 0.651942280402972 0.0188528805662934 0.031229668009181 0.0217602783305532 0.00113304093567251 0.15155070754514 0.0208655581762565 0.102665586033932 0 0 0 0 0.000833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0 0 0 0 0 0 0.000677506775067751 0.000833333333333333 0 0 0.00911074547253409 0 0.0035987404408457 0.00151515151515152 0.0165179573512907 0.00358906525573192 0.01412997329664 0.0230983546355818 0.00745950807461291 0.119632071917053 0.162885688206612 0.635285237058879 0 0 0 0 0 0 0.00146198830409357 0.00146198830409357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0.0036231884057971 0 0.0124297848148525 0.0215884086354319 0 0.0536114592035645 0.0235893174966401 0.00864125249371151 0.0646162098343983 0.637363796112202
8 73.5833333333333 49.3333333333333 8.66666666666667 11.4166666666667 1.5 1.75 0.916666666666667 0.704347602990999 0.017518013286509 0.0252108800251913 0.0105569026320975 0.00125218270379561 0.157161331624877 0.0233908939943571 0.0605621927421734 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000744047619047619 0 0.00072463768115942 0 0 0 0 0 0 0 0.00179301374953549 0 0 0.0102394284459502 0.046890730042904 0.0109952849083284 0.023941713479757 0.00460858585858586 0.0455424255695995 0.157154198458546 0.697365934186586 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0 0 0 0 0 0.00694444444444444 0 0 0 0 0.00128205128205128 0 0 0.00961538461538461 0.0060042735042735 0.00353430353430353 0.0478576653576654 0.0138603988603989 0.0115740740740741 0.0878480128480129 0.643530673530674
9 72.0833333333333 47.75 8.41666666666667 12 1.33333333333333 1.83333333333333 0.75 0.639568045089783 0.0216712729857435 0.0243561336085729 0.0354477912586817 0.00600364842789085 0.168392640294174 0.017308148583563 0.0872523197515918 0.00268817204301075 0.0104166666666667 0 0 0 0 0 0.0014367816091954 0.0014367816091954 0 0 0 0.00119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0.00119047619047619 0 0.0016025641025641 0.0027762730227519 0.0223214285714286 0 0.0014367816091954 0.0030393457117595 0.00869068670792809 0.0250992063492063 0.0368174499311982 0.0199174625762179 0.0184035012820714 0.0376643075758222 0.113995618064339 0.687187848143486 0 0 0 0.00308641975308642 0.00333333333333333 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0.00564814814814815 0.0334259259259259 0.0171434200157604 0.0416666666666667 0.0396944449482949 0.00408786446020489 0.0390095609393855 0.0758453515929132 0.704001684229276
10 63 42.8333333333333 6.41666666666667 10.25 1.75 1.16666666666667 0.583333333333333 0.778893749733655 0.0107438858601053 0.0168440393964717 0.00709431282694438 0.00548805096628167 0.109614147255277 0.00909906128213471 0.0622227526791299 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000712250712250712 0.00157232704402516 0.00333333333333333 0 0.00412495365220616 0 0.0111125569290826 0.00790248884588507 0.0028735632183908 0.022628064467309 0.0584028014887212 0.804004326975463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00546594982078853 0 0.0173937652385928 0.0245066616390146 0.0053763440860215 0.0320164115803061 0.831907534301943
