"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_hh_Proportion" "Transition_oi_Proportion" "Transition_jo_Proportion" "Transition_ch_Proportion" "Transition_cc_Proportion" "Transition_ic_Proportion" "Transition_je_Proportion" "Transition_oe_Proportion" "Transition_go_Proportion" "Transition_hi_Proportion" "Transition_ci_Proportion" "Transition_ho_Proportion" "Transition_gh_Proportion" "Transition_ec_Proportion" "Transition_ij_Proportion" "Transition_jh_Proportion" "Transition_jj_Proportion" "Transition_se_Proportion" "Transition_gj_Proportion" "Transition_og_Proportion" "Transition_hj_Proportion" "Transition_eg_Proportion" "Transition_ge_Proportion" "Transition_ji_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_ii_Proportion" "Transition_cg_Proportion" "Transition_sc_Proportion" "Transition_hg_Proportion" "Transition_jg_Proportion" "Transition_jc_Proportion" "Transition_so_Proportion" "Transition_sh_Proportion" "Transition_es_Proportion" "Transition_sj_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_hs_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jis_Proportion" "Transition_ish_Proportion" "Transition_jjs_Proportion" "Transition_igs_Proportion" "Transition_ssh_Proportion" "Transition_shh_Proportion" "Transition_osg_Proportion" "Transition_csc_Proportion" "Transition_osc_Proportion" "Transition_ogs_Proportion" "Transition_ois_Proportion" "Transition_sso_Proportion" "Transition_hsc_Proportion" "Transition_isj_Proportion" "Transition_jos_Proportion" "Transition_scc_Proportion" "Transition_gsc_Proportion" "Transition_ics_Proportion" "Transition_iis_Proportion" "Transition_ses_Proportion" "Transition_hos_Proportion" "Transition_esg_Proportion" "Transition_sge_Proportion" "Transition_ges_Proportion" "Transition_gjs_Proportion" "Transition_gse_Proportion" "Transition_ijs_Proportion" "Transition_his_Proportion" "Transition_jsi_Proportion" "Transition_gsi_Proportion" "Transition_isg_Proportion" "Transition_jhs_Proportion" "Transition_gso_Proportion" "Transition_osh_Proportion" "Transition_shs_Proportion" "Transition_scs_Proportion" "Transition_sjs_Proportion" "Transition_ssi_Proportion" "Transition_ssj_Proportion" "Transition_ggg_Proportion" "Transition_cgs_Proportion" "Transition_jcs_Proportion" "Transition_sos_Proportion" "Transition_geg_Proportion" "Transition_egs_Proportion" "Transition_isi_Proportion" "Transition_sii_Proportion" "Transition_hgs_Proportion" "Transition_ggi_Proportion" "Transition_gis_Proportion" "Transition_ggs_Proportion" "Transition_jgs_Proportion" "Transition_ess_Proportion" "Transition_gsg_Proportion" "Transition_sis_Proportion" "Transition_sgg_Proportion" "Transition_hss_Proportion" "Transition_ssg_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 473.75 369.916666666667 53.8333333333333 40.9166666666667 4.5 3.66666666666667 0.916666666666667 0.347698999610008 0.0453798315998147 0.0525800428959557 0.0187622199245098 0.00403219757654883 0.341155251005118 0.0284199192317025 0.161971538156342 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000281531531531532 0.000414593698175788 0.000470809792843691 0.000555555555555556 0.000555555555555556 0.000555555555555556 0.000603864734299517 0.000645994832041344 0.000927526363572875 0.00101596071209331 0.00137760584569095 0.00139833615641657 0.001489268225319 0.00156933478842751 0.00209406040194336 0.00234962959820303 0.00265530947127284 0.00290809578142749 0.00462871795769925 0.00566073492701945 0.00648057813780033 0.0124166289744929 0.0179697848320702 0.0187664715236863 0.0201272321220049 0.0260463178567094 0.0902626993961517 0.250432761106226 0.525339484566214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000661375661375661 0.000661375661375661 0.000661375661375661 0.000968992248062015 0.00105485232067511 0.00106837606837607 0.00106837606837607 0.00114155251141553 0.00134408602150538 0.00134408602150538 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00189393939393939 0.00193798449612403 0.00193798449612403 0.00200546168288104 0.00203252032520325 0.00248414376321353 0.00352061319803255 0.00413438932821466 0.00570920707907009 0.0060367013213199 0.00685075959048562 0.0119826698915062 0.0271431614727905 0.0343756997512 0.0350819437037113 0.0832989493375717 0.284358749332924 0.469180067531039
2 365.333333333333 290.916666666667 43.0833333333333 24.9166666666667 4.25 1.66666666666667 0.5 0.28809898642554 0.0639170594967925 0.0741667851656035 0.0206884708621172 0.00738102137239443 0.278169925751492 0.0487039506540851 0.218873800271975 0 0 0 0 0 0 0 0 0 0.000468164794007491 0.000468164794007491 0.000468164794007491 0.000530785562632696 0.000537634408602151 0.000617283950617284 0.000645994832041344 0.00113378684807256 0 0.000566893424036281 0 0 0 0 0 0.00109767898666898 0.000530785562632696 0.00166457241070526 0 0.00236507057521942 0.000530785562632696 0.000537634408602151 0 0.00289588764513401 0.000468164794007491 0.0046926126203623 0 0.00106841997123485 0.00939693553105501 0.0238310063940462 0.0129416059261096 0.01866259104929 0.0422484766772261 0.0433060922549564 0.166928479382322 0.199983447194498 0.461412879645273 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136612021857923 0.00148809523809524 0.00166666666666667 0.00166666666666667 0.00181159420289855 0.00193798449612403 0 0 0.00498930862437634 0 0 0 0 0 0 0.00330410471470327 0 0 0.00163398692810458 0.0031547619047619 0.00148809523809524 0 0.00166666666666667 0 0 0.0075655624568668 0.00136612021857923 0.00329968944099379 0.00148809523809524 0.0237026000812293 0.00148809523809524 0.0127563327319468 0.0264780286074991 0.0711745181771437 0.0887032988850547 0.140883251861515 0.17465282417071 0.420267531326532
3 232.416666666667 185 24.1666666666667 18.8333333333333 2.41666666666667 1.91666666666667 0.0833333333333333 0.370218863706574 0.0540944335152988 0.071704836137846 0.0294279516754538 0.00763897784302852 0.209835691059236 0.0332442563217926 0.22383498974077 0 0 0 0 0 0 0 0.000896057347670251 0.000896057347670251 0 0 0 0 0 0.000896057347670251 0.00138888888888889 0.00138888888888889 0.000868055555555556 0.000534188034188034 0 0 0 0 0 0.000778816199376947 0 0.000712250712250712 0 0 0 0.00385684414524684 0.000896057347670251 0 0.0035182907639303 0.00510392495479889 0 0.00250436540759121 0.00512462991736432 0.0211231531669191 0.00328318160696816 0.0237333128363567 0.0610723599633039 0.0295981457765013 0.142439013984141 0.135833609001479 0.55355385080557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0.00213675213675214 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0.0140331552603358 0 0.00198412698412698 0.0028735632183908 0.0283903258675064 0.0028735632183908 0.00501031535514294 0.0200248901523264 0.124603490305933 0.0503775917569021 0.128045178687321 0.135477285206097 0.476065318401503
4 215.083333333333 170.833333333333 24.1666666666667 16.0833333333333 2.41666666666667 1.41666666666667 0.166666666666667 0.362893313124645 0.0436742296485455 0.105574757698679 0.0393143441769972 0.00327044700088658 0.21693188732491 0.0422074285472066 0.18613359247813 0 0 0 0 0 0 0.00115740740740741 0 0 0 0 0.000730994152046784 0 0.000841750841750842 0 0 0.000730994152046784 0.000730994152046784 0 0 0 0 0.00111111111111111 0 0 0 0.00266897864817081 0 0.00525448661370991 0.00203500203500203 0.00642172642172642 0.00132275132275132 0 0.000730994152046784 0.00431090760462577 0.00132275132275132 0.00111111111111111 0.00347824689929953 0.0316636064958052 0.00727548036758563 0.0221316386031964 0.0323791829436991 0.0305387975652436 0.119774863912014 0.242845294256848 0.479430927908004 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0.00189393939393939 0.0028735632183908 0.0028735632183908 0.0028735632183908 0 0 0 0 0.00252525252525253 0 0 0 0 0 0.00189393939393939 0.00225225225225225 0 0.00189393939393939 0 0 0 0 0 0 0 0 0.00189393939393939 0 0 0 0 0.00396825396825397 0.00403069153069153 0.00684181718664477 0 0.0028735632183908 0.0290783474085116 0 0.00744047619047619 0.0267160955764825 0.07770131851841 0.0566290700491893 0.0995056581865491 0.112169251841659 0.466844231589034
5 153.333333333333 116.416666666667 17.6666666666667 14.4166666666667 1.58333333333333 2.91666666666667 0.333333333333333 0.439527185581161 0.0524326309805926 0.0415482054634084 0.016267281024741 0.00261590379794447 0.258792758777798 0.0235014403673845 0.165314594006969 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0 0 0.000896057347670251 0 0.00126262626262626 0 0.0857773782971026 0 0.000816993464052288 0.00246710526315789 0 0.00202472293265132 0.000886524822695035 0.005595305467971 0.00990830714397524 0.00748501748929916 0.0143020064062161 0.0266191969778533 0.0300826470570258 0.0955460586007061 0.122688197435809 0.591327040216374 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0 0 0.00225225225225225 0 0 0 0 0.00170068027210884 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0.00225225225225225 0 0.0126642267267267 0.00170068027210884 0.00599962207105064 0.0169619236583522 0.0504798476704265 0.0567461539213386 0.0618031563767401 0.0903208005963548 0.607957814769699
6 148.75 115.416666666667 15.8333333333333 14.1666666666667 1.5 1.58333333333333 0.25 0.439100149575259 0.0283203242565252 0.0429845652234496 0.0303883632735638 0.00564821860997138 0.221684859283336 0.0243416966252659 0.207531823152629 0 0 0.000677506775067751 0.000677506775067751 0.00261549127119178 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0.000905797101449275 0 0 0 0 0 0.00759144237405107 0 0 0 0 0.00380596746166797 0 0.00260658016682113 0 0.000905797101449275 0.00208333333333333 0.00268553890358181 0.000677506775067751 0 0.00923745528066843 0.0134834368530021 0.0111157156642917 0.0207824830551142 0.0165087326180799 0.0313062302020775 0.0897154341175364 0.114518332019298 0.664894583946054 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0.00146198830409357 0.0043859649122807 0.0043859649122807 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00377680311890838 0 0.00584795321637427 0 0.0036231884057971 0 0 0.0249091795144427 0.0404423116558414 0.0554188312376241 0.0572907379615046 0.126308452702904 0.581505349204148
7 131.25 100.916666666667 13.0833333333333 13.4166666666667 1.5 2 0.333333333333333 0.506779194774399 0.0266144589166108 0.0410728664745545 0.0198308397873617 0.00572767026589686 0.171475934539513 0.0351967965317443 0.193302238709919 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0.00203252032520325 0 0.00681778093599291 0 0.0103384246937988 0.00100401606425703 0.0016025641025641 0 0.00100401606425703 0.000915750915750916 0 0.0092005727313509 0.0206949991092773 0.00385409515488152 0.0251476958640973 0.0348096291687334 0.0236833278695851 0.0797474777222871 0.124309761800978 0.650772326826578 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0.0043859649122807 0.00219298245614035 0 0.00810185185185185 0 0.0235201429499675 0 0 0.0302501624431449 0.073401452934096 0.0383164983164983 0.042261102056903 0.166139003640082 0.590427752019282
8 122.75 91.0833333333333 13 14.4166666666667 1.58333333333333 2.16666666666667 0.5 0.512134671096987 0.030872358469429 0.0429066704052294 0.0337950269031801 0.00847454111614911 0.173430616297781 0.0211037531731472 0.177282362538097 0 0.000683060109289617 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000683060109289617 0 0 0 0 0.000661375661375661 0 0.00198412698412698 0 0.00572362867035112 0 0.00225225225225225 0.000683060109289617 0.00647239939352358 0 0 0.00840594495655789 0.0107854094938648 0.0173287274111862 0.0293026217605129 0.0202112540242741 0.0217715653996463 0.090136270144447 0.101292488848626 0.681622754671387 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0 0 0.00128205128205128 0 0 0 0 0 0 0.00177304964539007 0 0.00128205128205128 0 0 0 0 0 0.00245098039215686 0.00245098039215686 0 0 0.00661764705882353 0 0.0136217948717949 0.0409900284900285 0.0410712913841825 0.0227721746338768 0.0834745033509114 0.103902659652034 0.674764688273762
9 116.583333333333 86.5833333333333 12.3333333333333 12.8333333333333 2.25 2.08333333333333 0.5 0.521777107729935 0.0295088733621822 0.0349673010997755 0.031634054590739 0.00986639616075455 0.187428499684776 0.0323319775354458 0.152485789836392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0.00105485232067511 0 0 0 0.00419023674837628 0.00193798449612403 0.00773862398612565 0 0 0 0.00371424055634582 0 0.00130208333333333 0.00132275132275132 0.0174635000753067 0.00824193882639415 0.0214909480772416 0.0244794110479285 0.0214565398119713 0.104142505865765 0.122605393326106 0.655386767983333 0 0 0 0 0 0 0 0.00378787878787879 0.00555555555555556 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0.00245098039215686 0.00277777777777778 0.00833333333333333 0 0 0 0.00661764705882353 0 0.00699300699300699 0.0254205408617173 0.053672322054675 0.0266577920989686 0.0707114295349589 0.132486988369341 0.632889725536784
10 127.916666666667 97.0833333333333 13.5 13.3333333333333 1.58333333333333 1.5 0.916666666666667 0.497607852215285 0.0397797961921812 0.0311549155575762 0.018702132383253 0.00753784621801931 0.21888344825615 0.0284224766661638 0.157911532511371 0.000936329588014981 0 0 0 0 0.000816993464052288 0 0 0.000946969696969697 0 0 0 0 0 0 0 0 0 0.000816993464052288 0 0 0 0 0.00146198830409357 0 0.00163398692810458 0 0 0 0 0.00853938543023491 0.00114155251141553 0.000946969696969697 0.000936329588014981 0.00452156962454445 0.0026697177726926 0.00309597523219814 0.00673524689229526 0.0131958777663112 0.00996119835741081 0.0184238511530829 0.0200601886524784 0.0250542536434598 0.0790169253916241 0.125300699329512 0.673786997512467 0 0 0 0.00185185185185185 0.00219298245614035 0.00219298245614035 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0.00185185185185185 0 0 0.00170068027210884 0 0 0 0 0 0 0 0 0.00563973063973064 0.00378787878787879 0 0.00396825396825397 0.00185185185185185 0.0133958633958634 0.00185185185185185 0.00929212264615991 0.0176986956398721 0.039668419055065 0.0440680609935268 0.0632043991036501 0.110219437914475 0.666119791037825
