"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oo_Proportion" "Transition_ee_Proportion" "Transition_hh_Proportion" "Transition_ie_Proportion" "Transition_hg_Proportion" "Transition_oe_Proportion" "Transition_ic_Proportion" "Transition_ih_Proportion" "Transition_cg_Proportion" "Transition_gj_Proportion" "Transition_gc_Proportion" "Transition_cc_Proportion" "Transition_hi_Proportion" "Transition_jh_Proportion" "Transition_ij_Proportion" "Transition_og_Proportion" "Transition_jc_Proportion" "Transition_gi_Proportion" "Transition_jo_Proportion" "Transition_ei_Proportion" "Transition_so_Proportion" "Transition_jj_Proportion" "Transition_cj_Proportion" "Transition_oi_Proportion" "Transition_ge_Proportion" "Transition_ii_Proportion" "Transition_gh_Proportion" "Transition_sh_Proportion" "Transition_ji_Proportion" "Transition_jg_Proportion" "Transition_sc_Proportion" "Transition_se_Proportion" "Transition_ig_Proportion" "Transition_sj_Proportion" "Transition_es_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jsg_Proportion" "Transition_ise_Proportion" "Transition_see_Proportion" "Transition_jis_Proportion" "Transition_hhs_Proportion" "Transition_ies_Proportion" "Transition_ics_Proportion" "Transition_oig_Proportion" "Transition_hsg_Proportion" "Transition_gcc_Proportion" "Transition_ses_Proportion" "Transition_sos_Proportion" "Transition_ish_Proportion" "Transition_ges_Proportion" "Transition_igs_Proportion" "Transition_jcs_Proportion" "Transition_sjs_Proportion" "Transition_jjs_Proportion" "Transition_iii_Proportion" "Transition_ssi_Proportion" "Transition_ogs_Proportion" "Transition_gis_Proportion" "Transition_ssg_Proportion" "Transition_scs_Proportion" "Transition_shs_Proportion" "Transition_ssc_Proportion" "Transition_ggs_Proportion" "Transition_ssj_Proportion" "Transition_esi_Proportion" "Transition_eis_Proportion" "Transition_jgs_Proportion" "Transition_sgs_Proportion" "Transition_ggg_Proportion" "Transition_hsi_Proportion" "Transition_sii_Proportion" "Transition_sgg_Proportion" "Transition_gsg_Proportion" "Transition_isi_Proportion" "Transition_isg_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 466.083333333333 377.416666666667 45.6666666666667 35.75 4.75 1.91666666666667 0.583333333333333 0.376920595192746 0.0424567900639042 0.0468828355998604 0.018721409801152 0.00618712551712466 0.341580375871585 0.0276629167655835 0.139587951188045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000465549348230912 0.000544662309368192 0.000544662309368192 0.000612745098039216 0.00068870523415978 0.00068870523415978 0.00068870523415978 0.00068870523415978 0.000801282051282051 0.00103200163586637 0.00124798935049088 0.0015841175808931 0.00166865787457176 0.00181186693018068 0.00182270199416904 0.00221087922002565 0.00392202958762737 0.00633453963276674 0.00825244987346393 0.0131946590962966 0.0157640018144492 0.0166966150181674 0.0175743956300342 0.02552117825849 0.0909475268762825 0.233386398770115 0.551304268803182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0.00122549019607843 0.00122549019607843 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00166666666666667 0.00189393939393939 0.00189393939393939 0.00198412698412698 0.00198412698412698 0.00311942959001782 0.00318181818181818 0.00350859521890948 0.00507575757575758 0.0199979868298979 0.0207755929270837 0.0327262316300534 0.0342753291491419 0.0828214537010798 0.238081276913926 0.535845438380185
2 298.083333333333 233.083333333333 26.1666666666667 30.0833333333333 3.66666666666667 3.83333333333333 1.25 0.381265699773868 0.0521457878079336 0.0488290022545295 0.0151381849938735 0.00975602876636461 0.305422289610745 0.0267308313522274 0.160712175440458 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00051440329218107 0.000621890547263682 0.000672043010752688 0.00102880658436214 0.00161599956753857 0 0 0.000672043010752688 0.000621890547263682 0 0 0.000859106529209622 0.00128865979381443 0 0.000859106529209622 0.000617283950617284 0.00767404389888776 0.00728855721393035 0 0.00105144381186849 0.000621890547263682 0.000865853439124881 0.00483802139927013 0.00346256731877118 0.0139274625566292 0.00825239338493501 0.0550637468855034 0.00860282393653536 0.0302322620322942 0.0749760678220126 0.172593857105951 0.601177775284057 0 0 0 0 0 0 0 0 0 0 0 0 0.000778816199376947 0.000778816199376947 0.000778816199376947 0.000992063492063492 0.0014367816091954 0.0014367816091954 0.00155763239875389 0.00155763239875389 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.0104166666666667 0 0 0.00232202607592016 0 0 0 0.00225225225225225 0.00734515939952457 0 0 0.000778816199376947 0.0028113365245802 0.00324431574431574 0.000778816199376947 0.000778816199376947 0.00318678873418526 0.00162915633543137 0.00642494118947294 0.00883466383729082 0.0511990911109872 0.123017191642885 0.0804021094514611 0.141736313536397 0.537426637818796
3 161.583333333333 121.666666666667 12.5 21.75 1.33333333333333 3.58333333333333 0.75 0.532250282389552 0.0325841303655712 0.0396337837687144 0.0191753143754053 0.0102618583051684 0.199979822069997 0.0258060332309255 0.140308775494667 0 0 0 0 0 0 0 0 0 0 0.000502008032128514 0.000502008032128514 0.000502008032128514 0 0 0 0 0 0 0 0.00130208333333333 0 0 0 0 0 0 0.000757575757575758 0 0.00364563350297046 0 0.000896057347670251 0.000502008032128514 0 0.00165363310524601 0.00162705149971703 0.00253508551750863 0.00373243905852601 0.00956573602642001 0.0336969851610994 0.00758142823360215 0.0223060174810325 0.0883701448050592 0.106527567328208 0.713794529713518 0 0 0 0 0 0 0 0 0 0.000915750915750916 0.00146198830409357 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0 0 0 0.00252525252525253 0.00935354596419634 0.0342605780551365 0.0688699136561481 0.0358112001862911 0.0964107121844875 0.660215907688665
4 135.25 103.083333333333 11 16.0833333333333 1.5 3.08333333333333 0.5 0.525074805302092 0.0318171894484712 0.0344231916877831 0.0195492682473381 0.00194099322787518 0.217289897982868 0.0188414659914066 0.151063188112166 0 0 0 0 0 0 0 0 0 0.00115740740740741 0 0 0 0 0 0 0 0.000677506775067751 0 0 0.00111111111111111 0 0 0 0 0 0 0.00189487053425107 0 0.00260416666666667 0.00115740740740741 0 0 0 0.00398467432950192 0.0019510582010582 0.000677506775067751 0.00679195402889554 0.0124885460109178 0.0479215697043981 0.0133347298166934 0.0177554502760414 0.0598757045556012 0.121501443707825 0.705114892692088 0 0 0 0 0 0 0 0 0.00213675213675214 0 0 0.00189393939393939 0 0 0 0 0 0 0 0 0 0.00126262626262626 0.00213675213675214 0 0.00416927246195539 0 0 0 0 0 0 0.00554584304584305 0 0 0 0.00213675213675214 0 0 0 0 0.00189393939393939 0.00619918699186992 0.00799150036954915 0.0288422846349676 0.105217208265989 0.0493420949721763 0.0951938192791851 0.686038028517703
5 118.416666666667 87.75 12.0833333333333 14.25 1.91666666666667 1.75 0.666666666666667 0.513154059900904 0.0352245259786173 0.035911000789447 0.0181599790016824 0.0129301418628857 0.216503900399447 0.0172463637057019 0.150870028361315 0 0 0 0 0 0 0 0 0.00146198830409357 0.00252525252525253 0 0 0 0 0 0 0.00416666666666667 0.00117370892018779 0 0 0 0.000672043010752688 0 0.00109649122807018 0 0 0 0 0 0.00134408602150538 0 0 0.00373218845235154 0 0.00523764853033146 0.00402046783625731 0.00628043171902821 0.0109920098576218 0.0132481729049677 0.027300546985186 0.0169947395675743 0.00941816854231428 0.0721753699511286 0.146602907449694 0.671557111527016 0 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0.00297619047619048 0 0 0 0 0.00297619047619048 0 0 0.00500871080139373 0 0 0 0 0 0 0 0.00303030303030303 0.00541020671834625 0.00297619047619048 0 0 0.00500871080139373 0 0 0 0.0064484126984127 0 0.0235243534055079 0.017564880302072 0.0108182913757469 0.0509495888390984 0.0655687283059199 0.161604372974738 0.634102348993293
6 101.666666666667 74.4166666666667 10.75 12.5833333333333 1 2.16666666666667 0.666666666666667 0.516276536435569 0.0279900650894941 0.0290395472777647 0.0234004692549381 0.00385075534778759 0.173362137888883 0.0149751817053471 0.127771973666883 0 0 0 0 0.000801282051282051 0.000801282051282051 0.00101626016260163 0.00170068027210884 0 0 0 0 0 0 0 0 0 0 0 0 0.000801282051282051 0 0 0 0 0 0 0 0.00141242937853107 0.00535259934943915 0 0 0 0 0 0.00271694043471047 0.00307909604519774 0.0225646091297173 0.0143040186681302 0.0496141522114904 0.000801282051282051 0.0178740000445827 0.0687415300721659 0.087959058143163 0.6371261645497 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0.00177304964539007 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0.00367409560723514 0 0 0 0.00396825396825397 0 0 0 0.00333333333333333 0 0 0.0128880305077114 0.027463931955211 0.104210142797167 0.0557999081434262 0.0633409588054673 0.634510596824107
7 131.75 97.4166666666667 11.75 16.1666666666667 1.83333333333333 3.66666666666667 0.916666666666667 0.540533356519365 0.0256262353500408 0.0322095261144054 0.0130278717849728 0.0397634252129843 0.179632321433162 0.0243574638891644 0.144849799695905 0 0 0.000661375661375661 0.00134408602150538 0 0 0 0.000992063492063492 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000470809792843691 0.00315898183585444 0 0.00151515151515152 0 0 0.0134005545356051 0.00641025641025641 0.00232266164469554 0.00366674766620092 0.0180858713450334 0.0181548424440715 0.0164128036112768 0.0141648769997594 0.0496487632756126 0.106010887041513 0.743579266707182 0 0 0 0.00101626016260163 0.00104166666666667 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0.0300757575757576 0.021504781580517 0.0151998330743975 0.02452417404508 0.0332475712335771 0.0499073088536806 0.0730856296867612 0.745346512070456
8 85.1666666666667 59.8333333333333 9.25 11.5 1.58333333333333 2.08333333333333 0.916666666666667 0.564927609328805 0.028152275347463 0.0438561208417848 0.0171642254684068 0.00384949320015185 0.186017975347852 0.0168403676762086 0.139191932789328 0 0.00124378109452736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015055980718086 0.00177304964539007 0.00124378109452736 0 0 0 0.00451175495073651 0.00326604382159938 0.0149125208451385 0.00460550588903079 0.0239244760983599 0.010108150747096 0.01976833146879 0.0512542300181739 0.126484924002342 0.721847469606202 0 0.00231481481481481 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0.0036231884057971 0 0 0.00505050505050505 0 0 0 0.00484006734006734 0.00757575757575758 0 0 0 0 0 0 0 0 0 0.0122974726423002 0.00641966250917095 0.0234213164210931 0.0459744580709364 0.0159306991478672 0.139508190404152 0.728956003157333
9 84.1666666666667 55.4166666666667 9.41666666666667 12.8333333333333 1.33333333333333 4.25 0.916666666666667 0.654079916489076 0.0229513551453737 0.0204756521073963 0.00940329702646484 0.00126262626262626 0.17563821578318 0.012501996249179 0.103686940936704 0 0 0 0 0 0 0 0 0.000586854460093897 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0 0 0 0 0 0 0 0.00183734939759036 0 0 0 0 0 0.00148809523809524 0.00472800726842908 0.0198352979546805 0.0057430347367561 0.023531972491825 0.00727599365764295 0.0074453808839676 0.0468477255194215 0.11965546966947 0.759883266210612 0.00238095238095238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0113965469228627 0 0 0 0.00238095238095238 0.00238095238095238 0 0 0.0043859649122807 0 0.00462962962962963 0.00708368142578669 0.0114088816496431 0.0273872544029319 0.0396887354812796 0.11757630926164 0.767527089525699
10 74.0833333333333 50.1666666666667 8 10.75 1.08333333333333 2.91666666666667 1.16666666666667 0.602802195087293 0.025653297543825 0.0357354904080303 0.014560604752526 0.00490372572884299 0.195563837051311 0.0120867085629187 0.108694140865253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0.00141242937853107 0 0 0 0 0 0 0 0.00710769446823149 0 0 0 0.00141242937853107 0.00124378109452736 0.00304641630663565 0.00250892060660125 0.0343864873624602 0.0115270213150716 0.0231838624374688 0.00866358048012752 0.0100283207121695 0.032616714685219 0.102698475346886 0.758529879499435 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0.0145833333333333 0 0 0 0.00225225225225225 0.00225225225225225 0 0 0 0.00177304964539007 0.00997537294707106 0.00198412698412698 0.0184649013814524 0.0436458662546107 0.02750357974588 0.0866061527178312 0.784014668041355
