"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oe_Proportion" "Transition_go_Proportion" "Transition_oo_Proportion" "Transition_jh_Proportion" "Transition_ej_Proportion" "Transition_gc_Proportion" "Transition_co_Proportion" "Transition_hg_Proportion" "Transition_io_Proportion" "Transition_he_Proportion" "Transition_og_Proportion" "Transition_gh_Proportion" "Transition_oc_Proportion" "Transition_eh_Proportion" "Transition_ch_Proportion" "Transition_je_Proportion" "Transition_hc_Proportion" "Transition_ih_Proportion" "Transition_ij_Proportion" "Transition_hh_Proportion" "Transition_jo_Proportion" "Transition_ji_Proportion" "Transition_cc_Proportion" "Transition_ci_Proportion" "Transition_hi_Proportion" "Transition_jc_Proportion" "Transition_gj_Proportion" "Transition_ei_Proportion" "Transition_eo_Proportion" "Transition_cg_Proportion" "Transition_oi_Proportion" "Transition_ee_Proportion" "Transition_jj_Proportion" "Transition_eg_Proportion" "Transition_ic_Proportion" "Transition_ie_Proportion" "Transition_so_Proportion" "Transition_sj_Proportion" "Transition_ge_Proportion" "Transition_sc_Proportion" "Transition_sh_Proportion" "Transition_jg_Proportion" "Transition_ii_Proportion" "Transition_se_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ege_Proportion" "Transition_ccc_Proportion" "Transition_gsc_Proportion" "Transition_scc_Proportion" "Transition_sge_Proportion" "Transition_gsj_Proportion" "Transition_shi_Proportion" "Transition_cgg_Proportion" "Transition_scg_Proportion" "Transition_oes_Proportion" "Transition_csc_Proportion" "Transition_sch_Proportion" "Transition_gos_Proportion" "Transition_joo_Proportion" "Transition_egg_Proportion" "Transition_ggc_Proportion" "Transition_sgc_Proportion" "Transition_ogg_Proportion" "Transition_ccs_Proportion" "Transition_ies_Proportion" "Transition_osg_Proportion" "Transition_gcc_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_isj_Proportion" "Transition_jsg_Proportion" "Transition_eig_Proportion" "Transition_hgs_Proportion" "Transition_gjg_Proportion" "Transition_shg_Proportion" "Transition_jhs_Proportion" "Transition_sgj_Proportion" "Transition_gjj_Proportion" "Transition_ihi_Proportion" "Transition_ihh_Proportion" "Transition_sie_Proportion" "Transition_hhh_Proportion" "Transition_hii_Proportion" "Transition_ogs_Proportion" "Transition_sih_Proportion" "Transition_ihs_Proportion" "Transition_jjj_Proportion" "Transition_ise_Proportion" "Transition_ghs_Proportion" "Transition_sgh_Proportion" "Transition_csi_Proportion" "Transition_gcs_Proportion" "Transition_cos_Proportion" "Transition_jis_Proportion" "Transition_ghg_Proportion" "Transition_hse_Proportion" "Transition_gig_Proportion" "Transition_gii_Proportion" "Transition_cgs_Proportion" "Transition_hes_Proportion" "Transition_igi_Proportion" "Transition_ggi_Proportion" "Transition_eis_Proportion" "Transition_sjj_Proportion" "Transition_csg_Proportion" "Transition_chs_Proportion" "Transition_hsi_Proportion" "Transition_eos_Proportion" "Transition_csh_Proportion" "Transition_gsh_Proportion" "Transition_shh_Proportion" "Transition_iee_Proportion" "Transition_geh_Proportion" "Transition_ocs_Proportion" "Transition_eii_Proportion" "Transition_iie_Proportion" "Transition_his_Proportion" "Transition_ssj_Proportion" "Transition_jsi_Proportion" "Transition_ssh_Proportion" "Transition_igg_Proportion" "Transition_jes_Proportion" "Transition_esg_Proportion" "Transition_gse_Proportion" "Transition_sos_Proportion" "Transition_ggg_Proportion" "Transition_jos_Proportion" "Transition_eee_Proportion" "Transition_geg_Proportion" "Transition_see_Proportion" "Transition_sse_Proportion" "Transition_ses_Proportion" "Transition_ges_Proportion" "Transition_icg_Proportion" "Transition_ees_Proportion" "Transition_cis_Proportion" "Transition_hsc_Proportion" "Transition_ssc_Proportion" "Transition_iii_Proportion" "Transition_gsi_Proportion" "Transition_hsg_Proportion" "Transition_isc_Proportion" "Transition_igj_Proportion" "Transition_sig_Proportion" "Transition_sjs_Proportion" "Transition_esi_Proportion" "Transition_iis_Proportion" "Transition_ige_Proportion" "Transition_gei_Proportion" "Transition_iig_Proportion" "Transition_egs_Proportion" "Transition_igs_Proportion" "Transition_jgs_Proportion" "Transition_ois_Proportion" "Transition_sgi_Proportion" "Transition_gis_Proportion" "Transition_shs_Proportion" "Transition_isg_Proportion" "Transition_sii_Proportion" "Transition_isi_Proportion" "Transition_ssi_Proportion" "Transition_scs_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_ggs_Proportion" "Transition_sis_Proportion" "Transition_gsg_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 414.166666666667 330.166666666667 38.25 34.4166666666667 5.83333333333333 3.41666666666667 2.08333333333333 0.350898181597328 0.0459885857422106 0.0451682293633782 0.0134642858885359 0.0231923452844498 0.328140619538666 0.0310593516152191 0.162088400970212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000377073906485671 0.000377073906485671 0.000377073906485671 0.000414593698175788 0.000484496124031008 0.000661375661375661 0.000793650793650794 0.000861570030516679 0.000968992248062015 0.00106577914064545 0.00128205128205128 0.00130777594417603 0.00134606615454769 0.0014314658210007 0.00158531839831225 0.00176264304171281 0.00186729830897223 0.00195450153960204 0.00207619713080878 0.00260219052113717 0.00279354049961893 0.0032378921583467 0.00325910388603775 0.00418192494814107 0.00712875612466404 0.0103209844796071 0.0135589987209499 0.0142209745018484 0.0180484106931938 0.0191103591125521 0.019631780621219 0.0345228433807471 0.0968071817280014 0.181459664121457 0.54812039746538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.000925925925925926 0.00106837606837607 0.00111111111111111 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00148809523809524 0.00148809523809524 0.00148809523809524 0.00179417122040073 0.00215141612200436 0.0022938662644545 0.00245098039215686 0.00262660619803477 0.00264550264550265 0.00276905634048491 0.00292022792022792 0.00294506691565515 0.00307734204793028 0.00313025210084034 0.00417512360135311 0.00425715157858015 0.0045204925181506 0.00457130149753101 0.00493936890995714 0.00780968370254084 0.013023364873482 0.0145708668464902 0.0215114672297135 0.0219067304020466 0.0277110576165198 0.0503667157884337 0.0982067491421397 0.184480134265229 0.486477297958046
2 325.833333333333 254.25 34.3333333333333 28.75 4.16666666666667 2.75 1.58333333333333 0.319465360587296 0.038104026731907 0.0361263242767786 0.0107411302203161 0.0212078768232126 0.355213755181895 0.0260145234678578 0.193127002710737 0 0 0 0 0 0 0 0 0 0 0 0.000315656565656566 0.000360750360750361 0.000360750360750361 0.000360750360750361 0.000496031746031746 0.000496031746031746 0.000696174069461741 0.000721500721500722 0.00133191672825819 0.00166666666666667 0.00231481481481481 0 0 0.000721500721500722 0 0.000360750360750361 0.00091262674044131 0.000315656565656566 0 0 0.000721500721500722 0.000380517503805175 0 0 0.000360750360750361 0.00220208448625715 0.00307448846117911 0.000360750360750361 0 0.00101183063511831 0 0.00694444512135302 0.00108225108225108 0.00141767479096246 0.00352693441985123 0.00676640803603717 0.0166996593782282 0.0149085384912571 0.0108052210310267 0.0200257781673728 0.0112137759917338 0.0141831929628004 0.0217677453945009 0.127207498234368 0.238910282683257 0.484997093156617 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000661375661375661 0.000661375661375661 0.000661375661375661 0.000661375661375661 0.000730994152046784 0.000730994152046784 0.000730994152046784 0.000730994152046784 0.000730994152046784 0.000730994152046784 0.000730994152046784 0.00087719298245614 0.00087719298245614 0.00087719298245614 0.00117370892018779 0.00146198830409357 0.00146198830409357 0.00146198830409357 0.00378787878787879 0.00490196078431373 0 0 0.000730994152046784 0.000730994152046784 0.00146198830409357 0 0 0 0 0 0 0.000730994152046784 0.00526315789473684 0.000730994152046784 0 0 0 0 0.00212336396546923 0.00366193260930103 0 0 0 0 0 0 0 0 0.00160818713450292 0.0015385686438318 0.00830675172780436 0.00745614035087719 0.00373155109997215 0.000730994152046784 0 0.00146198830409357 0.00233918128654971 0.00233918128654971 0.00870214539599269 0 0.00643971038707881 0.0064549087899718 0.0189608766573185 0.00883035052419782 0.0159592952627008 0.0402807896877578 0.140663507176829 0.256706269722338 0.427411628965939
3 280.25 221.416666666667 28.6666666666667 22.8333333333333 3.25 3.16666666666667 0.916666666666667 0.345354073207541 0.0318875102415524 0.0362048796165503 0.0158392209927479 0.0325491630665887 0.337934517085287 0.0295285738975693 0.170702061892163 0 0 0 0 0 0 0 0 0 0.00045045045045045 0.000936355759286692 0.00045045045045045 0 0 0.00320512820512821 0 0 0 0 0 0.000599520383693046 0.00045045045045045 0 0.00303712035995501 0.000599520383693046 0.000309789343246592 0 0.00045045045045045 0 0.000309789343246592 0 0 0.0010499708341435 0 0 0.00045045045045045 0.000309789343246592 0.00368003929244391 0.00107002913694364 0.00360923423423423 0.000760239793697043 0.00208333333333333 0.000599520383693046 0.0277777777777778 0.00359164262509987 0.000900900900900901 0.00562505773206504 0.0106028321330458 0.00331615788450321 0.00568918552156458 0.0482164747983832 0.00697102802147694 0.0158121924338063 0.0364336522794122 0.101133005624159 0.20601737900663 0.503501080878939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00068870523415978 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00136612021857923 0.00694444444444444 0.00694444444444444 0 0 0 0 0 0 0 0 0 0.00120772946859903 0.00273224043715847 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00108225108225108 0 0 0 0 0 0 0.00120772946859903 0 0.00228998055085012 0 0.00554253400832161 0.00646768312646625 0.00216450216450216 0.00763314967860422 0.00763314967860422 0.0145043801170283 0.00327384517107837 0.00405844155844156 0.0100128183982587 0.0184077704407517 0.0785560522366393 0.099946107802649 0.196051421526054 0.432539909998926
4 243 184.916666666667 25.25 26 2.83333333333333 2.91666666666667 1.08333333333333 0.438078270784374 0.0242566809233592 0.0341214553632894 0.00956142709811367 0.0214911720519712 0.303008538513026 0.0183220541830423 0.151160401082824 0 0 0 0 0 0 0 0 0.0014367816091954 0 0.00146198830409357 0.000641025641025641 0 0 0 0 0 0.00117085295656724 0 0 0 0.00134358155903984 0 0 0 0.000850340136054422 0 0.000320512820512821 0 0 0 0 0.000677506775067751 0.000998019595580571 0 0 0 0.000850340136054422 0 0 0.000377073906485671 0.000320512820512821 0.00330533510174221 0.00117085295656724 0.00417056743121652 0.00268940234663366 0.00332514341455127 0.00856632563770011 0.00288285517566885 0.00814780140615663 0.0106442933445504 0.00813111100033416 0.0114033147631431 0.0186835241618073 0.10323785014339 0.210476593206934 0.592716493649415 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000700280112044818 0.000886524822695035 0.000886524822695035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0 0 0 0 0 0.000700280112044818 0 0 0 0 0 0 0 0.000886524822695035 0.00252525252525253 0 0 0 0 0 0 0 0 0 0.000700280112044818 0.00333333333333333 0 0 0.000700280112044818 0 0 0.00371537503890445 0.000886524822695035 0 0 0 0.0042983021706426 0.00400366048959048 0.000700280112044818 0.00783096926713948 0.00252525252525253 0.00311713566689545 0.0106756847735154 0.00560648501824972 0.0117329394186147 0.0167029215635195 0.0272885900809511 0.112202687693319 0.21246604448714 0.563154816451286
5 237.166666666667 179.666666666667 23.6666666666667 27.5 3.25 2.41666666666667 0.666666666666667 0.435464394574 0.0254375335746034 0.03463929629187 0.00997545219460021 0.0174212306658801 0.309346976211245 0.0212548309117714 0.14646028557603 0 0 0 0 0 0.00051440329218107 0.000706214689265537 0.00219298245614035 0 0 0 0.00249491482329011 0 0 0 0 0 0 0 0 0 0.000706214689265537 0 0 0.000425170068027211 0 0.000301932367149758 0 0 0.00169082125603865 0 0 0 0.000301932367149758 0 0.000301932367149758 0 0.000425170068027211 0 0.00207938914559534 0 0.00142020039363035 0.00199275362318841 0.00102880658436214 0.000727102435176969 0 0.00381713121654059 0.00570864642685075 0.00748206925936719 0.0126260183878199 0.0221487935339967 0.00660024459326522 0.0125349209436406 0.0180666827400261 0.0891757810694041 0.217956446181685 0.586573325021765 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000599520383693046 0.000599520383693046 0.000980392156862745 0.00119047619047619 0.0016025641025641 0.0016025641025641 0.00555555555555556 0 0 0.000599520383693046 0.000599520383693046 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0.000599520383693046 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0.000599520383693046 0 0.00119904076738609 0 0 0 0 0 0 0 0 0 0.00119047619047619 0 0.00772642390289449 0.00196078431372549 0 0.0167394058250491 0.00978272327193191 0.0117546530257847 0.017994747705391 0.0157508397362348 0.0341200397395174 0.101800041719157 0.233313132457739 0.525728760524276
6 208.166666666667 155.666666666667 22.4166666666667 23.1666666666667 3 3.08333333333333 0.833333333333333 0.465017668763809 0.0295410013055348 0.037607339376013 0.00873311948390109 0.0181371759387398 0.28896592593144 0.0203890157242315 0.131608753476331 0 0 0 0 0 0.000400641025641026 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0.000400641025641026 0 0 0 0 0 0.000936329588014981 0 0.00649350649350649 0.0028735632183908 0 0 0 0 0.000527426160337553 0.000527426160337553 0.000928067185978578 0 0.0101084902237376 0.00105485232067511 0 0.000478927203065134 0.000936329588014981 0.000599520383693046 0.00148528056646782 0.00414269698970703 0.00680583801242447 0.00417999055874139 0.00883138230101443 0.0173812769774402 0.00710673972757917 0.0124119668961166 0.0160838673246526 0.0920961978976457 0.200822097757935 0.599861691887989 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0 0 0.00102880658436214 0.000925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00100401606425703 0.00102880658436214 0 0 0 0 0.00192994199018295 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203282264861917 0 0 0.00134408602150538 0 0.00200803212851406 0 0.00102880658436214 0 0 0 0.00295874857454509 0.00295874857454509 0.00295874857454509 0.0115292712066906 0.00195473251028807 0.0207853966797895 0.00499905678173929 0.00709563399798022 0.0220526681123454 0.0083616298811545 0.0288920587974589 0.0775719783330706 0.212638851485235 0.564636378157352
7 175.083333333333 129.25 18.75 21.0833333333333 3.08333333333333 2.08333333333333 0.833333333333333 0.489989512468232 0.0238962934326486 0.0277923407221426 0.0203729687025999 0.0262684011418208 0.287202811224842 0.0177143203076847 0.106763352000029 0 0 0 0 0 0.000825082508250825 0 0.000418760469011725 0 0 0 0.000541125541125541 0 0 0 0 0 0 0 0 0 0 0 0 0.000418760469011725 0 0 0.000541125541125541 0 0 0 0 0.00100401606425703 0.00257364586632879 0 0 0.000502008032128514 0.00132709054037934 0 0.000825082508250825 0.000418760469011725 0.000641025641025641 0.00439896700945923 0 0 0.000959886010137266 0.00972147645489603 0.00596017606067857 0.00592762203507388 0.00200723369040201 0.0141880661786733 0.00151515151515152 0.0107592159963132 0.0112718457423625 0.0882651967513874 0.1829135798441 0.652075099061457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0 0 0.00105485232067511 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0 0 0 0 0 0 0 0 0 0 0 0 0.000841750841750842 0.00122549019607843 0 0 0.000841750841750842 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0.00105485232067511 0 0 0 0 0.000841750841750842 0.00778619528619529 0 0 0 0.00219298245614035 0 0.00122549019607843 0.00641025641025641 0.00168350168350168 0.00124378109452736 0.0097946131126747 0.00219298245614035 0.0088321944939592 0.0061751175548445 0.00347222222222222 0.0188479870948911 0.0803252196461121 0.192892091813063 0.636277335417366
8 181.666666666667 134.333333333333 19.3333333333333 20.9166666666667 3.5 2.75 0.833333333333333 0.509023097462464 0.0261543233775286 0.0214362779368009 0.00767004747220896 0.0124307563561509 0.282152404607988 0.0164465210263202 0.124686571760538 0 0 0 0 0 0 0 0 0 0 0.000863581042382589 0 0 0 0 0 0 0.00165504346068324 0 0.00198306595365419 0 0.00158265826582658 0 0.000838049996630955 0.0012465467286571 0 0 0.00320855614973262 0 0 0 0 0 0.000825082508250825 0 0.000408496732026144 0.000408496732026144 0.00240774077407741 0.000825082508250825 0.000825082508250825 0.00203412804515746 0 0.00516191325014854 0.00232796717171717 0.00646731440882111 0.00832343038225391 0.0130483886775579 0.0117959272109191 0.00222693888551984 0.00546786449478281 0.0193282174036285 0.0146472764850976 0.00517375418560655 0.013341229940535 0.0796013687001869 0.182883650937785 0.611093146459833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000801282051282051 0.000801282051282051 0.000801282051282051 0.000801282051282051 0.000801282051282051 0.000957854406130268 0.0016025641025641 0.00171703296703297 0 0 0 0 0 0 0 0.00208333333333333 0 0 0.000801282051282051 0.0016025641025641 0 0 0.000801282051282051 0.000801282051282051 0.00520833333333333 0 0 0 0.000801282051282051 0 0 0.000801282051282051 0.00240384615384615 0 0 0 0 0 0.000801282051282051 0 0 0.0016025641025641 0 0 0 0 0.000801282051282051 0.00641025641025641 0 0 0.00208333333333333 0 0.00320512820512821 0.00320512820512821 0 0 0 0 0 0 0.000801282051282051 0.0016025641025641 0 0 0 0 0.00208333333333333 0.00320512820512821 0.000801282051282051 0 0 0.000801282051282051 0.00208333333333333 0.00681089743589744 0 0 0 0.0054029304029304 0 0.0016025641025641 0.00560897435897436 0.00320512820512821 0.000915750915750916 0.00208333333333333 0.00652472527472527 0.00480769230769231 0.00641025641025641 0.00267488737316324 0.00171703296703297 0.0114435971117006 0.00208333333333333 0.000801282051282051 0.000915750915750916 0.0201886236368995 0.029388236284788 0.0663191116411198 0.23812884349142 0.529891520047453
9 171.333333333333 117.75 23.4166666666667 21.9166666666667 3.91666666666667 2.66666666666667 1.58333333333333 0.501584095667486 0.0272029562431 0.0148896017708935 0.00677833371419712 0.0126102036426355 0.246431847331325 0.0122407509767571 0.0949288773202724 0 0 0 0.000636132315521628 0.000793650793650794 0.00158730158730159 0 0.00170119329155149 0 0 0 0 0 0 0.000730994152046784 0 0 0 0.00116550116550117 0 0.000578703703703704 0.00168483356774496 0 0 0 0.000636132315521628 0.00445504787610051 0.000591016548463357 0 0.000591016548463357 0 0.00217005217005217 0.00158730158730159 0 0 0.000582750582750583 0 0.00232602676476717 0 0.00590403017537072 0.00117376713121394 0.000730994152046784 0.00523951059919103 0.00216077726121921 0.00313713817703179 0.00436607065946372 0.0168390648185387 0.00807079989052477 0.00409185721685722 0.00470167086000156 0.0339081373445415 0.00138466734211415 0.00937008963069986 0.00682126686196769 0.0750691674791162 0.154968031148989 0.556911970947337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.00148809523809524 0.00166666666666667 0.00170068027210884 0.00181159420289855 0.00181159420289855 0 0 0 0 0 0 0 0 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0.00100401606425703 0.00100401606425703 0 0 0.00100401606425703 0 0 0 0.00148809523809524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00100401606425703 0 0 0 0 0.00633536436170702 0 0.00181159420289855 0 0.00181159420289855 0.00181159420289855 0 0 0 0 0 0.00170068027210884 0 0 0 0 0 0.00225225225225225 0.00325626831650928 0 0.00181159420289855 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0.00492293498317595 0.0024164454427881 0 0.0024164454427881 0.00166666666666667 0.0157584427757493 0.0141079232174807 0.00738280155044856 0.00181159420289855 0.00329968944099379 0.00928514229055814 0.00437136300303254 0.00573051312181747 0.00582494196624631 0.00181159420289855 0.0148118880960496 0.0691446256835992 0.167321491310217 0.541948252392165
10 171.333333333333 123.5 19.75 20.25 3.25 2.66666666666667 1.91666666666667 0.499935485076988 0.0258591561038447 0.0211127314860682 0.00730673149890077 0.0977987051163809 0.245342720571109 0.0152304661351303 0.0874140040115779 0 0 0.00120772946859903 0 0 0.0013550135501355 0 0.00349084716900809 0 0 0.00355106999345856 0.00124378109452736 0 0.000617283950617284 0 0 0 0 0 0 0 0.000462962962962963 0.0013550135501355 0 0 0 0.000617283950617284 0 0 0.000431778929188256 0.000750750750750751 0 0 0.00104906287980554 0 0.000677506775067751 0.00163950839778729 0 0 0.00508749755754393 0.00114046973803071 0.00108024691358025 0.0027045013357935 0.000462962962962963 0.0036019345329234 0.00883070979319652 0.0203286736723276 0.0121766248119088 0.00266282542705307 0.00407860786351877 0.0267372028062182 0.0053250737815172 0.00666480879351028 0.0136710649443825 0.0497269958829825 0.17055801540185 0.563378857024706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000896057347670251 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00154320987654321 0.00216450216450216 0.00245098039215686 0.00245098039215686 0 0 0 0.0095771144278607 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00248756218905473 0 0 0 0 0.0103273912654429 0 0 0 0 0 0 0 0 0 0 0 0.00448350071736011 0.00108225108225108 0 0.00108225108225108 0 0 0.000896057347670251 0 0 0.00321900321900322 0 0 0 0 0.0149200958100039 0 0 0 0 0.00108225108225108 0 0 0 0.00334703773982711 0.00108225108225108 0.0103310990156296 0.0193482344282267 0.0103824442162285 0.00352151830646454 0.00606329239080119 0.0139975750945293 0.00306055951217242 0.00108225108225108 0.00315201735010913 0.0128168340506934 0.01840252883448 0.043237800138214 0.175220457183215 0.524270001014409
