"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ih_Proportion" "Transition_jh_Proportion" "Transition_eg_Proportion" "Transition_go_Proportion" "Transition_hg_Proportion" "Transition_ch_Proportion" "Transition_gc_Proportion" "Transition_hc_Proportion" "Transition_hi_Proportion" "Transition_jc_Proportion" "Transition_ce_Proportion" "Transition_jo_Proportion" "Transition_gh_Proportion" "Transition_cc_Proportion" "Transition_og_Proportion" "Transition_ji_Proportion" "Transition_jj_Proportion" "Transition_cg_Proportion" "Transition_oi_Proportion" "Transition_ci_Proportion" "Transition_jg_Proportion" "Transition_ii_Proportion" "Transition_se_Proportion" "Transition_sj_Proportion" "Transition_sc_Proportion" "Transition_sh_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_so_Proportion" "Transition_es_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_sjs_Proportion" "Transition_hcs_Proportion" "Transition_shc_Proportion" "Transition_jsg_Proportion" "Transition_esc_Proportion" "Transition_egs_Proportion" "Transition_jcs_Proportion" "Transition_jsj_Proportion" "Transition_jgs_Proportion" "Transition_ssh_Proportion" "Transition_isi_Proportion" "Transition_shs_Proportion" "Transition_scs_Proportion" "Transition_ssc_Proportion" "Transition_jjs_Proportion" "Transition_jso_Proportion" "Transition_ggi_Proportion" "Transition_ces_Proportion" "Transition_iii_Proportion" "Transition_csi_Proportion" "Transition_ghs_Proportion" "Transition_jsc_Proportion" "Transition_jis_Proportion" "Transition_scc_Proportion" "Transition_ogs_Proportion" "Transition_ois_Proportion" "Transition_cis_Proportion" "Transition_igg_Proportion" "Transition_cgi_Proportion" "Transition_iig_Proportion" "Transition_ggs_Proportion" "Transition_ess_Proportion" "Transition_ses_Proportion" "Transition_ese_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_ggg_Proportion" "Transition_sgg_Proportion" "Transition_isg_Proportion" "Transition_gsi_Proportion" "Transition_gis_Proportion" "Transition_igs_Proportion" "Transition_ssg_Proportion" "Transition_sis_Proportion" "Transition_sos_Proportion" "Transition_gsg_Proportion" "Transition_sgs_Proportion" "Transition_jss_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 488.833333333333 380.75 62.25 36.5 5.16666666666667 3.16666666666667 1 0.405348066139972 0.0331367216834205 0.0275544936793391 0.00698430986288334 0.00531705929183055 0.379693047116876 0.0216994668653824 0.120266835360296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000276854928017719 0.000326797385620915 0.000553709856035437 0.000825082508250825 0.00102990033222591 0.00112978524743231 0.0012131845160327 0.001969860363015 0.00206762761482324 0.00213732004429679 0.00226478188174495 0.00248977463095695 0.00316876914509391 0.00387078958162855 0.0058001778044233 0.00863253550432715 0.00993870354047769 0.0124674558080907 0.0125463063656134 0.0201055688896507 0.0880685435322913 0.279044155200738 0.540072315319212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000841750841750842 0.00132275132275132 0.00132275132275132 0.00132275132275132 0.00136612021857923 0.00152481095104046 0.00190855030536805 0.00198412698412698 0.00200581143204094 0.00204918032786885 0.0023665617927913 0.00282587782587783 0.0036231884057971 0.00422559734276224 0.00973705345691845 0.0130018674136321 0.0185841876688448 0.0216646474665764 0.0400706197377293 0.0758675181719192 0.188667484192014 0.59961843084037
2 379.5 284.25 52.3333333333333 34.5833333333333 5.25 2.5 0.583333333333333 0.370461222974871 0.0357551930727865 0.0355917012017761 0.01024810049123 0.0155092588702137 0.362523606738183 0.0260756988684416 0.143835217782498 0 0 0 0 0 0 0 0 0 0 0.000251004016064257 0.000251004016064257 0.000418760469011725 0.000631313131313131 0.000778816199376947 0.000882317147377388 0.00150156216332687 0 0.000801282051282051 0 0 0.000753012048192771 0.000631313131313131 0 0.00261544011544012 0.000612745098039216 0.000251004016064257 0.000251004016064257 0.000251004016064257 0.00618825538910647 0.00192478456539727 0.00678223449597967 0.0126163487429236 0.00724116871607874 0.0172247546855281 0.0209228681924079 0.0252741184389705 0.0971252201581413 0.289901935903259 0.503916729077213 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000586854460093897 0.000586854460093897 0.000586854460093897 0.000586854460093897 0.000586854460093897 0.00104166666666667 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00213675213675214 0.00260416666666667 0 0 0 0 0.00221537558685446 0.00519156606304494 0 0 0 0.000586854460093897 0 0.000586854460093897 0 0 0 0 0.00143719459614832 0.00332613238957555 0 0.00143719459614832 0.0156994047619048 0.0163894986899189 0.0304409159117372 0.0157583487940631 0.044674042289607 0.101469879612356 0.215105050338695 0.533058579679204
3 305.75 225.833333333333 40.8333333333333 31.1666666666667 4.33333333333333 3.08333333333333 0.5 0.389225913579151 0.0341349975070907 0.0391072604652111 0.0100793852031308 0.0119402123377266 0.332067048743546 0.0249036116364016 0.158541570527742 0 0 0 0 0 0 0.000274122807017544 0.000706214689265537 0.000786163522012579 0.00125451496388029 0 0.000694444444444444 0.000493096646942801 0.000274122807017544 0 0.000706214689265537 0.000750750750750751 0.000274122807017544 0 0 0.000896057347670251 0.000548245614035088 0.00205030071077091 0.00125451496388029 0.00217964883249142 0.000980337496283081 0.000274122807017544 0.000274122807017544 0.00312377100714688 0.00508049464374991 0.000274122807017544 0.00673067449369196 0.0075076289485172 0.0142058076328356 0.0109659703772948 0.0200679812280921 0.0317568400520522 0.115306471272053 0.240412776557216 0.529896342273552 0 0 0 0 0 0 0 0 0 0.000570776255707763 0.000570776255707763 0.000570776255707763 0.00138888888888889 0.00195966514459665 0.00213675213675214 0 0 0 0 0.000570776255707763 0 0 0 0.000570776255707763 0 0 0 0 0 0 0 0.0027075283924599 0 0 0 0.00114155251141553 0 0 0 0 0.000570776255707763 0 0.000570776255707763 0 0.00446122168840082 0 0.00375060081711127 0.0180764853390174 0.0251187590862477 0.02894850885066 0.0642307021574163 0.127909458871722 0.216064007469397 0.49811043485596
4 217 162.166666666667 26 22.9166666666667 2.66666666666667 2.5 0.75 0.401600491843504 0.0295475987043178 0.0534642014837694 0.00992275061359321 0.0166527069876879 0.306489143850733 0.0267380207057637 0.155585085810631 0 0 0 0 0 0.000841750841750842 0 0.00154320987654321 0 0 0 0 0 0 0 0.00237654320987654 0 0 0 0 0.000631313131313131 0 0.000608272506082725 0.000833333333333333 0.00399929527836505 0 0 0.000841750841750842 0.00264407642314619 0.0124959059039294 0.00212342402123424 0.00128205128205128 0.0146677291374311 0.00732685309497396 0.00717969372613893 0.0122785079553879 0.0207338943730615 0.11914078157945 0.222729946077776 0.565721667406404 0 0 0 0 0 0 0 0.00166666666666667 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0122853457026844 0 0 0 0 0 0 0.00297619047619048 0 0 0.00260416666666667 0 0 0.00427083333333333 0 0.00648650201633966 0.02132724130708 0.0122035522616918 0.0122252028781005 0.0403820541018122 0.132628736079869 0.215660367024749 0.533345156988693
5 141.583333333333 104 18.75 13.8333333333333 2.75 1.66666666666667 0.5 0.36126248527511 0.0333688914651885 0.0506960704931889 0.00746858998069024 0.0260816960129454 0.242010224925332 0.0305563912900401 0.165222317224171 0 0 0 0 0.00111111111111111 0 0 0 0 0.000712250712250712 0 0 0 0 0 0.00148809523809524 0 0 0 0 0.012431556470678 0 0 0 0.00440353850106095 0 0.00637274683884853 0 0 0.0132287783128766 0.00134408602150538 0.00388178603393424 0.0173535745368355 0.00946762560350105 0.00685502921117882 0.0202893543801984 0.0419464900703204 0.124876938208755 0.148755622825218 0.502148082590299 0 0 0 0 0 0 0.00148809523809524 0 0.00520833333333333 0 0 0 0.00527597402597403 0 0 0 0 0 0 0 0 0.00148809523809524 0.00378787878787879 0 0 0 0 0 0 0 0 0.0132409622541202 0 0 0.00163398692810458 0 0 0 0 0 0.0104166666666667 0 0 0.00163398692810458 0 0 0.00238095238095238 0.0296626984126984 0.0180706054351565 0.00914502164502165 0.0737029879734988 0.136562272436885 0.133270718574511 0.46969743040757
6 121.75 89 14.75 12.8333333333333 2.41666666666667 2.33333333333333 0.416666666666667 0.438443435592877 0.0490425936250728 0.041513282296383 0.0126020539621871 0.0241027609455688 0.216652753560978 0.0353985088509271 0.182244611166006 0 0 0 0.00132275132275132 0.00151515151515152 0 0.00117370892018779 0 0 0.00166666666666667 0 0.00166666666666667 0 0 0 0.00132275132275132 0.00427350427350427 0 0 0 0.00974358974358974 0 0.00965186843513278 0.00213675213675214 0.00358183223351763 0.00213675213675214 0 0 0 0.0208813542523698 0.000936329588014981 0.00346681037936534 0.0165777249701735 0.0073127886826517 0.0117184799015412 0.0195374144528533 0.0251766049887662 0.115312002287381 0.14250246069383 0.596386034429629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0168954248366013 0.0208333333333333 0 0 0 0 0.00173611111111111 0 0 0 0 0.00173611111111111 0.00173611111111111 0 0 0.00818975225225225 0.0386948027573028 0.0186157029355559 0.016688179974184 0.0591144403092932 0.0935910148923587 0.154520095076637 0.567648920299148
7 94.6666666666667 68.25 11.5 10.1666666666667 1.25 2.33333333333333 1.16666666666667 0.476099667847879 0.0295853330426383 0.0409777030836994 0.0118470162018453 0.0194122788295575 0.213768269494283 0.0256911244041841 0.182618607095914 0 0 0.000968992248062015 0 0 0 0.00112612612612613 0 0 0 0 0.00136612021857923 0 0 0 0.00925925925925926 0.00238095238095238 0.00105485232067511 0 0 0.00122549019607843 0.00225225225225225 0 0.00249224634470536 0.00469945355191257 0.00122549019607843 0 0 0 0.00572586328400282 0.00333333333333333 0.00697930072930073 0.0113803509697405 0.0126293940999823 0.00626940028488107 0.0119689063268801 0.0280575421950678 0.11481255659091 0.173256524363431 0.597535592727789 0 0 0 0 0 0.00170068027210884 0 0 0 0 0 0.00252525252525253 0 0.00925925925925926 0 0 0 0 0.00208333333333333 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0.00894705708370305 0 0 0.00208333333333333 0.00208333333333333 0 0 0 0 0 0 0 0 0 0 0.00784912120315847 0.0225417018659316 0.0107570267896355 0.0242845117845118 0.0539172908220527 0.0819612901496067 0.19151464820563 0.536825493372483
8 93.75 66.8333333333333 10.5833333333333 11 2.83333333333333 1.91666666666667 0.583333333333333 0.524455661998383 0.0382517925596437 0.0335045075781004 0.00568532132262289 0.020301735071245 0.19014784708608 0.0311627522174209 0.156490382166503 0 0 0 0 0.00245098039215686 0.00245098039215686 0 0.00268817204301075 0 0.00268817204301075 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0.00245098039215686 0.00173611111111111 0.00173611111111111 0.000809061488673139 0 0 0.00173611111111111 0.0154192607163925 0.00205761316872428 0.00545973488934654 0.0268186327004419 0.0031606193957866 0.0121599539946314 0.0106213088899826 0.0190414841448352 0.0981712132166417 0.135222119620129 0.650433207135579 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0.0276212930824504 0.00555555555555556 0 0 0 0 0 0 0 0 0 0.00260416666666667 0.00308641975308642 0 0 0.00520833333333333 0.0469004993301669 0.0192383565745139 0.00688214094011195 0.0364027253413443 0.12706906132018 0.153499857068431 0.562135869847134
9 89.4166666666667 65.9166666666667 10.5 9.16666666666667 1.58333333333333 1.75 0.5 0.574599605014163 0.0320179555205785 0.0377694576902721 0.0077676718337143 0.0184034277854109 0.178911265307931 0.0184110054032435 0.132119611444686 0 0.00193798449612403 0 0 0 0.00177304964539007 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00553740014524328 0.00170068027210884 0.00752853751417715 0.0087749298005616 0.0113140606609927 0.00586009597637505 0.0269387475713777 0.106637724670165 0.149861606303667 0.670197198447694 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0.0108268733850129 0.0102713178294574 0.0101190476190476 0.0578320087725012 0.149400011942762 0.151074224263349 0.605574555403557
10 84.75 59.4166666666667 11.3333333333333 10.4166666666667 1.16666666666667 1.33333333333333 1.08333333333333 0.559366568864151 0.0379430466440976 0.0415096690044773 0.00814278985870276 0.0190414607392477 0.186074466365856 0.0249255156663226 0.122996482857145 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0 0.00189393939393939 0 0 0 0 0 0 0 0 0.00378787878787879 0 0.00189393939393939 0.00109649122807018 0.00189393939393939 0.0234867471709577 0.00252525252525253 0.00855120756436546 0.0106805120167189 0.00532199400941378 0.00680294322535702 0.0346377306903623 0.0365130858756086 0.0737371312516835 0.120429186737008 0.664854081341565 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0.0289797008547009 0 0 0.00405092592592593 0 0 0 0 0 0 0 0.00256410256410256 0.00173611111111111 0 0 0.0077724358974359 0.0260418443345273 0.0243500712250712 0.00231481481481481 0.116007025382025 0.0647302477332965 0.105631769427501 0.600669435577972
