"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oc_Proportion" "Transition_oo_Proportion" "Transition_je_Proportion" "Transition_gh_Proportion" "Transition_eo_Proportion" "Transition_ij_Proportion" "Transition_hc_Proportion" "Transition_gc_Proportion" "Transition_hh_Proportion" "Transition_jo_Proportion" "Transition_cg_Proportion" "Transition_jc_Proportion" "Transition_jg_Proportion" "Transition_ie_Proportion" "Transition_so_Proportion" "Transition_go_Proportion" "Transition_hi_Proportion" "Transition_co_Proportion" "Transition_jh_Proportion" "Transition_ih_Proportion" "Transition_cc_Proportion" "Transition_ci_Proportion" "Transition_hg_Proportion" "Transition_ee_Proportion" "Transition_jj_Proportion" "Transition_ji_Proportion" "Transition_oi_Proportion" "Transition_io_Proportion" "Transition_eg_Proportion" "Transition_gi_Proportion" "Transition_og_Proportion" "Transition_se_Proportion" "Transition_sj_Proportion" "Transition_sh_Proportion" "Transition_es_Proportion" "Transition_ii_Proportion" "Transition_ig_Proportion" "Transition_sc_Proportion" "Transition_gg_Proportion" "Transition_os_Proportion" "Transition_si_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_sso_Proportion" "Transition_soo_Proportion" "Transition_jgg_Proportion" "Transition_gsh_Proportion" "Transition_gis_Proportion" "Transition_jos_Proportion" "Transition_hhh_Proportion" "Transition_ssc_Proportion" "Transition_ghs_Proportion" "Transition_see_Proportion" "Transition_hcs_Proportion" "Transition_sse_Proportion" "Transition_jsc_Proportion" "Transition_jcs_Proportion" "Transition_jsh_Proportion" "Transition_shh_Proportion" "Transition_eso_Proportion" "Transition_esg_Proportion" "Transition_hso_Proportion" "Transition_jsi_Proportion" "Transition_jgs_Proportion" "Transition_sci_Proportion" "Transition_ies_Proportion" "Transition_cis_Proportion" "Transition_ses_Proportion" "Transition_sos_Proportion" "Transition_sgi_Proportion" "Transition_sco_Proportion" "Transition_jhs_Proportion" "Transition_his_Proportion" "Transition_ogs_Proportion" "Transition_osg_Proportion" "Transition_ihs_Proportion" "Transition_scs_Proportion" "Transition_ess_Proportion" "Transition_gsi_Proportion" "Transition_sjj_Proportion" "Transition_jsg_Proportion" "Transition_csg_Proportion" "Transition_ssh_Proportion" "Transition_hsg_Proportion" "Transition_isj_Proportion" "Transition_sjs_Proportion" "Transition_shs_Proportion" "Transition_ggs_Proportion" "Transition_isi_Proportion" "Transition_sig_Proportion" "Transition_gsg_Proportion" "Transition_sii_Proportion" "Transition_gsj_Proportion" "Transition_ios_Proportion" "Transition_egs_Proportion" "Transition_ssi_Proportion" "Transition_isg_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_igs_Proportion" "Transition_gse_Proportion" "Transition_ggi_Proportion" "Transition_gii_Proportion" "Transition_sis_Proportion" "Transition_sgs_Proportion" "Transition_jss_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 461.666666666667 359.916666666667 49.6666666666667 42.25 5.91666666666667 3 0.916666666666667 0.405641939592022 0.0338152869503067 0.0330769607136122 0.0108623098712351 0.0108177387388043 0.350691982271245 0.0204763466042936 0.134617435258481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000336021505376344 0.000360750360750361 0.000360750360750361 0.000377073906485671 0.000786163522012579 0.000786163522012579 0.00100401606425703 0.001131944988126 0.00134003756963337 0.00149029403194578 0.00193203073894331 0.00216725349275528 0.00246958124082879 0.00288238479832826 0.00329101973511829 0.00352845811880422 0.00787927953108352 0.00877638128131447 0.0111748728939607 0.011363384455381 0.0189798764588124 0.0265042655756544 0.0987611574777847 0.224087147153544 0.568229691216336 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000700280112044818 0.000809061488673139 0.000809061488673139 0.000816993464052288 0.000816993464052288 0.00105485232067511 0.00105485232067511 0.00105485232067511 0.00117370892018779 0.00117370892018779 0.00140056022408964 0.00175513243271992 0.00187184578472739 0.00198277040886093 0.00198277040886093 0.00198412698412698 0.00213675213675214 0.0023184030893911 0.00256419392139306 0.00257212589677221 0.00268090727340053 0.00280998475339503 0.00297619047619048 0.00297619047619048 0.00297619047619048 0.00485017950842309 0.0147993023387037 0.0150570683837389 0.015351122004463 0.0169376328160846 0.0379841047821925 0.0922680589525639 0.208019845073281 0.550280176577591
2 392.416666666667 289.583333333333 53.5 36.6666666666667 7.16666666666667 3.91666666666667 1.58333333333333 0.352894318813439 0.0390845503311001 0.0525256868721675 0.0126702331422713 0.0170796519582149 0.326285566395113 0.0335461646427518 0.165913827844942 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000260416666666667 0.000260416666666667 0.000274122807017544 0.000402576489533011 0.00040650406504065 0.00040650406504065 0.00043859649122807 0.000559284116331096 0.000927337398373984 0.000936329588014981 0 0 0.00112612612612613 0.000260416666666667 0 0 0.00132151412668217 0.000676699296550555 0.00078125 0.001605673630853 0.00167875804292439 0.00689359253555409 0.000534539473684211 0.000548245614035088 0.00503292609713942 0.00424314484295324 0.00672980821009974 0.0124881646396952 0.0177883190659861 0.0140140123584237 0.0196406330382514 0.0305520951602072 0.128961136912066 0.244089029528038 0.496161826280151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000595238095238095 0.000595238095238095 0.000595238095238095 0.000595238095238095 0.000595238095238095 0.0006265664160401 0.00101626016260163 0.00101626016260163 0.00106837606837607 0.00106837606837607 0.00106837606837607 0.00109649122807018 0.00297619047619048 0.00460499539446908 0 0 0 0 0 0 0 0.000841750841750842 0.000841750841750842 0.0049589988517496 0 0 0.000841750841750842 0 0.000841750841750842 0 0 0.00185801100435247 0.00513312342580635 0.00294807531649637 0.00926906913749019 0.0006265664160401 0 0 0.0006265664160401 0.0113420863371175 0.020195805285543 0.0271525513662869 0.00878960280436532 0.017762501250948 0.0638353470875708 0.135778362775591 0.209751868086798 0.459086378549509
3 274.166666666667 205.666666666667 37.6666666666667 23.5833333333333 4.5 2 0.75 0.392403715260438 0.0384543925447285 0.0573517305504179 0.0138539856024038 0.0204125819808686 0.273963648145741 0.0253880034526173 0.178171942462784 0 0 0 0 0 0 0 0 0 0.000465549348230912 0.000737463126843658 0.000771604938271605 0.00347992324297315 0 0.0040574367100745 0 0 0 0 0 0 0 0.000737463126843658 0 0.00155763239875389 0 0 0 0 0.000484496124031008 0 0.000591016548463357 0.00143454159629293 0.000591016548463357 0.00880245528488031 0.000737463126843658 0.000737463126843658 0.00224927357961223 0.00257284522291487 0.0151181274648333 0.00815800414464391 0.0121121445825324 0.0122008445690269 0.0131821309374396 0.0202677184691461 0.123577326565361 0.233225135292885 0.532150923923794 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102880658436214 0.00114155251141553 0.00114155251141553 0.00146198830409357 0.00189393939393939 0 0 0 0 0.00331191160719319 0 0 0 0 0 0.00102880658436214 0 0 0.0119377738339526 0 0 0 0 0 0 0 0 0 0 0 0 0.00102880658436214 0 0 0 0 0 0.00225225225225225 0.00585099269309796 0.00462754702520784 0.00225225225225225 0 0 0 0.00173611111111111 0.00938110314862698 0.0244878578211912 0.0301216686223825 0.0113858836621794 0.0359199128672672 0.112304018710334 0.208363414793719 0.527341847125282
4 236.75 180.333333333333 28.1666666666667 21.25 3.75 2.58333333333333 0.666666666666667 0.427950871156987 0.0410288480651394 0.0537666056348532 0.0129750512152634 0.0217708112542932 0.248578753594205 0.0246820894872737 0.169246969591986 0 0 0 0 0 0 0 0.000582750582750583 0.00108225108225108 0 0 0.00112741289211877 0.00494242392827298 0 0.000786163522012579 0.000850340136054422 0 0 0 0 0 0 0 0 0 0.000631313131313131 0 0 0.000850340136054422 0 0 0.0034108437469782 0.001433090718805 0.00171356421356421 0.00940980510308241 0.000544662309368192 0.000850340136054422 0.00341294510100004 0.00217019615604521 0.0156344179837421 0.0120215891726913 0.0128156398094562 0.0187625238939751 0.0166246979329022 0.0244779464364202 0.120201926412665 0.173538283524034 0.572124531938388 0 0 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0.00130208333333333 0.00219298245614035 0.00219298245614035 0 0 0 0 0.00219298245614035 0 0 0 0.00130208333333333 0.00198412698412698 0 0 0 0 0 0 0 0.00148809523809524 0.00917178079242033 0 0 0 0 0 0 0 0 0 0.00130208333333333 0 0 0.00185185185185185 0.00148809523809524 0 0 0 0.00148809523809524 0 0 0 0 0 0 0 0.00694444444444444 0.0099040881252059 0.0289055030073109 0.0273826128113919 0.0156306845743391 0.0450334377722269 0.0969624300792149 0.174535998656685 0.565441474484742
5 201.833333333333 157.5 23.1666666666667 16.0833333333333 3 1.83333333333333 0.25 0.377130094500493 0.0489501369144371 0.0603204733848146 0.018870169850724 0.0224187995336744 0.258811279655996 0.0314024003015433 0.182096645858317 0 0 0 0 0 0 0.000570776255707763 0 0 0 0 0 0.00277505357596891 0 0.00264492753623188 0 0 0 0 0 0 0 0 0.00198320563423884 0 0 0 0 0 0.000925925925925926 0 0.000570776255707763 0.0014479692381639 0.00087719298245614 0.0150287120352935 0 0.00253401360544218 0.00607545676038827 0.00245098039215686 0.0166830523165636 0.00992087260119629 0.0246064227167706 0.0163330766953073 0.00905619494938367 0.0228534388640376 0.115733704069847 0.206095456507335 0.540832791081876 0 0 0 0 0 0 0 0 0 0.00146198830409357 0.00146198830409357 0.00146198830409357 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0 0 0 0 0 0 0 0.00396825396825397 0.00780812324929972 0.00154320987654321 0 0 0 0 0 0 0 0.00252525252525253 0.00925925925925926 0 0 0 0 0 0 0 0 0.00154320987654321 0 0 0.00154320987654321 0 0 0 0.005331088664422 0.00697345214889074 0.0289949511459809 0.0370441332347376 0.0339410141893092 0.050341385947625 0.114313534569457 0.193695438564981 0.494337537598463
6 148.25 110.666666666667 18.3333333333333 15.75 1.33333333333333 1.66666666666667 0.5 0.454400199766547 0.0342491195682328 0.0554466508305977 0.0164515739651682 0.0180483263639829 0.220432897348326 0.0278775076836465 0.173093724473499 0 0 0 0 0 0.000801282051282051 0 0 0 0 0 0 0.00136612021857923 0 0.00197499097146984 0 0 0 0 0 0 0 0 0 0 0.000801282051282051 0 0 0 0.000859106529209622 0.00260416666666667 0.000801282051282051 0.0016025641025641 0.00216740226986129 0.0092299804379336 0.000801282051282051 0 0.00189777327935223 0.00173611111111111 0.0073731016327384 0.00136612021857923 0.0185742246208791 0.0174614051128163 0.0108082596689206 0.0431778795461548 0.113704300226858 0.158661248331207 0.602230116849971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012061597406425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0.0043859649122807 0 0 0 0 0 0.0053030303030303 0.0354942548490936 0.00833333333333333 0.0151751505199781 0.0817357687359444 0.110935132517851 0.158637973682123 0.559583574859406
7 134.666666666667 98.6666666666667 16.75 14.5833333333333 2.25 1.75 0.666666666666667 0.471222780788909 0.0256195291990389 0.0464753610820226 0.0184394388646938 0.0223212541493864 0.220796396218695 0.0252700239571238 0.169855215740131 0 0 0 0.000992063492063492 0.00193798449612403 0 0 0 0.00205761316872428 0.000771604938271605 0 0.000771604938271605 0.0059156378600823 0 0.000771604938271605 0.00138888888888889 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0.00193798449612403 0.00265873015873016 0.000771604938271605 0.000771604938271605 0.00617191928561438 0.00665432782357847 0 0 0.0038608510830733 0 0.00937399774514541 0.00350664767331434 0.0203006733372881 0.0124155270284596 0.00521604938271605 0.0382305637888883 0.107368516121793 0.166197438862957 0.597641745800263 0 0 0 0 0 0.00208333333333333 0.00231481481481481 0.00231481481481481 0.00260416666666667 0 0 0 0 0.00208333333333333 0 0.00231481481481481 0 0 0 0 0.00520833333333333 0 0 0 0 0.00208333333333333 0 0 0 0 0 0 0 0 0.0072337962962963 0 0 0 0 0.00231481481481481 0 0 0 0.00641025641025641 0 0.00208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0.0288457491582492 0.0156776094276094 0.0220121082621083 0.0717840283465283 0.0805299902174902 0.165889444951945 0.572878591003591
8 131.916666666667 101.333333333333 14.75 12.0833333333333 1.58333333333333 1.75 0.416666666666667 0.495796162430457 0.0329933007079548 0.0472887521280006 0.0121277636383321 0.0162494329854876 0.209084148208076 0.029637068805968 0.156823371095724 0 0 0 0 0 0 0 0 0 0 0 0.00268481518481519 0.00268817204301075 0 0 0 0 0 0.000905797101449275 0 0 0 0.000905797101449275 0 0.00108225108225108 0 0.00134408602150538 0 0 0.00166666666666667 0 0 0.00134408602150538 0 0.00760159195643067 0 0 0.00241545893719807 0 0.0120350187569867 0.00236778540554284 0.0152151981569934 0.0119777856203818 0.0113407694456082 0.038949885567956 0.12242119838119 0.137387620315021 0.625666016234039 0 0 0 0 0.00333333333333333 0 0 0.0036231884057971 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0.0072463768115942 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0.0191213768115942 0.0194393592677346 0.0080091533180778 0.0616559040664321 0.124604389264547 0.114792574794636 0.629314694803447
9 127.666666666667 99.6666666666667 12.25 12 2.08333333333333 1.33333333333333 0.333333333333333 0.509036167404157 0.0318072932675462 0.0406838422142685 0.0160222259458303 0.016984881443871 0.203336703465903 0.0227234628217555 0.159405423436669 0 0 0.000886524822695035 0 0 0 0 0 0.00117370892018779 0 0 0 0 0 0.00450704225352113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00206023374288283 0.0073562532412476 0.00229895420122611 0 0.00232330643189044 0 0.00539623805118717 0.00592214260702321 0.0192684350334259 0.0146211040524635 0.00623628666676663 0.0288354891584822 0.113272026776526 0.15114257648609 0.634699677554384 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0129044274159217 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00561167227833894 0 0 0 0.0100308641975309 0 0 0 0 0 0 0 0 0 0.0293295481888685 0.00946969696969697 0.00539881574364333 0.0541124388658283 0.0918579647940774 0.174938563220833 0.598073629363226
10 111.5 84.5833333333333 14.4166666666667 8.58333333333333 2.58333333333333 1 0.333333333333333 0.529559611978887 0.0427320146298155 0.0412791999536602 0.0158864283828407 0.0142895528726071 0.190246022556271 0.0138324010917818 0.152174768534136 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00294200056038106 0 0 0 0.00100401606425703 0 0 0 0 0 0 0 0 0 0 0 0 0.00100401606425703 0.00100401606425703 0 0.00918436130771823 0 0.00219298245614035 0.00560731538992409 0.00106837606837607 0.0136738618787991 0.00944110603032767 0.0211086592727253 0.0288563860796349 0.010583929934208 0.0382725304352102 0.104362796624729 0.137205070685882 0.612488575083173 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0.0541310541310541 0.0161470473970474 0.0243055555555556 0.0836497992747993 0.0689897656809422 0.0904825022472081 0.643354881773999
