"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_co_Proportion" "Transition_je_Proportion" "Transition_og_Proportion" "Transition_ho_Proportion" "Transition_jh_Proportion" "Transition_hj_Proportion" "Transition_cg_Proportion" "Transition_ec_Proportion" "Transition_ch_Proportion" "Transition_oi_Proportion" "Transition_oe_Proportion" "Transition_oh_Proportion" "Transition_cc_Proportion" "Transition_eo_Proportion" "Transition_se_Proportion" "Transition_jc_Proportion" "Transition_ce_Proportion" "Transition_gj_Proportion" "Transition_gc_Proportion" "Transition_oc_Proportion" "Transition_ge_Proportion" "Transition_ic_Proportion" "Transition_ij_Proportion" "Transition_ih_Proportion" "Transition_he_Proportion" "Transition_ei_Proportion" "Transition_jg_Proportion" "Transition_go_Proportion" "Transition_jo_Proportion" "Transition_eh_Proportion" "Transition_hg_Proportion" "Transition_ci_Proportion" "Transition_hh_Proportion" "Transition_gh_Proportion" "Transition_sc_Proportion" "Transition_so_Proportion" "Transition_sh_Proportion" "Transition_ie_Proportion" "Transition_jj_Proportion" "Transition_ji_Proportion" "Transition_hi_Proportion" "Transition_sj_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_ii_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_gg_Proportion" "Transition_js_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ses_Proportion" "Transition_cos_Proportion" "Transition_sjo_Proportion" "Transition_osj_Proportion" "Transition_ogo_Proportion" "Transition_jcs_Proportion" "Transition_isc_Proportion" "Transition_scc_Proportion" "Transition_shs_Proportion" "Transition_hhs_Proportion" "Transition_ois_Proportion" "Transition_ggg_Proportion" "Transition_chs_Proportion" "Transition_sjc_Proportion" "Transition_jcc_Proportion" "Transition_gse_Proportion" "Transition_oes_Proportion" "Transition_scs_Proportion" "Transition_gsj_Proportion" "Transition_eos_Proportion" "Transition_jis_Proportion" "Transition_ges_Proportion" "Transition_gcs_Proportion" "Transition_shi_Proportion" "Transition_eis_Proportion" "Transition_ghs_Proportion" "Transition_gih_Proportion" "Transition_ehe_Proportion" "Transition_gis_Proportion" "Transition_hij_Proportion" "Transition_hig_Proportion" "Transition_ehs_Proportion" "Transition_hii_Proportion" "Transition_hgs_Proportion" "Transition_hsi_Proportion" "Transition_ggi_Proportion" "Transition_ihi_Proportion" "Transition_hei_Proportion" "Transition_hie_Proportion" "Transition_hsh_Proportion" "Transition_osh_Proportion" "Transition_csi_Proportion" "Transition_shh_Proportion" "Transition_osi_Proportion" "Transition_his_Proportion" "Transition_isj_Proportion" "Transition_ssi_Proportion" "Transition_jso_Proportion" "Transition_jgs_Proportion" "Transition_sos_Proportion" "Transition_ieh_Proportion" "Transition_isi_Proportion" "Transition_sii_Proportion" "Transition_sjs_Proportion" "Transition_jsj_Proportion" "Transition_sig_Proportion" "Transition_igi_Proportion" "Transition_esi_Proportion" "Transition_ies_Proportion" "Transition_ghi_Proportion" "Transition_iis_Proportion" "Transition_iie_Proportion" "Transition_ssj_Proportion" "Transition_sgg_Proportion" "Transition_cis_Proportion" "Transition_sgi_Proportion" "Transition_igs_Proportion" "Transition_sjj_Proportion" "Transition_hss_Proportion" "Transition_iii_Proportion" "Transition_gii_Proportion" "Transition_ssg_Proportion" "Transition_isg_Proportion" "Transition_gsi_Proportion" "Transition_ess_Proportion" "Transition_sis_Proportion" "Transition_gsg_Proportion" "Transition_oss_Proportion" "Transition_sgs_Proportion" "Transition_ggs_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 431.583333333333 334.5 54.25 31.9166666666667 5.66666666666667 3.08333333333333 2.16666666666667 0.359488599737962 0.0516862694047653 0.0457636238890246 0.0174624957878836 0.0135432683850926 0.329819097157485 0.0306207915832445 0.151615854054542 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000289351851851852 0.000289351851851852 0.000289351851851852 0.000329380764163373 0.000329380764163373 0.000329380764163373 0.000329380764163373 0.000380517503805175 0.000548245614035088 0.000618732616015225 0.000658761528326746 0.000658761528326746 0.00102642129160025 0.0010401026026026 0.00106329227266332 0.00124857305936073 0.00128631460525445 0.00140378086415697 0.0014095122790775 0.00144463334693917 0.00163970860994922 0.00172205380099006 0.00304187320151589 0.00371026978377126 0.00494070125903178 0.00586072732811863 0.00888179874317945 0.0100749209201719 0.013078366066204 0.0131551179636357 0.0135230169549251 0.0187160059428622 0.0191653328214779 0.0324826230077817 0.101964102825998 0.232591434347388 0.500478718698626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.000850340136054422 0.000850340136054422 0.000850340136054422 0.000850340136054422 0.000957854406130268 0.000957854406130268 0.000957854406130268 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00141242937853107 0.00141242937853107 0.00142710772833724 0.00148809523809524 0.00148809523809524 0.00148809523809524 0.00153340024534404 0.00204918032786885 0.00217115534738486 0.00223214285714286 0.00227744786439166 0.00266193433895297 0.00273224043715847 0.00291520296643247 0.00308248299319728 0.00312778800044608 0.00347628805620609 0.00353727556596409 0.00358358472591593 0.00426564068250251 0.00490339578454332 0.0082434362095379 0.0098890871478398 0.0104769158288489 0.0136936752856037 0.0156343141115104 0.0156852849540799 0.0315673541069635 0.0399683972694897 0.0773357524120707 0.190772606571627 0.50925031457588
2 413.583333333333 331.75 42.3333333333333 31 5.08333333333333 2.83333333333333 0.583333333333333 0.418451417374971 0.055961428804897 0.0399784655801343 0.0168881487826887 0.017502838002504 0.291065361720232 0.0291803523097904 0.130971987424782 0 0 0 0 0 0.000227066303360581 0.000227066303360581 0.000359195402298851 0.000359195402298851 0.000454132606721163 0.000457875457875458 0.000457875457875458 0.000586261705659432 0.000786163522012579 0.000817070860174308 0.000817070860174308 0.00100401606425703 0.0011428172191115 0.00119047619047619 0 0.00100401606425703 0.00119047619047619 0 0 0 0 0.00119047619047619 0 0.000718390804597701 0 0.000457875457875458 0.000817070860174308 0.000227066303360581 0 0.00180227573844595 0.000958715785991896 0.00119047619047619 0 0.000457875457875458 0.000786163522012579 0 0.00349628836666793 0.00148969256598684 0.00347554398632572 0.00441223203249887 0.0101806543494793 0.00913240441354727 0.0113026374800442 0.0166558514455735 0.00854910428669158 0.0152298688384304 0.0161657962979681 0.0282666122868485 0.103626966563221 0.209077908988043 0.539251276176998 0 0 0 0 0 0 0 0 0 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00101626016260163 0.00101626016260163 0.00101626016260163 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.00238095238095238 0.00238095238095238 0.00277777777777778 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00423804920310412 0 0 0.00258858720662678 0 0 0.00423804920310412 0 0 0 0 0 0 0 0.00051440329218107 0 0.00362042682926829 0.00487675434555617 0.00124378109452736 0 0.00668175373883368 0.00124378109452736 0.00740809850290061 0.00154320987654321 0.00260416666666667 0.00414737654320988 0.0022725876788895 0.00315301229935376 0.0091273499704208 0.0073139265500057 0.00154320987654321 0.0206267684528405 0.00967952883157561 0.00780655235919565 0.0212072378633168 0.0418793539878253 0.0984167868704797 0.19963856009242 0.51094968944033
3 319.75 267.75 29 17.4166666666667 3.5 1.41666666666667 0.666666666666667 0.546635752639005 0.0763644117612819 0.0398873985735119 0.0134405979280154 0.010822345330665 0.202527526801486 0.0190157046974452 0.0913062622685905 0 0 0 0.00031328320802005 0.000527426160337553 0 0 0 0 0 0 0 0 0 0.00031328320802005 0.0006265664160401 0 0.0006265664160401 0 0 0 0 0 0 0 0.000527426160337553 0 0.00166666666666667 0.0037037037037037 0 0 0 0 0 0 0.00240712540845785 0.00360972775711353 0 0.0006265664160401 0.000608272506082725 0 0.00833966806907459 0.00115399257637765 0.00374476676195071 0.0012531328320802 0.0030058444282295 0.00637299748707229 0.0164710687677142 0.00865560602976535 0.00603688947379361 0.0154520772654226 0.0155097404523382 0.02143377260623 0.0549263197298354 0.175701417192768 0.563052758967155 0 0 0 0 0 0 0 0 0.00266193433895297 0 0 0.000850340136054422 0 0 0 0 0 0 0.00258645124716553 0 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000850340136054422 0 0 0.00173611111111111 0 0.000850340136054422 0.00170068027210884 0 0 0.00170068027210884 0 0 0 0 0.000850340136054422 0 0 0.00170068027210884 0 0 0.000850340136054422 0.00173611111111111 0.0183005615847231 0 0 0.000850340136054422 0 0.00217309145880574 0 0.00483502579775872 0.0051374716553288 0.00953089569160998 0.00343679138321995 0.00490580847723705 0.0284237882258069 0.0332410103938226 0.0431844219802802 0.119146108488784 0.623615407885397
4 217.916666666667 172 28.4166666666667 13.0833333333333 2.66666666666667 1.33333333333333 0.333333333333333 0.524998504020588 0.048971515509608 0.0220571591080065 0.0117196737650982 0.0102997647496124 0.188650353034711 0.0126394358694113 0.0973302606096309 0 0 0 0 0 0 0.000505050505050505 0 0 0 0 0 0.000677506775067751 0 0 0.000505050505050505 0 0 0 0 0 0 0 0 0 0 0 0 0.00434027777777778 0 0 0 0 0 0.00207861462778851 0 0 0 0 0.000859660434128519 0 0 0 0.00141843971631206 0 0.00192817405181602 0.00387692990301089 0.00615675082034232 0.0116976783887089 0.00295560692550833 0.00342371889627987 0.00692266251919398 0.0068439549844536 0.124309034152574 0.18208859763889 0.556078958044712 0 0 0 0 0 0 0.00189393939393939 0.00189393939393939 0 0 0 0.00114155251141553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00228310502283105 0 0 0.00114155251141553 0 0.00946969696969697 0 0 0.00695997577113037 0 0.00114155251141553 0 0.00340136054421769 0.00114155251141553 0.0178674853087769 0.00581842325971484 0.00303549190535492 0.00520833333333333 0.00643685244957261 0.0868354004117213 0.12828464615402 0.547677793097314
5 130.333333333333 106.333333333333 14.6666666666667 6.83333333333333 1.41666666666667 0.583333333333333 0.5 0.722716984810825 0.0252919673660179 0.0194890211554938 0.0180949240245639 0.00463427813183428 0.128633059169946 0.0148732833444796 0.0662664819968394 0 0 0.000431778929188256 0 0.000706214689265537 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0.000431778929188256 0 0 0 0 0 0 0 0 0.000706214689265537 0.000431778929188256 0 0 0 0 0 0 0 0 0.00156977254764205 0 0 0 0 0 0 0 0 0.000706214689265537 0.00282485875706215 0.0244665300444085 0.0170302642029702 0.00300030999512865 0.0151795076599678 0.00370652468439418 0.0237625486944319 0.0617049156836285 0.106984784802634 0.566815772187313 0 0 0 0 0.00154320987654321 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0330387205387205 0 0 0 0 0.00166666666666667 0 0.00166666666666667 0 0.0175757575757576 0 0 0.0270061728395062 0.0382856341189675 0.0419135802469136 0.102081930415264 0.559312570145904
6 151.583333333333 124.75 14 9.41666666666667 1.75 1.08333333333333 0.5 0.701060571353496 0.0321671457918919 0.0113398462634167 0.0127411494293152 0.0122439467908793 0.0975097040831336 0.00636241923453197 0.0432418837200024 0 0.00130208333333333 0 0 0 0 0 0 0 0 0 0.00130208333333333 0 0 0 0 0 0 0.000385802469135802 0 0 0 0 0 0 0.000385802469135802 0 0 0 0 0 0 0 0 0 0 0.00363417828122976 0 0 0 0 0.00219739667203435 0 0.00134408602150538 0 0 0.00514766278375149 0.00518736580783682 0.00284529320987654 0.000771604938271605 0.014916432912576 0.0066908726602947 0.0149274227880086 0.0461352608492647 0.0985576616933469 0.627602323110398 0 0 0 0 0 0 0 0 0.00106837606837607 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0.00106837606837607 0.00106837606837607 0 0 0 0 0.00396825396825397 0 0 0.00213675213675214 0 0.00106837606837607 0 0.00320512820512821 0 0.00717338217338217 0.00808913308913309 0 0.0226190476190476 0.0256591110039386 0.028135848825504 0.0893689643689644 0.634074578040095
7 135.666666666667 110.833333333333 12.1666666666667 10 1.66666666666667 0.833333333333333 0.0833333333333333 0.634187670113771 0.0284929548174843 0.0307380230211301 0.022164386823572 0.00946564885837833 0.10578981651866 0.0126851069225751 0.0731430595910959 0.000440917107583774 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000440917107583774 0 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0 0 0 0 0.000440917107583774 0 0.00225225225225225 0 0 0 0 0 0.00447845804988662 0 0 0 0.0170459409819529 0.00466971300304634 0.00978034311367645 0.0106816386578291 0.000440917107583774 0.00312908915059453 0.00312908915059453 0.0328714541884185 0.0797208130107036 0.0996227459567513 0.562487447115183 0 0.00112612612612613 0.00555555555555556 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0189189189189189 0 0 0 0 0 0.00378787878787879 0 0 0.0115956865956866 0.00112612612612613 0.00112612612612613 0.00555555555555556 0.0857521157521158 0.058034983034983 0.0997729872729873 0.535425717925718
8 124.166666666667 105.916666666667 7.75 8.5 1 0.583333333333333 0.333333333333333 0.699802968605465 0.0240019660655825 0.0132572161519599 0.0119818749908685 0.00454636696849366 0.0908530323754454 0.00950301212056654 0.0627202293882853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00068870523415978 0.0016025641025641 0 0 0.00185185185185185 0 0.00471074380165289 0.0151440679446545 0 0.00333333333333333 0.00068870523415978 0.0117583484210278 0.0650477371164796 0.129183432693699 0.68105461283052 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0 0 0 0 0.0247132815390307 0.00157232704402516 0 0.00595238095238095 0.0181429070580014 0.035906091996547 0.0839048617350504 0.657189102055917
9 105.583333333333 87.0833333333333 8.5 7.41666666666667 1.25 1.08333333333333 0.166666666666667 0.646634096145119 0.0186162612103448 0.0223466024543975 0.0364872746669286 0.0200993449051916 0.0962114196988784 0.00983941622532754 0.0664322513604792 0 0 0 0 0.00132275132275132 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0 0 0 0 0.003125 0 0 0 0 0 0 0 0.00104166666666667 0 0 0 0 0 0.00104166666666667 0 0 0 0 0 0 0.00231481481481481 0.0315637907186653 0.00236441798941799 0.00538900180668473 0.00578703703703704 0.0149612046715705 0.0502253701452546 0.169120276531683 0.625721496252443 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0.00213675213675214 0 0.00491452991452991 0.0294982794982795 0.0309742340992341 0.0840648934398934 0.67777639027639
10 90.0833333333333 78.25 5.08333333333333 5.41666666666667 0.833333333333333 0.5 0 0.778688440054374 0.0360799662357678 0.0141714446943933 0.0184664019796502 0.0103899644839432 0.0827914943988848 0.00783516502204044 0.0515771231309467 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0.00208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.0138888888888889 0.0016025641025641 0.025929005205321 0 0.0214799820062978 0.00208333333333333 0.0112769905533063 0.0702152014652015 0.0630414176466808 0.689093727909517 0.00555555555555556 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0148148148148148 0 0 0.00641025641025641 0.0244301994301994 0.0707264957264957 0.0347990703253861 0.754374718848403
