"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gc_Proportion" "Transition_oi_Proportion" "Transition_jo_Proportion" "Transition_jc_Proportion" "Transition_hi_Proportion" "Transition_gh_Proportion" "Transition_gj_Proportion" "Transition_jh_Proportion" "Transition_hc_Proportion" "Transition_ic_Proportion" "Transition_jg_Proportion" "Transition_ee_Proportion" "Transition_ih_Proportion" "Transition_ji_Proportion" "Transition_sh_Proportion" "Transition_og_Proportion" "Transition_io_Proportion" "Transition_oc_Proportion" "Transition_ci_Proportion" "Transition_se_Proportion" "Transition_so_Proportion" "Transition_jj_Proportion" "Transition_ig_Proportion" "Transition_go_Proportion" "Transition_sc_Proportion" "Transition_ei_Proportion" "Transition_eg_Proportion" "Transition_ii_Proportion" "Transition_ge_Proportion" "Transition_sj_Proportion" "Transition_gi_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_gg_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ois_Proportion" "Transition_jcs_Proportion" "Transition_jos_Proportion" "Transition_esc_Proportion" "Transition_ses_Proportion" "Transition_ghs_Proportion" "Transition_gsh_Proportion" "Transition_jis_Proportion" "Transition_ssc_Proportion" "Transition_hsh_Proportion" "Transition_igs_Proportion" "Transition_jgs_Proportion" "Transition_iis_Proportion" "Transition_ssi_Proportion" "Transition_ges_Proportion" "Transition_shs_Proportion" "Transition_hcs_Proportion" "Transition_osg_Proportion" "Transition_ggi_Proportion" "Transition_gis_Proportion" "Transition_gei_Proportion" "Transition_eis_Proportion" "Transition_ocs_Proportion" "Transition_sse_Proportion" "Transition_gsj_Proportion" "Transition_sos_Proportion" "Transition_isi_Proportion" "Transition_gos_Proportion" "Transition_sjs_Proportion" "Transition_isg_Proportion" "Transition_gsi_Proportion" "Transition_ggs_Proportion" "Transition_sii_Proportion" "Transition_gsg_Proportion" "Transition_ggg_Proportion" "Transition_sis_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 446.583333333333 357 45.4166666666667 35.0833333333333 5 3.16666666666667 0.916666666666667 0.354950731655814 0.0414480130752651 0.030469349359383 0.0149750047990107 0.01228438639318 0.355062619785542 0.0247626221723051 0.1660472727595 0 0 0 0 0 0 0 0 0 0 0 0.000462962962962963 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.000520833333333333 0.000524109014675052 0.000608272506082725 0.000608272506082725 0.000608272506082725 0.000608272506082725 0.000636132315521628 0.000786163522012579 0.000831694526384792 0.00119191006724882 0.00120356488422455 0.001510801203172 0.00198972840623713 0.00209640546232144 0.00243200546572674 0.0031642243228601 0.00881497511443434 0.00989092156134208 0.0146047602797603 0.0186889452008923 0.0187771161167421 0.0193890397919017 0.0213344839318285 0.0218346289579751 0.110373104677802 0.23622991518865 0.498735273791115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00101626016260163 0.00115740740740741 0.00115740740740741 0.00117370892018779 0.00117370892018779 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.0016025641025641 0.00208463623097769 0.00290464743589744 0.00331046105693993 0.00377787558685446 0.00462352337735069 0.00538043968941856 0.00566191191191191 0.00759495153940182 0.00840192913363645 0.0127532473651694 0.0131513806692005 0.013971873281461 0.0140081064541271 0.0190669869662565 0.0284899215958489 0.0392023989163927 0.0401313459545157 0.0921215659494539 0.230617865725344 0.440255540906152
2 373.416666666667 309 30.6666666666667 27.0833333333333 3.58333333333333 2.5 0.583333333333333 0.422612809649975 0.0595880321888747 0.0241602342637868 0.0111992539020888 0.015682047809015 0.316319873837636 0.0225876574467571 0.127850090901867 0 0 0 0 0 0.000465549348230912 0.0006265664160401 0.00134408602150538 0.00146198830409357 0.00146198830409357 0.00173686495874946 0 0 0 0.00339852669729969 0 0 0 0 0.00134408602150538 0.00151783795400817 0 0.00280931454790412 0 0.00117176403749645 0 0 0.00311713566689545 0.000850340136054422 0.000578703703703704 0.0050450452168736 0.00785276351935686 0.0175394541077235 0.0152815691842446 0.0123148731504312 0.0177244443567477 0.00408333942345859 0.0194357274105305 0.0176325304085617 0.0875742475664929 0.223344222642286 0.550287030895712 0 0 0 0 0 0 0 0 0 0.00151515151515152 0.00157232704402516 0.00189393939393939 0.00189393939393939 0.00189393939393939 0.00193798449612403 0.00303030303030303 0.00462962962962963 0 0 0.00416666666666667 0 0 0 0 0 0.00157232704402516 0 0 0 0 0.00189393939393939 0.00120772946859903 0.00189393939393939 0.00462962962962963 0.00120772946859903 0.00537513376660663 0.00120772946859903 0.00120772946859903 0.00933306494900698 0.0167347719060824 0.0088264722698685 0.0172392448318754 0.0384680052474693 0.0379703948319569 0.0834481797648963 0.239660438768632 0.505589659763957
3 200 169 13.4166666666667 14 2.08333333333333 1.41666666666667 0.0833333333333333 0.616083534844079 0.0448632538895852 0.0278329858653243 0.012298472732312 0.0110572635980353 0.182321769527913 0.0150373005423956 0.090505419000355 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000621890547263682 0 0 0 0 0 0 0 0 0.000621890547263682 0 0.00193798449612403 0 0 0 0.000621890547263682 0.00580260462393913 0.00283446712018141 0.00644007155635063 0.00740132336470352 0.016480265428348 0.0172571891010429 0.00524177455820514 0.00229731319156893 0.0141603653376472 0.0118572679369272 0.090342174872162 0.181072914873112 0.635008611897897 0 0 0 0 0 0 0 0.00128205128205128 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0.00637009189640769 0 0 0 0 0 0 0 0 0.00128205128205128 0 0 0.00198412698412698 0 0.00128205128205128 0 0 0.00305510092744135 0.00177304964539007 0.00128205128205128 0.00305510092744135 0.0270601851851852 0.0535416666666667 0.017698975571316 0.0266718350704913 0.0952577251457431 0.155165016047575 0.598030587470677
4 96.5 78.8333333333333 8 8 0.75 0.666666666666667 0.25 0.59898234025284 0.0729460085961555 0.0198264457946305 0.00758304958856872 0.0187962775172847 0.181818027043708 0.0130141334420077 0.0870337177648057 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0.00252525252525253 0 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0 0 0 0 0.00191570881226054 0 0.0158026223280055 0 0.00205761316872428 0.0028735632183908 0.0385546434466328 0.032393651659019 0.0722934451574792 0.167409628924979 0.576122302444531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0.00238095238095238 0 0 0 0.00238095238095238 0 0 0 0 0.0360157952069717 0 0.0377976190476191 0.0464616402116402 0.0689814814814815 0.125346249610956 0.503254357298475
5 86.25 75.5833333333333 4.58333333333333 4.66666666666667 0.5 0.583333333333333 0.25 0.616238999413257 0.0345199951600241 0.0224866222421159 0.00453934160490514 0.006769540573192 0.135769951287018 0.0114939141863716 0.084848302199783 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0.0106773440106773 0.0108942275608942 0.00308641975308642 0 0.00308641975308642 0.0165684915684916 0.0712438484368309 0.0904705312600049 0.624219631237175 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0.0191498316498316 0.0284090909090909 0.0284090909090909 0.00757575757575758 0.0542255892255892 0.0668181818181818 0.621801346801347
6 108.5 93.5 6.75 5.58333333333333 0.833333333333333 1.41666666666667 0.416666666666667 0.689140314091508 0.0273234096479191 0.0196245609934941 0.00535613720419925 0.00969694694152539 0.0888299418175443 0.012129834608574 0.147898854695235 0 0 0 0 0 0.0028735632183908 0 0 0 0.00268817204301075 0.00556173526140156 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0.0115384615384615 0.0144187384732435 0.0077386770935158 0.00441919191919192 0 0.0111291964740241 0.00836489898989899 0.0947677160622099 0.11415130877033 0.630933110271264 0 0 0 0 0 0.00490196078431373 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00641025641025641 0.0265221030941112 0.0120310723759 0.0190972222222222 0.0261107427055703 0.0445952198297533 0.0974710894525803 0.662432982697942
7 87.5 72.8333333333333 6.08333333333333 6.75 0.833333333333333 1 0 0.728439287576704 0.0227573349600753 0.0227088204735111 0.0121534863232368 0.00904597765877342 0.113039854318707 0.0153575017903845 0.0764977368986086 0 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0.00219298245614035 0 0 0 0 0 0 0.00333333333333333 0.00716030271757826 0.0158292640172289 0.00777552400270453 0.0108165708812261 0.00839987900786449 0 0.0117332123411978 0.0256758664513059 0.0828350134501606 0.1089277220265 0.708682257419335 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0.012962962962963 0.0167467948717949 0.00641025641025641 0.00833333333333333 0.0500801282051282 0.0326388888888889 0.0819978632478632 0.0786324786324786 0.692521367521368
8 117.333333333333 104.666666666667 6.08333333333333 5.16666666666667 0.666666666666667 0.583333333333333 0.166666666666667 0.810760299680797 0.0253854773406668 0.0113333683728567 0.0129609802983694 0.0167542499645164 0.0743088046884848 0.00881007447658087 0.0396867451777277 0 0 0 0.00231481481481481 0 0 0 0 0.00231481481481481 0 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0.00564814814814815 0 0.00173611111111111 0.00173611111111111 0.0121866096866097 0.0105820105820106 0.0276616499442586 0 0.0199889291465378 0.00320512820512821 0.0592765567765568 0.113957559147777 0.734032256994214 0 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0.0333333333333333 0 0.0142857142857143 0.0230654761904762 0 0.0311522967772968 0.0315806878306878 0.0824915824915825 0.771043771043771
9 83.3333333333333 72 4.91666666666667 5.16666666666667 0.666666666666667 0.583333333333333 0 0.73474827646216 0.0363296593681963 0.0162603042798945 0.0044521655243982 0.0094254811643803 0.117277043523112 0.0152836367349455 0.0662234329429134 0 0 0.00231481481481481 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0.00882594417077176 0 0.00808189655172414 0.00485769020251779 0.0104132457580733 0.0138588263588264 0.00485769020251779 0 0 0.0439601389145 0.0686969301827314 0.113108997953065 0.713807049291329 0 0.0043859649122807 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0.00490196078431373 0 0.00641025641025641 0.0350232198142415 0.0693488529014845 0 0.0729687624037469 0.0879022121669181 0.708262549284221
10 85.5833333333333 75.8333333333333 4.16666666666667 4.33333333333333 0.416666666666667 0.75 0.0833333333333333 0.761945957257405 0.0355548078682204 0.0126084295697253 0.0129673748829374 0.0136565345913469 0.0988320709237606 0.0128851727141255 0.0515496521924786 0 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0.0036231884057971 0 0 0.00268817204301075 0.00308641975308642 0.0149533357574498 0.0134271099744246 0.0190972222222222 0.0109567901234568 0.0111111111111111 0.0138888888888889 0.0177004269449715 0.0427699179510774 0.0701345614735427 0.681721585509691 0.0138888888888889 0 0 0 0.0119047619047619 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0238095238095238 0 0 0 0 0 0 0 0.0119047619047619 0 0.0277777777777778 0.0527777777777778 0.0277777777777778 0.0458471267294797 0.077160258042611 0.616242254477549
