"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ie_Proportion" "Transition_oc_Proportion" "Transition_og_Proportion" "Transition_ei_Proportion" "Transition_oe_Proportion" "Transition_ic_Proportion" "Transition_ci_Proportion" "Transition_je_Proportion" "Transition_hi_Proportion" "Transition_ih_Proportion" "Transition_hj_Proportion" "Transition_go_Proportion" "Transition_ec_Proportion" "Transition_eg_Proportion" "Transition_hg_Proportion" "Transition_oj_Proportion" "Transition_gj_Proportion" "Transition_ee_Proportion" "Transition_ge_Proportion" "Transition_ig_Proportion" "Transition_io_Proportion" "Transition_so_Proportion" "Transition_ii_Proportion" "Transition_cc_Proportion" "Transition_gh_Proportion" "Transition_se_Proportion" "Transition_ij_Proportion" "Transition_gi_Proportion" "Transition_jc_Proportion" "Transition_cj_Proportion" "Transition_oo_Proportion" "Transition_jj_Proportion" "Transition_ji_Proportion" "Transition_jh_Proportion" "Transition_jo_Proportion" "Transition_hh_Proportion" "Transition_sh_Proportion" "Transition_gc_Proportion" "Transition_oi_Proportion" "Transition_cg_Proportion" "Transition_jg_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_gg_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ocs_Proportion" "Transition_ies_Proportion" "Transition_jjs_Proportion" "Transition_sso_Proportion" "Transition_ogj_Proportion" "Transition_ooo_Proportion" "Transition_oso_Proportion" "Transition_jsi_Proportion" "Transition_ggs_Proportion" "Transition_ics_Proportion" "Transition_cso_Proportion" "Transition_sos_Proportion" "Transition_iii_Proportion" "Transition_his_Proportion" "Transition_jis_Proportion" "Transition_ihs_Proportion" "Transition_hgs_Proportion" "Transition_csi_Proportion" "Transition_osi_Proportion" "Transition_ses_Proportion" "Transition_jos_Proportion" "Transition_ggg_Proportion" "Transition_soj_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_isg_Proportion" "Transition_isj_Proportion" "Transition_jso_Proportion" "Transition_soo_Proportion" "Transition_igs_Proportion" "Transition_sjj_Proportion" "Transition_esi_Proportion" "Transition_ios_Proportion" "Transition_sjg_Proportion" "Transition_hhh_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_gsi_Proportion" "Transition_sii_Proportion" "Transition_ssi_Proportion" "Transition_sis_Proportion" "Transition_scc_Proportion" "Transition_jsj_Proportion" "Transition_cse_Proportion" "Transition_ssj_Proportion" "Transition_oos_Proportion" "Transition_sjs_Proportion" "Transition_ssc_Proportion" "Transition_jsg_Proportion" "Transition_ggc_Proportion" "Transition_gcs_Proportion" "Transition_jgs_Proportion" "Transition_gsg_Proportion" "Transition_isi_Proportion" "Transition_scs_Proportion" "Transition_cgs_Proportion" "Transition_ssg_Proportion" "Transition_ess_Proportion" "Transition_sgg_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 410.833333333333 321.666666666667 45.5 34.0833333333333 5.16666666666667 3.5 0.916666666666667 0.391647051117266 0.0587621597043737 0.0379371962807178 0.0124687037265082 0.0154877150357218 0.304677137025053 0.0292275935855343 0.149792443524825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000350140056022409 0.000385802469135802 0.000385802469135802 0.000385802469135802 0.000448028673835126 0.000476190476190476 0.000476190476190476 0.000476190476190476 0.000476190476190476 0.000476190476190476 0.000476190476190476 0.000534188034188034 0.000661375661375661 0.000700280112044818 0.000700280112044818 0.000886524822695035 0.00108225108225108 0.00230554739556376 0.00253011719209386 0.00378592177611785 0.00527772559823842 0.00697040185862264 0.00809842747339695 0.00954245765982484 0.0114189254784248 0.0115547174879754 0.019649185850536 0.0260655891592424 0.0296532401356617 0.0892010434239313 0.212027250890357 0.552541829801006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.00136612021857923 0.0016025641025641 0.00177385265700483 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.00223417577413479 0.00481029810298103 0.00610233034847341 0.00763461976320583 0.00884531917444839 0.00997296831320559 0.0154141497726057 0.0198872029298392 0.0318601437380647 0.0444242484473151 0.0865285307040617 0.179184988266314 0.556463788441297
2 389.916666666667 303.333333333333 42.75 34.6666666666667 4.91666666666667 3.41666666666667 0.75 0.364154522496924 0.0511148359484446 0.0419435885128821 0.0136006165372863 0.0115292092689843 0.276575748653207 0.0226124828816302 0.135135662367308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000329380764163373 0.000329380764163373 0.000329380764163373 0.000329380764163373 0.00040453074433657 0.000730994152046784 0.00102126783033902 0.00138423308483848 0 0 0.000733911508499942 0.000809061488673139 0 0 0.000329380764163373 0.00040453074433657 0.000809061488673139 0.00092212908802187 0 0.000396825396825397 0 0.00040453074433657 0.00040453074433657 0 0 0.0032374884605305 0.000396825396825397 0.00366816332968398 0.00282989273965484 0.00478202852435049 0.00632788239167896 0.0121432204091637 0.012861643739238 0.014371955195812 0.0190278167682764 0.0159472841545716 0.0769118399783441 0.212338579943288 0.521749534799167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000816993464052288 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.00181159420289855 0.00185185185185185 0.00193798449612403 0.00238095238095238 0 0 0 0 0.00245098039215686 0.00335677749360614 0.00403760538031638 0 0 0.000905797101449275 0.00173913043478261 0 0.000833333333333333 0 0 0 0 0 0.000833333333333333 0.00193798449612403 0 0 0.0041600790513834 0.00318181818181818 0.00166666666666667 0.00972085577770577 0.0101818741114309 0.0105303205385772 0.0362256546237153 0.0296489287830107 0.0610801733340383 0.202133028988697 0.515453093176178
3 265.833333333333 205.833333333333 28.4166666666667 24.1666666666667 3.83333333333333 2.66666666666667 0.833333333333333 0.347912062748415 0.0666601780609287 0.0615836301133957 0.0155036606778665 0.0178216363146222 0.215532876985325 0.0381206409479918 0.153531980818122 0 0 0 0 0 0 0 0 0 0.000360750360750361 0.000591016548463357 0.000591016548463357 0.000595238095238095 0.000595238095238095 0.00187353629976581 0 0 0 0 0.000595238095238095 0 0.000757575757575758 0.00118625464370145 0 0 0.00135281385281385 0 0 0 0 0 0 0.000360750360750361 0 0 0 0.000360750360750361 0 0.000591016548463357 0 0.00127407665775297 0.00232335143891748 0.000524109014675052 0.00118625464370145 0.0116306266771622 0.0058460403339468 0.0145402428210003 0.0269224560801149 0.00950293854160819 0.0277322916365862 0.0493016047818516 0.105372131799888 0.147928566179541 0.502770780492709 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000786163522012579 0.000786163522012579 0.00138888888888889 0.00138888888888889 0.0014367816091954 0.00163398692810458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00282567049808429 0.00282567049808429 0.00361183402009687 0 0 0 0 0 0 0 0 0 0 0.0014367816091954 0 0 0 0 0.00361183402009687 0.0168476216976324 0.00282567049808429 0.00444444444444444 0.0240749321699089 0.0325947498237108 0.0451150668277824 0.0884226270924136 0.101332356881805 0.131997595421161 0.447278937805063
4 221.583333333333 173.5 24.9166666666667 17 4.25 1.41666666666667 0.5 0.388655498748922 0.0641703123450843 0.0766447995240674 0.00801166437089266 0.0975320483593581 0.208187333987505 0.0259328996137518 0.130865443050419 0 0 0 0 0 0 0 0 0.000868055555555556 0 0 0 0 0.000621890547263682 0 0 0 0 0.000574712643678161 0 0 0.00192614254370141 0.00246311364148585 0 0.000574712643678161 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0.000574712643678161 0.00141242937853107 0.000621890547263682 0.00331903594771242 0.00114942528735632 0.0102338586552958 0.00768620493868965 0.0112382046682656 0.0145935053268438 0.00609888106128766 0.0512678940831919 0.0394270265988646 0.107097861797369 0.148610507744406 0.501404639628235 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0.00105485232067511 0.00117370892018779 0.00238095238095238 0 0 0 0 0 0 0 0 0 0 0 0.0022285612408629 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0.00460951362181528 0.003283413561538 0.00625960403772848 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0 0 0 0.00117370892018779 0.00117370892018779 0.0079849012775842 0.00117370892018779 0.00117370892018779 0.0238195293768899 0.0141308895795452 0.0865460362437103 0.0495331607586765 0.0898771129994891 0.134593360257368 0.478679477326312
5 151.083333333333 116.25 19.3333333333333 11.8333333333333 2.33333333333333 0.916666666666667 0.333333333333333 0.385502149152027 0.0604554268594963 0.0953844360248831 0.0153583223547774 0.0188870235393575 0.162945775814727 0.0307557282113255 0.147377804710073 0 0 0 0 0 0 0.000530785562632696 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0.000530785562632696 0.000544662309368192 0.00138888888888889 0.000544662309368192 0 0 0 0 0 0 0 0 0.00383934890304317 0 0 0 0 0 0 0 0 0.00815217391304348 0.00337638594008021 0.00159235668789809 0.00108932461873638 0.0138362225366034 0.004799812509733 0.00832853429175397 0.0444777923524102 0.00845687492579795 0.018108197530596 0.0636764426240528 0.0869637898800334 0.143249947466819 0.500401900075397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0 0 0.00151515151515152 0 0 0 0 0 0.00151515151515152 0.00151515151515152 0.00297713981924508 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0.00151515151515152 0.0159448099415205 0.00151515151515152 0.00466711650922177 0.00787224471434998 0.0192311069778175 0.0305405395043553 0.176642199712053 0.0687979337698765 0.0958412325333765 0.482510430638333
6 99.4166666666667 74.5833333333333 12.4166666666667 9.08333333333333 0.666666666666667 2 0.583333333333333 0.397743344700804 0.067302248857343 0.0561531843135598 0.018021697733459 0.0369208175824978 0.133724123616251 0.0323169940352972 0.174484255827455 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00112612612612613 0 0 0.000496031746031746 0 0 0 0 0 0 0 0 0 0.000496031746031746 0 0 0 0.00925925925925926 0 0 0.000496031746031746 0.000496031746031746 0.0010336661546339 0.000992063492063492 0.00112612612612613 0.00416248178344953 0.00801971326164875 0.0121381950010982 0.0100454429083461 0.010327339210579 0.00635908524232507 0.0493701982657102 0.0513275715414565 0.109572081907285 0.556489856069099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0 0 0 0 0 0 0 0 0 0.00769412878787879 0 0.00407986111111111 0.013860267892526 0.00525033602150538 0.0132784498207885 0.102061368291207 0.0188770607117381 0.0664828209939097 0.51486137078375
7 85.4166666666667 63.5833333333333 10.75 8.25 1 1.41666666666667 0.416666666666667 0.490561814991085 0.0390312003129612 0.0499522357575826 0.0231861163503342 0.0245145435669629 0.143183117550108 0.0342633991222701 0.195307572348696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000730994152046784 0 0 0.000706214689265537 0 0 0 0.000706214689265537 0.000706214689265537 0 0 0 0.00976874003189793 0 0.00358063237189018 0 0.00757575757575758 0.00707016377767283 0.00214342353057786 0.0192325071568919 0.00666229647050343 0.0420971807030283 0.0340495619156244 0.103642853865703 0.120859707555962 0.640467536824646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0.00198412698412698 0.00198412698412698 0 0 0.00173611111111111 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0.00814636752136752 0.00570436507936508 0.00490196078431373 0.0259833099906629 0.0581126389949919 0.0694564218461277 0.0985779947177006 0.712558234249411
8 53.8333333333333 39.4166666666667 5.33333333333333 6.58333333333333 0.75 1.41666666666667 0.333333333333333 0.469771344896406 0.0657126669932443 0.0436487413906078 0.0273237378943103 0.0493730193185917 0.108575307992505 0.0300501599761629 0.205545021538172 0 0 0 0 0 0.00306103801169591 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0.000868055555555556 0 0 0 0 0 0 0 0 0 0.000868055555555556 0 0 0 0 0 0 0.00567574786324786 0.00385481635481636 0.00727831196581197 0.0333209094722253 0.0131363334488334 0.035715371241687 0.0221327096327096 0.0741631868276605 0.124174110851742 0.589212891679997 0 0 0 0 0 0 0 0 0 0.00590277777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0.00173611111111111 0.00636574074074074 0 0.00173611111111111 0.00612207602339181 0.0087962962962963 0.0529166666666667 0.0414327485380117 0.0944541910331384 0.136075779727096 0.547239278752437
9 64.5833333333333 46.4166666666667 5.91666666666667 8.25 1.33333333333333 1.66666666666667 1 0.558201621391814 0.0499231742981743 0.0637952655437774 0.0173691193284447 0.00871579578353955 0.140753704550828 0.0476044696778824 0.11363684942554 0 0 0 0 0 0 0 0 0 0 0 0.000816993464052288 0 0 0.00587544065804935 0 0 0 0 0.00126262626262626 0 0.00126262626262626 0 0 0 0 0 0 0 0 0.00126262626262626 0 0 0 0 0 0 0.0028735632183908 0 0 0.00614844093104963 0 0.00757575757575758 0.00428921568627451 0.00388623918035683 0 0.00678285237108767 0.00859942132320649 0.0115246595509753 0.016335574368284 0.093960408869131 0.0455299535746735 0.102785872459849 0.679227727980983 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00213675213675214 0.00213675213675214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0.00519551544982226 0 0.00854700854700855 0.0120492487186499 0.00528140622480245 0.0211606823583854 0.161317511902007 0.0428603731515955 0.0884010643444606 0.644503428619507
10 95.4166666666667 71.5833333333333 12.0833333333333 8.25 1.83333333333333 1 0.666666666666667 0.533581228657365 0.0455555157977868 0.0525512956636881 0.0327928716694087 0.0235988623808022 0.153131108308206 0.0195524654322777 0.139236652090466 0 0 0.000527426160337553 0.00105485232067511 0.00210970464135021 0 0 0.000527426160337553 0 0.00154320987654321 0 0 0.000527426160337553 0 0 0 0.000527426160337553 0.00210970464135021 0 0 0 0.00580168776371308 0.00203252032520325 0 0 0.00369198312236287 0 0.00154320987654321 0 0 0.00263713080168776 0.00105485232067511 0.00122549019607843 0 0 0 0.000527426160337553 0 0.000527426160337553 0 0 0.00203252032520325 0.00175291635641598 0.00295844625112918 0.00617474529175671 0.0025599464855408 0.0177680902212348 0.0023792780121894 0.0341490972453839 0.0318709708049343 0.0412630132724994 0.0795121611701408 0.143962377182128 0.605647534533235 0 0 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00314465408805031 0.00347222222222222 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00314465408805031 0.00314465408805031 0 0 0 0.00471698113207547 0 0 0 0 0 0 0 0.00157232704402516 0 0.00347222222222222 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0.0085167714884696 0 0.00694444444444444 0.0255452749556523 0.00354609929078014 0.0739929619646601 0.0979681003015005 0.0586160293607102 0.135230387225068 0.554005557480567
