"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_cj_Proportion" "Transition_oc_Proportion" "Transition_ei_Proportion" "Transition_oj_Proportion" "Transition_ho_Proportion" "Transition_gc_Proportion" "Transition_gh_Proportion" "Transition_ie_Proportion" "Transition_je_Proportion" "Transition_ci_Proportion" "Transition_gj_Proportion" "Transition_eo_Proportion" "Transition_io_Proportion" "Transition_jj_Proportion" "Transition_hg_Proportion" "Transition_ge_Proportion" "Transition_ih_Proportion" "Transition_eg_Proportion" "Transition_ce_Proportion" "Transition_ec_Proportion" "Transition_hi_Proportion" "Transition_hc_Proportion" "Transition_gi_Proportion" "Transition_so_Proportion" "Transition_jc_Proportion" "Transition_ig_Proportion" "Transition_hh_Proportion" "Transition_cg_Proportion" "Transition_ee_Proportion" "Transition_eh_Proportion" "Transition_cc_Proportion" "Transition_jh_Proportion" "Transition_og_Proportion" "Transition_jo_Proportion" "Transition_jg_Proportion" "Transition_se_Proportion" "Transition_ji_Proportion" "Transition_ij_Proportion" "Transition_oi_Proportion" "Transition_oe_Proportion" "Transition_oo_Proportion" "Transition_ii_Proportion" "Transition_sc_Proportion" "Transition_gg_Proportion" "Transition_sh_Proportion" "Transition_sj_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_egs_Proportion" "Transition_oee_Proportion" "Transition_joc_Proportion" "Transition_ogi_Proportion" "Transition_jse_Proportion" "Transition_jgs_Proportion" "Transition_cis_Proportion" "Transition_sse_Proportion" "Transition_csg_Proportion" "Transition_jgg_Proportion" "Transition_sos_Proportion" "Transition_gse_Proportion" "Transition_iso_Proportion" "Transition_ios_Proportion" "Transition_see_Proportion" "Transition_jcs_Proportion" "Transition_sjg_Proportion" "Transition_ssj_Proportion" "Transition_iis_Proportion" "Transition_ehs_Proportion" "Transition_gsj_Proportion" "Transition_gsh_Proportion" "Transition_osg_Proportion" "Transition_ggs_Proportion" "Transition_ies_Proportion" "Transition_gcs_Proportion" "Transition_ggg_Proportion" "Transition_eoe_Proportion" "Transition_sig_Proportion" "Transition_ecc_Proportion" "Transition_sih_Proportion" "Transition_jsg_Proportion" "Transition_gsg_Proportion" "Transition_ise_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_ssi_Proportion" "Transition_ses_Proportion" "Transition_gsi_Proportion" "Transition_his_Proportion" "Transition_shs_Proportion" "Transition_isg_Proportion" "Transition_sgg_Proportion" "Transition_gis_Proportion" "Transition_sis_Proportion" "Transition_scs_Proportion" "Transition_sjh_Proportion" "Transition_jsj_Proportion" "Transition_scc_Proportion" "Transition_ooi_Proportion" "Transition_jhh_Proportion" "Transition_ssc_Proportion" "Transition_sii_Proportion" "Transition_isi_Proportion" "Transition_jos_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 452.083333333333 373 38.8333333333333 34.6666666666667 3.66666666666667 1.66666666666667 0.25 0.390566828893029 0.0411791849564452 0.0412327000144803 0.0229632079319156 0.0119453711313603 0.325240529179414 0.0286288028689794 0.138243375024376 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000612745098039216 0.000656167979002625 0.000656167979002625 0.000656167979002625 0.000656167979002625 0.000656167979002625 0.000656167979002625 0.000656167979002625 0.000737463126843658 0.000750750750750751 0.000757575757575758 0.00117376632268792 0.00131233595800525 0.00131233595800525 0.00131233595800525 0.00131233595800525 0.00131233595800525 0.00171791140227983 0.00204596091692866 0.00260421992705457 0.00495848833374434 0.00523899823193597 0.0055808992529335 0.0116269469725508 0.0131281015919883 0.015285030349511 0.0174753236086255 0.0219051182734268 0.0960865020831246 0.210991070928612 0.576168271428343 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00185185185185185 0.00231481481481481 0.00539955716586151 0.0196384621316687 0.0268149272225359 0.0270655245519376 0.0415309114697702 0.116586870255349 0.228055022925947 0.515338017206224
2 347.166666666667 281.25 35 26.5833333333333 2.5 1.58333333333333 0.25 0.325141754738706 0.0536709604451601 0.0875814329975755 0.0217838732820715 0.011751336824198 0.27066537870037 0.0405330912448766 0.188872171767042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000375375375375375 0.000375375375375375 0.000617283950617284 0.000700280112044818 0.00112612612612613 0.00136803470136803 0.00351559111805013 0.000841750841750842 0 0 0 0 0 0.000841750841750842 0.00136803470136803 0 0.00206640033062405 0.00088042588042588 0 0 0 0 0.000375375375375375 0.000750750750750751 0.0031519742304056 0.000992063492063492 0.00345319536496007 0.00231481481481481 0.004837413696637 0.0101780295385316 0.00991907793820362 0.0131638474329068 0.0168220412850023 0.0273282883418973 0.0675576228314203 0.138713225508675 0.205565921316589 0.48079992872689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102880658436214 0.00102880658436214 0.00102880658436214 0.00102880658436214 0.00102880658436214 0.00102880658436214 0.0014367816091954 0.00193798449612403 0.00219298245614035 0.00219298245614035 0.00308641975308642 0.00674953221063887 0.0014367816091954 0 0 0 0 0 0 0.00102880658436214 0.00102880658436214 0 0.00340975896531452 0.00102880658436214 0.0189277157557963 0.0258847090149309 0.0392033551197381 0.16476920485441 0.148554043523247 0.236569459122312 0.334389029794471
3 214.5 169.083333333333 21.0833333333333 20.9166666666667 1.5 1.41666666666667 0.5 0.354208281418515 0.0351285795358251 0.0761791826590545 0.0235370739460118 0.0136552002374276 0.226699339986631 0.0546967762361553 0.21589556598038 0 0 0 0 0 0 0 0 0 0 0.000387596899224806 0.000387596899224806 0.000387596899224806 0.000387596899224806 0.000387596899224806 0.000672043010752688 0.000775193798449612 0.00105963990997749 0 0.000387596899224806 0 0 0.00153276955602537 0 0 0.0082156699889258 0 0 0 0 0.000387596899224806 0.000387596899224806 0.000387596899224806 0 0 0.000387596899224806 0 0 0 0.00140385706182643 0 0 0.00244057724957555 0.00222243060765191 0.00127590774505221 0.00170035596236969 0.00698494458218357 0.00176665543197394 0.0105701302553836 0.0145855006870184 0.00717353012929052 0.0244700502328072 0.101356425196633 0.157497041023639 0.15738398026949 0.493037328308726 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000915750915750916 0.000915750915750916 0.000915750915750916 0.000915750915750916 0.000915750915750916 0.000915750915750916 0.000915750915750916 0 0 0 0 0 0 0 0.00128205128205128 0.000915750915750916 0.00183150183150183 0 0.000915750915750916 0 0 0 0 0 0 0 0 0 0 0.00622735507246377 0.000915750915750916 0.0148261234538408 0.0376509661835749 0.0121933621933622 0.193489539345518 0.212846656664591 0.150552220525047 0.35994271429054
4 144.833333333333 113.083333333333 14.9166666666667 14.4166666666667 1.58333333333333 0.583333333333333 0.25 0.40373686841542 0.0503304613769441 0.0807042220978107 0.0197220733451563 0.0348630078892252 0.202413852470076 0.0276563534222803 0.180573160983088 0 0 0 0 0 0.000455373406193078 0.000455373406193078 0.000910746812386157 0.00739981785063752 0.00925925925925926 0 0 0 0 0.000816993464052288 0.000910746812386157 0.000455373406193078 0 0 0 0 0.000455373406193078 0 0 0 0 0 0 0 0 0.000455373406193078 0 0.000455373406193078 0.000455373406193078 0.000455373406193078 0 0 0 0 0 0.000455373406193078 0 0 0.000455373406193078 0.00127236687024537 0 0.0178191043400347 0.00136612021857923 0.0094592502316777 0.0364441720918144 0.0199735770549956 0.0174393094217796 0.0741927628118861 0.113388016228128 0.132661444705667 0.468799244431207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0.00117370892018779 0.00117370892018779 0 0 0 0 0 0 0.00117370892018779 0 0 0 0 0 0 0 0.00117370892018779 0 0 0 0.00234741784037559 0 0 0 0 0 0 0 0 0 0 0.008420085731782 0.00724266036857621 0.00673488182210893 0.157585221404165 0.0310678702491954 0.153044162522839 0.137959124327518 0.0884620214574553 0.317934676341713
5 93 72.1666666666667 10.4166666666667 8.58333333333333 1.08333333333333 0.5 0.25 0.398706231186707 0.0359611304927345 0.0844554337896635 0.0248080788595798 0.0363642149243594 0.192190107171525 0.039214019672462 0.188300783902969 0 0 0 0 0 0 0 0 0 0.000534188034188034 0 0 0 0.000534188034188034 0.00106837606837607 0 0 0 0.000534188034188034 0 0 0 0 0 0 0.00252525252525253 0 0 0 0.000534188034188034 0 0 0.000534188034188034 0.00252525252525253 0.00218435305068968 0.00106837606837607 0.000534188034188034 0 0.000534188034188034 0 0 0.000534188034188034 0.000534188034188034 0.00335033503350335 0.00106837606837607 0.00359362859362859 0.0118293560125243 0.00213675213675214 0.0212961392293075 0.0470027291190658 0.0243584935416619 0.0186135440467124 0.0433607142765559 0.13601630996433 0.156972854336716 0.432888131761894 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0 0.00256410256410256 0.00203252032520325 0.0089769647696477 0 0 0 0 0 0 0 0 0.00128205128205128 0 0 0 0.00256410256410256 0.00128205128205128 0.0164529914529915 0.0879299562226391 0.0398504273504273 0.0791692724619554 0.132715759849906 0.0956457160725454 0.346948613716906
6 74.3333333333333 59.8333333333333 7.25 5.75 0.916666666666667 0.5 0.0833333333333333 0.526381033176048 0.045487026042899 0.0652442895385429 0.019252532479017 0.0122208690212982 0.131877465949505 0.0371028991722732 0.162433884620417 0 0 0 0 0.00104166666666667 0 0 0 0 0 0 0.00104166666666667 0.00104166666666667 0.00104166666666667 0 0.00104166666666667 0 0 0 0 0.00104166666666667 0 0 0.00104166666666667 0.00616123642439432 0 0 0 0.00208333333333333 0 0 0 0 0 0.000980392156862745 0.00104166666666667 0 0 0 0.00104166666666667 0 0.00104166666666667 0.00104166666666667 0.00104166666666667 0 0.00104166666666667 0.00208333333333333 0.00104166666666667 0.00519543343653251 0.0458704693998812 0.0203856762003047 0.0250262605042017 0.0319167878475154 0.160139598103994 0.129612117973186 0.472628694619794 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0.00641025641025641 0.0331541218637993 0.0906156156156156 0.0365264458006394 0.0554195634840796 0.0305264942361717 0.0990525264718813 0.461243004791392
7 57.4166666666667 45.6666666666667 5.66666666666667 4.75 0.666666666666667 0.333333333333333 0.333333333333333 0.530276137211029 0.0322180640162947 0.0656763506774772 0.0200328328830368 0.0137939315073204 0.160642161224734 0.0477249016647361 0.129635620815372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0 0 0 0 0.00416666666666667 0.0104166666666667 0 0 0 0.00132275132275132 0 0 0 0 0 0.011714130096483 0.00396825396825397 0.0104166666666667 0 0.00132275132275132 0 0 0 0 0.00622471210706505 0 0.0138888888888889 0.0152116402116402 0 0.00879317814801686 0.019993894993895 0.0187950937950938 0.0323946886446886 0.0243913493913494 0.0983320372789063 0.0946329963170571 0.539357548857075 0 0 0 0 0 0 0 0.00320512820512821 0.00320512820512821 0.0119047619047619 0.0119047619047619 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00682831661092531 0.0965719063545151 0.038980463980464 0.0375272070924245 0.108430458430458 0.114592352092352 0.473900797270363
8 38.5833333333333 29.5833333333333 4.75 2.91666666666667 0.833333333333333 0.25 0.166666666666667 0.470161319647703 0.0122405372405372 0.064366580327051 0.0196640297463275 0.0180708180708181 0.192636614846755 0.0188820760442918 0.120644690743184 0 0 0 0.00208333333333333 0 0 0 0 0 0.00520833333333333 0.00208333333333333 0 0.00416666666666667 0 0 0 0 0.00208333333333333 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0.00208333333333333 0 0 0.00416666666666667 0 0 0.00208333333333333 0 0.00416666666666667 0 0 0.0277777777777778 0.00208333333333333 0 0.00208333333333333 0.00193798449612403 0.00957687338501292 0.00833333333333333 0.00902777777777778 0.0168981481481481 0.0695831865163261 0.0945804948711925 0.15323144233028 0.484168722104769 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.0162907268170426 0 0.0166666666666667 0.012962962962963 0.117811890838207 0.131787802840434 0.0348092453355611 0.472448482316903
9 38.25 29.4166666666667 3.25 4.58333333333333 0.416666666666667 0.333333333333333 0.166666666666667 0.480328255092459 0.0267073418820206 0.0438354836825963 0.0313036757645812 0.01181123350241 0.160337304923078 0.0254673647181717 0.136876007101349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00818452380952381 0.00268817204301075 0.00297619047619048 0 0 0.0053763440860215 0 0 0.00789650537634409 0.00520833333333333 0 0 0.00736215538847118 0.00225225225225225 0.00789650537634409 0.0102939921488309 0.0245649405772496 0.0119917850181008 0.0264064998784863 0.0736601164285799 0.0525247286760445 0.500716955131217 0 0 0 0 0.00641025641025641 0.00641025641025641 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0.00641025641025641 0.0119047619047619 0.054029304029304 0.0405982905982906 0.109381359381359 0.037952787952788 0.44027269027269
10 41 33.3333333333333 3.75 3.25 0.25 0.25 0.0833333333333333 0.43900988311876 0.0572593804864584 0.0797178913937412 0.0181924689067546 0.0189835637985733 0.124848158182098 0.0295624721272302 0.149092848653051 0 0 0.00297619047619048 0 0 0 0 0 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0 0 0.00595238095238095 0.00297619047619048 0 0 0 0 0 0 0.00297619047619048 0 0.00297619047619048 0.00297619047619048 0.00892857142857143 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0.0123626373626374 0 0.00833333333333333 0.00855654761904762 0.0113122171945701 0 0.0324283559577677 0.125983620889774 0.0722596573747889 0.440073154077605 0 0 0 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0238095238095238 0 0 0.0165343915343915 0.0104166666666667 0.0833333333333333 0.0732473544973545 0.12962962962963 0.401124338624339
