"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_jj_Proportion" "Transition_eg_Proportion" "Transition_gh_Proportion" "Transition_io_Proportion" "Transition_oc_Proportion" "Transition_ci_Proportion" "Transition_ge_Proportion" "Transition_je_Proportion" "Transition_ee_Proportion" "Transition_cc_Proportion" "Transition_oi_Proportion" "Transition_ji_Proportion" "Transition_oh_Proportion" "Transition_gc_Proportion" "Transition_hg_Proportion" "Transition_jc_Proportion" "Transition_jh_Proportion" "Transition_se_Proportion" "Transition_ij_Proportion" "Transition_og_Proportion" "Transition_ii_Proportion" "Transition_oj_Proportion" "Transition_cg_Proportion" "Transition_ig_Proportion" "Transition_go_Proportion" "Transition_jg_Proportion" "Transition_gi_Proportion" "Transition_sj_Proportion" "Transition_sh_Proportion" "Transition_so_Proportion" "Transition_gg_Proportion" "Transition_sc_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jcs_Proportion" "Transition_hgs_Proportion" "Transition_iis_Proportion" "Transition_jes_Proportion" "Transition_jsg_Proportion" "Transition_ssj_Proportion" "Transition_see_Proportion" "Transition_igi_Proportion" "Transition_gse_Proportion" "Transition_sos_Proportion" "Transition_ses_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_gig_Proportion" "Transition_igg_Proportion" "Transition_csi_Proportion" "Transition_shs_Proportion" "Transition_gis_Proportion" "Transition_jso_Proportion" "Transition_jis_Proportion" "Transition_csg_Proportion" "Transition_sii_Proportion" "Transition_osg_Proportion" "Transition_ssi_Proportion" "Transition_scs_Proportion" "Transition_jgs_Proportion" "Transition_isi_Proportion" "Transition_ojs_Proportion" "Transition_sig_Proportion" "Transition_gsi_Proportion" "Transition_isg_Proportion" "Transition_igs_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_sis_Proportion" "Transition_ggg_Proportion" "Transition_gsg_Proportion" "Transition_ggs_Proportion" "Transition_ess_Proportion" "Transition_oss_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 484.083333333333 393.916666666667 46.8333333333333 36.6666666666667 4 2.16666666666667 0.5 0.372827460352667 0.0321346967588331 0.0487476282886524 0.01539878758631 0.00709609340891545 0.338043766337578 0.0231550116574185 0.162596555609625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000326797385620915 0.000326797385620915 0.000326797385620915 0.000980392156862745 0.00112612612612613 0.00112612612612613 0.00134230000540161 0.00156096244941862 0.00168409951790634 0.0020493180138413 0.0023578026251823 0.00325203654896515 0.00375009953193918 0.00528448697979392 0.0128813882424402 0.0169770768479839 0.0171233316625589 0.0207664184628203 0.031083742250033 0.114197801618974 0.232842883107086 0.528633215569677 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.00157232704402516 0.00219298245614035 0.00381110543348663 0.00381110543348663 0.0100897366522367 0.0128007282611442 0.015548931520294 0.0220063972678313 0.0379502857956234 0.0545194013409192 0.122317318449603 0.209635189145863 0.498081060778635
2 465.083333333333 362.583333333333 54.75 38 6.16666666666667 2.91666666666667 0.666666666666667 0.370141501114404 0.0379612645433118 0.0493354770127241 0.0168380067670963 0.00488229499848737 0.325735752229727 0.0248347830720082 0.170270920262241 0 0 0 0 0 0 0 0 0 0 0 0 0.000280583613916947 0.000280583613916947 0.000280583613916947 0.000473484848484848 0.000595238095238095 0.000683060109289617 0.000754068462401796 0.000841750841750842 0.000754068462401796 0.000811369176549644 0.000875821709155042 0.000478927203065134 0 0.00115654495777447 0.000754068462401796 0.00159021013924667 0.00115654495777447 0.000473484848484848 0.00360522918585681 0.000280583613916947 0.00734754363880215 0.00397575173971716 0.0177444113057116 0.0148657527496674 0.0160474125829431 0.0106438076947075 0.0307391018932637 0.118270426313688 0.228913610469267 0.535325975696689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000816993464052288 0.000816993464052288 0.000816993464052288 0.000816993464052288 0.000816993464052288 0.00141242937853107 0.00198412698412698 0 0 0 0 0 0.00141242937853107 0.00364185222111443 0.0029266981054025 0 0.000816993464052288 0.00169418644650843 0.00611956771012499 0.0302458289185861 0.0143251098139722 0.0141283474301685 0.0209713996576251 0.0440167702783095 0.135830442245743 0.209887985567811 0.506500865079131
3 370.75 294.166666666667 44.75 24.4166666666667 4.66666666666667 2.41666666666667 0.333333333333333 0.351927205756298 0.0424761896965751 0.0438139422503926 0.022367270837785 0.00616485966721806 0.316390806578253 0.0310067786131849 0.185852946600294 0 0 0 0 0 0 0 0 0 0 0.000310945273631841 0.000621890547263682 0 0 0 0 0 0.000487329434697856 0 0.000621890547263682 0 0 0 0.00124378109452736 0 0 0.000621890547263682 0.00232172470978441 0.00117005180284146 0.000310945273631841 0.000621890547263682 0.00536483576555823 0.00784390154624275 0.0118319090145095 0.0146880969146161 0.0216747482090239 0.0112414477786046 0.0190420212762189 0.0288534726360969 0.153551345904761 0.224999925499911 0.492575955676287 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000801282051282051 0.000801282051282051 0.000801282051282051 0.000801282051282051 0.000801282051282051 0.000801282051282051 0.00173611111111111 0 0 0.000801282051282051 0.0016025641025641 0.00208333333333333 0 0.000801282051282051 0 0 0.000801282051282051 0.0016025641025641 0.0016025641025641 0 0 0.0101879783252332 0 0.000801282051282051 0.000801282051282051 0.00600961538461538 0.0276798139989384 0.00457875457875458 0.0136067888693939 0.0286746082841739 0.0497476841462621 0.145201149973361 0.184324869261646 0.512547497861381
4 262.833333333333 203.583333333333 29.9166666666667 23.0833333333333 4 1.66666666666667 0.583333333333333 0.366479756211539 0.0477958878612169 0.0535535522030802 0.0150479400443938 0.00921685556629161 0.284010047964288 0.0301523202400441 0.193743639909147 0 0 0 0 0 0 0 0 0.00031210986267166 0.000992063492063492 0 0.000694444444444444 0 0 0 0 0 0.00194519899576079 0 0.00031210986267166 0 0 0 0.000624219725343321 0 0.00370920745920746 0.000624219725343321 0.00131866416978777 0.00112612612612613 0.00138888888888889 0.00164858030026569 0.00326386316554856 0.00203091488203848 0.00541853041853042 0.0211831888931624 0.0147959029156583 0.0083559994410158 0.0228521998834499 0.0294606114414649 0.136596478052595 0.200473142993431 0.54087333486053 0 0 0 0 0 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.00163398692810458 0.00177304964539007 0.0028735632183908 0.0036380892122746 0 0 0 0 0.000764525993883792 0.00163398692810458 0 0 0 0.000764525993883792 0 0.000764525993883792 0.0028735632183908 0 0 0.000764525993883792 0.000764525993883792 0 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0 0 0.000764525993883792 0.00714939373141158 0.0372990379093035 0.0126692878986457 0.0158109086727931 0.0459284191995892 0.0499737044092038 0.148939538951798 0.179076280366499 0.478023825795727
5 155.583333333333 120.583333333333 17.5833333333333 13.4166666666667 2.41666666666667 1.25 0.333333333333333 0.452280448981596 0.0453641265839904 0.054523585094026 0.0242372416960976 0.0122505957556364 0.181477776187419 0.0450984587908836 0.18476776691035 0 0 0 0 0 0 0.00245098039215686 0.00245098039215686 0 0 0 0.000886524822695035 0 0 0.00378787878787879 0 0 0 0 0.000363901018922853 0.00397294457578146 0 0 0 0 0.00639204545454545 0 0.00288495419309373 0 0.00161432686054074 0.00415177980680164 0.00308392036128262 0.00540220564841953 0.00490196078431373 0.0257271800014904 0.0213914753853559 0.0152941534874984 0.0305439500066203 0.0281051754820519 0.146694419906141 0.109813295050869 0.580085947581385 0 0 0.00198412698412698 0.00520833333333333 0.00757575757575758 0 0 0 0 0.00286131996658312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0.00520833333333333 0.0386171673613624 0.00087719298245614 0.0151092973074397 0.0565392124215654 0.0434350554416344 0.173672815187908 0.116737933978646 0.524597696550096
6 126 93.8333333333333 14.4166666666667 15 1.41666666666667 1 0.25 0.386362371510618 0.0411129365480303 0.062643497552233 0.0256769636188077 0.00792400953658307 0.167894124470983 0.0464920862269615 0.17856067720245 0 0 0 0 0 0.000391236306729264 0 0 0 0 0 0 0 0.000591016548463357 0.000591016548463357 0 0 0 0 0 0.000391236306729264 0 0 0.000391236306729264 0 0.00168750777653353 0.00117370892018779 0 0.000591016548463357 0 0 0 0.0115873827866299 0.00402424979581284 0.0103196790547941 0.0293049723937754 0.00328947368421053 0.0226269073575311 0.034672476936508 0.119500478793714 0.119594393175531 0.555938677425861 0 0.0014367816091954 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000936329588014981 0 0 0 0.000936329588014981 0 0.000936329588014981 0 0 0 0 0 0.0014367816091954 0 0 0 0 0.00784703801945181 0 0 0 0 0.0174913746978838 0 0.0314256872838248 0.0424172852164739 0.0549951983561848 0.13232871120446 0.141157956073444 0.399987530499174
7 96.6666666666667 70.8333333333333 13.0833333333333 9.83333333333333 1.08333333333333 1.33333333333333 0.416666666666667 0.41539030647558 0.0401139884455109 0.0539712251893063 0.0243562456371781 0.0121382703199054 0.149059335201464 0.0333959046244183 0.188241390773304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000672043010752688 0 0 0 0.00188618925831202 0 0.00677083333333333 0 0.00260416666666667 0 0.0044305057745918 0.00224988312295465 0 0.000980392156862745 0.00507246376811594 0.0240879682284321 0.0107107356149566 0.00473993711556619 0.0408747080322583 0.0418794041031961 0.137279966261907 0.0941523652383163 0.538275104980444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0.0119047619047619 0 0 0 0 0 0.00505698005698006 0.0016025641025641 0.0016025641025641 0 0.0016025641025641 0 0 0 0.0412209355757743 0.00429073614557485 0.0170044113592501 0.0911332991978153 0.0861283429831817 0.0599989168537556 0.063209953129308 0.530308073050008
8 84.9166666666667 64.25 9.75 8.66666666666667 0.833333333333333 0.916666666666667 0.5 0.537096701368666 0.0324446115500013 0.0489576595883303 0.028576177128342 0.0083159893046556 0.136719807484037 0.0250635458150048 0.182825507760963 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0 0.00138888888888889 0 0 0 0 0.00207759412304867 0.00595238095238095 0.0236454271720729 0.0133100485373213 0.00545060999606454 0.0131706677161223 0.0475333268395469 0.0928537884258887 0.107939938617632 0.680776212303601 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0.00185185185185185 0 0.0119047619047619 0.0555696958270488 0 0.0190806878306878 0.0365142081736909 0.0721154465322822 0.064199621419449 0.101975618570446 0.63493625603793
9 56.6666666666667 40.9166666666667 8.91666666666667 5.25 0.916666666666667 0.5 0.166666666666667 0.531244775431111 0.0372572184400603 0.060454951769351 0.0496302246240805 0.00557118499573742 0.161706051532134 0.0296536667774739 0.124481926430052 0 0 0 0.00297619047619048 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00937741199369106 0 0 0.00252525252525253 0 0 0 0 0.00252525252525253 0.0184984768318102 0.0198763427930095 0.0158258246921038 0.0122794948376344 0.0415614478114478 0.0969002734991107 0.195071096718384 0.49924960196278 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.0234997560578956 0.00694444444444444 0.0399097027004004 0.0228684429265825 0.0541853495341867 0.0524919202244784 0.129438907345884 0.484229852834504
10 64.8333333333333 50.3333333333333 7.41666666666667 5.58333333333333 1 0.5 0 0.527379531632998 0.0397344690581967 0.0471416845661686 0.0337043419803219 0.0165532394944104 0.159403755490939 0.0304089622237672 0.145674015553198 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0.00173611111111111 0 0.00694444444444444 0.027318684566025 0.0206505384859043 0.0185846560846561 0.0137388695315525 0.0261016692613735 0.0843263414471899 0.121010660138839 0.508507885556082 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0.00462962962962963 0 0 0.0119047619047619 0 0 0.0349867724867725 0.0285714285714286 0.0125661375661376 0.0328703703703704 0.0439814814814815 0.0680555555555555 0.104497354497354 0.479695767195767
