"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_jo_Proportion" "Transition_ii_Proportion" "Transition_io_Proportion" "Transition_ig_Proportion" "Transition_sj_Proportion" "Transition_jh_Proportion" "Transition_se_Proportion" "Transition_gi_Proportion" "Transition_og_Proportion" "Transition_eg_Proportion" "Transition_gc_Proportion" "Transition_gj_Proportion" "Transition_ci_Proportion" "Transition_so_Proportion" "Transition_sh_Proportion" "Transition_jj_Proportion" "Transition_cc_Proportion" "Transition_jc_Proportion" "Transition_ji_Proportion" "Transition_gg_Proportion" "Transition_co_Proportion" "Transition_si_Proportion" "Transition_jg_Proportion" "Transition_sc_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_iii_Proportion" "Transition_sii_Proportion" "Transition_ios_Proportion" "Transition_igs_Proportion" "Transition_jsg_Proportion" "Transition_sjs_Proportion" "Transition_jhs_Proportion" "Transition_ogs_Proportion" "Transition_egs_Proportion" "Transition_gcs_Proportion" "Transition_gjs_Proportion" "Transition_ssi_Proportion" "Transition_sos_Proportion" "Transition_ggs_Proportion" "Transition_scs_Proportion" "Transition_shs_Proportion" "Transition_csc_Proportion" "Transition_scc_Proportion" "Transition_hss_Proportion" "Transition_sis_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_ess_Proportion" "Transition_jis_Proportion" "Transition_cos_Proportion" "Transition_jgs_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_iss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 219.083333333333 165.333333333333 26.5833333333333 22.3333333333333 3 1.41666666666667 0.416666666666667 0.396235369329037 0.0360722980823499 0.0582077288729241 0.0209817537964767 0.00892999101067617 0.289280991090021 0.0234104226376794 0.166881445180836 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000380517503805175 0.000487329434697856 0.000974658869395711 0.00109649122807018 0.00124836444230821 0.00170068027210884 0.00207115009746589 0.00208119777591402 0.00211296074782917 0.00331413583293282 0.00696786153783574 0.00701193157409515 0.0226805417124966 0.0278921452590857 0.0561707869312357 0.0802257489619765 0.214751130579195 0.568832367239551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00124378109452736 0.00203252032520325 0.00248756218905473 0.00291044776119403 0.00291044776119403 0.00297619047619048 0.00320512820512821 0.00462962962962963 0.00546296296296296 0.00855654761904762 0.0314206991838571 0.047801081286223 0.0646544445051908 0.120330366804565 0.180962568305309 0.517171840796195
2 77.3333333333333 56.6666666666667 6.41666666666667 10.75 1.08333333333333 1.66666666666667 0.75 0.373478894911525 0.0285973050042428 0.0851343995693866 0.0290420277736499 0.0201699375487326 0.228734872521922 0.0319633916259742 0.202879171044567 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0 0 0 0 0.00138888888888889 0 0 0.00866386981947623 0.00208333333333333 0.050682261208577 0.00740740740740741 0.00511695906432749 0.0274085579514211 0.0231941266209001 0.0384781048056743 0.11550362045444 0.0838180814484916 0.634865900108174 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0.00416666666666667 0 0 0.00416666666666667 0 0 0 0.0171957671957672 0 0 0.000886524822695035 0.00450971322849214 0.0439463314463314 0.0893059633346405 0.0423655245463756 0.0727158668069861 0.102579943097982 0.531204510448266
3 65.1666666666667 48.25 6.16666666666667 8.08333333333333 1.25 0.916666666666667 0.5 0.46722926191889 0.0198727730658995 0.0580431054260708 0.0309913519895458 0.00788326372495673 0.245163459880488 0.0312187825656784 0.139598001428471 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000825082508250825 0 0 0 0 0 0.00276306700437486 0 0.0137152777777778 0.00234023402340234 0 0.00396825396825397 0.0219757154748328 0.00303030303030303 0.0471870001441138 0.0458250825082508 0.0239856003832685 0.0830745378372077 0.138022057544033 0.613287787795931 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0.00490566037735849 0 0 0 0 0.0281263390697353 0.0104166666666667 0 0 0.0119047619047619 0 0 0 0 0.0482620843585512 0.0574810738411367 0.0910784998835313 0.0525381722866 0.197139410325222 0.496575004242411
4 65.3333333333333 45.5 6.58333333333333 9.83333333333333 1.25 1.75 0.416666666666667 0.504372327225716 0.019769296935145 0.0557943992027592 0.0260506444997554 0.0131614690121463 0.200602029000313 0.0273021075856103 0.152947726538555 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0.00163398692810458 0 0 0 0 0.0038656267104543 0 0.000992063492063492 0.00328621031746032 0 0.00481154771451484 0.00607987719052054 0.0156215790914067 0.0252400839088668 0.0192654489209527 0.0403203109009029 0.110876886186194 0.109129342767736 0.655543702537489 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0 0 0.00225225225225225 0.0479420930695294 0.19558395381109 0.0366854378473569 0.0574659025933389 0.133378573670927 0.520816346097455
5 58.4166666666667 44.1666666666667 4.33333333333333 7.25 0.833333333333333 1.41666666666667 0.416666666666667 0.535194057467336 0.01655514463177 0.0528034685687549 0.0531210765319705 0.0129443435606361 0.185613248332432 0.0216833632413796 0.122085297665721 0 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0 0 0 0 0 0 0 0.00396825396825397 0 0.00378787878787879 0 0 0.00333333333333333 0.0259622746799935 0.00425925925925926 0.0565298748225578 0.0181092496280355 0.0211950106939795 0.0680576634826994 0.0764939316521992 0.717001186358477 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0 0 0.00925925925925926 0 0 0 0 0.0119598765432099 0 0 0 0 0 0 0 0 0.112654320987654 0.105798907882241 0.0351789373719198 0.0376599440195931 0.0490497076023392 0.63635571300045
6 65.6666666666667 50.9166666666667 5.83333333333333 7 0.5 1.25 0.166666666666667 0.494328958946507 0.0174481042199871 0.058898530862125 0.0335970043009333 0.0176772916375986 0.205618423541076 0.0177455165995782 0.154686169892195 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0 0 0 0 0 0 0 0.00417649371069182 0.00627357008170962 0 0.0159722222222222 0.0253206217096585 0.0100977067183463 0.0143230097543853 0.0181871561588543 0.0491357356780744 0.0874890056647318 0.090646380307261 0.592961431327398 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0.0505952380952381 0 0 0 0.00378787878787879 0 0 0.00378787878787879 0 0.0200892857142857 0.0430648395721925 0.0391281512605042 0.103490790255496 0.0700985697309227 0.578836155674391
7 59.5 44.3333333333333 5.75 7 0.833333333333333 0.916666666666667 0.666666666666667 0.502400804370028 0.0148122016949764 0.0558343868489303 0.0179267128795732 0.00212515025742215 0.184712182571582 0.039079758239911 0.183108803137577 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0.0166666666666667 0.0167366946778711 0.00260416666666667 0.00111111111111111 0.00595238095238095 0.00441576086956522 0.0144019582470669 0.00671355498721228 0.0615492809442618 0.0925918473450117 0.110072148049984 0.658851096148868 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0.0138888888888889 0.0277777777777778 0 0 0.00181159420289855 0 0 0 0.00462962962962963 0.0267713365539452 0.0758382217621348 0.0144335511982571 0.101851851851852 0.0749790254265958 0.653388493078391
8 64.6666666666667 48.8333333333333 6.75 6.83333333333333 0.583333333333333 1.33333333333333 0.333333333333333 0.487262542107452 0.0202076829273349 0.0500163368461675 0.0291262891160673 0.0152299333764839 0.1831368884013 0.0316308064141747 0.18338952081102 0 0 0 0 0 0 0 0 0.00260416666666667 0.00378787878787879 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0.00547772988505747 0.00458829365079365 0.0249108483483483 0.00899621212121212 0.0210214833059661 0.0113450504075504 0.052898104245087 0.101587450779261 0.149058428530411 0.599835464382878 0 0 0 0 0 0 0 0.00520833333333333 0.0166666666666667 0.0208333333333333 0 0 0 0 0.00555555555555556 0 0 0 0.0190972222222222 0 0 0 0.00347222222222222 0 0 0 0 0.0145833333333333 0.0883963178294574 0.0244612864525655 0.121577380952381 0.117378414544112 0.562769933554817
9 60.0833333333333 43.9166666666667 6.33333333333333 7.33333333333333 1.16666666666667 1.08333333333333 0.25 0.492026616100652 0.0182535584180136 0.0442891956782009 0.0346537578986209 0.0170117039045264 0.194835874090392 0.0265180502036597 0.172411243705935 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0 0 0.00260416666666667 0.00280607432559894 0.00146198830409357 0.00146198830409357 0.0104997341839447 0.00725952813067151 0.00903774587985114 0.0208803538865084 0.0111602932061336 0.117718369069206 0.121955544495257 0.684116467668124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0.00694444444444444 0.00320512820512821 0.00320512820512821 0 0 0 0.0448717948717949 0.0777316630764907 0.0474658535003363 0.0150727650727651 0.116637876982705 0.678455089230951
10 63.6666666666667 49.1666666666667 6.08333333333333 6.58333333333333 0.833333333333333 0.833333333333333 0.166666666666667 0.525254622228662 0.0140533257685223 0.0347975634453536 0.0289516471555674 0.0128381528629053 0.212616102200061 0.0258073108247766 0.145681275514152 0 0 0 0 0.0016025641025641 0.00181159420289855 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00957556935817805 0.0016025641025641 0.0016025641025641 0.00705467372134039 0.0150103519668737 0.0124338624338624 0.0216156126482213 0.00872507122507122 0.0284421596921597 0.0811959578263926 0.132749825322289 0.674766035092122 0 0 0 0 0 0.00308641975308642 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0.0208333333333333 0 0 0.00694444444444444 0 0 0 0 0.0310545935545936 0.065628507295174 0.0167316439246264 0.0387626262626263 0.154522248381898 0.653176923790959
