"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_eg_Proportion" "Transition_cc_Proportion" "Transition_ig_Proportion" "Transition_hi_Proportion" "Transition_oo_Proportion" "Transition_ch_Proportion" "Transition_ei_Proportion" "Transition_ci_Proportion" "Transition_oc_Proportion" "Transition_ee_Proportion" "Transition_se_Proportion" "Transition_cg_Proportion" "Transition_gi_Proportion" "Transition_sc_Proportion" "Transition_jj_Proportion" "Transition_gg_Proportion" "Transition_og_Proportion" "Transition_ii_Proportion" "Transition_sj_Proportion" "Transition_so_Proportion" "Transition_jh_Proportion" "Transition_ji_Proportion" "Transition_jg_Proportion" "Transition_sh_Proportion" "Transition_si_Proportion" "Transition_jc_Proportion" "Transition_sg_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jcs_Proportion" "Transition_sjs_Proportion" "Transition_jsg_Proportion" "Transition_jsc_Proportion" "Transition_scc_Proportion" "Transition_igs_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_sos_Proportion" "Transition_eis_Proportion" "Transition_jgs_Proportion" "Transition_cgs_Proportion" "Transition_sjj_Proportion" "Transition_csj_Proportion" "Transition_ggs_Proportion" "Transition_shs_Proportion" "Transition_scs_Proportion" "Transition_csi_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_sis_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_oss_Proportion" "Transition_ess_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 239.416666666667 183 28.4166666666667 22.25 4.08333333333333 1.41666666666667 0.25 0.370681031607668 0.0456507177031809 0.0647399918671604 0.02407994161131 0.00969260177382206 0.278697864516321 0.0358734558719436 0.170584395048594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000524109014675052 0.000548245614035088 0.000661375661375661 0.00123456790123457 0.00144019186075261 0.00225225225225225 0.00225225225225225 0.00232202607592016 0.00291362791362791 0.00532165729755304 0.00595238095238095 0.00646782400640177 0.0112235374421329 0.013104994628507 0.0156217051621572 0.0193106156976322 0.0361436176465197 0.110921047628342 0.178625698065988 0.583158272926259 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00189393939393939 0.00189393939393939 0.00326005961251863 0.00356060606060606 0.016237977085117 0.0225088652482269 0.0362003658401243 0.0365347289383194 0.0506340634281426 0.0949405245558127 0.131892015397258 0.596344554390258
2 85.6666666666667 62.9166666666667 9.75 10.0833333333333 1.41666666666667 1.16666666666667 0.333333333333333 0.368509083842055 0.0329803501133892 0.0606600190110309 0.0196268290472807 0.0288538961460791 0.245991566376658 0.0397774424257583 0.203600813037749 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00111111111111111 0.0104166666666667 0.00625763125763126 0 0 0 0 0 0 0.00146198830409357 0.00101626016260163 0.00324431574431574 0 0.0203909401421203 0.0149644003076857 0.0275418041350896 0.0294276181787052 0.0186374812722695 0.0701389570835511 0.11394940035334 0.101629627667507 0.579811797613311 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0.00225225225225225 0.00245098039215686 0 0 0.00245098039215686 0 0 0 0.00245098039215686 0.0158639469301234 0.0641771235521236 0.0331106478165302 0.00661764705882353 0.13801197771786 0.0723746653893713 0.0790572691307985 0.579578964873082
3 96.3333333333333 78.1666666666667 10.0833333333333 5.75 1.08333333333333 1.16666666666667 0.0833333333333333 0.500367624638718 0.0207837588699852 0.0463676135524825 0.0411297208772685 0.024048432539374 0.225309660910206 0.019316843572294 0.122676345039672 0 0 0 0 0 0 0 0 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.0043859649122807 0 0.00177304964539007 0.0109259259259259 0.00520833333333333 0 0.00177304964539007 0.00531914893617021 0 0 0.00333333333333333 0 0 0 0.047962962962963 0.00970511384845092 0.0100479034465597 0.0258564814814815 0.0108747044917258 0.0323439508937829 0.10251633812664 0.128589466426113 0.592292074008899 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0.0043859649122807 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0.00628306878306878 0.101917989417989 0.00835421888053467 0.00757575757575758 0.0527820777433781 0.102802963290579 0.070405793896506 0.636720235675344
4 49.75 36.9166666666667 5.33333333333333 6 0.666666666666667 0.583333333333333 0.25 0.380171327395597 0.0197207095555917 0.0548364907740689 0.0184067367464314 0.0992669424464977 0.250783005561499 0.0383564051873292 0.138458382332984 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0.00154320987654321 0 0 0 0.00154320987654321 0 0 0 0 0 0 0.00148809523809524 0 0.00148809523809524 0 0.0081204333585286 0.00260416666666667 0.0102572278911565 0.0272659989921895 0.0149211860670194 0.0231911375661376 0.0932597946586042 0.0997004125724364 0.546462270093222 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0.0115384615384615 0.00333333333333333 0.0660622710622711 0.0298534798534799 0 0.0506105006105006 0.0853876678876679 0.132155067155067 0.44721916971917
5 54.6666666666667 40.9166666666667 5.08333333333333 6.83333333333333 0.916666666666667 0.666666666666667 0.25 0.537253737253036 0.0334607251538334 0.0408191578405257 0.014900493025493 0.015189983946003 0.179308979360167 0.0259437722929434 0.153123151127999 0 0 0 0 0 0 0.00757575757575758 0.0036231884057971 0 0 0 0 0.0036231884057971 0.0138888888888889 0 0 0 0 0 0.00198412698412698 0 0.0138888888888889 0 0 0.00130208333333333 0 0.0058831261452607 0.0098864258347017 0.00824652777777778 0.0245071511863116 0.0181321169772257 0.0217561420182766 0.0793876492489686 0.158646837633672 0.544334567361882 0 0 0 0 0 0 0 0 0.00520833333333333 0.0208333333333333 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0.00181159420289855 0.0166666666666667 0.0565818718791865 0.0109554597701149 0.0236865942028986 0.0634649193260513 0.0478087068160598 0.188574283411515 0.439408237057942
6 57 41.8333333333333 7.08333333333333 6.33333333333333 1 0.25 0.416666666666667 0.438393203155214 0.0251112720508715 0.0387240821666627 0.00631115510960626 0.00489211904133587 0.225892748497414 0.0422796685023192 0.135062418143243 0 0 0 0.00126262626262626 0.00231481481481481 0.00462962962962963 0 0 0 0 0 0 0 0 0 0.00126262626262626 0 0 0 0.00231481481481481 0 0 0.0137626262626263 0 0.0113304093567251 0.00148809523809524 0.034469696969697 0 0.00611772486772487 0.0224657287157287 0.00777116402116402 0.00986050986050986 0.0678898951925268 0.102852459431407 0.543540511632617 0 0 0 0 0 0 0.00641025641025641 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0157967032967033 0.0335164835164835 0.0145833333333333 0 0.0203733766233766 0.0244378306878307 0.0664331039331039 0.645371989121989
7 61.75 45.4166666666667 6.5 7.33333333333333 0.75 1.25 0.5 0.462470915659531 0.0164979984954949 0.0428370216961974 0.0432187760053615 0.0114036910386569 0.227441910187322 0.0234947391601141 0.172634947757322 0 0.00378787878787879 0.00899621212121212 0 0 0 0 0 0 0 0 0 0.00555555555555556 0.00378787878787879 0 0 0 0 0 0 0 0.00132275132275132 0.0152364291515235 0 0 0 0.0200322803506766 0.00555555555555556 0.0192490947207928 0.0141610115077096 0.0207707707707708 0.0119650900900901 0.116518310916896 0.138101627006685 0.614959553354023 0 0 0 0.0104166666666667 0.0104166666666667 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0254385964912281 0.0138888888888889 0.0209355604848648 0.0470475546540455 0 0.0190631808278867 0.0991177656785642 0.137570455183485 0.605687997791037
8 61.25 45.0833333333333 7.33333333333333 6.66666666666667 0.916666666666667 0.833333333333333 0.416666666666667 0.530343728547097 0.0419091553254665 0.0466095833439893 0.0132168748776557 0.00882257839019011 0.192073949054519 0.0232025489108504 0.143821581550231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0 0 0 0.0036231884057971 0 0 0.00120772946859903 0.0036231884057971 0 0 0.0190492681812811 0.00241545893719807 0.0130706705470794 0.025844593735861 0.0118760064412238 0.0199380258765069 0.158790697475626 0.172391650353422 0.565193331695418 0 0 0.00378787878787879 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0.0223063973063973 0.00617283950617284 0.0353174603174603 0.0367283950617284 0 0.0384399551066218 0.104577521244188 0.103379028379028 0.548280423280423
9 49.9166666666667 36.6666666666667 4.83333333333333 5.83333333333333 0.833333333333333 1.41666666666667 0.333333333333333 0.507366583965634 0.0413141970250888 0.0373540019921599 0.0124295843045843 0.0144450010678081 0.226876818086613 0.0283334274562345 0.131880386101877 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0 0 0.00414389799635701 0 0 0 0.00277777777777778 0 0 0 0.0137037037037037 0 0.0352043849869937 0.0218721343596611 0.0303030303030303 0.0116185264011351 0.068626316951112 0.189170840288312 0.620912720565251 0 0.00670077972709552 0.00416666666666667 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0.0103785103785104 0.0365072001585159 0 0 0.0197535103785104 0.0787367724867725 0.0710920597433755 0.594886722682775
10 55.25 39.5 5.08333333333333 8.66666666666667 1.08333333333333 0.583333333333333 0.333333333333333 0.569611697701791 0.0227356527788992 0.0395905838507244 0.0147042113573867 0.015433917402521 0.172421465099274 0.0212897351155125 0.144212736693891 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0.00277777777777778 0.0028735632183908 0.00520833333333333 0 0 0.0028735632183908 0 0 0 0.00277777777777778 0 0.00120772946859903 0 0.0130848834095497 0 0.00730867059467465 0.0319803639846743 0.00833951303917933 0.0311209532014511 0.0545942888018055 0.123150883520319 0.710717571669949 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0.00833333333333333 0 0 0 0 0 0.00983796296296296 0.0562937062937063 0.013986013986014 0 0.0503909285159285 0.0502327533577534 0.176236841861842 0.61994486994487
