"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oc_Proportion" "Transition_ij_Proportion" "Transition_oe_Proportion" "Transition_ej_Proportion" "Transition_jc_Proportion" "Transition_go_Proportion" "Transition_eo_Proportion" "Transition_ch_Proportion" "Transition_gj_Proportion" "Transition_eg_Proportion" "Transition_ee_Proportion" "Transition_hh_Proportion" "Transition_cj_Proportion" "Transition_jg_Proportion" "Transition_jj_Proportion" "Transition_sh_Proportion" "Transition_hi_Proportion" "Transition_ih_Proportion" "Transition_se_Proportion" "Transition_oi_Proportion" "Transition_gh_Proportion" "Transition_hg_Proportion" "Transition_ic_Proportion" "Transition_jo_Proportion" "Transition_io_Proportion" "Transition_gc_Proportion" "Transition_og_Proportion" "Transition_ji_Proportion" "Transition_ec_Proportion" "Transition_ie_Proportion" "Transition_cc_Proportion" "Transition_cg_Proportion" "Transition_ci_Proportion" "Transition_oo_Proportion" "Transition_ge_Proportion" "Transition_ei_Proportion" "Transition_so_Proportion" "Transition_sj_Proportion" "Transition_ig_Proportion" "Transition_sc_Proportion" "Transition_ii_Proportion" "Transition_gi_Proportion" "Transition_gg_Proportion" "Transition_js_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_esi_Proportion" "Transition_cgs_Proportion" "Transition_jsg_Proportion" "Transition_jgs_Proportion" "Transition_gsj_Proportion" "Transition_his_Proportion" "Transition_eee_Proportion" "Transition_sse_Proportion" "Transition_gii_Proportion" "Transition_sgi_Proportion" "Transition_jsc_Proportion" "Transition_jcs_Proportion" "Transition_osg_Proportion" "Transition_ics_Proportion" "Transition_chs_Proportion" "Transition_esc_Proportion" "Transition_hgs_Proportion" "Transition_gih_Proportion" "Transition_oos_Proportion" "Transition_gcs_Proportion" "Transition_cse_Proportion" "Transition_see_Proportion" "Transition_osc_Proportion" "Transition_osi_Proportion" "Transition_iig_Proportion" "Transition_shh_Proportion" "Transition_scc_Proportion" "Transition_ish_Proportion" "Transition_csi_Proportion" "Transition_ihg_Proportion" "Transition_gcc_Proportion" "Transition_gig_Proportion" "Transition_ccc_Proportion" "Transition_sgc_Proportion" "Transition_iie_Proportion" "Transition_jjj_Proportion" "Transition_ecs_Proportion" "Transition_ggi_Proportion" "Transition_ssj_Proportion" "Transition_sjj_Proportion" "Transition_jis_Proportion" "Transition_shg_Proportion" "Transition_ses_Proportion" "Transition_ies_Proportion" "Transition_iii_Proportion" "Transition_ghs_Proportion" "Transition_scg_Proportion" "Transition_sig_Proportion" "Transition_eis_Proportion" "Transition_hsg_Proportion" "Transition_eii_Proportion" "Transition_cgg_Proportion" "Transition_esg_Proportion" "Transition_sos_Proportion" "Transition_csc_Proportion" "Transition_csg_Proportion" "Transition_ges_Proportion" "Transition_oog_Proportion" "Transition_soo_Proportion" "Transition_gso_Proportion" "Transition_ccs_Proportion" "Transition_ggg_Proportion" "Transition_cis_Proportion" "Transition_isi_Proportion" "Transition_iis_Proportion" "Transition_gis_Proportion" "Transition_isg_Proportion" "Transition_gsi_Proportion" "Transition_ssg_Proportion" "Transition_ggs_Proportion" "Transition_scs_Proportion" "Transition_ssi_Proportion" "Transition_igs_Proportion" "Transition_sii_Proportion" "Transition_sis_Proportion" "Transition_sgg_Proportion" "Transition_gsg_Proportion" "Transition_ess_Proportion" "Transition_jss_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 491.166666666667 364.083333333333 55.5833333333333 55 9.08333333333333 4.91666666666667 2.5 0.395400960120488 0.0223856353952329 0.0460986373182854 0.0105905269290881 0.0172083281455202 0.333356201879507 0.0294838883933092 0.145475821818569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000208855472013367 0.000208855472013367 0.000281531531531532 0.00029655990510083 0.00030750307503075 0.000389408099688474 0.000389408099688474 0.000389408099688474 0.000389408099688474 0.000516358547044117 0.000516358547044117 0.000563063063063063 0.000563063063063063 0.00067181843497633 0.000778816199376947 0.000946139723021443 0.000947087640636028 0.000978442706250755 0.00166947250280584 0.00201281889366002 0.00273408623352778 0.00365661783619646 0.00412176344415013 0.00648902116602808 0.00750259157481068 0.00863197820114714 0.0104780556195048 0.0108880365145123 0.0148449859699793 0.0190634349041692 0.0367538285396108 0.099027395768792 0.210916324604325 0.55186750244786 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000462962962962963 0.000566893424036281 0.000566893424036281 0.000566893424036281 0.000566893424036281 0.000566893424036281 0.000566893424036281 0.000566893424036281 0.000566893424036281 0.000566893424036281 0.000706214689265537 0.000886524822695035 0.00101626016260163 0.00101626016260163 0.00101626016260163 0.00113378684807256 0.00141242937853107 0.00157407407407407 0.00159674981103553 0.00224779147770219 0.00274338140032192 0.0033775680266998 0.00338977668113546 0.00347214215252956 0.00354852182488574 0.00372205781474112 0.00390601379440665 0.00418256733587744 0.00427123229034161 0.00446402186761229 0.00505846608036571 0.00647898750221129 0.0107774574856669 0.0111164025639219 0.0132545006615056 0.0148653598370351 0.019258263050462 0.0700100007826666 0.103181812416669 0.205203878131774 0.4855462329307
2 413.833333333333 306.666666666667 44.25 47.5833333333333 6.91666666666667 6.08333333333333 2.33333333333333 0.34139696476715 0.0286637758488535 0.059742735511188 0.0142475397947347 0.0248892723131699 0.338718923428685 0.0319589552774364 0.160381833058782 0 0 0 0 0 0 0 0 0 0 0 0.000271444082519001 0.000330687830687831 0.00051440329218107 0.000661375661375661 0.000666388790259917 0.000713010865501731 0.000770446078526985 0.00118110822975349 0 0.000805374545027592 0.000997076620947748 0 0 0 0.000321750321750322 0.000394944707740916 0.000829689826695815 0.000330687830687831 0.000923882234957154 0.000914944726019645 0.00176560534114905 0.000318066157760814 0.000318066157760814 0.000820752317758306 0 0.00101938341452134 0.00183354638219165 0.00357923068575157 0.00159989590143505 0.00681131456164494 0.00131381381381381 0.0073303789733465 0.00976860207393902 0.0097280735846686 0.0111342736618759 0.0211621549520604 0.0115508627565627 0.0170234273357218 0.0464711313571228 0.111213211034847 0.210848076539548 0.513762917351887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000599520383693046 0.000599520383693046 0.000599520383693046 0.000599520383693046 0.000599520383693046 0.000599520383693046 0.000599520383693046 0.000599520383693046 0.000661375661375661 0.000661375661375661 0.000661375661375661 0.000661375661375661 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000946969696969697 0.000946969696969697 0.00192756271173537 0.002 0.00181878306878307 0 0 0 0 0 0 0 0 0.000599520383693046 0.000599520383693046 0.00181878306878307 0 0.000599520383693046 0.000599520383693046 0 0.00186041642876175 0 0.00432564424650756 0.00288541711786564 0.00133333333333333 0.00546876178710711 0.00452708309542842 0.00504887518556583 0.00186570743405276 0.00179856115107914 0.00126618705035971 0.00280738612573145 0.00552468501389365 0.00583579197248262 0.0057155418522325 0.00259422937840204 0.0235201395533819 0.0186381828706314 0.00694009554261353 0.0186510038208779 0.0222661340483872 0.0897163170875059 0.126475360018221 0.216260314720334 0.400709349005517
3 287.25 201.25 33.8333333333333 38.8333333333333 5.91666666666667 5.41666666666667 2 0.459633160191141 0.0245813217102685 0.0538692001279392 0.0103509005073174 0.0254492869905576 0.26433830760242 0.0316694651637955 0.130108357706562 0 0 0 0 0 0 0 0.000229568411386593 0.000229568411386593 0.000801282051282051 0.00231481481481481 0 0 0.00111498719420648 0 0 0 0.000770693952512134 0.00231481481481481 0 0.000801282051282051 0.000229568411386593 0.000229568411386593 0.000801282051282051 0 0.00142317259854573 0 0 0 0.00185185185185185 0 0 0.000229568411386593 0.000496031746031746 0 0 0.000229568411386593 0.000229568411386593 0.00155885780885781 0.00156939878032739 0.00207137947522563 0.00227113003275794 0.00925893122849672 0.014969176083896 0.0030273182889462 0.011105300596478 0.0160780634934757 0.0193930066975648 0.0144500113121998 0.0370546192819822 0.0960531251315294 0.153248792036284 0.603593697745648 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000457875457875458 0.000457875457875458 0.000457875457875458 0.000457875457875458 0.00122549019607843 0.00136612021857923 0.00189393939393939 0.00462962962962963 0.00462962962962963 0 0 0 0 0 0 0 0.000457875457875458 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0.000457875457875458 0 0 0 0 0 0 0.000457875457875458 0 0 0 0.00274098048070651 0.00259161041465767 0.00682024946730829 0.0101571470533259 0.0014866820422376 0 0 0.00259161041465767 0 0.00691273465246068 0.000816993464052288 0.0114821910546684 0.0218243892160498 0.0118190884830691 0.0200689212557118 0.0150283711423921 0.0642250747173784 0.133034996645935 0.15701291261759 0.510050144692533
4 158.5 109.166666666667 18.9166666666667 23 3.16666666666667 2.91666666666667 1.33333333333333 0.464329172770417 0.0394146864580218 0.0553255617776336 0.0194323459835216 0.0307922009976077 0.238184247052805 0.0270792072572729 0.12544257770272 0 0 0 0 0.00040650406504065 0.00101626016260163 0.0277777777777778 0 0 0.000591016548463357 0 0 0 0.00121001683501683 0 0.000578703703703704 0 0 0.000591016548463357 0 0.000578703703703704 0 0.00040650406504065 0.000578703703703704 0 0 0 0 0 0.00138888888888889 0 0.00040650406504065 0.00040650406504065 0 0.00181159420289855 0 0.000578703703703704 0.000997520613504007 0.00418180245632244 0.000813008130081301 0.00040650406504065 0.000591016548463357 0.00360698715682809 0.00683093659855711 0.00359360885275519 0.00892797765033227 0.00862912200820774 0.0418029555489023 0.0276246721921336 0.0273120915298652 0.0870003169430329 0.180479644272046 0.55887443339484 0 0 0 0 0 0 0 0 0 0 0.000915750915750916 0.000915750915750916 0.000915750915750916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0 0 0.00126262626262626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.000915750915750916 0.000915750915750916 0.0036231884057971 0 0 0.000915750915750916 0 0.000915750915750916 0.00389194139194139 0.00595238095238095 0.00645579074497839 0.0118232056280302 0.011699049742528 0.015805560162921 0.0516953185703186 0.0518694360594628 0.0644927604672074 0.159165039765726 0.515360001681512
5 107.25 75.75 9.83333333333333 15.4166666666667 2.33333333333333 2.58333333333333 1.33333333333333 0.515311400911878 0.0234207066363351 0.0513997874004762 0.0362868812044351 0.0243319987948542 0.227003982962176 0.0150046487545441 0.107240593335301 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0.000833333333333333 0 0 0.00154320987654321 0 0 0 0 0 0 0 0.00833333333333333 0.00166666666666667 0 0 0.000833333333333333 0 0 0 0 0 0.00154320987654321 0 0.00263140252078305 0 0.00272727272727273 0.0032489529440749 0.0348135096610706 0.00953029778219532 0.00460210157481544 0.0204808493406302 0.0107083626338767 0.0171714766057434 0.0146549911473051 0.0341057544090176 0.0607668529570509 0.118452406567682 0.648266262955643 0 0 0 0 0 0 0.00252525252525253 0.00252525252525253 0.00297619047619048 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0.00297619047619048 0 0 0 0.00268817204301075 0.00297619047619048 0 0.00595238095238095 0 0 0 0.00154320987654321 0 0.005501443001443 0.00595238095238095 0.00297619047619048 0.0148583495357689 0.0161660439233969 0.0153002067830499 0.0296211670559394 0.015869411821341 0.0593072414150846 0.0576771751364572 0.125626482400281 0.617351808518396
6 66 49.0833333333333 5.75 7.83333333333333 1.16666666666667 1.41666666666667 0.75 0.67343769477461 0.0191956290919753 0.0324604305992621 0.0154144592104662 0.043065233665556 0.146282077517292 0.0138150298746799 0.056329445266159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0.00757575757575758 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0.004940424295263 0 0.00166666666666667 0 0 0.0107305194805195 0.0105231491848726 0.00982800982800983 0.00906332803391627 0.0164662269925428 0.00885934321418192 0.0122789902201667 0.0287736667148432 0.0335888582723621 0.0894436871120063 0.668423534571054 0 0 0 0 0.00378787878787879 0.0277777777777778 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0146825396825397 0 0.00378787878787879 0 0 0.00378787878787879 0 0 0.0107323232323232 0.0234528543352073 0.00462962962962963 0.0134908664320429 0.00490196078431373 0.0426974985798515 0.0217400246812012 0.108613173319056 0.621220745485451
7 51.8333333333333 38.5 4.58333333333333 5.5 1.5 0.916666666666667 0.75 0.591900775729904 0.0632301812187199 0.0201762521193976 0.0337813133444935 0.0333370290227566 0.106603080127106 0.00942412148444125 0.0582139136198484 0 0 0 0 0.00189393939393939 0 0 0 0 0 0 0 0 0.00101626016260163 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0.00462962962962963 0 0 0 0 0 0 0 0 0.00320512820512821 0.00189393939393939 0 0.00462962962962963 0.0106902356902357 0.00699916614550761 0 0.0222122588872948 0.0106716886377903 0.0291446312857688 0.00189393939393939 0.0141423889023537 0.0328989166548577 0.078176865133256 0.604332755403148 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0.00320512820512821 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0.00925925925925926 0 0 0 0 0 0 0.0152116402116402 0.00595238095238095 0.021043771043771 0.0146359427609428 0.0078042328042328 0.0312334656084656 0.00320512820512821 0.0202149702149702 0.0296425796425796 0.108479252229252 0.548065591815592
8 54 39.3333333333333 4.58333333333333 6.83333333333333 1.33333333333333 1.33333333333333 0.5 0.627818282906377 0.0139973308027495 0.050989836882694 0.0165156846437635 0.0259678409036989 0.100604919218247 0.022815843844169 0.0579569274649683 0 0 0.00520833333333333 0.00641025641025641 0 0 0 0 0 0.00378787878787879 0 0 0 0.00101626016260163 0.00101626016260163 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0.00104166666666667 0.00641025641025641 0 0 0 0 0.00320512820512821 0.00895276809910956 0 0 0.00104166666666667 0.011875 0.00701703445605885 0.00757575757575758 0.0193816447779862 0.0205424910455398 0.0118110132490214 0.00717686690755796 0.0238174256111248 0.0500631786912275 0.0701601671063053 0.642745355931332 0 0.00177304964539007 0.00185185185185185 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.0208333333333333 0.00757575757575758 0 0 0 0 0.00641025641025641 0 0 0 0.00185185185185185 0 0 0.00641025641025641 0 0.0346013324736729 0.0037037037037037 0.00675381263616558 0.0251629084075893 0.00868983957219251 0.0392230446047718 0.0495499870499871 0.0804105324286801 0.613603040449098
9 49 33.75 6.16666666666667 6 1 1.25 0.75 0.616173508609099 0.024169476700869 0.0262930917480657 0.0434354618137279 0.0514226804783322 0.0899680450490159 0.00844555388649194 0.0567588483810654 0 0.00297619047619048 0 0 0.000859106529209622 0.00277777777777778 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0.00163398692810458 0 0 0 0 0 0 0.0043859649122807 0.0113095238095238 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0.00297619047619048 0.00462962962962963 0 0.00297619047619048 0.0534787107706724 0.0061299777643016 0.00584975369458128 0.00527087123509197 0.025873832089803 0.030509127457121 0.00826651393661703 0.0238548889193145 0.0504616400127859 0.0523903429808815 0.61079718753114 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0357142857142857 0 0 0 0 0 0 0.0246527777777778 0 0 0 0.00520833333333333 0 0 0.0194444444444444 0.00520833333333333 0.00555555555555556 0.0129707024653833 0.0104166666666667 0.00772543059777102 0.0138888888888889 0.0402777777777778 0.076846926713948 0.0496274484971293 0.575795761567038
10 59 42.5 5.83333333333333 6.58333333333333 1.91666666666667 1.33333333333333 0.75 0.650809365924096 0.00596079620469864 0.01351777917086 0.0298985174192438 0.0154103055338614 0.127951105169494 0.0117493349581764 0.0613694622862359 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000566893424036281 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0.0050599700149925 0 0 0 0 0.000566893424036281 0 0 0 0 0 0 0 0.00555555555555556 0.00185185185185185 0.00490196078431373 0.0149196843488353 0 0.0197646683194351 0.0504603659050762 0.0179630136327029 0.0618244574191496 0.0036231884057971 0.00259941374923953 0.0446585512473172 0.0899048733472985 0.587543364452715 0 0 0 0.000992063492063492 0 0 0 0 0 0.0104166666666667 0 0 0.0196759259259259 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0.0104166666666667 0 0.00320512820512821 0.0369352869352869 0.00320512820512821 0 0.00277777777777778 0 0.00320512820512821 0.0163995726495727 0.00915750915750916 0.00694444444444444 0.00396825396825397 0 0.0490689865689866 0.0812830687830688 0 0.00496031746031746 0.0303876678876679 0.0631257631257631 0.544172262922263
