"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gj_Proportion" "Transition_cj_Proportion" "Transition_oo_Proportion" "Transition_gc_Proportion" "Transition_ij_Proportion" "Transition_hh_Proportion" "Transition_jj_Proportion" "Transition_ic_Proportion" "Transition_cg_Proportion" "Transition_hc_Proportion" "Transition_co_Proportion" "Transition_gi_Proportion" "Transition_ei_Proportion" "Transition_je_Proportion" "Transition_ge_Proportion" "Transition_hi_Proportion" "Transition_og_Proportion" "Transition_so_Proportion" "Transition_oi_Proportion" "Transition_ch_Proportion" "Transition_jo_Proportion" "Transition_hg_Proportion" "Transition_jg_Proportion" "Transition_sj_Proportion" "Transition_jc_Proportion" "Transition_ih_Proportion" "Transition_ci_Proportion" "Transition_ec_Proportion" "Transition_eg_Proportion" "Transition_se_Proportion" "Transition_jh_Proportion" "Transition_ji_Proportion" "Transition_cc_Proportion" "Transition_eh_Proportion" "Transition_sh_Proportion" "Transition_gg_Proportion" "Transition_ii_Proportion" "Transition_ig_Proportion" "Transition_sc_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_gjs_Proportion" "Transition_shh_Proportion" "Transition_ooo_Proportion" "Transition_ssc_Proportion" "Transition_soo_Proportion" "Transition_sjc_Proportion" "Transition_ssj_Proportion" "Transition_jcc_Proportion" "Transition_gse_Proportion" "Transition_esi_Proportion" "Transition_sse_Proportion" "Transition_oos_Proportion" "Transition_igc_Proportion" "Transition_gcs_Proportion" "Transition_cgs_Proportion" "Transition_sso_Proportion" "Transition_hsg_Proportion" "Transition_ics_Proportion" "Transition_gis_Proportion" "Transition_ish_Proportion" "Transition_hgs_Proportion" "Transition_ggg_Proportion" "Transition_scc_Proportion" "Transition_seg_Proportion" "Transition_jsg_Proportion" "Transition_scs_Proportion" "Transition_sco_Proportion" "Transition_gsi_Proportion" "Transition_jso_Proportion" "Transition_hch_Proportion" "Transition_gii_Proportion" "Transition_hsi_Proportion" "Transition_ses_Proportion" "Transition_cos_Proportion" "Transition_isj_Proportion" "Transition_sos_Proportion" "Transition_osh_Proportion" "Transition_osg_Proportion" "Transition_jis_Proportion" "Transition_ssg_Proportion" "Transition_igs_Proportion" "Transition_jsc_Proportion" "Transition_jgs_Proportion" "Transition_sis_Proportion" "Transition_ihg_Proportion" "Transition_hig_Proportion" "Transition_ogs_Proportion" "Transition_cis_Proportion" "Transition_osi_Proportion" "Transition_sii_Proportion" "Transition_ssi_Proportion" "Transition_jcs_Proportion" "Transition_iii_Proportion" "Transition_ois_Proportion" "Transition_sjs_Proportion" "Transition_shs_Proportion" "Transition_isi_Proportion" "Transition_csg_Proportion" "Transition_sgg_Proportion" "Transition_esg_Proportion" "Transition_iis_Proportion" "Transition_ehs_Proportion" "Transition_isg_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_jss_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 528.416666666667 424.916666666667 49.6666666666667 45.5833333333333 3.66666666666667 4 0.583333333333333 0.329224786746693 0.0288264951838549 0.0502001096719534 0.0118400744860183 0.00923194640529276 0.368094285378403 0.0327060967756389 0.169876205352146 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000230202578268877 0.000230202578268877 0.000230202578268877 0.000230202578268877 0.000429553264604811 0.00043859649122807 0.000452898550724638 0.000460405156537753 0.000527426160337553 0.000551876379690949 0.000683101128993514 0.000688078036144335 0.00069060773480663 0.000700280112044818 0.000771604938271605 0.000896471949103528 0.000896471949103528 0.000905797101449275 0.00119047619047619 0.00124123292727944 0.00158053971345111 0.00161201748360697 0.00162109042512032 0.00169538266522222 0.00235967563608035 0.00372163196874812 0.00687371973432414 0.0119056330906481 0.0119705734854725 0.0129074657559855 0.0192620513420784 0.0406139228468528 0.11081973542785 0.23556559423955 0.525045277801138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000481695568400771 0.000481695568400771 0.000481695568400771 0.000481695568400771 0.000481695568400771 0.000481695568400771 0.000481695568400771 0.000481695568400771 0.000963391136801541 0.00101626016260163 0.00136612021857923 0.00138888888888889 0.00138888888888889 0.00156394665065185 0.0016025641025641 0.00163398692810458 0.00163398692810458 0.00166666666666667 0.00256595523936564 0.0029040404040404 0.00314913844325609 0.00434419316818919 0.00952037457861678 0.0197266958112372 0.0236121312855417 0.0247449165919533 0.0713695654399378 0.11343142462135 0.252640141838909 0.453913157458546
2 466.5 362.833333333333 50.1666666666667 43.5 5.58333333333333 3.41666666666667 1 0.314785039322828 0.0295560707455972 0.0690077092886021 0.0125681430957524 0.0176169392810252 0.332721747210729 0.0379263967092351 0.185817954346232 0 0 0 0 0 0 0 0 0 0.000217013888888889 0.000217013888888889 0.000651041666666667 0.000793650793650794 0.000841750841750842 0 0 0 0.00200041630068804 0 0.000217013888888889 0 0.000398724082934609 0.00360797528871496 0.00220733723575095 0.00247715247715248 0.000217013888888889 0.000410509031198686 0 0 0.000217013888888889 0.000793650793650794 0.000410509031198686 0 0.000217013888888889 0.00123678711897738 0.00199250896701881 0.00255712917350848 0.00244094694382686 0.00450936285830175 0.00569957245553264 0.00673146804384577 0.0110299400419517 0.015060683934251 0.0126409723255555 0.0238828616210233 0.0424072090554868 0.119154922100365 0.232114183854049 0.502646650629616 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000524109014675052 0.000524109014675052 0.000524109014675052 0.000524109014675052 0.000524109014675052 0.000524109014675052 0.000524109014675052 0.000524109014675052 0.000524109014675052 0.000524109014675052 0.000524109014675052 0.000868055555555556 0.00112612612612613 0.00112612612612613 0.00139216457023061 0.00177304964539007 0.00323503794948364 0.00447964312940728 0 0 0 0 0 0.000524109014675052 0.0010482180293501 0.00277777777777778 0.000524109014675052 0 0.00231481481481481 0.00139216457023061 0.00157232704402516 0 0.00286223723723724 0 0.00217434415547623 0 0.0010482180293501 0.00112612612612613 0.00296449161425577 0.00543457176830743 0.00729639987336114 0.0300584101570944 0.0213639854668281 0.0241604119579634 0.082455739116197 0.128712243578955 0.267307739579629 0.393116158809926
3 388.916666666667 294.666666666667 42.25 41.5 5.66666666666667 4.08333333333333 0.75 0.35688742396639 0.0350674964833812 0.0557556591002738 0.0124924578422233 0.019336051022473 0.323022862284783 0.0268176104146027 0.170620438885873 0 0 0 0 0 0 0 0.000240153698366955 0.000560666518879775 0 0 0.00112133303775955 0 0 0 0 0.000541125541125541 0 0 0 0.000320512820512821 0.000727802037845706 0.00131994174050249 0.000363901018922853 0.00250474833808167 0 0.000320512820512821 0 0.000481695568400771 0.00102282110952631 0.000936329588014981 0.000320512820512821 0.000541125541125541 0 0.00080082021724673 0.00282292366676317 0.000721849266767726 0.00159874901394736 0.00313563398392323 0.00379057095185622 0.00695725073047693 0.00548867184989741 0.0182238603898814 0.0092114497874436 0.0139950476750816 0.0432685533082574 0.126215079393898 0.217247193629702 0.535199163934767 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000586854460093897 0.000586854460093897 0.000656167979002625 0.000886524822695035 0.000886524822695035 0.00136612021857923 0.00138888888888889 0.00146198830409357 0.00407706093189964 0 0 0 0 0 0 0 0 0 0 0.000586854460093897 0 0.000656167979002625 0.00227541371158392 0.00087719298245614 0.00136612021857923 0.00136612021857923 0.00415235253421897 0 0 0 0.000656167979002625 0.00138888888888889 0.00197574334898279 0.000586854460093897 0.00154320987654321 0 0 0 0.00124302243909652 0 0 0.000886524822695035 0 0 0 0 0.000886524822695035 0.000586854460093897 0.00966206168514889 0.00658718392224693 0.0373131230345024 0.0225784486274977 0.0134299618233132 0.0841796560284706 0.116045407571931 0.228167672938395 0.449105486277846
4 301.583333333333 220.166666666667 33.5833333333333 36.6666666666667 4.83333333333333 5 1.33333333333333 0.446740142760147 0.0244552043516827 0.0452970082291787 0.00759157005568824 0.014229325060035 0.296233134872757 0.0208694842187707 0.144584130451741 0 0 0 0 0 0 0 0 0.000291375291375291 0 0 0 0 0 0 0 0 0.000805813065382971 0 0 0.000275027502750275 0.000291375291375291 0.000936329588014981 0 0 0 0.000291375291375291 0.00141242937853107 0.000465549348230912 0 0 0 0 0 0 0.00271940902363783 0.000992063492063492 0 0.00270275502654655 0.00184387578331676 0.00634612525585674 0.00754822864309706 0.0390615816334999 0.00487932727577483 0.00962984506577117 0.0229855961131399 0.0835535021581938 0.188735524203579 0.624232891568487 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.00087719298245614 0.00124378109452736 0 0 0 0 0 0 0 0 0.00168625447112928 0 0 0 0 0 0 0 0 0 0.00087719298245614 0 0 0 0.00433020084761378 0 0 0 0.00503821510215258 0 0 0 0.000809061488673139 0 0 0.00124378109452736 0 0 0 0 0 0 0 0.00433020084761378 0 0.00185185185185185 0 0 0.000974658869395711 0.000809061488673139 0.00358464384828862 0.00430509483545275 0.0787050479590688 0.00870666809907818 0.0109993417198481 0.0336335946149071 0.104092225774638 0.177833273496877 0.553259595042098
5 248.25 178 29.9166666666667 28 4.33333333333333 5.66666666666667 2.33333333333333 0.460830794017485 0.017892265577256 0.0449924208759466 0.00859877071186421 0.0124498043365551 0.253839631368505 0.0418426228133998 0.159553690298989 0 0 0.000166666666666667 0.000393081761006289 0.000666666666666667 0.000666666666666667 0.00119047619047619 0 0.000393081761006289 0 0 0.000393081761006289 0 0 0 0.000393081761006289 0 0 0 0 0 0 0.00438433514037989 0.000566893424036281 0 0 0 0 0 0 0.000166666666666667 0 0 0 0 0.00647201758149873 0 0.000393081761006289 0.000333333333333333 0 0.00734254008901896 0.0126796935414274 0.0161018919011693 0.0247737018402083 0.025942736440741 0.0218159998272626 0.0894716152983986 0.156263411504043 0.629029278416308 0 0 0 0 0 0 0 0 0 0 0 0.000264550264550265 0.00117370892018779 0.00117370892018779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00424475680499777 0 0 0.00579324526663177 0.0306004074682236 0.0411287395933954 0.0358007221057536 0.0342451377259598 0.115366687583027 0.139372628035273 0.590835707311812
6 212.75 156.25 19.6666666666667 27.9166666666667 3 4.58333333333333 1.33333333333333 0.498896162277404 0.0254130420553685 0.0458645998256552 0.0110898575777182 0.00866033019746635 0.240490621269462 0.0250041394265025 0.144581247370424 0 0 0 0 0 0 0 0 0.00382457929627741 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0.000328083989501312 0.00432084960978595 0.000582750582750583 0 0 0.000918523901808785 0 0 0.00157232704402516 0 0 0 0 0 0.00417248112723009 0 0.000328083989501312 0.00225225225225225 0.00352514962460079 0.00718168355154657 0.0102950145936132 0.0355587896705854 0.00548594209499486 0.0129121837887964 0.0203709950367373 0.0850593155910568 0.136566631252063 0.662492110750621 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0 0 0 0 0.00157232704402516 0.000570776255707763 0 0.00157232704402516 0.00214310329973292 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0 0 0.00641025641025641 0.00614737558230709 0.0763515305645537 0.00592732884399551 0.00380134802304614 0.0259765556423783 0.0958941009051 0.165221883754727 0.596060032140725
7 180.583333333333 128.416666666667 18.8333333333333 24.6666666666667 2.5 4.91666666666667 1.25 0.547150463984437 0.0265792908122014 0.0416991566753006 0.00866422581503179 0.00999309997472574 0.205929523187759 0.0275480497213177 0.132436189829227 0 0 0 0.000563063063063063 0 0 0.00154320987654321 0 0.00112612612612613 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0.00112612612612613 0 0.00407960085185426 0.00128205128205128 0 0 0.00229166666666667 0 0 0.00112612612612613 0 0.000555555555555556 0 0 0.000555555555555556 0.00537297861241523 0 0 0.00209876543209877 0.00111861861861862 0.000462962962962963 0.0187054797172148 0.0321092430405429 0.00408235158235158 0.0157029071010155 0.0247613323799827 0.0691998670288131 0.128801655465127 0.681598645718077 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0037037037037037 0 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0.00956597353656177 0.0625350472097789 0.00751312294548596 0.0120111023515536 0.0464565291976951 0.0486809442132526 0.164878919956679 0.633417355215625
8 160.25 117.916666666667 15.8333333333333 19.3333333333333 2.16666666666667 3.25 1.75 0.529629872553144 0.0246048526066242 0.0463524621411967 0.00955260200278412 0.0154486136331244 0.206392895378672 0.0209694580570096 0.147049243627445 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0 0 0 0.00424383169045001 0.000493096646942801 0.000493096646942801 0 0 0 0 0.00148809523809524 0 0 0.000493096646942801 0 0 0.00445985513946679 0.00141242937853107 0 0.00235939907550077 0.00664656220563127 0.00788545952693436 0.012217473403764 0.021683449922057 0.00392825931973415 0.0112706466202382 0.0193441795430486 0.0751049892666519 0.142924025577989 0.681815943039968 0 0 0 0 0 0.000801282051282051 0.000801282051282051 0.000801282051282051 0.00252525252525253 0.00277777777777778 0 0 0 0 0 0 0.00151515151515152 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00237360909530721 0.0058954933954934 0 0 0 0 0 0.00277777777777778 0.00438034188034188 0 0 0 0 0 0 0 0 0 0 0 0 0.00447530864197531 0 0.00484848484848485 0.00681818181818182 0.0399520392838003 0.00726911976911977 0.0075698017914999 0.0321888709939024 0.0750888315039258 0.135327513739463 0.65903481971092
9 126.5 91.75 12.4166666666667 16.5 1.91666666666667 3 0.916666666666667 0.545775827242184 0.0353378096170006 0.0518278872329735 0.0139380942410258 0.0168759696778973 0.173843768676152 0.0277179620185306 0.134682681294237 0 0.00185185185185185 0.00303030303030303 0 0 0 0.00119047619047619 0 0 0 0 0 0 0 0 0 0.00151515151515152 0.00151515151515152 0 0 0 0 0.00760247136829415 0.000656167979002625 0 0 0.000656167979002625 0 0 0 0 0 0.00151515151515152 0 0.00217131949415414 0.00170068027210884 0 0 0.00336700336700337 0.00242094861660079 0.00967273099669332 0.0129845387160533 0.0274991857162371 0.00507425126990344 0.0195336880810258 0.0251119660103822 0.0619045222572941 0.120244589243689 0.68878168301447 0 0 0.00277777777777778 0.00277777777777778 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0 0 0 0.00277777777777778 0 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0.00481029810298103 0 0 0 0 0 0 0.00277777777777778 0 0 0 0.00141242937853107 0.00419020715630885 0 0 0.00333333333333333 0 0 0 0 0 0 0.0113304093567251 0.00771929824561404 0.051071998541146 0.00663821716453295 0.021132630348732 0.0513533120254724 0.066690825085987 0.121059748620782 0.626806312247698
10 104.166666666667 76.6666666666667 8.83333333333333 13.0833333333333 1.25 2.91666666666667 1.41666666666667 0.576949646399096 0.0259566755699723 0.0450437171383009 0.012185429130186 0.0171402910943194 0.154064714380685 0.0323741096604763 0.136285416626965 0 0 0 0.00245098039215686 0 0.000809061488673139 0 0 0 0 0 0.00132275132275132 0 0 0 0 0 0 0 0 0 0 0.00613643925002951 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.000809061488673139 0 0 0.00674953221063887 0.00739893076971889 0.00923490255756115 0.0120030937969213 0.0390292576335079 0.00430069203124536 0.013342719840096 0.0302691452217964 0.0508721966776787 0.099401604663181 0.715060569166697 0 0.00163398692810458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0.00163398692810458 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0 0.00983245149911816 0.00868866064944496 0.068131091972938 0.00882772336673046 0.0120657034743722 0.0299367035699125 0.0451845668991853 0.102714776551882 0.701265355669415
