"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_je_Proportion" "Transition_oe_Proportion" "Transition_eo_Proportion" "Transition_ee_Proportion" "Transition_cj_Proportion" "Transition_jj_Proportion" "Transition_ic_Proportion" "Transition_jh_Proportion" "Transition_oi_Proportion" "Transition_ec_Proportion" "Transition_se_Proportion" "Transition_og_Proportion" "Transition_cg_Proportion" "Transition_gj_Proportion" "Transition_ei_Proportion" "Transition_io_Proportion" "Transition_ih_Proportion" "Transition_hh_Proportion" "Transition_co_Proportion" "Transition_ch_Proportion" "Transition_jo_Proportion" "Transition_ie_Proportion" "Transition_hg_Proportion" "Transition_hi_Proportion" "Transition_eh_Proportion" "Transition_eg_Proportion" "Transition_ij_Proportion" "Transition_gc_Proportion" "Transition_jc_Proportion" "Transition_ge_Proportion" "Transition_oo_Proportion" "Transition_so_Proportion" "Transition_go_Proportion" "Transition_ji_Proportion" "Transition_ig_Proportion" "Transition_sj_Proportion" "Transition_cc_Proportion" "Transition_sh_Proportion" "Transition_ii_Proportion" "Transition_ci_Proportion" "Transition_gi_Proportion" "Transition_jg_Proportion" "Transition_es_Proportion" "Transition_sc_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_chs_Proportion" "Transition_jes_Proportion" "Transition_hgs_Proportion" "Transition_sio_Proportion" "Transition_ise_Proportion" "Transition_igg_Proportion" "Transition_ihs_Proportion" "Transition_jsg_Proportion" "Transition_ehs_Proportion" "Transition_ose_Proportion" "Transition_gsh_Proportion" "Transition_gee_Proportion" "Transition_egg_Proportion" "Transition_ggi_Proportion" "Transition_cso_Proportion" "Transition_sge_Proportion" "Transition_oes_Proportion" "Transition_gse_Proportion" "Transition_cge_Proportion" "Transition_esg_Proportion" "Transition_gso_Proportion" "Transition_sos_Proportion" "Transition_eos_Proportion" "Transition_cse_Proportion" "Transition_jos_Proportion" "Transition_iso_Proportion" "Transition_jso_Proportion" "Transition_gsc_Proportion" "Transition_egi_Proportion" "Transition_esh_Proportion" "Transition_eee_Proportion" "Transition_see_Proportion" "Transition_jjs_Proportion" "Transition_sih_Proportion" "Transition_ihh_Proportion" "Transition_ees_Proportion" "Transition_hii_Proportion" "Transition_gij_Proportion" "Transition_eie_Proportion" "Transition_sie_Proportion" "Transition_iee_Proportion" "Transition_igi_Proportion" "Transition_csg_Proportion" "Transition_ese_Proportion" "Transition_ies_Proportion" "Transition_hhh_Proportion" "Transition_hsh_Proportion" "Transition_ses_Proportion" "Transition_ccs_Proportion" "Transition_gcc_Proportion" "Transition_oos_Proportion" "Transition_esi_Proportion" "Transition_ogs_Proportion" "Transition_csi_Proportion" "Transition_sig_Proportion" "Transition_sci_Proportion" "Transition_hsi_Proportion" "Transition_sgi_Proportion" "Transition_ics_Proportion" "Transition_iei_Proportion" "Transition_sjj_Proportion" "Transition_gig_Proportion" "Transition_jis_Proportion" "Transition_scs_Proportion" "Transition_jcs_Proportion" "Transition_jhs_Proportion" "Transition_gii_Proportion" "Transition_ois_Proportion" "Transition_ggg_Proportion" "Transition_ssi_Proportion" "Transition_iii_Proportion" "Transition_sec_Proportion" "Transition_ecs_Proportion" "Transition_sse_Proportion" "Transition_ssj_Proportion" "Transition_cgs_Proportion" "Transition_iis_Proportion" "Transition_gjs_Proportion" "Transition_ssc_Proportion" "Transition_eis_Proportion" "Transition_igs_Proportion" "Transition_ssh_Proportion" "Transition_ios_Proportion" "Transition_osi_Proportion" "Transition_shh_Proportion" "Transition_jsi_Proportion" "Transition_sjs_Proportion" "Transition_ges_Proportion" "Transition_sii_Proportion" "Transition_hgi_Proportion" "Transition_ish_Proportion" "Transition_isi_Proportion" "Transition_hsc_Proportion" "Transition_shs_Proportion" "Transition_csc_Proportion" "Transition_gsi_Proportion" "Transition_ess_Proportion" "Transition_eso_Proportion" "Transition_osc_Proportion" "Transition_soo_Proportion" "Transition_jsc_Proportion" "Transition_ijg_Proportion" "Transition_egs_Proportion" "Transition_gcs_Proportion" "Transition_jgs_Proportion" "Transition_gsg_Proportion" "Transition_gis_Proportion" "Transition_ssg_Proportion" "Transition_sis_Proportion" "Transition_isg_Proportion" "Transition_sgg_Proportion" "Transition_ggs_Proportion" "Transition_cis_Proportion" "Transition_scc_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 357 275.666666666667 29.1666666666667 41.4166666666667 4.91666666666667 4.83333333333333 0.916666666666667 0.352049701217977 0.028537075179298 0.0507531404760326 0.0138967613906213 0.0148184387291625 0.273184687923991 0.0277791983780844 0.1556476633715 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000240847784200385 0.000240847784200385 0.000398724082934609 0.000398724082934609 0.000398724082934609 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000771604938271605 0.000771604938271605 0.000771604938271605 0.000771604938271605 0.000771604938271605 0.00081959950381003 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.00138888888888889 0.00158750041177174 0.00198992852501624 0.00205244198709894 0.00218173584251727 0.00270443902871036 0.00278872640319544 0.00285326272168377 0.00308641975308642 0.00321394428945916 0.00326650570116265 0.00528571896840835 0.00624997160084879 0.0112561721333534 0.0133360015228087 0.0166487177172214 0.0245414210047003 0.0349105368568501 0.0989946860465634 0.17364493950851 0.492115320941587 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00043630017452007 0.00043630017452007 0.00043630017452007 0.000591016548463357 0.000850340136054422 0.000850340136054422 0.000850340136054422 0.000850340136054422 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00141242937853107 0.00167326763071444 0.00170068027210884 0.00170068027210884 0.00201858067026606 0.00213675213675214 0.00213675213675214 0.00213675213675214 0.00213675213675214 0.00225225225225225 0.00225225225225225 0.00225225225225225 0.00225225225225225 0.00263700986012382 0.00278293135435993 0.00278505914106612 0.00286892080632049 0.00330522098084055 0.00354940982515999 0.00368158911308508 0.00431027749083826 0.00470980444802434 0.00505921655862802 0.0244652720700178 0.0257137727644512 0.0296551840440451 0.0658645824542564 0.106125356767381 0.201617428936941 0.389180625056327
2 395.083333333333 290.666666666667 37.5 49.5833333333333 7.58333333333333 7.5 2.25 0.338239823328479 0.0395591169547764 0.0819863224936226 0.0557973186215096 0.0322051194948069 0.273220989534546 0.0330761187484023 0.145915190823856 0 0 0 0 0.000189393939393939 0.000217013888888889 0.00023084025854109 0.000378787878787879 0.000406407828282828 0.000457875457875458 0.000647269397269397 0.000859106529209622 0.00121388499158582 0 0.000217013888888889 0 0 0 0 0 0 0.000217013888888889 0.000484966729188996 0.000484966729188996 0 0 0 0.000267952840300107 0.000803858520900322 0 0 0.000217013888888889 0.000812615149668299 0.000267952840300107 0.0029133624497653 0.00222968766049081 0.000267952840300107 0.00145490829688639 0.00278829782529072 0.000946647246271175 0.00278036810243549 0 0.00682027101282599 0.00245042758746858 0.00780922554832505 0.00717857252762067 0.0111021303847548 0.0182576329394584 0.0053445591536772 0.0156296647196919 0.0500635249427812 0.09750783015144 0.178994455306775 0.49375321332436 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00034435261707989 0.000440917107583774 0.000440917107583774 0.000440917107583774 0.000440917107583774 0.000440917107583774 0.000445632798573975 0.000445632798573975 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.00068870523415978 0.00068870523415978 0.000789985415653865 0.000881834215167548 0.000886549906157749 0.00089126559714795 0.00106837606837607 0.00106837606837607 0.00106837606837607 0.00178971882007935 0.00198412698412698 0.00219799841011962 0 0 0.000445632798573975 0.00508454188107868 0 0 0 0 0 0 0 0.00164032555170829 0 0 0.000440917107583774 0 0.000789985415653865 0 0.00103305785123967 0.00715752940075271 0 0 0 0.000582750582750583 0 0 0 0 0.00474282270182448 0.00269548732115577 0.00327593541242637 0.00506451079407535 0.00157053944932733 0.00481728327412055 0.00483992880306244 0.000886549906157749 0 0.00714014016871817 0.0314336943524337 0.0193983874884395 0.0106174580613772 0.0877687716735177 0.106350504300969 0.222374497448663 0.366740190816007
3 211.166666666667 153.416666666667 22.25 27.25 3.41666666666667 2.91666666666667 1.83333333333333 0.369622199768066 0.0225069919683558 0.0663678350745367 0.0266794415637896 0.0330394018837019 0.209300222037912 0.0377912448127735 0.151359329557531 0 0 0 0.00053248136315229 0 0 0.000558638342394858 0 0 0 0.00188195619035687 0.000992063492063492 0.000266240681576145 0 0.00053248136315229 0 0.000266240681576145 0.00106496272630458 0 0 0.00171585954989985 0.00053248136315229 0 0.0010037038084198 0 0 0.000266240681576145 0.00101626016260163 0 0.000508130081300813 0.000508130081300813 0 0.000266240681576145 0 0.00556329731959799 0.00239638952453598 0.000800527742119527 0.00179078553679193 0.00319669387630483 0.000558638342394858 0.00287655692920313 0.00216450216450216 0.0235165718292352 0.000292397660818713 0.0010406114444531 0.0104341347719011 0.00712161745877166 0.0301884164744163 0.00559916463638364 0.0202057556110745 0.0422854213459956 0.0784678381306431 0.138429257897092 0.444492643386694 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.00104166666666667 0.00104166666666667 0.00104166666666667 0.00142045454545455 0.00193798449612403 0 0 0 0 0.000473484848484848 0.000636132315521628 0 0 0 0 0 0 0 0.000473484848484848 0 0.000473484848484848 0.00221923432801295 0.000473484848484848 0 0 0.000473484848484848 0 0 0.00151515151515152 0 0 0.000473484848484848 0.00639880952380952 0 0 0 0.000473484848484848 0 0 0.00104166666666667 0.00357173837612769 0 0 0.00424088861588862 0 0.000946969696969697 0 0.000473484848484848 0.0146661179489667 0 0 0 0 0 0 0.00104166666666667 0.00238095238095238 0.0027257371007371 0.000473484848484848 0 0.00557255244755245 0.00189393939393939 0.000473484848484848 0 0 0 0.00414619164619165 0.0538925688816629 0.0146418359881435 0.0131383752482445 0.0812505086001456 0.0677607119403119 0.177145714523783 0.352764854728733
4 106.333333333333 76.0833333333333 11.1666666666667 13.75 1.75 2.58333333333333 0.916666666666667 0.443316648754368 0.0188447333333391 0.0968194108060432 0.035213467553543 0.0606399109285064 0.118455086177015 0.0380127787726924 0.105364630341159 0 0 0 0.00167113152187779 0 0.00157232704402516 0.000414593698175788 0.00694444444444444 0 0.000427350427350427 0.00165837479270315 0.00252525252525253 0.00198692074220094 0 0 0 0 0.000829187396351575 0 0 0 0.000414593698175788 0 0 0.000414593698175788 0.000414593698175788 0 0 0.001256537823702 0 0 0.00735903814262023 0 0.00252525252525253 0 0 0 0.000414593698175788 0 0 0.00226644555002764 0 0.0297429674332337 0.000414593698175788 0.00295260295260295 0.00646282959715796 0.0098699719088342 0.0254512351548756 0.00157232704402516 0.0174524687120805 0.0359909208727159 0.0749236732799491 0.0841579640419428 0.594579880544386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.00161812297734628 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0 0 0.00161812297734628 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0 0 0 0 0.0036231884057971 0 0 0 0.00323624595469256 0 0.00428128371089536 0 0 0 0 0 0 0 0 0.000809061488673139 0 0 0 0 0 0 0.000809061488673139 0 0 0 0 0.0191303893934649 0 0 0 0 0 0 0 0 0 0 0 0.00242718446601942 0 0 0.000809061488673139 0 0 0.0036231884057971 0.0411778066755327 0.0181951839092459 0.00347222222222222 0.0752171114046276 0.063565945130577 0.0961106326338866 0.563869768712053
5 58.25 41.4166666666667 7 7 1.41666666666667 1.08333333333333 0.333333333333333 0.48968819702923 0.0196997035701185 0.107313093027883 0.0666340664958985 0.0680342243111498 0.111232040126738 0.0306389894636344 0.106759685975348 0 0.00208333333333333 0.00396825396825397 0 0 0.00208333333333333 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0.00126262626262626 0 0 0 0 0.000968992248062015 0.00305232558139535 0 0 0 0.00208333333333333 0 0.00523088023088023 0.00208333333333333 0 0 0 0.0377872734693283 0.0169412144702842 0 0.00208333333333333 0.0149469791612505 0.0384998453789477 0.00208333333333333 0.0342391711135554 0.0802541853721838 0.0544690787791612 0.070080743737908 0.455163509591242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0.00416666666666667 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0.0319444444444444 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0465644346692734 0 0 0.00193798449612403 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0.0536367598844155 0.0659301346801347 0 0.163619337599551 0.0455731830684944 0.047185328529102 0.35312365023074
6 55.4166666666667 40 3.91666666666667 9.33333333333333 0.583333333333333 1.41666666666667 0.166666666666667 0.562781264974567 0.0331618578372982 0.0728301365159458 0.0632296883823375 0.0606931040941495 0.131974423396928 0.0248490333614048 0.0504804914373695 0.00595238095238095 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0 0 0 0 0.0286118084366109 0.00203252032520325 0.00461538461538462 0.00333333333333333 0.00288461538461538 0.0474442690120292 0.00128205128205128 0.00782051282051282 0.0275475429185494 0.0399584089905285 0.053438262470382 0.7671301915097 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0360069998227893 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0 0 0.00219298245614035 0.00555555555555556 0 0 0.00378787878787879 0.0660508594719121 0.00219298245614035 0.00219298245614035 0.0560118731171363 0.0669922913343966 0.0636407939039518 0.693181818181818
7 49.8333333333333 35.5 4.58333333333333 7.08333333333333 0.75 1.5 0.416666666666667 0.610257267102627 0.0218042588392469 0.050318686594545 0.0739674526956401 0.0405091362761817 0.12497571758997 0.0136072101741958 0.0645602707275941 0 0 0 0.00327932098765432 0 0 0 0 0.0277777777777778 0 0.00727351125635439 0 0 0.0036231884057971 0.0016025641025641 0.00245098039215686 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0.00563492063492064 0 0 0 0 0 0 0.00396825396825397 0 0 0 0.033452964519141 0.00396825396825397 0.00340277777777778 0 0.00327932098765432 0.0514886788048553 0 0.00327932098765432 0.0361496603472307 0.0325318138217755 0.0305841841567545 0.658950919801836 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0.0104166666666667 0 0 0 0 0 0 0.00630952380952381 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0334523809523809 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0.00297619047619048 0 0 0.00333333333333333 0.12472300449451 0.00297619047619048 0 0.0679174489389543 0.0382501102292769 0.0270634920634921 0.586519048330204
8 61.5 44.5 4.83333333333333 9.75 0.416666666666667 1.5 0.5 0.677520959880999 0.0102074133229148 0.046174802423632 0.0828943089866342 0.042719054416883 0.0891391034587827 0.00884059754658942 0.0425037599635647 0 0 0 0 0 0 0 0 0 0 0.0038693385467579 0 0 0 0 0 0 0 0 0 0.0028735632183908 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0.000570776255707763 0 0 0 0.00134408602150538 0.0180514272623943 0 0 0.00444011480246566 0.0101872412392473 0.0417388764162958 0 0.00309602878096029 0.0168130951860416 0.0232105376824776 0.0617474292791823 0.803121976373064 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104166666666667 0 0 0.00104166666666667 0 0 0.0253000551491931 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0.00659722222222222 0 0 0 0 0 0.00787037037037037 0.0648148148148148 0.00104166666666667 0 0.0229493207941484 0.0141203703703704 0.054040404040404 0.793312071868106
9 91.1666666666667 67.3333333333333 6.08333333333333 13.5833333333333 1.08333333333333 2.16666666666667 0.916666666666667 0.740414969865836 0.011099076477393 0.0254412037003051 0.0428603220110567 0.0384801017870069 0.082341567291121 0.0126129981669506 0.0467497607003304 0 0 0.00157232704402516 0.0040650406504065 0 0 0 0 0 0 0.00101626016260163 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0 0 0.00101626016260163 0 0 0.00277777777777778 0 0 0 0 0.00555555555555556 0 0 0.00773427471116816 0.00657181571815718 0.000342935528120713 0.000342935528120713 0.0113762486126526 0.0275764142173833 0.00101626016260163 0.00101626016260163 0.0108045746272703 0.0352200693044237 0.0333177783777701 0.759788322807873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0.00151515151515152 0.00320512820512821 0 0 0 0 0 0 0 0.00454545454545455 0.00151515151515152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0 0 0 0 0 0 0 0 0 0.00151515151515152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0120670995670996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.0410929348429348 0.00151515151515152 0.00151515151515152 0.0181723955977687 0.0166125541125541 0.028517316017316 0.771431056505683
10 94.0833333333333 72.4166666666667 8 10.3333333333333 1.16666666666667 1.91666666666667 0.25 0.714192595647178 0.0149159217757812 0.0274679868710181 0.0410070621047618 0.046870009486663 0.0966797651173186 0.00741468002758649 0.051451978969693 0 0 0 0.00157232704402516 0 0 0 0 0.00347222222222222 0 0.00545946890286513 0.00157232704402516 0.00231481481481481 0 0.00231481481481481 0 0 0 0 0 0 0 0.00268817204301075 0.00268817204301075 0 0.00157232704402516 0 0 0 0.00628306878306878 0 0.00616039426523297 0 0 0 0.00157232704402516 0 0 0.0277777777777778 0.00146198830409357 0.00491739706635342 0 0.0192288029704341 0.00148809523809524 0.00980108009931503 0.00818920335429769 0.0186117810248893 0.0124200140720527 0.00157232704402516 0.00847520908004779 0.00992063492063492 0.051190455128708 0.0535513292263833 0.733723468627751 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0.00462962962962963 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0.00260416666666667 0.0119047619047619 0 0 0 0 0 0 0 0 0.00983796296296296 0 0 0 0 0 0.00260416666666667 0 0 0 0 0.00808189655172414 0.00260416666666667 0 0.0145089285714286 0 0.0028735632183908 0 0.00260416666666667 0.00940972222222222 0.00462962962962963 0.00260416666666667 0.00925925925925926 0.0420277212584184 0.0205040708812261 0.733668832746325
