"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_hj_Proportion" "Transition_ij_Proportion" "Transition_eg_Proportion" "Transition_gc_Proportion" "Transition_je_Proportion" "Transition_go_Proportion" "Transition_cg_Proportion" "Transition_og_Proportion" "Transition_gj_Proportion" "Transition_hg_Proportion" "Transition_io_Proportion" "Transition_co_Proportion" "Transition_cj_Proportion" "Transition_ci_Proportion" "Transition_jj_Proportion" "Transition_ji_Proportion" "Transition_ic_Proportion" "Transition_sj_Proportion" "Transition_eo_Proportion" "Transition_hi_Proportion" "Transition_jo_Proportion" "Transition_ih_Proportion" "Transition_cc_Proportion" "Transition_ei_Proportion" "Transition_ch_Proportion" "Transition_jh_Proportion" "Transition_ec_Proportion" "Transition_jg_Proportion" "Transition_oo_Proportion" "Transition_so_Proportion" "Transition_oh_Proportion" "Transition_he_Proportion" "Transition_oe_Proportion" "Transition_gh_Proportion" "Transition_se_Proportion" "Transition_sc_Proportion" "Transition_ii_Proportion" "Transition_jc_Proportion" "Transition_gi_Proportion" "Transition_sh_Proportion" "Transition_ig_Proportion" "Transition_ee_Proportion" "Transition_gg_Proportion" "Transition_js_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_hjs_Proportion" "Transition_isg_Proportion" "Transition_cgs_Proportion" "Transition_hgs_Proportion" "Transition_gcs_Proportion" "Transition_jgg_Proportion" "Transition_sjg_Proportion" "Transition_jji_Proportion" "Transition_jsg_Proportion" "Transition_jsc_Proportion" "Transition_sse_Proportion" "Transition_gjs_Proportion" "Transition_hsh_Proportion" "Transition_jis_Proportion" "Transition_hsg_Proportion" "Transition_ggg_Proportion" "Transition_cos_Proportion" "Transition_gsj_Proportion" "Transition_sjj_Proportion" "Transition_sii_Proportion" "Transition_jgs_Proportion" "Transition_eos_Proportion" "Transition_igi_Proportion" "Transition_ses_Proportion" "Transition_scs_Proportion" "Transition_his_Proportion" "Transition_isi_Proportion" "Transition_jos_Proportion" "Transition_iis_Proportion" "Transition_gsi_Proportion" "Transition_ihs_Proportion" "Transition_see_Proportion" "Transition_gis_Proportion" "Transition_chs_Proportion" "Transition_hse_Proportion" "Transition_igs_Proportion" "Transition_jcs_Proportion" "Transition_ssg_Proportion" "Transition_ssi_Proportion" "Transition_csi_Proportion" "Transition_eee_Proportion" "Transition_sgg_Proportion" "Transition_ggs_Proportion" "Transition_soo_Proportion" "Transition_gso_Proportion" "Transition_oee_Proportion" "Transition_ohe_Proportion" "Transition_ees_Proportion" "Transition_ghs_Proportion" "Transition_sis_Proportion" "Transition_shs_Proportion" "Transition_gsg_Proportion" "Transition_oss_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_jss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 477.083333333333 369.416666666667 49.1666666666667 47.5833333333333 5.75 3.83333333333333 1.33333333333333 0.408254512450877 0.0278261812285013 0.0310847752725879 0.0115780118666892 0.00499286820663688 0.351950144240894 0.0249138490434957 0.139399657690318 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000240153698366955 0.000320512820512821 0.000342935528120713 0.000445632798573975 0.000445632798573975 0.000445632798573975 0.000445632798573975 0.000445632798573975 0.000445632798573975 0.000718390804597701 0.000886524822695035 0.000886524822695035 0.000968992248062015 0.000968992248062015 0.000968992248062015 0.000968992248062015 0.00100680002640787 0.00124957586197896 0.00130939019827909 0.00133215762126901 0.00203814418867365 0.00211324870238358 0.00224080172234296 0.00230589064378394 0.00307345497221404 0.00626934656743553 0.00652217302694858 0.0067640636189453 0.00677908215541999 0.010020540810399 0.0217686818537263 0.0298822128574819 0.0959435802603316 0.238904268143117 0.550531778488181 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000443262411347518 0.000706214689265537 0.000706214689265537 0.000706214689265537 0.000778816199376947 0.000859106529209622 0.000859106529209622 0.000859106529209622 0.000859106529209622 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.00122207861072446 0.00148503088864248 0.00170474212530287 0.00185185185185185 0.00208118513993409 0.00225791251079871 0.00260416666666667 0.00260416666666667 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00318977301394536 0.00339438673227629 0.0043390976507328 0.00669015569944109 0.00714614977512484 0.00831085364177011 0.00899426059857029 0.0296190015369881 0.0575676345020521 0.0920145348256849 0.232081191321039 0.506830507792903
2 440.25 341.166666666667 47.1666666666667 41.75 5.5 3.91666666666667 0.75 0.379554205753111 0.035239893494928 0.0514393877857003 0.0190609783142146 0.0116644149794815 0.313459407050469 0.0298633803783997 0.159718332243695 0 0 0 0 0 0 0 0 0 0 0.000303030303030303 0.000314465408805031 0.000387596899224806 0.000387596899224806 0.000387596899224806 0.000617495711835335 0.00068870523415978 0.000690627202255109 0 0 0 0 0 0 0 0 0 0.00410947499552803 0 0.000455373406193078 0 0 0 0 0 0.0018461409483827 0.000775193798449612 0.00188551571997827 0 0.00076983881499811 0.000758403709223381 0 0.00628938001513945 0.018986202446103 0.00635107808459283 0.0173981824320491 0.00477821325024399 0.0111307981857398 0.023174314808901 0.0307196621454494 0.101437514167747 0.219115134475343 0.546242464038178 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000750750750750751 0.000750750750750751 0.000896057347670251 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.00181159420289855 0 0 0 0.00283404184379428 0 0 0 0.000925925925925926 0.000925925925925926 0 0 0 0 0 0.000750750750750751 0.00208333333333333 0.00147538843191017 0 0 0 0.00359633827375763 0 0 0 0 0 0 0 0.0031483095999225 0.000896057347670251 0.00302076269818205 0.022053195262588 0.00738396894053347 0.0080768651691662 0.0368343204513651 0.0177861404634052 0.0520750280366497 0.115746521004277 0.249610455429618 0.463789740281377
3 313.833333333333 233.416666666667 33.0833333333333 35.5 4.08333333333333 5.83333333333333 1.91666666666667 0.415566524504009 0.024452153271778 0.0596315448874315 0.0224135952646552 0.0180234445991388 0.295962974654993 0.0333984977344349 0.130551265083559 0 0 0 0 0 0 0.000350140056022409 0.000530785562632696 0.000884328090210443 0.00253547621968675 0 0.000530785562632696 0 0 0.000595238095238095 0.00234281824014352 0.000534188034188034 0.000534188034188034 0 0 0 0 0 0 0.000341530054644809 0.000341530054644809 0.000534188034188034 0.00684990556213326 0 0 0 0 0 0 0.000595238095238095 0.000932912117122643 0 0.000595238095238095 0.00152692045069645 0.00118018286622938 0.00127444217176745 0 0.00530572053060365 0.0165400457199921 0.00687894970301203 0.0169474705516407 0.00299447416321205 0.0129271062521695 0.0139835341271428 0.0196662258593231 0.0823242123345659 0.183637869876588 0.615784355484904 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.0016025641025641 0.00198412698412698 0 0 0 0 0 0 0.00532850474165028 0 0 0.00117370892018779 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00213675213675214 0 0 0 0.00288750288750289 0 0 0 0 0 0 0 0 0.00267094017094017 0.000750750750750751 0.0299015403232636 0.00448902350196849 0.00454621287954621 0.03310614915028 0.0134553321418393 0.0271209555832754 0.0927948851689863 0.224550578894973 0.550691410172719
4 190.916666666667 129.833333333333 22.75 25.4166666666667 3.91666666666667 5.83333333333333 3.16666666666667 0.488502478207903 0.0271646188727534 0.0414375696686758 0.0233956349932216 0.0207832885609601 0.23460138361466 0.0325735452383764 0.13154148084345 0 0 0 0 0 0.000612745098039216 0.000645994832041344 0 0 0.000912235513617488 0 0 0 0 0.000612745098039216 0.0019047347621219 0 0 0 0 0.000694444444444444 0 0 0 0 0.00122549019607843 0 0.0131876454189736 0 0 0 0 0 0.000957854406130268 0.00130208333333333 0.00136648745519713 0 0.000578703703703704 0.00043630017452007 0.000645994832041344 0.000612745098039216 0 0.00870639915107918 0.0213569572182381 0.0118575166911174 0.0133148414247219 0.000938283692328833 0.0192095467065263 0.0169732276377686 0.0209584974935504 0.0758957445370765 0.145129615413898 0.639963165667374 0 0 0 0 0 0 0 0 0 0.00128205128205128 0.00238095238095238 0 0 0 0 0.000946969696969697 0 0 0 0 0.00653756602724493 0 0 0.00238095238095238 0 0 0 0.00128205128205128 0 0 0 0 0 0 0 0 0 0.00436996107867667 0 0 0 0.00265846538782319 0.00486806134741915 0 0 0 0 0 0.00173611111111111 0 0.00126262626262626 0 0.0198303965460828 0.00913703848188903 0.0180884769732809 0.0397941280136456 0.0243348585873096 0.0351843311975349 0.0866256635846889 0.164400752909615 0.572898585468075
5 116.916666666667 78.8333333333333 15.1666666666667 13.9166666666667 3.16666666666667 3.83333333333333 2 0.52855228685555 0.0236773767984968 0.036341301133823 0.0243462446264174 0.0261635130527832 0.207468984673677 0.0181680219368989 0.135282270922353 0 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0.00277777777777778 0.0047848200312989 0 0.00128205128205128 0 0 0 0 0 0 0 0 0 0.0124681822820984 0 0 0 0 0 0 0 0.00072463768115942 0 0 0 0.00117370892018779 0.0046622326551904 0 0.0143525506906171 0.0095598879810654 0.004375 0.0138510561553675 0.00195190156599553 0.0257003714145113 0.00541786997491695 0.019478455208575 0.0588483970779608 0.136052285989171 0.679761035534277 0 0 0 0 0 0 0 0 0.000850340136054422 0 0 0 0 0 0 0.000850340136054422 0 0 0 0 0.00714285714285714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0.00434805015550357 0 0 0 0.00326579907325249 0.00238095238095238 0 0 0 0 0 0 0.00163398692810458 0 0.000850340136054422 0.0226528490183952 0.0137587841460695 0.00774924723987956 0.0109999473989903 0.00937004707496511 0.0496268386473649 0.0435751856413314 0.130896125414175 0.685418679700366
6 76.9166666666667 48.75 11.0833333333333 9.91666666666667 2.33333333333333 2.41666666666667 2.41666666666667 0.500144320719764 0.0287054292000686 0.0328633363964748 0.0595888203516342 0.0531472470120561 0.190993088554256 0.0158834613512976 0.118674296414449 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00256410256410256 0 0 0 0 0 0 0 0 0 0 0 0.0072561796541187 0 0 0 0 0 0 0 0.0138888888888889 0 0 0.00231693236327324 0 0.00176344305867921 0 0.0163058627851049 0.0204698624214913 0.0205993628036639 0.0181025012599987 0.00450588837685612 0.0291605572213552 0.00427908655605786 0.0166231708989638 0.0642818568848494 0.123533734075947 0.571015236853316 0 0 0 0 0 0 0 0 0.0106929018693725 0 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00372904513487352 0 0 0 0.00470943729173627 0.00208333333333333 0 0 0 0 0 0 0 0 0 0.0346385820453592 0.027168981055116 0.0916736169029747 0.0208409645909646 0 0.0277590138221003 0.0652455975788453 0.100182557174434 0.526598549846052
7 80.5833333333333 51.0833333333333 12.75 8.5 3.33333333333333 2.5 2.33333333333333 0.520084257353767 0.0142750818846066 0.0379527379158831 0.0220130877512068 0.0242678389084138 0.146009949322887 0.0358285906749587 0.116235122854944 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119047619047619 0.00119047619047619 0 0.000484496124031008 0 0.00112612612612613 0.000905797101449275 0 0 0 0 0.0014367816091954 0 0.0129026961931519 0 0 0 0 0 0 0 0.00569282945736434 0 0 0 0.000484496124031008 0 0 0.0154861049580502 0.0110640410929579 0.00555000000812809 0.00725991729835738 0.00627268683747089 0.0291648127146096 0.0108496670798289 0.0202092193521544 0.0640371276534403 0.11732301944636 0.604035895109007 0 0 0 0 0 0 0.00124378109452736 0.00203252032520325 0.00378787878787879 0 0 0 0 0 0 0.00189393939393939 0 0 0 0 0.0108315863032844 0 0 0 0.0119047619047619 0 0 0.00157232704402516 0 0 0 0 0 0 0 0 0 0.00803969931876908 0 0 0 0.00993363871270848 0.00260416666666667 0 0 0 0 0 0 0.00124378109452736 0 0 0.00980870998779687 0.0328264478776873 0.0109083624708625 0.0141389196787017 0.00765403750478377 0.0415639309878895 0.0479273110910176 0.103345974620203 0.593404891801433
8 53.75 31.0833333333333 5.91666666666667 9.75 1.66666666666667 3.41666666666667 1.91666666666667 0.581936761987361 0.019150336735823 0.0138894841983738 0.0158993435913481 0.0276020565037401 0.187807093919095 0.024509200303188 0.129205722761071 0 0 0 0 0 0 0 0 0 0.00268056270372277 0 0 0 0 0 0.00176106700994064 0 0 0 0 0 0 0 0 0 0 0 0.0108616791825998 0 0 0 0 0 0 0 0 0 0.00105485232067511 0.00105485232067511 0 0 0 0.015583813161029 0.0135446513107055 0.0103726123217649 0.00561983901843016 0.0019499957837929 0.0246056152417654 0.00638060455348213 0.0190116189938357 0.0767613421437431 0.0789433716035251 0.646480188996979 0 0 0 0 0 0.00260416666666667 0 0 0.00117370892018779 0 0 0 0 0 0 0 0 0 0 0 0.00706018518518519 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0.00591028440144413 0 0 0 0.00597231933761751 0 0 0 0 0 0 0 0.00185185185185185 0 0.00236418511066398 0.0084398548151655 0.0177776420144191 0.0182270091135046 0.0244047619047619 0.0068202036291825 0.0365441764059534 0.10701147170069 0.0938401989837323 0.57489159698025
9 51.8333333333333 30.4166666666667 7 8 1.58333333333333 3.16666666666667 1.66666666666667 0.572555415199214 0.0206602585179246 0.0299164293475505 0.0368462706194428 0.0332812478356172 0.194279053580872 0.0310696221837714 0.0813917027156074 0 0 0.00141242937853107 0.00151515151515152 0.00141242937853107 0 0.00141242937853107 0 0 0.00141242937853107 0 0 0 0 0.00100401606425703 0.00102880658436214 0 0 0 0 0.00130208333333333 0 0 0 0 0 0 0.00919943453992838 0 0.00102880658436214 0 0 0 0 0 0 0 0 0.00126262626262626 0.000957854406130268 0.00496648848814574 0 0.0139598342845394 0.0257819985622514 0.01716323271614 0.00945257943402934 0.00529694535718632 0.0255222701106943 0.0106483066699639 0.0221236362584417 0.0462388085671232 0.106628831114354 0.689268571632855 0 0 0 0.00277777777777778 0.0036231884057971 0.00231481481481481 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0.00476190476190476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0.00687029418409756 0 0 0 0.0052979671400724 0.00623219373219373 0 0 0 0 0 0 0.00416666666666667 0 0.00157232704402516 0.00878888041359437 0.0179517441806419 0.00995742021172702 0.067269154582958 0.00435010482180294 0.0558419165679215 0.0476660459211947 0.0779720220212859 0.667823671989619
10 58.75 37.75 5 9.5 1.75 2.91666666666667 1.83333333333333 0.681156840705252 0.0204310844318083 0.025810652225855 0.021961908836825 0.0269158349933022 0.138147653425731 0.0130080001787066 0.0725680252025195 0 0 0 0 0 0 0.00202380952380952 0 0 0 0 0.00114155251141553 0 0 0 0.00211538461538462 0 0 0 0 0 0 0 0 0 0.00119047619047619 0 0.0056077694235589 0 0 0 0 0 0 0 0 0 0 0 0 0.00738095238095238 0 0.0174457779063042 0.0143816876666552 0.00681149990360517 0.0127204998798366 0.00871280766017608 0.0275179133731765 0.005231822971549 0.00879818751303971 0.0220267717942556 0.119505237012447 0.737387849673358 0 0 0.00208333333333333 0 0 0 0 0 0.00473954380639177 0 0 0 0 0.00124378109452736 0 0.0072533573960264 0.00213675213675214 0 0 0 0.00527583914921901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0.00480237700386954 0.00277777777777778 0 0 0.00812949143173024 0.0096415045907055 0 0 0 0 0 0 0.00522875816993464 0 0 0.0190822518990999 0.0202208214449476 0.011879158570335 0.0182118520852319 0.00355859590934218 0.0155479483647963 0.031777623760723 0.112290491615855 0.709952073792735
