"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_jo_Proportion" "Transition_ho_Proportion" "Transition_oe_Proportion" "Transition_ec_Proportion" "Transition_ic_Proportion" "Transition_ch_Proportion" "Transition_gh_Proportion" "Transition_co_Proportion" "Transition_ej_Proportion" "Transition_he_Proportion" "Transition_jc_Proportion" "Transition_ih_Proportion" "Transition_ci_Proportion" "Transition_oi_Proportion" "Transition_gj_Proportion" "Transition_eh_Proportion" "Transition_ji_Proportion" "Transition_oo_Proportion" "Transition_ij_Proportion" "Transition_oj_Proportion" "Transition_hh_Proportion" "Transition_gc_Proportion" "Transition_cc_Proportion" "Transition_cg_Proportion" "Transition_eg_Proportion" "Transition_cj_Proportion" "Transition_se_Proportion" "Transition_ie_Proportion" "Transition_hi_Proportion" "Transition_go_Proportion" "Transition_so_Proportion" "Transition_ee_Proportion" "Transition_gi_Proportion" "Transition_sh_Proportion" "Transition_ii_Proportion" "Transition_ig_Proportion" "Transition_je_Proportion" "Transition_ei_Proportion" "Transition_sc_Proportion" "Transition_jg_Proportion" "Transition_jj_Proportion" "Transition_hg_Proportion" "Transition_jh_Proportion" "Transition_hs_Proportion" "Transition_sj_Proportion" "Transition_os_Proportion" "Transition_ge_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_cs_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_eo_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_sih_Proportion" "Transition_gho_Proportion" "Transition_cgs_Proportion" "Transition_gse_Proportion" "Transition_hsg_Proportion" "Transition_osh_Proportion" "Transition_ccg_Proportion" "Transition_osj_Proportion" "Transition_cge_Proportion" "Transition_igi_Proportion" "Transition_gec_Proportion" "Transition_esg_Proportion" "Transition_gig_Proportion" "Transition_ois_Proportion" "Transition_oei_Proportion" "Transition_his_Proportion" "Transition_jhi_Proportion" "Transition_sec_Proportion" "Transition_shg_Proportion" "Transition_jhs_Proportion" "Transition_jcs_Proportion" "Transition_cso_Proportion" "Transition_ees_Proportion" "Transition_csc_Proportion" "Transition_gjs_Proportion" "Transition_cse_Proportion" "Transition_igg_Proportion" "Transition_eso_Proportion" "Transition_sos_Proportion" "Transition_sgi_Proportion" "Transition_ics_Proportion" "Transition_ssc_Proportion" "Transition_sie_Proportion" "Transition_sej_Proportion" "Transition_eji_Proportion" "Transition_chs_Proportion" "Transition_hso_Proportion" "Transition_jis_Proportion" "Transition_geg_Proportion" "Transition_ige_Proportion" "Transition_cis_Proportion" "Transition_egi_Proportion" "Transition_gis_Proportion" "Transition_ses_Proportion" "Transition_igs_Proportion" "Transition_csh_Proportion" "Transition_ges_Proportion" "Transition_shh_Proportion" "Transition_sge_Proportion" "Transition_gee_Proportion" "Transition_eee_Proportion" "Transition_csg_Proportion" "Transition_osi_Proportion" "Transition_hih_Proportion" "Transition_csi_Proportion" "Transition_ijs_Proportion" "Transition_gso_Proportion" "Transition_esi_Proportion" "Transition_soo_Proportion" "Transition_sse_Proportion" "Transition_ish_Proportion" "Transition_ies_Proportion" "Transition_ssh_Proportion" "Transition_ojs_Proportion" "Transition_hhs_Proportion" "Transition_ise_Proportion" "Transition_gos_Proportion" "Transition_gcs_Proportion" "Transition_eii_Proportion" "Transition_ggo_Proportion" "Transition_see_Proportion" "Transition_sso_Proportion" "Transition_gsj_Proportion" "Transition_egs_Proportion" "Transition_esh_Proportion" "Transition_gie_Proportion" "Transition_iee_Proportion" "Transition_jse_Proportion" "Transition_hsi_Proportion" "Transition_esc_Proportion" "Transition_hgs_Proportion" "Transition_gii_Proportion" "Transition_shs_Proportion" "Transition_ssj_Proportion" "Transition_sjj_Proportion" "Transition_iii_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_iis_Proportion" "Transition_sig_Proportion" "Transition_scs_Proportion" "Transition_hss_Proportion" "Transition_jgs_Proportion" "Transition_ggs_Proportion" "Transition_isi_Proportion" "Transition_gsg_Proportion" "Transition_ggg_Proportion" "Transition_isg_Proportion" "Transition_sis_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_sgs_Proportion" "Transition_gsi_Proportion" "Transition_oss_Proportion" "Transition_ess_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 93.75 69.3333333333333 9.16666666666667 10.3333333333333 1.91666666666667 2 0.916666666666667 0.639460571581977 0.0207819971942525 0.011937376993671 0.0265245550997208 0.0258333877849721 0.125033150971095 0.0109180555868882 0.0561775714540899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000694444444444444 0.000694444444444444 0.000694444444444444 0.000841750841750842 0.000841750841750842 0.00130208333333333 0.0015905017921147 0.0015905017921147 0.00181159420289855 0.00389957264957265 0.00450721153846154 0.00526274137385249 0.00626683878812015 0.00848403388725969 0.00956714697754124 0.0115011845606604 0.030982905982906 0.0360391549907679 0.0442838254106175 0.0833147621189882 0.579162438917289 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0.00132275132275132 0.0016025641025641 0.00193798449612403 0.00193798449612403 0.00213675213675214 0.00213675213675214 0.00231481481481481 0.00387596899224806 0.00427350427350427 0.00445156695156695 0.00587606837606838 0.00595238095238095 0.00727513227513227 0.0111416361416361 0.0121336996336996 0.0513378560859181 0.0998762040428707 0.100676311916622 0.511750648863052
2 93.5833333333333 67 8.08333333333333 12.9166666666667 2.16666666666667 2.25 1.16666666666667 0.664408660041474 0.0246946416038432 0.0131550121266323 0.0171045049887107 0.0303265332421139 0.157250545833025 0.021635780771327 0.0714243213928735 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00072463768115942 0.00072463768115942 0.00072463768115942 0.00072463768115942 0.00072463768115942 0.00222809156169579 0.00931134939287113 0.0423913043478261 0 0 0.00318538647342995 0.00072463768115942 0.00112612612612613 0.00072463768115942 0 0.00764786525656091 0.00459834834834835 0.00072463768115942 0 0.0448552485069339 0.00431244264458131 0.00512664228633347 0.0137100021598193 0.0217187778975712 0 0.00564613526570048 0.0416167316316891 0.140684460271663 0.646043986379575 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00163398692810458 0.00219298245614035 0.00219298245614035 0.00219298245614035 0.00219298245614035 0.00219298245614035 0.0104166666666667 0.0833333333333333 0 0.00866727028447923 0 0 0 0.00136612021857923 0.00333333333333333 0 0 0.0136556603773585 0.00460511392927106 0.0243939393939394 0.00219298245614035 0.00163398692810458 0.0155560066994874 0.00953605485910211 0.0494630837790629 0.00944081336238199 0.215256506633191 0.529833247404687
3 90.3333333333333 64.5833333333333 8.41666666666667 11.8333333333333 1.75 1.83333333333333 1.83333333333333 0.54797925726126 0.0560422795284829 0.0151371130061472 0.0163296823810317 0.0711506940565665 0.128310973131891 0.00987021633182928 0.0718464509694584 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000712250712250712 0.000712250712250712 0.000712250712250712 0.00111856823266219 0.00124378109452736 0.00124378109452736 0.00277777777777778 0.00389634601043997 0.0047615633186103 0.000559284116331096 0.000712250712250712 0.00111856823266219 0.00333706189410887 0.00389634601043997 0.00119047619047619 0.00452753808458506 0.00142450142450142 0 0.00167785234899329 0.00119047619047619 0 0.000737463126843658 0 0 0.0129138348786751 0.00117370892018779 0.00697094604988024 0.000559284116331096 0.00770179981589378 0.00340574564587245 0.0071516663798543 0.0136418483199382 0.0150130392917071 0 0.00547127271139951 0.0441955110434834 0.0535302919235525 0.540720662906259 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00173611111111111 0.00225225225225225 0.00245098039215686 0.00520833333333333 0.00520833333333333 0.00520833333333333 0.00520833333333333 0 0 0 0.00245098039215686 0 0 0 0 0.00245098039215686 0.00520833333333333 0.00122549019607843 0 0.00980392156862745 0 0.00225225225225225 0.00245098039215686 0 0 0.00122549019607843 0 0.00373303167420814 0.00250754147812971 0.0161466189039718 0 0.00592872284048755 0.0110294117647059 0.0113357843137255 0.0411814055596025 0.00353430353430353 0.0669529300843239 0.522279732270141
4 103.363636363636 73.5454545454545 11.4545454545455 11.2727272727273 3.18181818181818 2.36363636363636 1.54545454545455 0.732629444729637 0.020607200319111 0.00688543975181906 0.00785700989875219 0.0345350551470825 0.121041817520246 0.0176893808555621 0.0587546517777903 0 0 0 0 0 0 0 0 0 0 0 0.000524109014675052 0.000524109014675052 0.000672043010752688 0.0010482180293501 0.00111111111111111 0.00115740740740741 0.00119615202542774 0.00196089062387045 0 0 0.000672043010752688 0 0 0 0 0.00388039928895072 0.000672043010752688 0.000524109014675052 0 0.00186819503618043 0.000524109014675052 0 0.00134408602150538 0.00487730368940099 0.00172026104010279 0 0.000524109014675052 0 0.000524109014675052 0 0.0014367816091954 0 0.0199452141037655 0.00201220425277029 0.00335629027427567 0 0.0100672526060536 0.010962655787177 0.00353321766789561 0.0070366328298622 0.0333630905032539 0.000672043010752688 0.00499151040006183 0.0370874296837957 0.0678307106818887 0.522380159195636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00136612021857923 0.00136612021857923 0.00136612021857923 0 0 0 0 0 0 0 0.00109649122807018 0.00136612021857923 0 0 0 0 0 0 0.00136612021857923 0 0 0 0 0 0 0.00136612021857923 0.00246261144664941 0.00465559390278976 0.00308641975308642 0 0 0.0258211973052353 0 0.0063831896124492 0 0 0 0.00109649122807018 0.00328947368421053 0.0123033079364151 0.00528747020371156 0.0164472059327721 0.00136612021857923 0.00136612021857923 0.0138263688558483 0.00109649122807018 0.0398532239946993 0.00904215623349192 0.0690007726555661 0.514454151997599
5 115.545454545455 85.4545454545455 13 11.1818181818182 2.09090909090909 2.18181818181818 1.63636363636364 0.668506763807796 0.0616523731168795 0.0186338022038809 0.033437962039905 0.0381843079809528 0.120993854878913 0.011014249118249 0.0475766868534242 0 0 0 0 0 0.000496031746031746 0.000496031746031746 0.000508130081300813 0.000508130081300813 0.00104166666666667 0.00378787878787879 0.00104166666666667 0.00117370892018779 0 0.00378787878787879 0 0.00217787074752035 0 0 0 0.00378787878787879 0 0 0.00117370892018779 0.00221537558685446 0 0.0026739024935521 0.000508130081300813 0 0 0.000496031746031746 0.0238095238095238 0.00117370892018779 0.00477994227994228 0.000992063492063492 0.00419950257098144 0 0.000496031746031746 0.000508130081300813 0.000496031746031746 0 0 0 0.0051661595589799 0.00101626016260163 0.00691287878787879 0.0168663496128285 0.00540230997548071 0.0140470535960134 0.0138588263588264 0.0230336776551565 0.0306109512968132 0.00104166666666667 0.00383551307847082 0.04220353532875 0.0745617558699151 0.532447438891619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00087719298245614 0.00087719298245614 0.00087719298245614 0.00087719298245614 0.00114155251141553 0.00114155251141553 0.00114155251141553 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00382972455442628 0.00426723200695803 0.00925925925925926 0.00925925925925926 0.00925925925925926 0.0166666666666667 0.0166666666666667 0.0166666666666667 0 0 0 0 0 0 0 0 0.00114155251141553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0 0 0 0.00114155251141553 0 0 0 0.00114155251141553 0 0 0 0 0 0.00114155251141553 0 0 0.00558411051933856 0 0.00087719298245614 0 0.00426723200695803 0.00717449200300163 0 0.004117742987606 0.027844031147667 0.00745793871501977 0.00851116702388718 0 0.00396825396825397 0.020182917277482 0.008235485975212 0.0375999377586698 0.00765944910885256 0.0612516463896534 0.516644948893911
6 94.6363636363636 64.8181818181818 11.1818181818182 10.7272727272727 3.18181818181818 2.81818181818182 1.90909090909091 0.552230121105567 0.0409700051387278 0.0345652673073192 0.0320534719917776 0.0318984322599877 0.233240135914143 0.0163759532876225 0.0586666129948548 0 0 0 0.000651041666666667 0.00416666666666667 0 0 0 0.000612745098039216 0.000651041666666667 0.000651041666666667 0 0 0.00481770833333333 0.00105485232067511 0 0.00111111111111111 0.00176215277777778 0.000651041666666667 0 0 0 0 0 0.00173611111111111 0 0.00545138888888889 0 0.000750750750750751 0.00416666666666667 0.00392811620956399 0.001953125 0.00367698120915033 0.00105485232067511 0.00795203751545663 0.012404176442809 0 0 0.00655381944444444 0 0.00111111111111111 0.00105485232067511 0.00201453751545663 0.022718545751634 0.00284722222222222 0.00677927927927928 0.00122549019607843 0.0102988450084335 0.0170638681854488 0.0102946282679739 0.0171400167968602 0.0230878242469014 0 0.00584294464093654 0.0296753279014308 0.0683332792919201 0.548088132063185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0.00128205128205128 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00166666666666667 0.00177304964539007 0.00177304964539007 0.00328820116054159 0.00833333333333333 0 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0 0.0157129218299431 0 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0.00328820116054159 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.00303030303030303 0.00177304964539007 0 0 0 0 0 0.00151515151515152 0 0 0.00151515151515152 0.0048033526756931 0 0.00238095238095238 0.00238095238095238 0.00177304964539007 0.00343971631205674 0.00177304964539007 0.00422077922077922 0.00166666666666667 0 0.0288834392557797 0 0.0108974358974359 0.00151515151515152 0.00762535337003422 0.00166666666666667 0 0.00119047619047619 0.00934482184482184 0.00517815517815518 0.0154595404595405 0 0.00433715220949264 0.0116550116550117 0.0130952380952381 0.0264319014319014 0.00988993276227319 0.0611291722461935 0.530496383049575
7 71 52.6363636363636 5.63636363636364 7.54545454545455 1.81818181818182 1.90909090909091 1.36363636363636 0.700874623508619 0.057260925311807 0.00675522734346264 0.00373116988713629 0.0116134120905074 0.100307691756493 0.00381163485606476 0.0247362243368193 0 0 0.00181159420289855 0.00087719298245614 0 0 0 0 0 0 0 0 0.00087719298245614 0.00087719298245614 0 0 0 0 0 0 0.00087719298245614 0 0 0.00087719298245614 0 0 0.00219298245614035 0.00087719298245614 0 0.00320512820512821 0 0.00219298245614035 0.00175438596491228 0.00087719298245614 0.00677110837293904 0.00268878718535469 0 0.00181159420289855 0 0 0.000750750750750751 0 0 0.0025623449536493 0.000750750750750751 0.0015015015015015 0.00087719298245614 0.00649122807017544 0.00307017543859649 0.00263157894736842 0.00482456140350877 0.0221727448272071 0 0 0.0289641014011723 0.0754321633726668 0.571401991676591 0 0 0 0 0 0 0 0.00146198830409357 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0.00157232704402516 0 0 0 0 0 0.00333333333333333 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0.00157232704402516 0.00314465408805031 0.00157232704402516 0.00333333333333333 0 0 0.00146198830409357 0 0.00416666666666667 0.00157232704402516 0.00157232704402516 0 0.00896198830409357 0.0055256064690027 0.00790655884995508 0.00157232704402516 0.0263067259343327 0.00416666666666667 0 0.00314465408805031 0.00314465408805031 0.0207072713229615 0 0.049618679345591 0.570046324358638
8 41.7272727272727 29.5454545454545 4.09090909090909 4.09090909090909 1.09090909090909 2 0.818181818181818 0.651399039320038 0.0139185906449334 0.0132529835505888 0.0389145110085734 0.0268658827351573 0.134119683265231 0.00392156862745098 0.0266986499389367 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136612021857923 0 0 0 0 0 0 0 0 0.00297619047619048 0.00297619047619048 0 0 0 0 0 0.00297619047619048 0.00297619047619048 0 0.00231308991554893 0 0.00367921013412817 0.000946969696969697 0 0 0.00641025641025641 0 0 0.00297619047619048 0 0.00641025641025641 0.0105519480519481 0.00392316017316017 0 0.00462617983109786 0.00804924242424242 0.00471230158730159 0.00310223132969035 0.0174747122969989 0 0 0.025763596760629 0.0920248922298103 0.627098213481763 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0.00141242937853107 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00322402358142962 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0.00141242937853107 0.00322402358142962 0 0 0 0.0166666666666667 0 0.00282485875706215 0.0036231884057971 0.00141242937853107 0 0.00555555555555556 0.00322402358142962 0.00423728813559322 0.00141242937853107 0.0126177024482109 0 0.00141242937853107 0.00181159420289855 0.00416666666666667 0.0129462458036518 0 0.127516785392614 0.524753336608532
9 46.3 35.6 4 4.9 0.7 0.6 0.4 0.736970405296403 0.022318421870146 0.00357323902151488 0.016849909800908 0.0142649741392936 0.0730171951058975 0.0146706806625137 0.0183351741033229 0 0.00185185185185185 0 0 0 0 0.00185185185185185 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0.00555555555555556 0 0.00757575757575758 0 0 0.00416666666666667 0 0 0.00416666666666667 0 0 0 0 0 0 0.00896464646464647 0 0 0 0 0 0 0 0 0 0.0163720538720539 0 0.0159090909090909 0.00416666666666667 0.00185185185185185 0.00855263157894737 0.00965608465608466 0.014520202020202 0.0115740740740741 0 0 0.030185628211944 0.0205896686159844 0.497303865724918 0.00396825396825397 0.00396825396825397 0.00833333333333333 0.00833333333333333 0.00833333333333333 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0 0 0 0 0 0.0165770609318996 0 0 0 0 0 0 0 0 0.00833333333333333 0.0123015873015873 0 0.00833333333333333 0.0218253968253968 0.0132275132275132 0.0427675371223758 0 0.0053763440860215 0.474522102747909
10 58.3 43 5.5 6.2 1.5 1 1.1 0.780833117274349 0.0128343189127503 0.0138671785730609 0.0260745137215725 0.0268863223438387 0.0813222378124893 0.00126287803256896 0.0569194333293702 0 0 0.0222222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0 0 0 0 0 0 0 0 0 0 0.0064026792750197 0 0.00247113997113997 0 0 0 0 0 0 0 0 0.00252525252525253 0.00462962962962963 0 0.0145833333333333 0.00462962962962963 0.00108225108225108 0.0313852813852814 0.0121933621933622 0 0 0.0207936124159528 0.0932247692221096 0.61580128155926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00441576086956522 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0128824476650564 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0.00260416666666667 0 0 0 0.00925925925925926 0.00260416666666667 0 0 0 0.0166666666666667 0 0 0.00555555555555556 0.00260416666666667 0.00925925925925926 0.0498263888888889 0.00181159420289855 0.0119565217391304 0 0.142298208534622 0.553255837359098
