"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_eo_Proportion" "Transition_hi_Proportion" "Transition_gc_Proportion" "Transition_gh_Proportion" "Transition_je_Proportion" "Transition_so_Proportion" "Transition_jc_Proportion" "Transition_ic_Proportion" "Transition_hh_Proportion" "Transition_oi_Proportion" "Transition_ej_Proportion" "Transition_jj_Proportion" "Transition_ge_Proportion" "Transition_ec_Proportion" "Transition_cc_Proportion" "Transition_ji_Proportion" "Transition_ij_Proportion" "Transition_jh_Proportion" "Transition_ce_Proportion" "Transition_ci_Proportion" "Transition_hg_Proportion" "Transition_he_Proportion" "Transition_eh_Proportion" "Transition_eg_Proportion" "Transition_ee_Proportion" "Transition_ie_Proportion" "Transition_sj_Proportion" "Transition_ih_Proportion" "Transition_os_Proportion" "Transition_gi_Proportion" "Transition_se_Proportion" "Transition_sh_Proportion" "Transition_ig_Proportion" "Transition_ei_Proportion" "Transition_sg_Proportion" "Transition_jg_Proportion" "Transition_cg_Proportion" "Transition_sc_Proportion" "Transition_ii_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_gs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_hsg_Proportion" "Transition_egh_Proportion" "Transition_jsi_Proportion" "Transition_hii_Proportion" "Transition_shi_Proportion" "Transition_sso_Proportion" "Transition_seg_Proportion" "Transition_hse_Proportion" "Transition_jig_Proportion" "Transition_isc_Proportion" "Transition_igi_Proportion" "Transition_jhs_Proportion" "Transition_osc_Proportion" "Transition_his_Proportion" "Transition_esc_Proportion" "Transition_ssc_Proportion" "Transition_scc_Proportion" "Transition_gii_Proportion" "Transition_ccc_Proportion" "Transition_ihs_Proportion" "Transition_iee_Proportion" "Transition_ecs_Proportion" "Transition_eie_Proportion" "Transition_ghs_Proportion" "Transition_osg_Proportion" "Transition_csh_Proportion" "Transition_ics_Proportion" "Transition_hsi_Proportion" "Transition_jjs_Proportion" "Transition_gse_Proportion" "Transition_gsh_Proportion" "Transition_sig_Proportion" "Transition_igg_Proportion" "Transition_sgi_Proportion" "Transition_gis_Proportion" "Transition_sge_Proportion" "Transition_eee_Proportion" "Transition_gig_Proportion" "Transition_sgh_Proportion" "Transition_hhh_Proportion" "Transition_ssh_Proportion" "Transition_hee_Proportion" "Transition_esi_Proportion" "Transition_ies_Proportion" "Transition_ege_Proportion" "Transition_hsh_Proportion" "Transition_jgg_Proportion" "Transition_gge_Proportion" "Transition_ise_Proportion" "Transition_eeg_Proportion" "Transition_ges_Proportion" "Transition_shh_Proportion" "Transition_ehs_Proportion" "Transition_ieg_Proportion" "Transition_iie_Proportion" "Transition_ees_Proportion" "Transition_gsg_Proportion" "Transition_gee_Proportion" "Transition_ese_Proportion" "Transition_eei_Proportion" "Transition_csg_Proportion" "Transition_hes_Proportion" "Transition_iii_Proportion" "Transition_jsg_Proportion" "Transition_sec_Proportion" "Transition_ecc_Proportion" "Transition_jis_Proportion" "Transition_sse_Proportion" "Transition_isi_Proportion" "Transition_ses_Proportion" "Transition_iig_Proportion" "Transition_ieh_Proportion" "Transition_ehe_Proportion" "Transition_hgs_Proportion" "Transition_sie_Proportion" "Transition_ggi_Proportion" "Transition_cis_Proportion" "Transition_cse_Proportion" "Transition_oss_Proportion" "Transition_see_Proportion" "Transition_egs_Proportion" "Transition_igs_Proportion" "Transition_scs_Proportion" "Transition_ggs_Proportion" "Transition_sgg_Proportion" "Transition_sei_Proportion" "Transition_iis_Proportion" "Transition_csi_Proportion" "Transition_eis_Proportion" "Transition_ssg_Proportion" "Transition_esh_Proportion" "Transition_shs_Proportion" "Transition_isg_Proportion" "Transition_sgs_Proportion" "Transition_ggg_Proportion" "Transition_gsi_Proportion" "Transition_sis_Proportion" "Transition_ssi_Proportion" "Transition_scg_Proportion" "Transition_cgs_Proportion" "Transition_sii_Proportion" "Transition_ess_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_jss_Proportion" "Transition_hss_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 39.5833333333333 27.8333333333333 5 4.66666666666667 0.75 0.833333333333333 0.5 0.325750393792493 0.0851269057189804 0.137173715716253 0.0182642626191013 0.0383176461233789 0.13919302548099 0.0601261001041612 0.196047950444642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00111111111111111 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00347222222222222 0.00401659604519774 0.00428599259692188 0.00615819209039548 0.00835687382297552 0.0089337968998986 0.00901442307692308 0.0103136770244821 0.0106513409961686 0.0137858992467043 0.0232917561365837 0.0358596743295019 0.0459789739450756 0.0517964698542577 0.0910758331584968 0.100874491279225 0.565372958649734 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0.00163398692810458 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.00326797385620915 0.00490196078431373 0.00490196078431373 0.00574712643678161 0.00614153707459995 0.0065359477124183 0.00777552400270453 0.00777552400270453 0.0113122171945701 0.0138888888888889 0.0138888888888889 0.0170593436313517 0.0204248366013072 0.0697108587828669 0.0744431363092621 0.075 0.0819221628045158 0.0973375902889088 0.463202295225622
2 73.6666666666667 54.6666666666667 7.91666666666667 7.08333333333333 1.66666666666667 1.25 1.08333333333333 0.363460340832627 0.0251208616819315 0.0588906179097136 0.0116609154153767 0.0721742354577021 0.168682912301877 0.0632129280990772 0.236797188301695 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102880658436214 0.00102880658436214 0.00102880658436214 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.00252525252525253 0.00260416666666667 0.00612971209169306 0.00141242937853107 0.00203252032520325 0.00260416666666667 0.00748020855130083 0.0125972115512318 0 0.0135625284759311 0.00208333333333333 0.0280589061225154 0 0 0.00641025641025641 0.0102642276422764 0.0288537310302589 0.0125169226308575 0.026431978864308 0.0218651684497092 0.0193245928062312 0.0456476493971763 0.0969452368184001 0.110836152327974 0.441646616358072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00208333333333333 0.0036231884057971 0.0036231884057971 0.0036231884057971 0.0036231884057971 0.0036231884057971 0.0043859649122807 0.0043859649122807 0.00462962962962963 0.00462962962962963 0.00462962962962963 0.00694444444444444 0.0141908212560386 0.0208333333333333 0.00783475783475784 0.0203763057929725 0 0 0 0.00462962962962963 0.0203763057929725 0 0 0 0.00644517066085694 0.0145477207977208 0.0036231884057971 0.00462962962962963 0 0 0 0 0.0345602568512785 0.0606708032623364 0.12315474270706 0.0374400209926526 0.0321379037477548 0.128684044663652 0.325011443405294
3 99.75 71.0833333333333 12.4166666666667 11.0833333333333 3.33333333333333 1.08333333333333 0.583333333333333 0.227994670466186 0.0218066002861132 0.0364909998945966 0.0151880415915745 0.103117791797397 0.176756179781002 0.0489354469008705 0.203043602615593 0 0 0 0 0 0 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.00177304964539007 0.00177304964539007 0.00200919874122489 0.0076280562707187 0 0.00117370892018779 0.00231481481481481 0 0 0 0.00177304964539007 0.000980392156862745 0.00196078431372549 0.00213156332631806 0.0080666832581567 0.00902226557744103 0.00471422611597831 0.00102880658436214 0.00117370892018779 0.00705264716783359 0.00200919874122489 0.00722240718637708 0.00220588235294118 0.00508732166701806 0.00239919911626622 0.0161109692367316 0.000980392156862745 0 0.00446891589186535 0.0187036973012202 0.0116170040516193 0.0147435746841894 0.0227511236174447 0.052339719139357 0.0122076352891093 0.0242025451040032 0.0936639275508622 0.111384094316321 0.37371854435535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00378787878787879 0.00407473663287617 0.00407473663287617 0.00425279931093885 0.00425279931093885 0.00445156695156695 0.00462962962962963 0.00462962962962963 0.00462962962962963 0.00595238095238095 0 0 0 0 0.0126910126910127 0 0 0 0 0 0.00231481481481481 0 0 0 0.00425279931093885 0.00676638176638177 0.00231481481481481 0.00193798449612403 0.00231481481481481 0.00445156695156695 0.00804067809881763 0 0.00213675213675214 0.00268817204301075 0 0.0061026936026936 0.00213675213675214 0.00213675213675214 0 0.0119047619047619 0 0.00808913308913309 0.00445156695156695 0.00231481481481481 0 0 0.0168799987348374 0.0231826118922893 0.0333949447790408 0.105140858141608 0.0137280580828968 0.121508112834069 0.125848056877689 0.239097320117575
4 125.083333333333 91.6666666666667 14.25 13.75 1.75 1.5 2.16666666666667 0.391328525390262 0.0324474551968826 0.0569658747693369 0.0165353276232472 0.0571268071326774 0.184195443365336 0.0399593990301399 0.221441167492119 0 0 0.00117370892018779 0.00117370892018779 0.00245098039215686 0.00271739130434783 0 0.00245098039215686 0.00287152685505064 0 0 0 0.000524109014675052 0 0.00117370892018779 0.00181159420289855 0 0 0.00117370892018779 0.00723617097289807 0.00169781793486285 0.00242094861660079 0.00151515151515152 0.0124949996678489 0.011046886127111 0.010166919701873 0.00203926052982657 0.00151515151515152 0.015711771593642 0.00493931825388572 0.0073132811740527 0.00169781793486285 0.00399327566062595 0.00210970464135021 0.013264270028578 0 0 0.00117370892018779 0.012953268158541 0.0182969690407226 0.0156843145174431 0.0315518549769193 0.0223393161820792 0.0210280939224241 0.0184671068205691 0.114675548544667 0.0852955121016702 0.375183476437752 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.00158730158730159 0.00260524499654934 0.00297619047619048 0.00297619047619048 0.00376984126984127 0.00462962962962963 0.00595238095238095 0.00767195767195767 0 0 0 0 0 0.000793650793650794 0.000793650793650794 0.00376984126984127 0.00462962962962963 0.00694444444444444 0.000793650793650794 0 0.00251322751322751 0 0.00462962962962963 0 0 0 0.00476190476190476 0 0 0 0 0.00339889579020014 0.00132275132275132 0.0036231884057971 0 0 0 0.000793650793650794 0 0 0 0 0.0174200598113642 0.00802852541982977 0.0164941338854382 0.000793650793650794 0 0.00795739348370927 0.00330687830687831 0 0.000793650793650794 0 0 0.00330687830687831 0 0 0.00291005291005291 0.00158730158730159 0.00608465608465609 0.00388007054673721 0.00935511080438617 0.00392799631930067 0 0 0.00674603174603175 0.0283586381412468 0.0404761904761905 0.133516561129071 0.0372601693444561 0.0143556859136569 0.0938390158165139 0.318029574742008
5 139.916666666667 98.25 17.5833333333333 16.75 2.66666666666667 2.33333333333333 2.25 0.244848491934026 0.0362396292813304 0.115276093667421 0.0103451381055608 0.0585034724886534 0.21673942778455 0.0313745104962191 0.203339902908905 0 0.000925925925925926 0.000530785562632696 0.00219038208168643 0.00181159420289855 0 0 0.00417044300663797 0.00072463768115942 0 0 0.00114155251141553 0.0102350497730933 0.0015203403902034 0 0 0 0 0.000925925925925926 0 0.00179341182525896 0 0 0.00126262626262626 0.014561537999038 0.00224497807136282 0.00462962962962963 0.00297619047619048 0.0131752794232925 0.0111325402877294 0.0102454594756762 0.00737314811151698 0.00450279734714448 0.000378787878787879 0.0266748652622545 0 0.00126262626262626 0.00462962962962963 0.00625032005224828 0.0209120231088696 0.0121417775516399 0.035630682313478 0.0204555619066147 0.00881690766108574 0.0151864657522787 0.105514680325938 0.10004183244686 0.377362937209978 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000672043010752688 0.000672043010752688 0.000672043010752688 0.000672043010752688 0.00112612612612613 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00225225225225225 0.00244038259958071 0.00396825396825397 0 0 0.000868055555555556 0.00225225225225225 0.00645651779230211 0.00587214052287582 0 0 0 0 0 0.00157232704402516 0 0 0 0 0 0.00154009856630824 0 0.00314465408805031 0.00157232704402516 0 0 0.00225225225225225 0.00925925925925926 0.00613021109344639 0.0126293572984749 0.00308641975308642 0.000672043010752688 0 0 0 0.00163398692810458 0 0 0 0.00308641975308642 0 0.00623107384113673 0 0 0 0 0 0 0 0.00157232704402516 0.0173580443188286 0.00549457387495022 0 0.00867488198983297 0 0.00404214104996837 0.0188033442852051 0 0.00157232704402516 0 0 0.0131205955449739 0 0 0.00552680235266713 0.0129123558025361 0.00771037581699346 0 0.00286223723723724 0.00398836336336336 0 0 0.00407436952768529 0.0349290480376908 0.0259792206054125 0.0965832252915825 0.0045045045045045 0.0304778286477795 0.111039904930094 0.336655297887684
6 114.416666666667 80.75 14.8333333333333 10.9166666666667 2.83333333333333 2.41666666666667 2.66666666666667 0.318262486748823 0.0297650442668694 0.0468048100853198 0.0112875497956556 0.0948729280780904 0.221104793192414 0.0699476989537777 0.207954688879051 0 0.00193798449612403 0 0 0 0 0 0.00134408602150538 0 0 0.00134408602150538 0 0.00403676434904987 0 0.00153374233128834 0.00198412698412698 0 0.00134408602150538 0.000511247443762781 0 0.000295508274231678 0.00462615653913478 0.000511247443762781 0.00134408602150538 0.00733187349522284 0.00636849097939602 0.00181159420289855 0.00163398692810458 0.00405429226158999 0.00395589416125055 0.00379494231977063 0.00472582972582973 0.0135694543015506 0.00387596899224806 0.0359030522784524 0.00136612021857923 0.00181159420289855 0.00713454299624369 0.0155981910838546 0.0342366310358054 0.014504224671149 0.0284720455940934 0.0208868973398425 0.0184847596475687 0.0254263184049651 0.138663265505446 0.107533814109523 0.478043093596214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109649122807018 0.00109649122807018 0.00136612021857923 0.00219298245614035 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173814402810304 0.00136612021857923 0 0.00297619047619048 0 0 0 0 0.00347222222222222 0.00146851503759398 0.0045687134502924 0 0 0 0.00037202380952381 0.00384424603174603 0 0 0 0 0 0 0.00347222222222222 0.00248219164715066 0 0 0 0 0 0.0040922619047619 0 0 0 0 0.00211016783762685 0 0.00173814402810304 0 0 0 0 0 0 0 0 0.00694444444444444 0.00037202380952381 0 0.00378787878787879 0.0103105958369116 0.0111607142857143 0.0318359492283673 0 0.00490196078431373 0 0 0.0229073777997958 0 0 0.00627007043502945 0.0097584706959707 0.0138507326007326 0.00136612021857923 0.0204435071848981 0.00424691997437899 0 0 0.00347628805620609 0.0279617833274002 0.0507427095002591 0.141443568821776 0.0316536512075421 0.0295924625896585 0.104446334056831 0.418687223396532
7 136.5 99.8333333333333 16.1666666666667 13.5833333333333 2.41666666666667 3 1.5 0.278543166648795 0.0376137823853756 0.0692129759531033 0.0142685759836487 0.0996730659943759 0.226423090732234 0.058913705788718 0.215351636513749 0 0.00272308042437711 0 0 0 0 0.00141242937853107 0 0.00141242937853107 0 0 0 0 0.000414593698175788 0.00534843314981893 0.00287441768262464 0 0.00206976626785804 0.00117370892018779 0.00272308042437711 0 0.00189393939393939 0 0.00668678608617455 0.0135209025964171 0.00200289631653937 0.00230848672620132 0.00131065104584604 0.018205690446069 0.00876206417564302 0.0117252576929863 0.000656167979002625 0.0153603736951535 0.00960442246335802 0.0223491776101887 0.000414593698175788 0.000414593698175788 0.00652214207000672 0.00857261048152304 0.0121290632886934 0.0179979206169878 0.0428308413771672 0.0276189240699789 0.0112211132746513 0.0250660048644156 0.104188246996135 0.102971587329617 0.505513602682472 0 0 0 0 0 0 0 0 0 0.00163398692810458 0.00173611111111111 0.00277777777777778 0.00277777777777778 0.00378787878787879 0.0104166666666667 0 0.0120506535947712 0 0 0 0 0 0 0 0 0 0 0 0 0.0153311965811966 0 0 0 0 0.000915750915750916 0 0.00769230769230769 0.00173611111111111 0 0 0.000915750915750916 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.0025531045751634 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0.00305250305250305 0.00378787878787879 0.00305250305250305 0 0 0 0 0 0 0.00378787878787879 0.00277777777777778 0.0178277338603426 0.00769230769230769 0.000816993464052288 0.00769230769230769 0.00277777777777778 0.00520833333333333 0.00305250305250305 0 0 0 0 0.00652472527472527 0 0.000915750915750916 0 0.0091765873015873 0.00213675213675214 0.000816993464052288 0.00386949651655534 0.0042858489549666 0 0.000816993464052288 0.00346885549091431 0.0409070708703062 0.0483742786412224 0.0949412249444219 0.0238689149015236 0.0349325732877523 0.1077652677317 0.482666537781627
8 126.083333333333 92.25 12.4166666666667 14.0833333333333 3 2.41666666666667 1.91666666666667 0.319140253163906 0.0457234946608615 0.0449423995961811 0.0189365711274491 0.0978653419224458 0.229447598104639 0.0344942423880837 0.209450099036433 0 0 0 0 0 0 0 0.0027318763326226 0.00474028459103086 0 0 0 0.00275864268401582 0.000833333333333333 0.00225225225225225 0.00213675213675214 0 0 0 0.00446804439341753 0.00996622553074166 0.00106837606837607 0.00106837606837607 0.00186567164179104 0.00606837606837607 0.000621890547263682 0 0 0.0129472521514714 0.006948649733454 0.0179275616029347 0.00182653167727795 0.00482492417976289 0.00479815782836967 0.0263827506405096 0 0 0.00213675213675214 0.0106208137838448 0.0173138213486256 0.0181886417225849 0.0440168505187162 0.0177239033768884 0.00498129358203985 0.0224920270442658 0.136226185021623 0.0973688179669903 0.512694964035539 0 0 0 0 0 0 0.00122549019607843 0.00297619047619048 0.00297619047619048 0 0 0 0 0 0 0 0 0.00241907107670654 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0 0 0.0104166666666667 0.00241907107670654 0 0.00122549019607843 0.00340136054421769 0.00297619047619048 0 0.00429553264604811 0.00346327319587629 0 0 0 0 0 0 0 0.00170068027210884 0 0 0.00346327319587629 0.00297619047619048 0 0 0 0 0 0 0 0 0 0.00502323774337321 0 0 0 0.00297619047619048 0.00170068027210884 0 0.0133928571428571 0 0 0 0 0 0 0 0 0.0238776065981948 0.00510204081632653 0 0.00595238095238095 0 0.0102708446373666 0.00887042739242871 0 0.00170068027210884 0 0.00122549019607843 0.0100640082730568 0 0 0.0168504901960784 0.0203137633919547 0 0 0.00260416666666667 0.00430484693877551 0 0 0.00430484693877551 0.0604351206857012 0.0361457082833133 0.190833885567072 0.00842713374009398 0.0190920118047219 0.0928671524038358 0.406029077367305
9 95.25 66.0833333333333 10.25 10.4166666666667 3.16666666666667 3.08333333333333 2.25 0.355592407171059 0.0363682180067299 0.0280186635972412 0.00234663826230692 0.0866483859339742 0.268171461539648 0.0354894926797333 0.187364732809308 0 0.000534188034188034 0 0 0 0.00252525252525253 0.00219298245614035 0 0.00555555555555556 0 0 0 0.00225694444444444 0 0.00219298245614035 0 0 0 0 0 0.00178380647130647 0 0 0.000915750915750916 0.00583728376580173 0.0138888888888889 0 0 0.00760767010767011 0.00767047635498234 0.0182953630656908 0.00608974358974359 0.00874472749472749 0.000534188034188034 0.0371179486503614 0.000915750915750916 0 0.00219298245614035 0.0112850909070969 0.0245751074568694 0.0130081337818252 0.0391991339039677 0.0162853137359716 0.00835718913051091 0.0107420575515635 0.140481481477706 0.0683820377256944 0.540831968146069 0 0 0 0.000946969696969697 0.000946969696969697 0.00595238095238095 0 0 0 0.00416666666666667 0 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.00548941798941799 0 0 0 0.000841750841750842 0.00852272727272727 0.00347222222222222 0.00697450697450697 0 0 0 0.0119949494949495 0 0 0.0277777777777778 0 0 0 0 0.00132275132275132 0 0 0.0110479797979798 0 0 0 0 0.0148852470281042 0 0.00416666666666667 0 0 0 0.000946969696969697 0 0 0 0 0.000841750841750842 0.00132275132275132 0.0147658558372844 0 0 0 0 0 0 0 0 0.0152288188002474 0.00216450216450216 0 0.00320512820512821 0 0.000841750841750842 0.024381192624796 0 0.00320512820512821 0 0 0.0212503948511411 0 0 0.00170068027210884 0.0214410259053116 0.00745169355243982 0.00311147186147186 0.0079326940334403 0.0102719700933987 0 0 0.0102870013584299 0.0520210939853797 0.0188977688977689 0.121510231358312 0.0118205868205868 0.0207955404383976 0.0480670636320956 0.463861283330899
10 92.5 74.1666666666667 7.33333333333333 7.41666666666667 1.25 1 1.33333333333333 0.41957462406799 0.0380601729767831 0.0344156487197368 0.0274951982376962 0.0749337062904343 0.201196545824048 0.0311636681020256 0.173160435781285 0.0208333333333333 0.00146198830409357 0 0 0 0 0 0 0.000816993464052288 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0 0 0 0.00476190476190476 0 0 0 0.0113636363636364 0.00547972653836324 0.00465993414909824 0.00225377507324769 0.00995670995670996 0.00240895800106326 0.0551490524439441 0 0 0 0.0148915626856803 0.0235443667100014 0.0276450719428727 0.0206225791752108 0.0171331705701034 0.0014367816091954 0.0151515151515152 0.112806646086912 0.073386151853911 0.488521856110865 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0.00432215897111533 0 0.00490196078431373 0 0 0 0.0014367816091954 0 0 0 0 0 0 0 0 0 0 0.0014367816091954 0 0 0 0 0.00268817204301075 0 0 0 0 0 0.0028735632183908 0 0 0 0 0.00490196078431373 0 0.00268817204301075 0 0 0 0 0 0 0 0 0.0208333333333333 0.00490196078431373 0 0 0 0.00490196078431373 0.0188846192739407 0 0 0 0.00432215897111533 0.0207039973774254 0 0 0.0053763440860215 0.0366074868953885 0.00862068965517241 0.00163398692810458 0.0271446937821412 0.0251436781609195 0 0 0.0251436781609195 0.0156546489563567 0.0416666666666667 0.133870295316375 0.0036231884057971 0.0112133212331216 0.0841650127584129 0.394317222031271
