"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ji_Proportion" "Transition_jc_Proportion" "Transition_oc_Proportion" "Transition_io_Proportion" "Transition_ec_Proportion" "Transition_oe_Proportion" "Transition_gh_Proportion" "Transition_ce_Proportion" "Transition_ho_Proportion" "Transition_cj_Proportion" "Transition_jh_Proportion" "Transition_cc_Proportion" "Transition_ej_Proportion" "Transition_hh_Proportion" "Transition_eh_Proportion" "Transition_ei_Proportion" "Transition_gj_Proportion" "Transition_ee_Proportion" "Transition_oj_Proportion" "Transition_ci_Proportion" "Transition_so_Proportion" "Transition_oo_Proportion" "Transition_jg_Proportion" "Transition_sh_Proportion" "Transition_eg_Proportion" "Transition_ig_Proportion" "Transition_se_Proportion" "Transition_je_Proportion" "Transition_ie_Proportion" "Transition_sj_Proportion" "Transition_oi_Proportion" "Transition_hj_Proportion" "Transition_co_Proportion" "Transition_oh_Proportion" "Transition_og_Proportion" "Transition_go_Proportion" "Transition_ih_Proportion" "Transition_ic_Proportion" "Transition_cg_Proportion" "Transition_jj_Proportion" "Transition_ge_Proportion" "Transition_hg_Proportion" "Transition_ij_Proportion" "Transition_ii_Proportion" "Transition_gc_Proportion" "Transition_gi_Proportion" "Transition_sc_Proportion" "Transition_js_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ois_Proportion" "Transition_isi_Proportion" "Transition_ies_Proportion" "Transition_csi_Proportion" "Transition_ges_Proportion" "Transition_ogc_Proportion" "Transition_iog_Proportion" "Transition_eee_Proportion" "Transition_sse_Proportion" "Transition_csh_Proportion" "Transition_oes_Proportion" "Transition_ecs_Proportion" "Transition_sec_Proportion" "Transition_csc_Proportion" "Transition_gos_Proportion" "Transition_hoi_Proportion" "Transition_hsh_Proportion" "Transition_ces_Proportion" "Transition_iee_Proportion" "Transition_sie_Proportion" "Transition_sjs_Proportion" "Transition_sgh_Proportion" "Transition_ghg_Proportion" "Transition_iig_Proportion" "Transition_iei_Proportion" "Transition_eii_Proportion" "Transition_igc_Proportion" "Transition_gcs_Proportion" "Transition_jes_Proportion" "Transition_ige_Proportion" "Transition_gee_Proportion" "Transition_ise_Proportion" "Transition_gii_Proportion" "Transition_ogg_Proportion" "Transition_sic_Proportion" "Transition_jso_Proportion" "Transition_gsj_Proportion" "Transition_ogi_Proportion" "Transition_csg_Proportion" "Transition_gsh_Proportion" "Transition_esi_Proportion" "Transition_hsi_Proportion" "Transition_ish_Proportion" "Transition_shs_Proportion" "Transition_hsg_Proportion" "Transition_sig_Proportion" "Transition_igg_Proportion" "Transition_cgs_Proportion" "Transition_isc_Proportion" "Transition_scc_Proportion" "Transition_scg_Proportion" "Transition_gsi_Proportion" "Transition_ggs_Proportion" "Transition_sjg_Proportion" "Transition_geh_Proportion" "Transition_hhh_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_gse_Proportion" "Transition_isg_Proportion" "Transition_jgs_Proportion" "Transition_ehg_Proportion" "Transition_seh_Proportion" "Transition_sso_Proportion" "Transition_soo_Proportion" "Transition_see_Proportion" "Transition_ses_Proportion" "Transition_iii_Proportion" "Transition_sii_Proportion" "Transition_ssi_Proportion" "Transition_ooo_Proportion" "Transition_soj_Proportion" "Transition_igi_Proportion" "Transition_osi_Proportion" "Transition_sjj_Proportion" "Transition_hss_Proportion" "Transition_ssj_Proportion" "Transition_sis_Proportion" "Transition_jsg_Proportion" "Transition_ese_Proportion" "Transition_sge_Proportion" "Transition_gig_Proportion" "Transition_igs_Proportion" "Transition_gsg_Proportion" "Transition_hgs_Proportion" "Transition_goh_Proportion" "Transition_scs_Proportion" "Transition_ohs_Proportion" "Transition_jjs_Proportion" "Transition_iis_Proportion" "Transition_ess_Proportion" "Transition_sgi_Proportion" "Transition_sgs_Proportion" "Transition_ggg_Proportion" "Transition_sgg_Proportion" "Transition_gis_Proportion" "Transition_ssg_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_oss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 148.916666666667 128.916666666667 10 7.33333333333333 1.58333333333333 0.666666666666667 0.416666666666667 0.641345628451363 0.0454450301184267 0.0379941142001893 0.0254487632648203 0.0233373936495999 0.118605808799767 0.0228690029562225 0.0849542585596113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00148809523809524 0.00148809523809524 0.00148809523809524 0.00151515151515152 0.00151515151515152 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00181159420289855 0.00219298245614035 0.00219298245614035 0.00219298245614035 0.00277777777777778 0.00300324675324675 0.00325126262626263 0.00391414141414141 0.00462962962962963 0.00716374269005848 0.00885073561703996 0.00973031227607887 0.0114207551707552 0.0143645303971391 0.0145607073238652 0.014781746031746 0.0162223947550034 0.0289625682288726 0.0299232346071591 0.0496783412472772 0.116853480869499 0.632915151157428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.0043859649122807 0.0043859649122807 0.0043859649122807 0.00555555555555556 0.00555555555555556 0.00555555555555556 0.00617283950617284 0.00641025641025641 0.0103785103785104 0.0103785103785104 0.0111111111111111 0.0128205128205128 0.0134920634920635 0.0331569664902998 0.0517393019586002 0.0679418453541261 0.0802615513141829 0.64470703111054
2 176.166666666667 141.666666666667 14.6666666666667 13.6666666666667 2.58333333333333 2.33333333333333 1.25 0.700080355835181 0.0303170025786225 0.0197749278709045 0.00729313554381888 0.0137727184507434 0.146477223842865 0.0155353667922561 0.0667492690856087 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000863557858376511 0.0014605855135504 0.00148809523809524 0.00148809523809524 0.00148809523809524 0.00154320987654321 0.00170068027210884 0.00239355001259763 0.00255102040816327 0.00299601705967361 0.00300379539009361 0 0.00224942456580875 0.00613745626184971 0 0.00128211906524268 0.002681203494997 0 0 0 0 0 0 0 0 0 0.00154320987654321 0.000431778929188256 0.00244123596289321 0 0.00297619047619048 0 0.00327823115017089 0.00170068027210884 0.00384575978454963 0.00981347498195763 0.011260884014879 0.0107661388380333 0.0127671249407816 0.0184652210057382 0.00473198538674729 0.00914055905140663 0.0603047012576881 0.122654563111291 0.690551355466542 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000771604938271605 0.000771604938271605 0.000771604938271605 0.000771604938271605 0.000771604938271605 0.000771604938271605 0.000771604938271605 0.00154320987654321 0.00170068027210884 0.00170068027210884 0.00170068027210884 0.00170068027210884 0.00320512820512821 0.00320512820512821 0.00320512820512821 0.00320512820512821 0.00320512820512821 0.00340136054421769 0.0036231884057971 0.0036231884057971 0.0036231884057971 0.0036231884057971 0.00439479334406871 0.00508517670989067 0.0100297471306516 0 0 0 0.00146198830409357 0.00146198830409357 0.0028735632183908 0.00457424349049965 0 0 0 0 0 0.0178128165116814 0 0.00936134351569491 0.000771604938271605 0.00850851700497366 0.00170068027210884 0.012681482487463 0.00441677309493401 0.0130735492577598 0 0.0451048891753352 0.12125019277552 0.687769729738642
3 170 138.833333333333 14.3333333333333 11.4166666666667 2 2.66666666666667 0.75 0.704557679706619 0.0377528302492223 0.0160946420075441 0.0171182228272187 0.0209843540248402 0.126973839107056 0.0133425130306483 0.063175919046852 0 0 0 0 0 0 0 0 0 0 0 0.000744047619047619 0.00193798449612403 0 0 0 0 0 0 0 0.00193798449612403 0 0.000744047619047619 0 0 0.00168141873671521 0.0006265664160401 0 0 0.0151206140350877 0 0 0 0 0 0.00105485232067511 0 0 0.00192864974937343 0 0.00105485232067511 0.00238095238095238 0 0.00556117290192113 0 0 0.00204613095238095 0.00130208333333333 0.0141682330827068 0.00778273419290888 0.0194932025722318 0.0138784461152882 0.0166446079597729 0.00480641873671521 0.0125392970070525 0.0522416215308764 0.081066020151089 0.739258061273861 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.0036231884057971 0.0043859649122807 0.0087719298245614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0 0 0 0 0 0.00561145510835913 0 0.00742304931125768 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0 0.0043859649122807 0.00122549019607843 0.0105134158926729 0 0.00928792569659443 0 0.034092985020095 0.00252525252525253 0.0382122962214495 0.0544615967182935 0.8056755636864
4 183.583333333333 151 14 13 2.16666666666667 2.25 1.16666666666667 0.69404617525534 0.0299766393667282 0.0218851916342247 0.0156880409397971 0.0207901531355032 0.140328156174831 0.0132215524391092 0.0640640910544661 0 0 0 0 0 0 0 0 0 0.000712250712250712 0.00157232704402516 0.00157232704402516 0.00157232704402516 0 0 0 0 0 0 0 0.00157232704402516 0 0.000712250712250712 0.00548858607034708 0 0.0039691560081631 0.000771604938271605 0 0 0.00224576271186441 0 0.000712250712250712 0 0 0 0 0 0 0 0.000833333333333333 0.000712250712250712 0 0 0.00228457775627587 0.000771604938271605 0.0017921146953405 0.00234393198229676 0.0163843642567047 0.00974893653077488 0.0083162213979824 0.010930425720444 0.0081947939703602 0.0197019558181718 0.0103358878409599 0.00591642924976258 0.0512690954415032 0.102808133796581 0.726754772517488 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0.00268817204301075 0.00268817204301075 0.00268817204301075 0 0 0 0 0.00396825396825397 0.00396825396825397 0 0 0.00898818695428865 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0.0053763440860215 0 0 0 0 0.00170068027210884 0.00900760945403803 0.00170068027210884 0.00825899011382882 0 0 0.0016025641025641 0 0.00482253086419753 0.00330324437467295 0 0 0 0 0 0 0.00396825396825397 0.00141242937853107 0.00442428315412186 0 0.00764738962125968 0.00141242937853107 0.00924995372382378 0.00629154795821462 0.00920602215245072 0.018356546769077 0.0386248661637405 0.102300055861396 0.733139239106102
5 167.583333333333 131.416666666667 15.8333333333333 13.6666666666667 3.41666666666667 2.08333333333333 1.16666666666667 0.679603232320182 0.0349773344700448 0.0277671542328038 0.0197642622216728 0.017286212966703 0.134446570928483 0.0224812941265725 0.0636739387335374 0 0 0 0 0 0 0.000603864734299517 0.00177304964539007 0.00247926433465561 0 0 0 0.00208333333333333 0 0 0 0 0 0 0 0.00538167872821521 0.00128205128205128 0.00087719298245614 0.00877954745266516 0 0.00344683156031719 0.00191394415786457 0 0 0.0018859160163508 0 0 0 0 0.00273873501446879 0 0 0.00122549019607843 0.00467232175639562 0 0 0 0.000706214689265537 0.00410691003911343 0.000603864734299517 0.00273873501446879 0.00685386473429952 0.00777351729568271 0.00970103192876363 0.0133591809244412 0.0117084302257615 0.0198497656282044 0.0342077404795822 0.012726551549859 0.0203863573194822 0.0489733835746673 0.108357960066599 0.658803270600968 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00177304964539007 0.00177304964539007 0.00268817204301075 0.00320512820512821 0.00320512820512821 0.00416666666666667 0.00416666666666667 0.00555555555555556 0 0 0 0.00124378109452736 0 0 0 0.00856158276716775 0 0 0 0.00446122168840082 0.00555555555555556 0 0 0 0 0 0 0.00177304964539007 0 0 0 0 0.00320512820512821 0 0 0.00177304964539007 0.00497817785051828 0 0 0 0 0 0 0.0153700098541111 0 0.00622195894504564 0 0 0 0 0 0.0121076820579479 0 0 0 0 0 0.00320512820512821 0.0157407407407407 0.00177304964539007 0.0107804232804233 0.00555555555555556 0.0250814485492161 0 0.0157558837020571 0.0120520119765912 0.030408174620623 0.0235352409265453 0.0463822176885096 0.0822908847028071 0.634410845369766
6 151.166666666667 121.833333333333 12.25 11.6666666666667 2.5 2 0.916666666666667 0.758815779596447 0.0329333901122442 0.017456426939804 0.015583041605529 0.0172401891488589 0.0997598741536011 0.00949386508196364 0.0487174333615526 0 0 0 0 0 0.00241545893719807 0.00130208333333333 0 0 0 0 0 0 0 0 0.00120772946859903 0.00252525252525253 0.00347222222222222 0 0 0.00120772946859903 0 0 0.000868055555555556 0.000957854406130268 0.00554800724637681 0.0014367816091954 0.00252525252525253 0.00494071146245059 0.0043740076348772 0 0 0 0 0.000641025641025641 0 0 0 0 0.00120772946859903 0.00347222222222222 0.00130208333333333 0 0.00328351449275362 0.00207578502415459 0.000868055555555556 0 0.00248978075065032 0.00910092302333682 0.0110460915375646 0.00742922008547009 0.00882008915414088 0.0263643393192681 0.012798571394664 0.00864685846179474 0.0428354447120845 0.0736550844260271 0.751182035002312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0.00245098039215686 0.00245098039215686 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00641025641025641 0.00833333333333333 0.00833333333333333 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0.00185185185185185 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0.00802469135802469 0 0.00416666666666667 0 0 0 0 0.00185185185185185 0.00614600107353731 0 0 0 0 0 0.00185185185185185 0.017948717948718 0 0.0125562574837937 0.00120772946859903 0.0101197665056361 0 0.00891203703703704 0.00550187869028449 0.00949667616334283 0.0068638380658841 0.0367221104966203 0.07196819827894 0.74154918780345
7 146.416666666667 119.333333333333 11.1666666666667 11.9166666666667 2.16666666666667 1 0.833333333333333 0.748133549500399 0.030187817778667 0.0172845370231604 0.0253544814895931 0.0194925125112247 0.095366482478556 0.00843342893386927 0.0557471902845301 0 0 0 0 0.000706214689265537 0 0 0.000968992248062015 0.000968992248062015 0.00132275132275132 0 0 0 0 0 0 0 0.00188474316381293 0 0.00494593972854842 0.00132275132275132 0 0.00401493930905696 0.00264419918538957 0.000915750915750916 0.000968992248062015 0.00440255205597702 0.00163398692810458 0.0033499446290144 0.00712844169972784 0.000968992248062015 0 0 0.00229174357081334 0 0.000968992248062015 0 0 0 0.00254973784385549 0 0 0 0.00188474316381293 0 0.000915750915750916 0.00193798449612403 0.00436916762938697 0.0163808277366238 0.00555117592957561 0.0111182305943851 0.00821537219842305 0.0288424216914608 0.0143643911381397 0.0139699707547227 0.0325463726160271 0.0812169456338949 0.734727987896543 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.00122549019607843 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00330882352941176 0 0 0 0 0 0 0 0.00208333333333333 0.00225225225225225 0 0 0 0 0.00208333333333333 0.00397727272727273 0 0 0 0 0 0 0.00189393939393939 0.00462962962962963 0 0.00208333333333333 0.00208333333333333 0 0 0 0 0.0062799043062201 0.00955882352941177 0.0062799043062201 0.00817384370015949 0 0 0 0 0.00208333333333333 0.00122549019607843 0 0 0 0.00208333333333333 0 0 0.0206228956228956 0 0.00434491978609626 0.00189393939393939 0.0140341905047787 0 0.0136758776464659 0.0106248240923164 0.020439219936124 0.0133467023172906 0.0192317264492187 0.0927058047027087 0.71196570225208
8 154.916666666667 128.5 11.1666666666667 10 2.58333333333333 1.66666666666667 1 0.793773549764338 0.0199712322346764 0.0158909126739229 0.0127533416445398 0.0134089910813816 0.094543892615257 0.00792770277224589 0.0417303772136387 0 0 0 0.00105485232067511 0 0.00213675213675214 0.00416666666666667 0 0.00105485232067511 0 0 0 0 0.00606684981684982 0 0 0 0.00383263009845288 0 0 0.0016025641025641 0 0 0.00309065934065934 0 0.00138888888888889 0.00244374120956399 0 0.00087719298245614 0 0 0 0 0 0.00105485232067511 0 0 0 0 0.00138888888888889 0.00105485232067511 0 0 0.00282790196606518 0.00105485232067511 0.00621488141687441 0 0.00413300550286852 0.00677689817840676 0.00105485232067511 0.00908079050986937 0.00481836127035427 0.0216588418537435 0.0113102066132238 0.00925168212402255 0.0362206690799176 0.0696925710314512 0.701356909064076 0 0 0 0.00157232704402516 0.00219298245614035 0.00219298245614035 0.00219298245614035 0.00333333333333333 0.00333333333333333 0.0036231884057971 0.00641025641025641 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00330843815513627 0 0 0 0.00505050505050505 0.00614844093104963 0.00252525252525253 0 0 0 0 0 0 0 0.00333333333333333 0 0 0.00376530950016551 0.00173611111111111 0 0 0 0.00219298245614035 0 0 0 0.00592320261437908 0 0 0 0 0 0.00666666666666667 0 0 0 0 0 0.00157232704402516 0.00219298245614035 0 0.0137404143219684 0 0.00471823498139288 0.00376530950016551 0.00962389535875137 0.00607416879795396 0.0180160282703351 0.0118903396598914 0.0328587767372254 0.0422709985598284 0.702705451628972
9 138.333333333333 111.333333333333 11.5833333333333 10.0833333333333 1.75 2.41666666666667 1.16666666666667 0.785732631406375 0.0189666795996548 0.0136442109888675 0.0190009351930605 0.0182568029157791 0.0926693592355965 0.0124481272773862 0.0392812533832808 0 0.00198412698412698 0.00245098039215686 0.000737463126843658 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0 0 0 0 0 0 0 0.00198412698412698 0.00419954082040715 0 0.00318844351900052 0.000737463126843658 0 0 0 0 0 0 0.000801282051282051 0 0 0 0 0 0.000737463126843658 0.00146198830409357 0 0 0.00571369604425305 0.00774984194611421 0.0051725705031275 0.00470571709509763 0.00529603204847732 0.0119948432141504 0.0162270553604492 0.015106930502109 0.0216213994519565 0.0306706307367284 0.0652756647794242 0.790920113619761 0 0.00157232704402516 0.00694444444444444 0 0 0 0 0 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0 0.00157232704402516 0 0 0 0 0 0 0.00245098039215686 0 0 0.00252525252525253 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0045343137254902 0 0 0.00245098039215686 0 0 0 0 0 0.00705956625074272 0 0.00181159420289855 0 0.00181159420289855 0.0137531366114945 0.044947486332059 0.0188782011756485 0.0123085974431701 0.0398017912968089 0.74769551362196
10 119.416666666667 98.9166666666667 8.33333333333333 7.91666666666667 1.5 1.83333333333333 0.916666666666667 0.827778936310381 0.0259586767683021 0.0151361637123713 0.0190172234694394 0.0100465718352544 0.070541708834947 0.00567842026290386 0.0258422988064015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00171821305841924 0.00203252032520325 0 0 0.00378787878787879 0.000859106529209622 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0.00203252032520325 0.00185185185185185 0.0038843721770551 0.00289162685441287 0.0038441145281018 0.0148881919804307 0.00503899021940259 0.015664656294109 0.0122912969380702 0.0104797027351717 0.0315616306780628 0.060201053107457 0.824939753284757 0.00146198830409357 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0.00146198830409357 0 0 0 0 0.00694444444444444 0.00292397660818713 0 0 0 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0 0.00641025641025641 0.00146198830409357 0 0 0 0 0 0.0105769230769231 0 0.0145654473062088 0 0 0 0 0 0 0 0 0 0 0 0 0.00787224471434998 0 0.0169555188971437 0.00146198830409357 0 0 0.00586091410559496 0.00641025641025641 0.0131578947368421 0.0129385964912281 0.0212662270333043 0.0454054245907549 0.730196355606355
