"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_hj_Proportion" "Transition_jc_Proportion" "Transition_ij_Proportion" "Transition_cc_Proportion" "Transition_go_Proportion" "Transition_hh_Proportion" "Transition_jo_Proportion" "Transition_gh_Proportion" "Transition_ch_Proportion" "Transition_gj_Proportion" "Transition_cj_Proportion" "Transition_oe_Proportion" "Transition_jh_Proportion" "Transition_hi_Proportion" "Transition_ei_Proportion" "Transition_gc_Proportion" "Transition_ih_Proportion" "Transition_oi_Proportion" "Transition_eh_Proportion" "Transition_je_Proportion" "Transition_ie_Proportion" "Transition_ce_Proportion" "Transition_se_Proportion" "Transition_og_Proportion" "Transition_ci_Proportion" "Transition_hg_Proportion" "Transition_eg_Proportion" "Transition_cg_Proportion" "Transition_ee_Proportion" "Transition_ic_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_jg_Proportion" "Transition_ji_Proportion" "Transition_jj_Proportion" "Transition_so_Proportion" "Transition_ii_Proportion" "Transition_sh_Proportion" "Transition_ge_Proportion" "Transition_es_Proportion" "Transition_sc_Proportion" "Transition_gg_Proportion" "Transition_hs_Proportion" "Transition_sj_Proportion" "Transition_sg_Proportion" "Transition_si_Proportion" "Transition_cs_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_hgs_Proportion" "Transition_sse_Proportion" "Transition_jci_Proportion" "Transition_hsi_Proportion" "Transition_jsi_Proportion" "Transition_cis_Proportion" "Transition_jjj_Proportion" "Transition_ggi_Proportion" "Transition_jis_Proportion" "Transition_ges_Proportion" "Transition_sge_Proportion" "Transition_ige_Proportion" "Transition_sih_Proportion" "Transition_hse_Proportion" "Transition_ihs_Proportion" "Transition_egg_Proportion" "Transition_ois_Proportion" "Transition_sgo_Proportion" "Transition_ise_Proportion" "Transition_ses_Proportion" "Transition_sgi_Proportion" "Transition_shi_Proportion" "Transition_eei_Proportion" "Transition_hii_Proportion" "Transition_csh_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_gse_Proportion" "Transition_see_Proportion" "Transition_ghs_Proportion" "Transition_gei_Proportion" "Transition_eis_Proportion" "Transition_gsi_Proportion" "Transition_jgs_Proportion" "Transition_ces_Proportion" "Transition_csg_Proportion" "Transition_sos_Proportion" "Transition_gce_Proportion" "Transition_cgc_Proportion" "Transition_eee_Proportion" "Transition_jhs_Proportion" "Transition_cee_Proportion" "Transition_ice_Proportion" "Transition_hsj_Proportion" "Transition_esi_Proportion" "Transition_iii_Proportion" "Transition_ees_Proportion" "Transition_his_Proportion" "Transition_ies_Proportion" "Transition_jgg_Proportion" "Transition_esg_Proportion" "Transition_shs_Proportion" "Transition_scs_Proportion" "Transition_gie_Proportion" "Transition_iis_Proportion" "Transition_igs_Proportion" "Transition_jsj_Proportion" "Transition_hsg_Proportion" "Transition_gii_Proportion" "Transition_gsg_Proportion" "Transition_sis_Proportion" "Transition_egs_Proportion" "Transition_shg_Proportion" "Transition_hgg_Proportion" "Transition_csi_Proportion" "Transition_ish_Proportion" "Transition_sig_Proportion" "Transition_ssi_Proportion" "Transition_iig_Proportion" "Transition_gis_Proportion" "Transition_isg_Proportion" "Transition_ggs_Proportion" "Transition_jsg_Proportion" "Transition_igg_Proportion" "Transition_hss_Proportion" "Transition_ess_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_ssj_Proportion" "Transition_sjj_Proportion" "Transition_sgs_Proportion" "Transition_ggg_Proportion" "Transition_isi_Proportion" "Transition_sii_Proportion" "Transition_sjs_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 113.25 97.75 8.5 5 1.16666666666667 0.416666666666667 0.416666666666667 0.593807760513492 0.0468975416029543 0.044194484152177 0.0429182348794815 0.0118165647144209 0.110571268500558 0.0256624210307344 0.124131724606181 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0.00189393939393939 0.00193798449612403 0.00297619047619048 0.00297619047619048 0.00378787878787879 0.00378787878787879 0.00408692185007974 0.00490196078431373 0.00543478260869565 0.00559947299077734 0.00870205376019329 0.00927589448849627 0.00930013988459521 0.0159818639576236 0.0255300093962885 0.0409520972420589 0.0894330045133778 0.109715473693489 0.651914668208911 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0.00297619047619048 0.00490196078431373 0.00490196078431373 0.00490196078431373 0.00595238095238095 0.00595238095238095 0.00595238095238095 0.00641025641025641 0.0190631808278867 0.0255952380952381 0.0577940577940578 0.0860374919198448 0.095838720103426 0.670745648686825
2 186.666666666667 157.5 14 11 2 1.58333333333333 0.583333333333333 0.600494414022689 0.049965720005932 0.0303887118327055 0.0148628449637993 0.0217962155583006 0.137725941059071 0.0215525561157424 0.123213596441761 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0.00119047619047619 0.0016025641025641 0.00228310502283105 0.00233202870189172 0.00233202870189172 0.00262964774951076 0.00297619047619048 0.00589260043256654 0.00657941361937972 0.00213675213675214 0 0.000859106529209622 0 0.0139291041587254 0.00114155251141553 0.00148809523809524 0.00662833729844039 0.000915750915750916 0.0165308291073249 0.00960961527971837 0 0.0166634118450092 0.0106940204737126 0.0237721055703693 0.00897358302385841 0.0241066580862794 0.0894379856483499 0.103307713173265 0.640845771495006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00213675213675214 0.00213675213675214 0.00213675213675214 0.00213675213675214 0.00225225225225225 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00333333333333333 0.00333333333333333 0.00333333333333333 0.00333333333333333 0.0036231884057971 0.00555555555555556 0.00571428571428571 0.00575994054254924 0.00891891891891892 0.010661901326863 0.0182687389337006 0 0 0.00555555555555556 0.00213675213675214 0.00238095238095238 0.00333333333333333 0 0.016329678094384 0.0347488406311936 0.0344643364592214 0.104984784115219 0.12547174496663 0.576054136891733
3 209.583333333333 174.083333333333 16.5 14.25 2.08333333333333 2.08333333333333 0.583333333333333 0.544617613956839 0.05776752324112 0.0350618765744281 0.0136261231807628 0.0301459715685758 0.150440587274224 0.0301498880226022 0.138190416181448 0 0 0 0 0 0 0 0 0 0 0 0.000750750750750751 0.000750750750750751 0.000750750750750751 0.000833333333333333 0.000833333333333333 0.00148809523809524 0.00151515151515152 0.00151515151515152 0.00297619047619048 0.00433346296776424 0.00447769197769198 0 0 0 0 0 0 0.00414063571958309 0.000750750750750751 0.00736269898995801 0.00903973925663837 0.000833333333333333 0.0035001296344309 0 0 0.013680511731609 0.0037539975039975 0.00154320987654321 0.0195444491163542 0.00437559812559813 0.00846857313882697 0.0271134278777738 0.00713949613597501 0.0162764811932139 0.00717082445677701 0.0291948335789797 0.0076461038961039 0.0123398619374752 0.110208879646916 0.110318514104833 0.575373287385366 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00181159420289855 0.00181159420289855 0.00333333333333333 0.00333333333333333 0.00416666666666667 0.00641025641025641 0.00694444444444444 0.0107323232323232 0.0119047619047619 0 0 0 0.00538068334678504 0 0 0 0 0 0 0 0.00333333333333333 0.00333333333333333 0.00474576271186441 0.00141242937853107 0 0 0.0230146898902895 0.0193028461784458 0.00338392124692371 0.00157232704402516 0 0 0.00577984817115252 0 0 0.00157232704402516 0.00554058101227912 0.00911318150448585 0.0593315159841279 0.00793650793650794 0.0960668803619055 0.115062478426795 0.569677999633541
4 196.25 164.416666666667 15.4166666666667 11.75 2 2 0.666666666666667 0.568034569932924 0.0548670782186699 0.036052934407138 0.0136671110699925 0.0249199136693293 0.132685197656813 0.0280792620656404 0.141693932979493 0 0 0 0 0 0 0 0 0 0 0.00106837606837607 0 0 0.00245098039215686 0 0.00245098039215686 0 0 0 0 0.00251322751322751 0.00351935646053293 0.00136612021857923 0.00109649122807018 0.00119047619047619 0 0.00203252032520325 0.00245098039215686 0.00185185185185185 0 0.00395679964393415 0.00194455750011306 0.000915750915750916 0 0 0.00321797207043109 0.0126597585102917 0.00395807895807896 0.00416666666666667 0.0146130453907188 0.00109649122807018 0.0134665594632915 0.0261870441823297 0.00458409228901032 0.0198454050138213 0.0239684299417114 0.0397165505449815 0.00882707153198956 0.0234531831926053 0.11684271453609 0.0994936973231001 0.555094770064226 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0.0028735632183908 0.00378787878787879 0.00641025641025641 0.00641025641025641 0 0 0 0 0 0.00193798449612403 0.00581395348837209 0.00595238095238095 0.00641025641025641 0 0 0 0 0 0 0 0.00193798449612403 0 0 0 0 0.00387596899224806 0.00490196078431373 0 0 0 0 0 0.0149714626458812 0 0.00193798449612403 0.00320512820512821 0.0208333333333333 0 0 0.0415806571580429 0.00994074431574432 0.00320512820512821 0.0028735632183908 0 0 0.00320512820512821 0 0.0103785103785104 0.00784422296050203 0 0.0153905601103877 0.0538629619939469 0.0371451527225385 0.118058559819521 0.0703758281850114 0.533142518488968
5 171.25 137.666666666667 15.1666666666667 11.9166666666667 2.5 2.75 1.25 0.55719835218257 0.049631825722396 0.0450040690410859 0.0141422877940824 0.0223873234154692 0.135648369232545 0.023375792941692 0.15261197967016 0 0 0 0 0 0 0 0.000595238095238095 0.000992063492063492 0.00146198830409357 0 0 0 0.00181159420289855 0.00245405179615706 0 0 0 0 0 0 0 0.00146198830409357 0 0 0 0 0 0 0.00146198830409357 0.00737755966084139 0.0107808378335649 0.00458937198067633 0 0 0 0.00649540517961571 0.000595238095238095 0.000992063492063492 0.00825483506022062 0.00151098901098901 0.00734867408208369 0.0177585237703192 0.00386882060223021 0.0181953719238856 0.0177077043966544 0.0247059527107156 0.00523463824711762 0.00773769075017013 0.117203798776681 0.106589550819188 0.622814061109107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109649122807018 0.00203252032520325 0.00203252032520325 0.00208333333333333 0.0123626373626374 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109649122807018 0 0 0.00463668699186992 0.00704887218045113 0 0 0 0.0081453634085213 0 0 0 0 0 0 0 0.0079849012775842 0 0.00317982456140351 0.00109649122807018 0.00208333333333333 0 0 0.0171955411617066 0.0108044501497647 0.00497246022031824 0.0110701900099085 0 0 0.0069281384524434 0 0 0.00203252032520325 0 0.00633736726397876 0.0520598466557113 0.0156560639936483 0.0915434593163902 0.0958025958554964 0.630717899811679
6 177.916666666667 144 14.1666666666667 14.1666666666667 2.58333333333333 2.16666666666667 0.833333333333333 0.570496256171397 0.050980255140517 0.0394986217955439 0.0141875177846 0.0272774087954674 0.135322421603082 0.0344891639579368 0.127748354751457 0 0 0 0 0 0.00102880658436214 0.00151515151515152 0 0 0 0 0 0.000656167979002625 0.00168497456336476 0.00102880658436214 0 0.00102880658436214 0 0.00151515151515152 0 0 0 0.00112612612612613 0 0 0 0.000656167979002625 0 0.00367008422563978 0 0.00178229410512875 0.00461538461538462 0.000850340136054422 0.000980392156862745 0 0.00378787878787879 0.00599870005356084 0.00401839748244977 0 0.0141474109571847 0 0.00970046568253042 0.0180877251006858 0.00858100458030981 0.0107902690314264 0.0125633257818297 0.0272931373147293 0.00881885398074091 0.0247724991961742 0.102986855641901 0.119587844193569 0.606726977545074 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00245098039215686 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0 0 0 0.00297619047619048 0 0 0 0.00114155251141553 0.00736215538847118 0 0 0 0 0 0 0.00552751742369623 0 0 0.00231481481481481 0 0 0 0.0139036221043565 0.0127406213627003 0.00299340436326738 0.00644977168949772 0 0 0.00268476238795873 0.00802257737189244 0 0.00114155251141553 0.00307953700753956 0.00784533221451123 0.0298415533310654 0.0566355913597136 0.0951396291199751 0.132248251842209 0.586081176038567
7 164.416666666667 133.5 11.9166666666667 11.75 3.58333333333333 1.91666666666667 1.75 0.593885427595075 0.0497435467881272 0.0332548407935393 0.0147334782201458 0.0332631105649616 0.1220286066433 0.030314763708148 0.122776225686704 0 0 0 0 0.00117370892018779 0 0 0.00117370892018779 0 0 0 0 0 0 0 0 0.00117370892018779 0.00117370892018779 0 0 0 0.0036231884057971 0.00608825038706276 0 0.00117370892018779 0 0.00227020014825797 0.00117370892018779 0 0 0.00224348998858803 0.00750275416967202 0.00117370892018779 0 0 0.00481029810298103 0.00406697148837296 0.00338392124692371 0.00140056022408964 0.0187039546594765 0.00512003235803482 0.0170348652472269 0.0201590224311791 0.0029098200312989 0.023198725127366 0.0144035127093343 0.019530941444784 0.0139246872776793 0.00965524446607021 0.0882431144445406 0.113607781383048 0.609902701816901 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.00213675213675214 0.00213675213675214 0.00213675213675214 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00656229882193089 0.00124378109452736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0.00213675213675214 0 0 0 0 0.00498511904761905 0.00248756218905473 0 0 0 0.00238095238095238 0 0 0 0 0 0 0.00248756218905473 0.00722848099247353 0 0.00245098039215686 0 0.00451770451770452 0 0 0.0198509867884743 0.023406435633093 0.0126310887890259 0.0112186594104949 0 0 0.00141242937853107 0.00769959725183606 0.00238095238095238 0.0064521144278607 0 0.0235685780722545 0.0309129289827819 0.013044398777498 0.0990405956972491 0.125016181515183 0.560869243565685
8 178.5 139.75 14.0833333333333 15.9166666666667 3 3.75 2 0.618703745872851 0.0506443584589143 0.0349485500443015 0.0109553213271382 0.0258058001011934 0.130003564327354 0.0287229446874655 0.100215715180782 0 0 0.00106837606837607 0.00106837606837607 0 0 0 0 0 0 0 0 0 0.00040650406504065 0 0 0 0 0 0 0.00254911924119241 0.000905797101449275 0.00293218665734316 0 0 0 0.000905797101449275 0.00040650406504065 0 0 0.00468244051223903 0.00280448717948718 0.00106837606837607 0.000813008130081301 0.0010752688172043 0.00319809941520468 0.00901680167147321 0 0 0.0272363916452575 0 0.015312888331181 0.0182189624264719 0.000537634408602151 0.0311719310369898 0.0148712882746732 0.0151395480422911 0.00560547710740265 0.0132145464518182 0.0711117779775868 0.082053557283565 0.672624854851827 0 0 0 0 0 0 0.000833333333333333 0.000886524822695035 0.000886524822695035 0 0 0 0 0 0 0 0 0 0.000886524822695035 0.00353145235892692 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0.00464661286378088 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0.000886524822695035 0.00177304964539007 0 0 0 0 0.000886524822695035 0.000886524822695035 0 0 0 0.000886524822695035 0.000886524822695035 0.00543478260869565 0 0 0 0 0 0 0.00631914434939393 0 0.0036634460547504 0.00682452804330695 0.0042983021706426 0.00252525252525253 0 0.0276089249041173 0.0467964938056629 0.0091016548463357 0.0193362471461454 0.000833333333333333 0.000833333333333333 0.011836155347441 0 0.00231481481481481 0.0104455533671073 0 0.00840670090486671 0.0257948826097871 0.0133659505881249 0.0888444642863585 0.0652603784620051 0.616300748845968
9 151.25 119.75 11.3333333333333 13.1666666666667 2 3.33333333333333 1.66666666666667 0.65256553850684 0.0437964567571889 0.0294141532339439 0.0104763545670881 0.0266053290046215 0.128257698247657 0.0195395966908555 0.0893448729918049 0 0.0028735632183908 0 0 0 0 0 0.00105485232067511 0 0 0 0 0 0 0 0 0 0 0 0.000730994152046784 0.000730994152046784 0 0.00310166886253843 0 0.0028735632183908 0 0.00120772946859903 0 0 0 0.00189393939393939 0.00105485232067511 0.00134408602150538 0 0.00189393939393939 0 0.000730994152046784 0.00105485232067511 0 0.012943045903636 0.00226258178927414 0.00488460687277418 0.0133496129209132 0.00590774318813737 0.0196703636467557 0.00907323277391198 0.0183689533116215 0.00535753941816567 0.00690654463757135 0.0728022021299005 0.0850162934843781 0.722911250927491 0 0 0 0.00141242937853107 0.00185185185185185 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0.00231481481481481 0 0 0 0 0 0 0.00231481481481481 0.00705411757835881 0 0 0 0 0.00231481481481481 0 0.00378983634797588 0 0 0.00787037037037037 0 0 0 0.0215723620384637 0.00846458939679279 0.00713829266253389 0.00656761412575366 0 0 0.0145877876120288 0 0 0 0 0.00231481481481481 0.0265201745444158 0.0125149075730471 0.0835784994974096 0.0983451418713264 0.682065358484473
10 165.333333333333 131.166666666667 10.4166666666667 15.1666666666667 2.25 3.83333333333333 2.5 0.73044311069159 0.0256688531508831 0.0248134908466973 0.0102879988066658 0.0129872064542118 0.116747557536723 0.0142770151220807 0.0647747673911481 0 0.000946969696969697 0 0 0 0 0 0 0 0.000946969696969697 0 0 0 0.000946969696969697 0 0 0 0.000896057347670251 0 0 0.00154320987654321 0 0.000718390804597701 0 0.000946969696969697 0.000896057347670251 0.00154320987654321 0 0 0 0.000946969696969697 0.00249017957351291 0.00707850707850708 0 0.000896057347670251 0.000896057347670251 0.00442392440143565 0 0 0.0108728831353406 0.00185276679841897 0.0200545837588652 0.00652194971970568 0.00288729589804859 0.0316147156202578 0.00306096951524238 0.0221164545367363 0.00813438275050211 0.0192880997231846 0.0520458333935793 0.0859418353289658 0.709491730334483 0 0 0.00213675213675214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0.00198412698412698 0 0 0 0 0 0 0 0 0.00173611111111111 0 0.00213675213675214 0 0 0 0 0 0 0.00427350427350427 0.00277777777777778 0 0 0 0.00240277777777778 0.00238095238095238 0.00277777777777778 0 0 0 0 0 0.00411706349206349 0 0 0 0.002 0 0 0.00778769841269841 0.00788690476190476 0.0165395299145299 0.016275641025641 0 0 0.00926388888888889 0.00706944444444444 0 0.0029265873015873 0 0.0131944444444444 0.0263189935064935 0.0253090659340659 0.0485951617826618 0.10153752035002 0.68648819005069
