"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oi_Proportion" "Transition_ji_Proportion" "Transition_oe_Proportion" "Transition_eo_Proportion" "Transition_eh_Proportion" "Transition_ej_Proportion" "Transition_hc_Proportion" "Transition_jc_Proportion" "Transition_ce_Proportion" "Transition_ic_Proportion" "Transition_eg_Proportion" "Transition_sh_Proportion" "Transition_ie_Proportion" "Transition_je_Proportion" "Transition_ei_Proportion" "Transition_hh_Proportion" "Transition_ee_Proportion" "Transition_ii_Proportion" "Transition_hi_Proportion" "Transition_he_Proportion" "Transition_ih_Proportion" "Transition_hg_Proportion" "Transition_ec_Proportion" "Transition_gh_Proportion" "Transition_gc_Proportion" "Transition_se_Proportion" "Transition_cj_Proportion" "Transition_jo_Proportion" "Transition_og_Proportion" "Transition_cg_Proportion" "Transition_ch_Proportion" "Transition_ij_Proportion" "Transition_ge_Proportion" "Transition_oo_Proportion" "Transition_sc_Proportion" "Transition_cc_Proportion" "Transition_ci_Proportion" "Transition_gg_Proportion" "Transition_jg_Proportion" "Transition_sj_Proportion" "Transition_es_Proportion" "Transition_so_Proportion" "Transition_gi_Proportion" "Transition_jj_Proportion" "Transition_ig_Proportion" "Transition_go_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_igh_Proportion" "Transition_hgi_Proportion" "Transition_ghs_Proportion" "Transition_ehs_Proportion" "Transition_hhs_Proportion" "Transition_hhh_Proportion" "Transition_eeg_Proportion" "Transition_esc_Proportion" "Transition_gsh_Proportion" "Transition_shg_Proportion" "Transition_hgg_Proportion" "Transition_csh_Proportion" "Transition_geg_Proportion" "Transition_jig_Proportion" "Transition_osg_Proportion" "Transition_egh_Proportion" "Transition_iso_Proportion" "Transition_eie_Proportion" "Transition_oii_Proportion" "Transition_hie_Proportion" "Transition_eei_Proportion" "Transition_gsc_Proportion" "Transition_hse_Proportion" "Transition_jis_Proportion" "Transition_jgg_Proportion" "Transition_jsg_Proportion" "Transition_ehi_Proportion" "Transition_cse_Proportion" "Transition_hsg_Proportion" "Transition_ige_Proportion" "Transition_shh_Proportion" "Transition_esg_Proportion" "Transition_sgh_Proportion" "Transition_ghg_Proportion" "Transition_sie_Proportion" "Transition_iee_Proportion" "Transition_hgs_Proportion" "Transition_ihs_Proportion" "Transition_ihe_Proportion" "Transition_ieg_Proportion" "Transition_gge_Proportion" "Transition_sge_Proportion" "Transition_iie_Proportion" "Transition_ies_Proportion" "Transition_ceh_Proportion" "Transition_csi_Proportion" "Transition_scs_Proportion" "Transition_ihi_Proportion" "Transition_egi_Proportion" "Transition_gii_Proportion" "Transition_hii_Proportion" "Transition_seg_Proportion" "Transition_esh_Proportion" "Transition_gie_Proportion" "Transition_iig_Proportion" "Transition_shs_Proportion" "Transition_ish_Proportion" "Transition_see_Proportion" "Transition_shi_Proportion" "Transition_ssh_Proportion" "Transition_ggi_Proportion" "Transition_eii_Proportion" "Transition_egg_Proportion" "Transition_cgs_Proportion" "Transition_ihh_Proportion" "Transition_jcs_Proportion" "Transition_jgs_Proportion" "Transition_egs_Proportion" "Transition_sih_Proportion" "Transition_csg_Proportion" "Transition_sse_Proportion" "Transition_gei_Proportion" "Transition_gee_Proportion" "Transition_isg_Proportion" "Transition_ics_Proportion" "Transition_sic_Proportion" "Transition_eig_Proportion" "Transition_ees_Proportion" "Transition_sei_Proportion" "Transition_ese_Proportion" "Transition_iii_Proportion" "Transition_hsi_Proportion" "Transition_sii_Proportion" "Transition_eee_Proportion" "Transition_jes_Proportion" "Transition_eis_Proportion" "Transition_hhe_Proportion" "Transition_hes_Proportion" "Transition_esi_Proportion" "Transition_ges_Proportion" "Transition_ssi_Proportion" "Transition_iis_Proportion" "Transition_ise_Proportion" "Transition_ggg_Proportion" "Transition_igg_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_ooo_Proportion" "Transition_sgi_Proportion" "Transition_gse_Proportion" "Transition_ses_Proportion" "Transition_igs_Proportion" "Transition_cci_Proportion" "Transition_his_Proportion" "Transition_ess_Proportion" "Transition_gcs_Proportion" "Transition_isi_Proportion" "Transition_cgc_Proportion" "Transition_gci_Proportion" "Transition_gig_Proportion" "Transition_cis_Proportion" "Transition_sjs_Proportion" "Transition_sis_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_sig_Proportion" "Transition_igi_Proportion" "Transition_gsi_Proportion" "Transition_gis_Proportion" "Transition_ssc_Proportion" "Transition_scc_Proportion" "Transition_gos_Proportion" "Transition_sjg_Proportion" "Transition_cjo_Proportion" "Transition_hss_Proportion" "Transition_sgg_Proportion" "Transition_osi_Proportion" "Transition_ijs_Proportion" "Transition_oos_Proportion" "Transition_ssg_Proportion" "Transition_sos_Proportion" "Transition_jjs_Proportion" "Transition_sgs_Proportion" "Transition_iss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 92.5833333333333 60.6666666666667 11.5833333333333 13.3333333333333 2.33333333333333 3.16666666666667 1.5 0.619829649091242 0.0178175752212315 0.0353086713413856 0.0308268108669623 0.0278189082704446 0.182381920663356 0.010726924749785 0.0752895397955927 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000499001996007984 0.000793650793650794 0.000896057347670251 0.00100401606425703 0.00100401606425703 0.00129265278965878 0.0014367816091954 0.00148809523809524 0.00148809523809524 0.00150301806026501 0.00158730158730159 0.00179766685790782 0.00189393939393939 0.00189393939393939 0.00189393939393939 0.00198412698412698 0.00198412698412698 0.00238095238095238 0.00290408947618431 0.00303280948442239 0.00314076820100916 0.00314076820100916 0.00331883087907184 0.00362549174652443 0.00416666666666667 0.00471356138298116 0.00478580990629183 0.0075180665299204 0.0102332132272252 0.0104339246181923 0.0120340802899461 0.017484114161843 0.0204959263624968 0.0241220746234965 0.0732604424470077 0.764767983618324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000816993464052288 0.00189393939393939 0.00198412698412698 0.00198412698412698 0.00198412698412698 0.00198412698412698 0.00213675213675214 0.00213675213675214 0.00213675213675214 0.00213675213675214 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.00347222222222222 0.00347222222222222 0.00347222222222222 0.00403069153069153 0.00412087912087912 0.0043859649122807 0.0043859649122807 0.00558449607638249 0.00592463092463092 0.00833333333333333 0.00870087203758603 0.0113804072515506 0.0130315339026773 0.0139564597768932 0.0175604216045392 0.0680971955519569 0.782471421832343
2 92.3333333333333 57.8333333333333 8.25 16.8333333333333 2.25 4 3.16666666666667 0.751139787462775 0.00831237745219279 0.0205915510714623 0.0126635490210199 0.0171843447315136 0.140870252628514 0.00751991614901623 0.0417182214835057 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0 0 0 0 0.00109649122807018 0 0.00146198830409357 0 0 0 0.00154320987654321 0 0 0 0.00193798449612403 0 0.00154320987654321 0.00154320987654321 0.00352747178022576 0 0.00154320987654321 0.00446718648473034 0.000968992248062015 0.00231481481481481 0 0.00194648442812457 0 0.00175438596491228 0.0079990119794422 0 0.00087719298245614 0.00397310269793704 0.0181455613215521 0.0141087751226306 0.0704900058364729 0.857214500927635 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000946969696969697 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00277777777777778 0.00277777777777778 0.00740740740740741 0 0 0 0 0 0.00277777777777778 0 0 0 0.00154320987654321 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0.00222222222222222 0 0 0.0118630751964085 0.00925925925925926 0.00576178451178451 0.00898148148148148 0.00138888888888889 0.0771783876500858 0.848910276771912
3 77.75 40.8333333333333 8.08333333333333 14.5 3.66666666666667 5.25 5.25 0.520256143143631 0.00700207908016749 0.0226149490849865 0.0147845270184673 0.0141096206349792 0.160538310254371 0.0182856136984905 0.0757420904182406 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000201775625504439 0.000425170068027211 0.000694444444444444 0.000886524822695035 0.00359174870329205 0.000886524822695035 0.000694444444444444 0 0 0 0.000694444444444444 0 0.00150841536995872 0 0 0 0 0 0 0.00177304964539007 0 0 0 0 0.0158640861825441 0 0 0.00612560587152333 0 0 0 0.00316193853427896 0 0.00440663976522377 0.00900443977228069 0.00359174870329205 0.000886524822695035 0.00447363342500121 0.0188175586710668 0.0310997974815459 0.0713780559775859 0.6531667617354 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000254065040650407 0.000651041666666667 0.000946969696969697 0.000946969696969697 0.00101626016260163 0.00177304964539007 0.00177304964539007 0.00245098039215686 0.0027893098079917 0.00814393939393939 0 0 0 0 0 0 0.00101626016260163 0.00245098039215686 0 0.00177304964539007 0.00346724055475849 0 0 0 0 0 0 0 0.00441421025172819 0.00506525191839485 0.00127032520325203 0 0 0.00245098039215686 0 0 0 0 0 0 0.00491310160427808 0.00623556448632668 0 0 0 0.00587034599039172 0 0 0.00493261502217295 0.0375923914382811 0.00461717357397504 0.0132583581780749 0 0.0775023693754758 0.635757479995192
4 132.75 88.6666666666667 15.0833333333333 16.0833333333333 4 4.41666666666667 4.41666666666667 0.534471733260001 0.00779819537083082 0.0218586543639826 0.00857413256396867 0.0499830767522253 0.181342110935849 0.0195050878454127 0.0931336755743966 0 0 0 0 0 0 0.000402576489533011 0.000559284116331096 0.000559284116331096 0.000905797101449275 0.000961860605864107 0.000961860605864107 0.00183695903725989 0 0.00374955496108155 0.000559284116331096 0.00777736131934033 0.00762383211444027 0.00279189699761046 0 0.000559284116331096 0 0.00157232704402516 0 0 0.00405209263631353 0 0 0 0.000402576489533011 0 0.00108225108225108 0.00331428435241573 0 0 0 0 0.0189012099355219 0.000559284116331096 0 0.0142505106931003 0 0.00264211201632592 0 0.00348944655189184 0 0.00786157646254491 0.0106923029741513 0.0166898868381427 0.00424535186758329 0.00573257850083591 0.0337623798322729 0.0461453053493883 0.0994274507381674 0.612594903488103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000586854460093897 0.000586854460093897 0.000586854460093897 0.000586854460093897 0.000586854460093897 0.000586854460093897 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.00108225108225108 0.00117370892018779 0.00120772946859903 0.00120772946859903 0.00120772946859903 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00210200597524541 0.00210200597524541 0.00297619047619048 0.0036231884057971 0.00602516614840558 0.00606060606060606 0 0 0 0 0.00153382415706359 0.00108225108225108 0.00805194805194805 0 0.00151515151515152 0.00574386702295459 0.00246212121212121 0 0 0 0 0 0.00210200597524541 0.000946969696969697 0 0.00559893175477989 0.00900915925946544 0 0 0 0 0 0 0 0.00952043729217642 0.00650002341674111 0.00812433339607253 0 0 0.00787989354661124 0 0 0 0 0 0 0.00928580044164858 0.0106597258120528 0 0 0 0.0109469222007495 0 0 0.0300611154851816 0.0419134272035374 0.00955557897229667 0.0148897856811057 0.00798826777087647 0.103043111653629 0.565167121310293
5 111.916666666667 69.1666666666667 15.1666666666667 15.3333333333333 4.25 4.41666666666667 3.5 0.557381949542137 0.0103872605246058 0.0187394531745851 0.0178430319800172 0.03422640670413 0.172228244102485 0.0186671680898648 0.0871931525488415 0 0 0 0 0 0.000706214689265537 0 0 0 0 0.00117283950617284 0.00148809523809524 0.00362507568472415 0 0.000744047619047619 0 0.00351382293547027 0.00390903078403078 0.000617283950617284 0 0.000617283950617284 0.000617283950617284 0 0 0 0.00509765308199155 0 0 0 0.00145026230831316 0.000764525993883792 0 0.003150942580422 0 0.00131313131313131 0 0.000764525993883792 0.0190344080197382 0 0.000757575757575758 0.00933320145547734 0 0.00430281293596356 0 0.00487056187171918 0.000617283950617284 0.00393920482422989 0.00845841568704846 0.00433548469099979 0.000555555555555556 0.00619546232213221 0.0248968367598967 0.0476522615556703 0.106865051373006 0.645300530326752 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0.00105485232067511 0.00105485232067511 0.00105485232067511 0.00105485232067511 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00495424537651992 0 0 0 0 0 0.00130208333333333 0 0 0 0.000936329588014981 0.00105485232067511 0.00105485232067511 0.00355910267471959 0 0 0.00105485232067511 0 0 0 0.000936329588014981 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308767313676026 0.00354648625054561 0.00457000486070045 0.000712250712250712 0 0 0 0 0 0.00109649122807018 0.00180874194032089 0 0 0.00953674701185752 0 0.000712250712250712 0 0 0 0 0 0.00317486215890012 0.00486899257391061 0.00841942455163824 0.00105485232067511 0.00130208333333333 0.00347582485992945 0 0 0 0 0 0 0.00379371726320384 0.0133218628589322 0 0 0 0.0136397552622066 0 0 0.0176747982730564 0.0368732215793913 0.00718730630312672 0.0128544877796525 0.000936329588014981 0.0833085410407083 0.65307263527456
6 153.333333333333 106 18.6666666666667 17.25 4.08333333333333 4.66666666666667 2.66666666666667 0.554657065381374 0.0143244230620953 0.0253813681328451 0.0131374261531123 0.0635644885237005 0.172102050181869 0.0253547663845101 0.131478412180493 0 0 0 0.000621890547263682 0.00241691169918917 0 0 0 0.00193798449612403 0 0.00257486522593681 0.00106578166315903 0.00525906298310996 0 0.00207523074243919 0.000478927203065134 0.00751901304011207 0.00867101189455618 0.00157974495339395 0.000586854460093897 0.00120874500735758 0.0010351966873706 0 0.00166000835933475 0.000478927203065134 0.00853820136520874 0 0 0 0 0 0 0.00431153583144403 0 0.00241691169918917 0 0.000586854460093897 0.0186009505064884 0 0.000586854460093897 0.0251330892391999 0 0.00512818735601611 0.000586854460093897 0.00490343061919588 0 0.0172462510768944 0.0154216190500414 0.0100842142652224 0.00694511810262169 0.00839121587307707 0.0204159545050962 0.06865860078759 0.100299891447289 0.642574108729573 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000816993464052288 0.000816993464052288 0.000816993464052288 0.000816993464052288 0.000816993464052288 0.000816993464052288 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.00106837606837607 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00148809523809524 0.0028735632183908 0.00369055668244309 0.0043859649122807 0.0043859649122807 0.00520295837633299 0 0 0 0.00106837606837607 0.00333333333333333 0 0 0 0.00141242937853107 0.00222942284258336 0.00411479237501172 0 0 0 0.000980392156862745 0.00333333333333333 0 0 0 0 0 0 0.000816993464052288 0.00346119760376989 0 0 0 0 0 0.00148809523809524 0.0063143901628448 0.000980392156862745 0.00333333333333333 0 0 0.00685445230723869 0.00295374560080442 0 0 0 0 0 0.00148809523809524 0.00435360584911931 0.00222942284258336 0.000816993464052288 0.00312208216619981 0.00141242937853107 0 0 0 0.00385395537525355 0.00141242937853107 0.00141242937853107 0.00163398692810458 0 0.000816993464052288 0.0128447000269034 0.000816993464052288 0.00396890068500238 0 0 0 0 0 0.00755264730838011 0.00651903416733925 0.00230508870214753 0 0.00196078431372549 0.00161064425770308 0.00148809523809524 0 0 0 0 0 0.0152119728469626 0.00706115779645191 0 0 0 0.00689212125528177 0 0 0.00557889822595705 0.0659443877763985 0.0135661167644166 0.0188577004030643 0.0139663262345284 0.0714246976152706 0.640065940987812
7 140.916666666667 92.5 14.6666666666667 21.3333333333333 4.91666666666667 4.33333333333333 3.16666666666667 0.463146166719737 0.0296068176487089 0.0532143398855114 0.0205420028536857 0.0587872383240474 0.194192219878304 0.0318879196595875 0.148623295030418 0.000559284116331096 0.000925925925925926 0.00117370892018779 0 0.000566893424036281 0 0 0.00249825296995108 0 0 0 0.00112617754036738 0.00112617754036738 0 0.00316321457740441 0.000566893424036281 0.00449915245400786 0.00657411482417553 0.000566893424036281 0.00148521004225702 0.000493096646942801 0.000786163522012579 0 0.000393081761006289 0.000566893424036281 0.01008956027178 0 0 0 0.00205205205205205 0 0 0.00585215752021532 0 0.00141902257286873 0 0 0.015318781783008 0.00254335968621683 0 0.0301531537899299 0.00223369899116688 0.00266445532527589 0.000493096646942801 0.00538341568730074 0.00117370892018779 0.0184127580168487 0.0214018308829703 0.0115076289858776 0.00982038125928989 0.0103823594409206 0.0249330419196396 0.0832681523572856 0.11873099505998 0.595095254293161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00087719298245614 0.00087719298245614 0.000957854406130268 0.000957854406130268 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00173611111111111 0.00173611111111111 0 0 0 0.00087719298245614 0.000957854406130268 0.00119047619047619 0 0 0 0 0 0 0 0 0 0.00212680577849117 0 0 0 0 0 0 0 0 0 0 0 0 0.000631313131313131 0.00087719298245614 0.000957854406130268 0.00301226551226551 0 0 0.00126262626262626 0 0 0 0 0.00163398692810458 0.00309460654288241 0 0 0 0.00635107229934816 0 0.000936329588014981 0.00269396551724138 0 0 0 0 0 0.00087719298245614 0.000631313131313131 0 0.00514901764901765 0.00250397230734309 0 0 0 0.00087719298245614 0 0.00182178932178932 0.00364525825052141 0.00387286324786325 0 0.00791738579884464 0 0 0 0 0 0.00238095238095238 0.0103126808662199 0.00222048066875653 0 0 0.0366861778267564 0 0.00238095238095238 0 0 0 0 0 0.00928408592315126 0.00182178932178932 0.00388945849472165 0.00087719298245614 0.00163398692810458 0.000631313131313131 0.00126262626262626 0 0 0.00238095238095238 0 0 0.0203030954826232 0.0118068442935663 0 0 0 0.0107445876724688 0.00333880678708265 0 0.0127544494596739 0.0854203755711357 0.00745873976211055 0.0345654351583569 0.0142553022819877 0.14157443989317 0.516071468105822
8 148.666666666667 98.1666666666667 16.1666666666667 20.1666666666667 5.25 4.75 4.16666666666667 0.529315051742677 0.035352268244271 0.0334801532175055 0.0089370928730318 0.0406627668839156 0.178095926623555 0.0338967873259539 0.14025995308909 0 0.00192649090675406 0 0 0 0 0 0.000801282051282051 0 0 0.00259613680666312 0 0.000850340136054422 0 0.00319200779727095 0 0.00368803793325435 0.00240195187003698 0.00115740740740741 0.000443262411347518 0 0.000443262411347518 0 0.000841750841750842 0 0.00609581437838047 0 0 0 0.00115740740740741 0 0 0 0 0 0 0 0.0228113890185434 0.00324293934368561 0.00115740740740741 0.0241304549345915 0.00374574341791826 0.00180639046242569 0.00171894382420698 0.00221500865839356 0.000850340136054422 0.0103503004937688 0.0185636665469892 0.00654189014175674 0.00824427160915561 0.00651472771235848 0.0242366892786143 0.0743995657667566 0.116964339414496 0.646910779473921 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000319284802043423 0.000801282051282051 0.00198412698412698 0.00238095238095238 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0.000319284802043423 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0.00599666408489938 0 0 0.000809061488673139 0 0 0 0 0 0.00238095238095238 0.00163398692810458 0 0 0.00438854070953462 0 0 0.000319284802043423 0 0 0 0 0 0.000801282051282051 0 0 0.00325226244343891 0 0 0 0 0 0 0 0.00405354449472097 0 0 0.00640517484340718 0 0 0 0 0.000319284802043423 0.00112612612612613 0.00277026519420029 0.00144763109275998 0 0.00245098039215686 0.0245688971058429 0 0.000801282051282051 0 0 0.000809061488673139 0 0 0.00510408333684196 0.0127217045498963 0.00637266769366161 0 0 0 0.0022466929794516 0 0 0.00170068027210884 0 0 0.0109277641605228 0.0154793358752041 0 0 0 0.0126665160618772 0 0 0.0135753571985823 0.0730622557341737 0.01067490140766 0.0297701714048425 0.00715823833217342 0.125691722374698 0.599122004031025
9 122.75 72.6666666666667 16.9166666666667 14.3333333333333 4.91666666666667 6.41666666666667 7.5 0.534448535762124 0.0252303670817792 0.0194746934148544 0.0165782924054991 0.0481565955900141 0.197052589442963 0.0165650971078027 0.142493829194963 0 0 0 0 0.00106837606837607 0 0 0 0 0 0.00119131870724227 0.00150443375465684 0.00125542324379212 0 0.00106837606837607 0 0.00159235668789809 0.00768160610915388 0 0.00119131870724227 0 0.00129419936567849 0 0 0 0.00305587311956739 0 0 0 0.000265392781316348 0 0 0.00119131870724227 0 0.00271893967546141 0 0 0.0391537000083985 0.00261135318324861 0 0.0120959340503961 0.00218954248366013 0.00186455441232511 0 0.00788806971670856 0 0.00456497653357557 0.00893975300112607 0.00908094900334477 0.0058420386198164 0.00491769547325103 0.0408359150035763 0.0603811310432041 0.104540932299329 0.670014522172036 0 0 0 0 0 0 0 0 0 0.000348675034867503 0.000778816199376947 0.00134408602150538 0.00141242937853107 0 0 0 0 0 0 0 0 0 0 0 0 0.000778816199376947 0 0 0 0 0 0 0 0 0 0.000348675034867503 0.000348675034867503 0 0 0 0 0.000348675034867503 0 0.000348675034867503 0 0 0 0 0 0.000348675034867503 0 0 0 0 0 0.00212290222088232 0 0.000348675034867503 0 0 0.000348675034867503 0 0 0.000348675034867503 0 0 0 0 0 0 0.000348675034867503 0 0 0.0045910127979842 0 0 0 0 0 0 0.00523012552301255 0 0.00274670537671135 0.00104602510460251 0 0 0 0 0 0.000348675034867503 0.00612350224368025 0.00219298245614035 0 0.020306547400104 0 0 0 0 0.00254165749100785 0.000348675034867503 0.00219298245614035 0.00182484130397946 0 0 0.0118000058541275 0 0.000348675034867503 0 0 0 0 0 0.00616488398838816 0.0131354520535038 0.00690024608212824 0.000697350069735007 0 0 0.000348675034867503 0 0 0 0 0 0.00347433556502333 0.0170036213717493 0 0 0 0.0156683208460246 0 0 0.0236396622951873 0.0460264361229379 0.00712053527694508 0.00941650915038139 0.00999668983780205 0.102536932255033 0.666304136569853
10 103.75 63.6666666666667 11.1666666666667 12.5 5.25 4.16666666666667 7 0.506759080524944 0.011560832389262 0.0139090615015348 0.0123710847071454 0.0605932773553103 0.257054593242114 0.0167937606076031 0.120958309672086 0 0.000559284116331096 0 0 0 0 0 0 0 0 0.00157232704402516 0.00102193478465743 0.00244644605884787 0 0.0015913165010786 0 0.00532680121136694 0.00736026587029437 0.000402576489533011 0 0 0.000228937728937729 0 0 0 0.00857245133820503 0 0 0 0 0 0 0.00338485622400764 0 0 0 0.000402576489533011 0.0478704658024643 0.000559284116331096 0 0.0171724241146241 0 0.005472214320807 0 0.00537877970883166 0 0.00803622075993441 0.00240604846309544 0.0148310972508979 0.0057613948291945 0.00203853046594982 0.0472574305275801 0.0320189626921967 0.128522943025185 0.64980443006609 0 0 0 0 0 0 0 0 0.000586854460093897 0 0.000272331154684096 0 0 0 0 0 0 0 0 0 0.00164993917274939 0 0 0 0 0 0 0 0.000272331154684096 0 0 0.00169052358833381 0 0 0 0 0 0 0 0 0.000608272506082725 0.00223679363284329 0 0.00152402342183364 0 0.00126262626262626 0 0 0.00104166666666667 0.000608272506082725 0 0 0 0.000608272506082725 0 0.000586854460093897 0 0.0039637977594182 0 0 0.000608272506082725 0.000608272506082725 0 0 0 0 0 0 0 0 0.00243977433758456 0 0.00164993917274939 0.00117370892018779 0 0 0.00104166666666667 0 0.000608272506082725 0 0.00329644454909348 0 0.0076341519889907 0.000608272506082725 0 0.000608272506082725 0 0 0.000608272506082725 0.000915750915750916 0.00695838018645833 0.000586854460093897 0 0.0135438769678137 0.00104166666666667 0 0 0 0.000880603660766821 0.00243977433758456 0.00476323363647307 0.00458741658931412 0 0.000608272506082725 0.0133591806314293 0 0.00395079830563701 0 0 0.000608272506082725 0 0 0.00620104133722609 0.00645046828360482 0.00819554345872463 0.00121654501216545 0 0.00276523163847107 0.00299148154269436 0 0 0 0 0 0.00537043811691699 0.0189526499440081 0 0 0 0.0218778188001779 0 0 0.0165394734938311 0.028919475411539 0.00281836219336219 0.00323283435237894 0.00947889208197023 0.14446714587531 0.628480637163421
