"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_io_Proportion" "Transition_oc_Proportion" "Transition_eo_Proportion" "Transition_jo_Proportion" "Transition_go_Proportion" "Transition_ec_Proportion" "Transition_jh_Proportion" "Transition_ji_Proportion" "Transition_he_Proportion" "Transition_oi_Proportion" "Transition_oe_Proportion" "Transition_hc_Proportion" "Transition_ij_Proportion" "Transition_hi_Proportion" "Transition_sj_Proportion" "Transition_ce_Proportion" "Transition_ch_Proportion" "Transition_eh_Proportion" "Transition_ih_Proportion" "Transition_gh_Proportion" "Transition_ie_Proportion" "Transition_ic_Proportion" "Transition_se_Proportion" "Transition_ii_Proportion" "Transition_cc_Proportion" "Transition_ei_Proportion" "Transition_ee_Proportion" "Transition_eg_Proportion" "Transition_cg_Proportion" "Transition_ci_Proportion" "Transition_gi_Proportion" "Transition_gc_Proportion" "Transition_hg_Proportion" "Transition_sc_Proportion" "Transition_sh_Proportion" "Transition_jc_Proportion" "Transition_hh_Proportion" "Transition_je_Proportion" "Transition_jj_Proportion" "Transition_ge_Proportion" "Transition_gj_Proportion" "Transition_so_Proportion" "Transition_ig_Proportion" "Transition_jg_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_gg_Proportion" "Transition_es_Proportion" "Transition_is_Proportion" "Transition_cs_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jsi_Proportion" "Transition_gie_Proportion" "Transition_sci_Proportion" "Transition_jcs_Proportion" "Transition_ssc_Proportion" "Transition_sjs_Proportion" "Transition_cgg_Proportion" "Transition_hes_Proportion" "Transition_jgg_Proportion" "Transition_sje_Proportion" "Transition_hhh_Proportion" "Transition_jig_Proportion" "Transition_hsi_Proportion" "Transition_jsg_Proportion" "Transition_eoc_Proportion" "Transition_seo_Proportion" "Transition_jis_Proportion" "Transition_eie_Proportion" "Transition_egi_Proportion" "Transition_eih_Proportion" "Transition_ihh_Proportion" "Transition_eee_Proportion" "Transition_sei_Proportion" "Transition_hsg_Proportion" "Transition_sgi_Proportion" "Transition_gsh_Proportion" "Transition_sec_Proportion" "Transition_iie_Proportion" "Transition_cge_Proportion" "Transition_hic_Proportion" "Transition_ece_Proportion" "Transition_eeg_Proportion" "Transition_csg_Proportion" "Transition_ieg_Proportion" "Transition_egg_Proportion" "Transition_ese_Proportion" "Transition_eei_Proportion" "Transition_sgh_Proportion" "Transition_ihe_Proportion" "Transition_ghi_Proportion" "Transition_hii_Proportion" "Transition_iig_Proportion" "Transition_ggi_Proportion" "Transition_seg_Proportion" "Transition_ghs_Proportion" "Transition_gse_Proportion" "Transition_esg_Proportion" "Transition_hie_Proportion" "Transition_cig_Proportion" "Transition_csi_Proportion" "Transition_iee_Proportion" "Transition_sie_Proportion" "Transition_ise_Proportion" "Transition_gis_Proportion" "Transition_ose_Proportion" "Transition_iii_Proportion" "Transition_gge_Proportion" "Transition_egs_Proportion" "Transition_sge_Proportion" "Transition_isg_Proportion" "Transition_ses_Proportion" "Transition_gee_Proportion" "Transition_gci_Proportion" "Transition_sgc_Proportion" "Transition_jes_Proportion" "Transition_ies_Proportion" "Transition_gcg_Proportion" "Transition_ccs_Proportion" "Transition_cie_Proportion" "Transition_ceg_Proportion" "Transition_iij_Proportion" "Transition_ics_Proportion" "Transition_his_Proportion" "Transition_igg_Proportion" "Transition_ges_Proportion" "Transition_esi_Proportion" "Transition_ige_Proportion" "Transition_isi_Proportion" "Transition_jgi_Proportion" "Transition_gig_Proportion" "Transition_ssh_Proportion" "Transition_gsi_Proportion" "Transition_sii_Proportion" "Transition_esc_Proportion" "Transition_scc_Proportion" "Transition_ici_Proportion" "Transition_gcs_Proportion" "Transition_cis_Proportion" "Transition_shh_Proportion" "Transition_gjg_Proportion" "Transition_iei_Proportion" "Transition_seh_Proportion" "Transition_ehs_Proportion" "Transition_hse_Proportion" "Transition_eis_Proportion" "Transition_ihs_Proportion" "Transition_hgs_Proportion" "Transition_ees_Proportion" "Transition_ish_Proportion" "Transition_see_Proportion" "Transition_sse_Proportion" "Transition_iis_Proportion" "Transition_shs_Proportion" "Transition_igs_Proportion" "Transition_cgs_Proportion" "Transition_sig_Proportion" "Transition_ggc_Proportion" "Transition_scs_Proportion" "Transition_jgs_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_ssi_Proportion" "Transition_sis_Proportion" "Transition_hhs_Proportion" "Transition_ggg_Proportion" "Transition_jss_Proportion" "Transition_sgg_Proportion" "Transition_sgs_Proportion" "Transition_ssg_Proportion" "Transition_iss_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_ess_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 71.4166666666667 44 6.83333333333333 12 1.91666666666667 3.16666666666667 3.5 0.538536155213275 0.0347017519903838 0.064690088344991 0.0625133358860073 0.0196385423429114 0.154992186682705 0.0160380188561795 0.108889920683547 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00034435261707989 0.00034435261707989 0.00068870523415978 0.00115740740740741 0.00115740740740741 0.0014367816091954 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00206040596722915 0.00211740226246996 0.0034161383574443 0.00458253867344776 0.011181684477139 0.012710270731514 0.0134485307532975 0.0283776413557812 0.0285541609209321 0.0298867660978313 0.0370706302374659 0.0684850109469343 0.661692211445773 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000418760469011725 0.000418760469011725 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.0014367816091954 0.00185554207820713 0.00185554207820713 0.00219298245614035 0.0028735632183908 0.00663780663780664 0.011740101962767 0.0166782630952391 0.0170103328004905 0.0279047850033592 0.0314075418431135 0.0317982456140351 0.0325749269005848 0.0348207491561655 0.0673159959924004 0.626102608659164
2 74.1666666666667 42.5 9.08333333333333 14.3333333333333 2.5 2.5 3.16666666666667 0.433888571674922 0.0260952250043295 0.0687353310916458 0.114516001083507 0.0258626172501962 0.155322686970887 0.0241065623711107 0.0681396712200683 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000694444444444444 0.000694444444444444 0.000694444444444444 0.000694444444444444 0.000694444444444444 0.000737463126843658 0.00208333333333333 0.00234621451104101 0.00253496503496503 0.00258838383838384 0.00277777777777778 0.00757575757575758 0.00951374207188161 0.000737463126843658 0.00095732562215212 0.00212635201573255 0.00138888888888889 0.00821678321678322 0.00437489166494775 0 0.000737463126843658 0 0 0 0.000694444444444444 0.00252525252525253 0.00353633575930179 0.00492557959040609 0.00301985871344627 0.000262881177707676 0.0194270061460397 0.0164653173645145 0.0129176379176379 0.0319698949043737 0.0275210800267396 0.0242435652557264 0.00649350649350649 0.1079638676954 0.519198078164438 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000423011844331641 0.000423011844331641 0.000423011844331641 0.000423011844331641 0.000423011844331641 0.000968992248062015 0.000968992248062015 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00245726495726496 0.00282485875706215 0.00282485875706215 0.00282485875706215 0.00396825396825397 0.00517988288027244 0.0246212121212121 0 0.00138888888888889 0 0 0.00856227106227106 0.00310574438481415 0 0.0023578811369509 0 0.00749783438525588 0.000423011844331641 0.0114425478638677 0.0133497814321622 0.0156625701662707 0.0261263541814934 0.00676957223567393 0.0115440115440115 0.00431940612271712 0.0518578643578644 0.139076431104742 0.46282750874371
3 126.5 82.5833333333333 12.3333333333333 20.75 3.41666666666667 5.08333333333333 2.33333333333333 0.444804440900403 0.0237778286958748 0.0538906778781446 0.0171067401265057 0.0926959433392891 0.221096860087204 0.025006217963412 0.121621291009166 0 0 0 0 0 0 0 0 0 0 0 0.000980392156862745 0.000980392156862745 0.00148809523809524 0.00148809523809524 0.00189614307261366 0 0 0 0 0.00498256282570008 0.000980392156862745 0.00207688338493292 0.00612838892071317 0.000980392156862745 0 0.00207688338493292 0.00366518854084612 0.004986802413273 0.00198440822111977 0.00154320987654321 0.00501571333575822 0.000548245614035088 0 0.00335909217488165 0 0.000548245614035088 0.000915750915750916 0 0.00470583457554562 0 0.000980392156862745 0.00767249844907224 0.00215080971659919 0.0142915064423173 0.00679132505112897 0.00986475451208392 0.019498527369066 0.023568207076087 0.0647305492381807 0.026450288092445 0.0193737568647993 0.0136849217598686 0.127004794857263 0.52927322310657 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000367107195301028 0.000859106529209622 0.000859106529209622 0.000859106529209622 0.000859106529209622 0.00134408602150538 0.00134408602150538 0.00173611111111111 0.00173611111111111 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.0036231884057971 0.00464698531708841 0.00565570873100035 0.00741106719367589 0.00741106719367589 0.0127703667105841 0 0 0.000859106529209622 0.0032587340497139 0.00850418448998702 0 0 0 0 0 0.000859106529209622 0 0 0 0 0 0 0 0.000859106529209622 0.000859106529209622 0 0 0.00289162685441287 0.00451388888888889 0.00245098039215686 0.00173611111111111 0.00640096618357488 0.00464698531708841 0 0 0.00277777777777778 0.00488099608418992 0.00578041242307965 0 0.00739181984211146 0 0.00672043010752688 0.0136306790221471 0.00880240169332416 0.00742672171793662 0.00706629058221305 0.067442824105136 0.00849718849611404 0.0191481323484137 0.0203497190848214 0.0509215139669416 0.127788332706619 0.456524090224128
4 174.583333333333 120.583333333333 22 21.5833333333333 4.33333333333333 4.08333333333333 2 0.317987680156346 0.037821852460281 0.0600058372776045 0.0206943638123013 0.0642717039808785 0.262704739809916 0.0461595713504557 0.190354251152218 0 0 0 0 0 0 0 0 0.000445632798573975 0.000957854406130268 0.00166666666666667 0 0.000816993464052288 0.00318067553361671 0.00545454545454545 0 0 0 0.00208770877087709 0.00249997843277442 0.00376807819505456 0 0.00838014842787673 0.0152796661542792 0 0.00242286523246276 0.0103580609915794 0.00324208281665312 0.00205434563420044 0.00261158594491928 0.00819239981894204 0 0.00189345857662689 0 0.00188536953242836 0 0.000825082508250825 0 0 0.00868692530083584 0 0 0.0105574313857382 0.00275906221868999 0.0151425276554276 0.0173639086351673 0.018704335246005 0.0345165092112644 0.0396998020470442 0.09888641152906 0.0419082306690346 0.0246467174222375 0.0154362907778698 0.15359677837621 0.440071870164906 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000440917107583774 0.000440917107583774 0.000440917107583774 0.000440917107583774 0.000440917107583774 0.000706214689265537 0.000706214689265537 0.000706214689265537 0.000706214689265537 0.00114713179684931 0.00184776720068106 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.00245098039215686 0.00252525252525253 0.00252525252525253 0.00252525252525253 0.00252525252525253 0.0029661696328363 0.00369918699186992 0.0047298380631714 0.00599647266313933 0.007094876985206 0.00792843691148776 0 0 0.00158804890443308 0.00203252032520325 0.00289189749974064 0 0 0 0 0 0 0 0 0 0 0 0.00158804890443308 0.00626177024482109 0.00166666666666667 0.00273873501446879 0.00325471557109975 0 0.00114155251141553 0 0.00909387997623292 0.0114624157030272 0 0 0 0 0 0 0 0 0 0 0 0.000440917107583774 0.00219298245614035 0 0.000706214689265537 0 0.0132186948853616 0.00555555555555556 0.00210758377425044 0.00166666666666667 0.00429874759283792 0 0.00245098039215686 0 0 0.00203252032520325 0.00844745124950081 0.0149374609382476 0.012119837377398 0.00491580295233263 0 0.00596664791580046 0.0403778240678238 0.00547036140256479 0.0179543647580483 0.0037066929722297 0.0937097916504233 0.0146732161239858 0.00924242424242424 0.0269392450886113 0.0695744770225594 0.165359010950446 0.369125400512041
5 151.5 111.166666666667 15.75 15.8333333333333 3.75 3.25 1.75 0.374899768613293 0.0327821951627426 0.0513292289162624 0.0287119875245734 0.0610349549906313 0.225969351388691 0.0333367156405693 0.191935797763237 0 0 0 0 0.000896057347670251 0.00105485232067511 0.0014516777175005 0.00149331662489557 0.000396825396825397 0 0 0 0 0.00634357700595152 0.00297619047619048 0.00210970464135021 0 0.000396825396825397 0.000793650793650794 0 0.00674858712353519 0.00105485232067511 0.0069086107375468 0.0072047985363432 0 0.00119047619047619 0.00617937339347204 0.00330558947130102 0.0014516777175005 0.00407268170426065 0.00893977410959035 0 0.000636132315521628 0 0.0024268719641609 0.00199254857574043 0.00232168932885779 0 0 0.00508437467301958 0 0.00105485232067511 0.0157235837884329 0.00129288274449565 0.00850301909004236 0.0167590662614823 0.0255932053651972 0.0244840625427188 0.0245220576143595 0.0885851281522271 0.0184798430970205 0.0264237763385992 0.00434432600488563 0.138719115514502 0.528084365281825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000925925925925926 0.00146198830409357 0.00208333333333333 0.00225225225225225 0.00225225225225225 0.00225225225225225 0.00225225225225225 0.00225225225225225 0.00225225225225225 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0.00544417144417144 0 0 0 0 0 0 0.00225225225225225 0.0106586850007903 0 0 0.000925925925925926 0 0.00252525252525253 0.0147328704274347 0.00686083811083811 0 0 0 0 0.000925925925925926 0 0 0 0 0 0 0.00694444444444444 0 0.00295871281117183 0 0 0 0 0 0.00146198830409357 0.0027953216374269 0 0 0 0 0 0.00694444444444444 0.0035453216374269 0 0 0 0 0 0 0 0 0.00827777777777778 0 0.00225225225225225 0.00208333333333333 0.00500225225225225 0.000925925925925926 0.0063406432748538 0 0.00527525252525253 0 0 0 0.00584990253411306 0.0055781085226728 0.000666666666666667 0.00133333333333333 0 0.002 0.0239016365962009 0.0278750975800156 0.00982846003898635 0.0184193817878028 0.0755213312771553 0.019324112723595 0.0073027573027573 0.0328668605266966 0.0227172172172172 0.186229335242709 0.437215193087713
6 136.416666666667 103.75 15.6666666666667 10.6666666666667 2.66666666666667 2.16666666666667 1.5 0.33538048613905 0.0571948627487072 0.0579188041893527 0.0258820227024448 0.0802105014408729 0.208582153130631 0.0405778278774446 0.194253341771496 0 0.000771604938271605 0.000771604938271605 0.00124378109452736 0 0 0.0029573754789272 0.0014367816091954 0 0 0 0 0 0.00105485232067511 0.00124378109452736 0 0 0 0 0 0.00341819198943945 0.0014367816091954 0.015383365580241 0.00140056022408964 0 0.00368895193753334 0.00271298683885019 0.00343630268199234 0 0 0.00191570881226054 0.00105485232067511 0 0.00148999574286931 0.00297619047619048 0.00104166666666667 0 0 0 0.00239463601532567 0 0.00105485232067511 0.0112319435914107 0.00481711017073 0.00570054072035397 0.0270457313813957 0.0246153808888672 0.0162151863232855 0.043716182258785 0.0960294418702017 0.0153723499988814 0.0278720921110775 0.00154320987654321 0.135453480751466 0.537502525366602 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0.00151515151515152 0.00151515151515152 0.00245098039215686 0 0 0 0 0 0.00128205128205128 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0 0 0 0 0 0.00208333333333333 0 0 0.00151515151515152 0.00128205128205128 0 0 0 0.00114155251141553 0.00114155251141553 0.00128205128205128 0.00208333333333333 0 0 0.00128205128205128 0 0.00128205128205128 0.00625828419946067 0.00208333333333333 0 0 0 0 0.00128205128205128 0 0 0 0 0 0 0 0 0.00128205128205128 0.00114155251141553 0 0 0 0 0 0.00401511572980633 0.00114155251141553 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0.00128205128205128 0 0 0 0 0 0 0 0 0.0115582191780822 0 0 0 0 0.00128205128205128 0.00715768920845472 0 0.00128205128205128 0.00128205128205128 0 0 0.0523498292894845 0.00868188799292748 0.0227106494988695 0.00473408541498791 0.0787729911024529 0.0145770610667871 0 0.106698169984174 0.026635503005366 0.130997124289867 0.488057644822906
7 134.666666666667 96.25 17.5 13.0833333333333 2.16666666666667 2.83333333333333 2.83333333333333 0.397616808152264 0.0346127964622687 0.0351284245811025 0.00705581498180885 0.0709312703464685 0.222102739780242 0.0347811566325682 0.197770989063278 0 0 0 0 0 0 0 0.00179856115107914 0.000801282051282051 0 0 0 0 0.00191672174487773 0.000968992248062015 0 0 0 0 0.000896057347670251 0 0.00196078431372549 0.00432631185608074 0.0044253542931508 0 0 0.00540617583917053 0.00259339674662255 0 0.000980392156862745 0.00318443027197372 0 0.000980392156862745 0.000980392156862745 0.000968992248062015 0 0.00193798449612403 0.000968992248062015 0 0.000599520383693046 0 0 0.0205320390810671 0.00385066478652284 0.0148131786381796 0.0163692291797525 0.0237288564424106 0.0248950609102211 0.0358265651650421 0.0967261793369079 0.0135992097201473 0.0167224110450217 0.00391016871865025 0.126307859425205 0.567023843840648 0 0 0 0 0 0 0 0 0.00136612021857923 0.00170068027210884 0.00170068027210884 0.00177304964539007 0.0039702868852459 0 0 0 0.00177304964539007 0 0 0 0 0.00154320987654321 0 0 0 0 0 0 0 0 0 0.00136612021857923 0 0 0 0.00136612021857923 0 0 0 0 0 0 0.00163398692810458 0 0 0.00260416666666667 0.004720406681191 0 0 0 0 0 0.00163398692810458 0.00109649122807018 0 0 0 0 0 0.00170068027210884 0 0 0 0 0.00170068027210884 0 0 0 0 0 0 0.00260416666666667 0.00163398692810458 0 0 0 0 0.00260416666666667 0.00109649122807018 0 0.00170068027210884 0.00170068027210884 0 0 0 0 0 0 0.00170068027210884 0 0 0 0 0 0 0 0 0.00154320987654321 0 0.00317719680464778 0.00154320987654321 0.00520833333333333 0 0.00136612021857923 0 0 0 0 0.00136612021857923 0.00795035359672167 0.0039702868852459 0.00324389014865205 0.0115913933459547 0 0.0104166666666667 0.0262696061550987 0.0110621697768735 0.00255102040816327 0.00889278350384573 0.0972678164371507 0.0270581331187024 0.00951318027210884 0.103747659886663 0.0243254965339234 0.110749903968346 0.39916154709961
8 147.833333333333 99.3333333333333 18 17 4.5 4.83333333333333 4.16666666666667 0.442458337728702 0.0361891803039383 0.0361832038921126 0.0129173670252996 0.0597079648900249 0.211232544223532 0.035894789046115 0.165416612890275 0.00136612021857923 0 0 0.000336021505376344 0 0 0 0.00102880658436214 0.000694444444444444 0.000694444444444444 0 0 0 0.00102880658436214 0.00131374473479737 0 0 0.000694444444444444 0 0 0.00273094830831772 0 0.00665960890890291 0.00245424518085337 0 0.00173161729460263 0.00136612021857923 0.00683060109289618 0.00138888888888889 0.00175980073640892 0.00100806451612903 0.000730994152046784 0 0.00355910267471959 0.00135810852521761 0.000730994152046784 0.000859106529209622 0.000499001996007984 0 0.000336021505376344 0 0 0.0040987278923556 0.00560331160726048 0.0075674156363065 0.0120427489087993 0.0125668250716779 0.0117286315121159 0.0421898187007147 0.0825945806174998 0.0159506855779617 0.0201091579746789 0.00258235755801621 0.126236418054835 0.615569263246764 0 0.000548245614035088 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00150103519668737 0.00163398692810458 0.00163398692810458 0.0014367816091954 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0.000548245614035088 0 0 0 0 0 0 0 0 0.00347222222222222 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0.000548245614035088 0 0 0 0 0 0 0.00231481481481481 0.000548245614035088 0 0 0 0.00462962962962963 0 0.0028630604288499 0.00198502722323049 0 0 0 0 0.00248623011015912 0 0 0 0 0 0 0 0 0 0.00248623011015912 0.000548245614035088 0.0040467900555861 0 0 0 0.000778816199376947 0.00498440080275968 0 0 0 0.00141242937853107 0.00193798449612403 0 0 0 0 0.00163398692810458 0.0014367816091954 0.000595238095238095 0 0 0 0.000778816199376947 0.00231481481481481 0.00231481481481481 0 0 0.00231481481481481 0 0 0 0 0.00528839837077914 0.0065429907595222 0.00701821925236134 0.00284921098772648 0.00583461195990741 0 0.00173872180451128 0.0211364540296764 0.00787338998108897 0.0163256474971907 0.00746111774764013 0.0706322615467441 0.0135581437392959 0.00500875303342401 0.0665097148115685 0.0239713909290479 0.124498941663576 0.55067461311995
9 121.636363636364 81.8181818181818 13.1818181818182 14.0909090909091 3.27272727272727 3.90909090909091 5.36363636363636 0.48693999384701 0.0331171015601216 0.0295823847995232 0.0101064954244648 0.0416891214265985 0.208996892391296 0.040181152791582 0.149386857759404 0 0 0 0 0 0 0.00115740740740741 0.00108225108225108 0.000841750841750842 0 0 0 0 0 0 0 0.00108225108225108 0 0 0 0.00108225108225108 0 0.00252525252525253 0.000841750841750842 0 0.000257201646090535 0.00366762866762867 0.00250496031746032 0 0 0.00236829238479403 0 0 0.00357416694050357 0.00224132863021752 0.00115740740740741 0 0 0.000380517503805175 0 0 0.000825082508250825 0.0111599453596153 0.00512238723872387 0.00537089749418517 0.00717471544211752 0.0187385421743233 0.0153856562746403 0.00905219490202989 0.0607558712967948 0.0114520355805422 0.0187424036135434 0.00154320987654321 0.114889183565065 0.61169012297947 0 0 0 0 0 0 0 0.00124378109452736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0 0 0 0 0 0.00124378109452736 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00189393939393939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00248756218905473 0 0 0.00037037037037037 0.00313772048846676 0 0.00124378109452736 0 0.00378787878787879 0.00308641975308642 0.00554424170787787 0.00111028053821124 0 0 0 0.00124378109452736 0.0173763065730937 0.00493596920179514 0.0194988471856244 0.00719465313287382 0.0720268093194777 0.0337337495023678 0.00347222222222222 0.00998035914702581 0.0234008109812965 0.112676210091072 0.580801457470757
10 90 51 7.90909090909091 14 3.45454545454545 4.90909090909091 8.72727272727273 0.59303575188399 0.0357331344716095 0.0192574862185779 0.00718343244858396 0.0378512018053651 0.166085623072813 0.0304021735848171 0.110451196514244 0 0 0 0 0 0 0.00119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00517145135566188 0.000493096646942801 0 0.00119047619047619 0.00471306821766064 0 0 0 0 0 0.000493096646942801 0.000262881177707676 0 0.000262881177707676 0.00124378109452736 0 0 0 0 0.00297619047619048 0.00513139574771478 0.00453382438457065 0.00406452521837137 0.00489974051971756 0.0115561701964741 0.0138015543583856 0.0324435303426696 0.00602321647759219 0.014706121106691 0.00168357283741899 0.0715851602880136 0.728240456014754 0 0 0 0 0.000825082508250825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000368731563421829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000418760469011725 0 0 0 0.000418760469011725 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00267101272126398 0.000418760469011725 0 0.000825082508250825 0 0 0 0.000368731563421829 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0.00538088798737886 0 0.00490196078431373 0 0 0 0 0.00225225225225225 0.00353532544115881 0.000418760469011725 0.00193798449612403 0.00460899721738801 0 0.00426574647978857 0.00675675675675676 0.00705679209478673 0.00745980113170947 0.0112322074522274 0.0389130482561422 0.00749056678137958 0.000825082508250825 0.0198081118053758 0.0100532147714904 0.0771024756554162 0.694099519801819
