"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gh_Proportion" "Transition_jo_Proportion" "Transition_ij_Proportion" "Transition_oe_Proportion" "Transition_oo_Proportion" "Transition_cj_Proportion" "Transition_eh_Proportion" "Transition_oc_Proportion" "Transition_cc_Proportion" "Transition_hi_Proportion" "Transition_ee_Proportion" "Transition_gj_Proportion" "Transition_hg_Proportion" "Transition_hh_Proportion" "Transition_og_Proportion" "Transition_cg_Proportion" "Transition_eg_Proportion" "Transition_jc_Proportion" "Transition_oi_Proportion" "Transition_gc_Proportion" "Transition_ge_Proportion" "Transition_jg_Proportion" "Transition_ic_Proportion" "Transition_go_Proportion" "Transition_ei_Proportion" "Transition_jj_Proportion" "Transition_se_Proportion" "Transition_jh_Proportion" "Transition_gg_Proportion" "Transition_ji_Proportion" "Transition_ii_Proportion" "Transition_so_Proportion" "Transition_sc_Proportion" "Transition_ci_Proportion" "Transition_ig_Proportion" "Transition_sh_Proportion" "Transition_sj_Proportion" "Transition_gi_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_gsj_Proportion" "Transition_sjs_Proportion" "Transition_isj_Proportion" "Transition_ijs_Proportion" "Transition_ogs_Proportion" "Transition_iii_Proportion" "Transition_sji_Proportion" "Transition_gso_Proportion" "Transition_soo_Proportion" "Transition_hgs_Proportion" "Transition_jjs_Proportion" "Transition_gos_Proportion" "Transition_gsh_Proportion" "Transition_hsg_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_his_Proportion" "Transition_ise_Proportion" "Transition_see_Proportion" "Transition_hsi_Proportion" "Transition_ggs_Proportion" "Transition_sso_Proportion" "Transition_egs_Proportion" "Transition_igi_Proportion" "Transition_esh_Proportion" "Transition_ges_Proportion" "Transition_shh_Proportion" "Transition_osg_Proportion" "Transition_ggg_Proportion" "Transition_csi_Proportion" "Transition_gis_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_jse_Proportion" "Transition_jsg_Proportion" "Transition_isg_Proportion" "Transition_esg_Proportion" "Transition_sos_Proportion" "Transition_jhs_Proportion" "Transition_ics_Proportion" "Transition_ssh_Proportion" "Transition_sgg_Proportion" "Transition_ssi_Proportion" "Transition_gsi_Proportion" "Transition_sgi_Proportion" "Transition_gsg_Proportion" "Transition_ssg_Proportion" "Transition_sii_Proportion" "Transition_igs_Proportion" "Transition_isi_Proportion" "Transition_shs_Proportion" "Transition_gii_Proportion" "Transition_iis_Proportion" "Transition_scs_Proportion" "Transition_sgs_Proportion" "Transition_jsi_Proportion" "Transition_jis_Proportion" "Transition_ess_Proportion" "Transition_oss_Proportion" "Transition_sis_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 168.25 129.166666666667 21.3333333333333 14 2.41666666666667 0.916666666666667 0.416666666666667 0.455496133747784 0.052436032641452 0.0407279379510894 0.0150187518081921 0.0144155463719318 0.228330722940568 0.0340868867250384 0.159487987813944 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.00163398692810458 0.00272244973938943 0.00347222222222222 0.00374993578877074 0.00428128371089536 0.00428680393700382 0.0045045045045045 0.00513981964093654 0.00617210192321883 0.00646241830065359 0.00656093343486262 0.00727217258211301 0.0084580029012957 0.0182679970007184 0.0186251065979286 0.0208696096421907 0.0210667001870572 0.0221968498872113 0.129152501335517 0.172034854918119 0.532260683328614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0.0016025641025641 0.0016025641025641 0.0016025641025641 0.0016025641025641 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00320512820512821 0.00333333333333333 0.0043859649122807 0.00589330024813896 0.00757575757575758 0.00925925925925926 0.017899812254651 0.0199912192373623 0.0202775619442286 0.0287158460677813 0.0345512539855691 0.0369377649640808 0.100257624117273 0.159077404685104 0.531366689437972
2 114.25 90.0833333333333 10.8333333333333 10 2 0.916666666666667 0.416666666666667 0.600554927201532 0.0483761053979806 0.031980669015216 0.0122412291013556 0.00639503187389912 0.176917363605537 0.0184167589731457 0.105117914831334 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000946969696969697 0.000946969696969697 0.00396825396825397 0.0043859649122807 0 0.000946969696969697 0.00233585858585859 0.00817384370015949 0.00181159420289855 0 0.00953996391873872 0 0.00206056466302368 0.000946969696969697 0 0 0.000946969696969697 0.0101730019493177 0.0249013611451245 0.00978190373682177 0.0193480107904556 0.0158672133547401 0.0219402347429226 0.0825079762218694 0.0746309137611141 0.703838491861572 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0.00170068027210884 0.00170068027210884 0.00308641975308642 0.00595238095238095 0 0 0 0.00308641975308642 0.00595238095238095 0 0 0.00170068027210884 0 0 0 0.00151515151515152 0 0 0.00170068027210884 0.0193734010698296 0.0259259259259259 0.0158415217939027 0.0225785292749578 0.0395427379058331 0.0905505043897901 0.0477659190456809 0.710325306307449
3 113.25 90 10.8333333333333 8.08333333333333 2.58333333333333 1.41666666666667 0.25 0.556744099733999 0.046095042857525 0.0313490611782975 0.0221259877972391 0.00936660003759738 0.132266084809324 0.0256493462430428 0.0930704440096412 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0.00238095238095238 0.00252525252525253 0.00252525252525253 0.00320512820512821 0 0 0 0.0006265664160401 0.00177304964539007 0 0 0.00177304964539007 0.00134408602150538 0.00320512820512821 0.00238095238095238 0 0 0.00490620490620491 0.00551675172832562 0 0.00512541554765759 0.0290731071981072 0.0116653210305192 0.0115387239500715 0.0265282336467409 0.0216880244027245 0.0120661397543118 0.079803751597531 0.122904562073921 0.56233796323417 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00111111111111111 0.00111111111111111 0.00490196078431373 0.00595238095238095 0.00641025641025641 0.00757575757575758 0.00925925925925926 0 0 0 0 0.00388888888888889 0 0 0 0.0135281385281385 0.00277777777777778 0 0 0 0 0 0 0.0263486513486513 0 0 0.00297619047619048 0.013986013986014 0.00408730158730159 0.0179292929292929 0.0200534759358289 0.0504935913759443 0.0684757943581473 0.0985462685462686 0.557253443724032
4 106.833333333333 82 10.8333333333333 10.75 1.41666666666667 1.41666666666667 0.416666666666667 0.582931428311777 0.0477417199363022 0.034729557286963 0.0246083284938921 0.0123804036060647 0.170106442646782 0.0165344724156898 0.110967647302529 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.00198412698412698 0.00757575757575758 0.00757575757575758 0 0 0 0.00320961718020542 0 0 0 0 0 0 0 0.00760333839602132 0.00308641975308642 0.00502440424921045 0 0 0 0.00406681190994916 0.00852707749766573 0.00193798449612403 0.00855614973262032 0.0108945430023861 0.0160586842616972 0.00496714487822559 0.0167748573315621 0.0283264870960755 0.0220617094082277 0.0123120058995572 0.0830080843574721 0.119699012951824 0.625524535266369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0.00252525252525253 0.00252525252525253 0.00252525252525253 0.00333333333333333 0.0043859649122807 0.00462962962962963 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0.00771929824561404 0 0 0 0.00416666666666667 0.00691121743753323 0.00462962962962963 0 0 0 0 0 0 0.00615079365079365 0.00198412698412698 0 0.0112433862433862 0.0267048497311655 0.00231481481481481 0.00551994301994302 0.0245795870795871 0.0494785575048733 0.0854157684420842 0.114429586008533 0.606009628772787
5 120.083333333333 96.3333333333333 11.1666666666667 9.08333333333333 1.91666666666667 1.25 0.333333333333333 0.499016232144956 0.0463541878398282 0.0366620655848291 0.0248880015510848 0.0101652835472734 0.237025817301386 0.0285175208725583 0.117370891158085 0 0 0 0 0 0 0 0 0 0.000816993464052288 0.000816993464052288 0.00225225225225225 0.00658029848578644 0 0.00631136044880785 0 0.00396825396825397 0.00126262626262626 0.000816993464052288 0 0 0.000816993464052288 0 0 0 0.0028735632183908 0.00245098039215686 0 0.00896572619290533 0.00396825396825397 0 0.0045045045045045 0 0 0 0 0.00952998922965552 0.00126262626262626 0.0118315865572693 0.0307583895617137 0.00940652678260437 0.0199924081977064 0.0269687657466358 0.03188067602939 0.0199980036088088 0.0655694443202695 0.214631809490899 0.511763980662274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00225225225225225 0.00396825396825397 0.00490196078431373 0.0138888888888889 0 0 0 0 0 0.00490196078431373 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.0138888888888889 0 0 0.00892857142857143 0 0 0 0 0 0 0 0 0.0263888888888889 0 0 0.0197167755991285 0.0370111182611183 0.00225225225225225 0.0218253968253968 0.0437205062205062 0.0461795829442888 0.0466603858760722 0.129974950440637 0.477371769528632
6 93.25 73.8333333333333 9 7.16666666666667 1.58333333333333 1 0.583333333333333 0.492406371236926 0.0471492236111185 0.031493649642769 0.0225857538772477 0.0115703570249564 0.171206431391759 0.0194816374047324 0.120773242477157 0 0 0 0 0 0 0 0.00308641975308642 0.00378787878787879 0 0 0 0 0.00203252032520325 0.00378787878787879 0 0 0.00108225108225108 0 0 0.00154320987654321 0 0 0.00154320987654321 0 0.00320512820512821 0 0 0.00718294051627385 0 0.00555555555555556 0 0.00378787878787879 0 0.00378787878787879 0.00203252032520325 0 0.00378787878787879 0.00478595478595479 0.00708950038218331 0.0115079365079365 0.00753367003367003 0.0237654320987654 0.0230027237141058 0.0251871434798264 0.0839380996901322 0.117753775883857 0.565899280635053 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0.0036231884057971 0.0036231884057971 0.0138888888888889 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0.0547187715665977 0.00203252032520325 0.0179924242424242 0.0138888888888889 0.0520447530864198 0.0336649679902596 0.123142440624325 0.556923445836268
7 108.916666666667 83.5 13.0833333333333 9.75 1.75 0.416666666666667 0.416666666666667 0.515901680814847 0.0519660213621603 0.033807691618259 0.0318517405198123 0.0174168053300381 0.192804165880462 0.021273775708421 0.134978118766001 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0 0 0 0.00311025311025311 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0.00177304964539007 0 0.00416666666666667 0.00112612612612613 0.00382457929627741 0 0 0 0.00308641975308642 0.00112612612612613 0.007697680570021 0 0.0118038434705101 0.0246169724351618 0.0143330043880358 0.0165869623218183 0.0282429894602488 0.0330229727159552 0.017306315179536 0.09480425459685 0.13867304987794 0.591554080171947 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0 0.00595238095238095 0 0 0 0 0 0 0 0 0.00520833333333333 0.00520833333333333 0 0 0.00833333333333333 0.00520833333333333 0.00818452380952381 0 0.00595238095238095 0.00297619047619048 0 0 0 0.0194940476190476 0 0 0.00396825396825397 0.0363455988455988 0.0208333333333333 0.00520833333333333 0.0464015151515152 0.0453869047619048 0.0601686507936508 0.147258297258297 0.5592306998557
8 102 78.75 11.1666666666667 8.33333333333333 1.58333333333333 1.33333333333333 0.833333333333333 0.4941135645841 0.0295385754197602 0.0342706641178521 0.0238820716404314 0.0191828478872806 0.264353572460354 0.0291455109561279 0.105513192934094 0 0 0 0 0 0.00130208333333333 0 0 0 0 0 0 0 0 0.00128205128205128 0 0 0 0 0.00326617826617827 0 0 0 0 0 0.00128205128205128 0.00245098039215686 0 0.00130208333333333 0 0.00326617826617827 0.00130208333333333 0.00130208333333333 0 0.00485769020251779 0.00297619047619048 0.00390818858560794 0.00384615384615385 0.010037755060002 0.0201415401637871 0.0131054131054131 0.0134212927485579 0.0123109139920098 0.0234297506092556 0.034931476640146 0.0642302125903697 0.194560627591405 0.581487021566634 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0 0.00231481481481481 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0 0.0043859649122807 0 0.00231481481481481 0 0 0 0 0 0 0.00277777777777778 0.00747238466536712 0.00555555555555556 0 0 0.00555555555555556 0.00925925925925926 0.00277777777777778 0.00740740740740741 0.00231481481481481 0.0174139051332034 0 0 0.00994152046783626 0.0214441074656128 0.00277777777777778 0.00308641975308642 0.0200632349242281 0.0220228111693165 0.0894565531096374 0.223190215077949 0.530596957395557
9 86.75 67.25 9.91666666666667 7.08333333333333 1.08333333333333 1.16666666666667 0.25 0.553871600249948 0.0527641374756549 0.0504349998165676 0.0226968814777795 0.0161348342889925 0.171550227143375 0.0133481886020401 0.119199130945643 0 0 0 0 0.00203252032520325 0.00166666666666667 0 0 0 0 0 0.00260416666666667 0.00277777777777778 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0 0 0.00260416666666667 0.0043859649122807 0.00378787878787879 0.00203252032520325 0.00277777777777778 0 0 0 0.00481029810298103 0 0.00166666666666667 0.017609126984127 0.0106628787878788 0.015902923792169 0.0220869335046164 0.0393819472509548 0.00260416666666667 0.11506126294106 0.102303542284245 0.637288432160132 0 0 0 0 0 0 0 0 0.0043859649122807 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0.0107962213225371 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0.00641025641025641 0 0 0.00641025641025641 0 0 0 0 0.00641025641025641 0 0 0 0.0544678248482596 0.0128205128205128 0 0.0300889253978499 0.0123951182303585 0.0904364858169206 0.118547570850202 0.629624128837516
10 88.9166666666667 68.5 10.4166666666667 7.58333333333333 1.25 1 0.0833333333333333 0.495467924434733 0.0446994067664368 0.0311255874928211 0.0266544888509626 0.00661612270294208 0.178166063574316 0.0299455912188289 0.103991481625626 0 0 0 0 0.00122549019607843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012265201878385 0.00119047619047619 0 0.00855563155494756 0.0043859649122807 0 0.00193798449612403 0 0 0 0.00213675213675214 0.0098983779558335 0.00435395088267865 0.00557644110275689 0.0430091064765987 0.022556674491659 0.0502752912042638 0.0885740661327457 0.14575472517099 0.514970531884097 0 0 0 0 0 0 0 0.0028735632183908 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0.0087719298245614 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00699013157894737 0 0 0 0 0 0 0.00260416666666667 0 0 0 0.0043859649122807 0 0.0043859649122807 0.0028735632183908 0 0 0 0.00925925925925926 0.00808189655172414 0 0 0 0.0137152777777778 0 0.0106860632183908 0.00833333333333333 0.088617496807152 0.0536841835191427 0.178277095396537 0.505867248341159
