"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_go_Proportion" "Transition_co_Proportion" "Transition_jh_Proportion" "Transition_ei_Proportion" "Transition_ec_Proportion" "Transition_ej_Proportion" "Transition_oc_Proportion" "Transition_og_Proportion" "Transition_ho_Proportion" "Transition_gi_Proportion" "Transition_cg_Proportion" "Transition_sh_Proportion" "Transition_jc_Proportion" "Transition_ee_Proportion" "Transition_io_Proportion" "Transition_se_Proportion" "Transition_jg_Proportion" "Transition_oi_Proportion" "Transition_gc_Proportion" "Transition_so_Proportion" "Transition_hj_Proportion" "Transition_gg_Proportion" "Transition_sj_Proportion" "Transition_jj_Proportion" "Transition_sc_Proportion" "Transition_sg_Proportion" "Transition_ji_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_gs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_sjh_Proportion" "Transition_jhs_Proportion" "Transition_jsj_Proportion" "Transition_sjj_Proportion" "Transition_ssi_Proportion" "Transition_eji_Proportion" "Transition_csi_Proportion" "Transition_ses_Proportion" "Transition_gis_Proportion" "Transition_ssj_Proportion" "Transition_sjs_Proportion" "Transition_jis_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_jgs_Proportion" "Transition_gcs_Proportion" "Transition_sis_Proportion" "Transition_sgs_Proportion" "Transition_osg_Proportion" "Transition_scs_Proportion" "Transition_ess_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_css_Proportion" "Transition_sss_Proportion"
1 227.666666666667 190.916666666667 20.0833333333333 14.5 1.33333333333333 0.666666666666667 0.166666666666667 0.260379758569666 0.0753839159675361 0.114316112920781 0.0423152087476087 0.017112665566617 0.173311163226265 0.0649843192886898 0.252196855712837 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00068870523415978 0.00068870523415978 0.000841750841750842 0.00106837606837607 0.00225225225225225 0.00396825396825397 0.00447845804988662 0.00672844227816144 0.00698583947247049 0.00721288515406162 0.00732188800370619 0.00877525252525252 0.0323972563674425 0.0368284313598111 0.0480961875969244 0.0756337554391163 0.130808034273186 0.161259877455621 0.463965648425406 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00277777777777778 0.0139880952380952 0.0279584462511292 0.0373094046874535 0.0579258210256662 0.0835604745118262 0.108112572377184 0.129364850210297 0.136002449485988 0.396750108434583
2 65.4166666666667 55.5833333333333 5 4.16666666666667 0.166666666666667 0.416666666666667 0.0833333333333333 0.282068888155977 0.0685859219941594 0.139255472875272 0.0239959669615778 0.0163318316614756 0.138982672460368 0.0743045392358472 0.256474706655323 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0.00416666666666667 0.00416666666666667 0.00416666666666667 0.0157106782106782 0 0 0 0 0 0 0.00416666666666667 0.00268817204301075 0.0416666666666667 0.00416666666666667 0.00555555555555556 0.0157106782106782 0.0464081095129482 0.0703149001536098 0.0204365079365079 0.0895298026346413 0.150590971155487 0.105977594687272 0.410608775931357 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.0119047619047619 0.0119047619047619 0.0119047619047619 0 0 0 0 0 0.0119047619047619 0.0347222222222222 0.0277777777777778 0.140873015873016 0.11656746031746 0.0975198412698413 0.159126984126984 0.282043650793651
3 34.75 29.3333333333333 2.75 2.16666666666667 0.166666666666667 0.25 0.0833333333333333 0.291621008801628 0.0797852694521664 0.149054988890947 0.0509266734329879 0.0186720643088568 0.107218419216768 0.0521878495591715 0.250533726337475 0 0 0 0 0 0 0 0 0 0.00520833333333333 0.00520833333333333 0.00555555555555556 0 0 0 0.00641025641025641 0 0 0 0 0 0 0.0285714285714286 0 0 0 0 0.00520833333333333 0.00641025641025641 0.117281445406445 0.0966104497354497 0.0754464285714286 0.070770202020202 0.058403749028749 0.15224358974359 0.366671638546638 0 0 0 0 0 0 0 0 0 0.0119047619047619 0.0166666666666667 0.0208333333333333 0.0208333333333333 0 0 0 0 0 0 0 0 0 0.0119047619047619 0.0119047619047619 0.0555555555555556 0.0863095238095238 0.121031746031746 0.0662698412698413 0.0682539682539682 0.258531746031746
4 30.8333333333333 25.25 2.91666666666667 2.41666666666667 0.0833333333333333 0 0.166666666666667 0.395835189012968 0.0542299047558922 0.11055742943706 0.0487659764196437 0.0129744437832921 0.123391306520973 0.0678409000569676 0.186404850013203 0 0 0 0 0 0 0 0.00520833333333333 0.0416666666666667 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0.0121527777777778 0 0.00757575757575758 0.0119047619047619 0 0.00520833333333333 0.015625 0.103409090909091 0.0569173881673882 0.0315806878306878 0.0446127946127946 0.119712000962001 0.0928766835016835 0.363008056758057 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0.0277777777777778 0 0 0.0486111111111111 0.0119047619047619 0 0.11468253968254 0.0952380952380952 0.0827380952380952 0.0494047619047619 0.302976190476191
5 25.9166666666667 21.25 1.66666666666667 2.5 0.25 0.25 0 0.302540227586351 0.0551481309173785 0.154999799489475 0.0661143557638923 0.0101649564161977 0.116338250367326 0.0810223435829488 0.213671935876431 0 0 0 0 0 0.00490196078431373 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0.00490196078431373 0.0173611111111111 0 0.0191885964912281 0.0776444788441693 0.0465486633249791 0.0565718831392206 0.113016917293233 0.0455565998329156 0.352403066489754 0 0 0 0 0 0 0 0.00833333333333333 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.0925925925925926 0.168518518518519 0.00925925925925926 0.125462962962963 0.0611111111111111 0.25462962962963
6 37.25 30.8333333333333 3.41666666666667 2.5 0.166666666666667 0.25 0.0833333333333333 0.314868847990603 0.0595703894288606 0.110804399330781 0.106891835860104 0.0127709842995169 0.134085553779179 0.0586831659401722 0.202324823370784 0 0 0 0.00238095238095238 0.00490196078431373 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0.0138888888888889 0.0142857142857143 0.00462962962962963 0 0 0.0549603174603175 0.0643656452479982 0.0649470899470899 0.0979575163398693 0.0764911014911015 0.116269841269841 0.381349913702855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0.00555555555555556 0.169642857142857 0.128571428571429 0.066765873015873 0.100793650793651 0.350099206349206
7 33.5 28.75 2 2.41666666666667 0.166666666666667 0 0.166666666666667 0.359329953958696 0.0355829124579125 0.132138678913845 0.0919684901790501 0.0273181375155059 0.131800619265053 0.0376168799524063 0.184244327757531 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.00416666666666667 0 0.0361111111111111 0 0.0174603174603175 0.141997354497354 0.0791160908807968 0.0481481481481481 0.0592086834733893 0.551291627762216 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0.120833333333333 0.0353535353535354 0.0486111111111111 0.0346590909090909 0.203472222222222 0.39040404040404
8 25.5833333333333 22.0833333333333 1.75 0.916666666666667 0.5 0.333333333333333 0 0.462594846637268 0.10805890749658 0.0783895484211926 0.0683014444584643 0.015546218487395 0.0883853284437312 0.0436705037588251 0.135053202296544 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0.00694444444444444 0.00694444444444444 0.0550213675213675 0 0.0128205128205128 0.0133547008547009 0.113873626373626 0.0525030525030525 0.116452991452991 0.0598290598290598 0.381700244200244 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0.0416666666666667 0 0 0 0 0 0.138888888888889 0.0333333333333333 0.0416666666666667 0.0404761904761905 0.136904761904762 0.284325396825397
9 40.5 33.0833333333333 3.16666666666667 3.16666666666667 0.5 0.5 0.0833333333333333 0.395677860672071 0.0757832454804559 0.118286087916805 0.0786819109660741 0.0223972614783515 0.129473326624218 0.0563584144227371 0.123341892439288 0 0.00555555555555556 0.00490196078431373 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0.00833333333333333 0 0 0.00833333333333333 0 0.00490196078431373 0.0124777183600713 0.00757575757575758 0 0.00245098039215686 0 0 0.00749354005167959 0.0281862745098039 0.0680693736268292 0.0568171454628363 0.033859629122967 0.068141054871561 0.114124487004104 0.56387593444707 0 0 0.0104166666666667 0.0104166666666667 0.0119047619047619 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0.0166666666666667 0.0104166666666667 0.0934941520467836 0.114327485380117 0.0286915204678363 0.105263157894737 0.0465277777777778 0.534414160401003
10 25.5833333333333 20.3333333333333 2.41666666666667 2.41666666666667 0.25 0.0833333333333333 0.0833333333333333 0.432835443425417 0.0421517538659414 0.0935363149232049 0.0378619297289857 0.00765519040166927 0.128415920176755 0.0702583291922278 0.187285118285799 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0.0119047619047619 0 0.0215686274509804 0.0183150183150183 0.0689143713040772 0.00750612745098039 0.0813174094424094 0.0567817939141469 0.10754794973545 0.540206440482176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.0833333333333333 0.0152116402116402 0.141534391534392 0.14484126984127 0.0656084656084656 0.0535714285714286 0.319973544973545
