"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gi_Proportion" "Transition_oj_Proportion" "Transition_ic_Proportion" "Transition_og_Proportion" "Transition_eg_Proportion" "Transition_jj_Proportion" "Transition_oh_Proportion" "Transition_oc_Proportion" "Transition_se_Proportion" "Transition_ii_Proportion" "Transition_sh_Proportion" "Transition_sc_Proportion" "Transition_go_Proportion" "Transition_ji_Proportion" "Transition_sj_Proportion" "Transition_si_Proportion" "Transition_io_Proportion" "Transition_ci_Proportion" "Transition_so_Proportion" "Transition_gc_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_es_Proportion" "Transition_jg_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_gs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_gii_Proportion" "Transition_ssi_Proportion" "Transition_gsg_Proportion" "Transition_iii_Proportion" "Transition_sii_Proportion" "Transition_ssg_Proportion" "Transition_sjs_Proportion" "Transition_sis_Proportion" "Transition_ohs_Proportion" "Transition_oso_Proportion" "Transition_jis_Proportion" "Transition_sos_Proportion" "Transition_sgs_Proportion" "Transition_ggs_Proportion" "Transition_hss_Proportion" "Transition_jgs_Proportion" "Transition_iss_Proportion" "Transition_oss_Proportion" "Transition_ess_Proportion" "Transition_gss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_sss_Proportion"
1 80.3333333333333 71.6666666666667 5.25 2.83333333333333 0.416666666666667 0.0833333333333333 0.0833333333333333 0.207218627563562 0.111911995307961 0.123794276569576 0.0706955186392646 0.0309304892405646 0.158219723769321 0.0518335081871141 0.245395860722637 0 0 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00268817204301075 0.00297619047619048 0.00297619047619048 0.00595238095238095 0.00833333333333333 0.0119047619047619 0.0142857142857143 0.0200940860215054 0.0277777777777778 0.0488639272913466 0.052931387608807 0.0654409882232463 0.0679851510496672 0.0899833589349718 0.137131976446493 0.353309011776754 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0.0138888888888889 0.0138888888888889 0.0208333333333333 0.0246212121212121 0.0416666666666667 0.0416666666666667 0.0454545454545454 0.0486111111111111 0.0713383838383838 0.156565656565657 0.202020202020202 0.232323232323232
2 35.25 31.1666666666667 2.58333333333333 1.16666666666667 0.0833333333333333 0.166666666666667 0.0833333333333333 0.246188724127084 0.115344367427407 0.151274786617369 0.0986930933057126 0.0295740972619838 0.142443529386274 0.0349466979501585 0.181534703924012 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.166666666666667 0 0 0.0211640211640212 0.0104166666666667 0 0 0 0 0.00833333333333333 0 0.0190972222222222 0 0.0223214285714286 0.04375 0.115575396825397 0.0870205026455027 0.0434027777777778 0.0248842592592593 0.326256613756614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.0791666666666667 0.0277777777777778 0.0625 0.215277777777778 0.0902777777777778 0.254166666666667
3 25.8333333333333 21.5 2.41666666666667 1.5 0.166666666666667 0.25 0 0.284845723696626 0.0894060001735283 0.118087348393689 0.127833356229254 0.0535800796926958 0.147928401668585 0.025273257570037 0.153045832575584 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0.0119047619047619 0 0 0 0.0028735632183908 0 0 0.0833333333333333 0.0119047619047619 0 0.00928381962864721 0.0401614668856048 0.0474137931034483 0.086280577659888 0.100290035634863 0.112447418481901 0.407899571692675 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0.160353535353535 0.0227272727272727 0 0.0277777777777778 0.0353535353535354 0.140151515151515 0.356060606060606
4 23 19 2.16666666666667 1.58333333333333 0 0.25 0 0.28498099500959 0.0769941972515502 0.133358692717353 0.0862471021172001 0.0478549382716049 0.17513401835093 0.0377082285905815 0.15772182769119 0 0 0 0 0 0 0 0 0.0104166666666667 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0.0405092592592593 0 0.0280501089324619 0.107298474945534 0.0539760348583878 0.0753540305010893 0.0175925925925926 0.150503812636166 0.335743464052288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0.127777777777778 0.111111111111111 0.0166666666666667 0 0.0619047619047619 0.188492063492063 0.202380952380952
5 25.0833333333333 21.4166666666667 2 1.33333333333333 0.166666666666667 0.0833333333333333 0 0.29450587822959 0.0701416351519134 0.105560375365878 0.0666433036452012 0.0323529411764706 0.129196119744032 0.0561147722675237 0.162151641086058 0 0 0 0 0 0.00757575757575758 0.0138888888888889 0.0416666666666667 0 0 0 0 0 0 0 0.0153769841269841 0 0 0 0 0 0.0138888888888889 0.0208333333333333 0 0.0277777777777778 0.0654761904761905 0.086715367965368 0.0416666666666667 0.0639880952380952 0.0520833333333333 0.299062049062049 0 0 0 0 0 0 0 0.0104166666666667 0.0416666666666667 0 0 0 0 0 0 0 0.09375 0.0416666666666667 0 0.0520833333333333 0.197916666666667 0.0833333333333333 0.145833333333333
6 13.9166666666667 11.9166666666667 1.16666666666667 0.583333333333333 0.0833333333333333 0 0.0833333333333333 0.154378935354813 0.0909686600476074 0.140254289377096 0.0843229593229593 0.0551346801346801 0.168867207518523 0.0595841056367372 0.16315582927425 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0.0119047619047619 0 0 0 0 0 0 0.0208333333333333 0 0 0.0119047619047619 0 0 0 0.0444444444444444 0.0238095238095238 0.0494047619047619 0.139880952380952 0.117063492063492 0.235515873015873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0833333333333333 0 0.0486111111111111 0.0277777777777778 0.208333333333333 0.131944444444444
7 23.25 20.25 1.66666666666667 1 0.25 0.0833333333333333 0 0.316173114996301 0.0781821519247435 0.0679665000947328 0.101509064749905 0.0279952061229001 0.169255045006212 0.0579956622440459 0.180923254861159 0 0 0.00925925925925926 0.0166666666666667 0.0277777777777778 0 0 0 0 0 0 0.00925925925925926 0 0 0.0243055555555556 0.0171130952380952 0 0 0 0 0 0 0.0833333333333333 0 0.0416666666666667 0.0821428571428571 0.0270833333333333 0.0185185185185185 0.0989583333333333 0.0847056878306878 0.375876322751323 0 0 0 0 0 0 0.0138888888888889 0.0208333333333333 0 0 0 0 0 0 0.0833333333333333 0 0.0347222222222222 0.104166666666667 0 0.208333333333333 0.0972222222222222 0.0555555555555556 0.215277777777778
8 10.75 9.08333333333333 0.833333333333333 0.583333333333333 0.166666666666667 0 0.0833333333333333 0.200452441077441 0.114646464646465 0.0649410774410774 0.0863425925925926 0.082628367003367 0.245433501683502 0.0654040404040404 0.140151515151515 0 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.101648351648352 0.00641025641025641 0 0.0119047619047619 0 0.0138888888888889 0.0555555555555556 0.0416666666666667 0.409798534798535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0555555555555556 0.0277777777777778 0.037037037037037 0.0833333333333333 0 0 0.212962962962963
9 17.5 15.4166666666667 1 0.75 0.0833333333333333 0.166666666666667 0.0833333333333333 0.250493339188991 0.0839573268921095 0.135135778070561 0.0439236568584395 0.033323268921095 0.142214719660372 0.0216156126482213 0.289336297760211 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0.0125 0.0416666666666667 0.0104166666666667 0.0208333333333333 0.0208333333333333 0.125 0.05 0.216666666666667 0.247916666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0833333333333333 0.05 0 0 0.0416666666666667 0.0833333333333333 0.158333333333333
10 16.6666666666667 13.8333333333333 1.25 1.16666666666667 0 0.166666666666667 0.166666666666667 0.225386171658101 0.133419354362337 0.100961526290474 0.0435185185185185 0.0151692362218678 0.133142884568323 0.0274499379762538 0.237619037070791 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0.00297619047619048 0.00818452380952381 0 0 0 0 0 0.015625 0 0 0.00297619047619048 0.0208333333333333 0.0773809523809524 0.0196428571428571 0.0714285714285714 0.0476686507936508 0.306200396825397 0 0.00694444444444444 0.00694444444444444 0.00694444444444444 0.00694444444444444 0.0138888888888889 0 0 0 0 0 0 0.0208333333333333 0 0 0 0.0220959595959596 0 0 0.0214646464646465 0.204545454545455 0.0277777777777778 0.244949494949495
