"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_hg_Proportion" "Transition_io_Proportion" "Transition_gj_Proportion" "Transition_ci_Proportion" "Transition_ij_Proportion" "Transition_eg_Proportion" "Transition_gi_Proportion" "Transition_ic_Proportion" "Transition_cg_Proportion" "Transition_co_Proportion" "Transition_gg_Proportion" "Transition_se_Proportion" "Transition_jj_Proportion" "Transition_sh_Proportion" "Transition_cc_Proportion" "Transition_ie_Proportion" "Transition_so_Proportion" "Transition_ii_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_sc_Proportion" "Transition_ji_Proportion" "Transition_sj_Proportion" "Transition_es_Proportion" "Transition_jg_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_gs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_sjs_Proportion" "Transition_ssi_Proportion" "Transition_jgs_Proportion" "Transition_jjs_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_scs_Proportion" "Transition_ses_Proportion" "Transition_shs_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_scc_Proportion" "Transition_gsg_Proportion" "Transition_jsc_Proportion" "Transition_isi_Proportion" "Transition_sii_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_gss_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_css_Proportion" "Transition_sss_Proportion"
1 212.083333333333 178.583333333333 17.9166666666667 13.4166666666667 0.75 1.33333333333333 0.0833333333333333 0.312608650190315 0.0577459942882457 0.111282981967407 0.0369690535041541 0.0101863632514946 0.160123940889898 0.0551595902321836 0.255923425676301 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.00238095238095238 0.00238095238095238 0.00238791423001949 0.00318156502367029 0.00490196078431373 0.00520833333333333 0.00592592592592593 0.00757575757575758 0.0180273247129527 0.0435880504652419 0.0479756171612451 0.0879259413294392 0.109065987239082 0.143684840594134 0.513011099085202 0 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0.00297619047619048 0.00297619047619048 0.00520833333333333 0.00520833333333333 0.00994152046783626 0.0671170317381751 0.0919648297090381 0.09881492083738 0.115756423392273 0.154470365383344 0.442589670376715
2 134.833333333333 116.75 10.8333333333333 6.5 0.333333333333333 0.25 0.166666666666667 0.351644976572715 0.0507222182995594 0.141253875367141 0.0319699526960767 0.0201567397391458 0.140395676497817 0.0550442862723578 0.208812274555188 0 0 0 0 0 0 0 0 0 0 0 0.00111111111111111 0.00595238095238095 0.00863247863247863 0 0 0 0 0.0152547942253825 0.0233333333333333 0.00436912163239279 0.00122549019607843 0.00222222222222222 0.00314363143631436 0 0.0483818735863212 0.027253628724217 0.0542572651324445 0.106578507575638 0.112952672626274 0.177975813442097 0.407355675171314 0 0 0 0 0 0 0 0.00347222222222222 0.00347222222222222 0.00520833333333333 0.00694444444444444 0.0166666666666667 0 0 0 0 0 0.0274305555555556 0.106944444444444 0.120486111111111 0.10625 0.0857638888888889 0.176041666666667 0.257986111111111
3 67.25 55.9166666666667 4.66666666666667 5.25 0.5 0.833333333333333 0.0833333333333333 0.329801981522585 0.0520683130159056 0.117682781560342 0.0386049366340911 0.0170650459704718 0.161531358076936 0.0680011928043739 0.215244390415294 0 0 0 0 0 0 0 0 0 0 0.0101981351981352 0 0 0 0 0 0 0 0.00378787878787879 0.00641025641025641 0.0028735632183908 0 0 0.0224867724867725 0.00793650793650794 0.0554619749662853 0.0236169467787115 0.0670477546174808 0.0716736633699108 0.0807644699695917 0.141561230633239 0.50618084562684 0 0 0 0 0 0 0 0 0 0 0.0381944444444444 0 0 0 0 0 0 0.0168350168350168 0.0394880174291939 0.122245564892624 0.148293332484509 0.169815097756274 0.0988825580737345 0.366245968084203
4 56.4166666666667 46.1666666666667 4.33333333333333 5.16666666666667 0.0833333333333333 0.666666666666667 0 0.387594256319829 0.0474473176750585 0.131389570345191 0.0360788894377292 0.0288917711944589 0.118971010817243 0.0641494479987534 0.185477736211737 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0.00723253519863689 0 0.0036231884057971 0.0036231884057971 0 0.0413898953301127 0 0.0112794612794613 0.0319195448271535 0.0996524122422243 0.0693090855213184 0.0774633773252049 0.172976035178964 0.473955518709572 0 0 0 0 0 0 0.0104166666666667 0 0 0 0.0259446169772257 0 0 0 0 0 0 0 0.0639880952380952 0.0164437012263099 0.231026370972023 0.125109491957318 0.200738573021182 0.32633248394118
5 48.0833333333333 39.5833333333333 4.91666666666667 2.91666666666667 0.416666666666667 0.25 0 0.392871707348276 0.0556874366360418 0.133197951944537 0.0176694248456436 0.0298029324381584 0.0946004830924624 0.0559666560917939 0.220203407603086 0 0 0 0 0 0 0.00119047619047619 0.00238095238095238 0.00833333333333333 0 0.00876623376623377 0 0 0 0 0 0 0 0 0.00876623376623377 0 0 0.00833333333333333 0.0196759259259259 0 0.0339285714285714 0.0295995670995671 0.0869047619047619 0.0985119047619048 0.070472582972583 0.141170634920635 0.481965488215488 0 0 0 0 0.0138888888888889 0.0138888888888889 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0.0588888888888889 0.0866666666666667 0.0933333333333333 0.183888888888889 0.187222222222222 0.348333333333333
6 39.25 31.5833333333333 3.08333333333333 3.5 0.416666666666667 0.5 0.0833333333333333 0.401290992597152 0.042606588959246 0.1064338604713 0.0463164299879276 0.0199264557235572 0.0965849907878893 0.0382949340739196 0.165212414065675 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0.00833333333333333 0 0.00934343434343434 0 0 0 0.00833333333333333 0.013047138047138 0.0637214637214637 0.0493894993894994 0.0481509231509232 0.052983127983128 0.119326969326969 0.535704110704111 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.134821428571429 0.0369047619047619 0.104001322751323 0.127149470899471 0.0996031746031746 0.378075396825397
7 22 17.4166666666667 1.83333333333333 2.25 0.333333333333333 0.166666666666667 0 0.353885769249888 0.0494281063600307 0.140676400932909 0.094259494606169 0.0389649427785021 0.0741980313351109 0.0316490759348284 0.216938178802562 0 0 0 0 0.00641025641025641 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0.00694444444444444 0 0 0.0138888888888889 0.00833333333333333 0.0268518518518518 0.0344276094276094 0.00833333333333333 0.0598905723905724 0.0509259259259259 0.193712768712769 0.407705257705258 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0625 0.0583333333333333 0.0277777777777778 0 0.174404761904762 0.13968253968254 0.287301587301587
8 29 22.9166666666667 2.83333333333333 2.58333333333333 0.166666666666667 0.333333333333333 0.166666666666667 0.44940224317695 0.0396467401504216 0.109280236865808 0.0602912998392507 0.019183440702652 0.106875045336811 0.0675211780050452 0.147799815923061 0 0 0.00641025641025641 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0.0208333333333333 0.0043859649122807 0 0 0.00757575757575758 0.0208333333333333 0.0613012718275876 0.0408688533688534 0.0255499860763019 0.063964179095758 0.0866977807767281 0.140042340700235 0.493759164811796 0 0 0.0972222222222222 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0.0305555555555556 0.0543650793650794 0.0472222222222222 0.0548611111111111 0.142460317460317 0.132837301587302 0.340476190476191
9 23.25 18.6666666666667 2.16666666666667 2.08333333333333 0.25 0.0833333333333333 0 0.48598317969663 0.0552718602060707 0.0822230969160794 0.0446052140679334 0.0308065391398725 0.122041288525207 0.0456741479767796 0.133394673471428 0 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0333333333333333 0.00757575757575758 0.0168350168350168 0.0692409442409442 0.0660714285714286 0.0559752747252747 0.146261146261146 0.0609055296555297 0.531896806896807 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0.0583333333333333 0.248611111111111 0.166666666666667 0.0541666666666667 0.104166666666667 0.270833333333333
10 40.4166666666667 35 3.16666666666667 1.66666666666667 0.333333333333333 0.25 0 0.52753456669836 0.0374375875788711 0.120322974053817 0.0574185706082258 0.0487125206449919 0.0778049236104792 0.0293223683453569 0.101446488459898 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0.0036231884057971 0.0036231884057971 0.0230769230769231 0.0555555555555556 0 0 0.0272486772486772 0.0166666666666667 0.0036231884057971 0.0131987577639752 0.0685270345596432 0.12704008954009 0.0668111075719771 0.0371498469324556 0.453855775866645 0 0.0138888888888889 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0.0138888888888889 0.0648148148148148 0.0888888888888889 0.0462962962962963 0.206481481481481 0.260185185185185
11 21.9166666666667 17.25 2.16666666666667 2 0.333333333333333 0.0833333333333333 0.0833333333333333 0.484406693092849 0.0280945905945906 0.129123780938297 0.0751815388912163 0.0287236160892075 0.0979256580735075 0.0350658600658601 0.121478262254472 0.00641025641025641 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0.0138888888888889 0.00694444444444444 0.00694444444444444 0 0.037037037037037 0 0 0.0443121693121693 0.0257936507936508 0.10515873015873 0.0724206349206349 0.0452898550724638 0.455244332961724 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0.118055555555556 0.0416666666666667 0.0578703703703704 0.0625 0.386574074074074
