"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_jj_Proportion" "Transition_io_Proportion" "Transition_jc_Proportion" "Transition_og_Proportion" "Transition_gc_Proportion" "Transition_eo_Proportion" "Transition_cc_Proportion" "Transition_gj_Proportion" "Transition_ge_Proportion" "Transition_sh_Proportion" "Transition_hi_Proportion" "Transition_ji_Proportion" "Transition_go_Proportion" "Transition_gh_Proportion" "Transition_ie_Proportion" "Transition_ci_Proportion" "Transition_cg_Proportion" "Transition_ee_Proportion" "Transition_se_Proportion" "Transition_so_Proportion" "Transition_sj_Proportion" "Transition_eg_Proportion" "Transition_gi_Proportion" "Transition_hg_Proportion" "Transition_sc_Proportion" "Transition_si_Proportion" "Transition_ei_Proportion" "Transition_ig_Proportion" "Transition_ii_Proportion" "Transition_jg_Proportion" "Transition_jo_Proportion" "Transition_jh_Proportion" "Transition_gg_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ges_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_gge_Proportion" "Transition_sii_Proportion" "Transition_cgs_Proportion" "Transition_jis_Proportion" "Transition_ios_Proportion" "Transition_sse_Proportion" "Transition_shg_Proportion" "Transition_ssi_Proportion" "Transition_jcs_Proportion" "Transition_ogs_Proportion" "Transition_egs_Proportion" "Transition_eos_Proportion" "Transition_ccc_Proportion" "Transition_ssc_Proportion" "Transition_scc_Proportion" "Transition_gis_Proportion" "Transition_isg_Proportion" "Transition_sig_Proportion" "Transition_esi_Proportion" "Transition_ies_Proportion" "Transition_sie_Proportion" "Transition_shs_Proportion" "Transition_cis_Proportion" "Transition_iig_Proportion" "Transition_sgi_Proportion" "Transition_gii_Proportion" "Transition_gei_Proportion" "Transition_eii_Proportion" "Transition_iii_Proportion" "Transition_igs_Proportion" "Transition_ssg_Proportion" "Transition_gsi_Proportion" "Transition_sis_Proportion" "Transition_sjs_Proportion" "Transition_ees_Proportion" "Transition_ise_Proportion" "Transition_see_Proportion" "Transition_iee_Proportion" "Transition_ghs_Proportion" "Transition_ggg_Proportion" "Transition_jgs_Proportion" "Transition_sgg_Proportion" "Transition_ses_Proportion" "Transition_gsg_Proportion" "Transition_sso_Proportion" "Transition_sos_Proportion" "Transition_jsc_Proportion" "Transition_jsi_Proportion" "Transition_scs_Proportion" "Transition_hgs_Proportion" "Transition_jhs_Proportion" "Transition_hss_Proportion" "Transition_sgs_Proportion" "Transition_jos_Proportion" "Transition_iis_Proportion" "Transition_ess_Proportion" "Transition_ggs_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 50.75 34.5833333333333 8.08333333333333 5.33333333333333 1.08333333333333 1 0.583333333333333 0.422881642860244 0.0212944169123375 0.02704355053406 0.0131735953061911 0.0228821431865952 0.236321081222346 0.0223230200310407 0.150747216613852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000718390804597701 0.00104166666666667 0.0014367816091954 0.0028735632183908 0.00357165167416292 0.00594362745098039 0.00646551724137931 0.00809879986477349 0.0111303723138431 0.011175907144467 0.0359161411941088 0.102700426747411 0.217540647568373 0.424719839834984 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0.00157232704402516 0.00177304964539007 0.00539623805118717 0.015461215932914 0.0232913180873665 0.0316271054428421 0.0464951199519559 0.196264434411547 0.426546864388747
2 58.0909090909091 35 7.63636363636364 10.5454545454545 1.63636363636364 2.72727272727273 0.454545454545455 0.592404295838105 0.0154405902194843 0.0311375705804422 0.0106092440782466 0.0133846569731553 0.158620950904505 0.0167664859112466 0.0707271145857241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000757575757575758 0.000793650793650794 0.00106837606837607 0.00106837606837607 0.00158730158730159 0.00158730158730159 0.00228174603174603 0.00252525252525253 0.00252525252525253 0 0 0 0.00106837606837607 0.00359362859362859 0.00993582035248702 0.0107455044955045 0.0064635981302648 0.0150626379793046 0.0119489022997795 0.0122424643257977 0.0403200154296645 0.094554840059226 0.613202712654467 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00208333333333333 0.00365566037735849 0.00603661275831087 0 0 0.0112314179531161 0.00763888888888889 0.0190537449971412 0.0242203783870451 0.0161295494628828 0.0464410502146351 0.0889935027120562 0.601559886072465
3 53.9090909090909 34.5454545454545 7 8.09090909090909 1.72727272727273 1.81818181818182 0.636363636363636 0.494757878468489 0.0654632529315892 0.0240773109157658 0.0242939519254517 0.045020113012902 0.173548663575729 0.0273550941937382 0.0545746440672444 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0.00181159420289855 0.00181159420289855 0.00320512820512821 0.00347222222222222 0.00543478260869565 0.00682831661092531 0.004117742987606 0 0 0.00238095238095238 0 0 0 0 0 0 0.00181159420289855 0 0 0.00460358056265985 0.0123186320388787 0.0106821078639913 0.0122309788517353 0.0180809536429691 0.0122540226136117 0.0115920805510268 0.0274419648561549 0.0957770059628686 0.513003192920463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00595238095238095 0.0082046332046332 0 0 0 0 0 0.0249324751696668 0 0 0 0.012966476913346 0 0.0176110984934514 0.020383275261324 0.0211283812695879 0.0236740499898395 0.0920100010356001 0.496255507280063
4 62.7272727272727 41.2727272727273 7.90909090909091 9.27272727272727 1.63636363636364 2 0.636363636363636 0.654973440805037 0.0168048183560823 0.014278400192676 0.047740355212837 0.0224085733584214 0.176825194022537 0.00671926828582673 0.0602499497665828 0 0 0 0 0 0 0 0 0 0 0 0.000771604938271605 0 0 0 0 0 0 0 0.000661375661375661 0.00753798670465337 0.000771604938271605 0.00213675213675214 0 0 0.00220458553791887 0 0 0 0.000771604938271605 0 0 0.00213675213675214 0.00705467372134039 0.00617283950617284 0.00352733686067019 0.00485008818342152 0.000661375661375661 0.0094686022557171 0.0413650697264143 0.0989617170944541 0.560946029998167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0.0016025641025641 0.00274411661397963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0.0016025641025641 0 0 0.0016025641025641 0 0.00114155251141553 0.00731032665964173 0.0192626532523793 0.0365030232324753 0.116507675713696 0.557109184975083
5 59.0909090909091 37.2727272727273 8 9.27272727272727 1.36363636363636 2.09090909090909 1 0.582605197433106 0.0265210780042965 0.0339538813842348 0.0110251625311021 0.0151278088352828 0.160534481661512 0.0147161392842799 0.0646071599570952 0 0 0 0 0 0 0 0 0.000645994832041344 0.000645994832041344 0.000730994152046784 0 0 0 0 0 0 0 0 0.00154320987654321 0 0 0.00137698898408813 0 0.000730994152046784 0.00219298245614035 0.000645994832041344 0.000645994832041344 0.00193798449612403 0 0 0 0.00146198830409357 0.00836582196231319 0.0132314490779848 0.00359607837423015 0.0137877578828921 0.0157772904483431 0.0101655725746603 0.0300926647452245 0.0964767559112416 0.629280820607195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00173611111111111 0 0.0016025641025641 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0 0 0 0 0 0 0 0.00275997150997151 0.00173611111111111 0 0 0.0016025641025641 0 0.0283882783882784 0.0186965811965812 0.0100986975986976 0.0259416509416509 0.10391576016576 0.627595783845784
6 68.4545454545455 43 9.45454545454546 11.2727272727273 1.27272727272727 2.81818181818182 0.545454545454545 0.562603272091374 0.0157907574878422 0.0249866488173174 0.0372903368527516 0.0217637535156209 0.179461683400108 0.00879350789183126 0.0584009490340637 0 0 0 0 0 0 0 0.00163398692810458 0 0 0 0 0 0 0 0.000559284116331096 0 0 0.00245098039215686 0.00264261744966443 0.000595238095238095 0 0 0.00163398692810458 0.00208333333333333 0.00320190156599553 0 0 0 0.000559284116331096 0 0 0.00436597716009481 0.0118346917152681 0.00850746338803978 0.00290428251837648 0.00635478352414791 0.0310690521260991 0.0249796533438707 0.039894249839843 0.0940876353481219 0.593974931444212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109649122807018 0 0 0 0 0 0 0 0.00308641975308642 0 0.00526315789473684 0 0 0 0 0 0 0 0.00109649122807018 0.00308641975308642 0.00555555555555556 0.00308641975308642 0 0 0 0 0 0 0 0.00344390906844576 0.00617283950617284 0 0 0.00672926447574335 0 0.0427631578947368 0.00884502923976608 0.0325403154350523 0.0545873314938363 0.0665067116474023 0.589473819406486
7 54.5454545454545 33.7272727272727 7.81818181818182 9.09090909090909 1.09090909090909 2 0.818181818181818 0.686764870292345 0.0274628572142617 0.0204126253127764 0.0291812290355008 0.018591393265785 0.15624030835192 0.0166198083969462 0.0447269081304647 0 0 0 0 0 0 0 0 0 0.00628255924866094 0 0 0 0 0.00297619047619048 0 0 0 0 0.00189393939393939 0.0138888888888889 0 0 0 0.00607841232841233 0.00628255924866094 0 0.00134408602150538 0 0 0 0 0.00728914447134786 0.0210460961896172 0.00717402889013058 0.0115769213978618 0.00395027612769548 0.0207033236694254 0.0149230003487795 0.0384220274187469 0.0737152151859642 0.595786664027506 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.0043859649122807 0.0043859649122807 0.0136697845409279 0 0 0 0 0 0 0 0.00277777777777778 0.00373619233268356 0 0 0 0 0 0 0 0 0.00219298245614035 0 0.00219298245614035 0 0 0 0 0 0 0 0 0 0.0163517768780927 0.00308641975308642 0 0 0.0454028589993502 0.00219298245614035 0.0215924426450742 0.00716374269005848 0.0194381966311791 0.0171360713405481 0.0688791681532153 0.596555041942217
8 56.9090909090909 38.1818181818182 7.18181818181818 6.54545454545455 1.45454545454545 2.18181818181818 1.27272727272727 0.56144776463824 0.0316515792468606 0.0420411529826324 0.0176944839646801 0.0208013144248813 0.164467686463453 0.00521335002705109 0.06577357734311 0 0 0 0 0 0 0 0 0 0.00177304964539007 0 0 0 0 0 0 0 0 0.00166666666666667 0.000957854406130268 0 0 0 0 0.000957854406130268 0.00269940787182166 0 0.00292929292929293 0 0 0 0 0.00383141762452107 0.00744514106583072 0.0300722775566869 0.00651878283939913 0.0105218855218855 0.0152435686918446 0.0139187440911579 0.039775387244206 0.063748564144749 0.631273438627621 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0.0028735632183908 0 0 0 0.00297619047619048 0 0 0 0 0 0 0 0.0028735632183908 0.0037037037037037 0 0.00268817204301075 0 0 0 0 0 0 0.00185185185185185 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0.00185185185185185 0.00750319284802043 0 0 0.00472541507024266 0 0.0185185185185185 0.0166666666666667 0.019165325199808 0.0497087718722869 0.0503756080090896 0.640443531377903
9 55 35.7272727272727 6.90909090909091 7.81818181818182 1.90909090909091 1.72727272727273 0.909090909090909 0.561673469951829 0.0207556564898331 0.0147909666043456 0.0513556526295589 0.0559311293087262 0.207327739932443 0.00995754670558444 0.0782078383776797 0 0 0 0 0 0 0.00205761316872428 0 0 0.0036231884057971 0 0 0 0 0 0 0 0 0.0028735632183908 0.00271512113617377 0 0 0.00301293356848912 0 0.0102880658436214 0.00524037366142629 0 0 0 0.00586041334396598 0 0 0.00845539423755798 0.0131317878028404 0.0172280435219826 0.0301033533557896 0.0225310312115868 0.087808255205916 0.0230524227234754 0.0450858327023041 0.0990075924310424 0.534591681127583 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0.0016025641025641 0.0016025641025641 0.0059885290148448 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0.0016025641025641 0 0.0043859649122807 0 0 0 0 0 0 0.0016025641025641 0 0.0016025641025641 0 0.00570871623503202 0 0.00132275132275132 0 0 0 0 0 0.0425622171945701 0.0110505965769124 0 0 0.0236167341430499 0.00132275132275132 0.00264550264550265 0.0465868196131354 0.0507478632478633 0.0263056302142989 0.115513771860521 0.475543433747768
10 64.8181818181818 41 8.72727272727273 9.36363636363636 2.90909090909091 2.09090909090909 0.727272727272727 0.63346870603613 0.0134958192991451 0.0189514942882965 0.0225182856680239 0.032385969846953 0.197034576726681 0.00668958232053339 0.0754555658142371 0 0 0.000599520383693046 0.000825082508250825 0.00308641975308642 0.0104166666666667 0 0 0 0.000825082508250825 0 0 0 0 0 0 0 0 0.00380464858882125 0.00148809523809524 0.00308641975308642 0.00142460289194387 0.00165016501650165 0 0 0.00529274382691649 0 0 0.00148809523809524 0.000599520383693046 0 0 0.00247524752475248 0.00998086976655607 0.0157762800089533 0.00208761562178828 0.00965973253143517 0.0185989752821436 0.0132993105849969 0.166292376716612 0.114547430467961 0.529361765404367 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0.00146198830409357 0.00146198830409357 0.0208333333333333 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00847953216374269 0 0.00918803418803419 0 0 0 0 0 0 0 0 0.00292397660818713 0.00120772946859903 0 0 0 0 0 0 0 0 0 0.010038601114116 0 0 0 0 0.0369274286608383 0.0115942028985507 0.0139108920573451 0.133722856091277 0.0915158893991846 0.487397162969245
