"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oc_Proportion" "Transition_ci_Proportion" "Transition_ge_Proportion" "Transition_cc_Proportion" "Transition_hg_Proportion" "Transition_jg_Proportion" "Transition_ig_Proportion" "Transition_ji_Proportion" "Transition_gj_Proportion" "Transition_ii_Proportion" "Transition_se_Proportion" "Transition_jh_Proportion" "Transition_cg_Proportion" "Transition_sj_Proportion" "Transition_eg_Proportion" "Transition_gi_Proportion" "Transition_es_Proportion" "Transition_oi_Proportion" "Transition_so_Proportion" "Transition_si_Proportion" "Transition_jo_Proportion" "Transition_je_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_jj_Proportion" "Transition_sc_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jsg_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_csc_Proportion" "Transition_isc_Proportion" "Transition_jis_Proportion" "Transition_jgs_Proportion" "Transition_gsi_Proportion" "Transition_isi_Proportion" "Transition_sis_Proportion" "Transition_iis_Proportion" "Transition_ggi_Proportion" "Transition_seg_Proportion" "Transition_egs_Proportion" "Transition_ess_Proportion" "Transition_ssg_Proportion" "Transition_isg_Proportion" "Transition_gis_Proportion" "Transition_sgs_Proportion" "Transition_sos_Proportion" "Transition_scs_Proportion" "Transition_ggs_Proportion" "Transition_jss_Proportion" "Transition_hss_Proportion" "Transition_sgg_Proportion" "Transition_osg_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 127.454545454545 112.545454545455 9.72727272727273 4.09090909090909 0.727272727272727 0.0909090909090909 0.181818181818182 0.320651358056197 0.0632838640489345 0.0472688835025389 0.0338407091344437 0.00705325264489165 0.266317496639313 0.0215892013939278 0.149086143670662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00202020202020202 0.00202020202020202 0.00252525252525253 0.0034965034965035 0.00478468899521531 0.00526695526695527 0.00930735930735931 0.00956937799043062 0.0103013945119208 0.0226162726162726 0.0227540658575141 0.0445053333438088 0.0526534868640132 0.105731453462851 0.133817160858903 0.477721199953505 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0101010101010101 0.0101010101010101 0.0101010101010101 0.0101010101010101 0.0161616161616162 0.0181818181818182 0.0181818181818182 0.0264462809917355 0.0446969696969697 0.0670339761248852 0.131818181818182 0.546166207529844
2 94.4545454545455 81.5454545454545 8.09090909090909 3.27272727272727 1 0.363636363636364 0.0909090909090909 0.39054543307052 0.0513314956129814 0.0668634727895629 0.0594775432938914 0.0295864712994494 0.206713661017301 0.0269411131225884 0.0776317188846143 0 0 0 0 0 0 0 0 0 0 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00216450216450216 0.0140692640692641 0 0 0 0 0 0.00108225108225108 0.00677588555528085 0 0 0.0145819093187514 0.0252904989747095 0.0399245211675223 0.0404420141262246 0.071136496948367 0.0918390431268371 0.414555085327762 0 0 0 0 0 0 0 0 0 0 0 0.00324675324675325 0.00324675324675325 0.00324675324675325 0.00324675324675325 0.00454545454545455 0.00649350649350649 0.00649350649350649 0.00779220779220779 0 0 0 0.0303030303030303 0.0053475935828877 0 0.00324675324675325 0.0131398013750955 0.101604278074866 0.0847211611917494 0.0388973771326712 0.320791953144894
3 50.6363636363636 43.6363636363636 4.72727272727273 1.72727272727273 0.272727272727273 0.0909090909090909 0.0909090909090909 0.450800685624864 0.0324968233684323 0.0542050643420506 0.0571344997110509 0.0190478990821457 0.1958178695813 0.0165773027074397 0.0830107646736262 0 0 0 0 0 0 0.00206611570247934 0.00206611570247934 0.0303030303030303 0.0303030303030303 0 0 0 0 0.00206611570247934 0 0 0 0 0.0144628099173554 0 0 0.00413223140495868 0.00699300699300699 0 0 0.0144628099173554 0.0103305785123967 0.0227272727272727 0.0206611570247934 0.0633608815426997 0.0878893833439288 0.597266369993643 0 0 0 0 0 0 0 0.0101010101010101 0.0101010101010101 0.0101010101010101 0.0909090909090909 0 0 0 0 0 0 0 0 0 0 0.0202020202020202 0.0181818181818182 0.0181818181818182 0 0 0.0363636363636364 0 0.0888888888888889 0 0.606060606060606
4 24 20 2.09090909090909 1.36363636363636 0.181818181818182 0.181818181818182 0 0.340542056261027 0.0474296402828043 0.0491088094252087 0.0293780046453843 0.0171028466483012 0.188935671851951 0.0337888690829867 0.111895919984155 0 0 0 0 0.0454545454545455 0.0494071146245059 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0053475935828877 0 0 0.0303232863393291 0 0.0165289256198347 0.0122170319798778 0.0526938766882966 0.214157384117858 0.301142968865592 0 0 0 0 0 0 0.00909090909090909 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0568181818181818 0 0 0 0 0.0545454545454545 0.00909090909090909 0.0431818181818182 0.281818181818182
5 23.7272727272727 18.1818181818182 3 1.90909090909091 0.272727272727273 0.272727272727273 0 0.495300398358954 0.0245321807821808 0.0430217733763972 0.0164267676767677 0.00536616161616162 0.200052469703553 0.0184286833855799 0.105962474191314 0 0 0 0.00432900432900433 0 0 0 0.00432900432900433 0 0.00432900432900433 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0.00826446280991736 0.00826446280991736 0.0151515151515152 0.00432900432900433 0.0125934671389217 0 0.0931523022432113 0.166023875114784 0.580749048930867 0 0 0 0 0 0.0227272727272727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0454545454545455 0 0 0 0.0454545454545455 0 0.149350649350649 0.0357142857142857 0.61038961038961
6 19.1 14.4 1.5 2.3 0.3 0.5 0.1 0.630824371291477 0.021739417989418 0.0166269841269841 0.0553172514619883 0.0108333333333333 0.15872610211426 0.00666666666666667 0.099265873015873 0 0 0 0 0 0 0.0034965034965035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0034965034965035 0 0.0151515151515152 0.0606060606060606 0 0.0221445221445221 0 0.0686868686868687 0.0553335553335553 0.589266289266289 0 0 0 0 0.0454545454545455 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0909090909090909 0 0 0 0.0524475524475524 0 0.0458041958041958 0.00909090909090909 0.574475524475524
7 27.5 22.6 3.3 1.2 0.3 0 0.1 0.532710664763659 0.0417101057695476 0.0327264215185563 0.0474530361126382 0.0173799795709908 0.204929174810234 0.0357059540676793 0.087384663386695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00505050505050505 0 0 0 0 0 0 0.0101010101010101 0 0 0.012987012987013 0.0178571428571429 0.0524531024531024 0.0461760461760462 0.0593434343434343 0.12027417027417 0.403030303030303 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0909090909090909 0.0606060606060606 0.0833333333333333 0 0.492424242424242
8 25.7 22.1 1.7 1.3 0.1 0.2 0.2 0.398853705990491 0.026493366960732 0.0304215442092154 0.0316497657593548 0.00562610797743755 0.211917516653818 0.0537806637806638 0.141257328668288 0 0 0.00606060606060606 0 0 0 0 0 0 0 0 0 0 0.00909090909090909 0 0 0.00909090909090909 0 0 0.0227272727272727 0 0 0 0.0287878787878788 0.00909090909090909 0.00909090909090909 0.012987012987013 0 0.0281385281385281 0.122077922077922 0.0227272727272727 0.116666666666667 0.421645021645022 0 0.012987012987013 0.012987012987013 0.0227272727272727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0227272727272727 0 0.0454545454545455 0 0 0 0.0227272727272727 0.0227272727272727 0.136363636363636 0.0311688311688312 0.397402597402597
9 18.1 15 1.4 1.3 0.2 0.1 0.1 0.632243946036274 0.0269796959962719 0.0205692084959774 0.0294647144139969 0.00627450980392157 0.192588766365857 0.016985540711419 0.0748936181762826 0 0 0 0 0 0.012987012987013 0 0 0 0 0 0 0 0 0 0 0.0409090909090909 0 0 0 0 0 0 0 0 0 0.0101010101010101 0 0.0321789321789322 0.0101010101010101 0.0561688311688312 0.0685064935064935 0.496320346320346 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0227272727272727 0 0 0 0.0227272727272727 0.0227272727272727 0.0409090909090909 0 0.618181818181818
10 29.1 22.9 3.6 1.7 0.7 0.2 0 0.411646367397964 0.0861746464351506 0.0137163081448796 0.0513800943800944 0.0422347913524384 0.216901663429058 0.0159741496598639 0.161971979200551 0 0.0303030303030303 0 0 0 0 0.00162337662337662 0.00162337662337662 0 0 0 0 0 0 0 0 0.0303030303030303 0 0.00162337662337662 0.00162337662337662 0 0 0 0.00667388167388167 0 0 0.0992063492063492 0 0.0297258297258297 0.00667388167388167 0.0600649350649351 0.0477633477633478 0.500974025974026 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00432900432900433 0 0 0.0194805194805195 0 0 0 0.00432900432900433 0.0151515151515152 0.025974025974026 0.012987012987013 0.463203463203463
