"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_hg_Proportion" "Transition_ce_Proportion" "Transition_cg_Proportion" "Transition_jj_Proportion" "Transition_gj_Proportion" "Transition_gi_Proportion" "Transition_og_Proportion" "Transition_ei_Proportion" "Transition_oi_Proportion" "Transition_ig_Proportion" "Transition_se_Proportion" "Transition_gg_Proportion" "Transition_ji_Proportion" "Transition_sc_Proportion" "Transition_eg_Proportion" "Transition_hs_Proportion" "Transition_si_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_js_Proportion" "Transition_so_Proportion" "Transition_os_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_sj_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_hgs_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_scs_Proportion" "Transition_ggg_Proportion" "Transition_osg_Proportion" "Transition_igs_Proportion" "Transition_ois_Proportion" "Transition_gsg_Proportion" "Transition_ggs_Proportion" "Transition_sgg_Proportion" "Transition_ses_Proportion" "Transition_ssg_Proportion" "Transition_sis_Proportion" "Transition_isc_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_egs_Proportion" "Transition_jss_Proportion" "Transition_oss_Proportion" "Transition_iss_Proportion" "Transition_sjs_Proportion" "Transition_sos_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 95.0833333333333 86.4166666666667 3.83333333333333 4.08333333333333 0.25 0.333333333333333 0.166666666666667 0.887779937436644 0.0290148210990222 0.00463478086852111 0.00969681809085451 0.00886412649492516 0.0496035406554334 0.0018756371049949 0.00853033824960429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0.00260416666666667 0.00297619047619048 0.00297619047619048 0.00416666666666667 0.00520833333333333 0.00558035714285714 0.0474734177859178 0.843829492266992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0.00757575757575758 0.00757575757575758 0.0104166666666667 0.0197811447811448 0.69944234006734
2 81.9166666666667 66.9166666666667 6.66666666666667 6.25 1.25 0.5 0.333333333333333 0.763387032149395 0.0347393852619979 0.0190592329106417 0.0062674915247551 0.0253408595645584 0.116953660717638 0.00467947431570911 0.0295728635553053 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0.00138888888888889 0.00641025641025641 0.00641286220554513 0.00778985507246377 0.0113304093567251 0.0269369287822433 0.00833333333333333 0.0052257525083612 0.00759109311740891 0.00277777777777778 0.0277951969528057 0.00277777777777778 0.0902262864876932 0.710281359106497 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0.0043859649122807 0.0043859649122807 0.00855263157894737 0.0087719298245614 0.0119047619047619 0.0175438596491228 0.0183150183150183 0.0280484866011182 0.0043859649122807 0 0.0315806878306878 0 0.0819602424865583 0.692862899770795
3 61.9166666666667 45.4166666666667 5.66666666666667 7.58333333333333 1.66666666666667 1.25 0.333333333333333 0.684790538992346 0.0292168897990144 0.0692817616174332 0.0197248686706078 0.033764706332408 0.0977249683665365 0.0134301075231138 0.0520661586985407 0 0 0 0 0 0 0 0.00154320987654321 0.00208333333333333 0.00219298245614035 0.00777637662883565 0.0121929824561404 0 0.00136612021857923 0 0.00822931646055028 0.00641025641025641 0.0156440165359492 0.0447929844791363 0.0292549752932267 0 0.0154160557816727 0.0207203824826776 0.014203042068659 0 0.0806456732999011 0.570861625551732 0 0 0 0 0 0.00378787878787879 0.00378787878787879 0.00378787878787879 0.00833333333333333 0.00833333333333333 0.00833333333333333 0.0277777777777778 0 0 0 0.0153554043377424 0.0311687098062203 0 0.095095785440613 0.0142495178870284 0.0420149773598049 0 0 0.00757575757575758 0.0175095785440613 0.0508881922675026 0.495333995973189
4 98.5833333333333 89.0833333333333 4.33333333333333 4.5 0.166666666666667 0.416666666666667 0.0833333333333333 0.873839849039031 0.0391849054335133 0.00632035462125514 0.0150014949438842 0.00434618291761149 0.0473193261563459 0.00453323866022279 0.00945464822813662 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0.00902777777777778 0.0116402116402116 0 0.0104166666666667 0.00185185185185185 0.00694444444444444 0.00185185185185185 0.0233796296296296 0.764517195767196 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0 0.0243055555555556 0.0208333333333333 0.00520833333333333 0 0 0 0.00520833333333333 0.0329861111111111 0.739583333333333
5 112.25 101.166666666667 5.25 4.5 1 0.25 0 0.78842329351938 0.0299278002377045 0.0160453822957652 0.00853480791273283 0.0075459226649791 0.0461249247868738 0.00269219700232554 0.0173723382469059 0 0 0 0 0 0.0043859649122807 0.0043859649122807 0 0 0 0 0.00985191473306923 0 0.00277777777777778 0 0 0 0.0054673721340388 0.00238095238095238 0 0 0.00676691729323308 0.0109318996415771 0.0197934352009055 0.00308641975308642 0.0422491471303016 0.804588900797163 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.01875 0 0.01875 0 0 0 0.00520833333333333 0 0 0.015625 0 0 0 0 0.00833333333333333 0.0260416666666667 0.818005952380952
6 100.916666666667 91.5 4.16666666666667 4.16666666666667 0.583333333333333 0.5 0 0.813741909910826 0.0244504281265893 0.00955016167223391 0.00740845483492542 0.0324122931055013 0.0634977069032908 0.022233572916346 0.026705472530287 0 0 0 0 0.0043859649122807 0 0 0 0 0 0.00163398692810458 0 0 0.00260416666666667 0.00925925925925926 0 0 0.0125272331154684 0.00925925925925926 0.0108932461873638 0 0 0 0.00163398692810458 0.0833333333333333 0.0506915640187699 0.730444666058056 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0284090909090909 0 0.0416666666666667 0 0.0277777777777778 0 0 0 0 0.00757575757575758 0.72790404040404
7 92 83.0833333333333 3.66666666666667 4.25 0.25 0.333333333333333 0.333333333333333 0.773471821893855 0.0213786865663129 0.00276047883359566 0.0210759652910105 0.0226377150606791 0.0497984958038545 0.00161728912646007 0.0239262140908989 0 0 0 0 0 0.00297619047619048 0 0 0 0 0 0 0 0 0 0.00238095238095238 0.012797619047619 0.0036231884057971 0.00869047619047619 0 0 0.00333333333333333 0 0.00476190476190476 0.00925925925925926 0.0397716816195077 0.745738727858293 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0.0280982905982906 0.798824786324786
8 105.166666666667 97.1666666666667 4 3.25 0.416666666666667 0.25 0.0833333333333333 0.890194070380203 0.0226576206193458 0.0110852496187607 0.00324698809891548 0.00813094636058272 0.0447998002846181 0.00361456524974213 0.016270759387832 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0.00757575757575758 0.00757575757575758 0 0.00757575757575758 0 0.0104166666666667 0.0162655971479501 0.00775613275613276 0 0.00416666666666667 0 0.0113636363636364 0 0.0123857623857624 0.740675841043488 0 0 0 0 0.00925925925925926 0 0 0 0 0 0.00925925925925926 0 0.00925925925925926 0 0 0 0.0277777777777778 0 0.00925925925925926 0 0.0277777777777778 0 0 0 0 0.0111111111111111 0.646296296296296
9 90.1666666666667 81 3.91666666666667 4 0.5 0.5 0.166666666666667 0.77593420828509 0.0229341348407551 0.0085654575754601 0.00922985990579168 0.0102830094025914 0.0722062566743053 0.00582697097682478 0.011686769005848 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0.00490196078431373 0 0.028125 0.00173611111111111 0.00663807189542484 0.0209280303030303 0.0104575163398693 0 0.00505050505050505 0.00396825396825397 0.00729166666666667 0 0.0320722101972102 0.792025118128059 0 0 0 0.00833333333333333 0 0 0 0 0.0036231884057971 0 0.0036231884057971 0 0 0 0 0.0036231884057971 0.0119565217391304 0 0 0.0104166666666667 0.0166666666666667 0 0 0.0166666666666667 0 0.0072463768115942 0.834510869565217
10 78.5833333333333 69.75 3.75 3.41666666666667 1.08333333333333 0.416666666666667 0.0833333333333333 0.840494583854677 0.0165727128889786 0.00555203734062265 0.00602079069445424 0.00620519665417665 0.028744232452116 0.00321543219243424 0.00986168058920731 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0.00570436507936508 0.0179239163614164 0 0 0.00928381962864721 0 0.0132902298850575 0.00570436507936508 0.039378078817734 0.738576336259526 0 0.0036231884057971 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0.0036231884057971 0 0 0.0124777183600713 0.0179924242424242 0 0 0.0036231884057971 0 0.0396845694799659 0.745062679221886
