"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_cc_Proportion" "Transition_gj_Proportion" "Transition_oj_Proportion" "Transition_gh_Proportion" "Transition_oc_Proportion" "Transition_si_Proportion" "Transition_sc_Proportion" "Transition_ji_Proportion" "Transition_sh_Proportion" "Transition_jg_Proportion" "Transition_ej_Proportion" "Transition_so_Proportion" "Transition_jj_Proportion" "Transition_hs_Proportion" "Transition_se_Proportion" "Transition_es_Proportion" "Transition_sj_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_os_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_scc_Proportion" "Transition_csc_Proportion" "Transition_jis_Proportion" "Transition_ess_Proportion" "Transition_sos_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_oss_Proportion" "Transition_gss_Proportion" "Transition_jss_Proportion" "Transition_sss_Proportion"
1 151.416666666667 139.416666666667 5.58333333333333 5.66666666666667 0.25 0.416666666666667 0.0833333333333333 0.704388285180237 0.0663828668434292 0.0353734046450869 0.0200366414314902 0.0162127694234222 0.102156090577175 0.0127546035740813 0.0426953383250782 0 0 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0.00193798449612403 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00387596899224806 0.00387596899224806 0.0128727287642016 0.0249979492227554 0.0327601410934744 0.0386663795578524 0.0805412001148435 0.791390837127271 0 0 0 0 0 0.00378787878787879 0.00378787878787879 0.00378787878787879 0.0209304584304584 0.0230769230769231 0.0402777777777778 0.044949494949495 0.0556526806526806 0.637082362082362
2 44.5833333333333 38.8333333333333 2.83333333333333 2.58333333333333 0.166666666666667 0.166666666666667 0 0.760059639258932 0.0452543301286756 0.0244144170281735 0.00755020757423019 0.00727834536327763 0.108694172671909 0.00814309409091606 0.038605793883886 0 0 0 0 0 0 0 0 0.00333333333333333 0.00757575757575758 0.00833333333333333 0.00925925925925926 0 0.0109090909090909 0 0 0 0.00757575757575758 0.0238720538720539 0 0.00641025641025641 0.047999037999038 0.0364021164021164 0.0611538461538461 0.61050949050949 0 0 0 0 0.0104166666666667 0 0 0 0 0.00925925925925926 0.0856481481481481 0.0347222222222222 0.0138888888888889 0.679398148148148
3 23.1666666666667 20.4166666666667 0.916666666666667 1.41666666666667 0.166666666666667 0.166666666666667 0.0833333333333333 0.526664687203137 0.0495570429026311 0.0342484028637627 0.130668915209731 0.0258974358974359 0.154005304480715 0.00359253290357239 0.0753656785390144 0 0 0 0 0 0 0.00757575757575758 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0.0286324786324786 0.0353535353535354 0.0580808080808081 0.0223193473193473 0.0833333333333333 0.498795648795649 0 0 0 0 0 0 0 0 0.0590277777777778 0.0486111111111111 0.03125 0 0.0972222222222222 0.347222222222222
4 72.0833333333333 65.1666666666667 3.91666666666667 2.75 0.0833333333333333 0.0833333333333333 0 0.840330954695108 0.0247076301059719 0.00646308948457429 0.0093141503025224 0.00341484768121855 0.0218500880795076 0.00414619164619165 0.00643971467157279 0 0 0 0 0.00124378109452736 0.00248756218905473 0 0 0 0 0 0.00248756218905473 0 0 0.00124378109452736 0.00373134328358209 0.017910447761194 0 0.00124378109452736 0.00124378109452736 0.011746821448314 0 0.00248756218905473 0.0675925925925926 0.719914317302377 0 0 0 0.00490196078431373 0 0 0 0 0.00490196078431373 0 0.00490196078431373 0.0208333333333333 0.00490196078431373 0.626225490196078
5 76.75 73.6666666666667 1.41666666666667 1.41666666666667 0.166666666666667 0 0.0833333333333333 0.902195498855363 0.0221098221897455 0.0181079497016198 0.0112900715841892 0.00271303489949439 0.0333782765547351 0.0031257957728546 0.00707955044199796 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.680555555555555 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0.583333333333333
6 74.1666666666667 68.5833333333333 2.66666666666667 2.08333333333333 0.25 0.333333333333333 0.166666666666667 0.851922552561803 0.0182349006385342 0.00594050943073679 0.0115489508543441 0.00221238938053097 0.0226665122326077 0.00256439053608865 0.00157646103202086 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0.00641025641025641 0 0 0 0 0 0 0 0.0833333333333333 0.00694444444444444 0 0.0102777777777778 0.719957264957265 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0.66025641025641
7 90.3333333333333 85.25 1.91666666666667 2.75 0.166666666666667 0.166666666666667 0.0833333333333333 0.83727106319196 0.0172470734049884 0.0117279189583111 0.00913947163947164 0.00286519036519037 0.11445064115968 0.00157828282828283 0.00572035845211571 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0.0173611111111111 0 0.0353009259259259 0.84837962962963 0 0 0.0208333333333333 0 0 0 0 0.00925925925925926 0 0.0416666666666667 0 0.0509259259259259 0 0.710648148148148
8 89.0833333333333 84.1666666666667 2.58333333333333 2.16666666666667 0.0833333333333333 0.0833333333333333 0 0.862391452308584 0.0369127429587852 0.0153860174137079 0.0235142756345391 0.0160121902478018 0.0363767963051876 0.00329901853917935 0.00610750659221466 0 0.00189393939393939 0.00189393939393939 0 0 0 0 0 0 0 0 0.00189393939393939 0.00189393939393939 0 0 0.00757575757575758 0 0 0 0 0.0195707070707071 0.0166666666666667 0.0113636363636364 0.113888888888889 0.823358585858586 0 0 0 0.00641025641025641 0 0 0 0 0 0 0.0192307692307692 0 0.0272435897435897 0.780448717948718
9 41.0833333333333 36.9166666666667 1.25 2.58333333333333 0.0833333333333333 0.0833333333333333 0 0.678041964797371 0.0158449474162448 0.0143568521781496 0.00844539232697127 0.000801282051282051 0.0246095137466006 0.00277777777777778 0.0884556030389364 0 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.00641025641025641 0 0.0166666666666667 0.0541666666666667 0.662179487179487 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0.0952380952380952 0 0.640873015873016
10 96.5 87.4166666666667 3.58333333333333 4.58333333333333 0.416666666666667 0.333333333333333 0.166666666666667 0.91004420458221 0.0168682424452649 0.0129093969976392 0.00772517767541046 0.00522577623596299 0.0276450586124211 0.00161614904646263 0.0179659944046287 0.00694444444444444 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0.00694444444444444 0 0.00641025641025641 0 0 0.00555555555555556 0.00694444444444444 0.0166666666666667 0.0185185185185185 0.0208333333333333 0.0396241830065359 0.864613708731356 0.0138888888888889 0.0138888888888889 0 0.0138888888888889 0 0 0 0.0138888888888889 0 0.0208333333333333 0.0833333333333333 0.0833333333333333 0.0208333333333333 0.652777777777778
