"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_hg_Proportion" "Transition_jg_Proportion" "Transition_cg_Proportion" "Transition_jj_Proportion" "Transition_sj_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_si_Proportion" "Transition_sc_Proportion" "Transition_so_Proportion" "Transition_sh_Proportion" "Transition_ic_Proportion" "Transition_se_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_is_Proportion" "Transition_cs_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jgs_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_shs_Proportion" "Transition_jss_Proportion" "Transition_ics_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_gss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 85.25 76.8333333333333 3.75 3.83333333333333 0.666666666666667 0.0833333333333333 0.0833333333333333 0.826557661974125 0.0348596075511644 0.0154964187395474 0.0202573595643112 0.0108268962973159 0.0561738451656391 0.00696886234956126 0.0288593483583358 0 0 0 0 0 0 0 0 0.00462962962962963 0.00462962962962963 0.00462962962962963 0.00490196078431373 0.00757575757575758 0.0105820105820106 0.0190836940836941 0.0269919078742608 0.0294089352912882 0.0299019607843137 0.0420712729536259 0.815593611181846 0 0 0 0 0 0.00925925925925926 0.0166666666666667 0.0208333333333333 0.0425925925925926 0.0583333333333333 0.0763888888888889 0.775925925925926
2 49 42.75 2.08333333333333 2.91666666666667 0.416666666666667 0.5 0.333333333333333 0.854670518520535 0.024413930976431 0.00455948372615039 0.0081986531986532 0.00378787878787879 0.0838367004078798 0.00168350168350168 0.0188493326989704 0 0 0 0 0 0.00277777777777778 0.0196759259259259 0.0833333333333333 0 0 0 0 0.0028735632183908 0.0028735632183908 0 0.0195402298850575 0.00574712643678161 0.00574712643678161 0.0598138380969005 0.79761751567066 0 0 0 0 0 0 0 0 0.0701166072489602 0.00757575757575758 0.0151515151515152 0.823822786690434
3 20.8333333333333 14.3333333333333 1.66666666666667 3.58333333333333 0.5 0.666666666666667 0.0833333333333333 0.773753523189153 0.00590277777777778 0.00451388888888889 0.0484126984126984 0 0.104884042948413 0.0434027777777778 0.019130291005291 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.0833333333333333 0.0416666666666667 0 0.0754997895622896 0.785611321548822 0 0 0 0 0 0 0 0 0.0607351712614871 0 0.107142857142857 0.748788638262322
4 55 49 1.66666666666667 3.66666666666667 0.166666666666667 0.333333333333333 0.166666666666667 0.928226256591342 0.0203858275221451 0 0.00543478260869565 0.00926648499112267 0.0303354880406073 0 0.00635116024608778 0 0 0 0 0 0 0.0435606060606061 0 0 0 0 0 0 0 0 0 0.0694444444444444 0 0.0104166666666667 0.79324494949495 0 0 0 0 0.0871212121212121 0 0 0 0 0 0.138888888888889 0.690656565656566
5 69.4166666666667 63.3333333333333 2.58333333333333 2.91666666666667 0.25 0.0833333333333333 0.25 0.896210588063269 0.0179158713541689 0.00791207306705183 0.016319043522731 0.00323655103066868 0.0503999855173688 0.00230757303125724 0.00569831441348469 0 0 0.00641025641025641 0.00641025641025641 0.00641025641025641 0 0 0 0 0 0.00320512820512821 0 0 0 0.0107808857808858 0.0128205128205128 0 0 0.0192307692307692 0.934731934731935 0 0 0 0.00694444444444444 0 0 0 0.0333333333333333 0.0166666666666667 0 0 0.859722222222222
6 50.3333333333333 46 1.75 2.08333333333333 0.166666666666667 0.25 0.0833333333333333 0.914312765637155 0.0127097368415818 0.00602924218779703 0.0242375230360479 0.00699273952419438 0.0272236045807887 0 0.00849438819243544 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0.0486111111111111 0.861111111111111 0 0 0 0 0 0 0 0 0.0398148148148148 0 0 0.793518518518519
7 49.9166666666667 45.25 2 2.33333333333333 0.333333333333333 0 0 0.888215101223591 0.0138236125765693 0.00590848931745131 0.0149813679049912 0.00998222783448502 0.0583112713663504 0.00490196078431373 0.00387596899224806 0 0 0 0 0.00925925925925926 0.00925925925925926 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.0277777777777778 0.662037037037037 0 0 0.0833333333333333 0 0 0 0 0 0.0833333333333333 0 0 0.5
8 51.4166666666667 48.25 1.33333333333333 1.58333333333333 0 0.25 0 0.921731953386938 0.00965828233069612 0.0158045977011494 0.00748403575989783 0.0042911877394636 0.0196743559149086 0.0077742946708464 0.0135812924960998 0 0 0 0 0 0.0119047619047619 0.00595238095238095 0 0 0 0 0 0 0 0 0.00595238095238095 0.0208333333333333 0 0.00595238095238095 0.866071428571428 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0.821428571428572
9 53.5 47.1666666666667 2.41666666666667 3.33333333333333 0.25 0.25 0.0833333333333333 0.913170645355039 0.00656780067541638 0.00828376993673706 0.00763059361924107 0.00481154771451484 0.0360133027917914 0.0116596220726291 0.0118627178346311 0 0.00378787878787879 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0.00189393939393939 0.050480293127352 0.84914091899386 0 0.00757575757575758 0 0 0 0 0 0.00757575757575758 0.063973063973064 0.00378787878787879 0 0.833754208754209
10 70.1666666666667 65.1666666666667 1.33333333333333 2.75 0.5 0.166666666666667 0.25 0.920472903714827 0.0162403425686882 0.00980392156862745 0.00501930225016215 0.00191818359757291 0.0333016209916122 0.0084640522875817 0.00477967302092846 0 0.00595238095238095 0 0 0 0.00297619047619048 0.00297619047619048 0 0 0.00416666666666667 0 0 0 0 0 0 0.00297619047619048 0 0.0248015873015873 0.87281746031746 0.00980392156862745 0 0 0 0.00490196078431373 0 0 0 0.0444444444444444 0 0 0.774183006535948
