"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oo_Proportion" "Transition_og_Proportion" "Transition_je_Proportion" "Transition_eg_Proportion" "Transition_ii_Proportion" "Transition_jj_Proportion" "Transition_sc_Proportion" "Transition_se_Proportion" "Transition_sh_Proportion" "Transition_jc_Proportion" "Transition_so_Proportion" "Transition_oc_Proportion" "Transition_ji_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_jh_Proportion" "Transition_sj_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_gs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_ssj_Proportion" "Transition_soo_Proportion" "Transition_hso_Proportion" "Transition_egs_Proportion" "Transition_hss_Proportion" "Transition_jis_Proportion" "Transition_ess_Proportion" "Transition_sjs_Proportion" "Transition_gss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_oss_Proportion" "Transition_sss_Proportion"
1 75.4166666666667 61.25 7.08333333333333 5.75 0.666666666666667 0.5 0.166666666666667 0.288288872853945 0.0759553325623725 0.100212550799087 0.0598900861190526 0.0324846040745415 0.219529999894799 0.034307056262897 0.189331497433305 0 0 0 0 0 0 0 0.00102880658436214 0.00205761316872428 0.00245098039215686 0.0028735632183908 0.00347222222222222 0.00347222222222222 0.00694444444444444 0.00695200919874122 0.00757575757575758 0.00757575757575758 0.0268119412515964 0.0355825173832837 0.0519530108765516 0.0526262645233797 0.0579494090100919 0.117757295553385 0.135219660545049 0.477696524253883 0 0 0 0 0.0053763440860215 0.00694444444444444 0.00694444444444444 0.0166666666666667 0.0804424816521591 0.0892622461170848 0.106411076975593 0.126167008021847 0.15297192353644 0.4088133640553
2 28.25 23.5 3.25 1.08333333333333 0.333333333333333 0 0 0.220861923305957 0.0686886374714756 0.110007831099812 0.076386370106929 0.0277751850581704 0.146703099871412 0.0687983458260997 0.197445273926811 0 0 0 0 0.00595238095238095 0.00757575757575758 0.0104166666666667 0 0 0 0.0208333333333333 0 0 0.0208333333333333 0 0 0.0043859649122807 0 0.0342831510594669 0.1785500683527 0.0327950558213716 0.0179924242424242 0.189137616769196 0.102984734563682 0.207592845750741 0 0 0 0 0.0416666666666667 0 0 0 0.127777777777778 0.0486111111111111 0.104166666666667 0.0708333333333333 0.0416666666666667 0.148611111111111
3 25.8333333333333 21.0833333333333 2.66666666666667 1.5 0.333333333333333 0.25 0 0.358806824088907 0.0631941305318853 0.104506047425031 0.026519046132824 0.034263091163336 0.165727489650844 0.055661859899926 0.191321511107246 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0.0277777777777778 0.00490196078431373 0.0290686274509804 0.0202205882352941 0.0964705882352941 0.0302205882352941 0.115420168067227 0.339253034547152 0 0 0 0 0 0 0.0416666666666667 0 0.0166666666666667 0.0166666666666667 0.0722222222222222 0.123809523809524 0.0119047619047619 0.300396825396825
4 12.4166666666667 10.5 1.33333333333333 0.333333333333333 0.166666666666667 0.0833333333333333 0 0.250437242798354 0.0929783950617284 0.118634259259259 0.0578703703703704 0.0211226851851852 0.158198302469136 0.0157407407407407 0.285018004115226 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0208333333333333 0 0 0.0208333333333333 0.0138888888888889 0.0208333333333333 0.0833333333333333 0.0284090909090909 0.145833333333333 0.119949494949495 0.184974747474747 0 0 0 0 0.0416666666666667 0 0 0 0 0 0.0833333333333333 0.141666666666667 0 0.15
5 9.5 8 0.75 0.583333333333333 0 0.0833333333333333 0 0.324709716882705 0.0408501457263067 0.0854489991003149 0.0973446058585377 0.0248509660274366 0.226775788066423 0.0114882376395534 0.10519820736539 0 0 0 0.0166666666666667 0 0 0 0 0 0 0.0833333333333333 0 0.0166666666666667 0 0 0 0 0 0.00925925925925926 0 0 0.0833333333333333 0.0560185185185185 0.0277777777777778 0.206944444444444 0 0 0 0.0416666666666667 0 0 0 0 0.0208333333333333 0 0 0 0.166666666666667 0.1875
6 19.25 16.1666666666667 1.33333333333333 1.16666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.394561002419012 0.0248985608512308 0.0388472099637148 0.0996377611062077 0.0432274811218986 0.242264881827989 0.00543869111830277 0.0677910782583113 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0.00333333333333333 0.0119047619047619 0.00666666666666667 0 0.0285714285714286 0.0552380952380952 0.025515873015873 0.477103174603175 0 0 0 0 0.0208333333333333 0 0 0 0.106481481481481 0 0 0 0.0555555555555556 0.400462962962963
7 13.0833333333333 10 1.75 1 0.0833333333333333 0.0833333333333333 0 0.412050110586295 0.0170833333333333 0.0818019943019943 0.0645391925326136 0.0141081871345029 0.100891625431099 0.0457669815564552 0.09709190845704 0 0.0277777777777778 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0.00694444444444444 0 0 0 0.01875 0.0152777777777778 0 0.0354166666666667 0.03125 0.0652777777777778 0.37337962962963 0 0 0 0 0 0 0 0 0.0277777777777778 0 0.0694444444444444 0.0416666666666667 0.0694444444444444 0.291666666666667
8 16.5833333333333 13 1.66666666666667 1.41666666666667 0.25 0.25 0 0.503665547415547 0.0165400443178221 0.0421169554941485 0.141882573242222 0.0199786324786325 0.152163766491252 0.0165397468029047 0.107112733757471 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0.025843253968254 0.00396825396825397 0.0708333333333333 0.0910714285714286 0.0091765873015873 0.528472222222222 0 0 0 0 0 0 0 0 0.0998677248677249 0.00925925925925926 0.0119047619047619 0.00925925925925926 0.0277777777777778 0.508597883597884
9 10.4166666666667 7.66666666666667 0.916666666666667 1.5 0.166666666666667 0.0833333333333333 0.0833333333333333 0.490951679493346 0.0428841991341991 0.0745640933140933 0.133630952380952 0.0836640211640212 0.103567670755171 0.0127039241622575 0.0580334595959596 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0.0138888888888889 0 0.0625 0.0972222222222222 0.00490196078431373 0 0.0412854030501089 0.0340686274509804 0.491230936819172 0 0 0 0 0.166666666666667 0 0 0 0.0590277777777778 0.0104166666666667 0.0277777777777778 0.0104166666666667 0 0.392361111111111
10 10.9166666666667 8.5 1 1.08333333333333 0.166666666666667 0.0833333333333333 0 0.468815489158626 0.0544169519659716 0.0316643323996265 0.0680685237057786 0.129435107376284 0.0797852474323063 0.0042989417989418 0.0801820728291316 0.0104166666666667 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0.00925925925925926 0 0.0104166666666667 0.0166666666666667 0 0.0334935897435897 0.0284900284900285 0.0168269230769231 0.447346866096866 0.0166666666666667 0.0208333333333333 0.0208333333333333 0 0 0 0 0 0.0166666666666667 0 0 0 0.0902777777777778 0.418055555555556
