"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ii_Proportion" "Transition_oj_Proportion" "Transition_jg_Proportion" "Transition_gc_Proportion" "Transition_ec_Proportion" "Transition_gg_Proportion" "Transition_oc_Proportion" "Transition_gj_Proportion" "Transition_cg_Proportion" "Transition_cc_Proportion" "Transition_se_Proportion" "Transition_jj_Proportion" "Transition_so_Proportion" "Transition_es_Proportion" "Transition_sh_Proportion" "Transition_jh_Proportion" "Transition_ci_Proportion" "Transition_eg_Proportion" "Transition_si_Proportion" "Transition_sj_Proportion" "Transition_sg_Proportion" "Transition_oi_Proportion" "Transition_ji_Proportion" "Transition_sc_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_hs_Proportion" "Transition_ss_Proportion" "Transition_sii_Proportion" "Transition_jsi_Proportion" "Transition_gcs_Proportion" "Transition_ggg_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_cgj_Proportion" "Transition_ccs_Proportion" "Transition_ess_Proportion" "Transition_jhs_Proportion" "Transition_sgs_Proportion" "Transition_gsg_Proportion" "Transition_scs_Proportion" "Transition_jss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_hss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 63.3333333333333 52.25 7.08333333333333 3.33333333333333 0.333333333333333 0.25 0.0833333333333333 0.20779068593137 0.100432429204603 0.119979216507666 0.0487522827279823 0.0162144855283147 0.183319594824657 0.0771389855673695 0.246372319708037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0.00163398692810458 0.00208333333333333 0.00326797385620915 0.0036231884057971 0.0166666666666667 0.0183006535947712 0.0321771099744246 0.0597214610481874 0.0724175902244956 0.11030274428612 0.136531913490034 0.137100256769374 0.404539134494377 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.00595238095238095 0.00595238095238095 0.0406445406445406 0.0478896103896104 0.0563492063492064 0.0909090909090909 0.109427609427609 0.163425925925926 0.306830206830207
2 27.0833333333333 21.8333333333333 3.33333333333333 1.5 0.25 0.0833333333333333 0 0.288263619642387 0.0925112389360118 0.101428186469374 0.0717876888676822 0.0337618712319428 0.118685033214485 0.0311273733908848 0.179101654913899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0.00757575757575758 0.00757575757575758 0 0 0 0.00555555555555556 0 0 0.0148148148148148 0.0344785575048733 0.0807748538011696 0.0939571150097466 0.180447013999646 0.0543859649122807 0.0175172780435938 0.330695108984583 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0.0381944444444444 0.125 0.163194444444444 0 0.173611111111111 0.0416666666666667 0.263888888888889
3 23.25 18.5 2.66666666666667 1.91666666666667 0.0833333333333333 0 0.0833333333333333 0.34047433014812 0.0606252361590087 0.119355430774671 0.0789577359510532 0.02942951266122 0.125543789621038 0.0632035665897895 0.182410398095099 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00320512820512821 0.00694444444444444 0.0104166666666667 0 0 0 0 0.0104166666666667 0.00320512820512821 0 0 0.00833333333333333 0.00757575757575758 0.0478098290598291 0.0648844211344211 0.09127331002331 0.0912101787101787 0.066292735042735 0.03125 0.387310606060606 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0.0958333333333333 0.104166666666667 0.1 0 0.106944444444444 0.0486111111111111 0.183333333333333
4 16.25 13.75 1.5 0.583333333333333 0.0833333333333333 0.166666666666667 0 0.346073035815205 0.041070799603601 0.0626617957550286 0.0495916239821382 0.00260416666666667 0.0495161052009456 0.07141834270602 0.210397463603728 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0.00694444444444444 0.0833333333333333 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0.0166666666666667 0.0486111111111111 0.129960317460317 0.0400793650793651 0.0319444444444444 0 0.211507936507937 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0.0833333333333333 0.104166666666667 0.0416666666666667 0 0.03125 0 0.0625
5 17.6666666666667 15 1.75 0.75 0.0833333333333333 0 0 0.332721405632411 0.043032224418094 0.073144659914361 0.0991382347020934 0.0091403162055336 0.224650604779681 0.0208509460547504 0.113988274959742 0 0 0 0 0 0 0 0.00757575757575758 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0151515151515152 0.0138888888888889 0.0984848484848485 0.0521885521885522 0.10016835016835 0.0244107744107744 0.0231481481481482 0.212962962962963 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0.0208333333333333 0.0416666666666667 0.0208333333333333 0.0208333333333333 0 0 0.0277777777777778 0.180555555555556
6 9.83333333333333 8.16666666666667 0.583333333333333 0.583333333333333 0.166666666666667 0.0833333333333333 0 0.26628183737263 0.0932042382170259 0.0758123046319977 0.120664251207729 0.0247153209109731 0.0404971988795518 0.026161044127796 0.102663804652296 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0.0972222222222222 0.100694444444444 0.0208333333333333 0.0104166666666667 0.0486111111111111 0.208333333333333 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0.0166666666666667 0.241666666666667 0.0583333333333333 0 0.0166666666666667 0.0666666666666667
7 19.25 15.5 2.08333333333333 1 0.25 0.25 0.0833333333333333 0.353187333101126 0.109496939841767 0.110417755137583 0.0401154401154401 0.0374154102602378 0.174724450996003 0.0146825396825397 0.0766267975319699 0 0 0 0.00333333333333333 0.0208333333333333 0.05 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0.0644444444444444 0 0 0.00333333333333333 0.108771929824561 0.087719298245614 0.1 0.0465497076023392 0.117997076023392 0.0254385964912281 0.283859649122807 0 0 0.00757575757575758 0.0208333333333333 0.0486111111111111 0.0486111111111111 0 0 0 0 0 0 0.00757575757575758 0.0515873015873016 0 0.0227272727272727 0 0.0833333333333333 0.104166666666667 0.271645021645022
8 5.72727272727273 4.72727272727273 0.363636363636364 0.454545454545455 0 0.0909090909090909 0 0.29435261707989 0.227685950413223 0.136363636363636 0.0371900826446281 0 0.141735537190083 0.00826446280991736 0.0634986225895317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.0305555555555556 0.0277777777777778 0.0333333333333333 0.0166666666666667 0 0.211111111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.111111111111111 0.0833333333333333 0 0 0 0.111111111111111
9 11 9.27272727272727 0.545454545454545 0.909090909090909 0.181818181818182 0.0909090909090909 0 0.275230224321133 0.0560606060606061 0.130116096025187 0.128049980322708 0.087465564738292 0.150032795487341 0.0319592024137479 0.141085530630985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0.0389880952380952 0.0925595238095238 0.0416666666666667 0.0166666666666667 0.376785714285714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0791666666666667 0.0416666666666667 0.0583333333333333 0 0.320833333333333
10 17 13.0909090909091 1.54545454545455 1.90909090909091 0.181818181818182 0 0 0.320392521708311 0.056595191682911 0.0160789178333038 0.146408529741863 0.00336700336700337 0.043722310827574 0.00430622009569378 0.136402032016067 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0.0833333333333333 0 0 0 0 0 0.0194444444444444 0.00555555555555556 0.0209876543209877 0.0898148148148148 0.012037037037037 0 0.17962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.0128205128205128 0.0498575498575499 0 0.131410256410256 0 0.132834757834758
