"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ih_Proportion" "Transition_cc_Proportion" "Transition_cg_Proportion" "Transition_og_Proportion" "Transition_ge_Proportion" "Transition_io_Proportion" "Transition_eo_Proportion" "Transition_oc_Proportion" "Transition_go_Proportion" "Transition_sc_Proportion" "Transition_gg_Proportion" "Transition_es_Proportion" "Transition_ci_Proportion" "Transition_sh_Proportion" "Transition_jg_Proportion" "Transition_ji_Proportion" "Transition_so_Proportion" "Transition_sg_Proportion" "Transition_sj_Proportion" "Transition_jj_Proportion" "Transition_si_Proportion" "Transition_jc_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_scs_Proportion" "Transition_ssi_Proportion" "Transition_osi_Proportion" "Transition_ggs_Proportion" "Transition_ess_Proportion" "Transition_ocs_Proportion" "Transition_gos_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_jis_Proportion" "Transition_sis_Proportion" "Transition_sos_Proportion" "Transition_css_Proportion" "Transition_oss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_jss_Proportion" "Transition_sss_Proportion"
1 93.5 76.75 9.25 6.5 0.5 0.5 0 0.269466085959397 0.0888958021253854 0.129280049781659 0.0413535084188508 0.0156840195217388 0.172617378803732 0.0576124790742564 0.22509067631498 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0.00198412698412698 0.00213675213675214 0.00304232804232804 0.00317460317460317 0.00535714285714286 0.00757575757575758 0.00757575757575758 0.00995670995670996 0.0104166666666667 0.0312530062530062 0.0491966366966367 0.0723320660820661 0.0782768157768158 0.124897093647094 0.137395012395012 0.453577672327672 0 0 0 0 0 0 0 0 0 0.00555555555555556 0.00617283950617284 0.00641025641025641 0.0573361823361823 0.070655806182122 0.0999287749287749 0.134114488500453 0.184429378289027 0.435396718291455
2 49.5833333333333 41.1666666666667 5.33333333333333 2.91666666666667 0.0833333333333333 0.0833333333333333 0 0.285905477445173 0.0775751125501915 0.111704942187275 0.0799595351008887 0.0265766720967682 0.135093578021032 0.0628260257316779 0.220358656866994 0 0 0 0 0 0 0 0 0.00252525252525253 0.00416666666666667 0.00490196078431373 0.0126262626262626 0.0119047619047619 0.00925925925925926 0 0.0215686274509804 0 0.0168350168350168 0 0.00925925925925926 0.00925925925925926 0 0.0382575757575758 0.082260101010101 0.0533738116458705 0.0694687597261127 0.199600168350168 0.0858055343349461 0.368927722604193 0 0 0 0 0 0 0.00694444444444444 0.0277777777777778 0.0972222222222222 0 0 0 0.136904761904762 0.133333333333333 0.0444444444444444 0.094047619047619 0.153769841269841 0.222222222222222
3 37 31.4166666666667 3.25 1.58333333333333 0.583333333333333 0.0833333333333333 0.0833333333333333 0.24532466712055 0.121899907668314 0.123957444608569 0.073385877570775 0.0230033898413524 0.193609295670872 0.0557448545737453 0.163074562945822 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0.00833333333333333 0 0.00833333333333333 0 0 0.00925925925925926 0.0101851851851852 0 0 0.0444444444444444 0 0.0222222222222222 0.0287037037037037 0.0157407407407407 0.105555555555556 0.137962962962963 0.100925925925926 0.333333333333333 0 0 0 0 0.0166666666666667 0.0277777777777778 0 0 0.0208333333333333 0 0.0833333333333333 0.0208333333333333 0.0944444444444444 0.0541666666666667 0.0777777777777778 0.0375 0.0104166666666667 0.30625
4 34.5 30.5 2.25 1.41666666666667 0.166666666666667 0 0.0833333333333333 0.376898287718815 0.0536582406247574 0.0826589882668094 0.0585394742503688 0.00679413179413179 0.168459106035006 0.0408764683314908 0.128781969645288 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0.0166666666666667 0 0 0 0 0.0166666666666667 0 0.0277777777777778 0.0553075396825397 0.0393518518518519 0.172784391534392 0.10162037037037 0.0758928571428571 0.393931878306878 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0.0833333333333333 0.159722222222222 0.0277777777777778 0 0.0625 0.333333333333333
5 31.1666666666667 25.9166666666667 3.08333333333333 1.66666666666667 0.25 0.25 0 0.418278118324199 0.0460361288760062 0.0687964115061284 0.0814949902043478 0.0115210646972942 0.205548255440015 0.0139016481659447 0.154423382786064 0 0 0 0 0.00641025641025641 0.00925925925925926 0.0119047619047619 0 0 0.00490196078431373 0.0119047619047619 0.0223214285714286 0 0 0 0 0 0.0119047619047619 0 0 0 0 0.00490196078431373 0.0932437932437932 0.0147435897435897 0.0831578144078144 0.13382966434437 0.150160256410256 0.358022396992985 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0.194444444444444 0.0208333333333333 0.166666666666667 0.0208333333333333 0.0208333333333333 0.326388888888889
6 27.4166666666667 21.3333333333333 3.58333333333333 1.66666666666667 0.5 0.25 0 0.30614036472812 0.0676910726860205 0.0580818997428459 0.0881777928973667 0.0269148134571522 0.149408133178786 0.041687949725388 0.178564640250987 0 0 0 0 0 0 0 0 0 0 0.012719298245614 0.09375 0 0.00833333333333333 0.087719298245614 0 0 0.00833333333333333 0 0 0.0124491869918699 0 0.0483044501497647 0.0232536371416346 0.0321637426900585 0.0613972685779489 0.0451834617030381 0.0981297247182998 0.301596598202824 0 0 0.00416666666666667 0.0138888888888889 0 0 0 0 0.0694444444444444 0 0 0 0.0916666666666667 0.0138888888888889 0.0555555555555556 0.0555555555555556 0.0972222222222222 0.181944444444444
7 16.6666666666667 12.75 1.83333333333333 1.58333333333333 0.166666666666667 0.25 0 0.429427889347948 0.0514488741232927 0.0584671613378009 0.0941033893432149 0.00810185185185185 0.137612043425997 0.0337924067211858 0.103713050515376 0 0 0 0.0138888888888889 0 0 0 0 0 0.00757575757575758 0 0.00757575757575758 0 0 0 0 0 0.0166666666666667 0 0 0.00925925925925926 0 0.0277777777777778 0.07996632996633 0.0347222222222222 0.0492424242424242 0.0776515151515152 0.0964646464646465 0.495875420875421 0.0138888888888889 0.0208333333333333 0 0 0.0138888888888889 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0.0555555555555556 0.111111111111111 0.075 0.0416666666666667 0.0486111111111111 0.369444444444444
8 33.75 27.4166666666667 3.25 2 0.25 0.75 0 0.364775560873046 0.0517674790721952 0.0810090254528857 0.0836012340469448 0.00899542739488829 0.103288845032348 0.0604335416126062 0.162795553181753 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.00157232704402516 0 0.00157232704402516 0 0.0324365245748894 0.0266786047053343 0.0166666666666667 0.0220780922431866 0.123940135103657 0.0707183205217796 0.364445026787794 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0.0102777777777778 0.00694444444444444 0.0552777777777778 0.114166666666667 0.0416666666666667 0.348055555555556
9 19.8333333333333 16.1666666666667 1.75 1.5 0.25 0.166666666666667 0 0.412579926442035 0.109380260942761 0.0509938144745326 0.0418826744735433 0.00177304964539007 0.225111844782538 0.010662177328844 0.147616251910357 0 0 0 0 0 0 0 0 0 0.0333333333333333 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0.148039215686275 0.0486111111111111 0.0277963458110517 0.0929924242424243 0.0646836007130125 0.412975341651812 0 0 0 0 0 0 0 0 0 0 0 0 0.0243055555555556 0.1875 0.0138888888888889 0.060515873015873 0.0277777777777778 0.352678571428571
10 18 13.8333333333333 1.91666666666667 1.91666666666667 0.25 0.0833333333333333 0 0.502887940651495 0.0567127637534264 0.0157594664371773 0.077575779307707 0 0.157030104545165 0.00249808758844903 0.187535857716581 0 0.00252525252525253 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0.0521780303030303 0.0269255050505051 0.0190183080808081 0.10479797979798 0.0154671717171717 0.357291666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0.0833333333333333 0.0277777777777778 0.00694444444444444 0.0555555555555556 0.319444444444444
11 8 6.16666666666667 0.75 0.583333333333333 0.0833333333333333 0 0.25 0.32478310768752 0.105100373482726 0.0564552209772798 0.0415013227513227 0.0118464052287582 0.152991752256458 0.0326797385620915 0.107975412387177 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.00416666666666667 0 0.05 0.0666666666666667 0.00555555555555556 0.373611111111111 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0.0119047619047619 0 0 0.00694444444444444 0 0.314484126984127
12 26.6666666666667 21.25 2.58333333333333 1.83333333333333 0.416666666666667 0.333333333333333 0.0833333333333333 0.440047220715018 0.014944362624775 0.0312946132513414 0.0702977464422798 0.00704365079365079 0.197986624278336 0.0121136173767753 0.0596054978511571 0.00595238095238095 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010662177328844 0 0.0151515151515152 0.0716164622414622 0 0 0.0392090548340548 0.0661626182459516 0.454826038159371 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0.0889941077441078 0.0223214285714286 0.0456018518518519 0 0.488915945165945
13 25 20.1 2.3 2.1 0.2 0.1 0.1 0.568366114561767 0.0156004140786749 0.0275879917184265 0.0111620082815735 0.00285714285714286 0.152792443064182 0.0300051759834369 0.0916287094547964 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0.00617283950617284 0 0 0.0231481481481482 0.0833333333333333 0.00925925925925926 0.0493827160493827 0.0807098765432099 0.470216049382716 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.0277777777777778 0.0138888888888889 0.0138888888888889 0.0188492063492063 0 0.550595238095238
