"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oc_Proportion" "Transition_cg_Proportion" "Transition_ci_Proportion" "Transition_oe_Proportion" "Transition_ij_Proportion" "Transition_jc_Proportion" "Transition_io_Proportion" "Transition_og_Proportion" "Transition_ig_Proportion" "Transition_oh_Proportion" "Transition_cc_Proportion" "Transition_ei_Proportion" "Transition_gg_Proportion" "Transition_se_Proportion" "Transition_ji_Proportion" "Transition_ge_Proportion" "Transition_sj_Proportion" "Transition_jj_Proportion" "Transition_sh_Proportion" "Transition_jg_Proportion" "Transition_si_Proportion" "Transition_so_Proportion" "Transition_sg_Proportion" "Transition_sc_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_gs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_jsg_Proportion" "Transition_shs_Proportion" "Transition_gsg_Proportion" "Transition_cgs_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_sci_Proportion" "Transition_cis_Proportion" "Transition_ssh_Proportion" "Transition_jjs_Proportion" "Transition_sgs_Proportion" "Transition_igs_Proportion" "Transition_csc_Proportion" "Transition_scc_Proportion" "Transition_sos_Proportion" "Transition_jis_Proportion" "Transition_sjs_Proportion" "Transition_ess_Proportion" "Transition_hss_Proportion" "Transition_scs_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_css_Proportion" "Transition_sss_Proportion"
1 160.416666666667 131.666666666667 15.8333333333333 10.5 1.75 0.5 0.166666666666667 0.347599406660481 0.0698366011228385 0.101436872304517 0.0470849757971557 0.0154508140909529 0.168305148200666 0.046856536654154 0.203429645169236 0 0 0 0 0 0 0 0 0 0 0 0.00108225108225108 0.00108225108225108 0.00146198830409357 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00177304964539007 0.00177304964539007 0.00422403003754693 0.00475018946463515 0.00642607040066205 0.00708969393179919 0.00919870978694508 0.0107472691475722 0.030008124239491 0.0494692153863327 0.0510333157086188 0.102507989668727 0.110762189316536 0.127842116581665 0.474223042024638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0.00641025641025641 0.00641025641025641 0.00641025641025641 0.013986013986014 0.0156695156695157 0.0828255027983289 0.106870092467919 0.113458220523438 0.114271638184682 0.165205351210786 0.365957643403296
2 46.8333333333333 38.9166666666667 4.33333333333333 2.83333333333333 0.416666666666667 0.0833333333333333 0.25 0.454526143560156 0.070292163761591 0.0786579150641113 0.0575584670866534 0.0134052910787947 0.147068251838795 0.0570750955748376 0.121416672035061 0 0 0 0 0 0 0 0 0 0.00347222222222222 0.0168650793650794 0 0 0.00347222222222222 0 0 0 0 0.00595238095238095 0.00595238095238095 0.00297619047619048 0.00347222222222222 0 0.0138888888888889 0 0.037202380952381 0.114583333333333 0.0797044695071011 0.0454365079365079 0.118791771094403 0.117700501253133 0.430529448621554 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0.0119047619047619 0 0 0 0 0 0.0119047619047619 0.126262626262626 0.150793650793651 0.0956740019240019 0.0628306878306878 0.318407287157287
3 51.75 41.25 5.75 3.83333333333333 0.5 0.25 0.0833333333333333 0.522073498722407 0.101920346317649 0.0517397147538591 0.0220183797988814 0.0156189250280582 0.0780442653232864 0.0285708055244649 0.0966807311980605 0 0 0 0 0 0 0 0.00378787878787879 0.00490196078431373 0 0 0 0 0 0 0 0.00758636788048553 0 0 0 0.00163398692810458 0 0.00146198830409357 0.00378787878787879 0.00920974450386215 0.0233709645474351 0.00309597523219814 0.140775401069519 0.0273064568730203 0.0497440868957897 0.103729875788699 0.536274100283388 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.0119047619047619 0 0 0 0 0 0.00520833333333333 0 0 0 0.164930555555556 0.100446428571429 0.0113811728395062 0.0560240299823633 0.480351631393298
4 24.5833333333333 20 1.83333333333333 2 0.416666666666667 0.25 0 0.46436690706454 0.0592502664048663 0.0339118806030571 0.0766349391349391 0.00482492417976289 0.131212656605659 0.0267843267843268 0.119680765889516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0145833333333333 0 0 0.00347222222222222 0 0.00416666666666667 0.0110479797979798 0 0 0 0.0513888888888889 0.0311237373737374 0.0327380952380952 0.108369408369408 0.132738095238095 0.443704906204906 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0.0104166666666667 0 0 0 0.0986111111111111 0.0451388888888889 0.106944444444444 0.0416666666666667 0.0104166666666667 0.346527777777778
5 29 23.75 3.08333333333333 1.66666666666667 0.166666666666667 0.25 0 0.43603550068644 0.0517216933423661 0.0702508550289676 0.0730650725395713 0.0266633820106697 0.120689001193534 0.0382390164063953 0.100002145458723 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.00416666666666667 0 0 0.0243055555555556 0 0 0 0.00641025641025641 0.0223214285714286 0.0260416666666667 0.0315972222222222 0.0104166666666667 0.0784455128205128 0.13653083028083 0.486687271062271 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0843253968253968 0.0466269841269841 0.0724206349206349 0.0208333333333333 0.430555555555556
6 28.8333333333333 22.75 3.58333333333333 1.83333333333333 0.25 0.0833333333333333 0.166666666666667 0.439192772693692 0.0531734012045743 0.0385048213477535 0.0213509885242235 0.013981939820064 0.146719803997327 0.0266583238395472 0.0937512819061517 0 0 0 0 0 0.0028735632183908 0.00833333333333333 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0.00925925925925926 0 0.00260416666666667 0.00574712643678161 0.0121328224776501 0.0242656449553001 0 0.0454907161803714 0.0320581896551724 0.0555402053246881 0.141386524953335 0.401975114205718 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0243055555555556 0.0277777777777778 0 0 0.0972222222222222 0.0441468253968254 0.0223214285714286 0.0208333333333333 0.430059523809524
7 33.5833333333333 26.6666666666667 3.41666666666667 2.33333333333333 0.333333333333333 0.416666666666667 0.333333333333333 0.490040517733472 0.0646002046347186 0.0663669910816534 0.0314065118690907 0.0140891840607211 0.134662824220012 0.0287324315624244 0.0867680015045743 0 0 0 0 0 0 0 0 0.0040650406504065 0 0 0 0 0.0036231884057971 0 0 0 0.0104166666666667 0.0208333333333333 0 0 0 0.0153872211799041 0.00641025641025641 0 0.0272435897435897 0.0230542781493868 0.0314009661835749 0.0278738664790494 0.132871130393996 0.0999985271591846 0.513488601911521 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0.0036231884057971 0 0 0 0 0 0 0 0.0277777777777778 0.0373093681917211 0.062962962962963 0.0776688453159041 0.181523515203183 0.0326797385620915 0.451454603580563
8 29.0833333333333 23.5 3.41666666666667 1.66666666666667 0.25 0.25 0 0.482859202783301 0.0617643256578266 0.0531731612613966 0.0361900837232906 0.0281174843674844 0.142085272368716 0.0290612406954912 0.166749229142493 0 0 0 0.00833333333333333 0.00925925925925926 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.0166666666666667 0 0.0243055555555556 0 0 0.0119047619047619 0.0833333333333333 0.0101190476190476 0.0202380952380952 0.0413690476190476 0.0142857142857143 0.0339616402116402 0.169907407407407 0.0938492063492063 0.437466931216931 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0238095238095238 0.0277777777777778 0 0.0444444444444444 0.0357142857142857 0.0833333333333333 0.0912698412698413 0.0119047619047619 0.431746031746032
9 29.4166666666667 22.8333333333333 3.25 2.5 0.583333333333333 0.0833333333333333 0.166666666666667 0.563774928111812 0.0710470729235679 0.0708053093861079 0.0373529397643308 0.0189432384560819 0.114212847524981 0.0153166901358556 0.108546973697263 0 0.00225225225225225 0.00641025641025641 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0.0043859649122807 0 0.00980392156862745 0.00225225225225225 0.025219298245614 0.00641025641025641 0.00715421303656598 0.014161220043573 0.0164092664092664 0.0269373624636783 0.0361784295607825 0.151916017589392 0.0324720324720325 0.570317958127556 0 0 0 0.00520833333333333 0.00925925925925926 0.00925925925925926 0.0138888888888889 0.0138888888888889 0 0 0.0833333333333333 0 0 0 0.00520833333333333 0 0 0.00520833333333333 0.0277777777777778 0 0.03125 0.0521660052910053 0.0416666666666667 0.147453703703704 0.0774305555555556 0.393667328042328
10 28.0833333333333 22.75 2 2.16666666666667 0.583333333333333 0.416666666666667 0.166666666666667 0.514599582301956 0.0233413461538462 0.0558663495076539 0.0452511858490119 0.0135185185185185 0.138491711844115 0.0246080214830215 0.184323284341877 0.0166666666666667 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0.0028735632183908 0 0 0 0.00462962962962963 0 0.0104166666666667 0 0 0 0.0351851851851852 0 0.00490196078431373 0.043941570881226 0 0.038154533844189 0.0138888888888889 0.104030970625798 0.129030970625798 0.590723837427691 0 0.0208333333333333 0.0208333333333333 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0.00925925925925926 0.00757575757575758 0.0333333333333333 0 0 0.0648148148148148 0.188888888888889 0.112037037037037 0.00925925925925926 0.51233164983165
