"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ee_Proportion" "Transition_oj_Proportion" "Transition_cg_Proportion" "Transition_gi_Proportion" "Transition_ie_Proportion" "Transition_ji_Proportion" "Transition_ge_Proportion" "Transition_ig_Proportion" "Transition_jj_Proportion" "Transition_gh_Proportion" "Transition_ei_Proportion" "Transition_ii_Proportion" "Transition_gg_Proportion" "Transition_eo_Proportion" "Transition_sh_Proportion" "Transition_sg_Proportion" "Transition_cc_Proportion" "Transition_se_Proportion" "Transition_so_Proportion" "Transition_si_Proportion" "Transition_ci_Proportion" "Transition_gc_Proportion" "Transition_jg_Proportion" "Transition_jc_Proportion" "Transition_sc_Proportion" "Transition_es_Proportion" "Transition_sj_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_gs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_igs_Proportion" "Transition_eso_Proportion" "Transition_sgs_Proportion" "Transition_cgs_Proportion" "Transition_ggs_Proportion" "Transition_ies_Proportion" "Transition_iie_Proportion" "Transition_jis_Proportion" "Transition_ssg_Proportion" "Transition_jsg_Proportion" "Transition_ggg_Proportion" "Transition_sgg_Proportion" "Transition_shs_Proportion" "Transition_jjs_Proportion" "Transition_sos_Proportion" "Transition_iis_Proportion" "Transition_eis_Proportion" "Transition_scs_Proportion" "Transition_isj_Proportion" "Transition_sjs_Proportion" "Transition_jci_Proportion" "Transition_sjc_Proportion" "Transition_ess_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_hss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_css_Proportion" "Transition_sss_Proportion"
1 147.25 116.75 16.75 12.3333333333333 0.583333333333333 0.833333333333333 0 0.329471537390401 0.0653421494326655 0.1197244726547 0.0458764353969557 0.0269613796972635 0.179864324227435 0.0461628894498443 0.186596811750735 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000712250712250712 0.00111111111111111 0.00120772946859903 0.00384335154826958 0.00462962962962963 0.00462962962962963 0.005175983436853 0.0062636165577342 0.00755352071064082 0.0184175924798261 0.0208258617916494 0.0225645186070326 0.0312207296143679 0.0512805995637801 0.0915344909145203 0.114635069715827 0.120091285812668 0.494303028695611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0.00308641975308642 0.00308641975308642 0.0138888888888889 0.0138888888888889 0.0206654456654457 0.0267280558947226 0.03837674671008 0.0464896214896215 0.0741826075159409 0.0942375525708859 0.176823022656356 0.48656220322887
2 95.25 75 11.1666666666667 6.83333333333333 1.41666666666667 0.666666666666667 0.166666666666667 0.473844677585707 0.0460171451747787 0.0802125827602471 0.0456541295163818 0.0469661014592334 0.162963725964372 0.0274190878867471 0.116922549652533 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0.00173611111111111 0.00173611111111111 0.00181159420289855 0.00284722222222222 0.00284722222222222 0 0 0.000992063492063492 0.00383928571428571 0 0 0.000868055555555556 0 0.00111111111111111 0.0191086691086691 0.00173611111111111 0.0442055031321336 0.0199072636300897 0.0354662698412698 0.0667566159685725 0.0723078582045973 0.0710244133885438 0.567497129983543 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0.00252525252525253 0.00252525252525253 0 0 0 0 0 0.0166666666666667 0.0225898692810458 0.0631451065274595 0.00987819370172311 0.0743498739822269 0.0777027302762597 0.136345353992413 0.425154053462877
3 62.4166666666667 50.4166666666667 6.33333333333333 3.83333333333333 0.833333333333333 0.916666666666667 0.0833333333333333 0.464594976338046 0.0752149346042869 0.056657925291177 0.04161023891904 0.025758665194333 0.179812380104596 0.0235641358717419 0.132786743676779 0 0 0 0 0 0 0 0 0.00297619047619048 0.00320512820512821 0 0 0 0 0.00170068027210884 0.00297619047619048 0 0.0036231884057971 0 0 0 0 0.00170068027210884 0 0 0 0.00469322344322344 0.122175769932739 0.0786019536019536 0.016590875480627 0.0457384877027734 0.0836489594206228 0.164743303036743 0.467625369273794 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0.00595238095238095 0 0 0 0 0 0.00308641975308642 0 0 0 0.00617283950617284 0.309324925256298 0.0163217138707335 0.0262864405021268 0.100991591922964 0.00757575757575758 0.352719303209499
4 44.4166666666667 35.3333333333333 4.5 3.66666666666667 0.666666666666667 0.0833333333333333 0.166666666666667 0.48356858536218 0.0420992846774487 0.08411548780289 0.0311340435680224 0.0208360257700046 0.189532430403118 0.0248285060862632 0.123885636330072 0 0 0 0 0 0 0.00308641975308642 0.00396825396825397 0 0 0 0 0.0340388007054674 0 0 0.0527256693923361 0 0 0.0043859649122807 0.00347222222222222 0 0 0.00595238095238095 0 0.00308641975308642 0.0228395061728395 0 0.0541664313594138 0.0482253086419753 0.0199135659661975 0.0307844932844933 0.135278277602839 0.111659940936257 0.466416344376871 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.0183150183150183 0.0208333333333333 0.028731684981685 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.0961538461538461 0.117246642246642 0.0138888888888889 0.154365079365079 0.0847069597069597 0.0202991452991453 0.345299145299145
5 44.3333333333333 35.5833333333333 4.41666666666667 3 0.666666666666667 0.333333333333333 0.25 0.483287002771498 0.048290940520634 0.0535083774325949 0.0231556969757633 0.0131874329126301 0.15872808308624 0.0264589239333366 0.11005020903397 0 0 0 0 0.00157232704402516 0.0028735632183908 0 0 0 0 0 0.00157232704402516 0.0028735632183908 0 0 0.00757575757575758 0 0 0 0 0 0 0.00882594417077176 0 0.00157232704402516 0.00914808461978273 0 0.0432205982588221 0.0337959950842189 0.0253445318507127 0.0702186409801352 0.0591329966329966 0.0905738490386614 0.475032827552617 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00320512820512821 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0.00320512820512821 0.0439102564102564 0.00641025641025641 0.0865384615384616 0.0550213675213675 0.0836538461538461 0.441773504273504
6 39.6666666666667 29.5 5 4.08333333333333 0.166666666666667 0.5 0.416666666666667 0.557395303265443 0.0330149503414321 0.0529353058851491 0.0540601931397502 0.0225324056607069 0.130430942418801 0.0546115440422449 0.0950193552464721 0 0 0 0.0053030303030303 0 0.00146198830409357 0 0 0 0 0 0 0.0284090909090909 0 0 0.00648148148148148 0 0 0 0.00423976608187134 0 0.00277777777777778 0 0 0 0.0117424242424242 0 0.0510721247563353 0.0216839447102605 0.0441919191919192 0.0246411483253589 0.150459640262272 0.0589402799929116 0.50526205032784 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.0288525132275132 0.100727513227513 0 0.0380685286935287 0.0760416666666667 0.0514219576719577 0.528961894586895
7 46 36.25 4.25 3.91666666666667 0.583333333333333 0.583333333333333 0.416666666666667 0.622498325126233 0.0584000651901186 0.0621586433601376 0.0288385944247499 0.0205582473195774 0.110782931707879 0.0254715880416216 0.0712916048296832 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0.00208333333333333 0 0 0.0255621693121693 0 0 0 0.00490196078431373 0 0 0.00208333333333333 0 0 0 0.00132275132275132 0.0284060846560847 0.0373912653573671 0.0277351807012824 0.106320621468927 0.0754925369394462 0.0347214639151329 0.565744004758212 0 0 0 0 0 0 0 0 0.00252525252525253 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0511363636363636 0.0553030303030303 0.00669191919191919 0.036002886002886 0.055501443001443 0.0517857142857143 0.557720057720058
8 59.4166666666667 47.0833333333333 5.33333333333333 6 0.5 0.25 0.25 0.508740459904802 0.0421680704761296 0.0442473625348026 0.0450998487902415 0.01745494455827 0.178983696719237 0.0521322091488303 0.111173407867687 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0.0140432098765432 0 0 0.00520833333333333 0 0 0 0.00203252032520325 0 0.0187208216619981 0.024702380952381 0 0.0424110247555495 0.0114075203252033 0.01019337726057 0.0292925804967544 0.117634474390717 0.0616134629575693 0.577374440005641 0 0 0 0 0 0 0 0.0104166666666667 0.0138888888888889 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0.0104166666666667 0 0 0.00641025641025641 0 0 0 0 0.0305555555555556 0.01875 0.098761655011655 0.00320512820512821 0.0511655011655012 0.101903651903652 0.0482371794871795 0.51654526029526
9 42 32 5 3.08333333333333 0.5 0.833333333333333 0.583333333333333 0.610729379368908 0.0380108323522646 0.0552676615363103 0.03458928133374 0.0165294905277855 0.120862428975885 0.0168561556295998 0.107154770275508 0 0 0 0 0 0 0 0 0 0 0 0 0.0135281385281385 0 0 0.02276999316473 0 0 0 0.00109649122807018 0 0 0.00757575757575758 0 0 0.0108543417366947 0.0160818713450292 0.0499781651097441 0.0253745437568967 0.0239156268568033 0.0124777183600713 0.0510953185101792 0.0748248462064252 0.607093854288127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0.0166666666666667 0 0.0333333333333333 0 0 0 0 0 0 0 0 0 0 0.0212962962962963 0.0592592592592593 0.075 0.0546296296296296 0 0.0588852399197227 0.00925925925925926 0.4883369823025
10 43.9166666666667 33.5833333333333 4 4.66666666666667 0.833333333333333 0.583333333333333 0.25 0.488887584449704 0.064493320360318 0.0833740772730729 0.0463973773807205 0.0514160189413461 0.104605559378102 0.03883182869009 0.121994233526646 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0.00416666666666667 0 0 0 0 0 0 0.00685483870967742 0.00141242937853107 0.0422950458659863 0.00909842845326716 0.011965811965812 0.0830184435447593 0.0737882235510901 0.0737962953227442 0.603649720496268 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0198412698412698 0.0774436690384966 0.00462962962962963 0.0644442163838716 0.0307368637110016 0.167824074074074 0.551746943988323
