"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_cc_Proportion" "Transition_hc_Proportion" "Transition_jg_Proportion" "Transition_gi_Proportion" "Transition_ge_Proportion" "Transition_ii_Proportion" "Transition_ee_Proportion" "Transition_ie_Proportion" "Transition_se_Proportion" "Transition_ji_Proportion" "Transition_hi_Proportion" "Transition_gg_Proportion" "Transition_oi_Proportion" "Transition_ig_Proportion" "Transition_og_Proportion" "Transition_es_Proportion" "Transition_sj_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_si_Proportion" "Transition_sc_Proportion" "Transition_cs_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_hcs_Proportion" "Transition_iee_Proportion" "Transition_eee_Proportion" "Transition_sjs_Proportion" "Transition_igg_Proportion" "Transition_ssg_Proportion" "Transition_gii_Proportion" "Transition_esg_Proportion" "Transition_ggi_Proportion" "Transition_iis_Proportion" "Transition_ggg_Proportion" "Transition_ges_Proportion" "Transition_osi_Proportion" "Transition_hss_Proportion" "Transition_his_Proportion" "Transition_ose_Proportion" "Transition_jie_Proportion" "Transition_see_Proportion" "Transition_sgg_Proportion" "Transition_igs_Proportion" "Transition_ogs_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_gsg_Proportion" "Transition_sis_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 73.3333333333333 60.0833333333333 5 6.41666666666667 0.583333333333333 0.916666666666667 0.333333333333333 0.633135337268868 0.0587426029810088 0.0170207780231529 0.0286649783033092 0.0032489529440749 0.17199669928386 0.00874020164932832 0.0784504495463979 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0.00313746188130425 0.00462962962962963 0.00555555555555556 0.00633030990173847 0.00851739163098189 0.0370749664224161 0.0416666666666667 0.0909725407778288 0.103800196105714 0.696614601156056 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0.0166666666666667 0.0183940242763772 0.0357142857142857 0.0833333333333333 0.0937908496732026 0.135237156456786 0.614482731498396
2 39.6666666666667 31.1666666666667 2.75 4.5 0.666666666666667 0.416666666666667 0.166666666666667 0.639111601244183 0.0384963535239271 0.041267795750895 0.0220792483660131 0.00259666803784451 0.204596979594236 0.00245098039215686 0.0494003730907448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0.00423728813559322 0 0 0 0.0187908496732026 0.0178571428571429 0.0436507936507936 0.033999192897498 0.189212784925646 0.690839518481592 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0.00297619047619048 0 0 0.00694444444444444 0.00925925925925926 0.111111111111111 0.113392857142857 0.132142857142857 0.537863756613757
3 35.5833333333333 27.75 2.66666666666667 3.75 0.416666666666667 0.75 0.25 0.743299947994065 0.0257316331329489 0.00837097920431254 0.0155223727422003 0 0.160672483239407 0.00574712643678161 0.0406554572502848 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0.00208333333333333 0 0 0 0.0104166666666667 0 0.0857142857142857 0.00520833333333333 0.0799038724685276 0.806256841817187 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0.00416666666666667 0 0 0 0.0416666666666667 0.00396825396825397 0 0.0717261904761905 0.778472222222222
4 37.4166666666667 27.5833333333333 3.25 5.5 0.25 0.75 0.0833333333333333 0.794964563010588 0.0178063043839805 0.0162802233296419 0.00342377260981912 0.00280604005167959 0.120450184144712 0.00652454780361757 0.0377443646659618 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0.00694444444444444 0 0 0.00555555555555556 0.0541666666666667 0.0263759689922481 0.0180555555555556 0.0615274841437632 0.824040991308433 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0375 0.0208333333333333 0.0902777777777778 0.0166666666666667 0.0518055555555556 0.61625
5 39.5833333333333 29.4166666666667 2.41666666666667 6 0.333333333333333 1 0.416666666666667 0.806262676266557 0.00827341938648118 0.00744047619047619 0.00590277777777778 0.000936329588014981 0.133165484588921 0.00833333333333333 0.0296855028684383 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0.00744047619047619 0 0 0 0.0045045045045045 0 0 0 0.0166666666666667 0 0.0225252525252525 0.00558558558558559 0.0788623742790409 0.862162887996221 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0.00641025641025641 0.00641025641025641 0 0 0.0416666666666667 0.0529788838612368 0.00320512820512821 0.0891691641691642 0.791826310943958
6 41.3333333333333 31.5833333333333 2.5 5.83333333333333 0.75 0.583333333333333 0.0833333333333333 0.804174255210055 0.0211997870464182 0.00949848024316109 0.0156797989244798 0 0.122992851100251 0.00265957446808511 0.0237952530075496 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00651275133928816 0 0 0 0 0.0149911816578483 0.0147435897435897 0.0180776014109347 0.0762866910817814 0.869388184766558 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.013205467372134 0 0 0 0 0.0305555555555556 0.0337301587301587 0.102325837742504 0.820182980599647
7 48.6666666666667 38.4166666666667 3.41666666666667 5.16666666666667 0.583333333333333 1 0.0833333333333333 0.801257050852358 0.0170843304383677 0.00361394557823129 0.00645614306328592 0.00350578828022437 0.120622776727191 0.00643034991774488 0.0410296151425971 0 0 0 0 0 0 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.00231481481481481 0.00335527164795457 0 0 0 0.0119047619047619 0 0.0133447375197734 0 0 0 0.00203252032520325 0.0248983739837398 0.0341780708531067 0.0145099367660343 0.0925966557841259 0.792734775099672 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0.0043859649122807 0.0043859649122807 0.0043859649122807 0.0043859649122807 0 0 0 0.0104166666666667 0.0043859649122807 0 0.0043859649122807 0.0043859649122807 0.025219298245614 0.0087719298245614 0.126214740282078 0.794289645682835
8 45 34.75 3.16666666666667 5.08333333333333 0.666666666666667 1.16666666666667 0.166666666666667 0.801880856130094 0.00268308080808081 0.00546652421652422 0.00729576909111223 0.00173611111111111 0.139426431613558 0.0028823896011396 0.0386288374283801 0 0 0 0 0 0.00833333333333333 0 0 0 0.00308641975308642 0 0 0 0.00555555555555556 0 0 0 0.00603864734299517 0.00555555555555556 0.00555555555555556 0 0 0.0123188405797101 0 0.013707729468599 0.0931289356974952 0.846719427158114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0.0119047619047619 0 0 0 0 0 0.0119047619047619 0 0 0.00714285714285714 0.00476190476190476 0 0.00238095238095238 0 0 0.012797619047619 0.106512605042017 0.830689775910364
9 55.5 42.0833333333333 3.91666666666667 7.25 1 0.75 0.5 0.792988727080444 0.0176721717913441 0.00493447009399153 0.0145512820512821 0.0041284916998262 0.129532575434078 0.00536361002462697 0.0308286718244066 0 0 0 0.00208333333333333 0.0113636363636364 0.00208333333333333 0 0 0 0 0 0.00922619047619048 0 0.000744047619047619 0 0.00965909090909091 0 0.00783730158730159 0.00453192640692641 0 0 0.013047138047138 0.00757575757575758 0.00394917582417582 0.0347598003848004 0.076391317016317 0.816747951122951 0 0 0 0 0 0 0.00124378109452736 0.00124378109452736 0.00396825396825397 0.00396825396825397 0.00396825396825397 0.00396825396825397 0.00793650793650794 0.0119047619047619 0 0.0095771144278607 0 0 0 0 0.00521203506278133 0 0 0.0119047619047619 0.00124378109452736 0 0 0 0.0361111111111111 0.00595238095238095 0.021878701729448 0.117238213693438 0.752680052120351
10 36.5833333333333 28.8333333333333 3.25 2.83333333333333 0.333333333333333 1.08333333333333 0.25 0.746983538104535 0.0238341705804253 0.0183122431446099 0.00806051587301587 0.00297619047619048 0.161032976949932 0.0164517195767196 0.0223486452945723 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0.0119047619047619 0 0 0.00277777777777778 0 0.0208333333333333 0.0300595238095238 0.0384259259259259 0.0854871553884712 0.798474484823169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0.0422453703703704 0 0.0725403069153069 0.774103211603212
