"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oo_Proportion" "Transition_og_Proportion" "Transition_gh_Proportion" "Transition_ce_Proportion" "Transition_se_Proportion" "Transition_ji_Proportion" "Transition_oc_Proportion" "Transition_jh_Proportion" "Transition_hg_Proportion" "Transition_jj_Proportion" "Transition_jg_Proportion" "Transition_so_Proportion" "Transition_co_Proportion" "Transition_ie_Proportion" "Transition_eg_Proportion" "Transition_cg_Proportion" "Transition_ii_Proportion" "Transition_gg_Proportion" "Transition_sj_Proportion" "Transition_oi_Proportion" "Transition_gj_Proportion" "Transition_sh_Proportion" "Transition_es_Proportion" "Transition_sc_Proportion" "Transition_ig_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_si_Proportion" "Transition_gi_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_os_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jgs_Proportion" "Transition_ess_Proportion" "Transition_sso_Proportion" "Transition_soo_Proportion" "Transition_ghs_Proportion" "Transition_sis_Proportion" "Transition_ssg_Proportion" "Transition_csg_Proportion" "Transition_sjh_Proportion" "Transition_jhs_Proportion" "Transition_esg_Proportion" "Transition_sgg_Proportion" "Transition_ggs_Proportion" "Transition_isg_Proportion" "Transition_hss_Proportion" "Transition_gsi_Proportion" "Transition_sgs_Proportion" "Transition_gsg_Proportion" "Transition_cgs_Proportion" "Transition_gii_Proportion" "Transition_iig_Proportion" "Transition_scs_Proportion" "Transition_shs_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_oss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 133.916666666667 112.666666666667 12 7.91666666666667 0.916666666666667 0.25 0.166666666666667 0.410630846731241 0.0446693625509338 0.0713998887933601 0.0527213271251371 0.01984025003792 0.217171703690401 0.0294345239001768 0.15413209717083 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0.00105485232067511 0.00105485232067511 0.00105485232067511 0.00111111111111111 0.00181159420289855 0.00208333333333333 0.00308641975308642 0.00308641975308642 0.00313818565400844 0.00403381642512077 0.00467804072647221 0.00752637130801688 0.0118895893441848 0.0237184447668762 0.0288326300984529 0.034736801915072 0.0350730961235914 0.0597441014128319 0.115336011617428 0.158509514208927 0.497385108962801 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00347222222222222 0.00347222222222222 0.0036231884057971 0.0036231884057971 0.0036231884057971 0.00462962962962963 0.00925925925925926 0.0181352966679054 0.040997383252818 0.0723824786324786 0.146215006812833 0.207664049919485 0.479697757958628
2 57.75 48.6666666666667 5.16666666666667 3.08333333333333 0.333333333333333 0.166666666666667 0.333333333333333 0.508051077166308 0.0434623605553749 0.0647155632270773 0.0472438400799435 0.0179409044713492 0.153080465476697 0.0257957723933176 0.139710016629933 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0 0 0 0 0 0 0 0 0.00177304964539007 0 0.0833333333333333 0.00732860520094563 0.0252318603382433 0 0 0.0318306885836951 0.026265842801458 0.0154296828672407 0.116309317673795 0.0815427480321097 0.609143277320891 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0.0412878787878788 0 0 0 0 0 0 0 0 0.0791666666666667 0.0573593073593074 0 0.133207070707071 0.0376984126984127 0.561002886002886
3 49.1666666666667 40.5833333333333 3.58333333333333 3.83333333333333 0.75 0.333333333333333 0.0833333333333333 0.570866287285433 0.0364155182893413 0.0419017544323571 0.0386079465104889 0.0125315885202891 0.167328792857623 0.026715002276443 0.105633109828025 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0.00595238095238095 0.00170068027210884 0 0 0 0.00490196078431373 0 0.00490196078431373 0 0.00510204081632653 0.0271335807050093 0 0 0.00416666666666667 0.047706809996726 0.0797619047619048 0.0210884353741497 0.0744469504973707 0.717184247436348 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0.00925925925925926 0 0.00378787878787879 0.00757575757575758 0 0 0 0.0138888888888889 0 0.0523989898989899 0.106102693602694 0.137037037037037 0.0223063973063973 0.0535563973063973 0.590298821548822
4 38.6666666666667 31.75 3.83333333333333 2 0.666666666666667 0.25 0.166666666666667 0.556388402304654 0.0395760491037988 0.0375942681749453 0.0537609475706772 0.0145320911563849 0.183914414484024 0.0260322639823441 0.0882015632231713 0 0 0 0 0 0 0 0 0.0028735632183908 0.0028735632183908 0.00694444444444444 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0.00837418300653595 0 0 0.0126774847870183 0.0106490872210953 0 0 0.00777552400270453 0.0652600919039391 0.105034996118498 0.0411601364103054 0.0604113452532993 0.671063619631064 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.0104166666666667 0 0 0 0 0.0104166666666667 0.0104166666666667 0 0 0 0 0 0.03125 0.104895104895105 0.215277777777778 0.0284090909090909 0.00641025641025641 0.572091103341103
5 43.1666666666667 34 3.83333333333333 4.08333333333333 0.5 0.583333333333333 0.166666666666667 0.678437872430173 0.0385402845276034 0.0397387644896703 0.0191274581899582 0.00424249663380098 0.125058831818343 0.0190285685530251 0.0758257233574263 0 0 0 0 0 0 0.00193798449612403 0.00925925925925926 0 0 0 0 0 0 0 0.00333333333333333 0 0.00387596899224806 0.00925925925925926 0 0 0 0.00148809523809524 0.00387596899224806 0 0.00342607973421927 0.0344608782690178 0.00193798449612403 0 0.0107473544973545 0.0416621943947525 0.0152713178294574 0.0221612254025045 0.0620698366555925 0.691899925817077 0 0 0 0 0 0 0 0.00520833333333333 0.0166666666666667 0.0166666666666667 0 0.00520833333333333 0 0 0.0193548387096774 0 0.00268817204301075 0 0 0 0 0 0 0.0251776113671275 0.0254464285714286 0.025 0.0235233516483516 0.0236895161290323 0.561370081531372
6 40.6666666666667 30.4166666666667 5.25 3.75 0.416666666666667 0.666666666666667 0.166666666666667 0.580955668484601 0.0230833594659592 0.0276727318991694 0.103598495975733 0.00230314347961407 0.194534226336765 0.00993024227773862 0.0579221320804198 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0175665456745312 0.0104166666666667 0 0 0.00771604938271605 0.0192901234567901 0.029320987654321 0.0321360153256705 0.0653761839144477 0.648038539035968 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0.0234848484848485 0.0228535353535354 0.0457070707070707 0.00694444444444444 0.0448833573833574 0.681884319384319
7 42.75 33.0833333333333 5.75 2.83333333333333 0.583333333333333 0.333333333333333 0.166666666666667 0.685927481398097 0.036224334887098 0.0221657633242999 0.0319386078688163 0.00255947003914484 0.142392831129491 0.0262423372896831 0.0525491740633703 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0.00416666666666667 0 0.0036231884057971 0.00231481481481481 0 0 0 0.00231481481481481 0.0425925925925926 0 0 0.00601851851851852 0.0217592592592593 0.051610305958132 0.043287037037037 0.0953703703703704 0.706109098228663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0.089520202020202 0.0358585858585859 0.106060606060606 0.0263888888888889 0.0208333333333333 0.617171717171717
8 36.5 26.6666666666667 4.5 3.66666666666667 0.666666666666667 0.916666666666667 0.0833333333333333 0.661029231874232 0.0192273966736057 0.0303453519385896 0.0324008179523301 0.00535949823683006 0.147572749102899 0.014328265341373 0.0897366888801403 0 0 0.00245098039215686 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00661764705882353 0.0119047619047619 0 0 0 0 0 0 0.0177287581699346 0.0208333333333333 0.00555555555555556 0.00245098039215686 0.00490196078431373 0.00661764705882353 0.051201832084185 0.080649824032177 0.145063559034147 0.623189826866298 0 0 0 0 0.00595238095238095 0.0277777777777778 0.0277777777777778 0 0 0 0 0.00833333333333333 0 0 0.00595238095238095 0 0 0.00833333333333333 0 0 0 0 0 0.0277777777777778 0.0135416666666667 0.0650462962962963 0.0833333333333333 0.0255456349206349 0.53396164021164
9 31.9166666666667 23.6666666666667 3.5 3.91666666666667 0.583333333333333 0.166666666666667 0.0833333333333333 0.67497410483613 0.0184539674607141 0.0573845042027282 0.0168849206349206 0.00405572623314559 0.157319184659446 0.0225856477803085 0.0483419441926076 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.00347222222222222 0.00198412698412698 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0.00655864197530864 0.00308641975308642 0 0 0.0303932178932179 0.0125110229276896 0.0211640211640212 0.0560866602533269 0.160440716690717 0.607080727914061 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0178571428571429 0 0 0 0 0 0 0 0 0.00694444444444444 0.0261330409356725 0.0385964912280702 0.0329573934837093 0.138810568086884 0.488700918964077
10 32.75 26.5 2.66666666666667 2.66666666666667 0.5 0.416666666666667 0 0.66355988992389 0.04165073474284 0.0213577660891968 0.0259037094369912 0.0016025641025641 0.153896629562026 0.00319809941520468 0.0888306067272868 0.00333333333333333 0.00333333333333333 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0.0043859649122807 0 0.00641025641025641 0 0 0 0 0 0 0 0.011039886039886 0.0341880341880342 0 0 0 0.0367933723196881 0.0216081871345029 0.0412376048817696 0.242012670565302 0.508990690214946 0 0 0.00694444444444444 0.00694444444444444 0 0 0.0104166666666667 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.0833333333333333 0.0451388888888889 0.0347222222222222 0.0520833333333333 0.489583333333333
