"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_og_Proportion" "Transition_jc_Proportion" "Transition_sh_Proportion" "Transition_ji_Proportion" "Transition_so_Proportion" "Transition_sj_Proportion" "Transition_ic_Proportion" "Transition_ge_Proportion" "Transition_oi_Proportion" "Transition_ei_Proportion" "Transition_eg_Proportion" "Transition_gj_Proportion" "Transition_gh_Proportion" "Transition_gi_Proportion" "Transition_ii_Proportion" "Transition_ij_Proportion" "Transition_jg_Proportion" "Transition_es_Proportion" "Transition_sc_Proportion" "Transition_hs_Proportion" "Transition_gg_Proportion" "Transition_se_Proportion" "Transition_js_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_os_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ggs_Proportion" "Transition_jgs_Proportion" "Transition_sos_Proportion" "Transition_csi_Proportion" "Transition_sgg_Proportion" "Transition_osg_Proportion" "Transition_ess_Proportion" "Transition_ics_Proportion" "Transition_gse_Proportion" "Transition_sis_Proportion" "Transition_ssg_Proportion" "Transition_gij_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_oss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 101.416666666667 82.5833333333333 9.83333333333333 7 1.16666666666667 0.416666666666667 0.333333333333333 0.420957192840951 0.0359635457426209 0.033659445561245 0.0409466029997861 0.0240254160698055 0.231890224923266 0.0152414278813435 0.113982810647649 0 0 0 0 0 0 0 0 0 0.00128205128205128 0.00132275132275132 0.00132275132275132 0.00132275132275132 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00252525252525253 0.00252525252525253 0.00347222222222222 0.00476579520697168 0.00479497354497354 0.00509648303765951 0.00633255633255633 0.00637325637325637 0.0101139601139601 0.0203983108394873 0.045159851042204 0.086819036083742 0.135531353178412 0.570563613945967 0 0 0 0 0 0 0 0 0.00308641975308642 0.00308641975308642 0.00416666666666667 0.00520833333333333 0.0103395061728395 0.0135416666666667 0.0151515151515152 0.0243055555555556 0.0283950617283951 0.0307239057239057 0.114421997755331 0.580906285072952
2 36.4545454545455 27.1818181818182 3.63636363636364 4.27272727272727 0.636363636363636 0.636363636363636 0 0.600823186566603 0.0482695503695947 0.0219295615540018 0.0286251270482122 0.0134413757831479 0.14613291376142 0.00230149597238205 0.0475676980355472 0 0 0 0 0 0 0 0.00555555555555556 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0228395061728395 0 0.0104166666666667 0.0159722222222222 0.0287037037037037 0.124537037037037 0.0909543723650211 0.445465380721399 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0300925925925926 0 0.00925925925925926 0.00925925925925926 0.111321548821549 0.423400673400673
3 42.9090909090909 32.2727272727273 3.90909090909091 5.54545454545455 0.272727272727273 0.727272727272727 0.181818181818182 0.614944380683418 0.0376949806125282 0.028060561972449 0.050581319080262 0.0342301238434363 0.17486442808361 0.0093408092282811 0.050283396496015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.0107962213225371 0 0 0 0 0.0043859649122807 0.0043859649122807 0.0192307692307692 0.0243969298245614 0.133717789145421 0.698919693985483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.11827485380117 0.715058479532164
4 38.0909090909091 29.1818181818182 1.90909090909091 5.63636363636364 0.272727272727273 0.909090909090909 0.181818181818182 0.722656296065152 0.0154370033677372 0.0156708507223971 0.0350571536138546 0.00445809085823471 0.140184512643772 0.00234301780693533 0.0641930749219169 0 0 0 0 0 0.00136612021857923 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0.00244837130083032 0 0 0.00108225108225108 0 0.00216450216450216 0 0.00108225108225108 0.01497113997114 0.00324675324675325 0.0492424242424242 0.04707319092565 0.780100773543396 0 0 0 0 0 0.00225225225225225 0.00485641891891892 0.0277777777777778 0 0 0 0 0.00225225225225225 0 0.0045045045045045 0.00225225225225225 0.0945945945945946 0 0.0548048048048048 0.640038475975976
5 36.7272727272727 30 3 2.72727272727273 0.272727272727273 0.636363636363636 0 0.636252796430569 0.0235259075462539 0.00644975878184833 0.0357333379721439 0.018034035035681 0.116337133800403 0.0161033739251143 0.0566545655988953 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0 0 0.00879120879120879 0 0.0101495726495726 0.0119047619047619 0.00320512820512821 0.00699300699300699 0.0339590964590965 0.012530525030525 0.0456663706663707 0.610631498131498 0 0 0 0 0.00833333333333333 0 0 0 0 0 0.00833333333333333 0 0 0 0.0138888888888889 0.00925925925925926 0.00833333333333333 0.0416666666666667 0.00925925925925926 0.650925925925926
6 28.8181818181818 22.1818181818182 2.09090909090909 3.54545454545455 0.636363636363636 0.181818181818182 0.0909090909090909 0.73871705226437 0.0110557047265908 0.00904746248326719 0.0134245668603716 0.0194580785900858 0.0916773507340114 0.00345224395857307 0.0222584494736393 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0.0043859649122807 0.00260416666666667 0.0043859649122807 0.0043859649122807 0.0157620614035088 0.0676413816800065 0.644262074878055 0 0 0 0.0104166666666667 0 0 0 0 0 0.0104166666666667 0 0 0.00555555555555556 0 0 0 0.0159722222222222 0.0104166666666667 0.0719907407407407 0.541898148148148
7 46.1818181818182 33.8181818181818 3.63636363636364 7.09090909090909 0.272727272727273 1.18181818181818 0.181818181818182 0.719922603705605 0.0301341631468466 0.00303030303030303 0.0296647250447141 0.113603779732812 0.0837182182770856 0.00542475555061559 0.0145014515120183 0 0 0 0.00104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00728052584670232 0.00104166666666667 0.00245098039215686 0 0.00349264705882353 0.00825844226579521 0.0358257823331353 0.690608288770053 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0 0.00714631782945736 0 0.00520833333333333 0.00520833333333333 0.0297157622739018 0.697512919896641
8 46 32.8181818181818 3.72727272727273 7.63636363636364 0.454545454545455 1.27272727272727 0.0909090909090909 0.794141527823717 0.00210657144963714 0.0104123876934096 0.0492228990940331 0.0327601324531971 0.0898999485790253 0.00366872584025869 0.017787807066722 0 0 0.00115740740740741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0.00115740740740741 0.00124378109452736 0.00756766381766382 0 0.0152405464905465 0.0489074669612199 0.754972640401474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0233585858585859 0 0 0.0410272597772598 0.768947487697488
9 40.7272727272727 30.5454545454545 2.81818181818182 5.54545454545455 0.727272727272727 1 0.0909090909090909 0.803189995430255 0.0205907188050045 0.0130070146303913 0.0214922162974111 0.00385586635586636 0.1054711378088 0.0017968142968143 0.0305962363754572 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0 0.00393518518518518 0 0.00252525252525253 0 0 0.00532407407407407 0.00185185185185185 0.00694444444444444 0.00347222222222222 0.00555555555555556 0.00717592592592593 0.0199680629827689 0.858062240047534 0 0 0.00308641975308642 0 0 0 0.00747238466536712 0 0 0.00308641975308642 0 0 0 0.00462962962962963 0.0114197530864198 0 0.00308641975308642 0.00308641975308642 0.0248677248677249 0.772598162071846
10 37.0909090909091 26.0909090909091 3.36363636363636 6.18181818181818 0.181818181818182 1.18181818181818 0.0909090909090909 0.838777396931135 0.00748138151361552 0.0109398131363485 0.0226343002330002 0.0220750815239004 0.0707178551833563 0.00494095365418895 0.0224332178244555 0 0.00157232704402516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0.00595238095238095 0 0.0139153439153439 0 0 0.00138888888888889 0 0.0119708994708995 0.00595238095238095 0.00132275132275132 0.0126851851851852 0.0427628032345013 0.647847409404013 0 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0.00260416666666667 0 0.0053030303030303 0.634949945887446
