"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_jo_Proportion" "Transition_hi_Proportion" "Transition_ho_Proportion" "Transition_oh_Proportion" "Transition_co_Proportion" "Transition_hc_Proportion" "Transition_ch_Proportion" "Transition_eo_Proportion" "Transition_ij_Proportion" "Transition_cc_Proportion" "Transition_he_Proportion" "Transition_ej_Proportion" "Transition_ih_Proportion" "Transition_oi_Proportion" "Transition_oj_Proportion" "Transition_ji_Proportion" "Transition_ce_Proportion" "Transition_cj_Proportion" "Transition_ci_Proportion" "Transition_oo_Proportion" "Transition_eh_Proportion" "Transition_gj_Proportion" "Transition_ge_Proportion" "Transition_oe_Proportion" "Transition_go_Proportion" "Transition_cg_Proportion" "Transition_je_Proportion" "Transition_jg_Proportion" "Transition_ig_Proportion" "Transition_gc_Proportion" "Transition_jj_Proportion" "Transition_ee_Proportion" "Transition_ii_Proportion" "Transition_ic_Proportion" "Transition_ec_Proportion" "Transition_sc_Proportion" "Transition_jc_Proportion" "Transition_js_Proportion" "Transition_hg_Proportion" "Transition_so_Proportion" "Transition_sj_Proportion" "Transition_sh_Proportion" "Transition_ie_Proportion" "Transition_gi_Proportion" "Transition_hs_Proportion" "Transition_og_Proportion" "Transition_si_Proportion" "Transition_cs_Proportion" "Transition_io_Proportion" "Transition_gh_Proportion" "Transition_se_Proportion" "Transition_ei_Proportion" "Transition_eg_Proportion" "Transition_os_Proportion" "Transition_gg_Proportion" "Transition_is_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_sgh_Proportion" "Transition_soo_Proportion" "Transition_cso_Proportion" "Transition_osg_Proportion" "Transition_gjj_Proportion" "Transition_ogg_Proportion" "Transition_ohi_Proportion" "Transition_his_Proportion" "Transition_ccc_Proportion" "Transition_cos_Proportion" "Transition_isi_Proportion" "Transition_hos_Proportion" "Transition_sos_Proportion" "Transition_ggi_Proportion" "Transition_gsj_Proportion" "Transition_sij_Proportion" "Transition_shg_Proportion" "Transition_sig_Proportion" "Transition_ohs_Proportion" "Transition_igj_Proportion" "Transition_scc_Proportion" "Transition_hgs_Proportion" "Transition_jsj_Proportion" "Transition_oes_Proportion" "Transition_sjg_Proportion" "Transition_jgs_Proportion" "Transition_ois_Proportion" "Transition_hes_Proportion" "Transition_hcs_Proportion" "Transition_cse_Proportion" "Transition_gse_Proportion" "Transition_ssh_Proportion" "Transition_hgg_Proportion" "Transition_osi_Proportion" "Transition_jis_Proportion" "Transition_cgg_Proportion" "Transition_seg_Proportion" "Transition_egg_Proportion" "Transition_eos_Proportion" "Transition_sce_Proportion" "Transition_sso_Proportion" "Transition_eeg_Proportion" "Transition_sej_Proportion" "Transition_ijs_Proportion" "Transition_sie_Proportion" "Transition_ies_Proportion" "Transition_seh_Proportion" "Transition_iee_Proportion" "Transition_eei_Proportion" "Transition_heg_Proportion" "Transition_esj_Proportion" "Transition_sgc_Proportion" "Transition_cee_Proportion" "Transition_gcs_Proportion" "Transition_eee_Proportion" "Transition_iis_Proportion" "Transition_ise_Proportion" "Transition_esc_Proportion" "Transition_cce_Proportion" "Transition_sei_Proportion" "Transition_isg_Proportion" "Transition_ces_Proportion" "Transition_cgs_Proportion" "Transition_jgg_Proportion" "Transition_iig_Proportion" "Transition_gjg_Proportion" "Transition_ege_Proportion" "Transition_sgj_Proportion" "Transition_gig_Proportion" "Transition_gis_Proportion" "Transition_csg_Proportion" "Transition_sgi_Proportion" "Transition_scj_Proportion" "Transition_ecs_Proportion" "Transition_esg_Proportion" "Transition_gsh_Proportion" "Transition_ehs_Proportion" "Transition_cis_Proportion" "Transition_igs_Proportion" "Transition_eis_Proportion" "Transition_sjs_Proportion" "Transition_ssi_Proportion" "Transition_iii_Proportion" "Transition_gsi_Proportion" "Transition_csi_Proportion" "Transition_see_Proportion" "Transition_shs_Proportion" "Transition_hss_Proportion" "Transition_gsg_Proportion" "Transition_egs_Proportion" "Transition_sii_Proportion" "Transition_igg_Proportion" "Transition_ggs_Proportion" "Transition_gsc_Proportion" "Transition_ssj_Proportion" "Transition_ics_Proportion" "Transition_sjj_Proportion" "Transition_scs_Proportion" "Transition_ssc_Proportion" "Transition_sis_Proportion" "Transition_jcs_Proportion" "Transition_jss_Proportion" "Transition_hgi_Proportion" "Transition_hsg_Proportion" "Transition_sse_Proportion" "Transition_oss_Proportion" "Transition_ogs_Proportion" "Transition_ggg_Proportion" "Transition_ssg_Proportion" "Transition_css_Proportion" "Transition_ios_Proportion" "Transition_sgs_Proportion" "Transition_ses_Proportion" "Transition_ess_Proportion" "Transition_sgg_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 49.5 35.9166666666667 5.5 5.08333333333333 1.5 0.75 0.75 0.529343567941279 0.0249216532258995 0.0401942791603405 0.0826784338086658 0.090394830213647 0.156073292600315 0.0139142679372564 0.0624796751125969 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000915750915750916 0.000915750915750916 0.000915750915750916 0.000915750915750916 0.000915750915750916 0.00183150183150183 0.00183150183150183 0.00219298245614035 0.00274725274725275 0.00308641975308642 0.00308641975308642 0.00310873337189127 0.0043859649122807 0.00490196078431373 0.00527940220922677 0.00527940220922677 0.00530171582803162 0.00863504916136495 0.00984219598770682 0.0119047619047619 0.0119047619047619 0.0134005793888618 0.013677811550152 0.0166666666666667 0.0168226834893502 0.0257132778871575 0.0311450278116945 0.0319378603374903 0.0580379891762112 0.0941575616115731 0.525208427522619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00347222222222222 0.00416666666666667 0.00531914893617021 0.00641025641025641 0.00641025641025641 0.00641025641025641 0.00818330605564648 0.00925925925925926 0.00925925925925926 0.0152761360651432 0.0187450748620961 0.0208333333333333 0.0256156422379827 0.0263974763088238 0.0334164292497626 0.0368114909781576 0.0550213675213675 0.0607975439978986 0.554223242609767
2 65.8333333333333 46.0833333333333 9.16666666666667 6.83333333333333 1.91666666666667 1.16666666666667 0.666666666666667 0.526327620777588 0.0428672603429078 0.0351617079147975 0.116117936246814 0.0734842067343121 0.143356583325471 0.0142602448474515 0.0484244398106585 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000801282051282051 0.000801282051282051 0.000801282051282051 0.00111111111111111 0.00111111111111111 0.00543091168091168 0 0.000801282051282051 0.00105485232067511 0.00396583901330737 0.00462962962962963 0.000801282051282051 0.000801282051282051 0.00111111111111111 0.0072210351377018 0 0.00833333333333333 0.00518095691288139 0.00371226874391431 0 0.00316455696202532 0.0112443200259656 0.00974576271186441 0.00748079627826463 0.0279800737409789 0 0 0.00734692034466761 0 0.00221371142981312 0.0173781676413255 0.0309019830347514 0.0215207729349008 0.0320840545998774 0.0434522486428184 0.079180640857442 0.575302805048591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0.00189393939393939 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.0028735632183908 0.0047675026123302 0.00606060606060606 0.0138888888888889 0.0277777777777778 0 0 0 0 0 0 0.00604013104013104 0.00225225225225225 0.0119539994539995 0 0 0.00208333333333333 0.0166666666666667 0 0 0.0105124521072797 0.0531892197840474 0 0.0425599343362501 0.00189393939393939 0.041289585039585 0.00842911877394636 0.0247735392131944 0.0771608206953035 0.546205457230866
3 70 48.8333333333333 8.91666666666667 6.25 2.41666666666667 1.41666666666667 2.16666666666667 0.572292803736503 0.0364023375883734 0.0319836097875307 0.0508395321866688 0.0872301844755899 0.137545958250717 0.00924242244795745 0.0744631515266595 0 0 0 0 0 0 0 0 0 0 0 0 0.000462962962962963 0.000462962962962963 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.00128205128205128 0.00189393939393939 0.00193798449612403 0.00283400809716599 0.00286391042204996 0.00329697106012895 0 0 0.0011039886039886 0.000462962962962963 0.000462962962962963 0.00491681521093286 0 0 0.00174501424501425 0.000462962962962963 0 0.000641025641025641 0.00320512820512821 0 0.00377073906485671 0 0 0.00128205128205128 0.00219298245614035 0 0.00138888888888889 0.0073838929102087 0 0.011938102072968 0.0208446608904275 0 0.0011039886039886 0.00520590520590521 0.0138888888888889 0.000462962962962963 0.0116191097531116 0.0259052209633605 0.0397330195737678 0.0278904880649067 0.041993387271712 0.0820036302687181 0.671433352481695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00347222222222222 0.00347222222222222 0.00378787878787879 0.00500949667616334 0.0208333333333333 0 0.00591168091168091 0 0 0 0.00320512820512821 0.00347222222222222 0.00854215229215229 0.000641025641025641 0 0.000641025641025641 0 0.00128205128205128 0 0 0 0 0 0.00128205128205128 0.0101495726495726 0 0.00747238466536712 0 0 0.00384615384615385 0.0178715574548908 0 0.0151098901098901 0.0223036223036223 0.0421474358974359 0 0.00641025641025641 0.00192307692307692 0.0177738927738928 0.0190984940984941 0.0328962703962704 0.067105575548558 0.664082915946951
4 68.0833333333333 48 8.25 6.5 2 1.5 1.83333333333333 0.543728726852607 0.0572388427054539 0.0252292235922093 0.0652216385505869 0.080104243356256 0.139613490917997 0.0192766851954876 0.069587148829403 0 0 0 0 0 0 0 0 0.000484496124031008 0.000968992248062015 0.000968992248062015 0.000968992248062015 0 0 0 0 0.00242248062015504 0.000484496124031008 0.000484496124031008 0 0.000484496124031008 0 0 0 0.000484496124031008 0 0.000484496124031008 0.000968992248062015 0.0189172891378774 0.000968992248062015 0.000484496124031008 0.00461696306429549 0.011739417989418 0 0 0.00193798449612403 0.000484496124031008 0.0050284919470966 0 0.00273674837628326 0.00433718361239026 0.000484496124031008 0.000968992248062015 0.00239919911626622 0.00864242938504513 0.000484496124031008 0.00840897326875439 0.00683573939387893 0 0.000484496124031008 0.0127359624623647 0.00242248062015504 0.000968992248062015 0.0265578078078078 0.0292057985286439 0.035982818122011 0.0252056226494339 0.056783707717577 0.0666572538257332 0.654313244757914 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.00193798449612403 0.00193798449612403 0.00196078431372549 0.00196078431372549 0.00196078431372549 0.00203252032520325 0.00294117647058824 0 0 0 0 0 0 0 0 0 0.00219298245614035 0 0 0 0 0.000980392156862745 0.000980392156862745 0.00193798449612403 0.000980392156862745 0 0.00536635706914345 0 0 0 0.00399330463892874 0 0.0106669146646827 0 0.000980392156862745 0 0 0.00291837665298678 0 0 0 0.000980392156862745 0.00196078431372549 0 0.0043859649122807 0 0.00926512587899297 0 0 0.00935966170807219 0 0.000980392156862745 0.00609756097560976 0.0463196489550035 0.0121835025319797 0 0.0151474154060426 0.00632394940840473 0.0393076221243889 0.0433067364729375 0.0630490956072351 0.0622228319734418 0.619654317887408
5 62.1666666666667 41.75 8.16666666666667 7 1.91666666666667 1.41666666666667 1.91666666666667 0.555033577261128 0.0421999986302136 0.0398524160666618 0.0702674090504417 0.0633828539974442 0.147253866434028 0.0203679725322814 0.0616419060278021 0 0 0 0 0 0.000423011844331641 0.000423011844331641 0.000816993464052288 0 0 0.000423011844331641 0.000423011844331641 0 0 0 0.000423011844331641 0.000846023688663283 0 0.000846023688663283 0.0028735632183908 0.000423011844331641 0.000423011844331641 0 0 0.0028735632183908 0.00329657506272245 0 0 0.00134408602150538 0.000423011844331641 0 0.0104483925549915 0.00303613339883194 0.00134408602150538 0 0.000846023688663283 0 0.013591121727879 0.00273782665914646 0.00134408602150538 0.000816993464052288 0.000846023688663283 0.00126903553299492 0.000423011844331641 0.021136491821771 0.000816993464052288 0.00345914524316358 0.0357444731674367 0 0 0.00684323999781671 0.00126903553299492 0.000846023688663283 0.0224515476186654 0.0092730564197733 0.0337245036653382 0.0537490786391517 0.0300400190937261 0.0889105782689643 0.638752155658876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.00138888888888889 0.00152905198776758 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0 0.000764525993883792 0 0 0.00152905198776758 0.00490196078431373 0 0 0 0 0 0 0 0 0 0.000764525993883792 0 0 0 0 0.000764525993883792 0.000764525993883792 0.000764525993883792 0 0.000764525993883792 0.00138888888888889 0.000764525993883792 0 0 0.00260416666666667 0.000764525993883792 0.00152905198776758 0.00229357798165138 0 0 0.00413321865443425 0 0.00708460754332314 0 0 0.00260416666666667 0 0 0.000764525993883792 0.000764525993883792 0 0.0251401630988787 0 0.000764525993883792 0.00413321865443425 0.0840978593272171 0 0 0.013932924087066 0.0870158002038736 0 0.00705537566708641 0.00229357798165138 0.0270897043832824 0.00642679663608563 0.0355307834142831 0.0782580512379895 0.57555727076237
6 67.5 47.75 8.25 6.91666666666667 1.58333333333333 1.83333333333333 1.16666666666667 0.538382667441076 0.0637323077184394 0.0337637186804406 0.0472543365036711 0.0756165161701674 0.173341692816725 0.0097399676526711 0.0581687930168096 0 0 0 0 0.00181159420289855 0 0 0.00181159420289855 0 0 0 0 0 0.00189393939393939 0 0 0 0 0 0 0.000672043010752688 0.00320512820512821 0 0 0.000737463126843658 0.00896057347670251 0.000672043010752688 0.000672043010752688 0.00214696926444 0 0 0.00134408602150538 0.0177660601047698 0 0 0.00641025641025641 0 0.00847047085985139 0.00354560622914349 0 0.00134408602150538 0.00199479433350401 0.000672043010752688 0 0.00577111060982029 0.00140950613759635 0.0303103368333171 0.00461463434272455 0 0 0.00517180925666199 0.00140950613759635 0.0044997662459093 0.0214715937016077 0.0182021039151263 0.0286516843101882 0.036693365393765 0.0383370562688911 0.0922090582686339 0.647117674681764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0.00130208333333333 0.00416666666666667 0 0 0 0 0 0 0 0 0 0.00260416666666667 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0.00130208333333333 0 0.00268817204301075 0 0 0.0304239471326165 0 0.0119047619047619 0 0.00130208333333333 0 0 0.00134408602150538 0.00333333333333333 0.0290798611111111 0 0 0 0 0 0 0 0 0.00740673449612403 0 0.00328207051762941 0 0 0.00260416666666667 0.0319502314814815 0.00130208333333333 0.00130208333333333 0.0185231464116029 0.011905428614098 0 0.0130442766941735 0.00130208333333333 0.0495631720430108 0.0119590053763441 0.015354502688172 0.0893726817120947 0.637209495826337
7 58.6666666666667 43.25 6 4.75 1.75 1.58333333333333 1.33333333333333 0.585152458797293 0.0505343511394918 0.0160512830811588 0.036059585856485 0.0477384572299597 0.178841682310894 0.0160357502502472 0.0695864313344711 0 0 0 0 0 0 0 0.00347222222222222 0 0.00128205128205128 0 0 0 0 0 0 0 0 0 0 0 0.0877501064282674 0.00181159420289855 0.0028735632183908 0 0 0 0 0 0.00132275132275132 0.00136612021857923 0 0.00415561450044209 0 0 0.00388685388685389 0 0.00264817150063052 0.00128205128205128 0 0.00560580365554927 0 0 0.00181159420289855 0.00374707259953162 0 0.0130402384500745 0.0081596353454277 0 0 0.00427545031370168 0 0.00290933009512244 0.0133396885446066 0.0239324784971019 0.0187947843076734 0.0165998436725778 0.0363451496410632 0.081949814752266 0.657638015857267 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0.00231481481481481 0.00320512820512821 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0.00551994301994302 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0.00320512820512821 0 0 0 0.00667735042735043 0.00277777777777778 0 0 0 0.00320512820512821 0 0 0 0.00320512820512821 0.00462962962962963 0.00231481481481481 0.00320512820512821 0 0.00231481481481481 0 0 0.00551994301994302 0.00320512820512821 0 0.0138176638176638 0.017485754985755 0.0115740740740741 0 0.0209579772079772 0.00320512820512821 0.0245014245014245 0.0165954415954416 0.0142450142450142 0.057929412205728 0.655069163292847
8 58 41.3333333333333 6.91666666666667 5.41666666666667 1.75 1.58333333333333 1 0.508413251185611 0.0546989493989937 0.0185787635286393 0.0684737056608755 0.0695807538952308 0.194843056776645 0.0143404701063689 0.0710710494476361 0 0 0 0.00378787878787879 0 0 0.000968992248062015 0 0.000925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0 0.000925925925925926 0.00520833333333333 0.00555555555555556 0.00513565891472868 0 0 0.000968992248062015 0.0117328811369509 0 0 0 0 0.00966920189166789 0.000968992248062015 0.0119047619047619 0.00198412698412698 0.00587095303237574 0 0.00811838624338624 0.0108911302952001 0.000925925925925926 0.00189491817398794 0.00970693186835458 0 0 0.00443623746607511 0.000968992248062015 0.00291005291005291 0.027356134106902 0.021766334440753 0.0240147809769903 0.0125739184562714 0.052894615739178 0.0714497072580146 0.680317087086762 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00757575757575758 0.00833333333333333 0 0.00173611111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0.00173611111111111 0.00173611111111111 0 0 0 0 0 0.00173611111111111 0 0.00931186868686869 0.0087719298245614 0.0043859649122807 0 0 0.00785818713450292 0 0 0 0 0 0 0 0 0.0186913780663781 0 0 0.00347222222222222 0.0179022366522367 0 0.00868055555555555 0.0384424603174603 0.00959429824561403 0 0.0238095238095238 0.00173611111111111 0.0157163742690058 0.0204286758563074 0.0216687552213868 0.0803493107769424 0.674996202627781
9 52 38.9166666666667 5 4.91666666666667 1.41666666666667 0.75 1 0.556457489587883 0.057374077204354 0.0540259774483739 0.0401609691067504 0.062122858385293 0.151731552160127 0.00793065846725677 0.0701964176399627 0 0 0.00157232704402516 0 0 0 0 0 0 0.0036231884057971 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0.0841924398625429 0 0 0.00203252032520325 0 0.00539690634030257 0.00446395389843803 0 0 0 0.000859106529209622 0 0 0.0036231884057971 0 0.0227663951530549 0 0.00157232704402516 0.0191881772879479 0 0 0.00203252032520325 0.0109971101952167 0 0.00872074174933541 0.0079720145855139 0.000859106529209622 0 0 0 0.00565570873100035 0.00965946934826029 0.0128415472299053 0.03323479165559 0.0255394449170268 0.035088511659433 0.0837077686554373 0.520650734122524 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00320512820512821 0.00320512820512821 0.00416666666666667 0.00757575757575758 0 0 0 0 0 0.00641025641025641 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0.00148809523809524 0 0.00757575757575758 0.00148809523809524 0 0 0 0 0 0.00938644688644689 0.0168350168350168 0.00641025641025641 0.00148809523809524 0 0.00416666666666667 0 0.00757575757575758 0 0 0 0.00641025641025641 0.00320512820512821 0 0.0556526806526806 0 0 0 0.0184752747252747 0 0.00148809523809524 0.0120650183150183 0.016231684981685 0 0.0154741092241092 0 0.0315018315018315 0.00565476190476191 0.0263736263736264 0.0823489010989011 0.466897916897917
10 54.5 38.5833333333333 6.33333333333333 6.08333333333333 1.41666666666667 1.41666666666667 0.666666666666667 0.59939912028947 0.0525633691511728 0.0325703297281752 0.0310414562239326 0.052873803991693 0.147476070331844 0.00729419390618901 0.0767816563775232 0 0.00134408602150538 0 0.00134408602150538 0.00198412698412698 0 0 0 0.00328207051762941 0.00268817204301075 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0 0 0.00134408602150538 0.00849311793816093 0 0.00134408602150538 0 0 0 0 0.0071232794192946 0.0043859649122807 0.00712723968537922 0.000825082508250825 0 0.00268817204301075 0 0 0 0.00134408602150538 0 0.000825082508250825 0.0136695588462942 0 0 0 0 0 0.0155484626381762 0.00846622477373788 0.0458847482206409 0.0668254665930902 0.0289573259198091 0.0967245067294252 0.582542872373809 0 0 0 0 0 0 0.00277777777777778 0.00277777777777778 0.00277777777777778 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0.00157232704402516 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0305555555555556 0 0 0 0 0 0 0.0277777777777778 0 0 0.00378787878787879 0 0 0 0 0 0 0 0.00435010482180294 0 0 0 0 0 0 0 0 0 0.0128752540119138 0 0 0 0.00157232704402516 0 0.00277777777777778 0 0.00277777777777778 0.00841750841750842 0.00277777777777778 0.00157232704402516 0 0.00595238095238095 0 0 0 0.0210395269218799 0 0 0.00519551544982226 0.0198851257674787 0 0.00519551544982226 0 0.0168067226890756 0.00741106719367589 0.0355304805360299 0.107792560598621 0.490033276259933
