"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_je_Proportion" "Transition_jh_Proportion" "Transition_io_Proportion" "Transition_gh_Proportion" "Transition_ge_Proportion" "Transition_ii_Proportion" "Transition_ch_Proportion" "Transition_ih_Proportion" "Transition_eg_Proportion" "Transition_gc_Proportion" "Transition_cg_Proportion" "Transition_oi_Proportion" "Transition_co_Proportion" "Transition_og_Proportion" "Transition_ig_Proportion" "Transition_se_Proportion" "Transition_jo_Proportion" "Transition_sh_Proportion" "Transition_gi_Proportion" "Transition_ci_Proportion" "Transition_gg_Proportion" "Transition_so_Proportion" "Transition_si_Proportion" "Transition_sj_Proportion" "Transition_jg_Proportion" "Transition_sc_Proportion" "Transition_sg_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ios_Proportion" "Transition_ghs_Proportion" "Transition_jgs_Proportion" "Transition_ggs_Proportion" "Transition_sii_Proportion" "Transition_jsi_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_cgs_Proportion" "Transition_gsi_Proportion" "Transition_hsi_Proportion" "Transition_sgs_Proportion" "Transition_jos_Proportion" "Transition_sos_Proportion" "Transition_sis_Proportion" "Transition_gis_Proportion" "Transition_hss_Proportion" "Transition_scs_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_ess_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 160.583333333333 135.833333333333 13.25 10.5833333333333 0.333333333333333 0.583333333333333 0 0.285761223790813 0.058350274368287 0.106829998323803 0.0609658435450714 0.0227837413408642 0.229821002542208 0.0458729901860127 0.18961492590294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00108225108225108 0.00173611111111111 0.00173611111111111 0.00219298245614035 0.00231481481481481 0.00532875993402309 0.00570211716221903 0.00941558441558442 0.00941558441558442 0.0132614522417154 0.0140692640692641 0.0264976958525346 0.0342873439912914 0.0413589858782983 0.0646654491518668 0.0845507529240551 0.102063208870297 0.127607941757984 0.452713588759854 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0.00238095238095238 0.00238095238095238 0.00641025641025641 0.00746058558558559 0.0416666666666667 0.0501713564213564 0.0820054945054945 0.0833333333333333 0.106417540792541 0.107098803973804 0.157217275967276 0.351204529329529
2 32.4166666666667 26.5 3.41666666666667 2 0.416666666666667 0.0833333333333333 0 0.333013501416279 0.172150740206296 0.148262385762386 0.0973524931858265 0.0192480359147026 0.0780017436267436 0.0360209235209235 0.115950176366843 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0.00490196078431373 0.00490196078431373 0 0 0 0 0 0 0 0.0137566137566138 0.0296296296296296 0.00185185185185185 0.0124777183600713 0.0168067226890756 0.0157407407407407 0.0277777777777778 0.0478535353535353 0.0883627946127946 0.0352843915343915 0.093979536258948 0.35482291401409 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0 0.0277777777777778 0 0.0444444444444444 0.052020202020202 0.0416666666666667 0.0833333333333333 0.0359848484848485 0.0982142857142857 0.271320346320346
3 30.8333333333333 26.25 1.91666666666667 2.41666666666667 0.0833333333333333 0.166666666666667 0 0.366268459104833 0.0926821998328195 0.120002515973428 0.053069350354774 0.0112753906594084 0.130658328146073 0.0281687449209647 0.197875011007699 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0.00260416666666667 0 0 0 0 0.0166666666666667 0 0 0 0 0 0.0208333333333333 0.0234375 0.0138888888888889 0.08125 0.0208333333333333 0.0694444444444444 0.0709325396825397 0.0431547619047619 0.546676587301587 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.0833333333333333 0.138888888888889 0.0486111111111111 0.0416666666666667 0.504166666666667
4 26.25 21.1666666666667 2.66666666666667 2 0.416666666666667 0 0 0.404981664353457 0.0330772261623325 0.0526596485303092 0.0736092595555081 0.0132345491388045 0.231493018215851 0.0701676898362929 0.120776944207445 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0.00193798449612403 0.00193798449612403 0.0204565030146425 0 0 0 0 0.0238095238095238 0.0536575612157007 0.0333333333333333 0.00968992248062015 0.0389880952380952 0.092328811369509 0.0733742463393626 0.467152700873631 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0.00595238095238095 0.0277777777777778 0 0 0 0.00595238095238095 0.1 0 0.0416666666666667 0.0642857142857143 0.0932539682539683 0.40515873015873
5 24.4166666666667 21.3333333333333 1.66666666666667 1.08333333333333 0.0833333333333333 0.25 0 0.364306728683896 0.0728217950536719 0.100652640511131 0.0686098081855849 0.0169493111710093 0.247848825373315 0.0220213449357324 0.10678954608566 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0.00520833333333333 0 0 0.0104166666666667 0 0.0833333333333333 0.00641025641025641 0 0.0949519230769231 0.0592592592592593 0.0659722222222222 0.143563034188034 0.359009971509971 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0.0166666666666667 0 0.0119047619047619 0 0.125 0.0833333333333333 0 0 0.0333333333333333 0.136904761904762 0.242857142857143
6 15.6666666666667 11.4166666666667 1.5 1.91666666666667 0.5 0.25 0.0833333333333333 0.411739866886926 0.0296653917977447 0.0839882747970983 0.0904602546146664 0.0200219510881276 0.149771660801073 0.0577380952380952 0.156614504776269 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.0103383458646617 0 0.0486111111111111 0.0755398110661269 0.0103383458646617 0.157203907203907 0.105418192918193 0.484216952638005 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0.0202380952380952 0.0202380952380952 0.00833333333333333 0.125 0.0799963924963925 0.206349206349206 0.331511544011544
7 15.5 13.0833333333333 1.58333333333333 0.666666666666667 0.166666666666667 0 0 0.474710429952365 0.0322877391425778 0.0460782944653912 0.0845732672345576 0.0248655913978495 0.0660848112461016 0.0503072196620584 0.221092646899098 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0.0238095238095238 0 0.0119047619047619 0.0208333333333333 0.20734126984127 0.0515873015873016 0.327380952380952 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0208333333333333 0 0 0.208333333333333 0 0.270833333333333
8 40.8333333333333 31.6666666666667 3.91666666666667 4.58333333333333 0.416666666666667 0.166666666666667 0.0833333333333333 0.519803148925399 0.060901322356145 0.0424490612656057 0.0768183002498435 0.0201481020821817 0.154746203449195 0.0137125648897224 0.111421296781907 0 0 0 0 0 0 0.00416666666666667 0.0043859649122807 0.00833333333333333 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0.00268817204301075 0.00833333333333333 0 0 0.00416666666666667 0 0.0192225635774023 0.00520833333333333 0.00320512820512821 0.012719298245614 0.0725330955594114 0.0203965053763441 0.0508407944316263 0.095071323970942 0.601228820344907 0 0 0 0 0 0 0.00641025641025641 0.00641025641025641 0 0 0 0 0 0.0138888888888889 0 0 0 0 0.134169071669072 0.0322039072039072 0 0.0330687830687831 0.0350529100529101 0.12257881007881 0.532883782883783
9 14.5 10.25 1.5 2.08333333333333 0.166666666666667 0.25 0.25 0.481473341473341 0.0524140211640212 0.0355224867724868 0.0548254985754986 0.00892857142857143 0.186683455433455 0.0275915750915751 0.15256105006105 0 0 0 0 0 0.0119047619047619 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0.00833333333333333 0.0072463768115942 0.0119047619047619 0 0.0043859649122807 0 0.0036231884057971 0.00833333333333333 0.00757575757575758 0.0119047619047619 0.0224723947550034 0.118900966183575 0.0452898550724638 0.0554645011738833 0.424326709395359 0 0 0.00833333333333333 0.0166666666666667 0.0277777777777778 0.0277777777777778 0 0 0 0 0 0 0 0.00757575757575758 0 0 0.00694444444444444 0 0.00757575757575758 0.0797979797979798 0 0 0.0416666666666667 0.0886363636363636 0.353914141414141
10 14.0833333333333 10.25 1.33333333333333 2 0.333333333333333 0.0833333333333333 0.0833333333333333 0.420152441668835 0.103169872022331 0.0558213871738462 0.130318258699406 0.0222356764364961 0.0930604099149181 0.02612239195231 0.149119562131857 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0108585858585859 0.025 0.0166666666666667 0.00505050505050505 0.05 0.195833333333333 0.0352453102453102 0.569678932178932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0.00980392156862745 0.125 0.00490196078431373 0 0.0833333333333333 0.0667892156862745 0.418504901960784
