"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_jc_Proportion" "Transition_ce_Proportion" "Transition_oe_Proportion" "Transition_eg_Proportion" "Transition_jh_Proportion" "Transition_jj_Proportion" "Transition_go_Proportion" "Transition_cg_Proportion" "Transition_og_Proportion" "Transition_gc_Proportion" "Transition_jo_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_gj_Proportion" "Transition_so_Proportion" "Transition_ig_Proportion" "Transition_ji_Proportion" "Transition_ii_Proportion" "Transition_gg_Proportion" "Transition_jg_Proportion" "Transition_sg_Proportion" "Transition_ci_Proportion" "Transition_sh_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_os_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jjs_Proportion" "Transition_sji_Proportion" "Transition_oes_Proportion" "Transition_jjh_Proportion" "Transition_ssi_Proportion" "Transition_sjs_Proportion" "Transition_ssc_Proportion" "Transition_scs_Proportion" "Transition_csg_Proportion" "Transition_jgs_Proportion" "Transition_jos_Proportion" "Transition_ggg_Proportion" "Transition_iii_Proportion" "Transition_sgs_Proportion" "Transition_isg_Proportion" "Transition_sgg_Proportion" "Transition_gsg_Proportion" "Transition_ggs_Proportion" "Transition_ssg_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_css_Proportion" "Transition_oss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 135.583333333333 114.416666666667 10.25 8.5 2 0.333333333333333 0.0833333333333333 0.309515973229974 0.0492471914393963 0.0948181896497729 0.0739532302308397 0.0229947466170837 0.221613994705674 0.050015585919054 0.177841088208206 0 0 0 0 0 0 0 0 0 0 0.00072463768115942 0.00072463768115942 0.0016025641025641 0.00166666666666667 0.00213675213675214 0.00239130434782609 0.00277777777777778 0.00320512820512821 0.00720921590486808 0.00760582010582011 0.00783444816053512 0.00817384370015949 0.008300395256917 0.0123272017837235 0.0128814623379841 0.0143065998329156 0.0292445356575791 0.0459607501998806 0.0637733856955825 0.0858318747105932 0.165381283264578 0.515939714789829 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0.0036231884057971 0.00396825396825397 0.00396825396825397 0.0043859649122807 0.00543478260869565 0.00577984817115252 0.00641025641025641 0.0080091533180778 0.00833333333333333 0.0107962213225371 0.0248885172798216 0.0363074425574426 0.0514823467912713 0.0877109859375306 0.0917959964012596 0.211714428147494 0.433579432263643
2 52.5833333333333 42.6666666666667 4.33333333333333 4.75 0.416666666666667 0.416666666666667 0 0.405771137667008 0.0767027906038162 0.0908715212562703 0.0818030144935606 0.00753922422141064 0.165041661076344 0.0229265303533859 0.149344120328205 0 0 0 0 0 0 0 0 0.00208333333333333 0.00757575757575758 0 0.0186237373737374 0.00462962962962963 0 0 0 0 0 0 0.00757575757575758 0.0110479797979798 0 0 0 0.00558035714285714 0.0276951058201058 0.0317717583342583 0.0565153018278018 0.0632554945054945 0.0599886224886225 0.132538930976431 0.571118233618234 0 0 0 0 0 0 0 0 0.00757575757575758 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.0659722222222222 0.0936868686868687 0.0874368686868687 0.113068181818182 0.0985479797979798 0.502462121212121
3 47 38.5 3.5 4.16666666666667 0.333333333333333 0.416666666666667 0.0833333333333333 0.415686332744022 0.0485886828246943 0.0720979586678288 0.0549857866051019 0.0120540327595631 0.211857270952163 0.0293948953244189 0.155335040122208 0 0 0 0 0 0 0 0 0 0 0 0.00760582010582011 0.00826719576719577 0 0 0 0.00462962962962963 0.00757575757575758 0 0.00701058201058201 0.0166666666666667 0 0 0.0148809523809524 0 0.0473544973544974 0.0261904761904762 0.0400493025493026 0.0419938735728209 0.0656084656084656 0.139459760512392 0.489373686742108 0 0 0 0 0 0 0.00595238095238095 0.00595238095238095 0 0.00757575757575758 0 0 0 0.00757575757575758 0 0 0.00757575757575758 0 0 0 0.0337301587301587 0 0.10323402088108 0.0570622188269247 0.0866479925303455 0.0477145403615992 0.099025974025974 0.371286393345217
4 40.1666666666667 31.5833333333333 3.75 3.91666666666667 0.25 0.583333333333333 0.0833333333333333 0.396443431710204 0.0477262302892847 0.064704564114735 0.0474203177211055 0.0140775461024211 0.265379384449156 0.023045540027925 0.141202985585168 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0.00225225225225225 0.00622050622050622 0.00925925925925926 0 0 0 0 0.00225225225225225 0 0 0 0 0.0158730158730159 0.0036231884057971 0.0452344425170512 0.00225225225225225 0.037485622268231 0.0238720086546174 0.0908406076884338 0.106690619190619 0.651366195387934 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0.0138888888888889 0 0.121352707749767 0.0187908496732026 0.0659722222222222 0.0157563025210084 0.094187675070028 0.660247432306256
5 45.5 37.75 2.58333333333333 4.41666666666667 0.416666666666667 0.25 0.0833333333333333 0.47397679084564 0.0479789516554012 0.0612537857689802 0.0606825041402885 0.0117889521645169 0.204260622954011 0.0197069125797133 0.120351479891449 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0.00925925925925926 0 0 0 0.0028735632183908 0 0.00260416666666667 0 0.0197530864197531 0 0.00260416666666667 0.00808189655172414 0 0.0433938454053397 0.00260416666666667 0.0220665708812261 0.0427000661375661 0.0335042837377608 0.116013653226297 0.691937108496017 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0 0 0.00925925925925926 0.00757575757575758 0.0997023809523809 0.0162037037037037 0.0439814814814815 0.0616131553631554 0.14210557960558 0.613606301106301
6 39.6666666666667 32.5833333333333 3.25 3 0.333333333333333 0.416666666666667 0.0833333333333333 0.463402527720297 0.0456711679714461 0.0741363024104242 0.0498825062424508 0.00714891554586211 0.207131386115219 0.0289801711106268 0.123647022883674 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0.00852514919011083 0 0 0 0 0 0.0135416666666667 0.0510416666666667 0.0458333333333333 0.0294054677206851 0.0180907809983897 0.058456393646611 0.150029951044977 0.619867257399227 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0.0238095238095238 0.107142857142857 0.0444444444444444 0.0608465608465609 0.0489417989417989 0.0872685185185185 0.594212962962963
7 29.4166666666667 23.4166666666667 2.75 2.41666666666667 0.25 0.333333333333333 0.25 0.483079362837696 0.0446636775390645 0.0604194363562159 0.0516144312334863 0.00906432748538012 0.231549382560268 0.0264268937013651 0.0931824882865246 0 0 0 0.00416666666666667 0.00641025641025641 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0.00925925925925926 0 0 0 0.0115440115440115 0.0341880341880342 0.0103535353535354 0.0541666666666667 0.0750541125541126 0.0877775002775003 0.0858164983164983 0.51763098013098 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0.00925925925925926 0.0694444444444444 0.0717592592592593 0.0148148148148148 0.0481481481481481 0.037037037037037 0.45787037037037
8 21.5 17.25 1.58333333333333 2.25 0 0.333333333333333 0 0.383228565543665 0.109834229390681 0.0809223120423248 0.0394840006602528 0.00347222222222222 0.17813138637364 0.00863575268817204 0.112958197745708 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0.0138888888888889 0.036965811965812 0.0128205128205128 0.030715811965812 0.0400641025641026 0.046474358974359 0.129273504273504 0.516720085470085 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0.1 0 0.0583333333333333 0.0666666666666667 0.0375 0.473611111111111
9 25.25 19 1.91666666666667 3.41666666666667 0.25 0.583333333333333 0.0833333333333333 0.580143012278974 0.0538448429951552 0.0697353711870845 0.0243658444750194 0.0138133796028533 0.171626291775883 0.0208771669297985 0.065594090755232 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0.0158730158730159 0 0.00462962962962963 0.0208333333333333 0 0.0278222934472934 0 0.0561342592592593 0.00520833333333333 0.0419591982091982 0.0601470288970289 0.658017908017908 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0.0314009661835749 0 0 0 0 0 0 0.0277777777777778 0 0.0582010582010582 0.017512077294686 0.1 0 0.0294168391994479 0.624580170232344
10 29.6666666666667 23.3333333333333 1.83333333333333 3.58333333333333 0.0833333333333333 0.666666666666667 0.0833333333333333 0.504068708662661 0.0142649889856782 0.0380910459502613 0.06706585776363 0.0117138155372328 0.161617866063283 0.0226559504639215 0.0971884332399992 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0187908496732026 0 0 0 0 0.00416666666666667 0 0.00952380952380952 0.00490196078431373 0.0348622782446312 0.0507352941176471 0.0278186274509804 0.109249533146592 0.65171568627451 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0.00925925925925926 0.0244708994708995 0.069486531986532 0.0720899470899471 0.112073112073112 0.620027657527658
