"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oj_Proportion" "Transition_ij_Proportion" "Transition_co_Proportion" "Transition_ic_Proportion" "Transition_io_Proportion" "Transition_ej_Proportion" "Transition_go_Proportion" "Transition_he_Proportion" "Transition_gj_Proportion" "Transition_hi_Proportion" "Transition_ce_Proportion" "Transition_ih_Proportion" "Transition_ec_Proportion" "Transition_og_Proportion" "Transition_ei_Proportion" "Transition_eo_Proportion" "Transition_jc_Proportion" "Transition_oe_Proportion" "Transition_ji_Proportion" "Transition_gh_Proportion" "Transition_cg_Proportion" "Transition_jg_Proportion" "Transition_cc_Proportion" "Transition_gc_Proportion" "Transition_oo_Proportion" "Transition_oi_Proportion" "Transition_ge_Proportion" "Transition_ch_Proportion" "Transition_hj_Proportion" "Transition_jh_Proportion" "Transition_ci_Proportion" "Transition_ie_Proportion" "Transition_eg_Proportion" "Transition_jj_Proportion" "Transition_je_Proportion" "Transition_hh_Proportion" "Transition_eh_Proportion" "Transition_hg_Proportion" "Transition_se_Proportion" "Transition_sh_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_ee_Proportion" "Transition_so_Proportion" "Transition_oc_Proportion" "Transition_ig_Proportion" "Transition_gi_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_ii_Proportion" "Transition_si_Proportion" "Transition_cs_Proportion" "Transition_os_Proportion" "Transition_es_Proportion" "Transition_gg_Proportion" "Transition_is_Proportion" "Transition_sg_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_isc_Proportion" "Transition_gsj_Proportion" "Transition_goj_Proportion" "Transition_hgo_Proportion" "Transition_cse_Proportion" "Transition_sog_Proportion" "Transition_gos_Proportion" "Transition_gog_Proportion" "Transition_ogg_Proportion" "Transition_ish_Proportion" "Transition_jgs_Proportion" "Transition_seh_Proportion" "Transition_ehg_Proportion" "Transition_ico_Proportion" "Transition_sic_Proportion" "Transition_ies_Proportion" "Transition_gsc_Proportion" "Transition_sgh_Proportion" "Transition_ecg_Proportion" "Transition_iec_Proportion" "Transition_gjj_Proportion" "Transition_sgj_Proportion" "Transition_goo_Proportion" "Transition_sgo_Proportion" "Transition_cgs_Proportion" "Transition_iie_Proportion" "Transition_ghg_Proportion" "Transition_ggo_Proportion" "Transition_gio_Proportion" "Transition_eos_Proportion" "Transition_ios_Proportion" "Transition_csg_Proportion" "Transition_hig_Proportion" "Transition_igh_Proportion" "Transition_ghs_Proportion" "Transition_seg_Proportion" "Transition_egj_Proportion" "Transition_iee_Proportion" "Transition_ccs_Proportion" "Transition_gso_Proportion" "Transition_esg_Proportion" "Transition_hsj_Proportion" "Transition_ihs_Proportion" "Transition_esc_Proportion" "Transition_scc_Proportion" "Transition_ees_Proportion" "Transition_jhs_Proportion" "Transition_ese_Proportion" "Transition_his_Proportion" "Transition_eii_Proportion" "Transition_sei_Proportion" "Transition_sie_Proportion" "Transition_sce_Proportion" "Transition_esh_Proportion" "Transition_ogs_Proportion" "Transition_shg_Proportion" "Transition_shh_Proportion" "Transition_gee_Proportion" "Transition_ecs_Proportion" "Transition_eis_Proportion" "Transition_ise_Proportion" "Transition_igi_Proportion" "Transition_sge_Proportion" "Transition_egs_Proportion" "Transition_igg_Proportion" "Transition_ehs_Proportion" "Transition_geh_Proportion" "Transition_ssh_Proportion" "Transition_ggi_Proportion" "Transition_gii_Proportion" "Transition_egg_Proportion" "Transition_ggh_Proportion" "Transition_cis_Proportion" "Transition_ege_Proportion" "Transition_gsh_Proportion" "Transition_ges_Proportion" "Transition_hsi_Proportion" "Transition_soo_Proportion" "Transition_sgc_Proportion" "Transition_ssc_Proportion" "Transition_gcs_Proportion" "Transition_gse_Proportion" "Transition_hsg_Proportion" "Transition_gsi_Proportion" "Transition_iig_Proportion" "Transition_ooo_Proportion" "Transition_iii_Proportion" "Transition_ses_Proportion" "Transition_shs_Proportion" "Transition_igs_Proportion" "Transition_scs_Proportion" "Transition_hgs_Proportion" "Transition_oso_Proportion" "Transition_sos_Proportion" "Transition_isi_Proportion" "Transition_sso_Proportion" "Transition_csc_Proportion" "Transition_sch_Proportion" "Transition_chs_Proportion" "Transition_osg_Proportion" "Transition_esi_Proportion" "Transition_ige_Proportion" "Transition_sig_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_hhg_Proportion" "Transition_jes_Proportion" "Transition_gig_Proportion" "Transition_gis_Proportion" "Transition_isg_Proportion" "Transition_iis_Proportion" "Transition_sis_Proportion" "Transition_sgi_Proportion" "Transition_eee_Proportion" "Transition_sii_Proportion" "Transition_hss_Proportion" "Transition_ess_Proportion" "Transition_ssi_Proportion" "Transition_ggg_Proportion" "Transition_jss_Proportion" "Transition_gsg_Proportion" "Transition_ggs_Proportion" "Transition_sgg_Proportion" "Transition_oss_Proportion" "Transition_ssg_Proportion" "Transition_css_Proportion" "Transition_sgs_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 114.833333333333 71.4166666666667 15.1666666666667 16.4166666666667 3.5 3.58333333333333 4.75 0.671434719684628 0.0222721856526224 0.0224768621435073 0.0156599506965424 0.0214144855725915 0.154911667977084 0.0100739634167107 0.0817561648563138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000465549348230912 0.000677506775067751 0.000730994152046784 0.000730994152046784 0.000730994152046784 0.000730994152046784 0.000730994152046784 0.000757575757575758 0.000925925925925926 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.0013550135501355 0.00162447647203745 0.00167796384901648 0.00187289562289562 0.002710027100271 0.00271223587787055 0.00320512820512821 0.00351841586597684 0.00446538556294654 0.00532454874560138 0.00580363724219738 0.00656565656565657 0.00929878784714184 0.00990823943327153 0.013796716759384 0.0157520140008701 0.0225448819737697 0.040066298983042 0.0453260263640059 0.10482195394825 0.687380288675618 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000574712643678161 0.000574712643678161 0.000757575757575758 0.00124378109452736 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00193798449612403 0.00193798449612403 0.00219298245614035 0.00219298245614035 0.00219298245614035 0.00219298245614035 0.0029320987654321 0.00387596899224806 0.00423899444835405 0.0043859649122807 0.00462962962962963 0.00657894736842105 0.00708964832528051 0.00782272846294841 0.00796783625730994 0.00869385589534843 0.00912627424255331 0.0121658218486915 0.0122204879934091 0.0123480550220651 0.0136694251933801 0.0169201391350473 0.0184000861326443 0.0305076278321851 0.0405770724727265 0.0964509514373563 0.650173778750494
2 120 64.5 19.1666666666667 19 5.5 6.16666666666667 5.66666666666667 0.640594462663058 0.00820530335898029 0.0182381330837991 0.00659131160921043 0.0367977821831812 0.178872719215314 0.0122575912258451 0.0984426966606122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000320512820512821 0.000330687830687831 0.000330687830687831 0.000330687830687831 0.000457875457875458 0.000527426160337553 0.000683060109289617 0.000683060109289617 0.00183334513044658 0.00229357798165138 0 0.00118880182171321 0 0 0 0.000527426160337553 0.00229489560022079 0.00258122984457602 0 0 0 0.000661375661375661 0.00221221009264488 0.00672964904213038 0.00340104262685019 0.00217645009311676 0.000527426160337553 0.00175658948594728 0.0015361309321554 0.000527426160337553 0.00774178484624519 0.0051095502664443 0 0.00508863321424858 0.00712776610109706 0.0170924635445632 0.0109267691662898 0.00389001435143966 0.0152618708461552 0.027544959864647 0.0490682033236298 0.0602758024111829 0.127520997609566 0.629439609511281 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000548245614035088 0.000548245614035088 0.000548245614035088 0.000548245614035088 0.000548245614035088 0.000548245614035088 0.000816993464052288 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.00109649122807018 0.00109649122807018 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00136523907808738 0.00179202670856245 0.00181087187666135 0.00189233163554046 0.00219298245614035 0.00224892588614393 0.00234027232259754 0.00272835629657743 0.00289387684898521 0.00304476629361422 0.00377756365704176 0 0 0.000816993464052288 0.00109649122807018 0 0 0 0 0 0.000548245614035088 0.00142602495543672 0.00164473684210526 0.00164473684210526 0 0.000936329588014981 0 0 0.000816993464052288 0.00136523907808738 0.00650226965365767 0.000816993464052288 0.00743023444380966 0.00216107948555766 0.00109649122807018 0.00501903686308603 0.00476653602501517 0.0115406873636447 0.00509313324612141 0.00444985360571661 0 0.0129675553644903 0.0112367532653652 0.0190301545554725 0.00431323642560551 0.031093668152895 0.0190777583209149 0.0457397320321311 0.0497191493865365 0.120984810531011 0.586500836429956
3 103.5 52.1666666666667 14.5833333333333 18.8333333333333 6 6 5.91666666666667 0.562409999219079 0.0146686248756889 0.0210817923749795 0.0314692252475566 0.0738932054360322 0.193794487902854 0.0134265563944872 0.0892561085493229 0 0 0 0 0 0 0 0 0 0.000418760469011725 0.000661375661375661 0.000748034119685459 0.000760290523656534 0.00135582010582011 0.00189293200897274 0 0 0 0.000566893424036281 0 0.000548245614035088 0 0.00040650406504065 0.000341530054644809 0.000661375661375661 0 0.00349620470499255 0 0 0.000418760469011725 0 0.000418760469011725 0.00611340060237637 0 0.000418760469011725 0.000694444444444444 0 0.00208333333333333 0.0137562223424044 0.00231481481481481 0.00256231196980068 0.00110182057830134 0.00378919860627178 0.00158730158730159 0.000418760469011725 0.0191538763525263 0.00513865643022523 0 0.00904056058084569 0.00718634324473396 0.0181765135344298 0.00505735509640525 0.0026449605343048 0.0347259385104301 0.0857448938451537 0.0542129125503752 0.0558370291584131 0.103510792604718 0.552034310989696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000548245614035088 0.000548245614035088 0.000586854460093897 0.000586854460093897 0.000586854460093897 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.00100401606425703 0.00104166666666667 0.00104166666666667 0.00104166666666667 0.00104166666666667 0.00104166666666667 0.00138157894736842 0.00170068027210884 0.00174908424908425 0.00200704225352113 0.00208333333333333 0.00276362120088955 0.00425596813966506 0 0 0 0.000548245614035088 0.00117370892018779 0.00162852112676056 0 0 0.000833333333333333 0.00104166666666667 0.00162852112676056 0.000548245614035088 0.00100401606425703 0 0 0 0.0024618544600939 0.000586854460093897 0.00113510007412898 0 0 0.00234741784037559 0.0118951440297025 0.00170068027210884 0.0130405601560272 0.00167508417508418 0.00208333333333333 0 0.00170068027210884 0 0.00270469633636587 0 0 0 0 0.000586854460093897 0 0.00592309811248443 0.00283578034623783 0.0039160558589633 0 0 0 0.000833333333333333 0.00113510007412898 0.00276315789473684 0.00415377365201309 0.000548245614035088 0.0100313766720099 0.00200704225352113 0 0.00404324979364804 0.0067625895797669 0.0356507357771224 0.00662613068221833 0.0554738210536636 0 0.0151717496179853 0.0175531930559687 0.0218828523433557 0.00279717150017902 0.0257711393606787 0.00590223859960702 0.0411537890540655 0.0586702093876241 0.10185405684268 0.486204878802506
4 85.0833333333333 45.4166666666667 12.75 12.1666666666667 5.25 4.33333333333333 5.16666666666667 0.573003165061822 0.00831353400497546 0.0170249222532623 0.0169707196168775 0.0963785377307177 0.158246373257005 0.0181181591680619 0.111944588907278 0 0 0 0 0 0.0006265664160401 0.000968992248062015 0.000968992248062015 0.00225762725662086 0.00130232558139535 0.000524109014675052 0 0 0 0.00115067543071515 0 0 0.0006265664160401 0 0.000333333333333333 0.0016025641025641 0 0.000841750841750842 0.0005175983436853 0.0047003367003367 0 0.00519407358580421 0 0.000968992248062015 0 0 0.00309437207372987 0.0043722889107562 0 0 0.0005175983436853 0 0.0016025641025641 0.0178656927846825 0.00181083142639207 0.0010482180293501 0 0.00776378775157311 0.00362808518719468 0 0.0183193797316779 0.00634791285630398 0.000333333333333333 0.00879518488889486 0.00617198630698068 0.0209332676215562 0.00425885910377754 0.00363717768588326 0.048979385443841 0.0362059383126063 0.0520072539375891 0.0526184069312385 0.101956444824061 0.575147526645182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000541125541125541 0.000541125541125541 0.000936329588014981 0.00114155251141553 0.00124378109452736 0.00124378109452736 0.0016025641025641 0.0016025641025641 0 0 0 0 0.00260416666666667 0 0 0 0.00109649122807018 0.00109649122807018 0.00124378109452736 0.00109649122807018 0 0 0 0.000718390804597701 0.0016025641025641 0 0 0 0 0.0016025641025641 0.00370065789473684 0.00260416666666667 0 0 0.000718390804597701 0.000541125541125541 0 0.000936329588014981 0 0 0 0.000936329588014981 0.00468318231476126 0.0016025641025641 0.0017849066356529 0 0 0.000718390804597701 0.004117742987606 0.00297619047619048 0.00354049625468165 0 0.00535471990695871 0 0.00358669108669109 0 0.0168615047151349 0 0 0 0.000541125541125541 0.00351731601731602 0.0017849066356529 0 0 0 0 0 0.00219298245614035 0.000718390804597701 0.00640031405344141 0.00634154658127261 0 0 0 0 0 0.00124378109452736 0.00374625374625375 0.00430161943319838 0.0128594348098592 0 0.00108225108225108 0.00680491687344899 0.00768121568409961 0.0503972536284509 0.00660915898306531 0.0134541879289455 0 0.013144321591766 0.021319645495797 0.0281265570134321 0.00266881827209533 0.0201202564324438 0.00636608617533402 0.0324093187219317 0.0577457345530322 0.0755626954786661 0.538282757512865
5 74.25 41.75 11.5833333333333 10.3333333333333 3.83333333333333 2.91666666666667 3.83333333333333 0.540977906410178 0.0104432466835269 0.0210668381871681 0.0138020842537711 0.0946932463651878 0.180637098510304 0.031249985951555 0.107129593638309 0 0 0 0 0.00244079767345243 0 0.000666666666666667 0.00151515151515152 0 0.00396613190730838 0 0.000666666666666667 0 0.0014367816091954 0.00132275132275132 0.00100401606425703 0.000551876379690949 0 0 0.000551876379690949 0.000666666666666667 0.00151515151515152 0 0 0 0 0.00581938736632085 0.000809061488673139 0 0 0 0.000551876379690949 0.00288922577728131 0 0 0 0 0.00298075453320678 0.0143025574620015 0 0.000666666666666667 0.000551876379690949 0.00394076526857984 0.000809061488673139 0 0.00846744624378567 0.00557291496839672 0 0.0143180439201563 0.00752515257626347 0.0225297009479485 0.00926278899567212 0.00775768473042046 0.0483782060349407 0.04531102347858 0.0668368085012901 0.060567561598567 0.0938906541107991 0.559956246715745 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000946969696969697 0.000946969696969697 0.00138888888888889 0.00173611111111111 0.00173611111111111 0.00238095238095238 0.00238095238095238 0.00245098039215686 0 0 0.000946969696969697 0 0 0 0 0.00305886243386243 0 0.00138888888888889 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0 0 0 0.000946969696969697 0 0 0 0 0.00226972101972102 0.00138888888888889 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0.00208333333333333 0 0 0.000946969696969697 0.00762774806892454 0 0.00601100288600289 0 0.000946969696969697 0 0 0 0 0 0 0 0.00173611111111111 0 0.00245098039215686 0 0.0116582491582492 0.00471681096681097 0 0 0 0 0 0.00233585858585859 0.0144659715738147 0.0055098428260193 0.0113220498637165 0.000946969696969697 0.00277777777777778 0.00397727272727273 0.0153544372294372 0.0466452869026398 0.00427489177489178 0.00850256769374416 0 0.00957179167963482 0.0115208457120222 0.035101776400796 0.0102717475879241 0.0379374646932963 0.00853174603174603 0.0340128877802137 0.0638291469786568 0.0879752705099223 0.513283917566795
6 69.9166666666667 38 11.1666666666667 9.58333333333333 4.33333333333333 3.75 3.08333333333333 0.558458970779416 0.0120253953923082 0.0199831391825334 0.0296554195657124 0.0776209023719912 0.173314708484073 0.0171480574173189 0.111793406806647 0 0 0 0 0.000809061488673139 0 0.00148809523809524 0 0.00201075268817204 0 0 0 0.00133333333333333 0 0.00193798449612403 0.00102880658436214 0 0 0.00130208333333333 0.00350250186308954 0.00147572815533981 0.000412541254125413 0.00242329394229746 0 0.00148809523809524 0 0.00430081066359063 0 0 0 0 0.00196875 0.00791925232223161 0.00215314751017852 0 0 0 0.000412541254125413 0.0130047582143535 0.00399262997779718 0.00200513384671801 0.000809061488673139 0.00319035274279855 0.00237289260586752 0 0.0115390967711542 0.00255493607613188 0 0.011719132813223 0.00605389708334372 0.0260650964174431 0.00471883627448244 0.0133573654909354 0.0506673641745633 0.0344501556702008 0.0604544124593599 0.0573895680963746 0.108226052297283 0.551462478134129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000651041666666667 0.000651041666666667 0.0014367816091954 0.0014367816091954 0.00225225225225225 0.00225225225225225 0.00231481481481481 0.00231481481481481 0.00282567049808429 0 0 0 0 0 0 0.00138888888888889 0 0 0.00208782327586207 0.001953125 0 0 0.00225225225225225 0 0.01286137832748 0 0 0 0.00208782327586207 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0.0014367816091954 0 0 0.00333333333333333 0.00203993055555556 0.00491349377394636 0.00290329391891892 0 0 0 0 0 0 0 0 0 0 0 0.00269097222222222 0.00173611111111111 0 0 0.0014367816091954 0 0.00290329391891892 0 0.00173611111111111 0 0 0.0014367816091954 0.00830340038314176 0.00548770753512133 0.00505357051967221 0 0.000651041666666667 0 0.00398836336336336 0 0 0 0 0 0 0.00138888888888889 0 0 0.00404094827586207 0.00290329391891892 0.00138888888888889 0.00138888888888889 0 0 0 0 0.00589339339339339 0.00173611111111111 0.0154857066117842 0 0 0.00759997605363985 0.0127416492233759 0.0482770472291403 0.00273886494252874 0.00206347104519774 0 0.00521810873373373 0.0153548887870922 0.0194539083575101 0.0197294964455981 0.0147415720988376 0.00589339339339339 0.0360856397199362 0.0600445366099589 0.123802383759783 0.499877899844248
7 67.0833333333333 37.6666666666667 9.66666666666667 8.16666666666667 3.83333333333333 4.33333333333333 3.41666666666667 0.539756784245289 0.00754507418909593 0.0164970159455405 0.010456512825098 0.0940432979028856 0.15577852233594 0.0340874831340701 0.14183530942208 0 0 0.00122549019607843 0.00122549019607843 0.00122549019607843 0 0.00157232704402516 0 0 0 0.00120772946859903 0 0 0 0.00173439863220885 0.00120772946859903 0 0 0 0 0 0 0 0.00131233595800525 0.00157232704402516 0 0.00187271299116807 0 0 0 0 0.00183376270216116 0.00259161041465767 0 0 0.000833333333333333 0.000656167979002625 0.00505940855753687 0.0132619631192133 0.00511306752714305 0.00271499150841439 0 0.00402427107016074 0 0 0.0174344307606208 0.00815310377581154 0 0.0178510623438725 0.00849165087224538 0.0183181567769804 0.00534555221207897 0.00652113895938773 0.0384951329188627 0.0393235337214495 0.071638135367742 0.0449868674773726 0.0983258426416597 0.574870784765427 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.00122549019607843 0.00213675213675214 0.00213675213675214 0.00213675213675214 0 0 0 0 0 0 0.00260416666666667 0.00260416666666667 0 0 0 0 0 0.00198412698412698 0.00213675213675214 0.00120772946859903 0 0 0 0 0 0 0 0 0.00443510737628385 0 0 0 0 0.00245098039215686 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.00120772946859903 0.00100401606425703 0 0.00170068027210884 0 0 0.00100401606425703 0.00245098039215686 0.00120772946859903 0 0 0.00200803212851406 0 0.00122549019607843 0 0 0 0 0.00120772946859903 0 0.00100401606425703 0 0.00122549019607843 0.00120772946859903 0.00122549019607843 0.00100401606425703 0 0 0.00213675213675214 0 0.00122549019607843 0.0143233662402249 0.00399215911264104 0.0123725772360226 0.00334448160535117 0.00198412698412698 0 0 0 0 0 0 0 0 0 0 0 0.00221174553285606 0.00120772946859903 0 0 0 0 0 0.00674895093193286 0.0039301865324443 0.00689223218534838 0.00757587557729301 0.00505514705882353 0.00100401606425703 0.00100401606425703 0.0204321735658234 0.0340807245833883 0.00100401606425703 0.0175308245277554 0 0.00898731845023405 0.0116821169637101 0.0259726261856256 0.00898830495582408 0.0183462234785004 0.00681723878924446 0.0206783538454669 0.0784458596257889 0.103382044458133 0.522450419377057
8 63.8333333333333 37.25 9.25 9 3.33333333333333 2.75 2.25 0.54187307360028 0.00853138779123792 0.0111105760957849 0.0166701779736525 0.0931727661879716 0.164356070755069 0.0275546597498041 0.1367312878462 0 0 0 0.000841750841750842 0 0 0 0 0 0 0 0 0 0 0.0059207898190949 0 0 0 0 0.00193798449612403 0.000841750841750842 0.00141242937853107 0 0 0.000548245614035088 0 0.000548245614035088 0 0 0 0 0 0.00173611111111111 0 0 0.00109649122807018 0 0.00312610756689704 0.00603070175438597 0.00358272133822929 0 0.00322270322270322 0.00138999645578593 0.00219298245614035 0 0.0106933304413233 0.00399029133139303 0 0.0139246272393457 0.00777540120202921 0.0171352908250767 0.00678441041398222 0.00882094435283552 0.0400877127747084 0.0327658215809628 0.103366077411391 0.0449562604064139 0.12268889758303 0.552581922698863 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0 0 0 0 0.00166666666666667 0 0 0 0 0 0 0 0 0 0.000925925925925926 0.00177304964539007 0 0 0.00385964912280702 0 0 0 0 0.000925925925925926 0 0 0.00177304964539007 0 0 0 0 0 0 0.0036231884057971 0.000925925925925926 0 0.000925925925925926 0 0 0 0 0 0 0.00219298245614035 0 0.00444444444444444 0.00455082742316785 0.0036231884057971 0.00219298245614035 0 0.00166666666666667 0 0 0.00166666666666667 0.000925925925925926 0 0 0 0 0 0 0.00259259259259259 0.00277777777777778 0.000925925925925926 0 0 0 0 0 0.007093837535014 0.00528985507246377 0.000925925925925926 0.00986550300100132 0.00166666666666667 0 0.00611111111111111 0.0248009999559491 0.0349612313237611 0.00973601260835303 0.0166252465628044 0 0.017132369856155 0.0160257717153055 0.0194378476028092 0.0138398692810458 0.0182539237408668 0.00905862469412302 0.0157280315873151 0.116165632997631 0.144807791570816 0.464654810137075
9 56.5 34.5 8.41666666666667 6.66666666666667 3 2.33333333333333 1.58333333333333 0.52138978074124 0.0117299818819632 0.0140669021291494 0.0169267520982084 0.0991508319769753 0.159385606935859 0.0264007931686053 0.150949351068 0 0.00181159420289855 0 0 0 0 0.00112612612612613 0 0 0 0 0 0 0.00175743925743926 0.00260416666666667 0 0 0 0 0 0.000631313131313131 0.00112612612612613 0 0.00181159420289855 0 0 0.00288356538356538 0 0 0 0 0.00112612612612613 0.00701992753623188 0 0 0.000631313131313131 0 0.00331423996058142 0.0107055329997403 0.00414619164619165 0 0.00260416666666667 0.00203252032520325 0 0 0.0102717929739753 0.00686825840590422 0 0.0280660599503388 0.00337837837837838 0.00793615122883416 0.00717744786143514 0.00617320012700448 0.0604813562665219 0.0502188235672845 0.0985981048296517 0.048900781684852 0.0927057118890469 0.533891989347684 0 0 0 0 0 0 0 0.00203252032520325 0.00308737264587836 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0154320987654321 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0 0 0.00925925925925926 0.00925925925925926 0 0.00502310628892907 0 0 0 0 0.00210970464135021 0 0 0 0 0 0 0 0.00105485232067511 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0.00347222222222222 0.00607795860960418 0.00173611111111111 0 0.00105485232067511 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0.00173611111111111 0.00173611111111111 0 0 0 0 0 0 0.00105485232067511 0 0.00490066807313643 0.00661040787623066 0.00173611111111111 0.00396825396825397 0.0266620662363947 0.0694586068135646 0.00502310628892907 0.00173611111111111 0 0.00203252032520325 0.0462718545961831 0.020049519456165 0.0112917795844625 0.0155224449132677 0.0120756172839506 0.0106999140490702 0.128095509669684 0.105891936920675 0.451866443022728
10 54.3333333333333 31 8.91666666666667 7.08333333333333 3 2.5 1.83333333333333 0.477438962794772 0.00234375 0.0334544410842294 0.0115731120116719 0.129105813749511 0.17332095769301 0.0355747817453753 0.13718818092143 0 0 0 0 0 0 0.00148809523809524 0 0 0.00253978402955385 0 0 0 0.000905797101449275 0 0 0 0 0 0.00193798449612403 0.00193798449612403 0 0 0 0 0 0.0072463768115942 0 0 0 0 0.0036231884057971 0.00721782475602606 0 0 0 0 0.00313818565400844 0.00368343998762594 0.00253978402955385 0.00239389233954451 0 0 0.00253978402955385 0 0.0125728383275851 0.00253978402955385 0 0.0223437756880365 0.00643471156578573 0.0169742635634331 0.0208869400473368 0.00687221549783003 0.0581657939101116 0.035364417884922 0.0953364864488764 0.0427386078496537 0.107552299194334 0.531025744617491 0 0 0 0 0 0.00173611111111111 0.00238095238095238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0.00181159420289855 0 0 0 0 0 0 0 0.00173611111111111 0 0 0.00833333333333333 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0.00347222222222222 0 0 0 0.00173611111111111 0.00314854048964218 0 0.012512077294686 0.00238095238095238 0.00347222222222222 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0.00875603864734299 0 0.012178657694962 0 0 0.00451388888888889 0.0314108868184955 0.0658610043747295 0.00451388888888889 0.00141242937853107 0 0.0149540960451977 0.006881038647343 0.0249836751821829 0.00843235691476296 0.0131781196266274 0.0300198412698413 0.0289219844778983 0.0866077715782948 0.132998451591396 0.457538578622311
