"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_eo_Proportion" "Transition_hj_Proportion" "Transition_co_Proportion" "Transition_oh_Proportion" "Transition_oe_Proportion" "Transition_ec_Proportion" "Transition_ji_Proportion" "Transition_he_Proportion" "Transition_hh_Proportion" "Transition_oj_Proportion" "Transition_ej_Proportion" "Transition_hg_Proportion" "Transition_ei_Proportion" "Transition_gh_Proportion" "Transition_gc_Proportion" "Transition_jg_Proportion" "Transition_jc_Proportion" "Transition_je_Proportion" "Transition_go_Proportion" "Transition_ie_Proportion" "Transition_cg_Proportion" "Transition_ih_Proportion" "Transition_og_Proportion" "Transition_ii_Proportion" "Transition_hi_Proportion" "Transition_oc_Proportion" "Transition_io_Proportion" "Transition_sh_Proportion" "Transition_jj_Proportion" "Transition_ce_Proportion" "Transition_oi_Proportion" "Transition_cj_Proportion" "Transition_so_Proportion" "Transition_ij_Proportion" "Transition_cc_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_jo_Proportion" "Transition_eg_Proportion" "Transition_ic_Proportion" "Transition_ee_Proportion" "Transition_ci_Proportion" "Transition_ge_Proportion" "Transition_gj_Proportion" "Transition_hs_Proportion" "Transition_se_Proportion" "Transition_gi_Proportion" "Transition_js_Proportion" "Transition_oo_Proportion" "Transition_ig_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_gs_Proportion" "Transition_si_Proportion" "Transition_ss_Proportion" "Transition_esi_Proportion" "Transition_sje_Proportion" "Transition_sgj_Proportion" "Transition_osg_Proportion" "Transition_eos_Proportion" "Transition_gsi_Proportion" "Transition_jgs_Proportion" "Transition_sos_Proportion" "Transition_sso_Proportion" "Transition_sjg_Proportion" "Transition_hhh_Proportion" "Transition_shh_Proportion" "Transition_sge_Proportion" "Transition_gso_Proportion" "Transition_ooe_Proportion" "Transition_ghg_Proportion" "Transition_eih_Proportion" "Transition_ihg_Proportion" "Transition_sgh_Proportion" "Transition_igc_Proportion" "Transition_jsg_Proportion" "Transition_jsi_Proportion" "Transition_gos_Proportion" "Transition_hgs_Proportion" "Transition_ogj_Proportion" "Transition_sci_Proportion" "Transition_oie_Proportion" "Transition_ijs_Proportion" "Transition_goi_Proportion" "Transition_sij_Proportion" "Transition_goj_Proportion" "Transition_sgc_Proportion" "Transition_gcs_Proportion" "Transition_cog_Proportion" "Transition_icg_Proportion" "Transition_iee_Proportion" "Transition_esh_Proportion" "Transition_eso_Proportion" "Transition_cge_Proportion" "Transition_geg_Proportion" "Transition_cso_Proportion" "Transition_ccc_Proportion" "Transition_esc_Proportion" "Transition_esj_Proportion" "Transition_jgg_Proportion" "Transition_she_Proportion" "Transition_seg_Proportion" "Transition_soo_Proportion" "Transition_isc_Proportion" "Transition_ecc_Proportion" "Transition_sej_Proportion" "Transition_jis_Proportion" "Transition_sjs_Proportion" "Transition_ise_Proportion" "Transition_sei_Proportion" "Transition_eis_Proportion" "Transition_jee_Proportion" "Transition_ssj_Proportion" "Transition_gic_Proportion" "Transition_gsc_Proportion" "Transition_gig_Proportion" "Transition_sgo_Proportion" "Transition_ggo_Proportion" "Transition_ios_Proportion" "Transition_ijj_Proportion" "Transition_sie_Proportion" "Transition_igi_Proportion" "Transition_ges_Proportion" "Transition_gge_Proportion" "Transition_ihs_Proportion" "Transition_csc_Proportion" "Transition_ees_Proportion" "Transition_ccs_Proportion" "Transition_ose_Proportion" "Transition_ies_Proportion" "Transition_gse_Proportion" "Transition_sih_Proportion" "Transition_jjg_Proportion" "Transition_gcg_Proportion" "Transition_ggh_Proportion" "Transition_ghs_Proportion" "Transition_egc_Proportion" "Transition_cgg_Proportion" "Transition_eeg_Proportion" "Transition_iih_Proportion" "Transition_igg_Proportion" "Transition_jes_Proportion" "Transition_gij_Proportion" "Transition_jcg_Proportion" "Transition_cgs_Proportion" "Transition_ggi_Proportion" "Transition_iis_Proportion" "Transition_gsg_Proportion" "Transition_ssh_Proportion" "Transition_scc_Proportion" "Transition_scs_Proportion" "Transition_sii_Proportion" "Transition_hsg_Proportion" "Transition_sis_Proportion" "Transition_ssc_Proportion" "Transition_isi_Proportion" "Transition_sgi_Proportion" "Transition_jos_Proportion" "Transition_sjo_Proportion" "Transition_gsj_Proportion" "Transition_ogs_Proportion" "Transition_egs_Proportion" "Transition_ses_Proportion" "Transition_shs_Proportion" "Transition_ioo_Proportion" "Transition_csj_Proportion" "Transition_sjj_Proportion" "Transition_gjo_Proportion" "Transition_igj_Proportion" "Transition_joo_Proportion" "Transition_ooo_Proportion" "Transition_ggs_Proportion" "Transition_ssi_Proportion" "Transition_see_Proportion" "Transition_isg_Proportion" "Transition_esg_Proportion" "Transition_sig_Proportion" "Transition_hss_Proportion" "Transition_gjs_Proportion" "Transition_jso_Proportion" "Transition_igs_Proportion" "Transition_sse_Proportion" "Transition_cig_Proportion" "Transition_ois_Proportion" "Transition_cis_Proportion" "Transition_iss_Proportion" "Transition_ige_Proportion" "Transition_oos_Proportion" "Transition_gis_Proportion" "Transition_jss_Proportion" "Transition_ggg_Proportion" "Transition_ess_Proportion" "Transition_oss_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_sgs_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 72 43.0833333333333 10.5 10.8333333333333 3 2.75 1.83333333333333 0.498886301108197 0.0313069826835637 0.051630620232794 0.0934224779521694 0.0824002739765249 0.128034737532771 0.00809275238060845 0.106225854133372 0 0 0 0 0 0 0 0 0 0 0 0.000332005312084993 0.000332005312084993 0.000468164794007491 0.000468164794007491 0.000468164794007491 0.000603864734299517 0.000603864734299517 0.000603864734299517 0.00093587004638451 0.00107202952830701 0.00113217541817748 0.00141242937853107 0.00200789957469152 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00234829942491558 0.00255149812734082 0.00302017735509575 0.00320512820512821 0.00320512820512821 0.00329203677731027 0.00362306811401736 0.00381937348581033 0.00381937348581033 0.0038277680239494 0.00428599259692188 0.00534962758708981 0.00556549967601414 0.00563084739692914 0.00641025641025641 0.00764980698472538 0.00824990730441231 0.00836239717780585 0.00923664163393162 0.010120158988056 0.0107940717757733 0.0124600893997446 0.016671753595573 0.0215650264342527 0.0241460102584472 0.0298654994050454 0.031209180176779 0.0323145443548862 0.0460843720867323 0.0632705803587076 0.0943645938195979 0.330324121551963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000992063492063492 0.000992063492063492 0.000992063492063492 0.000992063492063492 0.000992063492063492 0.000992063492063492 0.000992063492063492 0.000992063492063492 0.00148854768419986 0.00157481407481407 0.00157481407481407 0.00181159420289855 0.00181159420289855 0.00189786059351277 0.00189786059351277 0.00198412698412698 0.00252525252525253 0.00252525252525253 0.00252525252525253 0.00252525252525253 0.00347267466832684 0.00351731601731602 0.00351731601731602 0.00396825396825397 0.00396825396825397 0.00396825396825397 0.0043859649122807 0.0043859649122807 0.0043859649122807 0.0043859649122807 0.00446473816039033 0.00496871549503128 0.00513375513375513 0.00587451259648056 0.00595238095238095 0.00596077898709478 0.00617136486701704 0.00641025641025641 0.00641025641025641 0.00685817805383023 0.00707625707625708 0.00757575757575758 0.00757575757575758 0.00757575757575758 0.00984367145694377 0.0104166666666667 0.0104166666666667 0.010834830056798 0.01158955778521 0.0119047619047619 0.0220751470751471 0.0231969117838683 0.0269263773983454 0.0283763163482843 0.0366397920030643 0.044340424703697 0.0587129784784247 0.27012034177366
2 56 35.0833333333333 8.25 7.66666666666667 2.16666666666667 1.33333333333333 1.5 0.494143996946279 0.0597584119838752 0.0453632528740728 0.0766722027726693 0.0900937097741233 0.134935204529758 0.0241046008210955 0.0749286202981264 0 0 0 0 0 0.000641025641025641 0.000641025641025641 0.00114942528735632 0.00181159420289855 0.00296900161030596 0.0061965811965812 0 0.00141242937853107 0 0 0.000574712643678161 0 0.00141242937853107 0.0109389384255241 0.0283524904214559 0.00115740740740741 0.00245261984392419 0.00736714975845411 0.0137808924923313 0 0 0.00925925925925926 0.0112945282547981 0.0121487867177522 0 0 0.000641025641025641 0.000574712643678161 0.0148148148148148 0.00236516357206012 0.0120070459275857 0.0168496414186069 0 0.00229885057471264 0.00181159420289855 0.00141242937853107 0 0.00179045092838196 0.0043859649122807 0.00682088967829572 0.0126023418104073 0.00889384367645237 0.0197589506426725 0.000574712643678161 0.0160505375843152 0.0251835468000273 0.0203089694469005 0.0115542868685895 0.0359039710008823 0.053377531309604 0.0374640835097271 0.0811071995360594 0.0666252502279933 0.347928560355646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00209150326797386 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00245098039215686 0.00378787878787879 0.00476827094474153 0.00490196078431373 0.0119047619047619 0.0138888888888889 0.0208333333333333 0.0208333333333333 0.0833333333333333 0 0 0 0 0 0 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.00111111111111111 0.00378787878787879 0 0 0 0 0 0 0 0.00111111111111111 0.0208333333333333 0 0 0 0 0 0.00378787878787879 0.00378787878787879 0.0119047619047619 0.000980392156862745 0.00111111111111111 0.00561002178649237 0 0.00245098039215686 0 0 0.00623885918003565 0 0 0 0.00378787878787879 0.000980392156862745 0.00329520697167756 0.00734997029114676 0 0 0.00343137254901961 0 0 0 0 0.019281045751634 0.00329520697167756 0 0 0 0.00623885918003565 0.00111111111111111 0 0 0.0061026936026936 0.000980392156862745 0 0 0 0.0235566448801743 0 0 0.00623885918003565 0.0480687830687831 0.00196078431372549 0.0283115468409586 0.0437581699346405 0.0205921257391846 0.0249929971988796 0.0165220835809071 0.0102857001386413 0.0926661573720397 0.288084415584416
3 38.8333333333333 25.5833333333333 5.75 4.08333333333333 1.41666666666667 1 1 0.46201510393449 0.0590768061329727 0.0464412188967046 0.0570627022481784 0.077719657063137 0.206372931201232 0.0202350020945858 0.0710765784286994 0 0 0.00170068027210884 0.00170068027210884 0.00170068027210884 0 0 0 0 0.00151515151515152 0 0.000946969696969697 0 0 0.00397727272727273 0 0 0.00151515151515152 0.0178661616161616 0.00661719233147804 0.0205060812203669 0 0.00416280148423006 0.0073953823953824 0 0.00347222222222222 0 0.00264764996907854 0.00297619047619048 0 0.00303030303030303 0 0.00347222222222222 0.00151515151515152 0 0.00151515151515152 0.00297619047619048 0 0.00624613481756339 0.00170068027210884 0.00170068027210884 0.0154040404040404 0.0222222222222222 0.000946969696969697 0.00510977118119975 0.0073953823953824 0.00467687074829932 0.00454545454545455 0 0.00264764996907854 0.0188144197072768 0.0403460626674912 0.00650252525252525 0.0583070500927644 0.0235237579880437 0.0540074211502783 0.158266594516595 0.0333977530406102 0.443029272314987 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0.0016025641025641 0.0016025641025641 0.00277777777777778 0.00277777777777778 0.00277777777777778 0.00277777777777778 0.00277777777777778 0.00277777777777778 0.00277777777777778 0.00277777777777778 0.00378787878787879 0.00378787878787879 0.00378787878787879 0.00378787878787879 0.00757575757575758 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0.00378787878787879 0.0016025641025641 0 0 0 0.00378787878787879 0 0 0 0 0.00277777777777778 0.00378787878787879 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0.00378787878787879 0.0016025641025641 0.00438034188034188 0 0 0 0.0147338772338772 0 0.00539044289044289 0 0.00378787878787879 0 0 0 0 0 0.00555555555555556 0 0 0 0 0.00555555555555556 0 0 0 0 0.0161572298669073 0.00555555555555556 0 0 0 0 0.0016025641025641 0 0 0.0016025641025641 0 0 0 0.00277777777777778 0.131310938165777 0 0 0.00555555555555556 0.00555555555555556 0.00699300699300699 0.00934343434343434 0.0575789950789951 0.0101840363937138 0.00909842845326716 0.0401956914053688 0.00757575757575758 0.111101189730222 0.367263933796192
4 41.1666666666667 28.0833333333333 6.25 4.25 1.16666666666667 0.75 0.666666666666667 0.481184287327062 0.0520300956974706 0.0365338447298707 0.0589740394210163 0.0737462199176182 0.202669784041302 0.00461256124716938 0.0902491676184912 0 0 0 0 0.0109259259259259 0 0 0 0 0.00252525252525253 0 0.00333333333333333 0.00166666666666667 0.00166666666666667 0.00671717171717172 0 0 0 0.00181159420289855 0.00166666666666667 0 0.00166666666666667 0 0 0 0 0.00181159420289855 0.00154320987654321 0 0 0 0 0 0.00630952380952381 0 0 0.00411764705882353 0 0 0 0 0 0.00166666666666667 0.00520833333333333 0.0108024691358025 0.0160708534621578 0.00166666666666667 0.0252356902356902 0.00166666666666667 0.0219690780352545 0.0210708534621578 0.0130772005772006 0.0161880796455605 0.044314251135969 0.0298382897295941 0.0502262219483021 0.136153048468692 0.0246759259259259 0.534407785585322 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0.00347222222222222 0.00347222222222222 0.00347222222222222 0.00347222222222222 0.00490196078431373 0.00490196078431373 0.0416666666666667 0 0 0 0 0 0 0 0 0 0.00347222222222222 0.00837418300653595 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03125 0 0 0 0 0 0 0 0 0.0208333333333333 0.00238095238095238 0 0 0 0 0 0 0 0.00347222222222222 0.0138888888888889 0 0 0.00347222222222222 0 0.0232142857142857 0 0 0.00490196078431373 0 0 0 0 0.0318452380952381 0 0 0 0.00347222222222222 0.00490196078431373 0.0260416666666667 0.0199142156862745 0.00837418300653595 0.0148721988795518 0.036391223155929 0.0274714052287582 0.134655112044818 0.502760270774977
5 43.4166666666667 30.9166666666667 6.33333333333333 3.58333333333333 1.41666666666667 0.75 0.416666666666667 0.516812390368715 0.0623210108650088 0.0222772876236689 0.0605561370010821 0.0553630330599121 0.204652899339188 0.00767118688126855 0.0703460548611562 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0.00231481481481481 0 0 0 0 0.00675381263616558 0 0 0 0.0146241830065359 0 0 0 0.0235046543870073 0 0.00749158249158249 0 0 0 0.00416666666666667 0.00925925925925926 0.00741106719367589 0.00601851851851852 0 0.0197167755991285 0.00555555555555556 0.00547504025764895 0.00185185185185185 0.0337962962962963 0 0.0821274337578685 0.025462962962963 0.0576644370122631 0.128560466955608 0.00648148148148148 0.542121432370793 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0.0119565217391304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0.0166666666666667 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0 0 0.00833333333333333 0 0.00833333333333333 0 0 0 0 0 0.0166666666666667 0 0.0072463768115942 0 0 0 0 0.00833333333333333 0 0 0 0 0.05625 0 0 0.0140398550724638 0 0 0.0196759259259259 0 0.0166666666666667 0.0036231884057971 0 0 0 0 0.0268518518518518 0 0 0 0.0291666666666667 0 0.0036231884057971 0.100996376811594 0 0.0036231884057971 0.0487606044538706 0 0.100682907191391 0.479300449707396
6 34.25 23.25 5.58333333333333 2.66666666666667 1.08333333333333 1 0.666666666666667 0.519689541781289 0.067812014356582 0.020036493676615 0.0468563370015784 0.0655788309336 0.225135391632106 0.0115673871074336 0.0433240035107956 0 0 0 0 0 0 0 0 0.00245098039215686 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0.0148026315789474 0 0 0 0 0.00886123680241327 0 0 0 0 0.00245098039215686 0 0 0 0.0057843137254902 0 0.00641025641025641 0 0 0 0 0.00245098039215686 0.00245098039215686 0.0043859649122807 0.00122549019607843 0.0128205128205128 0 0.0125679768474896 0.0116856239063131 0.00747238466536712 0.00245098039215686 0.0241707173588988 0.0413480301076209 0.0532472654711516 0.093598955519021 0.00823529411764706 0.593409145354113 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0 0 0 0 0 0 0 0.00193798449612403 0 0 0 0 0.00789036544850498 0 0 0 0 0 0.00757575757575758 0 0 0 0.00193798449612403 0 0 0 0 0 0 0 0.0061046511627907 0 0 0 0 0 0.00193798449612403 0 0 0.00757575757575758 0 0 0 0 0.0276854928017719 0 0 0 0.0333333333333333 0 0.0197951273532669 0.0162907268170426 0.0117424242424242 0.00757575757575758 0.0179924242424242 0.00595238095238095 0.090087037095911 0.643499539016675
7 32.75 20.1666666666667 5.33333333333333 4.16666666666667 1.08333333333333 1.16666666666667 0.75 0.494205471748086 0.0666737930804506 0.0151422609273594 0.0222500619021555 0.0813446549117731 0.159632004621772 0.0032615268329554 0.0741568926421143 0.000936329588014981 0.00595238095238095 0 0 0 0 0 0 0 0 0.00181159420289855 0 0 0 0 0.00776464619894029 0 0 0 0 0 0 0.000936329588014981 0 0 0 0 0 0.0036231884057971 0 0 0 0.0113486190035681 0 0 0 0.00253889369057908 0.0036231884057971 0.00416666666666667 0 0.0119047619047619 0 0.00270937923340505 0.000936329588014981 0.00274792379091353 0.0119047619047619 0.0128410914927769 0.0296265403434431 0 0.00603932584269663 0.0276795252465408 0.0078123754880867 0 0.0449680523569141 0.0144443266390018 0.0479256059041994 0.119490201055595 0.0333645443196005 0.499570084853296 0 0 0 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00252525252525253 0.0028735632183908 0.0028735632183908 0.0041592394533571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0.0277777777777778 0.0277777777777778 0 0.0119047619047619 0.00496732026143791 0.00163398692810458 0 0.0119047619047619 0.0277777777777778 0 0 0 0.0266013071895425 0 0 0.00163398692810458 0.0438417791358968 0 0.0552054154995331 0.0147783251231527 0.00505050505050505 0.0041592394533571 0.0246476061689043 0 0.0816919996838861 0.39629426692307
8 35.5833333333333 23.25 4.83333333333333 4.91666666666667 1.25 0.333333333333333 0.916666666666667 0.481448978196163 0.063932050595177 0.0120994464238903 0.0441210542384273 0.0754235430263133 0.173377418422689 0.0117400497611175 0.054524126002889 0 0 0 0 0 0 0.00347222222222222 0 0 0.00128205128205128 0 0.00231481481481481 0 0 0 0 0 0.00260416666666667 0 0.00128205128205128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0423963365539453 0 0.00256410256410256 0 0 0 0 0.00967325498575499 0.0100334448160535 0.00954861111111111 0 0.00558099308099308 0 0.0151662950575994 0.0036231884057971 0.0151353276353276 0.00128205128205128 0.0247033763338111 0.0141094211746386 0.0269392242218329 0.11551589513546 0 0.609439838040382 0 0.00490196078431373 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0202380952380952 0.00252525252525253 0 0.00694444444444444 0 0 0 0 0.0208585858585859 0 0 0 0.00333333333333333 0 0 0.0171130952380952 0.0144002525252525 0.021344696969697 0.0129419191919192 0 0.107049963924964 0.510614814107461
9 29.5 19.75 4.25 3.58333333333333 0.666666666666667 0.833333333333333 0.333333333333333 0.39954676388902 0.155572440543705 0.0234030122176674 0.0441695394156828 0.0622079310208847 0.174748701860809 0.0100389457286009 0.0469793319902969 0 0 0 0 0 0 0.00120772946859903 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0 0 0 0.0183433716042412 0 0 0 0 0.0416666666666667 0 0 0.00198412698412698 0.0107676140284836 0.00793650793650794 0.00716011042097999 0 0.00120772946859903 0.00793650793650794 0 0.00198412698412698 0.00736896589299335 0.0577251552795031 0.12774871962515 0.0885435963096146 0.00219298245614035 0.447143963333895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00825563325563326 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0.00252525252525253 0.00416666666666667 0 0 0 0.0113215488215488 0 0 0 0.00252525252525253 0 0.0208333333333333 0 0.00825563325563326 0.00641025641025641 0.0149475524475524 0 0.0873802123802124 0.481148018648019
10 33.25 21.5 5 4.25 1.08333333333333 0.833333333333333 0.5 0.478854769797279 0.0683728469423437 0.0203156993375489 0.0564244327509976 0.0727658616299333 0.146587976194936 0.0124832005973121 0.0608618794163157 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0.0339506172839506 0 0.00555555555555556 0 0 0 0 0.0116975308641975 0 0.0151098901098901 0.00320512820512821 0.00647130647130647 0 0.00475308641975309 0.00258241758241758 0.000915750915750916 0 0.0830864197530864 0.0121401438068105 0.0797836851822359 0.0842881326939298 0.00166666666666667 0.467611128806781 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0897435897435897 0 0 0 0.0138888888888889 0 0.00170068027210884 0 0.00320512820512821 0.0101495726495726 0.0162037037037037 0 0.114984882842026 0.486768852840281
