"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oi_Proportion" "Transition_oc_Proportion" "Transition_hc_Proportion" "Transition_ij_Proportion" "Transition_cj_Proportion" "Transition_oe_Proportion" "Transition_jh_Proportion" "Transition_ch_Proportion" "Transition_go_Proportion" "Transition_ci_Proportion" "Transition_eo_Proportion" "Transition_jj_Proportion" "Transition_ge_Proportion" "Transition_og_Proportion" "Transition_jc_Proportion" "Transition_ic_Proportion" "Transition_ih_Proportion" "Transition_co_Proportion" "Transition_eh_Proportion" "Transition_ee_Proportion" "Transition_hi_Proportion" "Transition_oo_Proportion" "Transition_hg_Proportion" "Transition_ei_Proportion" "Transition_ie_Proportion" "Transition_ig_Proportion" "Transition_cg_Proportion" "Transition_ji_Proportion" "Transition_eg_Proportion" "Transition_he_Proportion" "Transition_cc_Proportion" "Transition_sc_Proportion" "Transition_gc_Proportion" "Transition_gj_Proportion" "Transition_se_Proportion" "Transition_ii_Proportion" "Transition_gh_Proportion" "Transition_jo_Proportion" "Transition_hh_Proportion" "Transition_so_Proportion" "Transition_gi_Proportion" "Transition_sj_Proportion" "Transition_jg_Proportion" "Transition_es_Proportion" "Transition_sh_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ogs_Proportion" "Transition_eie_Proportion" "Transition_hso_Proportion" "Transition_jsh_Proportion" "Transition_ose_Proportion" "Transition_jhs_Proportion" "Transition_ccs_Proportion" "Transition_ois_Proportion" "Transition_jgs_Proportion" "Transition_hsj_Proportion" "Transition_cos_Proportion" "Transition_ccc_Proportion" "Transition_scc_Proportion" "Transition_ihi_Proportion" "Transition_eii_Proportion" "Transition_ihs_Proportion" "Transition_gei_Proportion" "Transition_soo_Proportion" "Transition_ees_Proportion" "Transition_cso_Proportion" "Transition_ish_Proportion" "Transition_iih_Proportion" "Transition_hgs_Proportion" "Transition_sso_Proportion" "Transition_soe_Proportion" "Transition_ggh_Proportion" "Transition_ghi_Proportion" "Transition_his_Proportion" "Transition_ssj_Proportion" "Transition_cis_Proportion" "Transition_jse_Proportion" "Transition_ics_Proportion" "Transition_cgs_Proportion" "Transition_osi_Proportion" "Transition_ges_Proportion" "Transition_ssc_Proportion" "Transition_esi_Proportion" "Transition_iig_Proportion" "Transition_csi_Proportion" "Transition_gsj_Proportion" "Transition_hsc_Proportion" "Transition_ggi_Proportion" "Transition_jsi_Proportion" "Transition_jcs_Proportion" "Transition_hsi_Proportion" "Transition_csg_Proportion" "Transition_ise_Proportion" "Transition_sjs_Proportion" "Transition_sih_Proportion" "Transition_igi_Proportion" "Transition_iee_Proportion" "Transition_iie_Proportion" "Transition_eeh_Proportion" "Transition_esh_Proportion" "Transition_hig_Proportion" "Transition_sse_Proportion" "Transition_sie_Proportion" "Transition_sig_Proportion" "Transition_igg_Proportion" "Transition_gii_Proportion" "Transition_jos_Proportion" "Transition_iii_Proportion" "Transition_gig_Proportion" "Transition_igs_Proportion" "Transition_sii_Proportion" "Transition_ggg_Proportion" "Transition_eis_Proportion" "Transition_isg_Proportion" "Transition_ssi_Proportion" "Transition_sos_Proportion" "Transition_ies_Proportion" "Transition_iis_Proportion" "Transition_shs_Proportion" "Transition_sgg_Proportion" "Transition_isi_Proportion" "Transition_scs_Proportion" "Transition_jis_Proportion" "Transition_gsi_Proportion" "Transition_sis_Proportion" "Transition_sgi_Proportion" "Transition_gis_Proportion" "Transition_gcs_Proportion" "Transition_gse_Proportion" "Transition_ses_Proportion" "Transition_gsg_Proportion" "Transition_ssg_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_ggs_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 352 280.75 37 29.3333333333333 2.83333333333333 2 0.0833333333333333 0.341442688930739 0.0542360988604429 0.0808405830585045 0.012741636794338 0.00516711585433014 0.249192395137255 0.042470128591579 0.213909352772811 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000414593698175788 0.000414593698175788 0.000414593698175788 0.000455373406193078 0.000455373406193078 0.000455373406193078 0.000470809792843691 0.000470809792843691 0.000470809792843691 0.000470809792843691 0.000612745098039216 0.000833333333333333 0.000905797101449275 0.000905797101449275 0.00136612021857923 0.00141242937853107 0.00185185185185185 0.00198935199233218 0.00335677749360614 0.0038108456171045 0.00534381847381923 0.011447600073527 0.0143129986463166 0.0232098748312201 0.0348752960067156 0.0634311397323649 0.127981003559847 0.201090314743682 0.496769764261751 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00106837606837607 0.00106837606837607 0.00106837606837607 0.00126262626262626 0.00126262626262626 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00252525252525253 0.0026287464812055 0.00277777777777778 0.00277777777777778 0.00369712254958157 0.00444444444444444 0.00508996212121212 0.0187018183341713 0.0246818091592682 0.0871018978766688 0.115119411615163 0.142671128895213 0.179131537493097 0.399014682218787
2 335.666666666667 256.416666666667 42.75 27.9166666666667 5.16666666666667 2.41666666666667 1 0.319967205943851 0.0621097210258138 0.0532145946594149 0.0113990243182205 0.0113483104580874 0.2558524390137 0.0495907419454235 0.236517962635489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000368731563421829 0.000378787878787879 0.000378787878787879 0.000378787878787879 0.000378787878787879 0.000400641025641026 0.000757575757575758 0.00113636363636364 0.00170325706039992 0.00192758937227964 0 0 0.000378787878787879 0 0 0.00417276890162755 0 0 0.00094568130282416 0.00458916083916084 0.000566893424036281 0.000566893424036281 0 0.00150251841149439 0.00376890896012261 0.00094568130282416 0.00358391608391608 0.00661080912345135 0.0029186122383025 0.0120516603252065 0.0155235375332172 0.0142515106332463 0.00746796428626015 0.022725582344395 0.0381833092040443 0.0500864434809736 0.167420955464554 0.196254006937689 0.437675087968997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000730994152046784 0.000730994152046784 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.0016025641025641 0.00166666666666667 0.00185712027817291 0.00195945945945946 0.00225225225225225 0.0022953216374269 0.0025 0.0025 0.00269045361150624 0.00320512820512821 0.00326923076923077 0.00333333333333333 0.00549274302444603 0.00742167268483058 0.00864279398762157 0.0106668915879442 0 0.00308558558558559 0.00400022492127755 0 0.00185712027817291 0 0 0.0025 0.0086932073774179 0.00269045361150624 0 0 0.00741450144348212 0.00501684062476867 0.0102527020948074 0.0144667391853176 0.014712015562838 0.0832848945641567 0.0815694020331974 0.169555274263307 0.161171380103506 0.358578705112649
3 278.666666666667 211.416666666667 36.75 22 4.33333333333333 2.66666666666667 1.5 0.332691290221129 0.0773449464630863 0.0720142296907241 0.00963307357327706 0.00934366237964494 0.219916221622294 0.0515674623196902 0.227489113730155 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000443262411347518 0.000490196078431373 0.00108225108225108 0 0 0 0 0 0 0 0 0 0.000490196078431373 0 0.00833333333333333 0 0 0 0.00201558945537267 0 0 0.00124777183600713 0.00216770218725788 0 0 0.000443262411347518 0 0.00135918003565062 0.00548962710187821 0.000378787878787879 0.00458922205245735 0.00131224636856677 0.0109226288210304 0.0112849970560258 0.0130167758256367 0.00938139361069051 0.0427699731773344 0.0509276839028793 0.0354605800843199 0.156346677143419 0.169278638450819 0.470768023616725 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000957854406130268 0.00102880658436214 0.00117370892018779 0.00117370892018779 0.00117370892018779 0.00117370892018779 0.00181159420289855 0.00191570881226054 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0 0 0 0.00117370892018779 0.00220251550454993 0.00597826086956522 0 0.00200704225352113 0.00352880658436214 0 0 0.00117370892018779 0.00117370892018779 0.00797764849969382 0.00117370892018779 0 0 0.00445652173913043 0.0105900922778048 0 0 0 0.00117370892018779 0.00308941773244833 0.000957854406130268 0.00763727291283936 0.00102880658436214 0.00220251550454993 0.00611304480779954 0.0035823754789272 0.00905797101449275 0.0589973229448034 0.0180505889030793 0.0986719953426975 0.0530771861938966 0.113048450996202 0.126255900262354 0.437627099569004
4 195.5 148.916666666667 25.6666666666667 15.4166666666667 3.41666666666667 1.5 0.583333333333333 0.319932103917084 0.0744967767400463 0.0746078439570218 0.0111181568985739 0.0148424846244127 0.198532342323216 0.046925303583899 0.259544987955745 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000825082508250825 0 0 0 0 0 0.00130400971131596 0 0 0 0.00398860039065131 0 0.00520833333333333 0 0 0.00537367724867725 0.00478778467908903 0 0.0103196169772257 0.00267663883735312 0.00312442984856778 0.0133633048679018 0.00504950543435765 0.0157265825544553 0.0386844996777212 0.0586299009169191 0.0378403355600887 0.18168126631287 0.143469676407513 0.46794675473371 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0.00163398692810458 0.00213675213675214 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0 0.00213675213675214 0 0.00213675213675214 0.00277777777777778 0 0 0 0.00252525252525253 0 0 0.00163398692810458 0.00333333333333333 0.00163398692810458 0 0.00213675213675214 0 0 0.0119043374925728 0 0.00505050505050505 0 0 0 0.00163398692810458 0.00326797385620915 0 0 0.00490196078431373 0.0028735632183908 0.00252525252525253 0.034948007493922 0.0192875411033979 0.154220045065027 0.0531513014231949 0.162833913405337 0.0599366655847607 0.455760118926844
5 192.25 148.75 22.9166666666667 16.5833333333333 2.08333333333333 1.25 0.666666666666667 0.356390384586418 0.0835958307861102 0.0619212182661249 0.0134778423664385 0.0138291952334344 0.198449576497804 0.0400052565121204 0.232330695751549 0 0 0 0 0 0 0 0 0 0 0 0.000712250712250712 0.00272948685647098 0 0.000490196078431373 0 0 0 0 0 0 0 0 0 0.00102880658436214 0.00158227848101266 0 0.00102880658436214 0 0 0 0.00692177015009723 0 0 0 0.00507324980312487 0 0 0.000527426160337553 0.00170068027210884 0.00361384591342397 0 0 0.0127107281402333 0.00165355228646368 0.00305286671630678 0.0088144807436769 0.00941151568533798 0.0130783851852965 0.0217711820923125 0.0511536495688752 0.02730784089506 0.168583091436059 0.199812745231422 0.457241164422973 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0.00674603174603175 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00421455938697318 0 0.00328947368421053 0 0.0014367816091954 0.00253327283726558 0.0014367816091954 0 0 0.0014367816091954 0 0 0.00699233716475096 0.00320512820512821 0.00362976406533575 0 0.00277777777777778 0 0.00109649122807018 0.00396825396825397 0 0 0 0 0 0.00540683605565638 0.00640754184311353 0.0014367816091954 0.0014367816091954 0.00109649122807018 0.00396825396825397 0.00253327283726558 0.0204653013306398 0.022377437293499 0.117106562190701 0.0464627662573243 0.10868829679715 0.0627249836017985 0.386490337851833
6 193.416666666667 146.916666666667 26.3333333333333 15.3333333333333 2.66666666666667 1.75 0.416666666666667 0.37775365268931 0.0738402825608711 0.0796974736421677 0.00719166345774493 0.0125941300801389 0.186381653254191 0.0411404054967007 0.221400738818875 0 0 0 0 0 0 0 0 0 0.000661375661375661 0.000718390804597701 0 0.0006265664160401 0 0.0022291305186042 0.00226923076923077 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0.00226923076923077 0 0 0 0.00560731538992409 0 0 0.00143298059964727 0.00405216622458002 0 0 0 0 0.00395989974937343 0.00380255709203078 0.00320512820512821 0.00628911962094055 0.00128205128205128 0.00546639033481139 0.0165527660146535 0.0041059801483274 0.019425863996434 0.0251756437530787 0.037475133507591 0.0513259297399398 0.181158499138904 0.152995435705936 0.466310650455006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136612021857923 0.00177304964539007 0.00177304964539007 0.00181159420289855 0.00490196078431373 0.00136612021857923 0.00136612021857923 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0 0 0 0.00634920634920635 0.00313916986396931 0 0.00181159420289855 0.00812225599459642 0 0 0.00419254658385093 0 0.00136612021857923 0.00181159420289855 0.013677811550152 0.00181159420289855 0 0.00804113064828303 0 0.00680090282727489 0 0 0.00177304964539007 0 0.00313916986396931 0 0 0 0.00177304964539007 0.00354609929078014 0.0585832426993465 0.0141728769240484 0.0754145202440113 0.0679666198143054 0.143200010486509 0.0956599436701301 0.461477881934884
7 179 135.916666666667 24.25 14.6666666666667 2.33333333333333 1.25 0.583333333333333 0.363687105382082 0.0754862020617604 0.0699936290475226 0.01411779305456 0.00906463327933846 0.211687775923302 0.0356588790084112 0.220303982243024 0 0 0 0 0 0 0 0.0005175983436853 0.0005175983436853 0 0 0.00514226808820849 0 0 0 0.000968992248062015 0.00141242937853107 0 0 0 0.000868055555555556 0 0 0 0 0.00242085058661146 0 0.00193798449612403 0.000825082508250825 0 0 0 0 0.000825082508250825 0.000868055555555556 0.0005175983436853 0.000868055555555556 0.000825082508250825 0 0.00283574142297951 0.0005175983436853 0 0.00190972222222222 0.00827262429229575 0.0005175983436853 0.00602128971036755 0.019590536027634 0.00726525441255667 0.0182004536385969 0.0308004476121341 0.044319237200573 0.037496672115719 0.187648967448104 0.128996960411564 0.48709216277787 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.00219298245614035 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.00219298245614035 0 0 0 0.00185185185185185 0.00185185185185185 0 0 0 0.00173611111111111 0.00219298245614035 0.00419023674837628 0 0 0 0.00173611111111111 0 0 0 0.00185185185185185 0.00777819971133925 0 0 0 0 0 0.00193798449612403 0 0 0 0.00413096695226438 0.00977874677002584 0 0.0199813568158121 0.0191264096502974 0.120067639782031 0.0745173575612682 0.18029110678983 0.080354540820156 0.455659781387856
8 189.75 145.083333333333 22.5 15.75 4.08333333333333 1.58333333333333 0.75 0.423463691407982 0.0669791330117637 0.0579548861536239 0.0126712421273414 0.00958312666524178 0.19265965158452 0.0345042477977778 0.20218402125175 0 0 0 0 0.000586854460093897 0.00297619047619048 0.00351851851851852 0 0 0 0 0 0 0 0 0 0.000487329434697856 0 0 0.000487329434697856 0 0.000487329434697856 0.00203252032520325 0 0.000487329434697856 0.000586854460093897 0 0.000487329434697856 0 0 0 0.00270219198790627 0 0 0.00174626380766732 0.000974658869395711 0 0 0.00182499900545013 0.00346351991088833 0.00148809523809524 0.00310055869970381 0.00148809523809524 0.0057460487420952 0.00299870792563793 0.00288286046125767 0.012893918775793 0.0127628136013498 0.0115002193978043 0.0295817146617808 0.017073070982685 0.0329924700835786 0.140911359145275 0.170085874274345 0.531644973777606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.00416666666666667 0.00757575757575758 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0 0 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0.000868055555555556 0 0 0 0 0 0 0.00134408602150538 0.000868055555555556 0 0 0 0.000868055555555556 0 0.000868055555555556 0.000868055555555556 0.00134408602150538 0 0.00134408602150538 0.00219298245614035 0 0.00607638888888889 0.0067166983890544 0 0 0 0 0.000868055555555556 0 0 0.00306103801169591 0.00353706847764573 0.00729166666666667 0.00465252417664164 0 0.0268474751762103 0.0180577654649775 0.0292378123092858 0.0511913759862594 0.112447490459571 0.206210437287154 0.485651131688747
9 154.833333333333 121.25 17.4166666666667 12.8333333333333 1.75 1.16666666666667 0.416666666666667 0.435298872830447 0.0871653794218043 0.0534190470710337 0.0214102559862044 0.0135615244512372 0.170351146463326 0.0317156539446712 0.187078119831276 0 0 0.000636132315521628 0.00233511246664125 0 0 0 0 0.00136612021857923 0 0 0.00173611111111111 0.00209511837418814 0 0 0 0.00193798449612403 0 0.00112612612612613 0 0.00193798449612403 0 0 0.000968992248062015 0 0 0 0 0 0 0.00127226463104326 0.00611060707184471 0.00347222222222222 0.000636132315521628 0 0.00257411681164566 0.00112612612612613 0.00136612021857923 0 0.00136612021857923 0.00112612612612613 0.00748812172565057 0 0.00237224342663274 0.00444121447028424 0.000636132315521628 0.0122210873664362 0.00706266800374436 0.0116547884750139 0.0176787493615037 0.0301667398760321 0.0257354952254174 0.15276343068125 0.112803573230228 0.581786238248119 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0.00141242937853107 0.00219298245614035 0.00219298245614035 0.00219298245614035 0.00219298245614035 0 0 0 0 0.00219298245614035 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0 0 0 0.00219298245614035 0 0 0 0 0.00141242937853107 0.00219298245614035 0.0036231884057971 0 0.00219298245614035 0.00725952813067151 0 0 0 0 0 0.00282485875706215 0 0 0 0.00736481033091203 0.00736481033091203 0 0.0303920185313231 0.0231141506599172 0.048260437988408 0.0555262220179344 0.120108093209054 0.105972780284827 0.558416576821514
10 168.166666666667 130.416666666667 19.3333333333333 14.6666666666667 1.83333333333333 1.75 0.166666666666667 0.428998584515232 0.0794543791909457 0.0516182586242079 0.0146091798612441 0.0160079916009689 0.192324707294749 0.0331105801457835 0.183876318766869 0 0 0 0.000833333333333333 0 0 0 0 0 0 0 0.00124378109452736 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0 0 0 0 0 0 0.00104166666666667 0.00236441798941799 0 0.00104166666666667 0.00520833333333333 0 0 0 0.00198412698412698 0 0 0.00563862236436863 0.000980392156862745 0.00689699792960663 0.00468895891690009 0.00458333333333333 0.0116806419389969 0.0157154813760532 0.0271745823785895 0.0236527758590638 0.047207456639405 0.0327039762689599 0.105835297674153 0.151332038391888 0.54620799171962 0 0 0 0 0 0 0 0 0.00219298245614035 0.00238095238095238 0.00490196078431373 0 0.00268817204301075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0.00476190476190476 0 0 0 0.00268817204301075 0.00268817204301075 0 0 0 0 0 0.00320512820512821 0.00238095238095238 0.00490196078431373 0.00490196078431373 0.0109841912473491 0.00166666666666667 0.00506912442396313 0.0110526315789474 0.0401455026455026 0.0959685879561292 0.0571084910028034 0.0754657235175062 0.159020779651085 0.498751845687704
