"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_jo_Proportion" "Transition_gj_Proportion" "Transition_cg_Proportion" "Transition_eo_Proportion" "Transition_io_Proportion" "Transition_he_Proportion" "Transition_gc_Proportion" "Transition_ie_Proportion" "Transition_so_Proportion" "Transition_eg_Proportion" "Transition_ce_Proportion" "Transition_oc_Proportion" "Transition_jj_Proportion" "Transition_hi_Proportion" "Transition_ge_Proportion" "Transition_ec_Proportion" "Transition_ei_Proportion" "Transition_ji_Proportion" "Transition_hg_Proportion" "Transition_jh_Proportion" "Transition_go_Proportion" "Transition_ih_Proportion" "Transition_gh_Proportion" "Transition_hc_Proportion" "Transition_se_Proportion" "Transition_ee_Proportion" "Transition_jg_Proportion" "Transition_cc_Proportion" "Transition_jc_Proportion" "Transition_ii_Proportion" "Transition_gi_Proportion" "Transition_sj_Proportion" "Transition_oi_Proportion" "Transition_ci_Proportion" "Transition_ic_Proportion" "Transition_sh_Proportion" "Transition_es_Proportion" "Transition_ig_Proportion" "Transition_sc_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_gs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_ics_Proportion" "Transition_ghg_Proportion" "Transition_soi_Proportion" "Transition_gsj_Proportion" "Transition_sjj_Proportion" "Transition_cgs_Proportion" "Transition_jsc_Proportion" "Transition_ssh_Proportion" "Transition_shi_Proportion" "Transition_jhs_Proportion" "Transition_csc_Proportion" "Transition_isc_Proportion" "Transition_gie_Proportion" "Transition_gih_Proportion" "Transition_ges_Proportion" "Transition_gei_Proportion" "Transition_eii_Proportion" "Transition_hes_Proportion" "Transition_sso_Proportion" "Transition_sos_Proportion" "Transition_gcs_Proportion" "Transition_jjs_Proportion" "Transition_gig_Proportion" "Transition_sei_Proportion" "Transition_seg_Proportion" "Transition_egs_Proportion" "Transition_hsi_Proportion" "Transition_ise_Proportion" "Transition_hsg_Proportion" "Transition_gsh_Proportion" "Transition_scc_Proportion" "Transition_gsc_Proportion" "Transition_ses_Proportion" "Transition_sge_Proportion" "Transition_eis_Proportion" "Transition_gse_Proportion" "Transition_ish_Proportion" "Transition_ssj_Proportion" "Transition_cii_Proportion" "Transition_sih_Proportion" "Transition_ocs_Proportion" "Transition_his_Proportion" "Transition_ihi_Proportion" "Transition_cci_Proportion" "Transition_hcs_Proportion" "Transition_isi_Proportion" "Transition_ecs_Proportion" "Transition_csg_Proportion" "Transition_jis_Proportion" "Transition_igs_Proportion" "Transition_csi_Proportion" "Transition_shs_Proportion" "Transition_gos_Proportion" "Transition_ihs_Proportion" "Transition_sgi_Proportion" "Transition_see_Proportion" "Transition_gii_Proportion" "Transition_iii_Proportion" "Transition_sse_Proportion" "Transition_ghs_Proportion" "Transition_iis_Proportion" "Transition_isg_Proportion" "Transition_ssi_Proportion" "Transition_jgs_Proportion" "Transition_jcs_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_iig_Proportion" "Transition_igg_Proportion" "Transition_gsi_Proportion" "Transition_sii_Proportion" "Transition_gis_Proportion" "Transition_sjs_Proportion" "Transition_sgs_Proportion" "Transition_osi_Proportion" "Transition_cis_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_ess_Proportion" "Transition_scs_Proportion" "Transition_sis_Proportion" "Transition_ggg_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 358.916666666667 288 32.5833333333333 32.5833333333333 2.83333333333333 2.16666666666667 0.75 0.411045092759892 0.0369827478979361 0.0620356123724408 0.00967051223619421 0.0101826829850976 0.243546099341525 0.0368654652357741 0.18967178717114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000316856780735108 0.000316856780735108 0.000408496732026144 0.000408496732026144 0.000408496732026144 0.000563063063063063 0.000563063063063063 0.000633713561470215 0.00153462285815227 0.00170887696016303 0.00180489312842254 0.00373591238297121 0.00394362434454136 0.00656469844541036 0.00888254649546244 0.0111060465638314 0.0296683177514844 0.0409236001315978 0.0491184965110706 0.131879669967471 0.134191534064254 0.571318116950022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000683060109289617 0.000683060109289617 0.000683060109289617 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.00136612021857923 0.00157232704402516 0.00157232704402516 0.00163002980625931 0.00163002980625931 0.00163002980625931 0.00166666666666667 0.00222626998583283 0.00257699950322901 0.00761559298521872 0.0276153964921146 0.0764300002668732 0.101736407398552 0.135957485874341 0.146888259722095 0.480155058869983
2 245.666666666667 195.25 19.8333333333333 24.9166666666667 2.41666666666667 2.5 0.75 0.395055865129103 0.0632440938287147 0.0485036633134586 0.00685975506954914 0.0182195611917939 0.228965135072288 0.0455293598841977 0.193622566510895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000368731563421829 0.000368731563421829 0.000368731563421829 0.000478927203065134 0.000478927203065134 0.000478927203065134 0.000847658766486963 0.0076870348609479 0 0 0.000957854406130268 0.000957854406130268 0.00156210832240945 0 0.00123055977378646 0 0 0.00712548832017859 0.000478927203065134 0 0.00435457050235944 0.00338573218757956 0.00491959363523411 0.00366334043360404 0.0201237768100722 0.0250825447336036 0.063565479140422 0.140183701663848 0.132382528173217 0.578948270361464 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000896057347670251 0.000896057347670251 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.0017921146953405 0.00378787878787879 0 0.000896057347670251 0.000896057347670251 0 0 0 0 0.000946969696969697 0.00114155251141553 0.00442136116525088 0 0 0.000896057347670251 0.00184302704463995 0.0192307692307692 0 0 0.000896057347670251 0.0045311990876507 0.0210541027073285 0.0439873162363069 0.133617391096687 0.174760533947022 0.13356788579282 0.442365796338141
3 246.75 189.75 22.3333333333333 28.6666666666667 2.83333333333333 2.83333333333333 0.333333333333333 0.417325046370067 0.0614748682920924 0.0637943642231809 0.00567066428761912 0.0139419476004036 0.216916942550704 0.0413435342942802 0.179532632381653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000694444444444444 0.00117370892018779 0 0 0.000328083989501312 0 0 0.000801282051282051 0 0.00225225225225225 0.000645994832041344 0.00117370892018779 0.000328083989501312 0.00108229500656141 0.00283996006287873 0 0.000328083989501312 0 0.00104282022886674 0.00362315647062031 0.000328083989501312 0.00965608465608466 0.000328083989501312 0.00435730284262379 0.0142741938352484 0.00459749744313131 0.0331258852484469 0.0130841966504724 0.0449141393440701 0.162991684808553 0.105286777281014 0.590742194753526 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000786163522012579 0.000786163522012579 0.00138888888888889 0 0.000786163522012579 0 0 0 0 0 0 0 0 0.000786163522012579 0 0 0 0.000925925925925926 0 0 0 0.000786163522012579 0.00234674329501916 0.000925925925925926 0.00566139684552176 0 0 0 0.000957854406130268 0.00138888888888889 0 0.0277777777777778 0 0.00643750451818116 0.0226763020913116 0.0186715508039516 0.0672632907183737 0.206827707609593 0.117878797562337 0.51494062713211
4 232.833333333333 177.166666666667 22.6666666666667 27.3333333333333 3.16666666666667 2.16666666666667 0.333333333333333 0.456175122104254 0.0441649399192701 0.0421412837567109 0.00729312687448602 0.0111063602477831 0.23021691383587 0.0427037818020777 0.166198471459548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000457875457875458 0.000487329434697856 0.00308641975308642 0 0 0 0 0 0.000636132315521628 0.000457875457875458 0 0.00595998297147722 0 0.000487329434697856 0.000903508256449433 0.000445632798573975 0.00137859503184581 0 0 0 0 0.00560280299410734 0.000457875457875458 0.00111925111925112 0.00136138371432489 0.0135726572769939 0.00464759984883824 0.0070593707355048 0.0211699876428501 0.019690321306547 0.0325626955987835 0.171160202831727 0.081211270864747 0.626083899696349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109649122807018 0.00177304964539007 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0.00109649122807018 0.00327523353839143 0 0.00108225108225108 0.0021127513906718 0.00109649122807018 0 0 0.00203252032520325 0.0021127513906718 0 0 0.0101917920774952 0 0 0 0 0.010124269005848 0.00177304964539007 0.00318076232710379 0 0.00534526449160596 0.0247907866153093 0.0341359449992313 0.054752886002886 0.181471770133926 0.0761644999081497 0.576438562783884
5 204.833333333333 157.083333333333 22.25 21.5833333333333 2 1.5 0.416666666666667 0.370023138577766 0.064386559503996 0.0666489416773759 0.00776519398467284 0.0205747824304716 0.229601345603794 0.0424233559311496 0.198576682290774 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000350140056022409 0.000350140056022409 0 0 0 0 0 0.000350140056022409 0.000350140056022409 0 0.000591016548463357 0 0 0.0138252801120448 0.000350140056022409 0 0.00175070028011204 0.000700280112044818 0 0 0.000350140056022409 0 0.00235227136521635 0.0151935826501551 0.000350140056022409 0.00287539258127493 0.0017502180931589 0.0126044584500467 0.00603344993207321 0.0121363013290423 0.027087132436849 0.038572909882625 0.048707416463815 0.14843588550222 0.120490460807124 0.544442263061578 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0.000886524822695035 0.000886524822695035 0.00132275132275132 0.00265957446808511 0 0 0 0 0 0.00556092843326886 0.000886524822695035 0 0 0 0 0 0 0 0.00177304964539007 0.000886524822695035 0 0 0 0.00220927614544636 0 0 0 0.000886524822695035 0 0 0 0.0094897636890918 0 0.000886524822695035 0 0 0.0124777183600713 0.000886524822695035 0.00265957446808511 0 0.0297545953900937 0.0212856784665295 0.0614089929562395 0.098856307696854 0.144096623979098 0.177543732040307 0.421809234357129
6 171.916666666667 128.833333333333 18.75 20.1666666666667 2.41666666666667 1.5 0.25 0.414563250218774 0.0661049598604086 0.0535699782241016 0.0107697035295523 0.0236064846938601 0.182444150481496 0.0393962658513983 0.209545207140409 0 0 0 0 0 0 0 0 0 0 0.000341530054644809 0.000841750841750842 0.00170068027210884 0 0.000341530054644809 0 0 0 0 0.0014367816091954 0 0.000341530054644809 0 0 0 0.000341530054644809 0.0037037037037037 0.000341530054644809 0.00374579124579125 0.000683060109289617 0.00136612021857923 0.00185185185185185 0 0.000341530054644809 0 0 0.0153424111476409 0 0 0.00171186669365176 0.00489260300100153 0.00662117110024358 0.00715691949393513 0.0184762369471805 0.0303933076487291 0.0619765222224541 0.129595034978077 0.143443942121478 0.563011064465469 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0.000868055555555556 0.00177304964539007 0 0 0.000868055555555556 0 0 0 0 0 0 0.000868055555555556 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0.00490196078431373 0 0.000868055555555556 0.000868055555555556 0 0 0 0 0.00260416666666667 0 0.00462962962962963 0 0 0 0 0.00694444444444444 0 0.000868055555555556 0 0.00868316420910633 0.0153925045195383 0.0546609960799241 0.138736736254986 0.142416668679933 0.153755564963895 0.457688614122172
7 188.25 144.666666666667 19.0833333333333 18.5 2.5 2.58333333333333 0.916666666666667 0.391323300439403 0.0630197307219053 0.0442019466265337 0.00839281314377011 0.0187438525105131 0.216658478552051 0.0329119367592556 0.224747941246568 0 0 0 0 0 0 0 0 0 0.000286368843069874 0 0 0.000530785562632696 0.000286368843069874 0.000286368843069874 0 0.000572737686139748 0 0 0 0 0.000572737686139748 0.000286368843069874 0 0.0011454753722795 0 0.011782723325062 0.000286368843069874 0.000286368843069874 0.000859106529209622 0.00171821305841924 0.00384303376054194 0 0 0 0.00271389549740065 0.00244474441251742 0.000572737686139748 0.00283104638774742 0.00143184421534937 0.00823489978929137 0.012229660171844 0.004972441599361 0.0289745456579984 0.0171126133924568 0.0537811351335933 0.125225715533871 0.11708706947514 0.599644625008446 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0006265664160401 0.0006265664160401 0.0006265664160401 0.0006265664160401 0.0006265664160401 0.0006265664160401 0.0006265664160401 0.0006265664160401 0.0006265664160401 0.0006265664160401 0.0006265664160401 0.0006265664160401 0.0006265664160401 0.0012531328320802 0.0012531328320802 0.00245098039215686 0 0 0 0 0 0 0 0.0006265664160401 0 0 0 0.0012531328320802 0 0 0 0.0006265664160401 0 0 0 0 0.0006265664160401 0.0006265664160401 0.0006265664160401 0.0006265664160401 0 0.0111111111111111 0 0.0018796992481203 0.0018796992481203 0 0 0.0006265664160401 0.0006265664160401 0.0025062656641604 0.00245098039215686 0 0 0 0 0 0.00180027533622789 0 0.011801841752268 0 0.008757674250632 0.0339228919267237 0.0309277233890237 0.112979719110568 0.119486020985716 0.125895498028669 0.515232325931264
8 193.583333333333 147.416666666667 20.1666666666667 21 2.08333333333333 2 0.916666666666667 0.403735008474228 0.0630626635008772 0.0533616929446022 0.00398276290727893 0.0156460450419292 0.229968339346993 0.0353130447717279 0.194930443012364 0 0 0 0 0 0.000284414106939704 0.000568828213879408 0.000568828213879408 0.00154704036956597 0 0 0 0.00177304964539007 0 0.000568828213879408 0 0.000853242320819113 0 0.00101626016260163 0 0 0.000284414106939704 0 0.00416666666666667 0.000284414106939704 0 0.00469702625357721 0 0 0.00540386803185438 0.00227531285551763 0.00146198830409357 0 0.000284414106939704 0 0.000853242320819113 0.0108930602957907 0.000568828213879408 0.00285759012893159 0.00205746375232978 0.0129603103350919 0.016351337757917 0.00700239927634029 0.0212391991209024 0.0291845285590399 0.0471828966688703 0.144443756055567 0.127703054209816 0.550663737625221 0 0 0 0 0 0 0 0 0 0 0 0 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.00123456790123457 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0.000617283950617284 0.000617283950617284 0.00123456790123457 0.000617283950617284 0.000617283950617284 0 0 0 0 0 0 0 0 0.00432098765432099 0 0 0 0 0 0 0 0 0 0 0.000617283950617284 0.00185185185185185 0 0 0.00432098765432099 0.00123456790123457 0.00437710437710438 0 0 0.000617283950617284 0 0 0 0.00123456790123457 0.0037037037037037 0.00185185185185185 0 0.0148709315375982 0.000617283950617284 0 0 0.000617283950617284 0.00185185185185185 0.0053030303030303 0.0150252525252525 0 0.0104812841218208 0.0203652512480196 0.0402990882051616 0.101479251419223 0.154105354391371 0.162322654850903 0.434686493669545
9 140.416666666667 109.333333333333 12.25 15.75 1.33333333333333 1.25 0.5 0.430791132588784 0.0875200888673609 0.0416066344825883 0.00814281610151724 0.0109826725318206 0.191405672281424 0.0399025520627553 0.18964843108375 0 0 0 0 0.000915750915750916 0 0 0 0.00248807795977607 0 0 0 0 0.000915750915750916 0 0 0 0 0 0.000915750915750916 0 0.000915750915750916 0.000915750915750916 0 0 0 0.0105505016471998 0 0.00146198830409357 0.000608272506082725 0.0036231884057971 0.00164993917274939 0.000915750915750916 0.00333333333333333 0 0.000915750915750916 0.0109290367442541 0 0.00243977433758456 0 0.00248807795977607 0.00675671343713235 0.00761373933543745 0.0323931315187866 0.0200339211104502 0.0453337927230092 0.0905103353117325 0.127784205053284 0.623591714729264 0 0 0 0 0 0 0 0 0.00225225225225225 0.00225225225225225 0.00225225225225225 0.00225225225225225 0 0 0 0 0 0 0 0.00572447447447447 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0.00132275132275132 0 0 0.00225225225225225 0.00308641975308642 0 0 0 0 0 0 0 0.00225225225225225 0.00347222222222222 0 0 0 0 0.00268817204301075 0.00225225225225225 0.00320512820512821 0 0.0176719057767445 0.0293095736644124 0.0376070867334308 0.0902331316309811 0.0983553275891986 0.148435280962163 0.538618255352126
10 160.666666666667 123.416666666667 14.5833333333333 18.75 1.75 2 0.166666666666667 0.488949090350088 0.0591363771737985 0.0438739409038593 0.00896157074739892 0.0126364371433998 0.174054079099087 0.0297457987504038 0.182642705831964 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000850340136054422 0 0 0 0 0.00609783170267041 0 0.0019468313641246 0 0.00037037037037037 0.00353851217906517 0 0.00037037037037037 0 0 0.00721608087679516 0 0.00364751163623344 0.00138888888888889 0.00244142101284958 0.00755516996588425 0.00914509322247417 0.0264490155485284 0.046159372163647 0.0575697905313832 0.109150707295961 0.108656574690286 0.604572554826023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0.00225225225225225 0.00260416666666667 0 0 0 0 0 0 0 0 0.00533769063180828 0 0 0 0 0.0142857142857143 0.0037037037037037 0.0028735632183908 0 0.023015873015873 0.0250232890857891 0.0805007526514879 0.109868885898932 0.142850353144471 0.0982515208903394 0.483876678999017
