"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ec_Proportion" "Transition_co_Proportion" "Transition_jo_Proportion" "Transition_io_Proportion" "Transition_ij_Proportion" "Transition_eg_Proportion" "Transition_ee_Proportion" "Transition_je_Proportion" "Transition_ch_Proportion" "Transition_ic_Proportion" "Transition_gj_Proportion" "Transition_jh_Proportion" "Transition_gh_Proportion" "Transition_ie_Proportion" "Transition_ei_Proportion" "Transition_oe_Proportion" "Transition_se_Proportion" "Transition_cc_Proportion" "Transition_ge_Proportion" "Transition_hh_Proportion" "Transition_jc_Proportion" "Transition_ih_Proportion" "Transition_hi_Proportion" "Transition_ci_Proportion" "Transition_jj_Proportion" "Transition_ig_Proportion" "Transition_hg_Proportion" "Transition_ii_Proportion" "Transition_oo_Proportion" "Transition_so_Proportion" "Transition_sj_Proportion" "Transition_cg_Proportion" "Transition_sc_Proportion" "Transition_gi_Proportion" "Transition_sh_Proportion" "Transition_ji_Proportion" "Transition_jg_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ihs_Proportion" "Transition_scc_Proportion" "Transition_egs_Proportion" "Transition_jsh_Proportion" "Transition_ecs_Proportion" "Transition_jsg_Proportion" "Transition_csc_Proportion" "Transition_gei_Proportion" "Transition_shi_Proportion" "Transition_ghs_Proportion" "Transition_gee_Proportion" "Transition_isj_Proportion" "Transition_ghi_Proportion" "Transition_gsj_Proportion" "Transition_cos_Proportion" "Transition_hii_Proportion" "Transition_sjj_Proportion" "Transition_ssc_Proportion" "Transition_ics_Proportion" "Transition_sji_Proportion" "Transition_ose_Proportion" "Transition_ijj_Proportion" "Transition_gso_Proportion" "Transition_sij_Proportion" "Transition_jis_Proportion" "Transition_iee_Proportion" "Transition_eee_Proportion" "Transition_ees_Proportion" "Transition_gsh_Proportion" "Transition_ssh_Proportion" "Transition_scs_Proportion" "Transition_cis_Proportion" "Transition_jsi_Proportion" "Transition_sse_Proportion" "Transition_eih_Proportion" "Transition_ish_Proportion" "Transition_iie_Proportion" "Transition_see_Proportion" "Transition_hgs_Proportion" "Transition_sei_Proportion" "Transition_iso_Proportion" "Transition_sos_Proportion" "Transition_sie_Proportion" "Transition_sgj_Proportion" "Transition_gjj_Proportion" "Transition_seg_Proportion" "Transition_egg_Proportion" "Transition_ese_Proportion" "Transition_gie_Proportion" "Transition_esg_Proportion" "Transition_iei_Proportion" "Transition_eii_Proportion" "Transition_gse_Proportion" "Transition_hsh_Proportion" "Transition_hgi_Proportion" "Transition_jhs_Proportion" "Transition_sgh_Proportion" "Transition_gih_Proportion" "Transition_ghg_Proportion" "Transition_shh_Proportion" "Transition_eis_Proportion" "Transition_ise_Proportion" "Transition_ies_Proportion" "Transition_his_Proportion" "Transition_ses_Proportion" "Transition_hhh_Proportion" "Transition_igg_Proportion" "Transition_iis_Proportion" "Transition_ssj_Proportion" "Transition_shg_Proportion" "Transition_hih_Proportion" "Transition_hgg_Proportion" "Transition_sge_Proportion" "Transition_ihh_Proportion" "Transition_sih_Proportion" "Transition_ges_Proportion" "Transition_esh_Proportion" "Transition_ihi_Proportion" "Transition_sig_Proportion" "Transition_gsi_Proportion" "Transition_igi_Proportion" "Transition_gig_Proportion" "Transition_isg_Proportion" "Transition_igs_Proportion" "Transition_ssg_Proportion" "Transition_iig_Proportion" "Transition_iii_Proportion" "Transition_csi_Proportion" "Transition_sgi_Proportion" "Transition_gii_Proportion" "Transition_jgs_Proportion" "Transition_ggi_Proportion" "Transition_isi_Proportion" "Transition_gis_Proportion" "Transition_sii_Proportion" "Transition_ssi_Proportion" "Transition_sjs_Proportion" "Transition_esi_Proportion" "Transition_hsi_Proportion" "Transition_shs_Proportion" "Transition_ggg_Proportion" "Transition_cgs_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_ess_Proportion" "Transition_sis_Proportion" "Transition_sgg_Proportion" "Transition_gsg_Proportion" "Transition_ggs_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 404 334.833333333333 31.25 33.25 1.91666666666667 1.83333333333333 0.916666666666667 0.433126923039707 0.0427102884503393 0.0427732587044099 0.00577079462825254 0.00559492935757192 0.290201040158663 0.0258089670231425 0.154013798637913 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000367107195301028 0.000367107195301028 0.00108225108225108 0.00108225108225108 0.00119218970355185 0.00122549019607843 0.00138888888888889 0.00146842878120411 0.00182962001586272 0.00245098039215686 0.00245098039215686 0.0028265464967296 0.00581199886742575 0.00671826324999415 0.00933469248176099 0.0116518829978575 0.0159012411595385 0.0198985140758422 0.0228510205758761 0.107229618018483 0.206189723445566 0.576681203705923 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000757575757575758 0.000757575757575758 0.000757575757575758 0.000757575757575758 0.000757575757575758 0.00100401606425703 0.00100401606425703 0.00166666666666667 0.00166666666666667 0.00227272727272727 0.00268817204301075 0.00347222222222222 0.00347222222222222 0.0045045045045045 0.00509492515516612 0.0053030303030303 0.0053030303030303 0.00817659352142111 0.00975748867990247 0.0112667965452179 0.019660689402827 0.0306316359364178 0.0409816880137237 0.104030884878607 0.238793761264781 0.495460383481463
2 394.416666666667 327.916666666667 26.8333333333333 34 2.5 2.08333333333333 1.08333333333333 0.428339850864212 0.0589799739483775 0.0439383004515378 0.00306973527394558 0.0106214081108335 0.27805881027316 0.0285497929160988 0.148442128161835 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.000368731563421829 0.000574712643678161 0.000574712643678161 0.000811465336514133 0.000896057347670251 0.00172413793103448 0.00028735632183908 0.00360455737043759 0 0 0.00203670094777173 0 0.0023357032175736 0.00316091954022989 0.000862068965517241 0 0.00521929824561403 0.00226844001738992 0.0115202951701655 0.00242755509283359 0.00653722917302411 0.0118775482278848 0.0300389869794192 0.0202688094064034 0.0296515150114046 0.0854676001379049 0.208111662230591 0.568511867512482 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000505050505050505 0.000505050505050505 0.000505050505050505 0.000505050505050505 0.000505050505050505 0.000505050505050505 0.000505050505050505 0.000505050505050505 0.000505050505050505 0.000505050505050505 0.000505050505050505 0.00101010101010101 0.00101010101010101 0.00101010101010101 0.00101010101010101 0.00127665544332211 0.00151515151515152 0.00151515151515152 0.00178710178710179 0.00202020202020202 0.00202020202020202 0.0119047619047619 0.000505050505050505 0.000505050505050505 0.00252525252525253 0.00253757083025376 0.00304262133530426 0 0 0 0.000505050505050505 0.00202020202020202 0 0 0 0.000771604938271605 0.0109459984459984 0.00202020202020202 0.00404040404040404 0.00252525252525253 0.00382996632996633 0.00326797385620915 0.0209197937139114 0.0595980126467931 0.0450147621477129 0.0949337307838025 0.236877266241207 0.471979048282253
3 415.5 340 31.9166666666667 37.0833333333333 2.08333333333333 3.25 1.16666666666667 0.426988156428025 0.0674582822654867 0.0488632312703704 0.00237058061398641 0.0114846876066397 0.263915357615505 0.0402745145712237 0.138645189628762 0 0 0 0 0 0 0 0 0 0 0 0.000306372549019608 0.000306372549019608 0.000306372549019608 0.000306372549019608 0.000455373406193078 0.000761745955212686 0 0 0.000919117647058824 0 0.000306372549019608 0.000306372549019608 0 0.000816993464052288 0.00153186274509804 0.000306372549019608 0.00358455882352941 0.000455373406193078 0.00120612415694383 0.00186297367458625 0.000320512820512821 0.00201197453175972 0.00122549019607843 0.000612745098039216 0 0.00157232704402516 0.0263285150355073 0.012216428105367 0.0017781247289444 0.00680296691326103 0.0122410512114658 0.0361744984409816 0.0196000858592865 0.0162797470538205 0.0795240888649625 0.186908874687825 0.582663838286159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000496031746031746 0.000496031746031746 0.000496031746031746 0.000496031746031746 0.000496031746031746 0.000496031746031746 0.000496031746031746 0.000496031746031746 0.000496031746031746 0.000496031746031746 0.000496031746031746 0.000496031746031746 0.000992063492063492 0.000992063492063492 0.00148809523809524 0.0016025641025641 0 0 0 0 0 0 0 0.000496031746031746 0.000496031746031746 0.00198412698412698 0.00198412698412698 0 0 0.000496031746031746 0.000496031746031746 0.00148809523809524 0 0.00198412698412698 0 0 0.000496031746031746 0 0.00148809523809524 0.00396825396825397 0.000992063492063492 0.00376221001221001 0.00128205128205128 0 0 0 0.000496031746031746 0.00248015873015873 0 0.00112612612612613 0.00302006552006552 0.0486610240904134 0.00248015873015873 0.00198412698412698 0.00347222222222222 0.00148809523809524 0.00927452177452177 0.00482982982982983 0.00969876637815569 0.0651559089059089 0.0275802480478053 0.113122429916323 0.180780252249718 0.491909557319863
4 381.75 314.416666666667 28.6666666666667 31.75 2.66666666666667 3.08333333333333 1.16666666666667 0.402690944855374 0.0614263900228015 0.0283682505684399 0.00231593269151354 0.0152661933005054 0.304290363097362 0.0217778698914859 0.163864055572517 0 0 0 0 0 0.000240153698366955 0.000240153698366955 0.000608272506082725 0.000621890547263682 0.000757575757575758 0.000997729455942712 0 0 0.00048030739673391 0.00048030739673391 0 0.000960614793467819 0 0.000240153698366955 0 0.000608272506082725 0 0 0 0.000240153698366955 0.00168107588856868 0 0.00192122958693564 0 0 0.00126570583887657 0 0.00196219062425465 0.00300980948975227 0.000429553264604811 0 0.0118055555555556 0.00909662371534796 0.00818116346525241 0 0.0114429901886893 0.0123523643083753 0.0457692163305334 0.00503798232320931 0.0191312861455744 0.091055308510285 0.225723819834907 0.543658539775926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00040650406504065 0.00040650406504065 0.00040650406504065 0.00040650406504065 0.00040650406504065 0.00040650406504065 0.00040650406504065 0.00040650406504065 0.000813008130081301 0.000813008130081301 0.00121951219512195 0 0 0 0 0 0 0 0 0 0 0 0.00121951219512195 0 0.00121951219512195 0.00203252032520325 0.00138888888888889 0 0 0 0 0 0 0.00040650406504065 0 0 0.00040650406504065 0.00121951219512195 0 0 0.00040650406504065 0.000813008130081301 0.00040650406504065 0 0.00040650406504065 0 0.0016260162601626 0.000813008130081301 0 0.00040650406504065 0.00250156347717323 0.0016260162601626 0.000813008130081301 0 0 0 0 0 0.00365853658536585 0 0 0 0.00923921549245888 0.00210603701781699 0.00423441734417344 0.00667344173441734 0.0024390243902439 0.00490317213202527 0 0.00720042853137891 0.0833935454232254 0.049839592686225 0.122566197105563 0.213650029318291 0.466287210685761
5 348.916666666667 282.083333333333 29.75 30 3.33333333333333 2 1.75 0.429402488003585 0.0521394527410725 0.0222662845194796 0.00143191074932442 0.0095405326284253 0.311884352681878 0.0205434021781561 0.152791576498079 0 0 0 0 0 0 0.000181159420289855 0 0 0.000181159420289855 0 0 0.000181159420289855 0.00036231884057971 0.00072463768115942 0 0.00126811594202899 0 0 0.00036231884057971 0 0.000543478260869565 0.000543478260869565 0.00045045045045045 0 0.00079861901509978 0.000181159420289855 0.00416666666666667 0 0.00159522501068572 0.00526642628205128 0 0.00106791004526038 0.00640210555099809 0.00192367717843261 0 0.00141242937853107 0.00135624755189973 0.00663858514819715 0.00224626667735238 0.00865288004638634 0.00993036695712953 0.0288050739943416 0.00958076242171242 0.0138986592894683 0.0895406610925933 0.196384012304434 0.605353989431063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000282485875706215 0.000282485875706215 0.000282485875706215 0.000282485875706215 0.000282485875706215 0.000282485875706215 0.000847457627118644 0.00268817204301075 0.00477150537634409 0 0 0 0 0 0 0.000282485875706215 0.000282485875706215 0 0.000564971751412429 0.000847457627118644 0 0 0 0 0 0 0 0.000282485875706215 0.000564971751412429 0.000564971751412429 0.000564971751412429 0.000847457627118644 0.000282485875706215 0.000282485875706215 0.000847457627118644 0 0 0 0 0 0.000282485875706215 0.000282485875706215 0 0 0.000564971751412429 0 0.0019774011299435 0 0.000282485875706215 0.000847457627118644 0.00130208333333333 0.00141242937853107 0 0.00254237288135593 0 0.000282485875706215 0.000847457627118644 0 0.000564971751412429 0.00225988700564972 0.00112994350282486 0.0019774011299435 0 0 0.000847457627118644 0 0.000282485875706215 0.000282485875706215 0 0 0 0.000282485875706215 0.00412694209039548 0.00282485875706215 0.00384445621468927 0.00338983050847458 0.00478078580270425 0.00208333333333333 0.0188917179580523 0.0634609350609787 0.0310402364955045 0.0921162057295785 0.202717616861947 0.536255105745326
6 355.25 284.833333333333 30.3333333333333 33.75 2.91666666666667 2.16666666666667 1.25 0.430550088898229 0.0668941066601286 0.0295769718224998 0.00303427774196379 0.00431728326304479 0.307370002776367 0.0206891851434964 0.137568083694271 0 0 0 0 0 0 0.000189393939393939 0 0 0 0 0 0 0.000189393939393939 0 0 0.000990675990675991 0 0.000189393939393939 0 0 0 0.000414593698175788 0 0 0 0.000189393939393939 0.00170454545454545 0 0.000603864734299517 0.0016025641025641 0 0 0.00230853309211518 0.000189393939393939 0 0.00214905908399059 0.000603987637569727 0.0115494818235224 0.00286713508967514 0.00732283558285129 0.0126612993262136 0.0408157228242749 0.00672434140170445 0.0133340117228235 0.106434859907735 0.193409243402061 0.593556275428233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000351617440225035 0.000351617440225035 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0 0 0.000351617440225035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0 0 0 0 0 0 0 0.000351617440225035 0 0 0 0.000351617440225035 0 0 0.00070323488045007 0 0.00229863341520247 0 0.000351617440225035 0.000351617440225035 0.00070323488045007 0.00070323488045007 0 0.00070323488045007 0.000351617440225035 0.00175808720112518 0.00070323488045007 0.000351617440225035 0 0 0 0 0.00140646976090014 0 0 0 0.000351617440225035 0.00432642328624717 0.00370510317610261 0.00281293952180028 0.00573289304714731 0.00987209072179788 0.00659937888198758 0.00792597005661009 0.0858155814495125 0.0295323200155602 0.119263678523147 0.198136317789821 0.511483130933335
7 332.416666666667 268.75 26.3333333333333 30.1666666666667 2.58333333333333 2.91666666666667 1.66666666666667 0.454240930688114 0.0592099747974495 0.02941393626998 0.000773590843236724 0.00770336714701637 0.278756698323891 0.0194433318062048 0.150458170124108 0 0 0 0.000173611111111111 0.00163398692810458 0 0 0 0 0 0 0 0 0.000173611111111111 0 0 0.000896057347670251 0 0 0.000173611111111111 0 0 0.00163636133089876 0.000393081761006289 0 0.000694444444444444 0 0.00319648692810458 0 0 0.00283214291548237 0 0.000868055555555556 0.00190972222222222 0.000347222222222222 0.00182715604413208 0.00163398692810458 0.00274269289936038 0.0095324019429604 0.000465549348230912 0.00324332712600869 0.0120743493010842 0.0429540523981536 0.0131612082047971 0.0246210671710114 0.0910923061861907 0.193903616829779 0.587819890631143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000300842358604091 0.000300842358604091 0.000300842358604091 0.00102880658436214 0.00102880658436214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000300842358604091 0 0 0 0.000300842358604091 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000300842358604091 0.00210589651022864 0 0.000300842358604091 0.000601684717208183 0.000601684717208183 0.00120336943441637 0.000601684717208183 0.000902527075812274 0 0.000300842358604091 0.000300842358604091 0 0.000300842358604091 0.000300842358604091 0.00120336943441637 0.000902527075812274 0.000300842358604091 0 0 0 0 0.000902527075812274 0 0 0 0.00104166666666667 0.00357468504404926 0.00210589651022864 0.00433807252900715 0.00224503610108303 0.0056805815542779 0.00104166666666667 0.011433655331177 0.0914842753597625 0.0466879960365989 0.0763826058406106 0.216721430378686 0.522569439751089
8 318.5 252.25 27.4166666666667 31.3333333333333 3.58333333333333 2.41666666666667 1.5 0.438333101341709 0.0516757545207494 0.0211359403384193 0.00543801528993101 0.0138956585380744 0.299255490458649 0.0143362353098564 0.155929804202611 0 0 0.00114942528735632 0 0.000178062678062678 0 0.000957854406130268 0 0 0.000778816199376947 0 0 0.000178062678062678 0.000656989881127812 0 0 0.000178062678062678 0 0.000178062678062678 0 0.000574712643678161 0 0 0 0.000178062678062678 0.000356125356125356 0 0.00532924379747189 0.000178062678062678 0.00262904307021954 0.0033288017108229 0 0.00126085461542733 0.00195868945868946 0 0.000574712643678161 0 0.00666785134330773 0.00797826976017087 0.000778816199376947 0.00642253659495039 0.0200178836614784 0.048855163964078 0.0056716263614897 0.0181943616856297 0.105314199438173 0.197924990739662 0.561550655113204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000308641975308642 0.000308641975308642 0.000308641975308642 0.00132275132275132 0.00134408602150538 0.00134408602150538 0.00134408602150538 0 0 0 0 0.00260416666666667 0 0 0 0.00134408602150538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000308641975308642 0.000308641975308642 0 0.000308641975308642 0 0 0.00306267806267806 0.00213675213675214 0 0 0 0.000308641975308642 0 0 0.000308641975308642 0 0 0 0.000617283950617284 0 0 0.00154320987654321 0.000308641975308642 0.0022700119474313 0 0.00123456790123457 0 0.000617283950617284 0.000308641975308642 0 0.000617283950617284 0.00154320987654321 0.00216049382716049 0.0050733024691358 0.00255731922398589 0 0 0 0 0.000925925925925926 0 0.000308641975308642 0 0.00255731922398589 0.00487417861409797 0.00381322182397451 0.00339506172839506 0.00350457984866587 0.00471781305114638 0 0.00612634080376016 0.123826283071832 0.0363504740553921 0.119855835324393 0.181387717991477 0.472533527559803
9 334.583333333333 268.916666666667 25 32.6666666666667 4 2.75 1.25 0.464224686784091 0.0468962460158874 0.0249227067224045 0.0038904823406541 0.00955055387786456 0.28996316175004 0.0201841826130136 0.140367979896045 0 0.000186011904761905 0 0 0 0 0 0 0 0.000778816199376947 0 0 0.00037202380952381 0.000186011904761905 0 0 0.000886524822695035 0 0 0.000186011904761905 0.000186011904761905 0 0.000606887325637326 0.000420875420875421 0.00037202380952381 0.00111607142857143 0.000186011904761905 0.00279017857142857 0 0 0.00307099938083981 0.000886524822695035 0.000420875420875421 0.00302504208754209 0.00037202380952381 0.00130740024357046 0 0.00777687811235605 0.00858351641564086 0.00199846265338287 0.00645687656493731 0.0176056385522209 0.0448184113882662 0.00760700341817363 0.0157849024525112 0.07560871252209 0.186331412216728 0.610071859027205 0 0 0 0 0 0 0 0 0 0 0 0.000322997416020672 0.000322997416020672 0.000322997416020672 0.000322997416020672 0.000322997416020672 0.000645994832041344 0.00111111111111111 0.00231481481481481 0.00268817204301075 0.00268817204301075 0 0 0 0.00111111111111111 0 0 0 0 0.000322997416020672 0.00111111111111111 0 0 0 0 0 0 0 0.000322997416020672 0 0 0 0 0 0 0 0 0 0.000322997416020672 0 0 0 0 0 0 0 0 0 0.000322997416020672 0.000322997416020672 0 0 0.000322997416020672 0 0 0 0 0.000968992248062015 0 0 0 0 0 0 0 0 0 0 0 0.00263012181616833 0.000645994832041344 0.00129198966408269 0.00161498708010336 0 0.00690732578978078 0.000322997416020672 0.000968992248062015 0 0.000322997416020672 0.000645994832041344 0 0.000322997416020672 0.000968992248062015 0.000645994832041344 0.00129198966408269 0.0033341668750521 0 0 0 0 0.00161498708010336 0 0 0 0.00218920470858455 0.0083610188261351 0.00322997416020672 0.00597625968992248 0.00272609819121447 0.00974039082687339 0.00260416666666667 0.0126946059431525 0.0969959201936727 0.0224633367750006 0.100191689994258 0.194467518582688 0.498636835341441
10 301.25 235.333333333333 31.25 26.25 4.33333333333333 2.33333333333333 1.75 0.443154095887737 0.051207663653668 0.0178951145674388 0.00167881583414275 0.0188290163417128 0.319476893401433 0.0134570116475973 0.134301388666271 0 0 0 0 0 0 0.0108375420875421 0 0 0.000157232704402516 0 0 0.000157232704402516 0 0.000157232704402516 0 0.000420875420875421 0.000314465408805031 0.000735340829680452 0 0.000157232704402516 0.000314465408805031 0.000314465408805031 0 0.00170441739914357 0.00125786163522013 0.000157232704402516 0.00598207185715318 0 0 0.00164636561695385 0 0.00925925925925926 0.00220125786163522 0.00085167714884696 0.000157232704402516 0.00157232704402516 0.000735340829680452 0.00784170615679667 0.00245098039215686 0.00779289926836714 0.0123642579555902 0.0481507772448746 0.0133793345495256 0.0197202498579674 0.076500907438855 0.20048262441239 0.57222513328063 0 0 0 0 0 0 0 0.000275027502750275 0.000275027502750275 0.000275027502750275 0.00124378109452736 0 0 0 0 0.000275027502750275 0 0 0 0 0 0 0 0 0.000275027502750275 0 0 0.00124378109452736 0 0.000275027502750275 0 0 0 0 0 0 0 0 0.000275027502750275 0 0 0 0 0 0 0 0 0.00124378109452736 0 0 0 0 0 0 0 0 0 0.000275027502750275 0 0 0.000275027502750275 0 0 0 0 0 0.000275027502750275 0.0011001100110011 0 0 0 0 0.000275027502750275 0 0 0 0 0.000275027502750275 0 0.000825082508250825 0.00055005500550055 0.00055005500550055 0.00165016501650165 0.000275027502750275 0.00389821590854738 0.000275027502750275 0.0033003300330033 0 0.000275027502750275 0.000825082508250825 0 0.00137513751375138 0.000825082508250825 0.0011001100110011 0.00247524752475248 0.0011001100110011 0 0.000275027502750275 0 0 0.000275027502750275 0 0 0 0 0.00684568046632391 0.00941526761371789 0.00524202420242024 0.0022002200220022 0.00576750932941982 0.0036231884057971 0.00735557136142947 0.0962806849564707 0.0206242202115483 0.0923872417218992 0.183339121598238 0.538937675715083
