"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ej_Proportion" "Transition_io_Proportion" "Transition_oe_Proportion" "Transition_ec_Proportion" "Transition_cj_Proportion" "Transition_ce_Proportion" "Transition_ho_Proportion" "Transition_cg_Proportion" "Transition_oi_Proportion" "Transition_hi_Proportion" "Transition_ic_Proportion" "Transition_go_Proportion" "Transition_jh_Proportion" "Transition_hg_Proportion" "Transition_hh_Proportion" "Transition_co_Proportion" "Transition_gc_Proportion" "Transition_ch_Proportion" "Transition_ig_Proportion" "Transition_je_Proportion" "Transition_ii_Proportion" "Transition_jj_Proportion" "Transition_gi_Proportion" "Transition_ih_Proportion" "Transition_ci_Proportion" "Transition_og_Proportion" "Transition_jg_Proportion" "Transition_se_Proportion" "Transition_ge_Proportion" "Transition_jc_Proportion" "Transition_ji_Proportion" "Transition_cc_Proportion" "Transition_gg_Proportion" "Transition_so_Proportion" "Transition_sh_Proportion" "Transition_sj_Proportion" "Transition_sc_Proportion" "Transition_sg_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_si_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_isi_Proportion" "Transition_ios_Proportion" "Transition_goe_Proportion" "Transition_jse_Proportion" "Transition_csc_Proportion" "Transition_gse_Proportion" "Transition_ois_Proportion" "Transition_coi_Proportion" "Transition_jhs_Proportion" "Transition_oic_Proportion" "Transition_ics_Proportion" "Transition_shs_Proportion" "Transition_hii_Proportion" "Transition_ssh_Proportion" "Transition_shi_Proportion" "Transition_iis_Proportion" "Transition_jsi_Proportion" "Transition_ges_Proportion" "Transition_jis_Proportion" "Transition_cos_Proportion" "Transition_ccc_Proportion" "Transition_hhs_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_hgs_Proportion" "Transition_ggs_Proportion" "Transition_gcs_Proportion" "Transition_sii_Proportion" "Transition_cig_Proportion" "Transition_ssi_Proportion" "Transition_sos_Proportion" "Transition_igs_Proportion" "Transition_gii_Proportion" "Transition_gsc_Proportion" "Transition_isg_Proportion" "Transition_gsi_Proportion" "Transition_ssg_Proportion" "Transition_gis_Proportion" "Transition_ses_Proportion" "Transition_gsg_Proportion" "Transition_csi_Proportion" "Transition_jgs_Proportion" "Transition_sgg_Proportion" "Transition_sge_Proportion" "Transition_csg_Proportion" "Transition_jcs_Proportion" "Transition_ccs_Proportion" "Transition_isc_Proportion" "Transition_scs_Proportion" "Transition_ess_Proportion" "Transition_ggg_Proportion" "Transition_sis_Proportion" "Transition_sjs_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 345.416666666667 292.25 29.25 21.25 1.66666666666667 0.75 0.25 0.372130237994104 0.0495941410327556 0.0534066171094471 0.0129601881762898 0.00832687746428233 0.290393152364779 0.0248067874443769 0.188381998413965 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000825082508250825 0.000825082508250825 0.000841750841750842 0.000946969696969697 0.00168350168350168 0.00179398148148148 0.00231481481481481 0.00246913580246914 0.00265677609427609 0.00344853929837428 0.00423225308641975 0.00608864705915036 0.00897131032547699 0.0167767957351291 0.0393490134037558 0.0429737682403506 0.131241898367652 0.18211259259984 0.550448086452086 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.00219298245614035 0.00219298245614035 0.00252525252525253 0.00252525252525253 0.00252525252525253 0.00260416666666667 0.00260416666666667 0.00260416666666667 0.00308641975308642 0.00347222222222222 0.0105857683982684 0.0161616161616162 0.0811521537672854 0.082818975006475 0.143433637512585 0.151043041996989 0.486278960237294
2 376.833333333333 315.666666666667 29.9166666666667 28.4166666666667 1.5 1.25 0.0833333333333333 0.420053054604675 0.0389572657631118 0.0387525716876406 0.00264766624783412 0.00602814184865001 0.318706108363875 0.0258744963877275 0.148980695096486 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000683060109289617 0.00072463768115942 0.000778816199376947 0.00190494232550307 0.00200510407839241 0 0 0.000505050505050505 0.00150345388053637 0.0032381925717968 0.00072463768115942 0 0.00140769779044904 0 0.0121257651088207 0.00196692681371707 0.00664667930364794 0.00783423310333726 0.0141993311524315 0.027768195393204 0.0286816700254184 0.0877163735659628 0.256683102270464 0.542902130440282 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0.00120772946859903 0.00219298245614035 0.00252525252525253 0.0036587098607559 0 0 0 0 0 0 0 0 0.00853996693862315 0 0.00552666634567545 0.012784801164108 0.0131139227486685 0.0550385857736659 0.0772554635623659 0.0952733218935243 0.190524618412375 0.447816916048314
3 380.25 318.666666666667 28.6666666666667 29.1666666666667 1.58333333333333 1.83333333333333 0.333333333333333 0.393623630039676 0.0421391160451282 0.0288563115685197 0.00455452876427818 0.00602206257768842 0.332757319844017 0.0268615875105969 0.165185443650095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000666666666666667 0.00189709781700628 0.00199430199430199 0.0045800444246182 0 0.000666666666666667 0 0.00520833333333333 0 0 0 0.000603864734299517 0 0.00370656396743353 0 0.00124941724941725 0.00185738586106008 0.00185738586106008 0.00932192689715083 0.00784466810377711 0.0024988344988345 0.00592829699761052 0.0117714624875151 0.0423547418846006 0.0192237646097172 0.108643790751134 0.218190285753693 0.549934499440103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00148809523809524 0.00166666666666667 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00631062610229277 0 0.00148809523809524 0 0 0.00173611111111111 0 0 0 0 0 0 0 0.00173611111111111 0.00173611111111111 0 0.00660624098124098 0.00347222222222222 0.0246469421101774 0.0373529205453225 0.0924602703034075 0.127451001023305 0.209078987234625 0.477561265667883
4 362.5 300.5 28.1666666666667 29.9166666666667 1.91666666666667 1.75 0.25 0.435094748156918 0.0422966851648548 0.0264387906861647 0.00266901210074869 0.00889680746193694 0.295937355389276 0.0235139808890372 0.165152620151064 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000448028673835126 0.00154370489174018 0 0.000896057347670251 0 0 0 0.000574712643678161 0 0.000968992248062015 0 0 0.000448028673835126 0 0.000448028673835126 0.000841750841750842 0.000841750841750842 0.000574712643678161 0.000574712643678161 0.00210218150461408 0.00707398356516685 0.0147078119793143 0.00486749516226713 0.00546918873735274 0.0167590123912203 0.0391798755189306 0.0273082035628179 0.0901420108785012 0.198819981713388 0.585409774862913 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119047619047619 0.00132275132275132 0.00132275132275132 0.00198412698412698 0.00225225225225225 0 0.00119047619047619 0 0 0.00132275132275132 0 0 0.0028735632183908 0.00119047619047619 0 0 0 0 0.00119047619047619 0 0 0.0028735632183908 0.0248640248640249 0 0.00754325754325754 0 0.00317460317460317 0.00706987775953293 0.0200332270644771 0.0485176082697634 0.0860065186035014 0.0951477445550721 0.207297527205932 0.481631946556516
5 348.083333333333 288.083333333333 27.9166666666667 27.6666666666667 2.41666666666667 1.58333333333333 0.416666666666667 0.448890818474331 0.0445196527643374 0.018732746211147 0.00228578550619947 0.00526184041755796 0.308193573634073 0.0300413727655902 0.142074210226764 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000706214689265537 0.000771604938271605 0.00130208333333333 0.00308641975308642 0 0.000771604938271605 0 0 0.000651041666666667 0 0 0.00116158809545862 0 0.00228502859477124 0 0 0.000651041666666667 0 0.00141242937853107 0.00459644579303831 0 0.000651041666666667 0.00229358594394718 0.0020979176834736 0.0139020824378539 0.00176085958606284 0.00264622162794832 0.00698865790908852 0.00980150961392134 0.0205217248051175 0.0152869635998902 0.0808807377680616 0.222136881829236 0.603636312681371 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00291641306553053 0.00595238095238095 0 0 0 0 0.00231481481481481 0 0 0 0.00134408602150538 0 0 0 0.00314465408805031 0 0 0.00157232704402516 0 0 0.00157232704402516 0 0.00260416666666667 0.00119047619047619 0.00238575268817204 0 0.00841253840245776 0 0.00454851752021563 0.00365890083632019 0.00837588196839566 0.0317172953157052 0.0390635918937806 0.0887140097720971 0.218444083566002 0.558921381031279
6 308.833333333333 251.5 28 25 2.25 1.91666666666667 0.166666666666667 0.468694617495508 0.0467026993518764 0.0194309682605463 0.00221837292180617 0.00746810986294163 0.286281072625444 0.0211565035016381 0.148047655980239 0 0 0 0 0 0 0 0 0 0 0 0.000496031746031746 0.000496031746031746 0 0 0 0 0 0.00173981284055911 0 0.00102880658436214 0.00213675213675214 0.000941664544605721 0 0 0 0.000603864734299517 0 0.00051440329218107 0 0.000941664544605721 0 0.00388850380110233 0 0.00405810857990748 0.00221816450681185 0.000941664544605721 0.00945341385237214 0.00335411261307144 0.00146198830409357 0.00598046377349708 0.00978917415330272 0.0349936294795691 0.00779700708434569 0.0893390394383196 0.19207569523516 0.625750002464412 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0.00163398692810458 0 0 0 0 0 0 0.00117370892018779 0 0.00117370892018779 0 0.00117370892018779 0 0 0 0 0 0 0.00151515151515152 0 0 0.00117370892018779 0 0 0.00268886043533931 0 0 0 0 0 0 0.00347222222222222 0 0.00280769584829237 0 0.00478312537136067 0.00245098039215686 0.0132575757575758 0.0191341953406991 0.065893149937697 0.10354960297862 0.223460610753107 0.549484297918735
7 274.833333333333 224.666666666667 23.0833333333333 22.5833333333333 2.25 2.16666666666667 0.0833333333333333 0.4776868852411 0.0506316757319435 0.0152774998507368 0.00138519663047248 0.00311381093609743 0.2873180805606 0.0143596690138652 0.150227182035185 0 0 0 0 0 0 0 0 0 0 0.000574712643678161 0 0 0.000574712643678161 0 0 0 0 0 0 0.000537634408602151 0.000574712643678161 0 0 0 0 0.0040650406504065 0 0 0 0 0 0.00168705969595847 0.000537634408602151 0 0.00108911593585923 0.000574712643678161 0.00668512153139203 0 0.00164998146088246 0.00391638523133718 0.0105858393736297 0.0503798870518974 0.00618921548008879 0.08188488481569 0.158716747722506 0.669776601658435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0014367816091954 0.00146198830409357 0 0 0 0 0 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0 0 0 0.00425401645768025 0.00433555152248437 0.00858640282131661 0.00872426625602669 0.104175356974813 0.0772566472291404 0.171250931474672 0.615594080742391
8 267.5 216 27.3333333333333 20.9166666666667 1.75 1.08333333333333 0.416666666666667 0.459242997960467 0.0482902905864941 0.0169338825291414 0.00127551213129418 0.00810270134790021 0.256950734839133 0.0213223745788278 0.187881506026742 0 0 0 0 0 0 0 0 0 0.000511247443762781 0 0 0.000457875457875458 0 0 0 0 0 0 0 0.000511247443762781 0 0.000737463126843658 0 0 0 0.0043859649122807 0.000425170068027211 0 0 0.000457875457875458 0 0.000511247443762781 0 0.00321547734366591 0 0.000511247443762781 0.0341512556466767 0.00700411743644826 0.00188487381738915 0.0102985306074551 0.0128609634680772 0.0343507943188423 0.00979120847691917 0.114071994906757 0.179209857981139 0.584651587198677 0 0 0 0 0 0 0 0 0 0 0 0 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00111111111111111 0 0 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00111111111111111 0 0.00108225108225108 0 0 0 0 0 0 0 0 0 0 0.00108225108225108 0 0 0 0.0274543572369659 0.00111111111111111 0.0122084195997239 0.0143230441056528 0.0805802591128678 0.077145092226614 0.186209180312441 0.591436884371667
9 266.75 215.416666666667 26.6666666666667 20.8333333333333 2.25 1.33333333333333 0.25 0.464004881910406 0.0570359025361853 0.0217193779593723 0.00245689706494403 0.00376540419147557 0.271882491432353 0.0161369900803844 0.162998054824879 0 0 0 0 0 0 0 0 0.00110841066430991 0 0.000537634408602151 0 0.000537634408602151 0.000570776255707763 0 0.000537634408602151 0 0 0 0 0.00114155251141553 0.000570776255707763 0.00110841066430991 0 0 0 0.0229700854700855 0.000929971658006613 0 0 0 0 0.00285388127853881 0.000537634408602151 0.00219298245614035 0.00186598642188567 0 0.0106741569934922 0.00445156695156695 0.00389829732516432 0.00237047898338221 0.00826205630914841 0.0474594391178852 0.00847811968558765 0.124275323825611 0.186364781008162 0.566302408529484 0 0 0 0 0 0.000886524822695035 0.00134408602150538 0.00170068027210884 0.00170068027210884 0.00170068027210884 0.00170068027210884 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0.00134408602150538 0 0 0 0 0.00170068027210884 0 0.00134408602150538 0 0 0 0 0.00170068027210884 0 0.00134408602150538 0 0 0.00134408602150538 0 0 0 0 0 0 0.00520833333333333 0.00134408602150538 0 0 0.00177304964539007 0.00555555555555556 0.00980636841995799 0.0180912149806159 0.134751167220445 0.14076096489549 0.163239763634061 0.494361992756883
10 275.166666666667 224 23.4166666666667 23.75 2.33333333333333 1.41666666666667 0.25 0.502719730864553 0.0489723223632137 0.0154590229214261 0.00160115032014322 0.00373555788123946 0.295486933449946 0.00770709567300425 0.124318186526474 0 0 0 0 0 0 0.000481695568400771 0.000481695568400771 0 0 0.000481695568400771 0 0 0 0 0 0 0 0 0 0 0.00186389744760166 0.000825082508250825 0 0 0 0.00335033503350335 0 0 0 0.00238095238095238 0 0.00105874446853564 0.00238095238095238 0.000402576489533011 0.00277086887432705 0.00213186058490242 0.0226715950151316 0.00131233595800525 0 0.00258295025260571 0.000481695568400771 0.0451909846903909 0.0112223569820052 0.0827108585413558 0.192850155981768 0.622366710136576 0 0 0 0 0.00151515151515152 0 0 0 0 0 0.00151515151515152 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0.00170068027210884 0 0 0 0 0.00185185185185185 0 0 0 0 0 0.00185185185185185 0 0 0 0.00473098330241187 0.00532407407407407 0.00989318221461079 0 0 0.0197180134680135 0.102609398978447 0.113025074572694 0.193801498325308 0.532614603209841
