"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_og_Proportion" "Transition_go_Proportion" "Transition_oi_Proportion" "Transition_oh_Proportion" "Transition_oo_Proportion" "Transition_hg_Proportion" "Transition_jh_Proportion" "Transition_cj_Proportion" "Transition_gj_Proportion" "Transition_gh_Proportion" "Transition_eh_Proportion" "Transition_hh_Proportion" "Transition_eg_Proportion" "Transition_oe_Proportion" "Transition_ch_Proportion" "Transition_jc_Proportion" "Transition_hi_Proportion" "Transition_ej_Proportion" "Transition_je_Proportion" "Transition_ic_Proportion" "Transition_jj_Proportion" "Transition_ci_Proportion" "Transition_ge_Proportion" "Transition_ih_Proportion" "Transition_so_Proportion" "Transition_ec_Proportion" "Transition_ce_Proportion" "Transition_ei_Proportion" "Transition_jg_Proportion" "Transition_gc_Proportion" "Transition_jo_Proportion" "Transition_ji_Proportion" "Transition_sh_Proportion" "Transition_cg_Proportion" "Transition_ii_Proportion" "Transition_hj_Proportion" "Transition_ie_Proportion" "Transition_cc_Proportion" "Transition_ig_Proportion" "Transition_sj_Proportion" "Transition_gi_Proportion" "Transition_se_Proportion" "Transition_sc_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ghi_Proportion" "Transition_ois_Proportion" "Transition_soi_Proportion" "Transition_jsi_Proportion" "Transition_igc_Proportion" "Transition_jsj_Proportion" "Transition_gcs_Proportion" "Transition_csh_Proportion" "Transition_sso_Proportion" "Transition_ooo_Proportion" "Transition_soo_Proportion" "Transition_ghs_Proportion" "Transition_eis_Proportion" "Transition_ccs_Proportion" "Transition_shg_Proportion" "Transition_eig_Proportion" "Transition_hgi_Proportion" "Transition_gsc_Proportion" "Transition_shh_Proportion" "Transition_sjj_Proportion" "Transition_ghh_Proportion" "Transition_gsj_Proportion" "Transition_sgh_Proportion" "Transition_sos_Proportion" "Transition_osi_Proportion" "Transition_jjj_Proportion" "Transition_isc_Proportion" "Transition_ssc_Proportion" "Transition_esg_Proportion" "Transition_sih_Proportion" "Transition_egg_Proportion" "Transition_ihs_Proportion" "Transition_seg_Proportion" "Transition_osc_Proportion" "Transition_jos_Proportion" "Transition_gsh_Proportion" "Transition_jis_Proportion" "Transition_jsc_Proportion" "Transition_hii_Proportion" "Transition_seh_Proportion" "Transition_iie_Proportion" "Transition_iei_Proportion" "Transition_ehi_Proportion" "Transition_hhi_Proportion" "Transition_his_Proportion" "Transition_egs_Proportion" "Transition_gge_Proportion" "Transition_ges_Proportion" "Transition_gse_Proportion" "Transition_iig_Proportion" "Transition_sig_Proportion" "Transition_chs_Proportion" "Transition_isg_Proportion" "Transition_igg_Proportion" "Transition_igs_Proportion" "Transition_sge_Proportion" "Transition_gei_Proportion" "Transition_isi_Proportion" "Transition_eii_Proportion" "Transition_igi_Proportion" "Transition_gig_Proportion" "Transition_eje_Proportion" "Transition_jes_Proportion" "Transition_esi_Proportion" "Transition_hsi_Proportion" "Transition_sjs_Proportion" "Transition_jgs_Proportion" "Transition_iis_Proportion" "Transition_ggi_Proportion" "Transition_iso_Proportion" "Transition_hsg_Proportion" "Transition_ssh_Proportion" "Transition_shs_Proportion" "Transition_ggg_Proportion" "Transition_iii_Proportion" "Transition_sgi_Proportion" "Transition_gii_Proportion" "Transition_gis_Proportion" "Transition_ssg_Proportion" "Transition_cec_Proportion" "Transition_sei_Proportion" "Transition_gsi_Proportion" "Transition_cgs_Proportion" "Transition_ssi_Proportion" "Transition_csi_Proportion" "Transition_sii_Proportion" "Transition_ggs_Proportion" "Transition_scs_Proportion" "Transition_ies_Proportion" "Transition_csc_Proportion" "Transition_scc_Proportion" "Transition_sse_Proportion" "Transition_gsg_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_jsg_Proportion" "Transition_sgg_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 365.583333333333 305.75 29.9166666666667 26.4166666666667 2.33333333333333 0.916666666666667 0.25 0.33212831495122 0.0589289676603925 0.0506163670407151 0.00279248305652416 0.00742300122142554 0.31542594539282 0.0322850956291316 0.200399825047771 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000340136054421769 0.000410509031198686 0.000410509031198686 0.000750750750750751 0.000750750750750751 0.000750750750750751 0.00101626016260163 0.00122549019607843 0.00187687687687688 0.00236955705705706 0.00465694296513262 0.0049149078705729 0.00539927682784826 0.00623986780173393 0.00633812031595283 0.0134938359848733 0.0159268373671692 0.0269631675478492 0.0300323933096333 0.142517799149771 0.28021847827576 0.453396781922018 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00152905198776758 0.00198412698412698 0.00213675213675214 0.00213675213675214 0.00213675213675214 0.00231481481481481 0.00366580412451972 0.00462962962962963 0.00476190476190476 0.00583588175331295 0.0120917300504456 0.0134747706422018 0.0138888888888889 0.0167901670195248 0.0446791137846184 0.048933024162382 0.155438808982387 0.217747929525452 0.357861133514803
2 382.083333333333 315.5 32 29.75 3.16666666666667 1.5 0.166666666666667 0.370222604816052 0.0738878924837759 0.0424163077021844 0.00353516286081461 0.0116495620436443 0.279721672531499 0.0352607565473894 0.18330604101464 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000267094017094017 0.000612745098039216 0.00068870523415978 0.00068870523415978 0.00068870523415978 0.000730994152046784 0.000992063492063492 0.00156532121847516 0.00479850616640611 0.000859106529209622 0 0.000534188034188034 0 0 0.000267094017094017 0 0.00171821305841924 0.00126518218623482 0.00068870523415978 0 0.00287503644760236 0.00167169876328292 0.00356938307969236 0.00296407913254157 0.00951801468148969 0.0111047487572486 0.0415586698789502 0.0416484731896997 0.103193429047147 0.211772684841901 0.553758453274535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000570776255707763 0.000570776255707763 0.000570776255707763 0.000570776255707763 0.000570776255707763 0.00203252032520325 0.00203252032520325 0.00225225225225225 0 0 0 0 0.00100401606425703 0 0 0 0 0 0.000570776255707763 0 0.00252525252525253 0.00700198749459147 0.0118749202278441 0.00545237160261262 0 0.000570776255707763 0.0832042004844521 0.0859453166097694 0.110512283536049 0.2494141223163 0.432752802446258
3 387.916666666667 310.75 37.5 32.4166666666667 3.58333333333333 2.58333333333333 1.08333333333333 0.39158013474276 0.0514607418147132 0.0427915984890585 0.00260087177825694 0.00737794572011745 0.280976453856137 0.0212548336290206 0.201957419969936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000385802469135802 0.000385802469135802 0.000385802469135802 0.000418760469011725 0.000591016548463357 0.00120646549217978 0 0.00123614260519022 0 0 0.000356125356125356 0.000418760469011725 0 0 0.000771604938271605 0.0026485719837213 0 0.00142450142450142 0 0 0.00031210986267166 0.000356125356125356 0.00119364629414881 0.00252255460588794 0 0.00345856302516133 0.00660841845642594 0.012338649557694 0.00238577340588534 0.00391084034361889 0.0177085597713327 0.0131390029512275 0.0472425567640499 0.0211318109759693 0.116155504826469 0.183275833355167 0.558030693754282 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.00138888888888889 0.00138888888888889 0.0014367816091954 0.0014367816091954 0.00208333333333333 0.00347222222222222 0.00347222222222222 0.00347222222222222 0.00741248693834901 0 0.000718390804597701 0.0014367816091954 0.0016653605015674 0.00806245957108026 0 0 0 0 0 0 0.000718390804597701 0.0031021421107628 0.0043679110896092 0 0 0 0 0.0021551724137931 0.00208333333333333 0 0.00978123887606646 0.0123886180327299 0.00799599596769408 0 0.00842911877394636 0.0486153250002804 0.098526686376872 0.133049538463303 0.146917386360151 0.476324098360437
4 372.833333333333 291.333333333333 35.0833333333333 37.5833333333333 3.16666666666667 3.08333333333333 2.58333333333333 0.421213929453191 0.0474466394313513 0.0310550038529496 0.00274734375691063 0.00614608713167749 0.297884299932966 0.0301054125676855 0.163401283873269 0 0 0 0 0 0 0 0 0 0 0.000172532781228433 0.000172532781228433 0.000172532781228433 0.000268817204301075 0.000268817204301075 0.000286368843069874 0.000345065562456867 0 0 0 0 0.000286368843069874 0.000345065562456867 0.000645994832041344 0 0 0 0.000345065562456867 0 0 0 0.00507449356554216 0.000268817204301075 0 0.00475359656545585 0 0.000172532781228433 0.000555186047370949 0.00172532781228433 0.00185828960103714 0.0042305225833683 0.00127099148838279 0.00111896254509613 0.00398029775513926 0.0151828847481021 0.0027028846243118 0.00222638244066506 0.0118047523924239 0.0100276659477864 0.0330107278366843 0.0144867226048032 0.109822488291709 0.227605898725008 0.461478079148128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000253292806484296 0.000253292806484296 0.000253292806484296 0.000253292806484296 0.000253292806484296 0.000253292806484296 0.000253292806484296 0.000253292806484296 0.000253292806484296 0.000253292806484296 0.000253292806484296 0.000506585612968592 0.000506585612968592 0.000586854460093897 0.000759878419452888 0.000759878419452888 0.00101317122593718 0 0 0 0.000253292806484296 0.000759878419452888 0.00151975683890578 0 0 0 0 0 0 0.00134673287954678 0.00202634245187437 0 0 0 0 0.0101317122593718 0.00269346575909357 0.000506585612968592 0.00261319691196826 0.00179650268302751 0.00177304964539007 0 0.000253292806484296 0.00134673287954678 0 0.000253292806484296 0.000683060109289617 0.00177650018235211 0.00481256332320162 0 0 0 0 0.000253292806484296 0.00524233062600694 0.00247956279231712 0.000253292806484296 0.00409360652608404 0.0121950093018666 0.00449297624345434 0 0.00557244174265451 0.0288663154795207 0.0760516992199274 0.129397185394822 0.232318208179505 0.373985612549896
5 319.583333333333 248.666666666667 28.1666666666667 34.6666666666667 3.66666666666667 2.41666666666667 2 0.424963437708965 0.0645749802194634 0.0344870766781778 0.00262322739688598 0.0135235478530329 0.264210072049661 0.0214479126392429 0.174169745454571 0 0 0 0 0 0 0 0 0 0 0 0 0.000694444444444444 0 0 0 0 0 0 0 0.000410509031198686 0.000555555555555556 0.000231481481481481 0.000231481481481481 0 0 0 0 0.00177304964539007 0 0.000277777777777778 0.00110495347564313 0.00429667460854073 0 0.00464422158548233 0 0 0.00268975785156469 0.00359674329501916 0.00136836343732895 0.00324187908319911 0.000641990512680168 0.00352309118489803 0.00881635778508617 0.0137511383424584 0.00277777777777778 0.00158866602992678 0.0172317965379567 0.0236558473085685 0.035787441397574 0.0134482640996325 0.12433513504809 0.193541907719326 0.535783693501917 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000357653791130186 0.000357653791130186 0.000357653791130186 0.000357653791130186 0.000357653791130186 0.000465549348230912 0.000608272506082725 0.000608272506082725 0.00181159420289855 0.00694444444444444 0 0 0 0 0 0 0 0 0.000357653791130186 0.000357653791130186 0.000357653791130186 0.000357653791130186 0.00143061516452074 0 0.000357653791130186 0.00168123387947328 0.00168123387947328 0 0 0.000823203139361099 0 0.000357653791130186 0.00143061516452074 0 0 0 0.000357653791130186 0 0.0043859649122807 0.000357653791130186 0.00178826895565093 0 0 0 0.0100308641975309 0.00786838340486409 0.00357653791130186 0.000715307582260372 0.000357653791130186 0.00153851072162147 0.00261147209501203 0 0 0.00214592274678112 0 0.00220340282035561 0.000465549348230912 0.00261147209501203 0.00429184549356223 0.000608272506082725 0 0 0.00740999379267536 0 0.00393505218335513 0.00195364458632615 0.00344407354421661 0.00725118998804714 0.0236949459154902 0.00289863937256181 0 0.0046503597656155 0.029330721965755 0.0646237235812806 0.157311672296582 0.197508455571997 0.428653565334639
6 345.583333333333 260.25 34.4166666666667 40.9166666666667 4.08333333333333 3.33333333333333 2.58333333333333 0.440141185807124 0.0403913705427062 0.0266297908675036 0.00448809061448451 0.00791139473543215 0.285383140893525 0.0250620647259405 0.169992961813284 0 0 0 0 0 0 0 0 0 0.000201288244766506 0 0.000558942035896692 0.000672043010752688 0 0.00154320987654321 0.000643041918984067 0 0 0 0 0.000805152979066023 0.000170765027322404 0 0.000170765027322404 0.0019993630317195 0 0 0 0.00179889993972272 0 0 0.00154320987654321 0 0 0.00192131279533275 0 0 0.000357653791130186 0.00146259437900881 0.0016606434460745 0.0036972532584919 0 0.00433881817469183 0.00539529070859409 0.0163530590430251 0.000844330163750573 0.00384260572492747 0.0129339156905587 0.0111756822629718 0.029469678655101 0.0110726562557216 0.113807975538136 0.221408824624036 0.550151024519808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000320512820512821 0.000320512820512821 0.000320512820512821 0.000320512820512821 0.000631313131313131 0.000631313131313131 0.000641025641025641 0.00166666666666667 0.00752136752136752 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0.000320512820512821 0.00129617856890584 0.00462962962962963 0.00162640389913117 0.00127233877233877 0.00066486543759271 0 0 0.00129617856890584 0 0.000641025641025641 0.000641025641025641 0 0 0 0 0 0 0.00066486543759271 0.00192307692307692 0.000631313131313131 0 0 0 0.00769230769230769 0.000320512820512821 0.000961538461538462 0.000641025641025641 0.00257822985095712 0.000961538461538462 0 0 0.00260206964752419 0 0.000320512820512821 0 0.00197075651621106 0.0064005439005439 0 0 0 0.00111111111111111 0 0.00483153210425938 0.00127233877233877 0.000951825951825952 0.00774687433778343 0.00506904711450166 0.00727196204468932 0 0.00320512820512821 0.0247880318334864 0.0512075887075887 0.0972809093263639 0.218679157542794 0.519524675661039
7 358.25 280.083333333333 31.9166666666667 39.3333333333333 2.83333333333333 3 1.08333333333333 0.450593381139868 0.0400774066410034 0.0232399350958032 0.00301514248343679 0.00616508813032551 0.305783494592584 0.0226332959943664 0.148492255922613 0 0 0 0 0 0.000234741784037559 0.000305250305250305 0.000351617440225035 0.000511247443762781 0 0 0.000351617440225035 0 0 0 0 0 0 0 0 0.000360750360750361 0.000610500610500611 0.000234741784037559 0 0.000351617440225035 0 0 0.000234741784037559 0.000305250305250305 0.000305250305250305 0 0 0.0022303942016309 0 0.00140746023256275 0 0.000360750360750361 0.000511247443762781 0.000938967136150235 0.00065686774547534 0.00105584279233771 0 0.000305250305250305 0.00889108348908796 0.0115672622081035 0.00129872702523799 0.00143378169963037 0.0180477831856751 0.0157474528024668 0.0165660569032246 0.016707071018432 0.103803142408515 0.193241392792346 0.601072139245808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000394944707740916 0.000394944707740916 0.000394944707740916 0.000694444444444444 0.00072463768115942 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00111958238890034 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000394944707740916 0 0 0.00188204508856683 0.000394944707740916 0.000789889415481833 0 0.000394944707740916 0.00111958238890034 0 0 0.000789889415481833 0 0 0 0 0 0 0.000394944707740916 0.000789889415481833 0 0 0.00124378109452736 0.00124378109452736 0.00710900473933649 0 0.00072463768115942 0.00072463768115942 0.000394944707740916 0.00227422327540811 0 0 0.0038730061662335 0 0 0 0.00190947180438217 0.00394944707740916 0 0 0 0 0 0.00315955766192733 0.000394944707740916 0.00184422007005976 0.00339380566430845 0.0120861843090215 0.00324074074074074 0 0.00461646480603827 0.0373304638888664 0.0380275888044335 0.123897082337492 0.185289612483011 0.552597826011873
8 330.166666666667 249.416666666667 29.6666666666667 40.1666666666667 4.75 4.25 1.91666666666667 0.474574051392871 0.0446513984415845 0.0228976182191941 0.0019246810452092 0.00953754792509091 0.283165930387218 0.0255026521206523 0.13774612046818 0 0 0 0.000179985601151908 0.000359971202303816 0 0 0 0 0.000281531531531532 0 0 0.000281531531531532 0 0 0 0 0 0 0 0 0 0 0 0.000179985601151908 0 0 0.000809061488673139 0.000809061488673139 0 0 0.00173611111111111 0.000664481725182916 0 0.00154143073959489 0 0 0.00396825396825397 0.00181976953550409 0.0011911645832938 0.00179060785130904 0.000281531531531532 0.00107659360302935 0.00353972258544771 0.00957207207207207 0.00527033080072041 0.00116983388556844 0.0103145085514643 0.0122237901687582 0.0293546220533139 0.0170773589539186 0.0972148833403075 0.18760491760824 0.609686886886361 0 0 0 0 0 0 0 0 0.000322997416020672 0.000322997416020672 0.000322997416020672 0.000465549348230912 0.00225225225225225 0.00833333333333333 0 0 0 0 0 0 0 0 0.000465549348230912 0 0 0 0 0.000322997416020672 0 0 0 0 0.000465549348230912 0 0 0.000322997416020672 0 0 0 0 0 0 0 0 0 0.000465549348230912 0 0 0.000465549348230912 0.000788546764251584 0.000931098696461825 0 0.00092342480610637 0.00139664804469274 0.00092342480610637 0 0 0.000788546764251584 0 0 0.000931098696461825 0 0 0 0.000322997416020672 0 0 0 0.000931098696461825 0 0 0 0.000322997416020672 0.00465549348230912 0.000645994832041344 0.000322997416020672 0.000322997416020672 0.000931098696461825 0.00171964546071341 0 0 0.00236564029275475 0 0.000645994832041344 0 0.00143454159629293 0.0037243947858473 0.00197302697302697 0 0 0 0 0.00358184285363706 0.00143454159629293 0.00448966408268734 0.00936886782670854 0.0208868304619896 0.00209604706141074 0 0.00325884543761639 0.0263780641669305 0.064520370414505 0.0969207059124138 0.193659099924701 0.531875092963898
9 329.333333333333 255.5 30.25 36.75 3.25 3 0.583333333333333 0.486936145279208 0.0486120118525384 0.0193504912134322 0.00576616940261025 0.00690332919427322 0.274751452112609 0.0180255878440577 0.139654813101271 0 0 0 0 0 0 0.000612745098039216 0 0 0 0 0 0 0 0 0.000520833333333333 0 0 0 0 0 0 0.000586854460093897 0 0 0 0 0.00189393939393939 0 0.000251004016064257 0 0 0.00375502710881494 0 0.000863749114103473 0 0 0 0.000612745098039216 0.00321691176470588 0.000544662309368192 0.000260416666666667 0.00285517068273092 0.00323355278707105 0.00112416578077014 0.0112359329812649 0.00271139705882353 0.0151760945420846 0.0166174152991954 0.0197802528548558 0.00909635698692076 0.0964918779997808 0.172383918814047 0.636174975849287 0 0 0 0 0 0 0.000511247443762781 0.000541125541125541 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136612021857923 0 0 0 0 0 0 0 0 0 0 0 0 0.000511247443762781 0 0 0 0 0 0 0 0 0 0.00136612021857923 0.00136612021857923 0 0 0.000925925925925926 0 0.00229204614450516 0 0.00136612021857923 0 0 0 0 0 0 0.000511247443762781 0.00344535037786572 0.0165343915343915 0.00398211363211866 0.0157512687710551 0.00695138195138195 0 0.000511247443762781 0.0156008504683452 0.0374790064284151 0.139731261637266 0.171130505200402 0.572569746182279
10 337.75 262.416666666667 33.5 35.5833333333333 3.16666666666667 2.33333333333333 0.75 0.494055751503901 0.044364594944072 0.0222712405644597 0.00302552157771211 0.00778601734844117 0.283567291949089 0.0176644743342647 0.12726510777806 0 0 0.000333333333333333 0 0 0 0 0 0 0.000412541254125413 0 0.000245098039215686 0 0 0.000582750582750583 0 0.000333333333333333 0 0 0 0 0.000333333333333333 0 0 0.000333333333333333 0 0 0 0.00319685497961561 0.000412541254125413 0 0 0.00245098039215686 0 0 0 0 0.000245098039215686 0.000412541254125413 0.00187778125434571 0.000825082508250825 0.00308641975308642 0.000827848621966269 0.00787711370402606 0.00343770627062706 0.0059271311361424 0.00214312720864847 0.0138857596527921 0.0191633138930736 0.0203394255802374 0.0156117403642368 0.0842563056280528 0.221098833286849 0.590350672009002 0 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000850340136054422 0.00277777777777778 0 0 0 0 0 0 0 0.000496031746031746 0 0 0 0 0 0 0 0 0 0 0 0 0.000496031746031746 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0 0 0 0 0 0.000850340136054422 0 0 0 0 0 0 0.000496031746031746 0 0 0 0 0 0 0 0.00277777777777778 0.00146198830409357 0 0.000850340136054422 0 0 0 0 0.000850340136054422 0 0.000850340136054422 0 0.000850340136054422 0.00447845804988662 0 0 0 0 0.000764525993883792 0 0 0.000850340136054422 0 0 0 0.000496031746031746 0 0.000850340136054422 0.00433741217394732 0.00974008990365823 0.0130586541714706 0.015062209094164 0.00489169351951307 0 0.0036281179138322 0.0285773616544638 0.0457091047025602 0.0997416063640972 0.208045565119658 0.543102705431118
