"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_je_Proportion" "Transition_co_Proportion" "Transition_ei_Proportion" "Transition_go_Proportion" "Transition_ee_Proportion" "Transition_ec_Proportion" "Transition_ic_Proportion" "Transition_io_Proportion" "Transition_jh_Proportion" "Transition_oo_Proportion" "Transition_jo_Proportion" "Transition_oh_Proportion" "Transition_gc_Proportion" "Transition_hh_Proportion" "Transition_eh_Proportion" "Transition_eg_Proportion" "Transition_hi_Proportion" "Transition_cc_Proportion" "Transition_ih_Proportion" "Transition_jc_Proportion" "Transition_ge_Proportion" "Transition_cg_Proportion" "Transition_ie_Proportion" "Transition_oi_Proportion" "Transition_ce_Proportion" "Transition_oj_Proportion" "Transition_ci_Proportion" "Transition_ch_Proportion" "Transition_og_Proportion" "Transition_gh_Proportion" "Transition_jg_Proportion" "Transition_gj_Proportion" "Transition_ii_Proportion" "Transition_so_Proportion" "Transition_ji_Proportion" "Transition_jj_Proportion" "Transition_ij_Proportion" "Transition_hg_Proportion" "Transition_sj_Proportion" "Transition_se_Proportion" "Transition_sh_Proportion" "Transition_sc_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_gg_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_gs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_jes_Proportion" "Transition_shi_Proportion" "Transition_egi_Proportion" "Transition_seg_Proportion" "Transition_hgs_Proportion" "Transition_cos_Proportion" "Transition_gsc_Proportion" "Transition_gos_Proportion" "Transition_jsh_Proportion" "Transition_shh_Proportion" "Transition_csi_Proportion" "Transition_hsj_Proportion" "Transition_ios_Proportion" "Transition_scg_Proportion" "Transition_jcc_Proportion" "Transition_sso_Proportion" "Transition_sjc_Proportion" "Transition_soi_Proportion" "Transition_ssj_Proportion" "Transition_ois_Proportion" "Transition_eee_Proportion" "Transition_see_Proportion" "Transition_sse_Proportion" "Transition_chs_Proportion" "Transition_ecs_Proportion" "Transition_ssc_Proportion" "Transition_jos_Proportion" "Transition_ics_Proportion" "Transition_ise_Proportion" "Transition_iig_Proportion" "Transition_jis_Proportion" "Transition_jig_Proportion" "Transition_gse_Proportion" "Transition_sge_Proportion" "Transition_ihs_Proportion" "Transition_jhs_Proportion" "Transition_hsg_Proportion" "Transition_oos_Proportion" "Transition_sgh_Proportion" "Transition_sii_Proportion" "Transition_gcg_Proportion" "Transition_ohs_Proportion" "Transition_geg_Proportion" "Transition_egs_Proportion" "Transition_gge_Proportion" "Transition_hhs_Proportion" "Transition_ies_Proportion" "Transition_osj_Proportion" "Transition_his_Proportion" "Transition_jgs_Proportion" "Transition_sjs_Proportion" "Transition_csc_Proportion" "Transition_scc_Proportion" "Transition_iie_Proportion" "Transition_gih_Proportion" "Transition_gii_Proportion" "Transition_iii_Proportion" "Transition_sos_Proportion" "Transition_jcs_Proportion" "Transition_sgi_Proportion" "Transition_ssi_Proportion" "Transition_ces_Proportion" "Transition_csh_Proportion" "Transition_iis_Proportion" "Transition_igi_Proportion" "Transition_isi_Proportion" "Transition_isg_Proportion" "Transition_ogs_Proportion" "Transition_osg_Proportion" "Transition_cis_Proportion" "Transition_osi_Proportion" "Transition_esg_Proportion" "Transition_ses_Proportion" "Transition_igg_Proportion" "Transition_ggi_Proportion" "Transition_ghs_Proportion" "Transition_jjs_Proportion" "Transition_scs_Proportion" "Transition_shs_Proportion" "Transition_sis_Proportion" "Transition_jso_Proportion" "Transition_gis_Proportion" "Transition_sig_Proportion" "Transition_gig_Proportion" "Transition_sgg_Proportion" "Transition_ggg_Proportion" "Transition_gsg_Proportion" "Transition_ssg_Proportion" "Transition_igs_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_gsi_Proportion" "Transition_oss_Proportion" "Transition_ggs_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 325.583333333333 253 36 30.5833333333333 3.33333333333333 2.08333333333333 0.583333333333333 0.364687317107936 0.0511293935461859 0.0576864554237982 0.0109802779865891 0.010963116529604 0.235018985264926 0.0442638482894091 0.225270605851552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000332005312084993 0.000332005312084993 0.000332005312084993 0.000332005312084993 0.000389408099688474 0.000389408099688474 0.00040453074433657 0.000544662309368192 0.000566893424036281 0.000566893424036281 0.000603864734299517 0.000664010624169987 0.000956301523724755 0.00150096383309295 0.00195758853234085 0.00204742577978898 0.0023228685066704 0.00294160148609142 0.00309685569577114 0.00750340304054002 0.00930497020675365 0.0095062435032123 0.010672525425153 0.0128770975266474 0.0218003011007564 0.0249400992003116 0.0368667904719282 0.155364103699384 0.174717894036482 0.516165273723387 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.000957854406130268 0.000957854406130268 0.000957854406130268 0.000957854406130268 0.000980392156862745 0.00148809523809524 0.00148809523809524 0.00148809523809524 0.00168350168350168 0.00181159420289855 0.00191570881226054 0.00230194042763564 0.00230194042763564 0.00232447817836812 0.00289610096912328 0.00361119945077966 0.00413607238126667 0.00424018699062866 0.0049432965172676 0.00642602385388488 0.0106211353430486 0.0113179513954842 0.0163730094682787 0.0221586902965794 0.0469991092249697 0.063047082645004 0.154434504367125 0.201152313594823 0.422661060906764
2 335.25 253.166666666667 40.5833333333333 31.3333333333333 5.08333333333333 2.91666666666667 2.16666666666667 0.368099607622467 0.0362682308801176 0.0455865150014166 0.00665718609311038 0.0120854211208904 0.271144003381527 0.0427439656808944 0.217415070219577 0 0 0 0 0 0 0 0 0 0 0 0.000294464075382803 0.000294464075382803 0.000294464075382803 0.000294464075382803 0.000294464075382803 0.000336021505376344 0.000336021505376344 0.000345781466113416 0.000465549348230912 0.000588928150765607 0.000630485580759147 0.000675162230276789 0.000765574769981155 0.00101626016260163 0 0 0.000294464075382803 0.00101626016260163 0.00064024554149622 0.00068180297148976 0 0.00342189403770998 0.000429553264604811 0.00148180951083254 0 0.000336021505376344 0.000345781466113416 0.000336021505376344 0 0.00265729542141633 0.00464889716842891 0.0115119495560521 0.00789131660922936 0.00437165825438991 0.0174170140506954 0.0080987908235638 0.00427949155868058 0.0596385270721601 0.0202684475196103 0.0153140918578429 0.0241719889617799 0.20871927054439 0.140123128392294 0.455272173072087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000750750750750751 0.000757575757575758 0.000757575757575758 0.000757575757575758 0.000757575757575758 0.000757575757575758 0.000757575757575758 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.000946969696969697 0.00108225108225108 0.00138206388206388 0.00225225225225225 0.0028735632183908 0.00297619047619048 0.0031024531024531 0.0036231884057971 0.00425562710045469 0.00635359385359385 0 0 0 0.000757575757575758 0 0 0 0.00423199173199173 0.000631313131313131 0 0.000750750750750751 0.000757575757575758 0.0125604332500884 0 0.0146529717181891 0.000631313131313131 0.000631313131313131 0.00527816777816778 0.00364796614796615 0.0112168987168987 0.00577639327639328 0.00567946546207416 0.00217571467571468 0.0102540852540853 0.00218253968253968 0.00246212121212121 0.0163720489994853 0.0164387601887602 0.0406899426295978 0.0328323929617033 0.149878597760907 0.140871774098911 0.394197719132127
3 221.583333333333 163.833333333333 27 21.75 4 3.16666666666667 1.83333333333333 0.380777106888474 0.0411854426831717 0.0617540858494292 0.0127576081709774 0.0203619264535917 0.221417114782739 0.0398936963483616 0.221853018823256 0 0 0 0 0 0 0 0.000255623721881391 0.000330687830687831 0.0006265664160401 0.00114155251141553 0 0 0 0 0 0.000255623721881391 0.00314465408805031 0.000330687830687831 0.00132399979025746 0.000661375661375661 0 0.0006265664160401 0 0 0 0.000511247443762781 0 0 0.00219889346006526 0.00114155251141553 0 0.00893153374937329 0 0 0 0 0 0.00139717623329692 0.000330687830687831 0.000586311552569221 0.00235838828090607 0.00569177699815383 0.00355645402815214 0.0112119322780564 0.0261141369124634 0.00724263926556468 0.0193502827329423 0.0112767713138446 0.0156345007581145 0.0193011008835782 0.0417869319935615 0.1666791420681 0.143019343890774 0.502981857826299 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000677506775067751 0.000677506775067751 0.000677506775067751 0.000677506775067751 0.000677506775067751 0.00138888888888889 0.00333333333333333 0.00368036354691556 0 0 0 0 0 0 0 0 0 0 0.000551876379690949 0.00333333333333333 0.00333333333333333 0 0 0.00138888888888889 0.00245098039215686 0 0 0.00527409860191317 0.00642426598593995 0 0 0.00400716093253648 0.000677506775067751 0.00400716093253648 0.0161653116531165 0 0 0.0011037527593819 0 0 0 0 0 0 0 0 0 0.00619918699186992 0 0.00662911215204867 0.000677506775067751 0.000677506775067751 0.00567959895321298 0.0013550135501355 0.00720131373499165 0.00901293228654631 0.000677506775067751 0.00401084010840108 0.0104040730353119 0.00261827204364759 0.0342359191024711 0.00643205190330049 0.0256598760764649 0.028997910112734 0.0779521934602813 0.168879313260609 0.130879479763661 0.411312603526738
4 154.083333333333 115.333333333333 18.4166666666667 16.8333333333333 1.66666666666667 1.33333333333333 0.5 0.337843730461519 0.0663471261863693 0.0682623206788776 0.0126161598478986 0.0361982100100295 0.202618972632219 0.0557587597986381 0.220354720384449 0 0 0 0 0 0 0 0 0.000476190476190476 0 0 0 0 0 0 0 0 0 0 0.000952380952380952 0 0 0 0 0 0 0 0.000476190476190476 0 0 0.000476190476190476 0 0.00559535258799358 0 0.00623885918003565 0 0 0 0 0.000636132315521628 0.000476190476190476 0.00515049090616449 0.00228629733202328 0.0063324080499653 0.0190507383999882 0.0194678250249878 0.00670072175689304 0.00500326829427722 0.0071762358671612 0.0275215790891335 0.0386484776756175 0.0694048775911334 0.139558014868143 0.154047171442269 0.484324406761549 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0.00340136054421769 0.00641025641025641 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0035525321239607 0.00170068027210884 0 0 0 0 0 0.00102880658436214 0.00170068027210884 0.00170068027210884 0 0.0122071050642479 0 0 0 0 0 0 0 0 0 0 0 0 0.00921096833795246 0 0 0 0 0.00551529790660225 0.00555555555555556 0.00525321239606954 0.00551529790660225 0.0121173469387755 0.0340527676449002 0.0154572940287226 0.00170068027210884 0.0096913152468708 0.0035525321239607 0.0424156163459131 0.0622007691452136 0.154596597475307 0.108897357284176 0.136691048876177 0.343756894032947
5 97.1666666666667 73.5833333333333 10.5833333333333 10 1.41666666666667 1.25 0.333333333333333 0.335957920224052 0.0578231215365218 0.104999967815399 0.00790450311380969 0.0363253704286826 0.1838848499961 0.0459567727791816 0.227147494106254 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0 0.0153787520934427 0 0 0 0 0 0.00240417877404179 0 0.00193798449612403 0.00114155251141553 0.0073336100733361 0.00596576495549098 0.0322017799996456 0.00849739140953123 0.00995560155042914 0.00534764415578369 0.00366680503666805 0.0344523002618184 0.0268536929702494 0.0724638733235393 0.124464429699027 0.141291348236627 0.504328475638015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00589330024813896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00815412186379928 0.0053763440860215 0 0 0.00277777777777778 0.00810708898944193 0 0 0.0135304659498208 0 0.00858147229114971 0.0053763440860215 0 0 0 0 0 0 0.00277777777777778 0.00268817204301075 0 0 0 0 0 0 0.0053763440860215 0 0.00277777777777778 0.00268817204301075 0 0.00598290598290598 0.00333333333333333 0.0053763440860215 0.0221338383838384 0.00653846153846154 0 0.0100252525252525 0.00277777777777778 0.0125213675213675 0.0792881301704831 0.109176242795787 0.129259049773756 0.126252390346318 0.413229746744927
6 81.25 61.5833333333333 10.1666666666667 7.58333333333333 1.25 0.333333333333333 0.333333333333333 0.458323520175651 0.0468791710107869 0.0709186230933498 0.00947446713386791 0.0186242035100769 0.194309752884422 0.0222980132631045 0.179172248928741 0 0 0 0 0 0 0.00378787878787879 0 0.00352150537634409 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0.00114155251141553 0 0 0 0 0 0 0 0.00114155251141553 0.00925925925925926 0.00130208333333333 0.00197488584474886 0.0532340416984695 0.00899757420091324 0.0112027916984694 0.024006492231194 0.00311643835616438 0.0158360513155034 0.0105458696554587 0.0428879406438924 0.134949018937295 0.136555913177447 0.53173756315921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0 0.00297619047619048 0 0 0.00297619047619048 0 0.0036231884057971 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0.00297619047619048 0 0 0.00297619047619048 0.00595238095238095 0.00556117290192113 0 0.0247554448135843 0.0121605517839087 0.00297619047619048 0.0385981912144703 0.00297619047619048 0.0133928571428571 0.0289159591485173 0.0853838319396965 0.141968064048448 0.139807224709904 0.376760436227069
7 137.666666666667 104.25 15 13.6666666666667 2.16666666666667 1.75 0.833333333333333 0.385183269578047 0.0439336264302323 0.0575987594078018 0.0166584039667519 0.0189479169049771 0.230334882328033 0.0408128976207041 0.206530243763453 0 0 0 0 0.00126262626262626 0.00146198830409357 0 0 0 0 0.00282485875706215 0 0 0 0.000841750841750842 0 0 0.000841750841750842 0 0.00141242937853107 0 0 0 0 0 0 0 0.000841750841750842 0 0 0 0 0.00911071499306793 0 0 0 0 0 0.00141242937853107 0.000631313131313131 0.00219298245614035 0.00526094276094276 0.00511734997029115 0.00322341057635175 0.0134569377990431 0.00988562091503268 0.0188093091214866 0.0288052494415861 0.00680085165379283 0.036797666395933 0.0218143882711432 0.0401337170118395 0.166215405472076 0.111270248068361 0.509574307355502 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0.00132275132275132 0.00132275132275132 0.00170068027210884 0.00308641975308642 0.00416666666666667 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0.00711734693877551 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0 0 0 0 0.00340608465608466 0.00340608465608466 0 0 0.00208333333333333 0 0 0 0.00625 0.00208333333333333 0.010974111866969 0.00170068027210884 0 0 0 0 0 0 0.00132275132275132 0.00132275132275132 0 0 0 0 0.0063567649281935 0 0.00548469387755102 0.00132275132275132 0 0.00264550264550265 0.00132275132275132 0.00719009826152683 0.00264550264550265 0.00132275132275132 0.0169753086419753 0.00680744520030234 0.00541666666666667 0.0490992693373646 0.0051067649281935 0.0216301335348954 0.0705619116333402 0.0832898715041572 0.139218517373279 0.0941720492910969 0.417914175771319
8 99 76.25 11 9.08333333333333 1.83333333333333 0.583333333333333 0.25 0.380624996807702 0.0683181565907491 0.0520902379140173 0.0177180171703934 0.0213170179776114 0.236626516452124 0.0303181310373641 0.192986926050038 0 0 0 0.00189393939393939 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000559284116331096 0 0.00294023649728348 0 0.00238095238095238 0 0.000559284116331096 0 0 0 0 0 0 0.0139772727272727 0 0.0061026936026936 0.00167785234899329 0.00189393939393939 0 0 0 0.00294023649728348 0.00238095238095238 0.00310269521678918 0.00222595078299776 0.0066619777190247 0.0097133245203715 0.0309915832986303 0.0107323232323232 0.0174677745818685 0.0173846809417279 0.00471801346801347 0.0201256028646968 0.0121783309283309 0.0292436348141046 0.146577584731947 0.173266130464117 0.478303748979085 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0 0 0 0 0 0.00109649122807018 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00868055555555555 0.00347222222222222 0.00109649122807018 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0.00109649122807018 0 0.00219298245614035 0 0.0045687134502924 0 0.00520833333333333 0 0 0.00520833333333333 0 0.0149853801169591 0.0627741228070175 0.00347222222222222 0 0.0459795321637427 0.00347222222222222 0.0167483660130719 0.0487178424001179 0.0619195046439628 0.0942781279178338 0.11969230674726 0.388066366897636
9 123.916666666667 91.6666666666667 13.5833333333333 14.6666666666667 1.83333333333333 1.08333333333333 1.08333333333333 0.485256202647534 0.0429467203108402 0.0484827154710733 0.010473517206905 0.0122425481488838 0.208413056977718 0.0214361218460461 0.170749117391 0 0 0.0016025641025641 0 0 0 0 0.00157232704402516 0 0 0 0 0.00132275132275132 0.0016025641025641 0 0 0 0 0 0.0016025641025641 0 0.00240384615384615 0 0 0 0 0.0016025641025641 0 0 0 0.00157232704402516 0 0.00295781893004115 0 0.00157288698955366 0 0 0 0.000801282051282051 0 0.00101626016260163 0.0123235357119005 0.00257201646090535 0.00192901234567901 0.0037591009813232 0.0159035546908176 0.0071539299480476 0.0114766294358414 0.0106362290474757 0.0361498721461417 0.0166400374877519 0.0253215757415021 0.123034185700743 0.0936617479982237 0.536475482861932 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0.00297619047619048 0.00661375661375661 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0.00462962962962963 0 0 0 0.00297619047619048 0 0 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0.00238095238095238 0 0 0.00411706349206349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00620039682539683 0.00555555555555556 0.00606060606060606 0.00381944444444444 0 0.00561417748917749 0.0137581168831169 0 0.0242063492063492 0.00760732323232323 0.0289442039442039 0.0767120610870611 0.0469246031746032 0.116355519480519 0.0984668109668109 0.444752585377585
10 92.3333333333333 73 7.16666666666667 8.75 1.16666666666667 1.83333333333333 0.416666666666667 0.451993783246316 0.0490734147834766 0.0645963138527729 0.0154289063676251 0.0144882550802761 0.195742759270149 0.0384303964704678 0.170246170928917 0 0 0 0.000621890547263682 0 0 0 0 0 0 0 0 0 0.000621890547263682 0 0 0 0 0 0.000621890547263682 0 0 0 0.00203252032520325 0 0 0.00189393939393939 0 0 0 0.000621890547263682 0 0.00581617086193745 0.00331006259027443 0 0 0 0 0.000621890547263682 0 0.000621890547263682 0.00847058173440439 0 0.00245098039215686 0.00565570873100035 0.00792026426802783 0.00466225374674614 0.0163344880094806 0.00367647058823529 0.0434181576695092 0.0259295857121944 0.0975700114187496 0.150913734010216 0.0880847464044463 0.528128980859896 0 0 0 0 0 0 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00189393939393939 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00671296296296296 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0 0 0 0.00115740740740741 0 0 0 0 0.00189393939393939 0 0.00189393939393939 0.00189393939393939 0.0030513468013468 0.00189393939393939 0.00189393939393939 0.00757575757575758 0.00883838383838384 0 0.033733164983165 0.00189393939393939 0.0257352941176471 0.095702119231531 0.110057684690038 0.123373916388622 0.0892206377500495 0.377837957249722
